[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
113  0x000020a0 0x004020a0 6   7    .text   ascii   select
114  0x000020a8 0x004020a8 8   9    .text   ascii   WSAIoctl
115  0x000020b4 0x004020b4 4   5    .text   ascii   recv
116  0x000020bc 0x004020bc 8   9    .text   ascii   recvfrom
117  0x000020c8 0x004020c8 11  12   .text   ascii   getsockname
118  0x000020d4 0x004020d4 12  13   .text   ascii   freeaddrinfo
119  0x000020e4 0x004020e4 11  12   .text   ascii   getaddrinfo
120  0x000020f0 0x004020f0 8   9    .text   ascii   shutdown
121  0x000020fc 0x004020fc 10  11   .text   ascii   WSACleanup
122  0x00002108 0x00402108 10  11   .text   ascii   WSAStartup
123  0x00002114 0x00402114 6   7    .text   ascii   accept
124  0x0000211c 0x0040211c 6   7    .text   ascii   listen
125  0x00002124 0x00402124 4   5    .text   ascii   bind
126  0x0000212c 0x0040212c 6   7    .text   ascii   socket
127  0x00002134 0x00402134 11  12   .text   ascii   getpeername
128  0x00002140 0x00402140 19  20   .text   ascii   CryptReleaseContext
129  0x00002154 0x00402154 16  17   .text   ascii   CryptDestroyHash
130  0x00002168 0x00402168 17  18   .text   ascii   CryptGetHashParam
131  0x0000217c 0x0040217c 13  14   .text   ascii   CryptHashData
132  0x0000218c 0x0040218c 15  16   .text   ascii   CryptCreateHash
133  0x0000219c 0x0040219c 20  21   .text   ascii   CryptAcquireContextW
134  0x000021b4 0x004021b4 16  17   .text   ascii   DuplicateTokenEx
135  0x000021c8 0x004021c8 20  21   .text   ascii   CreateProcessAsUserW
136  0x000021e0 0x004021e0 25  26   .text   ascii   SetSecurityDescriptorDacl
137  0x000021fc 0x004021fc 28  29   .text   ascii   InitializeSecurityDescriptor
138  0x0000221c 0x0040221c 13  14   .text   ascii   RegEnumKeyExW
139  0x0000222c 0x0040222c 15  16   .text   ascii   RegDeleteValueW
140  0x0000223c 0x0040223c 14  15   .text   ascii   RegSetValueExA
141  0x0000224c 0x0040224c 14  15   .text   ascii   RegSetValueExW
142  0x0000225c 0x0040225c 11  12   .text   ascii   RegCloseKey
143  0x00002268 0x00402268 13  14   .text   ascii   RegOpenKeyExW
144  0x00002278 0x00402278 15  16   .text   ascii   RegCreateKeyExA
