[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
380  0x00003d3d 0x00403d3d 5   6    .text   ascii   D$\f9}
381  0x00003d65 0x00403d65 4   6    .text   utf8    3\tD$
382  0x00003dad 0x00403dad 4   5    .text   ascii   D$&P
383  0x00003dc0 0x00403dc0 6   7    .text   ascii   D$<jcP
384  0x00003e46 0x00403e46 4   5    .text   ascii   t$Vh
385  0x00003e4f 0x00403e4f 4   5    .text   ascii   t$\f3
386  0x00003e87 0x00403e87 4   5    .text   ascii   u|SV
387  0x00003f32 0x00403f32 5   6    .text   ascii   E|_^[
388  0x00003f48 0x00403f48 4   5    .text   ascii   h 'A
389  0x00003f5d 0x00403f5d 5   6    .text   ascii   9=8'A
390  0x00003f67 0x00403f67 4   5    .text   ascii   \r<'A
391  0x00003fd0 0x00403fd0 5   6    .text   ascii   [h 'A
392  0x00003ffe 0x00403ffe 5   6    .text   ascii   SVWh4
393  0x0000404f 0x0040404f 5   6    .text   ascii   .u$f9
394  0x00004066 0x00404066 5   6    .text   ascii   .u\rf9
395  0x000040c1 0x004040c1 4   5    .text   ascii   h 'A
396  0x00004156 0x00404156 6   7    .text   ascii   G;=8'A
397  0x000041ed 0x004041ed 6   7    .text   ascii   t3h 'A
398  0x0000423b 0x0040423b 4   5    .text   ascii   SVWj
399  0x00004258 0x00404258 4   5    .text   ascii   =8'A
400  0x00004282 0x00404282 4   5    .text   ascii   Aj:f
401  0x00004290 0x00404290 4   5    .text   ascii   j\Xf
402  0x000042fc 0x004042fc 7   8    .text   ascii   QQSWjd3
403  0x0000431b 0x0040431b 7   8    .text   ascii   t}Vh 'A
404  0x00004349 0x00404349 4   5    .text   ascii   58'A
405  0x0000435d 0x0040435d 4   5    .text   ascii   \r<'A
406  0x00004384 0x00404384 4   5    .text   ascii   h 'A
407  0x000043a6 0x004043a6 6   7    .text   ascii   \fSWjd3
408  0x000043c7 0x004043c7 4   5    .text   ascii   h 'A
409  0x00004429 0x00404429 6   7    .text   ascii   F;58'A
410  0x00004447 0x00404447 4   5    .text   ascii   \r<'A
411  0x0000446c 0x0040446c 4   5    .text   ascii   h 'A
412  0x0000449e 0x0040449e 5   8    .text   utf8    3\ruЉ} blocks=Basic Latin,Cyrillic
413  0x000044b4 0x004044b4 5   8    .text   utf8    EԋMЍu blocks=Basic Latin,Cyrillic Supplement,Cyrillic
414  0x0000461e 0x0040461e 5   6    .text   ascii   D$\fPV
415  0x000046bd 0x004046bd 4   5    .text   ascii   D$(P
416  0x000046c8 0x004046c8 5   6    .text   ascii   D$ Pj
417  0x000046f3 0x004046f3 5   6    .text   ascii   D$\fPV
418  0x00004735 0x00404735 5   6    .text   ascii   D$\v^[
419  0x00004748 0x00404748 6   7    .text   ascii   \SVWht
420  0x00004788 0x00404788 4   5    .text   ascii   t$$;
421  0x00004797 0x00404797 4   5    .text   ascii   L$$Q
422  0x000047b4 0x004047b4 7   8    .text   ascii   T$4RSSP
423  0x000047cc 0x004047cc 6   7    .text   ascii   |$8Z%a
424  0x000047e0 0x004047e0 5   6    .text   ascii   T$0RS
425  0x000047e6 0x004047e6 6   7    .text   ascii   T$@RSP
426  0x00004803 0x00404803 5   6    .text   ascii   T$,RS
427  0x00004809 0x00404809 4   5    .text   ascii   T$`R
428  0x0000480e 0x0040480e 6   7    .text   ascii   T$DRSP
429  0x00004862 0x00404862 4   5    .text   ascii   T$LR
430  0x0000486c 0x0040486c 4   5    .text   ascii   T$(R
431  0x00004875 0x00404875 4   5    .text   ascii   T$lR
432  0x0000487a 0x0040487a 6   7    .text   ascii   T$PRSP
433  0x000048a2 0x004048a2 4   6    .text   utf8    ЉT$  blocks=Cyrillic,Basic Latin
434  0x000048cd 0x004048cd 4   5    .text   ascii   uL8X
435  0x000048e2 0x004048e2 4   5    .text   ascii   u\v8X
436  0x00004910 0x00404910 6   7    .text   ascii   GGF;|$
437  0x00004935 0x00404935 5   6    .text   ascii   GF;|$
438  0x00004968 0x00404968 4   5    .text   ascii   D$\f;
439  0x0000496d 0x0040496d 4   5    .text   ascii   tuSS
440  0x0000497a 0x0040497a 4   5    .text   ascii   D$0P
441  0x00004987 0x00404987 5   6    .text   ascii   t$(SS
442  0x000049aa 0x004049aa 4   5    .text   ascii   D$\fV
443  0x00004a1d 0x00404a1d 5   6    .text   ascii   T$\Rj
444  0x00004a41 0x00404a41 5   6    .text   ascii   T$<Rj
445  0x00004a68 0x00404a68 5   6    .text   ascii   D$(Pj
446  0x00004a84 0x00404a84 4   5    .text   ascii   |$$;
447  0x00004a9a 0x00404a9a 4   5    .text   ascii   t!j\r
448  0x00004b3e 0x00404b3e 4   5    .text   ascii   8]\bt
449  0x00004b61 0x00404b61 7   8    .text   ascii   8]\bu\nSj
450  0x00004b85 0x00404b85 11  12   .text   ascii   < t\v<>t\a</t
451  0x00004bc3 0x00404bc3 5   6    .text   ascii   <;>u\b
452  0x00004cd2 0x00404cd2 19  20   .text   ascii   uE<\rtA<\nt=<\tt9<&u)+
453  0x00004d49 0x00404d49 4   5    .text   ascii   5\f,A
454  0x00004d4f 0x00404d4f 4   5    .text   ascii   5`*A
455  0x00004d8f 0x00404d8f 4   5    .text   ascii   SVW3
456  0x00004d94 0x00404d94 6   8    .text   utf8    3҉=@'A blocks=Basic Latin,Cyrillic
457  0x00004db1 0x00404db1 4   5    .text   ascii   5\*A
458  0x00004db6 0x00404db6 7   9    .text   utf8    3ۍD$$CP blocks=Basic Latin,Arabic
459  0x00004dd5 0x00404dd5 4   5    .text   ascii   D$$P
460  0x00004e18 0x00404e18 4   5    .text   ascii   PVSj
461  0x00004e69 0x00404e69 4   5    .text   ascii   PVSj
462  0x00004ea1 0x00404ea1 4   5    .text   ascii   t\aVS
463  0x00004ec6 0x00404ec6 4   5    .text   ascii   h7>@
464  0x00004f47 0x00404f47 4   5    .text   ascii   =x.A
465  0x00004f4d 0x00404f4d 4   5    .text   ascii   =t.A
466  0x00004f53 0x00404f53 4   5    .text   ascii   =|.A
467  0x00004f64 0x00404f64 4   5    .text   ascii   h`'A
468  0x00004f7c 0x00404f7c 4   5    .text   ascii   hD'A
469  0x00004f88 0x00404f88 4   5    .text   ascii   =|'A
470  0x00004f94 0x00404f94 4   5    .text   ascii   5\f,A
471  0x0000501b 0x0040501b 6   7    .text   ascii   VVj2Vh
472  0x00005067 0x00405067 4   6    .text   utf8    f9\bu
473  0x00005070 0x00405070 4   6    .text   utf8    ȁ9PE blocks=Latin Extended-B,Basic Latin
474  0x00005077 0x00405077 4   6    .text   utf8    uЋI( blocks=Basic Latin,Cyrillic
475  0x000050bb 0x004050bb 4   5    .text   ascii   }\b;=
476  0x000050c3 0x004050c3 7   8    .text   ascii   t\b;= ,A
477  0x00005153 0x00405153 4   5    .text   ascii   f9\bu
478  0x00005181 0x00405181 5   6    .text   ascii   l$\bS2
479  0x00005191 0x00405191 6   7    .text   ascii   ;L$\fu"
480  0x000051a3 0x004051a3 4   5    .text   ascii   \rd*A
481  0x000051d6 0x004051d6 4   5    .text   ascii   ]$VW
482  0x00005230 0x00405230 4   5    .text   ascii   E(Ph
483  0x0000525a 0x0040525a 4   5    .text   ascii   5@'A
484  0x00005286 0x00405286 4   5    .text   ascii   5@'A
485  0x00005296 0x00405296 4   5    .text   ascii   \rd*A
486  0x000052a5 0x004052a5 4   5    .text   ascii   BBOu
487  0x000052c7 0x004052c7 6   7    .text   ascii   !E0!E\b
488  0x000052cf 0x004052cf 8   9    .text   ascii   Ht-Ht!Ht
489  0x00005353 0x00405353 6   8    .text   utf8    \vE,_^[
490  0x000053ab 0x004053ab 4   5    .text   ascii   h`'A
491  0x00005436 0x00405436 4   5    .text   ascii   5\'A
492  0x0000544e 0x0040544e 4   5    .text   ascii   \r\'A
493  0x00005466 0x00405466 4   5    .text   ascii   =\'A
494  0x0000546e 0x0040546e 4   5    .text   ascii   h`'A
495  0x00005487 0x00405487 5   6    .text   ascii   t$\fWV
496  0x00005544 0x00405544 4   5    .text   ascii   |$\fW
497  0x000055b1 0x004055b1 4   5    .text   ascii   \r\'A
498  0x000055c8 0x004055c8 4   5    .text   ascii   \r\'A
499  0x000056dd 0x004056dd 4   5    .text   ascii   tNS3
500  0x000056ea 0x004056ea 4   5    .text   ascii   D$$P
501  0x000056fd 0x004056fd 5   6    .text   ascii   u.SSW
502  0x00005709 0x00405709 6   7    .text   ascii   D$(PSS
503  0x00005740 0x00405740 4   5    .text   ascii   %X*A
504  0x00005778 0x00405778 4   5    .text   ascii   tNV3
505  0x00005786 0x00405786 4   5    .text   ascii   \rd*A
506  0x000057a8 0x004057a8 4   5    .text   ascii   t\tFf
507  0x0000582a 0x0040582a 5   6    .text   ascii   fu\t8Y
508  0x0000588e 0x0040588e 5   6    .text   ascii   SSSSj
509  0x000058dc 0x004058dc 6   7    .text   ascii   SSSS8]
510  0x000058e3 0x004058e3 4   5    .text   ascii   t\fj\t
511  0x000059ee 0x004059ee 4   5    .text   ascii   tlj@
512  0x00005b04 0x00405b04 6   7    .text   ascii   SSSSj\n
513  0x00005b1a 0x00405b1a 4   5    .text   ascii   \rd*A
514  0x00005d1e 0x00405d1e 4   5    .text   ascii   \vu\ah
515  0x00005d72 0x00405d72 4   5    .text   ascii   t\ah\a
516  0x00005d87 0x00405d87 5   6    .text   ascii   QSUVW
517  0x00005db5 0x00405db5 4   5    .text   ascii   p\fSS
518  0x00005de5 0x00405de5 4   5    .text   ascii   WWVP
519  0x00005e0d 0x00405e0d 4   5    .text   ascii   WWVP
520  0x00005e58 0x00405e58 5   6    .text   ascii   WWWWj
521  0x00005e9f 0x00405e9f 4   5    .text   ascii   \rd*A
522  0x00005f1a 0x00405f1a 5   6    .text   ascii   WWWWj
523  0x00005f84 0x00405f84 5   6    .text   ascii   _^][Y
524  0x00005fa9 0x00405fa9 6   7    .text   ascii   VVj2Vh
525  0x00006011 0x00406011 5   6    .text   ascii   9}\bv\n
526  0x0000619f 0x0040619f 8   9    .text   ascii   <\rt~<\ntz
527  0x000061b1 0x004061b1 4   5    .text   ascii   <\tt\v
528  0x000061d3 0x004061d3 12  13   .text   ascii   <#tJ<\rtF<\ntB
529  0x000061fd 0x004061fd 4   5    .text   ascii   7< t
530  0x00006202 0x00406202 11  12   .text   ascii   <\rt\f<\nt\b<#t
531  0x0000628c 0x0040628c 4   6    .text   utf8    r؋}\b blocks=Basic Latin,Arabic
532  0x000062b2 0x004062b2 5   6    .text   ascii   ;}\bu3
533  0x000063b8 0x004063b8 4   5    .text   ascii   PSSh
534  0x000064dc 0x004064dc 4   5    .text   ascii   SSSV
535  0x0000656b 0x0040656b 4   5    .text   ascii   _^[]
536  0x000065da 0x004065da 4   5    .text   ascii   s<Wj
537  0x00006689 0x00406689 4   5    .text   ascii   LH\bf
538  0x0000678a 0x0040678a 4   5    .text   ascii   5`*A
539  0x00006794 0x00406794 4   5    .text   ascii   PWV3
540  0x000067b0 0x004067b0 4   5    .text   ascii   u:9]
541  0x000067ba 0x004067ba 4   5    .text   ascii   Pj@j
542  0x000067c9 0x004067c9 4   5    .text   ascii   t!Sj
543  0x000067cf 0x004067cf 4   5    .text   ascii   u\bWV
544  0x00006812 0x00406812 5   6    .text   ascii   f9\auW
545  0x0000681b 0x0040681b 4   6    .text   utf8    ǁ8PE blocks=Latin Extended-B,Basic Latin
546  0x00006835 0x00406835 4   5    .text   ascii   u79F
547  0x000068a7 0x004068a7 6   7    .text   ascii   u\t9F\ft
548  0x000068c6 0x004068c6 4   5    .text   ascii   E\fSu
549  0x00006930 0x00406930 4   5    .text   ascii   Pj@j
550  0x00006937 0x00406937 4   5    .text   ascii   5`*A
551  0x00006964 0x00406964 4   5    .text   ascii   5`*A
552  0x000069c3 0x004069c3 5   6    .text   ascii   QQSV3
553  0x00006ab9 0x00406ab9 5   6    .text   ascii   QSVW3
554  0x00006ad3 0x00406ad3 6   7    .text   ascii   M\b;\buN
555  0x00006ae5 0x00406ae5 5   6    .text   ascii   ;E\btQ
556  0x00006af0 0x00406af0 4   5    .text   ascii   1f9}
557  0x00006b22 0x00406b22 4   5    .text   ascii   9~\bu
558  0x00006b36 0x00406b36 4   5    .text   ascii   9~\bu
559  0x00006b78 0x00406b78 4   5    .text   ascii   uo9u
560  0x00006b85 0x00406b85 5   6    .text   ascii   tKWVj
561  0x00006d13 0x00406d13 5   7    .text   utf8    QSV3ۋ blocks=Basic Latin,Arabic
562  0x00006d28 0x00406d28 4   5    .text   ascii   9]\ft
563  0x00006d2e 0x00406d2e 5   6    .text   ascii   u\fSh:
564  0x00006d51 0x00406d51 5   6    .text   ascii   M\bSSS
565  0x00006d58 0x00406d58 7   8    .text   ascii   PSSSSSV
566  0x00006d83 0x00406d83 4   5    .text   ascii   D$\bj
567  0x00006e3f 0x00406e3f 4   5    .text   ascii   D$\bj
568  0x00006ec4 0x00406ec4 5   6    .text   ascii   D$\fPV
569  0x00006ede 0x00406ede 4   5    .text   ascii   D$\fP
570  0x00006eef 0x00406eef 4   5    .text   ascii   D$\bP
571  0x00006f0c 0x00406f0c 4   5    .text   ascii   D$\fP
572  0x00006fac 0x00406fac 5   6    .text   ascii   9D$\fv
573  0x00006fc2 0x00406fc2 4   5    .text   ascii   D$\bV
574  0x0000705f 0x0040705f 6   7    .text   ascii   }\bESVW
575  0x0000706d 0x0040706d 5   6    .text   ascii   }\bFt/
576  0x00007117 0x00407117 4   5    .text   ascii   j"Xf
577  0x0000713b 0x0040713b 7   8    .text   ascii   t\ej YWf
578  0x0000715a 0x0040715a 6   7    .text   ascii   }\bEt\vf
579  0x00007161 0x00407161 4   5    .text   ascii   }\bGt
580  0x00007194 0x00407194 4   5    .text   ascii   lSVW
581  0x000071c5 0x004071c5 14  15   .text   ascii   tRHt8Ht+Ht\rHuY
582  0x00007279 0x00407279 4   5    .text   ascii   X_^[
583  0x0000734e 0x0040734e 4   5    .text   ascii   =d*A
584  0x00007466 0x00407466 4   5    .text   ascii    h#N
585  0x00007487 0x00407487 6   9    .text   utf8    !]ĈE̋E blocks=Basic Latin,Latin Extended-A,Combining Diacritical Marks
586  0x000074aa 0x004074aa 5   8    .text   utf8    E\rE̍} blocks=Basic Latin,Combining Diacritical Marks
587  0x000074f3 0x004074f3 5   6    .text   ascii   _^[u\a
588  0x00007538 0x00407538 4   5    .text   ascii   E\bPj
589  0x00007584 0x00407584 5   6    .text   ascii   E\bPSj
590  0x00007620 0x00407620 6   7    .text   ascii   SVj}Xf
591  0x0000762d 0x0040762d 6   7    .text   ascii   ALj{Xf
592  0x00007635 0x00407635 4   6    .text   utf8    AA2ۋ blocks=Basic Latin,Arabic
593  0x0000767f 0x0040767f 7   8    .text   ascii   \tu\bj-Xf
594  0x000076b6 0x004076b6 5   6    .text   ascii   It\fIu
595  0x000076d9 0x004076d9 6   7    .text   ascii   j\fZRQP
596  0x00007707 0x00407707 5   7    .text   utf8    L$\f+Љ blocks=Basic Latin,Cyrillic
597  0x00007761 0x00407761 4   5    .text   ascii   M\bPV
598  0x0000778b 0x0040778b 4   5    .text   ascii   _^[]
599  0x00007793 0x00407793 4   5    .text   ascii   \r\*A
600  0x000077c2 0x004077c2 5   6    .text   ascii   9]\bt$
601  0x000077f5 0x004077f5 4   5    .text   ascii   QSVW
602  0x00007927 0x00407927 4   5    .text   ascii   QSVW
603  0x00007a32 0x00407a32 4   5    .text   ascii   VSSj
604  0x00007a89 0x00407a89 4   5    .text   ascii   f91t
605  0x00007a99 0x00407a99 5   6    .text   ascii   A9Uhr
606  0x00007aee 0x00407aee 8   9    .text   ascii   E\Pj\bWhx
607  0x00007b11 0x00407b11 6   7    .text   ascii   ETPWWW
608  0x00007b82 0x00407b82 4   5    .text   ascii   EhPj
609  0x00007bb1 0x00407bb1 5   6    .text   ascii   EhPWj
610  0x00007c45 0x00407c45 4   5    .text   ascii   WPWj
611  0x00007ccc 0x00407ccc 6   7    .text   ascii   EtPWWW
612  0x00007cfc 0x00407cfc 6   7    .text   ascii   EtPSWW
613  0x00007da0 0x00407da0 5   7    .text   utf8    E!d*A
614  0x00007ddf 0x00407ddf 5   7    .text   utf8    Eȡd*A blocks=Basic Latin,Latin Extended-B
615  0x00007e9c 0x00407e9c 4   6    .text   utf8    ءd*A blocks=Arabic,Basic Latin
616  0x00007eef 0x00407eef 5   7    .text   utf8    Eءd*A blocks=Basic Latin,Arabic
617  0x00007f04 0x00407f04 5   7    .text   utf8    EСd*A blocks=Basic Latin,Cyrillic
618  0x00007f19 0x00407f19 5   7    .text   utf8    E̡d*A blocks=Basic Latin,Combining Diacritical Marks
619  0x00008072 0x00408072 4   5    .text   ascii   SWVV
620  0x0000812b 0x0040812b 4   5    .text   ascii   LG;}
621  0x00008168 0x00408168 4   5    .text   ascii   uw9u
622  0x00008172 0x00408172 6   7    .text   ascii   9u\fv8j
623  0x000081d7 0x004081d7 4   5    .text   ascii   VVV3
624  0x0000821e 0x0040821e 4   5    .text   ascii   \SVW
625  0x00008230 0x00408230 4   5    .text   ascii   D$ P
626  0x00008256 0x00408256 4   5    .text   ascii   D$\f=
627  0x00008291 0x00408291 4   5    .text   ascii   ;D$\f
628  0x000082ad 0x004082ad 4   5    .text   ascii   9\$\f
629  0x000082c8 0x004082c8 4   5    .text   ascii   ;D$\f
630  0x000082f5 0x004082f5 6   7    .text   ascii   9\$\fr(
631  0x00008302 0x00408302 4   5    .text   ascii   D$$P
632  0x0000830c 0x0040830c 4   5    .text   ascii   D$\f;
633  0x00008350 0x00408350 5   6    .text   ascii   L$$QW
634  0x00008364 0x00408364 4   5    .text   ascii   D$0P
635  0x0000837a 0x0040837a 4   5    .text   ascii   D$,;
636  0x00008395 0x00408395 4   5    .text   ascii   L$\fQ
637  0x0000839a 0x0040839a 5   6    .text   ascii   t$0SW
638  0x000083a4 0x004083a4 9   10   .text   ascii   u79D$\ft1P
639  0x000083c1 0x004083c1 4   5    .text   ascii   }\bVj
640  0x000083d3 0x004083d3 5   6    .text   ascii   ;D$,t
641  0x00008461 0x00408461 4   5    .text   ascii   SVW3
642  0x00008494 0x00408494 4   6    .text   utf8    3ҹ1u blocks=Basic Latin,Cyrillic
643  0x000084bd 0x004084bd 4   5    .text   ascii   uFN;
644  0x00008557 0x00408557 5   6    .text   ascii   ;\bt\vF
645  0x000085dd 0x004085dd 4   5    .text   ascii   QSVW
646  0x00008746 0x00408746 4   5    .text   ascii   t\a@;
647  0x000087a9 0x004087a9 4   5    .text   ascii   t\aB;
648  0x000087d7 0x004087d7 4   6    .text   utf8    _^Ë\r blocks=Basic Latin,Latin-1 Supplement
649  0x00008872 0x00408872 4   5    .text   ascii   ]\bWj
650  0x000088b0 0x004088b0 4   5    .text   ascii   C\fPj
651  0x0000894d 0x0040894d 4   5    .text   ascii   E\fPj
652  0x00008960 0x00408960 5   7    .text   utf8    uՋE\fS blocks=Basic Latin,Armenian
653  0x00008abe 0x00408abe 4   5    .text   ascii   E\v_[
654  0x00008b66 0x00408b66 4   5    .text   ascii   u\rVj
655  0x00008b84 0x00408b84 4   5    .text   ascii   A<|t
656  0x00008be7 0x00408be7 4   5    .text   ascii   <1|u
657  0x00008c04 0x00408c04 5   6    .text   ascii   t\vA;M
658  0x00008cb2 0x00408cb2 5   7    .text   utf8    Dȃ|$\b blocks=Basic Latin,Latin Extended-B
659  0x00008cbb 0x00408cbb 7   8    .text   ascii   ED$\fPh\b
660  0x00008cf6 0x00408cf6 4   5    .text   ascii   SVW3
661  0x00008cfb 0x00408cfb 5   6    .text   ascii   VVVVj
662  0x00008d64 0x00408d64 4   5    .text   ascii   tH;E
663  0x00008e3c 0x00408e3c 7   10   .text   utf8    Ȋ@%SV3ۍ blocks=Latin Extended-B,Basic Latin,Arabic
664  0x00008e75 0x00408e75 4   5    .text   ascii   h\b'A
665  0x00008ef2 0x00408ef2 4   5    .text   ascii   h 'A
666  0x00008f3b 0x00408f3b 4   5    .text   ascii   h2B@
667  0x00008f5d 0x00408f5d 7   8    .text   ascii   \fSVWj\b3
668  0x00008fc2 0x00408fc2 4   5    .text   ascii   SSSS
669  0x000090ae 0x004090ae 4   5    .text   ascii   G;|$
670  0x0000910a 0x0040910a 6   7    .text   ascii   VVj2Vh
671  0x00009288 0x00409288 6   7    .text   ascii   ;]\br\a3
672  0x00009303 0x00409303 4   5    .text   ascii   ;]\br
673  0x0000930e 0x0040930e 6   7    .text   ascii   t\t;]\b\e
674  0x0000935c 0x0040935c 5   6    .text   ascii   9u\fv&
675  0x00009381 0x00409381 5   6    .text   ascii   F;u\fr
676  0x000093e7 0x004093e7 7   8    .text   ascii   #u\n;u\ft
677  0x00009432 0x00409432 4   5    .text   ascii   ;E\fs
678  0x000094cd 0x004094cd 4   6    .text   utf8    tދM\f blocks=Basic Latin,Thaana
679  0x0000951a 0x0040951a 7   8    .text   ascii   u\vF;u\fr
680  0x0000957d 0x0040957d 4   5    .text   ascii   L$\bW
681  0x000095a6 0x004095a6 5   6    .text   ascii   't\r@;
682  0x00009631 0x00409631 4   5    .text   ascii   C<\nt
683  0x00009683 0x00409683 4   5    .text   ascii   h`5@
684  0x00009755 0x00409755 5   7    .text   utf8    3\tE\b;
685  0x00009782 0x00409782 5   6    .text   ascii   ;E\bu`
686  0x000097c7 0x004097c7 4   5    .text   ascii   9}\bt
687  0x00009887 0x00409887 4   5    .text   ascii   WWWW
688  0x00009891 0x00409891 4   5    .text   ascii   WWWW
689  0x00009908 0x00409908 5   6    .text   ascii   WWWWW
690  0x000099d7 0x004099d7 4   5    .text   ascii   E\bPW
691  0x000099f2 0x004099f2 4   5    .text   ascii   E\bPj
692  0x000099fa 0x004099fa 4   5    .text   ascii   E\fPW
693  0x00009a0e 0x00409a0e 4   5    .text   ascii   E\bPV
694  0x00009a41 0x00409a41 4   5    .text   ascii   E\bPV
695  0x00009a52 0x00409a52 8   9    .text   ascii   tt9u\buoS
696  0x00009a5b 0x00409a5b 4   5    .text   ascii   E\bPV
697  0x00009a6f 0x00409a6f 7   8    .text   ascii   tS9u\buN
698  0x00009a9f 0x00409a9f 4   5    .text   ascii   ;U\bu
699  0x00009ad9 0x00409ad9 5   6    .text   ascii   SUVWQ
700  0x00009af0 0x00409af0 4   5    .text   ascii   f;D$
701  0x00009b10 0x00409b10 4   5    .text   ascii   f;|$
702  0x00009b19 0x00409b19 4   5    .text   ascii   _^][
703  0x00009b49 0x00409b49 4   5    .text   ascii   t$\fP
704  0x00009b89 0x00409b89 4   5    .text   ascii   %h+A
705  0x00009b9f 0x00409b9f 5   7    .text   utf8    Ã\r`*A blocks=Latin-1 Supplement,Basic Latin
706  0x00009c6f 0x00409c6f 4   5    .text   ascii   >Wu3
707  0x00009c87 0x00409c87 4   5    .text   ascii   \rd*A
708  0x00009d0f 0x00409d0f 4   5    .text   ascii   ht5@
709  0x00009d24 0x00409d24 4   5    .text   ascii   \rh+A
710  0x00009d78 0x00409d78 4   5    .text   ascii   \rh+A
711  0x00009d8e 0x00409d8e 4   5    .text   ascii   %QPj
712  0x00009dce 0x00409dce 4   5    .text   ascii   tU!E
713  0x00009f69 0x00409f69 4   5    .text   ascii   1<a|
714  0x00009f6e 0x00409f6e 7   8    .text   ascii   <z~\f<0|
715  0x00009f7c 0x00409f7c 5   6    .text   ascii   1_A;M
716  0x0000a014 0x0040a014 6   7    .text   ascii   WtJj@V
717  0x0000a17e 0x0040a17e 4   5    .text   ascii   \u-f
718  0x0000a188 0x0040a188 4   5    .text   ascii   ?u#f
719  0x0000a1c4 0x0040a1c4 4   5    .text   ascii   u79}
720  0x0000a291 0x0040a291 6   7    .text   ascii   M\bSVW2
721  0x0000a34f 0x0040a34f 7   8    .text   ascii   f93t\bCC
722  0x0000a36e 0x0040a36e 7   8    .text   ascii   ,t\bj,Xf
723  0x0000a419 0x0040a419 5   8    .text   utf8    EΉ]Љ] blocks=Basic Latin,Greek and Coptic,Cyrillic
724  0x0000a466 0x0040a466 4   5    .text   ascii   Pj\vV
725  0x0000a475 0x0040a475 4   5    .text   ascii   E\bPj
726  0x0000a49f 0x0040a49f 5   6    .text   ascii   9]\bta
727  0x0000a4ab 0x0040a4ab 7   8    .text   ascii   PSSSSSS
728  0x0000a4d5 0x0040a4d5 7   8    .text   ascii   PSSSSSS
729  0x0000a5c4 0x0040a5c4 4   5    .text   ascii   PPPP
730  0x0000a5fa 0x0040a5fa 6   7    .text   ascii   E\bPSSj
731  0x0000a628 0x0040a628 4   5    .text   ascii   u\bVj
732  0x0000a680 0x0040a680 4   6    .text   utf8    Q3\rM
733  0x0000a68f 0x0040a68f 4   5    .text   ascii   u\bPP
734  0x0000a6b3 0x0040a6b3 5   6    .text   ascii   SVWh4
735  0x0000a6f5 0x0040a6f5 5   6    .text   ascii   |$D.u
736  0x0000a705 0x0040a705 7   8    .text   ascii   |$F.u\bf
737  0x0000a724 0x0040a724 4   5    .text   ascii   D$HP
738  0x0000a733 0x0040a733 5   6    .text   ascii   D$DPV
739  0x0000a838 0x0040a838 4   5    .text   ascii   M\fSV
740  0x0000a895 0x0040a895 7   9    .text   utf8    3\vU\bVRP
741  0x0000a8b0 0x0040a8b0 4   5    .text   ascii   <\n/t
742  0x0000a91e 0x0040a91e 4   5    .text   ascii   >/t]
743  0x0000a923 0x0040a923 4   5    .text   ascii   D8\nF
744  0x0000a96d 0x0040a96d 4   5    .text   ascii   \bV@P
745  0x0000a9c0 0x0040a9c0 4   5    .text   ascii   \rd*A
746  0x0000a9e1 0x0040a9e1 4   5    .text   ascii   WWWW
747  0x0000aa50 0x0040aa50 5   6    .text   ascii   #u\v;]
748  0x0000aa65 0x0040aa65 6   7    .text   ascii   <A|\f<Z
749  0x0000aaa9 0x0040aaa9 4   5    .text   ascii   j\b_+
750  0x0000aad3 0x0040aad3 5   6    .text   ascii   u\vC;]
751  0x0000ab1e 0x0040ab1e 5   6    .text   ascii   #u\v;u
752  0x0000ab33 0x0040ab33 6   7    .text   ascii   <A|\f<Z
753  0x0000aba5 0x0040aba5 5   6    .text   ascii   u\vF;u
754  0x0000ac3a 0x0040ac3a 5   6    .text   ascii   #u\v;}
755  0x0000ac4f 0x0040ac4f 6   7    .text   ascii   <A|\f<Z
756  0x0000aca0 0x0040aca0 6   9    .text   utf8    )E썘%6@ blocks=Basic Latin,Hangul Syllables
757  0x0000acc7 0x0040acc7 5   6    .text   ascii   u\vG;}
758  0x0000ad12 0x0040ad12 5   6    .text   ascii   V@PSP
759  0x0000ad90 0x0040ad90 4   5    .text   ascii   h86@
760  0x0000adc4 0x0040adc4 4   5    .text   ascii   \rt.A
761  0x0000addc 0x0040addc 5   6    .text   ascii   92t\v@
762  0x0000adeb 0x0040adeb 4   6    .text   utf8    át.A blocks=Latin-1 Supplement,Basic Latin
763  0x0000adfa 0x0040adfa 4   5    .text   ascii   \rx.A
764  0x0000ae1a 0x0040ae1a 4   5    .text   ascii   u.@k
765  0x0000ae34 0x0040ae34 4   5    .text   ascii   =t.A
766  0x0000ae45 0x0040ae45 4   5    .text   ascii   5x.A
767  0x0000ae7f 0x0040ae7f 4   5    .text   ascii   5x.A
768  0x0000aea0 0x0040aea0 7   8    .text   ascii   9^(v=W3
769  0x0000aedc 0x0040aedc 4   5    .text   ascii   ;^(r
770  0x0000af42 0x0040af42 4   5    .text   ascii   \rx.A
771  0x0000af60 0x0040af60 4   5    .text   ascii   %x.A
772  0x0000af67 0x0040af67 4   5    .text   ascii   %t.A
773  0x0000afb4 0x0040afb4 4   5    .text   ascii   T$\fk
774  0x0000afcb 0x0040afcb 4   5    .text   ascii   \rx.A
775  0x0000afd6 0x0040afd6 4   5    .text   ascii   \rx.A
776  0x0000afe0 0x0040afe0 5   6    .text   ascii   Sj([S
