[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
683  0x0001348c 0x10014a8c 8   18   .rdata  utf16le kernel32
684  0x000134a0 0x10014aa0 7   16   .rdata  utf16le api-ms-
685  0x000134b0 0x10014ab0 7   16   .rdata  utf16le ext-ms-
686  0x000134c8 0x10014ac8 8   9    .rdata  ascii   FlsAlloc
687  0x000134dc 0x10014adc 7   8    .rdata  ascii   FlsFree
688  0x000134ec 0x10014aec 11  12   .rdata  ascii   FlsGetValue
689  0x00013500 0x10014b00 11  12   .rdata  ascii   FlsSetValue
690  0x00013514 0x10014b14 27  28   .rdata  ascii   InitializeCriticalSectionEx
691  0x0001355d 0x10014b5d 5   6    .rdata  ascii   ('8PW
692  0x00013566 0x10014b66 5   6    .rdata  ascii   700PP
693  0x00013578 0x10014b78 17  18   .rdata  ascii   `h`hhh\b\b\axwpwpp\b\b
694  0x00013590 0x10014b90 8   18   .rdata  utf16le \b\a(null)
695  0x000135a4 0x10014ba4 6   7    .rdata  ascii   (null)
696  0x00013650 0x10014c50 9   20   .rdata  utf16le coree.dll
697  0x00013664 0x10014c64 14  15   .rdata  ascii   CorExitProcess
698  0x00013724 0x10014d24 12  52   .rdata  utf32le \t\a\f\b\f\t\f\n\a\v\b\f
699  0x000137a8 0x10014da8 5   24   .rdata  utf32le R\rS\rW
700  0x000137c0 0x10014dc0 7   32   .rdata  utf32le Y\vl\rm p
701  0x0001382c 0x10014e2c 4   20   .rdata  utf32le \v§\r· blocks=Basic Latin,Latin-1 Supplement
702  0x00013868 0x10014e68 9   10   .rdata  ascii   NAN(SNAN)
703  0x00013874 0x10014e74 9   10   .rdata  ascii   nan(snan)
704  0x00013880 0x10014e80 8   9    .rdata  ascii   NAN(IND)
705  0x0001388c 0x10014e8c 8   9    .rdata  ascii   nan(ind)
706  0x00013898 0x10014e98 5   6    .rdata  ascii   e+000
707  0x000138bc 0x10014ebc 6   7    .rdata  ascii   Sunday
708  0x000138c4 0x10014ec4 6   7    .rdata  ascii   Monday
709  0x000138cc 0x10014ecc 7   8    .rdata  ascii   Tuesday
710  0x000138d4 0x10014ed4 9   10   .rdata  ascii   Wednesday
711  0x000138e0 0x10014ee0 8   9    .rdata  ascii   Thursday
712  0x000138ec 0x10014eec 6   7    .rdata  ascii   Friday
713  0x000138f4 0x10014ef4 8   9    .rdata  ascii   Saturday
714  0x00013930 0x10014f30 7   8    .rdata  ascii   January
715  0x00013938 0x10014f38 8   9    .rdata  ascii   February
716  0x00013944 0x10014f44 5   6    .rdata  ascii   March
717  0x0001394c 0x10014f4c 5   6    .rdata  ascii   April
718  0x00013954 0x10014f54 4   5    .rdata  ascii   June
719  0x0001395c 0x10014f5c 4   5    .rdata  ascii   July
720  0x00013964 0x10014f64 6   7    .rdata  ascii   August
721  0x0001396c 0x10014f6c 9   10   .rdata  ascii   September
722  0x00013978 0x10014f78 7   8    .rdata  ascii   October
723  0x00013980 0x10014f80 8   9    .rdata  ascii   November
724  0x0001398c 0x10014f8c 8   9    .rdata  ascii   December
725  0x000139a0 0x10014fa0 8   9    .rdata  ascii   MM/dd/yy
726  0x000139ac 0x10014fac 19  20   .rdata  ascii   dddd, MMMM dd, yyyy
727  0x000139c0 0x10014fc0 8   9    .rdata  ascii   HH:mm:ss
728  0x00013a04 0x10015004 6   14   .rdata  utf16le Sunday
729  0x00013a14 0x10015014 6   14   .rdata  utf16le Monday
730  0x00013a24 0x10015024 7   16   .rdata  utf16le Tuesday
731  0x00013a34 0x10015034 9   20   .rdata  utf16le Wednesday
732  0x00013a48 0x10015048 8   18   .rdata  utf16le Thursday
733  0x00013a5c 0x1001505c 6   14   .rdata  utf16le Friday
734  0x00013a6c 0x1001506c 8   18   .rdata  utf16le Saturday
735  0x00013ae0 0x100150e0 7   16   .rdata  utf16le January
736  0x00013af0 0x100150f0 8   18   .rdata  utf16le February
737  0x00013b04 0x10015104 5   12   .rdata  utf16le March
738  0x00013b10 0x10015110 5   12   .rdata  utf16le April
739  0x00013b1c 0x1001511c 4   10   .rdata  utf16le June
740  0x00013b28 0x10015128 4   10   .rdata  utf16le July
741  0x00013b34 0x10015134 6   14   .rdata  utf16le August
742  0x00013b44 0x10015144 9   20   .rdata  utf16le September
743  0x00013b58 0x10015158 7   16   .rdata  utf16le October
744  0x00013b68 0x10015168 8   18   .rdata  utf16le November
745  0x00013b7c 0x1001517c 8   18   .rdata  utf16le December
746  0x00013ba0 0x100151a0 8   18   .rdata  utf16le MM/dd/yy
747  0x00013bb4 0x100151b4 19  40   .rdata  utf16le dddd, MMMM dd, yyyy
748  0x00013bdc 0x100151dc 8   18   .rdata  utf16le HH:mm:ss
749  0x00013bf0 0x100151f0 5   12   .rdata  utf16le en-US
750  0x00013db8 0x100153b8 31  64   .rdata  utf16le api-ms-win-core-datetime-l1-1-1
751  0x00013df8 0x100153f8 27  56   .rdata  utf16le api-ms-win-core-file-l1-2-2
752  0x00013e30 0x10015430 35  72   .rdata  utf16le api-ms-win-core-localization-l1-2-1
753  0x00013e78 0x10015478 44  90   .rdata  utf16le api-ms-win-core-localization-obsolete-l1-2-0
754  0x00013ed8 0x100154d8 37  76   .rdata  utf16le api-ms-win-core-processthreads-l1-1-2
755  0x00013f24 0x10015524 29  60   .rdata  utf16le api-ms-win-core-string-l1-1-0
756  0x00013f60 0x10015560 30  62   .rdata  utf16le api-ms-win-core-sysinfo-l1-2-1
757  0x00013fa0 0x100155a0 28  58   .rdata  utf16le api-ms-win-core-winrt-l1-1-0
758  0x00013fdc 0x100155dc 29  60   .rdata  utf16le api-ms-win-core-xstate-l2-1-0
759  0x00014018 0x10015618 38  78   .rdata  utf16le api-ms-win-rtcore-ntuser-window-l1-1-0
760  0x00014068 0x10015668 42  86   .rdata  utf16le api-ms-win-security-systemfunctions-l1-1-0
761  0x000140c0 0x100156c0 34  70   .rdata  utf16le ext-ms-win-ntuser-dialogbox-l1-1-0
762  0x00014108 0x10015708 38  78   .rdata  utf16le ext-ms-win-ntuser-windowstation-l1-1-0
763  0x00014158 0x10015758 8   18   .rdata  utf16le advapi32
764  0x0001416c 0x1001576c 5   12   .rdata  utf16le ntdll
765  0x00014178 0x10015778 34  70   .rdata  utf16le api-ms-win-appmodel-runtime-l1-1-2
766  0x000141c0 0x100157c0 6   14   .rdata  utf16le user32
767  0x00014200 0x10015800 13  14   .rdata  ascii   LCMapStringEx
768  0x00014218 0x10015818 16  17   .rdata  ascii   LocaleNameToLCID
769  0x00014230 0x10015830 12  13   .rdata  ascii   RoInitialize
770  0x00014244 0x10015844 14  15   .rdata  ascii   RoUninitialize
771  0x00014258 0x10015858 36  37   .rdata  ascii   AppPolicyGetProcessTerminationMethod
772  0x00014284 0x10015884 36  37   .rdata  ascii   AppPolicyGetThreadInitializationType
773  0x000142bc 0x100158bc 5   12   .rdata  utf16le ja-JP
774  0x000142c8 0x100158c8 5   12   .rdata  utf16le zh-CN
775  0x000142d4 0x100158d4 5   12   .rdata  utf16le ko-KR
776  0x000142e0 0x100158e0 5   12   .rdata  utf16le zh-TW
777  0x000143f0 0x100159f0 33  68   .rdata  utf16le          (((((                  H
778  0x00014677 0x10015c77 7   8    .rdata  ascii   \a\b\t\n\v\f\r
779  0x00014690 0x10015c90 95  96   .rdata  ascii    !"#$%&'()*+,-./0123456789:;<=>?@abcdefghijklmnopqrstuvwxyz[\]^_`abcdefghijklmnopqrstuvwxyz{|}~
780  0x000147f7 0x10015df7 7   8    .rdata  ascii   \a\b\t\n\v\f\r
781  0x00014810 0x10015e10 95  96   .rdata  ascii    !"#$%&'()*+,-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`ABCDEFGHIJKLMNOPQRSTUVWXYZ{|}~
782  0x0001490a 0x10015f0a 4   6    .rdata  utf8    tFМ, blocks=Basic Latin,Cyrillic
783  0x00014953 0x10015f53 4   6    .rdata  utf8    \aIV$
784  0x000149cb 0x10015fcb 4   7    .rdata  utf8    ̿aYܫ blocks=Combining Diacritical Marks,Basic Latin,Syriac
785  0x00014a10 0x10016010 4   5    .rdata  ascii   d8L2
786  0x00014a3c 0x1001603c 7   8    .rdata  ascii   [aOni*{
787  0x00014a66 0x10016066 4   5    .rdata  ascii   @2&@
788  0x00014a9a 0x1001609a 4   5    .rdata  ascii   "RP(
789  0x00014aa8 0x100160a8 4   6    .rdata  utf8    }]9֙ blocks=Basic Latin,Hebrew
790  0x00014b13 0x10016113 5   6    .rdata  ascii   eLK(w
791  0x00014b3d 0x1001613d 4   5    .rdata  ascii   m\nXo
792  0x00014b7f 0x1001617f 6   7    .rdata  ascii   \bFEMh\f
793  0x00014b8e 0x1001618e 4   5    .rdata  ascii   h0'D
794  0x00014b9d 0x1001619d 6   8    .rdata  utf8    Qh٢%v} blocks=Basic Latin,Arabic
795  0x00014bd7 0x100161d7 4   6    .rdata  utf8    א:@O blocks=Hebrew,Basic Latin
796  0x00014be0 0x100161e0 4   5    .rdata  ascii   owM&
797  0x00014c1d 0x1001621d 7   9    .rdata  utf8    ~ $s%rс blocks=Basic Latin,Cyrillic
798  0x00014c2b 0x1001622b 7   8    .rdata  ascii   \a@b;zO]
799  0x00014c6b 0x1001626b 4   5    .rdata  ascii   $qE}
800  0x00014ca9 0x100162a9 4   5    .rdata  ascii   ;*xh
801  0x00014cfe 0x100162fe 4   7    .rdata  utf8    H孎cY blocks=Basic Latin,CJK Unified Ideographs
802  0x00014d0b 0x1001630b 4   7    .rdata  utf8    &>r䴆 blocks=Basic Latin,CJK Unified Ideographs Extension A
803  0x00014d13 0x10016313 4   5    .rdata  ascii   ["93
804  0x00014d18 0x10016318 4   5    .rdata  ascii   u\azK
805  0x00014d44 0x10016344 5   6    .rdata  ascii   iu+-,
806  0x00014daa 0x100163aa 4   5    .rdata  ascii   \lo}
807  0x00014db5 0x100163b5 5   6    .rdata  ascii   obwQ4
808  0x00014dcf 0x100163cf 4   5    .rdata  ascii   &Sgw
809  0x00014e58 0x10016458 4   5    .rdata  ascii   R\tE]
810  0x00014e67 0x10016467 4   5    .rdata  ascii   ?nz(
811  0x00014e9a 0x1001649a 4   6    .rdata  utf8    EJjت blocks=Basic Latin,Arabic
812  0x00014ecd 0x100164cd 4   5    .rdata  ascii   0+L\v
813  0x00014f1a 0x1001651a 4   5    .rdata  ascii   =87M
814  0x00014fd9 0x100165d9 4   6    .rdata  utf8    6zƞ) blocks=Basic Latin,Latin Extended-B
815  0x00014ffa 0x100165fa 6   9    .rdata  utf8    ¨N2Lɭ3 blocks=Latin-1 Supplement,Basic Latin,IPA Extensions
816  0x00015007 0x10016607 6   7    .rdata  ascii   v2!L.2
817  0x00015050 0x10016650 4   5    .rdata  ascii   \tcQr
818  0x00015089 0x10016689 4   5    .rdata  ascii   X/4B
819  0x000150dd 0x100166dd 4   6    .rdata  utf8    ;҉s} blocks=Basic Latin,Cyrillic
820  0x00015109 0x10016709 4   6    .rdata  utf8    B(Ȏy blocks=Basic Latin,Latin Extended-B
821  0x00015127 0x10016727 4   5    .rdata  ascii   k=yI
822  0x00015159 0x10016759 4   6    .rdata  utf8    øBnc blocks=Latin-1 Supplement,Basic Latin
823  0x0001518a 0x1001678a 5   6    .rdata  ascii   ^<V7w
824  0x000151dd 0x100167dd 6   8    .rdata  utf8    W&|.ڋu blocks=Basic Latin,Arabic
825  0x000152b8 0x100168b8 5   6    .rdata  ascii   1#INF
826  0x000152c0 0x100168c0 6   7    .rdata  ascii   1#QNAN
827  0x000152c8 0x100168c8 6   7    .rdata  ascii   1#SNAN
828  0x000152d0 0x100168d0 5   6    .rdata  ascii   1#IND
829  0x00015a18 0x10017018 6   14   .rdata  utf16le zh-CHS
830  0x00015c14 0x10017214 5   12   .rdata  utf16le ar-SA
831  0x00015c20 0x10017220 5   12   .rdata  utf16le bg-BG
832  0x00015c2c 0x1001722c 5   12   .rdata  utf16le ca-ES
833  0x00015c38 0x10017238 5   12   .rdata  utf16le cs-CZ
834  0x00015c44 0x10017244 5   12   .rdata  utf16le da-DK
835  0x00015c50 0x10017250 5   12   .rdata  utf16le de-DE
836  0x00015c5c 0x1001725c 5   12   .rdata  utf16le el-GR
837  0x00015c68 0x10017268 5   12   .rdata  utf16le fi-FI
838  0x00015c74 0x10017274 5   12   .rdata  utf16le fr-FR
839  0x00015c80 0x10017280 5   12   .rdata  utf16le he-IL
840  0x00015c8c 0x1001728c 5   12   .rdata  utf16le hu-HU
841  0x00015c98 0x10017298 5   12   .rdata  utf16le is-IS
842  0x00015ca4 0x100172a4 5   12   .rdata  utf16le it-IT
843  0x00015cb0 0x100172b0 5   12   .rdata  utf16le nl-NL
844  0x00015cbc 0x100172bc 5   12   .rdata  utf16le nb-NO
845  0x00015cc8 0x100172c8 5   12   .rdata  utf16le pl-PL
846  0x00015cd4 0x100172d4 5   12   .rdata  utf16le pt-BR
847  0x00015ce0 0x100172e0 5   12   .rdata  utf16le ro-RO
848  0x00015cec 0x100172ec 5   12   .rdata  utf16le ru-RU
849  0x00015cf8 0x100172f8 5   12   .rdata  utf16le hr-HR
850  0x00015d04 0x10017304 5   12   .rdata  utf16le sk-SK
851  0x00015d10 0x10017310 5   12   .rdata  utf16le sq-AL
852  0x00015d1c 0x1001731c 5   12   .rdata  utf16le sv-SE
853  0x00015d28 0x10017328 5   12   .rdata  utf16le th-TH
854  0x00015d34 0x10017334 5   12   .rdata  utf16le tr-TR
855  0x00015d40 0x10017340 5   12   .rdata  utf16le ur-PK
856  0x00015d4c 0x1001734c 5   12   .rdata  utf16le id-ID
857  0x00015d58 0x10017358 5   12   .rdata  utf16le uk-UA
858  0x00015d64 0x10017364 5   12   .rdata  utf16le be-BY
859  0x00015d70 0x10017370 5   12   .rdata  utf16le sl-SI
860  0x00015d7c 0x1001737c 5   12   .rdata  utf16le et-EE
861  0x00015d88 0x10017388 5   12   .rdata  utf16le lv-LV
862  0x00015d94 0x10017394 5   12   .rdata  utf16le lt-LT
863  0x00015da0 0x100173a0 5   12   .rdata  utf16le fa-IR
864  0x00015dac 0x100173ac 5   12   .rdata  utf16le vi-VN
865  0x00015db8 0x100173b8 5   12   .rdata  utf16le hy-AM
866  0x00015dc4 0x100173c4 10  22   .rdata  utf16le az-AZ-Latn
867  0x00015ddc 0x100173dc 5   12   .rdata  utf16le eu-ES
868  0x00015de8 0x100173e8 5   12   .rdata  utf16le mk-MK
869  0x00015df4 0x100173f4 5   12   .rdata  utf16le tn-ZA
870  0x00015e00 0x10017400 5   12   .rdata  utf16le xh-ZA
871  0x00015e0c 0x1001740c 5   12   .rdata  utf16le zu-ZA
872  0x00015e18 0x10017418 5   12   .rdata  utf16le af-ZA
873  0x00015e24 0x10017424 5   12   .rdata  utf16le ka-GE
874  0x00015e30 0x10017430 5   12   .rdata  utf16le fo-FO
875  0x00015e3c 0x1001743c 5   12   .rdata  utf16le hi-IN
876  0x00015e48 0x10017448 5   12   .rdata  utf16le mt-MT
877  0x00015e54 0x10017454 5   12   .rdata  utf16le se-NO
878  0x00015e60 0x10017460 5   12   .rdata  utf16le ms-MY
879  0x00015e6c 0x1001746c 5   12   .rdata  utf16le kk-KZ
880  0x00015e78 0x10017478 5   12   .rdata  utf16le ky-KG
881  0x00015e84 0x10017484 5   12   .rdata  utf16le sw-KE
882  0x00015e90 0x10017490 10  22   .rdata  utf16le uz-UZ-Latn
883  0x00015ea8 0x100174a8 5   12   .rdata  utf16le tt-RU
884  0x00015eb4 0x100174b4 5   12   .rdata  utf16le bn-IN
885  0x00015ec0 0x100174c0 5   12   .rdata  utf16le pa-IN
886  0x00015ecc 0x100174cc 5   12   .rdata  utf16le gu-IN
887  0x00015ed8 0x100174d8 5   12   .rdata  utf16le ta-IN
888  0x00015ee4 0x100174e4 5   12   .rdata  utf16le te-IN
889  0x00015ef0 0x100174f0 5   12   .rdata  utf16le kn-IN
890  0x00015efc 0x100174fc 5   12   .rdata  utf16le ml-IN
891  0x00015f08 0x10017508 5   12   .rdata  utf16le mr-IN
892  0x00015f14 0x10017514 5   12   .rdata  utf16le sa-IN
893  0x00015f20 0x10017520 5   12   .rdata  utf16le mn-MN
894  0x00015f2c 0x1001752c 5   12   .rdata  utf16le cy-GB
895  0x00015f38 0x10017538 5   12   .rdata  utf16le gl-ES
896  0x00015f44 0x10017544 6   14   .rdata  utf16le kok-IN
897  0x00015f54 0x10017554 6   14   .rdata  utf16le syr-SY
898  0x00015f64 0x10017564 6   14   .rdata  utf16le div-MV
899  0x00015f74 0x10017574 6   14   .rdata  utf16le quz-BO
900  0x00015f84 0x10017584 5   12   .rdata  utf16le ns-ZA
901  0x00015f90 0x10017590 5   12   .rdata  utf16le mi-NZ
902  0x00015f9c 0x1001759c 5   12   .rdata  utf16le ar-IQ
903  0x00015fa8 0x100175a8 5   12   .rdata  utf16le de-CH
904  0x00015fb4 0x100175b4 5   12   .rdata  utf16le en-GB
905  0x00015fc0 0x100175c0 5   12   .rdata  utf16le es-MX
906  0x00015fcc 0x100175cc 5   12   .rdata  utf16le fr-BE
907  0x00015fd8 0x100175d8 5   12   .rdata  utf16le it-CH
908  0x00015fe4 0x100175e4 5   12   .rdata  utf16le nl-BE
909  0x00015ff0 0x100175f0 5   12   .rdata  utf16le nn-NO
910  0x00015ffc 0x100175fc 5   12   .rdata  utf16le pt-PT
911  0x00016008 0x10017608 10  22   .rdata  utf16le sr-SP-Latn
912  0x00016020 0x10017620 5   12   .rdata  utf16le sv-FI
913  0x0001602c 0x1001762c 10  22   .rdata  utf16le az-AZ-Cyrl
914  0x00016044 0x10017644 5   12   .rdata  utf16le se-SE
915  0x00016050 0x10017650 5   12   .rdata  utf16le ms-BN
916  0x0001605c 0x1001765c 10  22   .rdata  utf16le uz-UZ-Cyrl
917  0x00016074 0x10017674 6   14   .rdata  utf16le quz-EC
918  0x00016084 0x10017684 5   12   .rdata  utf16le ar-EG
919  0x00016090 0x10017690 5   12   .rdata  utf16le zh-HK
920  0x0001609c 0x1001769c 5   12   .rdata  utf16le de-AT
921  0x000160a8 0x100176a8 5   12   .rdata  utf16le en-AU
922  0x000160b4 0x100176b4 5   12   .rdata  utf16le es-ES
923  0x000160c0 0x100176c0 5   12   .rdata  utf16le fr-CA
924  0x000160cc 0x100176cc 10  22   .rdata  utf16le sr-SP-Cyrl
925  0x000160e4 0x100176e4 5   12   .rdata  utf16le se-FI
926  0x000160f0 0x100176f0 6   14   .rdata  utf16le quz-PE
927  0x00016100 0x10017700 5   12   .rdata  utf16le ar-LY
928  0x0001610c 0x1001770c 5   12   .rdata  utf16le zh-SG
929  0x00016118 0x10017718 5   12   .rdata  utf16le de-LU
930  0x00016124 0x10017724 5   12   .rdata  utf16le en-CA
931  0x00016130 0x10017730 5   12   .rdata  utf16le es-GT
932  0x0001613c 0x1001773c 5   12   .rdata  utf16le fr-CH
933  0x00016148 0x10017748 5   12   .rdata  utf16le hr-BA
934  0x00016154 0x10017754 6   14   .rdata  utf16le smj-NO
935  0x00016164 0x10017764 5   12   .rdata  utf16le ar-DZ
936  0x00016170 0x10017770 5   12   .rdata  utf16le zh-MO
937  0x0001617c 0x1001777c 5   12   .rdata  utf16le de-LI
938  0x00016188 0x10017788 5   12   .rdata  utf16le en-NZ
939  0x00016194 0x10017794 5   12   .rdata  utf16le es-CR
940  0x000161a0 0x100177a0 5   12   .rdata  utf16le fr-LU
941  0x000161ac 0x100177ac 10  22   .rdata  utf16le bs-BA-Latn
942  0x000161c4 0x100177c4 6   14   .rdata  utf16le smj-SE
943  0x000161d4 0x100177d4 5   12   .rdata  utf16le ar-MA
944  0x000161e0 0x100177e0 5   12   .rdata  utf16le en-IE
945  0x000161ec 0x100177ec 5   12   .rdata  utf16le es-PA
946  0x000161f8 0x100177f8 5   12   .rdata  utf16le fr-MC
947  0x00016204 0x10017804 10  22   .rdata  utf16le sr-BA-Latn
948  0x0001621c 0x1001781c 6   14   .rdata  utf16le sma-NO
949  0x0001622c 0x1001782c 5   12   .rdata  utf16le ar-TN
950  0x00016238 0x10017838 5   12   .rdata  utf16le en-ZA
951  0x00016244 0x10017844 5   12   .rdata  utf16le es-DO
952  0x00016250 0x10017850 10  22   .rdata  utf16le sr-BA-Cyrl
953  0x00016268 0x10017868 6   14   .rdata  utf16le sma-SE
954  0x00016278 0x10017878 5   12   .rdata  utf16le ar-OM
955  0x00016284 0x10017884 5   12   .rdata  utf16le en-JM
956  0x00016290 0x10017890 5   12   .rdata  utf16le es-VE
957  0x0001629c 0x1001789c 6   14   .rdata  utf16le sms-FI
958  0x000162ac 0x100178ac 5   12   .rdata  utf16le ar-YE
959  0x000162b8 0x100178b8 5   12   .rdata  utf16le en-CB
960  0x000162c4 0x100178c4 5   12   .rdata  utf16le es-CO
961  0x000162d0 0x100178d0 6   14   .rdata  utf16le smn-FI
962  0x000162e0 0x100178e0 5   12   .rdata  utf16le ar-SY
963  0x000162ec 0x100178ec 5   12   .rdata  utf16le en-BZ
964  0x000162f8 0x100178f8 5   12   .rdata  utf16le es-PE
965  0x00016304 0x10017904 5   12   .rdata  utf16le ar-JO
966  0x00016310 0x10017910 5   12   .rdata  utf16le en-TT
967  0x0001631c 0x1001791c 5   12   .rdata  utf16le es-AR
968  0x00016328 0x10017928 5   12   .rdata  utf16le ar-LB
969  0x00016334 0x10017934 5   12   .rdata  utf16le en-ZW
970  0x00016340 0x10017940 5   12   .rdata  utf16le es-EC
971  0x0001634c 0x1001794c 5   12   .rdata  utf16le ar-KW
972  0x00016358 0x10017958 5   12   .rdata  utf16le en-PH
973  0x00016364 0x10017964 5   12   .rdata  utf16le es-CL
974  0x00016370 0x10017970 5   12   .rdata  utf16le ar-AE
975  0x0001637c 0x1001797c 5   12   .rdata  utf16le es-UY
976  0x00016388 0x10017988 5   12   .rdata  utf16le ar-BH
977  0x00016394 0x10017994 5   12   .rdata  utf16le es-PY
978  0x000163a0 0x100179a0 5   12   .rdata  utf16le ar-QA
979  0x000163ac 0x100179ac 5   12   .rdata  utf16le es-BO
980  0x000163b8 0x100179b8 5   12   .rdata  utf16le es-SV
981  0x000163c4 0x100179c4 5   12   .rdata  utf16le es-HN
982  0x000163d0 0x100179d0 5   12   .rdata  utf16le es-NI
983  0x000163dc 0x100179dc 5   12   .rdata  utf16le es-PR
984  0x000163e8 0x100179e8 6   14   .rdata  utf16le zh-CHT
985  0x00016b2c 0x1001812c 5   12   .rdata  utf16le ar-ae
986  0x00016b38 0x10018138 5   12   .rdata  utf16le ar-bh
987  0x00016b44 0x10018144 5   12   .rdata  utf16le ar-dz
988  0x00016b50 0x10018150 5   12   .rdata  utf16le ar-eg
989  0x00016b5c 0x1001815c 5   12   .rdata  utf16le ar-iq
990  0x00016b68 0x10018168 5   12   .rdata  utf16le ar-jo
991  0x00016b74 0x10018174 5   12   .rdata  utf16le ar-kw
992  0x00016b80 0x10018180 5   12   .rdata  utf16le ar-lb
993  0x00016b8c 0x1001818c 5   12   .rdata  utf16le ar-ly
994  0x00016b98 0x10018198 5   12   .rdata  utf16le ar-ma
995  0x00016ba4 0x100181a4 5   12   .rdata  utf16le ar-om
996  0x00016bb0 0x100181b0 5   12   .rdata  utf16le ar-qa
997  0x00016bbc 0x100181bc 5   12   .rdata  utf16le ar-sa
998  0x00016bc8 0x100181c8 5   12   .rdata  utf16le ar-sy
999  0x00016bd4 0x100181d4 5   12   .rdata  utf16le ar-tn
1000 0x00016be0 0x100181e0 5   12   .rdata  utf16le ar-ye
1001 0x00016bec 0x100181ec 10  22   .rdata  utf16le az-az-cyrl
1002 0x00016c04 0x10018204 10  22   .rdata  utf16le az-az-latn
1003 0x00016c1c 0x1001821c 5   12   .rdata  utf16le be-by
1004 0x00016c28 0x10018228 5   12   .rdata  utf16le bg-bg
1005 0x00016c34 0x10018234 5   12   .rdata  utf16le bn-in
1006 0x00016c40 0x10018240 10  22   .rdata  utf16le bs-ba-latn
1007 0x00016c58 0x10018258 5   12   .rdata  utf16le ca-es
1008 0x00016c64 0x10018264 5   12   .rdata  utf16le cs-cz
1009 0x00016c70 0x10018270 5   12   .rdata  utf16le cy-gb
1010 0x00016c7c 0x1001827c 5   12   .rdata  utf16le da-dk
1011 0x00016c88 0x10018288 5   12   .rdata  utf16le de-at
1012 0x00016c94 0x10018294 5   12   .rdata  utf16le de-ch
1013 0x00016ca0 0x100182a0 5   12   .rdata  utf16le de-de
1014 0x00016cac 0x100182ac 5   12   .rdata  utf16le de-li
1015 0x00016cb8 0x100182b8 5   12   .rdata  utf16le de-lu
1016 0x00016cc4 0x100182c4 6   14   .rdata  utf16le div-mv
1017 0x00016cd4 0x100182d4 5   12   .rdata  utf16le el-gr
1018 0x00016ce0 0x100182e0 5   12   .rdata  utf16le en-au
1019 0x00016cec 0x100182ec 5   12   .rdata  utf16le en-bz
1020 0x00016cf8 0x100182f8 5   12   .rdata  utf16le en-ca
1021 0x00016d04 0x10018304 5   12   .rdata  utf16le en-cb
1022 0x00016d10 0x10018310 5   12   .rdata  utf16le en-gb
1023 0x00016d1c 0x1001831c 5   12   .rdata  utf16le en-ie
1024 0x00016d28 0x10018328 5   12   .rdata  utf16le en-jm
1025 0x00016d34 0x10018334 5   12   .rdata  utf16le en-nz
1026 0x00016d40 0x10018340 5   12   .rdata  utf16le en-ph
1027 0x00016d4c 0x1001834c 5   12   .rdata  utf16le en-tt
1028 0x00016d58 0x10018358 5   12   .rdata  utf16le en-us
1029 0x00016d64 0x10018364 5   12   .rdata  utf16le en-za
1030 0x00016d70 0x10018370 5   12   .rdata  utf16le en-zw
1031 0x00016d7c 0x1001837c 5   12   .rdata  utf16le es-ar
1032 0x00016d88 0x10018388 5   12   .rdata  utf16le es-bo
1033 0x00016d94 0x10018394 5   12   .rdata  utf16le es-cl
1034 0x00016da0 0x100183a0 5   12   .rdata  utf16le es-co
1035 0x00016dac 0x100183ac 5   12   .rdata  utf16le es-cr
1036 0x00016db8 0x100183b8 5   12   .rdata  utf16le es-do
1037 0x00016dc4 0x100183c4 5   12   .rdata  utf16le es-ec
1038 0x00016dd0 0x100183d0 5   12   .rdata  utf16le es-es
1039 0x00016ddc 0x100183dc 5   12   .rdata  utf16le es-gt
1040 0x00016de8 0x100183e8 5   12   .rdata  utf16le es-hn
1041 0x00016df4 0x100183f4 5   12   .rdata  utf16le es-mx
1042 0x00016e00 0x10018400 5   12   .rdata  utf16le es-ni
1043 0x00016e0c 0x1001840c 5   12   .rdata  utf16le es-pa
1044 0x00016e18 0x10018418 5   12   .rdata  utf16le es-pe
1045 0x00016e24 0x10018424 5   12   .rdata  utf16le es-pr
1046 0x00016e30 0x10018430 5   12   .rdata  utf16le es-py
1047 0x00016e3c 0x1001843c 5   12   .rdata  utf16le es-sv
1048 0x00016e48 0x10018448 5   12   .rdata  utf16le es-uy
1049 0x00016e54 0x10018454 5   12   .rdata  utf16le es-ve
1050 0x00016e60 0x10018460 5   12   .rdata  utf16le et-ee
1051 0x00016e6c 0x1001846c 5   12   .rdata  utf16le eu-es
1052 0x00016e78 0x10018478 5   12   .rdata  utf16le fa-ir
1053 0x00016e84 0x10018484 5   12   .rdata  utf16le fi-fi
1054 0x00016e90 0x10018490 5   12   .rdata  utf16le fo-fo
1055 0x00016e9c 0x1001849c 5   12   .rdata  utf16le fr-be
1056 0x00016ea8 0x100184a8 5   12   .rdata  utf16le fr-ca
1057 0x00016eb4 0x100184b4 5   12   .rdata  utf16le fr-ch
1058 0x00016ec0 0x100184c0 5   12   .rdata  utf16le fr-fr
1059 0x00016ecc 0x100184cc 5   12   .rdata  utf16le fr-lu
1060 0x00016ed8 0x100184d8 5   12   .rdata  utf16le fr-mc
1061 0x00016ee4 0x100184e4 5   12   .rdata  utf16le gl-es
