[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1     0x000000f0 0x000000f0 4   5            ascii   Rich
2     0x000001f8 0x000001f8 5   6            ascii   .text
3     0x0000021f 0x0000021f 7   8            ascii   `.rdata
4     0x00000247 0x00000247 6   7            ascii   @.data
5     0x00000270 0x00000270 5   6            ascii   .UPX0
6     0x00000298 0x00000298 4   5            ascii   .tls
7     0x000002c0 0x000002c0 5   6            ascii   .UPX1
8     0x000002e8 0x000002e8 6   7            ascii   .reloc
9     0x0000030f 0x0000030f 6   7            ascii   @.rsrc
10    0x000006fd 0x004220fd 4   5    .UPX1   ascii   /GgQ
11    0x00000747 0x00422147 7   8    .UPX1   ascii   3[xNof_
12    0x0000076c 0x0042216c 8   11   .UPX1   utf8    \n\n̹R' Е] blocks=Basic Latin,Combining Diacritical Marks,Cyrillic
13    0x000007a5 0x004221a5 4   6    .UPX1   utf8    HhW݄ blocks=Basic Latin,Syriac
14    0x000007eb 0x004221eb 4   5    .UPX1   ascii   |$\b`
15    0x0000084f 0x0042224f 4   5    .UPX1   ascii   aIp@
16    0x0000085a 0x0042225a 5   7    .UPX1   utf8    |ѓ\nKq blocks=Basic Latin,Cyrillic
17    0x00000861 0x00422261 4   5    .UPX1   ascii   N\bFB
18    0x0000086f 0x0042226f 4   5    .UPX1   ascii   V\rx\e
19    0x0000090f 0x0042230f 6   7    .UPX1   ascii   @q )31
20    0x00000985 0x00422385 5   6    .UPX1   ascii   AyN+ 
21    0x000009ab 0x004223ab 4   5    .UPX1   ascii   u^<=
22    0x000009ef 0x004223ef 5   6    .UPX1   ascii   w_C9^
23    0x00000a92 0x00422492 7   10   .UPX1   utf8    _~K2';䒓 blocks=Basic Latin,CJK Unified Ideographs Extension A
24    0x00000aa1 0x004224a1 6   7    .UPX1   ascii   ~MLm45
25    0x00000ad3 0x004224d3 7   8    .UPX1   ascii   UE_dY_)
26    0x00000b45 0x00422545 4   5    .UPX1   ascii   vE0-
27    0x00000bd7 0x004225d7 5   6    .UPX1   ascii   D$\b`V
28    0x00000c2a 0x0042262a 4   5    .UPX1   ascii   mlk\n
29    0x00000c3d 0x0042263d 4   5    .UPX1   ascii   p'j,
30    0x00000c80 0x00422680 5   6    .UPX1   ascii   1 \qf
31    0x00000c90 0x00422690 4   5    .UPX1   ascii   Wt)\b
32    0x00000cc0 0x004226c0 4   5    .UPX1   ascii   $\n`S
33    0x00000ccf 0x004226cf 4   5    .UPX1   ascii   D$\f|
34    0x00000d26 0x00422726 5   6    .UPX1   ascii   E_\6{
35    0x00000d34 0x00422734 6   7    .UPX1   ascii   D$,|CO
36    0x00000d78 0x00422778 4   6    .UPX1   utf8    $ٍd$ blocks=Basic Latin,Arabic
37    0x00000d8b 0x0042278b 5   8    .UPX1   utf8    d$0鯽\r blocks=Basic Latin,CJK Unified Ideographs
38    0x00000d99 0x00422799 4   6    .UPX1   utf8    B9%ɱ blocks=Basic Latin,IPA Extensions
39    0x00000dba 0x004227ba 4   5    .UPX1   ascii   g$)Z
40    0x00000dc0 0x004227c0 4   5    .UPX1   ascii   ,%Jm
41    0x00000dd3 0x004227d3 4   5    .UPX1   ascii   #im2
42    0x00000e40 0x00422840 5   6    .UPX1   ascii   Kj;JS
43    0x00000e46 0x00422846 8   10   .UPX1   utf8    /N_&#bĶ\e blocks=Basic Latin,Latin Extended-A
44    0x00000e65 0x00422865 5   8    .UPX1   utf8    !崯\fGE blocks=Basic Latin,CJK Unified Ideographs
45    0x00000e7a 0x0042287a 4   5    .UPX1   ascii   \eDcp
46    0x00000ef0 0x004228f0 4   5    .UPX1   ascii   CSyx
47    0x00000f00 0x00422900 6   7    .UPX1   ascii   araB1F
48    0x00000f26 0x00422926 4   5    .UPX1   ascii   %\bXc
49    0x00000f2b 0x0042292b 5   6    .UPX1   ascii   "aF\fO
50    0x00000f66 0x00422966 4   5    .UPX1   ascii   I7:&
51    0x00000f99 0x00422999 4   5    .UPX1   ascii   \rNSm
52    0x00000fb2 0x004229b2 7   8    .UPX1   ascii   \rD3P*Vk
53    0x00000fda 0x004229da 4   5    .UPX1   ascii   `BsQ
54    0x00000ff1 0x004229f1 4   5    .UPX1   ascii   sX`^
55    0x00001092 0x00422a92 4   5    .UPX1   ascii   yVrn
56    0x000010a3 0x00422aa3 4   5    .UPX1   ascii   SpHT
57    0x000010ed 0x00422aed 4   5    .UPX1   ascii   Ea}U
58    0x00001101 0x00422b01 4   5    .UPX1   ascii   b?ye
59    0x00001127 0x00422b27 4   5    .UPX1   ascii   uoOS
60    0x00001168 0x00422b68 4   6    .UPX1   utf8    ߨu&{ blocks=NKo,Basic Latin
61    0x0000123c 0x00422c3c 4   5    .UPX1   ascii   AxYx
62    0x00001262 0x00422c62 4   5    .UPX1   ascii   3S~E
63    0x0000128f 0x00422c8f 5   6    .UPX1   ascii   y{\b!~
64    0x00001298 0x00422c98 4   6    .UPX1   utf8    _eئ] blocks=Basic Latin,Arabic
65    0x000012a2 0x00422ca2 4   5    .UPX1   ascii   v\atm
66    0x00001333 0x00422d33 16  17   .UPX1   ascii   GetModuleHandleA
67    0x000013a3 0x00422da3 4   6    .UPX1   utf8    B3/צ blocks=Basic Latin,Hebrew
68    0x000013dc 0x00422ddc 6   7    .UPX1   ascii   glcl,i
69    0x00001402 0x00422e02 4   5    .UPX1   ascii   iv{9
70    0x00001415 0x00422e15 4   5    .UPX1   ascii   _~zw
71    0x000014f3 0x00422ef3 4   5    .UPX1   ascii   {$a}
72    0x000014ff 0x00422eff 4   6    .UPX1   utf8    |d=γ blocks=Basic Latin,Greek and Coptic
73    0x00001511 0x00422f11 4   5    .UPX1   ascii   q\v,@
74    0x0000152e 0x00422f2e 4   5    .UPX1   ascii   1\fI]
75    0x0000153c 0x00422f3c 5   6    .UPX1   ascii   qNjr=
76    0x00001584 0x00422f84 7   12   .UPX1   utf8    ժ.]^\bṔé blocks=Armenian,Basic Latin,Latin Extended Additional,Latin-1 Supplement
77    0x000015a3 0x00422fa3 4   8    .UPX1   utf8    I蚧Sݞ blocks=Basic Latin,CJK Unified Ideographs,Arabic Supplement
78    0x000015ab 0x00422fab 5   6    .UPX1   ascii   ul[kF
79    0x000015b8 0x00422fb8 4   5    .UPX1   ascii   !'20
80    0x000015fc 0x00422ffc 5   6    .UPX1   ascii   9QrQn
81    0x00001624 0x00423024 4   5    .UPX1   ascii   pg`W
82    0x0000162a 0x0042302a 6   7    .UPX1   ascii   \s`?<B
83    0x0000167e 0x0042307e 4   6    .UPX1   utf8    ڇD$\f blocks=Arabic,Basic Latin
84    0x000016b3 0x004230b3 7   8    .UPX1   ascii   \eTsd\n]9
85    0x00001718 0x00423118 4   5    .UPX1   ascii   ?\r~o
86    0x00001755 0x00423155 4   5    .UPX1   ascii   4m~\b
87    0x000017b2 0x004231b2 4   5    .UPX1   ascii   t$\ff
88    0x000017dc 0x004231dc 9   10   .UPX1   ascii   B}78o4rU\
89    0x00001815 0x00423215 4   5    .UPX1   ascii   \bG'\e
90    0x00001838 0x00423238 4   8    .UPX1   utf8    SɌ뷐U blocks=Basic Latin,Latin Extended-B,Hangul Syllables
91    0x00001857 0x00423257 4   6    .UPX1   utf8    +s¢M blocks=Basic Latin,Latin-1 Supplement
92    0x00001879 0x00423279 4   7    .UPX1   utf8    崡\!! blocks=CJK Unified Ideographs,Basic Latin
93    0x00001891 0x00423291 9   10   .UPX1   ascii   oOxY^vFXr
94    0x000018ac 0x004232ac 5   6    .UPX1   ascii   h4`I^
95    0x000018b8 0x004232b8 6   8    .UPX1   utf8    \e.ϟ[k( blocks=Basic Latin,Greek and Coptic
96    0x000018fb 0x004232fb 6   7    .UPX1   ascii   =.~[k(
97    0x0000190a 0x0042330a 8   9    .UPX1   ascii   x7\fctcXG
98    0x0000191f 0x0042331f 6   8    .UPX1   utf8    قr>}R* blocks=Arabic,Basic Latin
99    0x00001927 0x00423327 7   9    .UPX1   utf8    E\)"pʻ[ blocks=Basic Latin,Spacing Modifier Letters
100   0x00001949 0x00423349 6   9    .UPX1   utf8     楚QA~# blocks=Basic Latin,CJK Unified Ideographs
101   0x000019c7 0x004233c7 4   5    .UPX1   ascii   \J_^
102   0x000019ea 0x004233ea 4   5    .UPX1   ascii   7Mj(
103   0x000019ef 0x004233ef 4   5    .UPX1   ascii   9QN=
104   0x00001a6c 0x0042346c 4   6    .UPX1   utf8    \vB\bf
105   0x00001b1c 0x0042351c 5   6    .UPX1   ascii   (pGN1
106   0x00001b35 0x00423535 4   5    .UPX1   ascii   \nKM6
107   0x00001b3e 0x0042353e 4   5    .UPX1   ascii   BzKy
108   0x00001b52 0x00423552 4   5    .UPX1   ascii   1f[H
109   0x00001b58 0x00423558 5   6    .UPX1   ascii   Ws05o
110   0x00001b66 0x00423566 4   5    .UPX1   ascii   MzAb
111   0x00001b6b 0x0042356b 9   10   .UPX1   ascii   ^}jXiq<Ct
112   0x00001b75 0x00423575 4   5    .UPX1   ascii   1xA 
113   0x00001bce 0x004235ce 4   5    .UPX1   ascii   Iq~C
114   0x00001bed 0x004235ed 4   5    .UPX1   ascii   [soQ
115   0x00001c35 0x00423635 5   8    .UPX1   utf8    qBB풁$ blocks=Basic Latin,Hangul Syllables
116   0x00001c42 0x00423642 4   5    .UPX1   ascii   ()J|
117   0x00001c7f 0x0042367f 4   5    .UPX1   ascii   I9FU
118   0x00001cf2 0x004236f2 4   5    .UPX1   ascii   v/+f
119   0x00001cfc 0x004236fc 5   6    .UPX1   ascii   p6e0,
120   0x00001d81 0x00423781 4   6    .UPX1   utf8    Θ~^k blocks=Greek and Coptic,Basic Latin
121   0x00001d95 0x00423795 4   6    .UPX1   utf8    /ӯ#\f blocks=Basic Latin,Cyrillic
122   0x00001dd4 0x004237d4 7   10   .UPX1   utf8    jh\nTЃ\tz blocks=Basic Latin,Cyrillic
123   0x00002659 0x00424059 4   5    .UPX1   ascii   M7-Y
124   0x00002695 0x00424095 4   5    .UPX1   ascii   ,"uJ
125   0x00002755 0x00424155 4   5    .UPX1   ascii   ;EvF
126   0x000027b3 0x004241b3 5   6    .UPX1   ascii   sI{Wd
127   0x000027ca 0x004241ca 4   6    .UPX1   utf8    X1#ҡ blocks=Basic Latin,Cyrillic
128   0x000027da 0x004241da 4   5    .UPX1   ascii   ,>PN
129   0x000027e0 0x004241e0 5   6    .UPX1   ascii   M\tm\ru
130   0x00002812 0x00424212 6   7    .UPX1   ascii   7\f>54g
131   0x0000281b 0x0042421b 5   7    .UPX1   utf8    'R̜=/ blocks=Basic Latin,Combining Diacritical Marks
132   0x0000283b 0x0042423b 4   5    .UPX1   ascii   9dn<
133   0x00002879 0x00424279 5   6    .UPX1   ascii   6dmFY
134   0x00002886 0x00424286 4   5    .UPX1   ascii   r\b~"
135   0x000028b3 0x004242b3 4   5    .UPX1   ascii   kMR\t
136   0x00002909 0x00424309 5   7    .UPX1   utf8    CE(ѷo blocks=Basic Latin,Cyrillic
137   0x0000293b 0x0042433b 4   7    .UPX1   utf8    `fǺJ blocks=Basic Latin,Latin Extended-B
138   0x00002942 0x00424342 5   7    .UPX1   utf8    \v#fTɿ blocks=Basic Latin,IPA Extensions
139   0x00002949 0x00424349 4   5    .UPX1   ascii   '[M>
140   0x00002960 0x00424360 6   8    .UPX1   utf8    ǌ.~LL_ blocks=Latin Extended-B,Basic Latin
141   0x000029a5 0x004243a5 4   6    .UPX1   utf8    !%qȰ blocks=Basic Latin,Latin Extended-B
142   0x000029af 0x004243af 4   5    .UPX1   ascii   v@UN
143   0x000029f6 0x004243f6 4   5    .UPX1   ascii   C< <
