[Strings]
nth   paddr      vaddr       len size section  type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d  44  45            ascii   !This program cannot be run in DOS mode.\r\r\n$
1     0x000000ad 0x000000ad  7   8             ascii   ]7\tWUL\t
2     0x000000d5 0x000000d5  7   8             ascii   ]7\tRich
3     0x00000200 0x00000200  5   6             ascii   .text
4     0x00000227 0x00000227  7   8             ascii   `.rdata
5     0x0000024f 0x0000024f  6   7             ascii   @.data
6     0x00000278 0x00000278  6   7             ascii   .pdata
7     0x0000029f 0x0000029f  6   7             ascii   @.rsrc
8     0x000002c7 0x000002c7  7   8             ascii   @.reloc
9     0x000002f0 0x000002f0  8   9             ascii   .v-lizer
10    0x00000402 0x180001002 4   5    .text    ascii   \$\bH
11    0x0000042c 0x18000102c 4   5    .text    ascii   L$ 3
12    0x00000483 0x180001083 4   5    .text    ascii   L$ 3
13    0x000004bc 0x1800010bc 4   5    .text    ascii   T$ H
14    0x000004ca 0x1800010ca 4   5    .text    ascii   L$ 3
15    0x0000050c 0x18000110c 4   5    .text    ascii   T$ H
16    0x0000051a 0x18000111a 4   5    .text    ascii   L$ 3
17    0x00000573 0x180001173 4   5    .text    ascii   L$ 3
18    0x000005ac 0x1800011ac 4   5    .text    ascii   T$ H
19    0x000005ba 0x1800011ba 4   5    .text    ascii   L$ 3
20    0x000005fc 0x1800011fc 4   5    .text    ascii   T$ H
21    0x0000060a 0x18000120a 4   5    .text    ascii   L$ 3
22    0x0000064c 0x18000124c 4   5    .text    ascii   T$ H
23    0x0000065a 0x18000125a 4   5    .text    ascii   L$ 3
24    0x0000069c 0x18000129c 4   5    .text    ascii   T$ H
25    0x000006aa 0x1800012aa 4   5    .text    ascii   L$ 3
26    0x000006ec 0x1800012ec 4   5    .text    ascii   T$ H
27    0x000006fa 0x1800012fa 4   5    .text    ascii   L$ 3
28    0x0000073c 0x18000133c 4   5    .text    ascii   T$ H
29    0x0000074a 0x18000134a 4   5    .text    ascii   L$ 3
30    0x0000078c 0x18000138c 4   5    .text    ascii   T$ H
31    0x0000079a 0x18000139a 4   5    .text    ascii   L$ 3
32    0x000007dc 0x1800013dc 4   5    .text    ascii   T$ H
33    0x000007ea 0x1800013ea 4   5    .text    ascii   L$ 3
34    0x0000082c 0x18000142c 4   5    .text    ascii   T$ H
35    0x0000083a 0x18000143a 4   5    .text    ascii   L$ 3
36    0x0000087c 0x18000147c 4   5    .text    ascii   T$ H
37    0x0000088a 0x18000148a 4   5    .text    ascii   L$ 3
38    0x000008c0 0x1800014c0 4   5    .text    ascii   T$ H
39    0x00000953 0x180001553 4   5    .text    ascii   M0H3
40    0x0000098a 0x18000158a 6   7    .text    ascii   WATAUH
41    0x000009bc 0x1800015bc 4   5    .text    ascii   U:R9
42    0x000009de 0x1800015de 5   7    .text    utf8    Z,HDe
43    0x00000a4b 0x18000164b 4   5    .text    ascii   t$@H
44    0x00000a50 0x180001650 4   5    .text    ascii   \$HH
45    0x00000a55 0x180001655 4   5    .text    ascii   l$PH
46    0x00000a5b 0x18000165b 6   7    .text    ascii    A]A\_
47    0x00000a72 0x180001672 6   7    .text    ascii   |$ ATH
48    0x00000a9f 0x18000169f 4   5    .text    ascii   |$HH
49    0x00000ab1 0x1800016b1 4   5    .text    ascii   \$0H
50    0x00000ab6 0x1800016b6 4   5    .text    ascii   l$8H
51    0x00000abb 0x1800016bb 4   5    .text    ascii   t$@I
52    0x00000ae2 0x1800016e2 4   5    .text    ascii   v\n.H
53    0x00000b57 0x180001757 4   8    .text    utf8    Ɉ҈ۃ~ blocks=Latin Extended-B,Cyrillic,Arabic,Basic Latin
54    0x00000b6d 0x18000176d 4   5    .text    ascii   l$8H
55    0x00000b72 0x180001772 4   5    .text    ascii   \$0H
56    0x00000b77 0x180001777 4   5    .text    ascii   t$@H
57    0x00000b7c 0x18000177c 4   5    .text    ascii   |$HH
58    0x00000b95 0x180001795 4   5    .text    ascii   UVWH
59    0x00000ba5 0x1800017a5 4   5    .text    ascii   Hc~<
60    0x00000bb8 0x1800017b8 4   5    .text    ascii   l70H
61    0x00000bc7 0x1800017c7 4   5    .text    ascii   \$PH
62    0x00000bcd 0x1800017cd 5   7    .text    utf8     _^]Ë blocks=Basic Latin,Latin-1 Supplement
63    0x00000be0 0x1800017e0 4   5    .text    ascii   d$@L
64    0x00000bf1 0x1800017f1 4   5    .text    ascii   l$HA
65    0x00000c3d 0x18000183d 4   5    .text    ascii   "xaz
66    0x00000c57 0x180001857 5   7    .text    utf8    ѮBLS3 blocks=Cyrillic,Basic Latin
67    0x00000c6a 0x18000186a 4   5    .text    ascii   l$HL
68    0x00000c6f 0x18000186f 4   5    .text    ascii   d$@H
69    0x00000c7f 0x18000187f 4   5    .text    ascii    _^]
70    0x00000ca5 0x1800018a5 4   5    .text    ascii   D$8H
71    0x00000cc5 0x1800018c5 4   5    .text    ascii   |$ H
72    0x00000cd8 0x1800018d8 4   5    .text    ascii   Hc_<
73    0x00000cdd 0x1800018dd 7   11   .text    utf8    \b\bɋ\;(H blocks=Basic Latin,Latin Extended-B
74    0x00000d07 0x180001907 4   5    .text    ascii   \$0H
75    0x00000d0f 0x18000190f 4   5    .text    ascii   |$ H
76    0x00000d2c 0x18000192c 5   6    .text    ascii   d$ UH
77    0x00000d7c 0x18000197c 5   6    .text    ascii   2.kO4
78    0x00000d9e 0x18000199e 4   8    .text    utf8    3ѥ֖٢ blocks=Basic Latin,Cyrillic,Hebrew,Arabic
79    0x00000e02 0x180001a02 5   6    .text    ascii   \aQrdk
80    0x00000e11 0x180001a11 4   5    .text    ascii   \e\E`
81    0x00000e1e 0x180001a1e 5   7    .text    utf8    /Hϑ"] blocks=Basic Latin,Greek and Coptic
82    0x00000e2f 0x180001a2f 4   5    .text    ascii   R?\e+
83    0x00000e3d 0x180001a3d 4   6    .text    utf8    ~`Ÿk blocks=Basic Latin,Latin Extended-A
84    0x00000e54 0x180001a54 4   5    .text    ascii   5!8*
