[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
77   0x00000bc9 0x100017c9 4   5    .text   ascii   D$,H
78   0x00000bd6 0x100017d6 4   6    .text   utf8    \tD$D
79   0x00000be7 0x100017e7 9   12   .text   utf8    L$h+ȋID$h blocks=Basic Latin,Latin Extended-B
80   0x00000bfa 0x100017fa 4   5    .text   ascii   D$,H
81   0x00000bff 0x100017ff 4   5    .text   ascii   D$0H
82   0x00000c0d 0x1000180d 5   7    .text   utf8    +KL$h
83   0x00000c15 0x10001815 6   9    .text   utf8    ȋID$hH blocks=Latin Extended-B,Basic Latin
84   0x00000c35 0x10001835 4   5    .text   ascii   D$\fu
85   0x00000c49 0x10001849 6   9    .text   utf8    L$\f+ȋI blocks=Basic Latin,Latin Extended-B
86   0x00000c71 0x10001871 5   8    .text   utf8    \f$+ȋI blocks=Basic Latin,Latin Extended-B
87   0x00000c89 0x10001889 4   7    .text   utf8    ȋKL$ blocks=Latin Extended-B,Basic Latin
88   0x00000c90 0x10001890 5   8    .text   utf8    +ȋID$ blocks=Basic Latin,Latin Extended-B
89   0x00000c9c 0x1000189c 5   7    .text   utf8    L$\f\vȋ blocks=Basic Latin,Latin Extended-B
90   0x00000caa 0x100018aa 5   8    .text   utf8    +ȋID$ blocks=Basic Latin,Latin Extended-B
91   0x00000cc8 0x100018c8 5   6    .text   ascii   D$0[0
92   0x00000cd1 0x100018d1 4   5    .text   ascii   D$0H
93   0x00000cea 0x100018ea 11  15   .text   utf8    +KL$0+ȋID$0 blocks=Basic Latin,Latin Extended-B
94   0x00000d02 0x10001902 4   5    .text   ascii   D$8H
95   0x00000d22 0x10001922 6   9    .text   utf8    ȋID$8H blocks=Latin Extended-B,Basic Latin
96   0x00000d2b 0x1000192b 4   5    .text   ascii   D$8H
97   0x00000d30 0x10001930 4   5    .text   ascii   D$@H
98   0x00000d40 0x10001940 4   6    .text   utf8    ID$4
99   0x00000d46 0x10001946 4   5    .text   ascii   D$ @
100  0x00000dab 0x100019ab 4   5    .text   ascii   syHc
101  0x00000e30 0x10001a30 4   5    .text   ascii   D$HH
102  0x00000e57 0x10001a57 10  13   .text   utf8    L$H+ȋID$HH blocks=Basic Latin,Latin Extended-B
103  0x00000e6b 0x10001a6b 4   5    .text   ascii   D$PH
104  0x00000e7d 0x10001a7d 4   5    .text   ascii   D$XH
105  0x00000e89 0x10001a89 4   5    .text   ascii   D$`H
106  0x00000e96 0x10001a96 5   6    .text   ascii   D$piT
107  0x00000ea4 0x10001aa4 4   5    .text   ascii   D$tH
108  0x00000eb0 0x10001ab0 5   7    .text   utf8    D$xǄ$ blocks=Basic Latin,Latin Extended-B
109  0x00000f15 0x10001b15 4   5    .text   ascii   D$\b?
110  0x00000f1e 0x10001b1e 4   5    .text   ascii   D$\bH
111  0x00000f26 0x10001b26 4   5    .text   ascii   D$\fC
112  0x00000f32 0x10001b32 5   7    .text   utf8    L$\b#ȋ blocks=Basic Latin,Latin Extended-B
113  0x00000f40 0x10001b40 5   8    .text   utf8    ȋKL$\b blocks=Latin Extended-B,Basic Latin
114  0x00000f49 0x10001b49 6   9    .text   utf8    ȋID$\bH blocks=Latin Extended-B,Basic Latin
115  0x00000f5f 0x10001b5f 5   7    .text   utf8    ̉L$\bH blocks=Combining Diacritical Marks,Basic Latin
116  0x00000f82 0x10001b82 4   5    .text   ascii   D$4H
117  0x00000f87 0x10001b87 4   5    .text   ascii   D$(H
118  0x00000fa0 0x10001ba0 7   8    .text   ascii   D$P9D$ 
119  0x00000fab 0x10001bab 4   5    .text   ascii   D$PH
120  0x00000fb4 0x10001bb4 6   7    .text   ascii   D$ %lr
121  0x00000fc4 0x10001bc4 9   12   .text   utf8    L$ +ȋID$  blocks=Basic Latin,Latin Extended-B
122  0x00000ffa 0x10001bfa 4   5    .text   ascii   D$ l
123  0x00001013 0x10001c13 9   12   .text   utf8    L$(+ȋID$( blocks=Basic Latin,Latin Extended-B
124  0x00001023 0x10001c23 9   12   .text   utf8    L$(+ȋID$$ blocks=Basic Latin,Latin Extended-B
125  0x00001036 0x10001c36 4   5    .text   ascii   D$0N
126  0x0000103f 0x10001c3f 4   5    .text   ascii   D$0H
127  0x00001066 0x10001c66 9   12   .text   utf8    L$ +ȋID$  blocks=Basic Latin,Latin Extended-B
128  0x00001082 0x10001c82 5   8    .text   utf8    ȋKL$4 blocks=Latin Extended-B,Basic Latin
129  0x0000108a 0x10001c8a 6   9    .text   utf8    ȋID$4H blocks=Latin Extended-B,Basic Latin
130  0x000010ab 0x10001cab 10  13   .text   utf8    L$(+ȋID$(H blocks=Basic Latin,Latin Extended-B
131  0x000010b8 0x10001cb8 4   5    .text   ascii   D$(H
132  0x000010d2 0x10001cd2 5   8    .text   utf8    ȋKL$( blocks=Latin Extended-B,Basic Latin
133  0x000010da 0x10001cda 6   9    .text   utf8    ȋID$(H blocks=Latin Extended-B,Basic Latin
134  0x00001115 0x10001d15 19  20   .text   ascii   QRSVWUARASATAUAVAWI
135  0x000011c5 0x10001dc5 4   5    .text   ascii   L$\bH
136  0x000011ec 0x10001dec 4   5    .text   ascii   D$0H
137  0x000011f1 0x10001df1 4   5    .text   ascii   D$ H
138  0x000011ff 0x10001dff 10  13   .text   utf8    L$,+ȋID$XH blocks=Basic Latin,Latin Extended-B
139  0x00001215 0x10001e15 4   5    .text   ascii   L$\bH
140  0x0000122e 0x10001e2e 4   5    .text   ascii   D$\bH
141  0x00001243 0x10001e43 5   7    .text   utf8    L$\f#ȋ blocks=Basic Latin,Latin Extended-B
142  0x00001260 0x10001e60 4   5    .text   ascii   D$\bH
143  0x0000127d 0x10001e7d 4   7    .text   utf8    ȋID$ blocks=Latin Extended-B,Basic Latin
144  0x00001286 0x10001e86 4   5    .text   ascii   D$\fH
145  0x0000128b 0x10001e8b 4   5    .text   ascii   D$ H
146  0x00001290 0x10001e90 4   5    .text   ascii   D$\fH
147  0x00001295 0x10001e95 4   5    .text   ascii   D$(H
148  0x000012ac 0x10001eac 6   9    .text   utf8    ȋID$HH blocks=Latin Extended-B,Basic Latin
149  0x000012bf 0x10001ebf 5   7    .text   utf8    ̉L$\bH blocks=Combining Diacritical Marks,Basic Latin
150  0x000012dd 0x10001edd 4   6    .text   utf8    \tD$4
151  0x000012f2 0x10001ef2 5   7    .text   utf8    D$DJԿ blocks=Basic Latin,Armenian
152  0x00001307 0x10001f07 5   8    .text   utf8    ȋID$D blocks=Latin Extended-B,Basic Latin
153  0x00001318 0x10001f18 4   5    .text   ascii   D$(H
154  0x0000131d 0x10001f1d 4   5    .text   ascii   D$8H
155  0x0000132c 0x10001f2c 5   8    .text   utf8    ȋID$, blocks=Latin Extended-B,Basic Latin
156  0x00001334 0x10001f34 4   5    .text   ascii   D$`%
157  0x00001347 0x10001f47 5   8    .text   utf8    ȋID$` blocks=Latin Extended-B,Basic Latin
158  0x00001362 0x10001f62 4   5    .text   ascii   D$(H
159  0x0000136b 0x10001f6b 4   5    .text   ascii   D$`!
160  0x00001377 0x10001f77 5   7    .text   utf8    L$,#ȋ blocks=Basic Latin,Latin Extended-B
161  0x0000138b 0x10001f8b 6   9    .text   utf8    ȋID$(H blocks=Latin Extended-B,Basic Latin
162  0x000013c2 0x10001fc2 7   8    .text   ascii   D$$9D$$
163  0x000013dd 0x10001fdd 4   5    .text   ascii   D$(e
164  0x00001406 0x10002006 4   5    .text   ascii   D$0H
165  0x00001413 0x10002013 5   7    .text   utf8    L$ #ȋ blocks=Basic Latin,Latin Extended-B
166  0x00001438 0x10002038 4   5    .text   ascii   D$ H
167  0x0000143d 0x1000203d 4   5    .text   ascii   D$HH
168  0x0000144b 0x1000204b 5   7    .text   utf8    +ID$,
169  0x00001468 0x10002068 4   5    .text   ascii   D$ H
170  0x0000146d 0x1000206d 4   5    .text   ascii   D$PH
171  0x0000147b 0x1000207b 5   7    .text   utf8    \vKL$$
172  0x00001482 0x10002082 11  16   .text   utf8    ȋKL$$+ȋID$$ blocks=Latin Extended-B,Basic Latin
173  0x000014ba 0x100020ba 4   5    .text   ascii   L$\bH
174  0x000014f8 0x100020f8 5   8    .text   utf8    \f$+ȋI blocks=Basic Latin,Latin Extended-B
175  0x0000154b 0x1000214b 4   7    .text   utf8    ȋID$ blocks=Latin Extended-B,Basic Latin
176  0x00001563 0x10002163 4   5    .text   ascii   D$(H
177  0x00001571 0x10002171 5   8    .text   utf8    +ȋKL$ blocks=Basic Latin,Latin Extended-B
178  0x0000157b 0x1000217b 4   7    .text   utf8    ȋID$ blocks=Latin Extended-B,Basic Latin
179  0x00001591 0x10002191 4   6    .text   utf8    \tD$0
180  0x000015a5 0x100021a5 5   8    .text   utf8    +ȋID$ blocks=Basic Latin,Latin Extended-B
181  0x000015c5 0x100021c5 4   5    .text   ascii   L$\bH
182  0x000015db 0x100021db 4   6    .text   utf8    \tD$8
183  0x000015f6 0x100021f6 4   5    .text   ascii   D$ \
184  0x00001607 0x10002207 4   5    .text   ascii   D$ H
185  0x0000160c 0x1000220c 4   5    .text   ascii   D$0H
186  0x0000161a 0x1000221a 5   7    .text   utf8    #KL$P
187  0x00001625 0x10002225 5   7    .text   utf8    ID$XH
188  0x00001638 0x10002238 4   5    .text   ascii   D$0<
189  0x00001641 0x10002241 4   5    .text   ascii   D$0H
190  0x00001646 0x10002246 4   5    .text   ascii   D$ H
191  0x0000164b 0x1000224b 4   5    .text   ascii   D$0H
192  0x00001650 0x10002250 4   5    .text   ascii   D$8H
193  0x0000166b 0x1000226b 6   7    .text   ascii   |$0<|m
194  0x0000167a 0x1000227a 4   5    .text   ascii   D$@[
195  0x00001686 0x10002286 9   12   .text   utf8    L$,+ȋKL$( blocks=Basic Latin,Latin Extended-B
196  0x00001693 0x10002293 5   8    .text   utf8    ȋID$( blocks=Latin Extended-B,Basic Latin
197  0x000016a9 0x100022a9 4   6    .text   utf8    \tD$D
198  0x000016b7 0x100022b7 4   5    .text   ascii   D$(H
199  0x000016bc 0x100022bc 4   5    .text   ascii   D$HH
200  0x000016c7 0x100022c7 15  20   .text   utf8    L$@+ȋKL$@+ȋID$@ blocks=Basic Latin,Latin Extended-B
201  0x000016e7 0x100022e7 4   5    .text   ascii   D$,\r
202  0x000016f9 0x100022f9 5   8    .text   utf8    ȋID$( blocks=Latin Extended-B,Basic Latin
203  0x00001709 0x10002309 7   8    .text   ascii   D$09D$,
204  0x0000171f 0x1000231f 5   6    .text   ascii   |$X2R
205  0x0000172a 0x1000232a 4   5    .text   ascii   D$XH
206  0x0000173f 0x1000233f 5   7    .text   utf8    L$0#ȋ blocks=Basic Latin,Latin Extended-B
207  0x00001754 0x10002354 5   8    .text   utf8    ȋID$, blocks=Latin Extended-B,Basic Latin
208  0x0000175c 0x1000235c 5   6    .text   ascii   D$(%E
209  0x0000176d 0x1000236d 6   9    .text   utf8    ȋID$(H blocks=Latin Extended-B,Basic Latin
210  0x00001776 0x10002376 4   5    .text   ascii   D$,H
211  0x0000177f 0x1000237f 7   8    .text   ascii   D$\%V_O
212  0x0000178f 0x1000238f 5   8    .text   utf8    ȋKL$X blocks=Latin Extended-B,Basic Latin
213  0x00001797 0x10002397 5   8    .text   utf8    ȋID$X blocks=Latin Extended-B,Basic Latin
214  0x000017af 0x100023af 9   12   .text   utf8    L$,+ȋID$p blocks=Basic Latin,Latin Extended-B
215  0x000017d5 0x100023d5 4   5    .text   ascii   L$\bH
216  0x000017fa 0x100023fa 4   5    .text   ascii   L$\bH
217  0x0000181a 0x1000241a 4   6    .text   utf8    |$`ǯ blocks=Basic Latin,Latin Extended-B
218  0x00001836 0x10002436 5   6    .text   ascii   D$hRN
219  0x00001842 0x10002442 5   7    .text   utf8    L$$#ȋ blocks=Basic Latin,Latin Extended-B
220  0x00001849 0x10002449 4   5    .text   ascii   +D$$
221  0x00001871 0x10002471 5   8    .text   utf8    ȋID$` blocks=Latin Extended-B,Basic Latin
222  0x0000188b 0x1000248b 9   10   .text   ascii   D$09D$p|-
223  0x0000189d 0x1000249d 4   5    .text   ascii   D$hA
224  0x000018a6 0x100024a6 4   5    .text   ascii   D$hH
225  0x000018ab 0x100024ab 4   5    .text   ascii   D$8H
226  0x000018b6 0x100024b6 9   12   .text   utf8    L$ +ȋID$( blocks=Basic Latin,Latin Extended-B
227  0x000018c2 0x100024c2 4   5    .text   ascii   D$,/
228  0x000018ce 0x100024ce 4   6    .text   utf8    \tD$D
229  0x000018e4 0x100024e4 6   9    .text   utf8    ȋID$`H blocks=Latin Extended-B,Basic Latin
230  0x000018f5 0x100024f5 4   5    .text   ascii   D$ O
