[Strings]
nth  paddr      vaddr      len  size section    type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
172  0x00005f00 0x00405f00 4    5    .Themida   ascii   l$8H
173  0x00005f05 0x00405f05 4    5    .Themida   ascii   t$@H
174  0x00005f0a 0x00405f0a 4    5    .Themida   ascii   |$HH
175  0x00005f82 0x00405f82 5    6    .Themida   ascii   f95w(
176  0x00005fc1 0x00405fc1 4    5    .Themida   ascii   @8}Q
177  0x00005ffb 0x00405ffb 8    9    .Themida   ascii   MK@8}Qu(
178  0x0000605c 0x0040605c 7    8    .Themida   ascii   u.@8}Qu
179  0x00006091 0x00406091 4    5    .Themida   ascii   @8}Q
180  0x000060a9 0x004060a9 4    5    .Themida   ascii   @8}Q
181  0x000060c3 0x004060c3 7    8    .Themida   ascii   tY@8}Qu
182  0x0000615c 0x0040615c 14   15   .Themida   ascii   @USVWATAUAVAWH
183  0x000062bf 0x004062bf 5    6    .Themida   ascii   d$XE3
184  0x000062c7 0x004062c7 4    5    .Themida   ascii   L$P3
185  0x000062ce 0x004062ce 4    5    .Themida   ascii   d$HL
186  0x00006399 0x00406399 4    5    .Themida   ascii   D$ld
187  0x000063a2 0x004063a2 6    7    .Themida   ascii   d$t|\tE
188  0x00006416 0x00406416 5    6    .Themida   ascii   D$`E3
189  0x0000641d 0x0040641d 4    5    .Themida   ascii   D$hd
190  0x00006435 0x00406435 4    5    .Themida   ascii   D$`A
191  0x00006440 0x00406440 4    5    .Themida   ascii   l$hA
192  0x00006447 0x00406447 4    5    .Themida   ascii   D$pe
193  0x00006557 0x00406557 5    6    .Themida   ascii   H+V\bI
194  0x0000659e 0x0040659e 4    5    .Themida   ascii   D$hd
195  0x000065a5 0x004065a5 7    9    .Themida   utf8    E3ɉD$pL blocks=Basic Latin,Latin Extended-B
196  0x000065ae 0x004065ae 4    5    .Themida   ascii   D$`3
197  0x000065be 0x004065be 4    5    .Themida   ascii   D$pe
198  0x000065cb 0x004065cb 4    5    .Themida   ascii   D$hH
199  0x000065e4 0x004065e4 8    9    .Themida   ascii   H9F\btJE3
200  0x0000664a 0x0040664a 5    7    .Themida   utf8    EЍV?I blocks=Basic Latin,Cyrillic
201  0x000066c1 0x004066c1 4    5    .Themida   ascii   t\tI+
202  0x000067be 0x004067be 4    5    .Themida   ascii   \a|\tI
