[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
18268 0x000e1e82 0x004fa882 4   6            utf8    $n^=
18269 0x000e1e9c 0x004fa89c 8   10           utf8    Nǅ[u~Uoh blocks=Basic Latin,Latin Extended-B
18270 0x000e1f59 0x004fa959 6   7            ascii   2s\t+9G
18271 0x000e1f84 0x004fa984 4   5            ascii   FcsC
18272 0x000e1fbd 0x004fa9bd 5   8            utf8    Ẳ?Omz blocks=Latin Extended Additional,Basic Latin
18273 0x000e202d 0x004faa2d 4   5            ascii   0\vB\a
18274 0x000e2034 0x004faa34 4   6            utf8    pܼ), blocks=Basic Latin,Syriac
18275 0x000e2067 0x004faa67 4   5            ascii   zjv[
18276 0x000e208b 0x004faa8b 8   10           utf8    @%CG̤?[} blocks=Basic Latin,Combining Diacritical Marks
18277 0x000e20b1 0x004faab1 4   7            utf8    _莦s! blocks=Basic Latin,CJK Unified Ideographs
18278 0x000e20c5 0x004faac5 4   5            ascii   n+ep
18279 0x000e20d1 0x004faad1 6   7            ascii   [Tr]&)
18280 0x000e20db 0x004faadb 4   5            ascii   \v}WY
18281 0x000e20fc 0x004faafc 4   5            ascii   (\aJ#
18282 0x000e2101 0x004fab01 9   11           utf8    pNm\%ky\aŭ blocks=Basic Latin,Latin Extended-A
18283 0x000e211b 0x004fab1b 4   6            utf8    =݅l% blocks=Basic Latin,Syriac
18284 0x000e2177 0x004fab77 4   7            utf8    }\n꾅} blocks=Basic Latin,Hangul Syllables
18285 0x000e21ae 0x004fabae 4   5            ascii   xIS\b
18286 0x000e221a 0x004fac1a 5   6            ascii   I\b?b*
18287 0x000e224d 0x004fac4d 4   5            ascii   wa?x
18288 0x000e22a8 0x004faca8 5   6            ascii   5\f5n\t
18289 0x000e2322 0x004fad22 4   5            ascii   u16/
18290 0x000e2348 0x004fad48 4   5            ascii   +Hx%
18291 0x000e23ec 0x004fadec 4   5            ascii   -(cR
18292 0x000e23f1 0x004fadf1 4   5            ascii   1$){
18293 0x000e2423 0x004fae23 4   6            utf8    Vղvp blocks=Basic Latin,Armenian
18294 0x000e242f 0x004fae2f 4   5            ascii   .P3W
18295 0x000e2445 0x004fae45 6   8            utf8    6ìD*;^ blocks=Basic Latin,Latin-1 Supplement
18296 0x000e2465 0x004fae65 6   8            utf8    Yl0^E2
18297 0x000e24b0 0x004faeb0 4   5            ascii   {\n/3
18298 0x000e24ef 0x004faeef 5   6            ascii   |6*LB
18299 0x000e2504 0x004faf04 5   8            utf8    /邬P@! blocks=Basic Latin,CJK Unified Ideographs
18300 0x000e2516 0x004faf16 4   5            ascii   tw^Z
18301 0x000e251e 0x004faf1e 4   5            ascii   kF]B
18302 0x000e2527 0x004faf27 4   5            ascii   M*\tI
18303 0x000e2533 0x004faf33 4   6            utf8    ,]ܭf blocks=Basic Latin,Syriac
18304 0x000e256f 0x004faf6f 7   9            utf8    q\vּt|!3 blocks=Basic Latin,Hebrew
18305 0x000e257e 0x004faf7e 5   7            utf8    pAOܻn blocks=Basic Latin,Syriac
18306 0x000e25a4 0x004fafa4 5   6            ascii   >[0bc
18307 0x000e25b4 0x004fafb4 4   5            ascii   C!N 
18308 0x000e25be 0x004fafbe 6   9            utf8    薐vi"ft blocks=CJK Unified Ideographs,Basic Latin
18309 0x000e25e1 0x004fafe1 4   6            utf8    kߐYz blocks=Basic Latin,NKo
18310 0x000e25ea 0x004fafea 6   7            ascii   ><)f~B
18311 0x000e25f6 0x004faff6 5   7            utf8    Zbe9ւ blocks=Basic Latin,Armenian
18312 0x000e2672 0x004fb072 4   5            ascii   ~iJQ
18313 0x000e268a 0x004fb08a 4   5            ascii   /jmX
18314 0x000e26ab 0x004fb0ab 6   7            ascii   5{Mn3O
18315 0x000e272e 0x004fb12e 4   5            ascii   ?..{
18316 0x000e2749 0x004fb149 4   5            ascii   oHfq
18317 0x000e2761 0x004fb161 4   7            utf8    e먣iT blocks=Basic Latin,Hangul Syllables
18318 0x000e2770 0x004fb170 6   8            utf8    ~47"ŵ\f blocks=Basic Latin,Latin Extended-A
18319 0x000e278b 0x004fb18b 4   5            ascii   \nlI\b
18320 0x000e27c1 0x004fb1c1 5   6            ascii   }|p*{
18321 0x000e2814 0x004fb214 5   7            utf8    ǝ\3V/ blocks=Latin Extended-B,Basic Latin
18322 0x000e2834 0x004fb234 6   8            utf8    фv\ra@; blocks=Cyrillic,Basic Latin
18323 0x000e28b2 0x004fb2b2 9   11           utf8    JEF}VksИ$ blocks=Basic Latin,Cyrillic
18324 0x000e28e2 0x004fb2e2 5   6            ascii   NzPKM
18325 0x000e28f4 0x004fb2f4 5   6            ascii   %@{?k
18326 0x000e2905 0x004fb305 8   9            ascii   /c)QJ;iB
18327 0x000e2959 0x004fb359 4   5            ascii   F)"m
18328 0x000e2982 0x004fb382 4   5            ascii   |3"m
18329 0x000e299a 0x004fb39a 6   9            utf8    wYLȇrB blocks=Basic Latin,Latin Extended-B
18330 0x000e29b9 0x004fb3b9 4   5            ascii    u%n
18331 0x000e2a00 0x004fb400 5   6            ascii   r~zuL
18332 0x000e2a22 0x004fb422 4   6            utf8    i7<Ұ blocks=Basic Latin,Cyrillic
18333 0x000e2a4e 0x004fb44e 4   5            ascii   \eH\et
18334 0x000e2a57 0x004fb457 4   5            ascii   \rU+\b
18335 0x000e2a5d 0x004fb45d 5   6            ascii   zx'JH
18336 0x000e2a7c 0x004fb47c 9   11           utf8    >% HJǛ:W= blocks=Basic Latin,Latin Extended-B
18337 0x000e2aa7 0x004fb4a7 6   8            utf8    C9&߲(~ blocks=Basic Latin,NKo
18338 0x000e2ab9 0x004fb4b9 4   5            ascii   =\b'm
18339 0x000e2ad3 0x004fb4d3 4   5            ascii   fUbS
18340 0x000e2b48 0x004fb548 5   6            ascii   >_\rbY
18341 0x000e2b51 0x004fb551 5   6            ascii   bo/<W
18342 0x000e2bc1 0x004fb5c1 6   7            ascii   \W}~w8
18343 0x000e2bce 0x004fb5ce 4   5            ascii   l=pi
18344 0x000e2c0e 0x004fb60e 4   5            ascii   h>{G
18345 0x000e2c3b 0x004fb63b 4   5            ascii   F#`\e
18346 0x000e2c7e 0x004fb67e 5   7            utf8    _QvÞs blocks=Basic Latin,Latin-1 Supplement
18347 0x000e2c89 0x004fb689 5   6            ascii   OVTtu
18348 0x000e2cd7 0x004fb6d7 6   8            utf8    Ϯ\fcJAt blocks=Greek and Coptic,Basic Latin
18349 0x000e2d63 0x004fb763 5   7            utf8    fڎ :p blocks=Basic Latin,Arabic
18350 0x000e2d93 0x004fb793 5   6            ascii   K-JlV
18351 0x000e2d9b 0x004fb79b 4   6            utf8    ѬzGd blocks=Cyrillic,Basic Latin
18352 0x000e2dac 0x004fb7ac 4   6            utf8    ɳ\r ; blocks=IPA Extensions,Basic Latin
18353 0x000e2dcc 0x004fb7cc 4   6            utf8    ҍ: ` blocks=Cyrillic,Basic Latin
18354 0x000e2df3 0x004fb7f3 4   5            ascii   vpZO
18355 0x000e2e76 0x004fb876 4   5            ascii   ~B1l
18356 0x000e2e9f 0x004fb89f 4   5            ascii   e\e#}
18357 0x000e2eaa 0x004fb8aa 6   8            utf8    HҀ\OCG blocks=Basic Latin,Cyrillic
18358 0x000e2eb7 0x004fb8b7 7   8            ascii   \{\v{REV
18359 0x000e2ec2 0x004fb8c2 6   9            utf8    肋C\I\v9 blocks=CJK Compatibility Ideographs,Basic Latin
18360 0x000e2ecb 0x004fb8cb 4   5            ascii   N8h0
18361 0x000e2ef2 0x004fb8f2 8   9            ascii   \b-6J\a+"r
18362 0x000e2f10 0x004fb910 4   5            ascii   \~M3
18363 0x000e2f18 0x004fb918 4   5            ascii   hzDf
18364 0x000e2f51 0x004fb951 7   8            ascii   $faNoY6
18365 0x000e2f59 0x004fb959 6   11           utf8    ّﵶ {tޫ blocks=Arabic,Arabic Presentation Forms-A,Basic Latin,Thaana
18366 0x000e2f68 0x004fb968 4   5            ascii   \vO*k
18367 0x000e2f9b 0x004fb99b 7   9            utf8    p#;\tJʹm blocks=Basic Latin,Spacing Modifier Letters
18368 0x000e2fcb 0x004fb9cb 4   5            ascii   W<>a
18369 0x000e305b 0x004fba5b 4   5            ascii   U_\fc
18370 0x000e307c 0x004fba7c 6   7            ascii   ^/\bU+A
18371 0x000e3091 0x004fba91 4   5            ascii   CA#\
18372 0x000e30b0 0x004fbab0 5   7            utf8    ]9W7ȃ blocks=Basic Latin,Latin Extended-B
18373 0x000e30c9 0x004fbac9 4   5            ascii   )pQf
18374 0x000e30dc 0x004fbadc 4   5            ascii   ZH&]
18375 0x000e30f2 0x004fbaf2 4   5            ascii   !ge7
18376 0x000e3119 0x004fbb19 6   8            utf8    LɷzCyx blocks=Basic Latin,IPA Extensions
18377 0x000e3130 0x004fbb30 6   7            ascii   y#N9rI
18378 0x000e31c0 0x004fbbc0 4   6            utf8    9DÅ~ blocks=Basic Latin,Latin-1 Supplement
18379 0x000e31f0 0x004fbbf0 7   9            utf8    3zlSլrg blocks=Basic Latin,Armenian
18380 0x000e323a 0x004fbc3a 4   5            ascii   .lUy
18381 0x000e326a 0x004fbc6a 4   5            ascii   ]wsU
18382 0x000e3282 0x004fbc82 5   7            utf8    ̨v;&E blocks=Combining Diacritical Marks,Basic Latin
18383 0x000e328b 0x004fbc8b 4   5            ascii   \eq;u
18384 0x000e3290 0x004fbc90 4   5            ascii   q4 T
18385 0x000e32b0 0x004fbcb0 5   7            utf8    D\rǝ\eh blocks=Basic Latin,Latin Extended-B
18386 0x000e3303 0x004fbd03 4   5            ascii   V<Jg
18387 0x000e3308 0x004fbd08 4   6            utf8    |4*˚ blocks=Basic Latin,Spacing Modifier Letters
18388 0x000e3311 0x004fbd11 4   5            ascii   )la4
18389 0x000e333e 0x004fbd3e 4   5            ascii   \v")1
18390 0x000e3407 0x004fbe07 6   8            utf8    ԃ_nOxR blocks=Cyrillic Supplement,Basic Latin
18391 0x000e340f 0x004fbe0f 4   6            utf8    _C6Ū blocks=Basic Latin,Latin Extended-A
18392 0x000e3464 0x004fbe64 4   5            ascii   H3r'
18393 0x000e3469 0x004fbe69 4   5            ascii   8K9Z
18394 0x000e3488 0x004fbe88 4   5            ascii   eyoz
18395 0x000e34dd 0x004fbedd 4   5            ascii   &"8<
18396 0x000e34ea 0x004fbeea 4   6            utf8    Ǹ'GZ blocks=Latin Extended-B,Basic Latin
18397 0x000e34f6 0x004fbef6 4   5            ascii   NB\rR
18398 0x000e351b 0x004fbf1b 4   5            ascii   M^{>
18399 0x000e353b 0x004fbf3b 7   8            ascii   y=#_).#
18400 0x000e357c 0x004fbf7c 4   6            utf8    mW%؍ blocks=Basic Latin,Arabic
18401 0x000e358b 0x004fbf8b 4   5            ascii   pN8z
18402 0x000e359e 0x004fbf9e 5   6            ascii   z~D-I
18403 0x000e35d0 0x004fbfd0 5   7            utf8    HKkڸu blocks=Basic Latin,Arabic
18404 0x000e35df 0x004fbfdf 4   7            utf8    Ysㅋ[ blocks=Basic Latin,Hangul Compatibility Jamo
18405 0x000e360b 0x004fc00b 5   7            utf8    kvִ7& blocks=Basic Latin,Hebrew
18406 0x000e365f 0x004fc05f 4   5            ascii   go\n&
18407 0x000e36dd 0x004fc0dd 4   5            ascii    nh,
18408 0x000e376a 0x004fc16a 6   9            utf8    OW짽Lu~ blocks=Basic Latin,Hangul Syllables
18409 0x000e379e 0x004fc19e 5   9            utf8    yAÈ錔9 blocks=Basic Latin,Latin-1 Supplement,CJK Unified Ideographs
18410 0x000e380b 0x004fc20b 6   8            utf8    "Ҿ]"*1 blocks=Basic Latin,Cyrillic
18411 0x000e3845 0x004fc245 5   6            ascii   "4K~D
18412 0x000e38b6 0x004fc2b6 5   6            ascii   ?ehK$
18413 0x000e38ce 0x004fc2ce 5   6            ascii   ~%IDM
18414 0x000e3931 0x004fc331 5   7            utf8    ^\aΣ&M blocks=Basic Latin,Greek and Coptic
18415 0x000e3964 0x004fc364 4   5            ascii   Kw}l
18416 0x000e3969 0x004fc369 4   5            ascii   )<2;
18417 0x000e3989 0x004fc389 5   6            ascii   RA\nOe
18418 0x000e39a4 0x004fc3a4 9   10           ascii   sop\ro\e$Uj
18419 0x000e39b0 0x004fc3b0 5   6            ascii   bpcKo
18420 0x000e3a48 0x004fc448 4   6            utf8    լ\fd? blocks=Armenian,Basic Latin
18421 0x000e3a53 0x004fc453 4   6            utf8    رX:@ blocks=Arabic,Basic Latin
18422 0x000e3a7c 0x004fc47c 4   5            ascii   SFJ'
18423 0x000e3a9a 0x004fc49a 4   5            ascii   wnVT
18424 0x000e3aff 0x004fc4ff 6   7            ascii   b#<@[\e
18425 0x000e3b21 0x004fc521 5   6            ascii   \tq{\t`
18426 0x000e3b2e 0x004fc52e 5   6            ascii   ihgyL
18427 0x000e3b6d 0x004fc56d 4   5            ascii   \Y1Q
18428 0x000e3bc8 0x004fc5c8 4   8            utf8    JN뢊\f blocks=Basic Latin,Hangul Syllables
18429 0x000e3c43 0x004fc643 4   5            ascii   %=bw
18430 0x000e3c72 0x004fc672 4   5            ascii   vxP;
18431 0x000e3d29 0x004fc729 5   6            ascii   Fk\a9j
18432 0x000e3d3a 0x004fc73a 4   5            ascii   \i\f#
18433 0x000e3d4c 0x004fc74c 4   5            ascii   l1bs
18434 0x000e3d5c 0x004fc75c 4   5            ascii   _a\fg
18435 0x000e3e84 0x004fc884 6   7            ascii   EWW,Ot
18436 0x000e3eab 0x004fc8ab 8   9            ascii   TsBH=occ
18437 0x000e3ec1 0x004fc8c1 6   7            ascii   1 m=c[
18438 0x000e3ef7 0x004fc8f7 6   8            utf8    qC.ܻ(( blocks=Basic Latin,Syriac
18439 0x000e3f27 0x004fc927 5   6            ascii   EW\a~?
18440 0x000e3f85 0x004fc985 7   9            utf8    AJ=π5\fh blocks=Basic Latin,Greek and Coptic
18441 0x000e3fb9 0x004fc9b9 4   5            ascii   ci\em
18442 0x000e3feb 0x004fc9eb 5   6            ascii   -?G(3
18443 0x000e3ffb 0x004fc9fb 4   7            utf8    ge0繃 blocks=Basic Latin,CJK Unified Ideographs
18444 0x000e401c 0x004fca1c 5   7            utf8    oǳ_@{ blocks=Basic Latin,Latin Extended-B
18445 0x000e4049 0x004fca49 5   6            ascii   '(YP\t
18446 0x000e4087 0x004fca87 4   6            utf8    ~A:۽ blocks=Basic Latin,Arabic
18447 0x000e40a0 0x004fcaa0 7   8            ascii   sIW>XF\t
18448 0x000e40a8 0x004fcaa8 4   6            utf8    ʣOZc blocks=IPA Extensions,Basic Latin
18449 0x000e40d6 0x004fcad6 5   6            ascii   el_\n3
18450 0x000e40e8 0x004fcae8 4   5            ascii   827g
18451 0x000e4119 0x004fcb19 4   5            ascii   k~\v4
18452 0x000e4131 0x004fcb31 4   5            ascii   WBRF
18453 0x000e415f 0x004fcb5f 5   7            utf8    `+ܯ50 blocks=Basic Latin,Syriac
18454 0x000e417f 0x004fcb7f 4   5            ascii   #Z\t~
18455 0x000e41f9 0x004fcbf9 4   6            utf8    ֡^ A blocks=Hebrew,Basic Latin
18456 0x000e4263 0x004fcc63 4   5            ascii   /bz;
18457 0x000e4283 0x004fcc83 5   6            ascii   7P|J!
18458 0x000e4294 0x004fcc94 8   9            ascii   \rT;i#\4g
18459 0x000e42fd 0x004fccfd 6   7            ascii   \v%@{[R
18460 0x000e430f 0x004fcd0f 6   8            utf8    Ŏ0S=!0 blocks=Latin Extended-A,Basic Latin
18461 0x000e4329 0x004fcd29 4   6            utf8    %bȊZ blocks=Basic Latin,Latin Extended-B
18462 0x000e4343 0x004fcd43 5   6            ascii   {97rO
18463 0x000e4362 0x004fcd62 4   5            ascii   ^_f'
18464 0x000e4372 0x004fcd72 4   5            ascii   1>,!
18465 0x000e43a9 0x004fcda9 4   5            ascii   v@y7
18466 0x000e43ca 0x004fcdca 7   9            utf8    &9-t>չr blocks=Basic Latin,Armenian
18467 0x000e43f3 0x004fcdf3 5   7            utf8    Bwu΄N blocks=Basic Latin,Greek and Coptic
18468 0x000e4429 0x004fce29 4   5            ascii   -L)h
18469 0x000e4461 0x004fce61 4   5            ascii   UbsS
18470 0x000e4493 0x004fce93 4   6            utf8    2٪Ak blocks=Basic Latin,Arabic
18471 0x000e44a7 0x004fcea7 7   8            ascii   8BFdM&8
18472 0x000e44d8 0x004fced8 8   9            ascii   Tj {1[* 
18473 0x000e4506 0x004fcf06 5   8            utf8    \Yw_ blocks=Basic Latin,Private Use Area
18474 0x000e454c 0x004fcf4c 5   6            ascii   0GAqb
18475 0x000e45d3 0x004fcfd3 4   6            utf8    Hʯ(0 blocks=Basic Latin,IPA Extensions
18476 0x000e463c 0x004fd03c 4   7            utf8    74/ blocks=Basic Latin,Private Use Area
18477 0x000e468b 0x004fd08b 4   5            ascii   QE^x
18478 0x000e46a6 0x004fd0a6 6   7            ascii   #A"=:o
18479 0x000e46c1 0x004fd0c1 4   6            utf8    \eڏi3 blocks=Basic Latin,Arabic
18480 0x000e46dd 0x004fd0dd 6   7            ascii   N;sCN&
18481 0x000e472d 0x004fd12d 5   8            utf8    & ꈀ\n\r blocks=Basic Latin,Yi Syllables
18482 0x000e4771 0x004fd171 4   5            ascii   \fr2:
18483 0x000e480c 0x004fd20c 4   5            ascii   +8Yz
18484 0x000e4823 0x004fd223 4   5            ascii   ub*u
18485 0x000e4850 0x004fd250 5   6            ascii   E2B;+
18486 0x000e4945 0x004fd345 8   9            ascii   !qld;gSG
18487 0x000e497d 0x004fd37d 5   7            utf8    r{k A blocks=Basic Latin,Latin-1 Supplement
18488 0x000e4995 0x004fd395 8   10           utf8    î+>]*8_E blocks=Latin-1 Supplement,Basic Latin
18489 0x000e49aa 0x004fd3aa 6   7            ascii   \a+Jqwl
18490 0x000e49d8 0x004fd3d8 7   9            utf8    vl-ܻqC! blocks=Basic Latin,Syriac
18491 0x000e4a03 0x004fd403 6   8            utf8    ݝV,I?= blocks=Arabic Supplement,Basic Latin
18492 0x000e4a21 0x004fd421 6   7            ascii   *dt%%t
18493 0x000e4a4e 0x004fd44e 4   5            ascii   5AM~
18494 0x000e4a69 0x004fd469 4   6            utf8    3<"Θ blocks=Basic Latin,Greek and Coptic
18495 0x000e4a98 0x004fd498 5   7            utf8    .y\b٨| blocks=Basic Latin,Arabic
18496 0x000e4b52 0x004fd552 4   5            ascii   WFId
18497 0x000e4b5b 0x004fd55b 4   5            ascii   5v06
18498 0x000e4b78 0x004fd578 4   5            ascii   r]{&
18499 0x000e4b7f 0x004fd57f 5   6            ascii   >W+\bI
18500 0x000e4baf 0x004fd5af 5   6            ascii   Z|=/l
18501 0x000e4bd9 0x004fd5d9 4   5            ascii   j\fdY
18502 0x000e4c1f 0x004fd61f 4   5            ascii   ,3f~
18503 0x000e4c38 0x004fd638 6   8            utf8    iα+!\tw blocks=Basic Latin,Greek and Coptic
18504 0x000e4c66 0x004fd666 5   6            ascii   /\fm}R
18505 0x000e4d65 0x004fd765 6   9            utf8    å/x#]Œ blocks=Latin-1 Supplement,Basic Latin,Latin Extended-A
18506 0x000e4d80 0x004fd780 5   6            ascii   {R):B
18507 0x000e4daa 0x004fd7aa 5   6            ascii   /W<\e~
18508 0x000e4db0 0x004fd7b0 4   5            ascii   AZd\v
18509 0x000e4dc8 0x004fd7c8 5   6            ascii   0M^b}
18510 0x000e4e37 0x004fd837 5   6            ascii   [b6a}
18511 0x000e4e7e 0x004fd87e 5   6            ascii   @QP:f
18512 0x000e4ea7 0x004fd8a7 4   5            ascii   6lgq
18513 0x000e4ee9 0x004fd8e9 7   8            ascii   (\bR[Y*C
18514 0x000e4ef8 0x004fd8f8 4   5            ascii   ne\n(
18515 0x000e4f59 0x004fd959 5   6            ascii   (KAy\b
18516 0x000e4f6f 0x004fd96f 5   6            ascii   b#~[N
18517 0x000e5003 0x004fda03 4   5            ascii    \bc\
18518 0x000e507b 0x004fda7b 4   5            ascii   zi6^
18519 0x000e5090 0x004fda90 4   5            ascii   S0u'
18520 0x000e50a0 0x004fdaa0 5   7            utf8    OC+ǩv blocks=Basic Latin,Latin Extended-B
18521 0x000e50fd 0x004fdafd 7   10           utf8    J'jܐϞ:M blocks=Basic Latin,Syriac,Greek and Coptic
18522 0x000e51bb 0x004fdbbb 4   7            utf8    Ȏh\fյ blocks=Latin Extended-B,Basic Latin,Armenian
18523 0x000e524c 0x004fdc4c 4   5            ascii   <,v&
18524 0x000e5255 0x004fdc55 5   6            ascii   3mgi*
18525 0x000e5270 0x004fdc70 4   5            ascii   ->^?
18526 0x000e528c 0x004fdc8c 5   6            ascii   "b7gJ
18527 0x000e52f3 0x004fdcf3 4   5            ascii   C%[X
18528 0x000e5394 0x004fdd94 6   7            ascii   +\v@|R`
18529 0x000e53b3 0x004fddb3 4   5            ascii   ?:.g
18530 0x000e53cb 0x004fddcb 5   8            utf8    \JdP젰 blocks=Basic Latin,Hangul Syllables
18531 0x000e53e8 0x004fdde8 5   6            ascii   L/,Jv
18532 0x000e540e 0x004fde0e 4   5            ascii   \vY+v
18533 0x000e5433 0x004fde33 5   6            ascii   smAa6
18534 0x000e546c 0x004fde6c 4   5            ascii   0\59
18535 0x000e5479 0x004fde79 5   6            ascii   /y&5b
18536 0x000e5489 0x004fde89 6   7            ascii   \n}Ihs#
18537 0x000e5491 0x004fde91 5   6            ascii   EG!\a}
18538 0x000e54b0 0x004fdeb0 4   5            ascii   z{nf
18539 0x000e551f 0x004fdf1f 6   7            ascii   &puL>;
18540 0x000e554e 0x004fdf4e 6   9            utf8    ^㷖1o=_ blocks=Basic Latin,CJK Unified Ideographs Extension A
18541 0x000e55b4 0x004fdfb4 5   6            ascii   ;dlVL
18542 0x000e55d0 0x004fdfd0 4   6            utf8    #,לd blocks=Basic Latin,Hebrew
18543 0x000e55dc 0x004fdfdc 8   9            ascii   \e[lJ@6l@
18544 0x000e55e8 0x004fdfe8 4   5            ascii   Ga}s
18545 0x000e5609 0x004fe009 4   6            utf8    rYی_ blocks=Basic Latin,Arabic
18546 0x000e5618 0x004fe018 5   6            ascii   TlK!6
18547 0x000e5622 0x004fe022 5   6            ascii   @Hq6C
18548 0x000e5684 0x004fe084 4   5            ascii   S;hQ
18549 0x000e56d4 0x004fe0d4 8   10           utf8    EUVc>h\fߣ blocks=Basic Latin,NKo
18550 0x000e570e 0x004fe10e 4   5            ascii   MBVB
18551 0x000e5777 0x004fe177 4   5            ascii   v6\v2
18552 0x000e57a3 0x004fe1a3 4   7            utf8    ഗ~]" blocks=Malayalam,Basic Latin
18553 0x000e57e5 0x004fe1e5 4   7            utf8    \nc@짤 blocks=Basic Latin,Hangul Syllables
18554 0x000e5824 0x004fe224 4   5            ascii   rhr>
18555 0x000e585c 0x004fe25c 5   6            ascii   so1rS
18556 0x000e58d3 0x004fe2d3 4   6            utf8    {Ĉ_? blocks=Basic Latin,Latin Extended-A
18557 0x000e58dc 0x004fe2dc 4   5            ascii   ||FI
18558 0x000e5966 0x004fe366 4   6            utf8    ՝n\bP blocks=Armenian,Basic Latin
18559 0x000e5a43 0x004fe443 5   6            ascii   |\neD:
18560 0x000e5a5c 0x004fe45c 4   5            ascii   ZJaY
18561 0x000e5aab 0x004fe4ab 4   5            ascii   u-1)
18562 0x000e5ae4 0x004fe4e4 4   5            ascii   /Q_J
18563 0x000e5b7a 0x004fe57a 4   5            ascii   o\aF>
18564 0x000e5b86 0x004fe586 5   7            utf8    ;~ˇs= blocks=Basic Latin,Spacing Modifier Letters
18565 0x000e5c0e 0x004fe60e 4   5            ascii   W9M1
18566 0x000e5c4d 0x004fe64d 4   6            utf8    s-w˛ blocks=Basic Latin,Spacing Modifier Letters
18567 0x000e5ce5 0x004fe6e5 5   6            ascii   91 ?[
18568 0x000e5d01 0x004fe701 5   7            utf8    \a-.ї\ blocks=Basic Latin,Cyrillic
18569 0x000e5d20 0x004fe720 6   7            ascii   '$DY\bE
18570 0x000e5d3e 0x004fe73e 4   7            utf8    BSșգ blocks=Basic Latin,Latin Extended-B,Armenian
18571 0x000e5d50 0x004fe750 4   5            ascii   8!t[
18572 0x000e5d61 0x004fe761 4   6            utf8    :߱f| blocks=Basic Latin,NKo
18573 0x000e5d6d 0x004fe76d 7   8            ascii   u'",;ft
18574 0x000e5e8c 0x004fe88c 4   5            ascii   {{I4
18575 0x000e5ec9 0x004fe8c9 7   9            utf8    e{#:p`؈ blocks=Basic Latin,Arabic
18576 0x000e5f4d 0x004fe94d 4   5            ascii   +hkm
18577 0x000e5f54 0x004fe954 9   11           utf8    $#_$WUf\bټ blocks=Basic Latin,Arabic
18578 0x000e5f8a 0x004fe98a 4   5            ascii   qp0~
18579 0x000e5f98 0x004fe998 5   6            ascii   =s0\rw
18580 0x000e5fb9 0x004fe9b9 5   7            utf8    rvʸ#B blocks=Basic Latin,Spacing Modifier Letters
18581 0x000e5fdf 0x004fe9df 4   5            ascii   ynWP
18582 0x000e600e 0x004fea0e 4   5            ascii   a\ab=
18583 0x000e6079 0x004fea79 5   6            ascii   ._cq>
18584 0x000e608e 0x004fea8e 5   6            ascii   T.{b7
18585 0x000e60a8 0x004feaa8 4   5            ascii   >wT$
18586 0x000e60b2 0x004feab2 5   7            utf8    m¥eF! blocks=Basic Latin,Latin-1 Supplement
18587 0x000e60c2 0x004feac2 7   9            utf8    86ê[\bl  blocks=Basic Latin,Latin-1 Supplement
18588 0x000e60ef 0x004feaef 6   7            ascii   fLxgIY
18589 0x000e611f 0x004feb1f 4   6            utf8    K\bmܵ blocks=Basic Latin,Syriac
18590 0x000e61c5 0x004febc5 4   6            utf8    7Ƿ\f+ blocks=Basic Latin,Latin Extended-B
18591 0x000e61d1 0x004febd1 4   5            ascii   ,\ezp
18592 0x000e61d8 0x004febd8 4   5            ascii   Ur^"
18593 0x000e61ea 0x004febea 4   5            ascii   \Mv\f
18594 0x000e6237 0x004fec37 5   6            ascii   \nh4d_
18595 0x000e62be 0x004fecbe 4   5            ascii   Ro|5
18596 0x000e62db 0x004fecdb 8   9            ascii   r.jhV\ep
18597 0x000e62f2 0x004fecf2 4   6            utf8    \e;gʘ blocks=Basic Latin,IPA Extensions
18598 0x000e6312 0x004fed12 6   8            utf8    U#Ӳ\bt2 blocks=Basic Latin,Cyrillic
18599 0x000e6330 0x004fed30 4   5            ascii   d7Rb
18600 0x000e6344 0x004fed44 4   5            ascii   _8>R
18601 0x000e637c 0x004fed7c 5   7            utf8    Ԙ\xR\v blocks=Cyrillic Supplement,Basic Latin
18602 0x000e63ba 0x004fedba 5   6            ascii   ~,C\tj
18603 0x000e63ea 0x004fedea 7   9            utf8    ;Y`A,m~
18604 0x000e63f4 0x004fedf4 5   6            ascii   \r*>;3
18605 0x000e642e 0x004fee2e 5   6            ascii   c;5k4
18606 0x000e6454 0x004fee54 4   5            ascii   4?U:
18607 0x000e645d 0x004fee5d 4   5            ascii   9oK>
18608 0x000e64af 0x004feeaf 5   6            ascii   ((lm\b
18609 0x000e64cc 0x004feecc 5   8            utf8    톀=[H\t blocks=Hangul Syllables,Basic Latin
18610 0x000e652a 0x004fef2a 5   6            ascii   uI~%a
18611 0x000e654b 0x004fef4b 5   6            ascii   P_|?m
18612 0x000e6579 0x004fef79 6   7            ascii   ;D;Qq&
18613 0x000e6601 0x004ff001 6   7            ascii   yX[hLV
18614 0x000e661a 0x004ff01a 4   5            ascii   X\vOu
18615 0x000e6632 0x004ff032 6   7            ascii   g?bb/h
18616 0x000e6679 0x004ff079 5   6            ascii   #=AV8
18617 0x000e668a 0x004ff08a 4   6            utf8    œVWd blocks=Latin Extended-A,Basic Latin
18618 0x000e6697 0x004ff097 7   8            ascii   (CAoM\a
18619 0x000e66a3 0x004ff0a3 4   6            utf8    0Ǟ>& blocks=Basic Latin,Latin Extended-B
