[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
57    0x00000df0 0x00418bf0 4   6    UPX1    utf8    Ó h\b blocks=Latin-1 Supplement,Basic Latin
58    0x00000e15 0x00418c15 4   6    UPX1    utf8    '%У. blocks=Basic Latin,Cyrillic
59    0x00000e4f 0x00418c4f 4   5    UPX1    ascii   [u\e\b
60    0x00000e5c 0x00418c5c 8   9    UPX1    ascii   Pu\t\e]t@:
61    0x00000e8a 0x00418c8a 4   5    UPX1    ascii   r PK
62    0x00000ebb 0x00418cbb 6   7    UPX1    ascii   {mR[\nA
63    0x00000ee8 0x00418ce8 5   6    UPX1    ascii   }hJ\a\f
64    0x00000f49 0x00418d49 6   7    UPX1    ascii   o\as!/9
65    0x00000f5a 0x00418d5a 4   5    UPX1    ascii   )\fY@
66    0x00000fc7 0x00418dc7 4   5    UPX1    ascii   \p&h
67    0x00000fd4 0x00418dd4 4   6    UPX1    utf8    ȐE@^ blocks=Latin Extended-B,Basic Latin
68    0x00000fe7 0x00418de7 5   6    UPX1    ascii   rs222
69    0x00001014 0x00418e14 7   8    UPX1    ascii   s+'LPY%
70    0x00001021 0x00418e21 4   5    UPX1    ascii   &+*v
71    0x00001048 0x00418e48 4   5    UPX1    ascii   yF7\a
72    0x00001054 0x00418e54 4   5    UPX1    ascii   "`\fP
73    0x0000106f 0x00418e6f 4   5    UPX1    ascii   u3aQ
74    0x00001086 0x00418e86 4   5    UPX1    ascii   \r&<\t
75    0x000010ae 0x00418eae 4   5    UPX1    ascii   xg92
76    0x000010e2 0x00418ee2 5   6    UPX1    ascii   & #\eG
77    0x000010e8 0x00418ee8 4   5    UPX1    ascii   29tF
78    0x000010fc 0x00418efc 4   5    UPX1    ascii   BZ\n}
79    0x00001117 0x00418f17 4   5    UPX1    ascii   3LY_
80    0x0000113a 0x00418f3a 6   7    UPX1    ascii   r[XLqI
81    0x0000114e 0x00418f4e 5   6    UPX1    ascii   6h[ZK
82    0x0000115c 0x00418f5c 7   9    UPX1    utf8    H!Nφ?sh blocks=Basic Latin,Greek and Coptic
83    0x000011ad 0x00418fad 4   5    UPX1    ascii   rBqb
84    0x000011d5 0x00418fd5 5   6    UPX1    ascii   r(/Uf
85    0x000011f8 0x00418ff8 5   7    UPX1    utf8    {_0ȡ% blocks=Basic Latin,Latin Extended-B
86    0x00001221 0x00419021 4   5    UPX1    ascii   vMsu
87    0x0000123e 0x0041903e 5   6    UPX1    ascii   v\bu'3
88    0x00001279 0x00419079 5   6    UPX1    ascii   c*Tq!
89    0x000012c8 0x004190c8 4   5    UPX1    ascii   vFV9
90    0x00001305 0x00419105 5   6    UPX1    ascii   $.}\e,
91    0x0000131c 0x0041911c 4   5    UPX1    ascii   |&Jh
92    0x00001334 0x00419134 4   5    UPX1    ascii   \bCnd
93    0x00001364 0x00419164 4   5    UPX1    ascii   \rP\B
94    0x00001381 0x00419181 4   6    UPX1    utf8     {n۸ blocks=Basic Latin,Arabic
95    0x00001387 0x00419187 6   7    UPX1    ascii   -54#!\b
96    0x0000138e 0x0041918e 4   5    UPX1    ascii   P5!\e
97    0x000013bd 0x004191bd 5   7    UPX1    utf8    B\rԍC# blocks=Basic Latin,Cyrillic Supplement
98    0x000013d7 0x004191d7 5   7    UPX1    utf8    x^\rٻt blocks=Basic Latin,Arabic
99    0x000014a1 0x004192a1 6   7    UPX1    ascii   !d*TKB
