[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
34   0x00000e1d 0x00401a1d 4   6    .text   utf8    \f]Ã= blocks=Basic Latin,Latin-1 Supplement
35   0x00000e55 0x00401a55 5   6    .text   ascii   d$\buU
36   0x00000e91 0x00401a91 4   5    .text   ascii   d$\bu
37   0x00000ead 0x00401aad 4   6    .text   utf8    \fÍT$ blocks=Basic Latin,Latin-1 Supplement
38   0x00000ebb 0x00401abb 5   6    .text   ascii   <$t6f
39   0x00000f9a 0x00401b9a 4   5    .text   ascii   u\b+G
40   0x00001014 0x00401c14 4   5    .text   ascii   u\b!U
41   0x00001068 0x00401c68 4   5    .text   ascii   E\b@;
42   0x00001096 0x00401c96 4   5    .text   ascii   9E\bw
43   0x000010be 0x00401cbe 4   5    .text   ascii   E\b)E
44   0x000010ce 0x00401cce 4   5    .text   ascii   j\fh0
45   0x00001133 0x00401d33 4   5    .text   ascii   j\bhP
46   0x00001207 0x00401e07 4   5    .text   ascii   j\fhp
47   0x00001300 0x00401f00 4   6    .text   utf8    3\vu\b
48   0x00001324 0x00401f24 5   6    .text   ascii   F\f@t\r
49   0x00001358 0x00401f58 4   6    .text   utf8    ԋu\bV blocks=Cyrillic Supplement,Basic Latin
50   0x000013ab 0x00401fab 5   6    .text   ascii   u\vVVj
51   0x00001432 0x00402032 4   5    .text   ascii   y\bj\e
52   0x00001458 0x00402058 4   5    .text   ascii   y\bj\b
53   0x00001469 0x00402069 4   5    .text   ascii   y\bj\t
54   0x00001497 0x00402097 7   8    .text   ascii   j\nYQPVh
55   0x000014cd 0x004020cd 4   6    .text   utf8    YYËe blocks=Basic Latin,Latin-1 Supplement
56   0x00001547 0x00402147 6   7    .text   ascii   f-00f=
57   0x00001558 0x00402158 4   5    .text   ascii   \r ZA
58   0x000015b7 0x004021b7 5   6    .text   ascii   Y\rHZA
59   0x000016ad 0x004022ad 4   5    .text   ascii   \rpZA
60   0x000017f4 0x004023f4 5   7    .text   utf8    @t\bƅp blocks=Basic Latin,Latin Extended-B
61   0x00001821 0x00402421 5   7    .text   utf8    @t\tƅp blocks=Basic Latin,Latin Extended-B
62   0x00001860 0x00402460 5   7    .text   utf8    @t\tƅp blocks=Basic Latin,Latin Extended-B
63   0x000019a7 0x004025a7 5   7    .text   utf8    ËD$\b% blocks=Latin-1 Supplement,Basic Latin
64   0x000019b8 0x004025b8 4   6    .text   utf8    ËD$\b blocks=Latin-1 Supplement,Basic Latin
65   0x000019f1 0x004025f1 4   6    .text   utf8    ,$ZÃ blocks=Basic Latin,Latin-1 Supplement
66   0x00001b74 0x00402774 5   7    .text   utf8    [\vÉF\f blocks=Basic Latin,Latin-1 Supplement
67   0x00001e12 0x00402a12 4   5    .text   ascii   Hpu\a
68   0x00001e32 0x00402a32 4   5    .text   ascii   Hpu\b
69   0x00001eda 0x00402ada 5   6    .text   ascii   v\vWSV
70   0x00001f57 0x00402b57 7   8    .text   ascii   M\fQSWVj
71   0x00001fe7 0x00402be7 6   7    .text   ascii   j@j ^V
72   0x0000204d 0x00402c4d 5   6    .text   ascii   SWf9M
73   0x00002089 0x00402c89 4   5    .text   ascii   j@j 
74   0x000020c6 0x00402cc6 4   5    .text   ascii   @ \n\n
75   0x00002110 0x00402d10 4   5    .text   ascii   \bu\vP
76   0x00002386 0x00402f86 5   7    .text   utf8    Y]ËE\f blocks=Basic Latin,Latin-1 Supplement
77   0x0000258f 0x0040318f 5   6    .text   ascii   PPPPP
78   0x000025be 0x004031be 5   7    .text   utf8    j\rX]Ë blocks=Basic Latin,Latin-1 Supplement
79   0x0000267f 0x0040327f 5   6    .text   ascii   Y__^[
80   0x0000269e 0x0040329e 5   6    .text   ascii   s\b35p
81   0x00002773 0x00403373 4   5    .text   ascii   9csm
82   0x000027af 0x004033af 6   7    .text   ascii   E\f9X\ft
83   0x00002832 0x00403432 4   5    .text   ascii   ;E\fs
84   0x000028e8 0x004034e8 4   5    .text   ascii   uNSW
85   0x00002972 0x00403572 4   5    .text   ascii   A\f@t
86   0x000029ef 0x004035ef 4   5    .text   ascii   8*u\r
87   0x00002aaf 0x004036af 6   7    .text   ascii   F\f@u^V
88   0x00002bcd 0x004037cd 6   7    .text   ascii   \bt%HHt
89   0x00002c58 0x00403858 4   7    .text   utf8    ʍD\bЉ blocks=IPA Extensions,Basic Latin,Cyrillic
90   0x00002ca9 0x004038a9 4   7    .text   utf8    ʍD\bЉ blocks=IPA Extensions,Basic Latin,Cyrillic
91   0x00002d14 0x00403914 4   5    .text   ascii   \a<6u
92   0x00002e10 0x00403a10 10  11   .text   ascii   HHtXHHt\bHH
93   0x00002f00 0x00403b00 5   6    .text   ascii   HHty+
94   0x0000304f 0x00403c4f 4   5    .text   ascii    t\ff
95   0x000030a9 0x00403ca9 4   6    .text   utf8    gucǅ blocks=Basic Latin,Latin Extended-B
96   0x00003306 0x00403f06 4   5    .text   ascii   RPSW
97   0x00003351 0x00403f51 4   5    .text   ascii   90tW
98   0x00003366 0x00403f66 7   8    .text   ascii   ?If90t\a
99   0x0000345c 0x0040405c 4   5    .text   ascii   \bYt(
100  0x000035ee 0x004041ee 11  12   .text   ascii   <at,<rt"<wt
101  0x0000365f 0x0040425f 6   7    .text   ascii   \vtRHtC
102  0x000036ed 0x004042ed 5   6    .text   ascii   tEHt0
103  0x00003726 0x00404326 4   5    .text   ascii   u%\tU
104  0x00003772 0x00404372 5   6    .text   ascii   Vh|[A
105  0x00003790 0x00404390 5   6    .text   ascii   >=unF
106  0x000037b8 0x004043b8 4   5    .text   ascii   ?j\bh
107  0x000037d7 0x004043d7 4   5    .text   ascii    j\ah
108  0x00003841 0x00404441 5   7    .text   utf8    H\f3ɉH blocks=Basic Latin,Latin Extended-B
109  0x000038dc 0x004044dc 4   5    .text   ascii   t\fPV
110  0x000038e5 0x004044e5 4   7    .text   utf8    YYF둋 blocks=Basic Latin,Hangul Syllables
111  0x0000399f 0x0040459f 9   10   .text   ascii   URPQQh F@
112  0x000039b5 0x004045b5 6   8    .text   utf8    3ĉD$\bd blocks=Basic Latin,Latin Extended-A
113  0x000039ca 0x004045ca 4   5    .text   ascii   L$,3
114  0x00003a1c 0x0040461c 6   8    .text   utf8    _^[ËL$ blocks=Basic Latin,Latin-1 Supplement
115  0x00003a82 0x00404682 4   5    .text   ascii   UVWS
116  0x00003a94 0x00404694 5   7    .text   utf8    [_^]Ë blocks=Basic Latin,Latin-1 Supplement
117  0x00003ab5 0x004046b5 4   5    .text   ascii   SVWj
118  0x00003ac6 0x004046c6 4   5    .text   ascii   _^[]
119  0x00003acd 0x004046cd 5   6    .text   ascii   l$\bRQ
120  0x00003b68 0x00404768 5   6    .text   ascii   X-p\A
121  0x00003b74 0x00404774 5   6    .text   ascii   X-`\A
122  0x00003b80 0x00404780 5   6    .text   ascii   X-P\A
123  0x00003bca 0x004047ca 5   6    .text   ascii   (-@\A
124  0x00003bd6 0x004047d6 5   6    .text   ascii   X-0\A
125  0x00003be2 0x004047e2 5   6    .text   ascii   X- \A
126  0x00003c84 0x00404884 5   7    .text   utf8    ~,ŐlA blocks=Basic Latin,Latin Extended-A
127  0x00003ccd 0x004048cd 5   7    .text   utf8    ~$ňlA blocks=Basic Latin,Latin Extended-A
128  0x00003cf2 0x004048f2 5   6    .text   ascii   X-p\A
129  0x00003cfe 0x004048fe 5   6    .text   ascii   X-`\A
130  0x00003d0a 0x0040490a 5   6    .text   ascii   X-P\A
131  0x00003f19 0x00404b19 4   6    .text   utf8    Ë]\bS blocks=Latin-1 Supplement,Basic Latin
132  0x00003ff6 0x00404bf6 5   6    .text   ascii   F\PgA
133  0x0000407b 0x00404c7b 4   5    .text   ascii   u\bj\r
134  0x00004122 0x00404d22 4   5    .text   ascii   j\bh8
135  0x0000419c 0x00404d9c 6   7    .text   ascii   F\=PgA
136  0x00004201 0x00404e01 4   5    .text   ascii   Y;= 
137  0x0000423a 0x00404e3a 4   5    .text   ascii   u\bj\r
138  0x00004243 0x00404e43 6   8    .text   utf8    YËu\bj\f blocks=Basic Latin,Latin-1 Supplement
139  0x00004270 0x00404e70 4   5    .text   ascii   5`PA
140  0x00004275 0x00404e75 4   5    .text   ascii   h,]A
141  0x0000427d 0x00404e7d 4   5    .text   ascii   h ]A
142  0x00004297 0x00404e97 4   5    .text   ascii   h\f]A
143  0x00004365 0x00404f65 4   5    .text   ascii   h"M@
144  0x000043f6 0x00404ff6 5   6    .text   ascii   ~,WPV
145  0x000044b4 0x004050b4 4   5    .text   ascii   98t^
146  0x000044be 0x004050be 4   5    .text   ascii   tVPV
147  0x000044db 0x004050db 7   9    .text   utf8    Ct/9U\bu
148  0x000044f5 0x004050f5 4   5    .text   ascii   9}\bu
149  0x0000450b 0x0040510b 4   6    .text   utf8    \tE܉} blocks=Basic Latin,Syriac
150  0x000045a0 0x004051a0 4   5    .text   ascii   u\bWV
151  0x000046ed 0x004052ed 4   6    .text   utf8    Ë]\bS blocks=Latin-1 Supplement,Basic Latin
152  0x00004735 0x00405335 4   5    .text   ascii   8csm
153  0x0000476c 0x0040536c 4   5    .text   ascii   h*S@
154  0x0000477f 0x0040537f 4   5    .text   ascii   hH]A
155  0x0000478e 0x0040538e 4   5    .text   ascii   h8]A
156  0x0000481e 0x0040541e 4   5    .text   ascii   ;u\fr
157  0x00004865 0x00405465 8   9    .text   ascii   uTVWh\n^@
158  0x0000489a 0x0040549a 5   6    .text   ascii   _^t\eh
159  0x0000491d 0x0040551d 5   9    .text   utf8    }ԉ]܉} blocks=Basic Latin,Cyrillic Supplement,Syriac
160  0x00004968 0x00405568 6   10   .text   utf8    ]܉]ЉE؋ blocks=Basic Latin,Syriac,Cyrillic,Arabic
161  0x000049ec 0x004055ec 4   5    .text   ascii   t\bj\b
162  0x00004a6a 0x0040566a 6   8    .text   utf8    3\vM\b;\f
163  0x00004aa3 0x004056a3 4   5    .text   ascii   u\bWV
164  0x00004b4b 0x0040574b 5   6    .text   ascii   PPPPP
165  0x00004b5f 0x0040575f 4   5    .text   ascii   <v*V
166  0x00004bcc 0x004057cc 6   7    .text   ascii   ^SSSSS
167  0x00004be8 0x004057e8 6   8    .text   utf8    tA3\n\fG
168  0x00004bf9 0x004057f9 5   6    .text   ascii   Gt\b@=
169  0x00004d9e 0x0040599e 4   5    .text   ascii   vdj\b
170  0x00004db9 0x004059b9 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
171  0x00004de1 0x004059e1 4   5    .text   ascii   < w\b
172  0x00004deb 0x004059eb 8   10   .text   utf8    t$<"u\t3Ʌ blocks=Basic Latin,Latin Extended-B
173  0x00004e0c 0x00405a0c 5   6    .text   ascii   < w\aF
174  0x00004e6b 0x00405a6b 4   6    .text   utf8    tˋ5h blocks=Basic Latin,Spacing Modifier Letters
175  0x00004e93 0x00405a93 5   6    .text   ascii   t?VSP
176  0x00004ecf 0x00405acf 4   5    .text   ascii   Y[_^
177  0x00004eed 0x00405aed 5   6    .text   ascii   PPPPP
178  0x00004f12 0x00405b12 5   6    .text   ascii   9E\bt\t
179  0x00004fd2 0x00405bd2 4   5    .text   ascii   >"u&
180  0x0000501c 0x00405c1c 10  11   .text   ascii   u\b< tK<\ttG
181  0x00005083 0x00405c83 4   5    .text   ascii   E\b^[
182  0x00005168 0x00405d68 5   6    .text   ascii   wf93t
183  0x00005171 0x00405d71 4   5    .text   ascii   f90u
