[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
358  0x0000a3bd 0x0040afbd 5   6    .text   ascii   9] t\a
359  0x0000a3ce 0x0040afce 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
360  0x0000a3ff 0x0040afff 6   8    .text   utf8    E\bSV3ۋ blocks=Basic Latin,Arabic
361  0x0000a56b 0x0040b16b 5   7    .text   utf8    }"+D]
362  0x0000a5c1 0x0040b1c1 5   6    .text   ascii    t\vj 
363  0x0000a639 0x0040b239 5   6    .text   ascii   M\b#M\f
364  0x0000a6c5 0x0040b2c5 6   7    .text   ascii   E\b@tH9
365  0x0000a74e 0x0040b34e 4   5    .text   ascii   M\bQP
366  0x0000a7e0 0x0040b3e0 4   5    .text   ascii   ~%9M
367  0x0000a7f1 0x0040b3f1 6   7    .text   ascii   u\bQVj\t
368  0x0000a810 0x0040b410 4   5    .text   ascii   r 8^
369  0x0000a911 0x0040b511 4   5    .text   ascii   t\b@;
370  0x0000a92b 0x0040b52b 5   6    .text   ascii   9]$u\v
371  0x0000a93c 0x0040b53c 4   5    .text   ascii   5XQA
372  0x0000a943 0x0040b543 5   6    .text   ascii   9](SS
373  0x0000a97d 0x0040b57d 4   5    .text   ascii   D?\b=
374  0x0000a9d5 0x0040b5d5 4   5    .text   ascii   5\QA
375  0x0000aa3a 0x0040b63a 4   5    .text   ascii   D?\b;
376  0x0000aa89 0x0040b689 8   9    .text   ascii   t"SS9] u
377  0x0000ab42 0x0040b742 4   5    .text   ascii   5XQA
378  0x0000ab49 0x0040b749 5   6    .text   ascii   9] SS
379  0x0000ab79 0x0040b779 4   5    .text   ascii   D?\b=
380  0x0000afcb 0x0040bbcb 4   7    .text   utf8    t\aP茕 blocks=Basic Latin,CJK Unified Ideographs
381  0x0000b00b 0x0040bc0b 4   5    .text   ascii   v4;5
382  0x0000b01b 0x0040bc1b 4   6    .text   utf8    Y^]Ë blocks=Basic Latin,Latin-1 Supplement
383  0x0000b0a5 0x0040bca5 4   7    .text   utf8    t\aP貔 blocks=Basic Latin,CJK Unified Ideographs
384  0x0000b0b7 0x0040bcb7 4   7    .text   utf8    t\aP蠔 blocks=Basic Latin,CJK Unified Ideographs
385  0x0000b0c9 0x0040bcc9 4   7    .text   utf8    t\aP莔 blocks=Basic Latin,CJK Unified Ideographs
386  0x0000b109 0x0040bd09 6   8    .text   utf8    vL;5ľA blocks=Basic Latin,Latin Extended-A
387  0x0000b361 0x0040bf61 4   5    .text   ascii   E\b^_
388  0x0000b36d 0x0040bf6d 4   5    .text   ascii   E\b^_
389  0x0000b37f 0x0040bf7f 4   5    .text   ascii   E\b^_
390  0x0000b399 0x0040bf99 4   5    .text   ascii   E\b^_
391  0x0000b4fd 0x0040c0fd 4   5    .text   ascii   E\b^_
392  0x0000b50b 0x0040c10b 4   5    .text   ascii   E\b^_
393  0x0000b521 0x0040c121 4   5    .text   ascii   E\b^_
394  0x0000b53b 0x0040c13b 4   5    .text   ascii   E\b^_
395  0x0000b54d 0x0040c14d 4   5    .text   ascii   woVW
396  0x0000b590 0x0040c190 6   7    .text   ascii   u&j\f^9
397  0x0000b68a 0x0040c28a 4   5    .text   ascii   SVW3
398  0x0000b874 0x0040c474 4   5    .text   ascii   |\b;5
399  0x0000b8eb 0x0040c4eb 5   6    .text   ascii   9]\ft5
400  0x0000b9f4 0x0040c5f4 4   5    .text   ascii   %\nu%
401  0x0000ba9e 0x0040c69e 4   5    .text   ascii   <\rt\f
402  0x0000baba 0x0040c6ba 4   5    .text   ascii   8\nu\v
403  0x0000bbd5 0x0040c7d5 4   5    .text   ascii   Ht%C
404  0x0000bc47 0x0040c847 6   7    .text   ascii   ;E\ft\aP
405  0x0000bcda 0x0040c8da 4   5    .text   ascii   9\nu\r
406  0x0000bd28 0x0040c928 4   5    .text   ascii   Ht(f
407  0x0000bd32 0x0040c932 4   5    .text   ascii   j\rXf
408  0x0000bd74 0x0040c974 7   8    .text   ascii   \nt\tj\rXf
409  0x0000be8e 0x0040ca8e 5   6    .text   ascii   _^[u\a
410  0x0000bec8 0x0040cac8 4   6    .text   utf8    X]Ë\r blocks=Basic Latin,Latin-1 Supplement
411  0x0000bfc6 0x0040cbc6 6   7    .text   ascii   u09E\bu
412  0x0000bfe4 0x0040cbe4 4   5    .text   ascii   9E\ft
413  0x0000c042 0x0040cc42 4   5    .text   ascii   tR:Q
414  0x0000c04e 0x0040cc4e 4   5    .text   ascii   t<:Q
415  0x0000c05a 0x0040cc5a 4   5    .text   ascii   t&:Q
416  0x0000c0b3 0x0040ccb3 6   7    .text   ascii   u\r@FA;
417  0x0000c15f 0x0040cd5f 4   6    .text   utf8    \n3Ɉ] blocks=Basic Latin,Latin Extended-B
418  0x0000c2d7 0x0040ced7 4   5    .text   ascii   r"9U
419  0x0000c30b 0x0040cf0b 6   10   .text   utf8    yщM܋MЃ blocks=Basic Latin,Cyrillic,Syriac
420  0x0000c345 0x0040cf45 5   10   .text   utf8    }\r3\r}
421  0x0000c35c 0x0040cf5c 4   6    .text   utf8    +Eԍu blocks=Basic Latin,Cyrillic Supplement
422  0x0000c3a8 0x0040cfa8 4   7    .text   utf8    #ωMԋ blocks=Basic Latin,Greek and Coptic,Cyrillic Supplement
423  0x0000c3b4 0x0040cfb4 4   6    .text   utf8    \vu؉3 blocks=Basic Latin,Arabic
424  0x0000c4ac 0x0040d0ac 5   8    .text   utf8    HyދMԃ blocks=Basic Latin,Thaana,Cyrillic Supplement
425  0x0000c517 0x0040d117 4   7    .text   utf8    #ωMԋ blocks=Basic Latin,Greek and Coptic,Cyrillic Supplement
426  0x0000c523 0x0040d123 4   6    .text   utf8    \vu؉3 blocks=Basic Latin,Arabic
427  0x0000c5c8 0x0040d1c8 4   7    .text   utf8    #ωMԋ blocks=Basic Latin,Greek and Coptic,Cyrillic Supplement
428  0x0000c5d4 0x0040d1d4 4   6    .text   utf8    \vu؉3 blocks=Basic Latin,Arabic
429  0x0000c66d 0x0040d26d 4   7    .text   utf8    #ΉMԋ blocks=Basic Latin,Greek and Coptic,Cyrillic Supplement
430  0x0000c679 0x0040d279 4   6    .text   utf8    \v}؉| blocks=Basic Latin,Arabic
431  0x0000c828 0x0040d428 4   5    .text   ascii   r"9U
432  0x0000c85c 0x0040d45c 6   10   .text   utf8    yщM܋MЃ blocks=Basic Latin,Cyrillic,Syriac
433  0x0000c896 0x0040d496 5   10   .text   utf8    }\r3\r}
434  0x0000c8ad 0x0040d4ad 4   6    .text   utf8    +Eԍu blocks=Basic Latin,Cyrillic Supplement
435  0x0000c8f9 0x0040d4f9 4   7    .text   utf8    #ωMԋ blocks=Basic Latin,Greek and Coptic,Cyrillic Supplement
436  0x0000c905 0x0040d505 4   6    .text   utf8    \vu؉3 blocks=Basic Latin,Arabic
437  0x0000c9fd 0x0040d5fd 5   8    .text   utf8    HyދMԃ blocks=Basic Latin,Thaana,Cyrillic Supplement
438  0x0000ca68 0x0040d668 4   7    .text   utf8    #ωMԋ blocks=Basic Latin,Greek and Coptic,Cyrillic Supplement
439  0x0000ca74 0x0040d674 4   6    .text   utf8    \vu؉3 blocks=Basic Latin,Arabic
440  0x0000cb19 0x0040d719 4   7    .text   utf8    #ωMԋ blocks=Basic Latin,Greek and Coptic,Cyrillic Supplement
441  0x0000cb25 0x0040d725 4   6    .text   utf8    \vu؉3 blocks=Basic Latin,Arabic
442  0x0000cbbe 0x0040d7be 4   7    .text   utf8    #ΉMԋ blocks=Basic Latin,Greek and Coptic,Cyrillic Supplement
443  0x0000cbca 0x0040d7ca 4   6    .text   utf8    \v}؉| blocks=Basic Latin,Arabic
444  0x0000cc0e 0x0040d80e 4   5    .text   ascii   Y+\r\b
445  0x0000cc24 0x0040d824 4   6    .text   utf8    \vً\r\f blocks=Basic Latin,Arabic
446  0x0000cc77 0x0040d877 4   5    .text   ascii   E\fFW
447  0x0000cc9c 0x0040d89c 4   5    .text   ascii   9M$u
448  0x0000ccc0 0x0040d8c0 11  12   .text   ascii   < t\f<\tt\b<\nt
449  0x0000cd15 0x0040d915 4   5    .text   ascii   HHt\r
450  0x0000cd38 0x0040d938 5   9    .text   utf8    Y뛍Hωu blocks=Basic Latin,Hangul Syllables,Greek and Coptic
451  0x0000cd5b 0x0040d95b 7   8    .text   ascii   <+t"<-t
452  0x0000cd6f 0x0040d96f 7   8    .text   ascii   <E~\n,d<
453  0x0000cd81 0x0040d981 6   10   .text   utf8    Jj\v넍Hπ blocks=Basic Latin,Hangul Syllables,Greek and Coptic
454  0x0000cdc9 0x0040d9c9 4   6    .text   utf8    *È\aG blocks=Basic Latin,Latin-1 Supplement
455  0x0000ce23 0x0040da23 4   6    .text   utf8    *È\aG blocks=Basic Latin,Latin-1 Supplement
456  0x0000ce53 0x0040da53 5   6    .text   ascii   \bw\aj\t
457  0x0000ce62 0x0040da62 6   7    .text   ascii   +t HHt
458  0x0000ce98 0x0040da98 5   6    .text   ascii   ,1<\bv
459  0x0000cef9 0x0040daf9 5   6    .text   ascii   Yj\nYJ
460  0x0000d01d 0x0040dc1d 5   8    .text   utf8    EԉE؉E blocks=Basic Latin,Cyrillic Supplement,Arabic
461  0x0000d073 0x0040dc73 7   10   .text   utf8    w\r3\tEȉE blocks=Basic Latin,Latin Extended-B
462  0x0000d0c1 0x0040dcc1 5   8    .text   utf8    ủuȉu blocks=Basic Latin,Combining Diacritical Marks,Latin Extended-B
463  0x0000d1ab 0x0040ddab 5   8    .text   utf8    E܋}؋U blocks=Basic Latin,Syriac,Arabic
464  0x0000d2a1 0x0040dea1 5   8    .text   utf8    MċuƋU blocks=Basic Latin,Latin Extended-A,Latin Extended-B
465  0x0000d360 0x0040df60 4   5    .text   ascii   oV f
466  0x0000d365 0x0040df65 4   5    .text   ascii   o^0f
467  0x0000d37d 0x0040df7d 4   5    .text   ascii   of@f
468  0x0000d382 0x0040df82 4   5    .text   ascii   onPf
469  0x0000d387 0x0040df87 4   5    .text   ascii   ov`f
470  0x0000d38c 0x0040df8c 4   5    .text   ascii   o~pf
471  0x0000d3f9 0x0040dff9 5   6    .text   ascii   \aFGIu
472  0x0000d3ff 0x0040dfff 5   7    .text   utf8    X^_]ú blocks=Basic Latin,Latin-1 Supplement
473  0x0000d41b 0x0040e01b 4   5    .text   ascii   FGIu
474  0x0000d50b 0x0040e10b 5   6    .text   ascii   PPPPP
475  0x0000d523 0x0040e123 9   10   .text   ascii   u\f9U\bu-h 
476  0x0000d533 0x0040e133 6   7    .text   ascii   u"9U\bu
477  0x0000d603 0x0040e203 4   5    .text   ascii   f9\br
478  0x0000d6bd 0x0040e2bd 4   5    .text   ascii   u\t9p
479  0x0000d8d1 0x0040e4d1 5   7    .text   utf8    wK3\tE
480  0x0000d954 0x0040e554 4   5    .text   ascii   u\t9E
481  0x0000dc72 0x0040e872 4   6    .text   utf8    \vʍ4? blocks=Basic Latin,IPA Extensions
482  0x0000dcb6 0x0040e8b6 4   5    .text   ascii   ;9u\t
483  0x0000dcbc 0x0040e8bc 4   5    .text   ascii   0K;]
484  0x0000dcf2 0x0040e8f2 4   6    .text   utf8    À;0u blocks=Latin-1 Supplement,Basic Latin
485  0x0000df15 0x0040eb15 5   7    .text   utf8    \vIE\f;
486  0x0000e158 0x0040ed58 6   7    .text   ascii   3M\f\vE\f
487  0x0000e1b1 0x0040edb1 4   5    .text   ascii   Dz\a3
488  0x0000e1d1 0x0040edd1 5   6    .text   ascii   9M\bt]
489  0x0000e221 0x0040ee21 5   6    .text   ascii   E\bQQQ
490  0x0000e237 0x0040ee37 4   5    .text   ascii   E\bQQ
491  0x0000e2a2 0x0040eea2 5   7    .text   utf8    L$\b+ȃ blocks=Basic Latin,Latin Extended-B
492  0x0000e2b8 0x0040eeb8 5   7    .text   utf8    L$\b+ȃ blocks=Basic Latin,Latin Extended-B
493  0x0000e2f1 0x0040eef1 4   5    .text   ascii   \at'\n
494  0x0000e346 0x0040ef46 8   9    .text   ascii   PPPPPPPP
495  0x0000e3a8 0x0040efa8 4   5    .text   ascii   t&:a
496  0x0000e426 0x0040f026 8   9    .text   ascii   PPPPPPPP
497  0x0000e47d 0x0040f07d 5   6    .text   ascii   X\b9]\f
498  0x0000e49e 0x0040f09e 5   7    .text   utf8    \f\e\vʋU blocks=Basic Latin,IPA Extensions
499  0x0000e55b 0x0040f15b 4   6    .text   utf8    \vމH\b blocks=Basic Latin,Thaana
500  0x0000e5cd 0x0040f1cd 5   6    .text   ascii   9X\bu*
501  0x0000e5f7 0x0040f1f7 4   6    .text   utf8    t܉x\b blocks=Basic Latin,Syriac
502  0x0000e64f 0x0040f24f 4   6    .text   utf8    ̋D$\b blocks=Combining Diacritical Marks,Basic Latin
503  0x0000e658 0x0040f258 7   9    .text   utf8    \vȋL$\fu\t blocks=Basic Latin,Latin Extended-B
504  0x0000e66d 0x0040f26d 4   6    .text   utf8    ؋D$\b blocks=Arabic,Basic Latin
505  0x0000e677 0x0040f277 4   6    .text   utf8    ؋D$\b blocks=Arabic,Basic Latin
506  0x0000e697 0x0040f297 4   5    .text   ascii   Nx9l
507  0x0000e69f 0x0040f29f 5   6    .text   ascii   .*X A
508  0x0000e6af 0x0040f2af 4   5    .text   ascii   \b8$$
509  0x0000e70a 0x0040f30a 5   7    .text   utf8    L#[]?
510  0x0000e769 0x0040f369 4   5    .text   ascii   yX6F
511  0x0000e7a5 0x0040f3a5 4   5    .text   ascii   E4]f
512  0x0000e7cf 0x0040f3cf 4   5    .text   ascii   )&&\n
513  0x0000e7eb 0x0040f3eb 4   5    .text   ascii   dCL,
514  0x0000e800 0x0040f400 4   5    .text   ascii   \v(4o
515  0x0000e82e 0x0040f42e 4   5    .text   ascii   WBM.
516  0x0000e842 0x0040f442 4   5    .text   ascii   p'6=
517  0x0000e865 0x0040f465 4   6    .text   utf8    b!ӻ\n blocks=Basic Latin,Cyrillic
518  0x0000e8a2 0x0040f4a2 5   7    .text   utf8    Y\rO:ȴ blocks=Basic Latin,Latin Extended-B
519  0x0000e8b7 0x0040f4b7 8   9    .text   ascii   =Fo\1=q$
520  0x0000e8c2 0x0040f4c2 10  11   .text   ascii   .?1H\eJve+K
521  0x0000e8cf 0x0040f4cf 4   6    .text   utf8    խXLT blocks=Armenian,Basic Latin
522  0x0000e92a 0x0040f52a 4   6    .text   utf8    VEѼ6 blocks=Basic Latin,Cyrillic
523  0x0000e952 0x0040f552 4   7    .text   utf8    aZӄݦ blocks=Basic Latin,Cyrillic,Arabic Supplement
524  0x0000e969 0x0040f569 4   5    .text   ascii   \vOU!
525  0x0000e99d 0x0040f59d 4   6    .text   utf8    pȡR7 blocks=Basic Latin,Latin Extended-B
526  0x0000ea17 0x0040f617 4   5    .text   ascii   \.R4
527  0x0000ea22 0x0040f622 4   6    .text   utf8    yTߌz blocks=Basic Latin,NKo
528  0x0000ea30 0x0040f630 6   7    .text   ascii   u|^kI\t
529  0x0000ea75 0x0040f675 7   8    .text   ascii   CwP?A%B
530  0x0000ea9a 0x0040f69a 4   5    .text   ascii   4;XC
531  0x0000eaa9 0x0040f6a9 4   6    .text   utf8    F>ԦD blocks=Basic Latin,Cyrillic Supplement
532  0x0000eaaf 0x0040f6af 4   6    .text   utf8    aYٚ: blocks=Basic Latin,Arabic
533  0x0000eabe 0x0040f6be 4   5    .text   ascii   Oxfh
534  0x0000eb03 0x0040f703 4   5    .text   ascii   !-6J
535  0x0000eb0b 0x0040f70b 8   9    .text   ascii   nPT:kO9#
536  0x0000eb26 0x0040f726 4   8    .text   utf8    :ӟn blocks=Private Use Area,Basic Latin,Cyrillic
537  0x0000eb36 0x0040f736 5   8    .text   utf8    э_C7̶ blocks=Cyrillic,Basic Latin,Combining Diacritical Marks
538  0x0000eb6a 0x0040f76a 4   5    .text   ascii   #1s@
539  0x0000eb9b 0x0040f79b 6   7    .text   ascii    .u)M 
540  0x0000ebc3 0x0040f7c3 4   6    .text   utf8     b֨j blocks=Basic Latin,Hebrew
541  0x0000ebcf 0x0040f7cf 4   5    .text   ascii   u[1L
542  0x0000ebd6 0x0040f7d6 4   6    .text   utf8    ͠\biM blocks=Combining Diacritical Marks,Basic Latin
543  0x0000ec6c 0x0040f86c 4   6    .text   utf8    ˃]H~ blocks=Spacing Modifier Letters,Basic Latin
544  0x0000ec85 0x0040f885 5   6    .text   ascii   NuNgV
545  0x0000ecc1 0x0040f8c1 4   5    .text   ascii   %:l\b
546  0x0000eccf 0x0040f8cf 4   5    .text   ascii   5\tq/
547  0x0000ece5 0x0040f8e5 6   7    .text   ascii   V~W_\tY
548  0x0000ecf1 0x0040f8f1 5   6    .text   ascii   IG[0#
549  0x0000ed35 0x0040f935 4   5    .text   ascii   ,B(#
550  0x0000ed58 0x0040f958 4   5    .text   ascii   z^iB
551  0x0000ed93 0x0040f993 6   8    .text   utf8    ؎|;\aEr blocks=Arabic,Basic Latin
552  0x0000edd5 0x0040f9d5 4   7    .text   utf8    25m blocks=Private Use Area,Basic Latin
553  0x0000eded 0x0040f9ed 4   6    .text   utf8    30Ca
554  0x0000ee06 0x0040fa06 5   6    .text   ascii   Bd<7<
555  0x0000ee43 0x0040fa43 5   6    .text   ascii   :0gYF
556  0x0000eea2 0x0040faa2 4   5    .text   ascii   \f45l
557  0x0000eeaf 0x0040faaf 4   5    .text   ascii   \vgI~
558  0x0000eec5 0x0040fac5 4   5    .text   ascii   -CB?
559  0x0000eed3 0x0040fad3 6   7    .text   ascii   8d4I#Y
560  0x0000ef44 0x0040fb44 5   6    .text   ascii   \nW\nX*
561  0x0000ef61 0x0040fb61 4   6    .text   utf8    fޗx> blocks=Basic Latin,Thaana
562  0x0000ef9a 0x0040fb9a 4   5    .text   ascii   \nZJS
563  0x0000efe0 0x0040fbe0 5   6    .text   ascii   P`? `
564  0x0000efe6 0x0040fbe6 4   6    .text   utf8    ɐO|A blocks=IPA Extensions,Basic Latin
565  0x0000f00f 0x0040fc0f 5   7    .text   utf8    ρZZ32 blocks=Greek and Coptic,Basic Latin
566  0x0000f021 0x0040fc21 4   5    .text   ascii   fPh|
567  0x0000f069 0x0040fc69 4   5    .text   ascii   51@a
568  0x0000f098 0x0040fc98 4   5    .text   ascii    !2$
569  0x0000f0b7 0x0040fcb7 5   6    .text   ascii   (HLG,
570  0x0000f0cc 0x0040fccc 5   7    .text   utf8    ӱM@,t blocks=Cyrillic,Basic Latin
571  0x0000f112 0x0040fd12 4   5    .text   ascii   :en:
572  0x0000f11b 0x0040fd1b 4   5    .text   ascii   lS{a
573  0x0000f133 0x0040fd33 4   6    .text   utf8    Dܱj[ blocks=Basic Latin,Syriac
574  0x0000f141 0x0040fd41 5   6    .text   ascii   \rNg\f>
575  0x0000f163 0x0040fd63 4   5    .text   ascii   I\T_
576  0x0000f16f 0x0040fd6f 5   6    .text   ascii   wBAV&
577  0x0000f178 0x0040fd78 5   6    .text   ascii   s"ah]
578  0x0000f180 0x0040fd80 4   5    .text   ascii   I,^x
579  0x0000f1cc 0x0040fdcc 6   10   .text   utf8    Ƞy\byR脄 blocks=Latin Extended-B,Basic Latin,CJK Unified Ideographs
580  0x0000f221 0x0040fe21 6   7    .text   ascii   X+zr8X
581  0x0000f2d7 0x0040fed7 4   5    .text   ascii   HwRw
582  0x0000f2fe 0x0040fefe 4   5    .text   ascii   W*WH
583  0x0000f311 0x0040ff11 4   5    .text   ascii   .2%.
584  0x0000f33d 0x0040ff3d 4   5    .text   ascii   fskW
585  0x0000f364 0x0040ff64 4   5    .text   ascii   M'C:
586  0x0000f41d 0x0041001d 5   7    .text   utf8    T`I_ԕ blocks=Basic Latin,Cyrillic Supplement
587  0x0000f460 0x00410060 4   5    .text   ascii   P8b\r
588  0x0000f485 0x00410085 5   7    .text   utf8    rNٞ_\r blocks=Basic Latin,Arabic
589  0x0000f48f 0x0041008f 4   5    .text   ascii   CTGx
590  0x0000f4b9 0x004100b9 4   5    .text   ascii   kpmk
591  0x0000f4f3 0x004100f3 4   7    .text   utf8    IꣂQ? blocks=Basic Latin,Saurashtra
592  0x0000f527 0x00410127 7   8    .text   ascii   -\tc]?zE
593  0x0000f547 0x00410147 4   5    .text   ascii   tQ0\v
594  0x0000f595 0x00410195 6   7    .text   ascii   \nTa<1+
595  0x0000f615 0x00410215 4   5    .text   ascii   R\f#N
596  0x0000f647 0x00410247 6   8    .text   utf8    {8MI۴Q blocks=Basic Latin,Arabic
597  0x0000f661 0x00410261 6   7    .text   ascii   /MM~\t7
598  0x0000f674 0x00410274 4   5    .text   ascii   @}L|
599  0x0000f67c 0x0041027c 4   5    .text   ascii   U_N<
600  0x0000f683 0x00410283 5   7    .text   utf8    mE`ūC blocks=Basic Latin,Latin Extended-A
601  0x0000f6cb 0x004102cb 4   7    .text   utf8    ֨ǂTA blocks=Hebrew,Latin Extended-B,Basic Latin
602  0x0000f6d5 0x004102d5 4   5    .text   ascii   ^[VP
603  0x0000f70d 0x0041030d 6   7    .text   ascii   bRU`xU
604  0x0000f74d 0x0041034d 6   7    .text   ascii   G5,?Dh
605  0x0000f7aa 0x004103aa 4   5    .text   ascii   V~Ey
606  0x0000f7b3 0x004103b3 4   5    .text   ascii   n(\a{
607  0x0000f7f7 0x004103f7 4   6    .text   utf8    ~}=֗ blocks=Basic Latin,Hebrew
608  0x0000f80c 0x0041040c 7   9    .text   utf8    UJ:Jr[̒ blocks=Basic Latin,Combining Diacritical Marks
609  0x0000f839 0x00410439 4   6    .text   utf8    fΦPX blocks=Basic Latin,Greek and Coptic
610  0x0000f845 0x00410445 4   5    .text   ascii   9s(>
611  0x0000f850 0x00410450 6   8    .text   utf8    cωEsUK blocks=Basic Latin,Greek and Coptic
612  0x0000f890 0x00410490 4   5    .text   ascii   2ea|
613  0x0000f89b 0x0041049b 5   6    .text   ascii   6980}
614  0x0000f8d1 0x004104d1 4   5    .text   ascii   Jzm?
615  0x0000f8df 0x004104df 4   6    .text   utf8    \ܲb2 blocks=Basic Latin,Syriac
616  0x0000f942 0x00410542 5   7    .text   utf8    Qșmp6 blocks=Basic Latin,Latin Extended-B
617  0x0000f981 0x00410581 4   5    .text   ascii   |<\#
618  0x0000f98e 0x0041058e 6   8    .text   utf8    E(0,xڃ blocks=Basic Latin,Arabic
619  0x0000f9bf 0x004105bf 4   5    .text   ascii   b\n\J
620  0x0000fa18 0x00410618 5   6    .text   ascii   Oeit 
621  0x0000fa36 0x00410636 4   5    .text   ascii   f/}z
622  0x0000fa4e 0x0041064e 4   6    .text   utf8    ءK9f blocks=Arabic,Basic Latin
623  0x0000fae5 0x004106e5 6   7    .text   ascii   Aa\v~~u
624  0x0000fb87 0x00410787 4   5    .text   ascii   $ol8
625  0x0000fc09 0x00410809 4   6    .text   utf8     !ϥ\e blocks=Basic Latin,Greek and Coptic
626  0x0000fc7c 0x0041087c 4   5    .text   ascii   96WH
627  0x0000fcb7 0x004108b7 4   5    .text   ascii   $\)(
628  0x0000fd76 0x00410976 4   5    .text   ascii   tw5r
629  0x0000fdeb 0x004109eb 6   9    .text   utf8    mXϺܒSH blocks=Basic Latin,Greek and Coptic,Syriac
630  0x0000fe14 0x00410a14 4   5    .text   ascii   4(cB
631  0x0000fe26 0x00410a26 4   7    .text   utf8    գރ\v@ blocks=Armenian,Thaana,Basic Latin
632  0x0000fe33 0x00410a33 6   7    .text   ascii   \b+ ^QO
633  0x0000fe8a 0x00410a8a 5   7    .text   utf8    ẁDkx blocks=Basic Latin,Combining Diacritical Marks
634  0x0000fea4 0x00410aa4 4   6    .text   utf8    Ԙ%\Z blocks=Cyrillic Supplement,Basic Latin
635  0x0000feba 0x00410aba 4   6    .text   utf8    LǞE4 blocks=Basic Latin,Latin Extended-B
636  0x0000fede 0x00410ade 6   7    .text   ascii   gw,\b#~
637  0x0000ff03 0x00410b03 5   6    .text   ascii   \aWfsv
638  0x0000ff1e 0x00410b1e 4   5    .text   ascii   $K<v
639  0x0000ff69 0x00410b69 4   5    .text   ascii   qB\n?
640  0x0000ff85 0x00410b85 4   5    .text   ascii   \t4q4
641  0x0000ff8d 0x00410b8d 5   8    .text   utf8    N$f\bɧ blocks=Basic Latin,IPA Extensions
642  0x00010002 0x00410c02 5   6    .text   ascii   >stF_
643  0x00010034 0x00410c34 4   5    .text   ascii   a9E+
644  0x00010079 0x00410c79 6   9    .text   utf8    ?1@3t blocks=Private Use Area,Basic Latin
645  0x00010097 0x00410c97 4   5    .text   ascii   VlCa
646  0x0001009f 0x00410c9f 4   5    .text   ascii   ?U`B
647  0x000100bd 0x00410cbd 4   5    .text   ascii   Kb(N
648  0x000100ea 0x00410cea 4   5    .text   ascii   KaHF
649  0x000100f1 0x00410cf1 6   7    .text   ascii   #^lt%\r
650  0x000100fc 0x00410cfc 4   6    .text   utf8    5B_ƍ blocks=Basic Latin,Latin Extended-B
651  0x00010114 0x00410d14 4   5    .text   ascii   @\}0
652  0x00010119 0x00410d19 4   7    .text   utf8    F긐\fL blocks=Basic Latin,Hangul Syllables
653  0x0001012d 0x00410d2d 4   5    .text   ascii   \n{V}
654  0x0001014e 0x00410d4e 4   5    .text   ascii   2BF\r
655  0x000101ad 0x00410dad 6   8    .text   utf8    KڐZXkj blocks=Basic Latin,Arabic
656  0x0001023d 0x00410e3d 4   5    .text   ascii   %h.6
657  0x0001024c 0x00410e4c 4   5    .text   ascii   \a`IQ
658  0x0001026a 0x00410e6a 6   8    .text   utf8    I@L[ڛN blocks=Basic Latin,Arabic
659  0x0001027c 0x00410e7c 5   8    .text   utf8    b@杂6` blocks=Basic Latin,CJK Unified Ideographs
660  0x0001028f 0x00410e8f 4   5    .text   ascii   TX4q
661  0x00010294 0x00410e94 4   5    .text   ascii   &\f#t
662  0x000102bd 0x00410ebd 6   7    .text   ascii   6zXXQ\v
663  0x00010354 0x00410f54 4   5    .text   ascii   -(\nX
664  0x000103d4 0x00410fd4 4   5    .text   ascii   hGEd
665  0x000103e2 0x00410fe2 4   5    .text   ascii   Z7h$
666  0x0001041e 0x0041101e 4   5    .text   ascii   "\a#.
667  0x00010475 0x00411075 5   7    .text   utf8    KoFҶ0 blocks=Basic Latin,Cyrillic
668  0x000104a8 0x004110a8 5   6    .text   ascii   \fE;qy
669  0x000104bc 0x004110bc 8   10   .text   utf8    ݿrdv?S?v blocks=Arabic Supplement,Basic Latin
670  0x000104f1 0x004110f1 4   6    .text   utf8    pQȑ8 blocks=Basic Latin,Latin Extended-B
671  0x0001057f 0x0041117f 4   6    .text   utf8    zؘd; blocks=Basic Latin,Arabic
672  0x00010589 0x00411189 4   5    .text   ascii   Ff2V
673  0x000105ad 0x004111ad 4   5    .text   ascii   '|\a<
674  0x000105cf 0x004111cf 4   5    .text   ascii   `=Q*
675  0x00010626 0x00411226 5   7    .text   utf8    BL,\vЃ blocks=Basic Latin,Cyrillic
676  0x00010673 0x00411273 4   6    .text   utf8    ̚BPx blocks=Combining Diacritical Marks,Basic Latin
677  0x000106a7 0x004112a7 4   5    .text   ascii   bKS;
678  0x000106be 0x004112be 5   6    .text   ascii   \e#3Bn
679  0x000106d1 0x004112d1 4   5    .text   ascii   \a9O:
680  0x00010749 0x00411349 4   5    .text   ascii   .;;Q
681  0x00010795 0x00411395 6   7    .text   ascii   0\b1\e_u
682  0x000107a4 0x004113a4 6   7    .text   ascii   !6\n[g1
683  0x000107ef 0x004113ef 4   6    .text   utf8    hRˈo blocks=Basic Latin,Spacing Modifier Letters
684  0x0001082e 0x0041142e 4   6    .text   utf8    k(Ɋ| blocks=Basic Latin,Latin Extended-B
685  0x00010845 0x00411445 5   6    .text   ascii   h=II=
686  0x0001084f 0x0041144f 4   6    .text   utf8    |bn¶ blocks=Basic Latin,Latin-1 Supplement
