[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
87   0x000038e5 0x100044e5 4   7    .text   utf8    Ց~Թ\r blocks=Armenian,Basic Latin
88   0x00003947 0x10004547 4   7    .text   utf8    Ց~Թ\t blocks=Armenian,Basic Latin
89   0x000039a7 0x100045a7 4   7    .text   utf8    Ց~Թ\f blocks=Armenian,Basic Latin
90   0x000039de 0x100045de 4   10   .text   utf16le jjjj
91   0x00004105 0x10004d05 5   6    .text   ascii   \fSVWh
92   0x00004125 0x10004d25 4   5    .text   ascii   Wj<V
93   0x00004133 0x10004d33 4   5    .text   ascii   ugVj
94   0x0000415a 0x10004d5a 4   5    .text   ascii   u@Vj
95   0x00004179 0x10004d79 4   5    .text   ascii   u!VP
96   0x00004502 0x10005102 4   7    .text   utf8    3҉Eع blocks=Basic Latin,Cyrillic,Arabic
97   0x0000456b 0x1000516b 5   8    .text   utf8    3҉E؉0 blocks=Basic Latin,Cyrillic,Arabic
98   0x0000477a 0x1000537a 4   6    .text   utf8    3ۍd$ blocks=Basic Latin,Arabic
99   0x000047c9 0x100053c9 4   7    .text   utf8    3ۉEؿ blocks=Basic Latin,Arabic
100  0x0000491e 0x1000551e 4   5    .text   ascii   ]\bVW
101  0x000049d7 0x100055d7 6   8    .text   utf8    ]ËE\b_^ blocks=Basic Latin,Latin-1 Supplement
102  0x000049fa 0x100055fa 4   6    .text   utf8    EԋB\f blocks=Basic Latin,Cyrillic Supplement
103  0x00004be2 0x100057e2 4   6    .text   utf8    f;ʋU blocks=Basic Latin,IPA Extensions
104  0x00004cbf 0x100058bf 4   5    .text   ascii   E\bG;
105  0x00005085 0x10005c85 4   5    .text   ascii   tO;]
106  0x0000529d 0x10005e9d 4   7    .text   utf8    ЋΉE\f blocks=Cyrillic,Greek and Coptic,Basic Latin
107  0x00005301 0x10005f01 4   5    .text   ascii   \b_^[
108  0x00005313 0x10005f13 4   5    .text   ascii   QSVW
109  0x00005339 0x10005f39 5   6    .text   ascii   f9\bu\a
110  0x000055fa 0x100061fa 4   6    .text   utf8    3ɍd$ blocks=Basic Latin,Latin Extended-B
111  0x00005638 0x10006238 4   6    .text   utf8    |ƋE\b blocks=Basic Latin,Latin Extended-B
112  0x0000567e 0x1000627e 4   5    .text   ascii   t\b^3
113  0x0000584c 0x1000644c 4   5    .text   ascii   @\bOu
114  0x0000587c 0x1000647c 4   5    .text   ascii   I\bOu
115  0x0000598b 0x1000658b 4   5    .text   ascii   H9\ar
116  0x00005a53 0x10006653 4   5    .text   ascii   QSVW
117  0x00005a6d 0x1000666d 4   5    .text   ascii   H9\ar
118  0x00005aaa 0x100066aa 5   6    .text   ascii   \aH9\ar
119  0x00005b8e 0x1000678e 4   6    .text   utf8    \av\nǆ blocks=Basic Latin,Latin Extended-B
120  0x00005df9 0x100069f9 5   6    .text   ascii   @:J\au
121  0x00005e05 0x10006a05 4   5    .text   ascii   \b:\nu
122  0x00005f39 0x10006b39 4   7    .text   utf8    Ju䍆p blocks=Basic Latin,CJK Unified Ideographs Extension A
123  0x00006220 0x10006e20 4   5    .text   ascii   \b_^[
124  0x00006235 0x10006e35 5   7    .text   utf8    \bSV3ۋ blocks=Basic Latin,Arabic
125  0x0000651f 0x1000711f 4   5    .text   ascii   \b_^[
126  0x000067e6 0x100073e6 4   5    .text   ascii   u\bWj
127  0x00006cfc 0x100078fc 5   6    .text   ascii   ;F u"
128  0x00006d16 0x10007916 7   8    .text   ascii   ;F$u\b_3
129  0x00007037 0x10007c37 4   5    .text   ascii   G\b_^
130  0x000072d0 0x10007ed0 5   6    .text   ascii   t\a=PE
131  0x000072f5 0x10007ef5 4   7    .text   utf8    ű}ȅ blocks=Basic Latin,Combining Diacritical Marks,Latin Extended-B
132  0x0000746d 0x1000806d 6   8    .text   utf8    ^]ËM\bP blocks=Basic Latin,Latin-1 Supplement
133  0x000074af 0x100080af 4   5    .text   ascii   9^@s
134  0x000074da 0x100080da 4   5    .text   ascii   ^@SW
135  0x00007512 0x10008112 4   6    .text   utf8    3IF0
136  0x00007558 0x10008158 5   7    .text   utf8    F<2ˈ\f blocks=Basic Latin,Spacing Modifier Letters
137  0x00007561 0x10008161 6   7    .text   ascii   U\b;U\fr
138  0x0000757b 0x1000817b 4   5    .text   ascii   ;F(r
139  0x0000759e 0x1000819e 4   5    .text   ascii   ^$_^
140  0x000075b7 0x100081b7 4   5    .text   ascii   u\fWP
141  0x000075c2 0x100081c2 6   7    .text   ascii   E\b_^[]
142  0x000075fd 0x100081fd 7   8    .text   ascii   E\b;A(r\r
143  0x00007656 0x10008256 5   6    .text   ascii   8^,u\a
144  0x000076c4 0x100082c4 4   5    .text   ascii   E\bSV
145  0x0000770b 0x1000830b 4   5    .text   ascii   _^[]
146  0x00007734 0x10008334 4   5    .text   ascii   _^[]
147  0x00007753 0x10008353 4   5    .text   ascii   _^[]
148  0x00007807 0x10008407 4   5    .text   ascii   PPPW
149  0x000078a2 0x100084a2 4   6    .text   utf8    \vȉVT blocks=Basic Latin,Latin Extended-B
150  0x00007a4d 0x1000864d 5   7    .text   utf8    \vЉVh3 blocks=Basic Latin,Cyrillic
151  0x00007a83 0x10008683 4   5    .text   ascii   QSVW
