[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
88   0x000034b9 0x004040b9 4   5    .text   ascii   SVW3
89   0x00003681 0x00404281 4   5    .text   ascii   PQRV
90   0x00003758 0x00404358 4   5    .text   ascii   h\f(B
91   0x00003762 0x00404362 4   5    .text   ascii   h((B
92   0x0000377c 0x0040437c 4   5    .text   ascii   hD(B
93   0x000037a0 0x004043a0 6   7    .text   ascii   t'hX(B
94   0x00003840 0x00404440 5   7    .text   utf8    ЋU\bWj blocks=Cyrillic,Basic Latin
95   0x00003860 0x00404460 4   5    .text   ascii   h\f)B
96   0x000038e5 0x004044e5 4   6    .text   utf8    tI+ƍ blocks=Basic Latin,Latin Extended-B
97   0x00003971 0x00404571 4   5    .text   ascii   SVWP
98   0x0000399a 0x0040459a 4   5    .text   ascii   h,)B
99   0x000039a2 0x004045a2 5   6    .text   ascii   Qh@)B
100  0x000039d0 0x004045d0 4   5    .text   ascii   8H\f}
101  0x000039e9 0x004045e9 8   10   .text   utf8    :O\f}$3\ru
102  0x00003cbb 0x004048bb 5   6    .text   ascii   9Y8u&
103  0x00003d84 0x00404984 4   5    .text   ascii   8P\f}
104  0x00003d9b 0x0040499b 8   10   .text   utf8    :W\f}$3\ru
105  0x00003e0d 0x00404a0d 4   5    .text   ascii   9Y8u
106  0x00003ec4 0x00404ac4 4   5    .text   ascii   Y_^[
107  0x00003ef0 0x00404af0 4   5    .text   ascii   PQVW
108  0x00004046 0x00404c46 5   6    .text   ascii   9y8u&
109  0x000040c1 0x00404cc1 4   5    .text   ascii   8X\f}
110  0x000040d9 0x00404cd9 12  16   .text   utf8    :_\f}(3\ru܈]܉E blocks=Basic Latin,Syriac
111  0x000041a0 0x00404da0 6   8    .text   utf8    A\f\vƃy8 blocks=Basic Latin,Latin Extended-B
112  0x0000429e 0x00404e9e 4   5    .text   ascii   Y_^[
113  0x00004334 0x00404f34 6   8    .text   utf8    L983ۉ] blocks=Basic Latin,Arabic
114  0x00004352 0x00404f52 5   6    .text   ascii   9\8\fu
115  0x00004359 0x00404f59 4   5    .text   ascii   D8<;
116  0x0000436c 0x00404f6c 4   5    .text   ascii   9\8\f
117  0x0000439c 0x00404f9c 5   6    .text   ascii   R$SVP
118  0x00004462 0x00405062 4   5    .text   ascii   Y_^[
119  0x000044b2 0x004050b2 6   8    .text   utf8    A\f\vǃy8 blocks=Basic Latin,Latin Extended-B
120  0x0000456f 0x0040516f 5   6    .text   ascii   @ SVR
121  0x000045cd 0x004051cd 4   6    .text   utf8    Ë}\b3 blocks=Latin-1 Supplement,Basic Latin
122  0x000045e6 0x004051e6 4   5    .text   ascii   9q8u
123  0x0000460c 0x0040520c 4   5    .text   ascii   L98;
124  0x00004626 0x00405226 4   5    .text   ascii   Y_^[
125  0x00004701 0x00405301 4   6    .text   utf8    ^ËF0 blocks=Basic Latin,Latin-1 Supplement
126  0x00004742 0x00405342 4   5    .text   ascii   \r9E\f
127  0x0000476e 0x0040536e 4   5    .text   ascii   9u\fs
128  0x0000477e 0x0040537e 5   6    .text   ascii   U\bVQR
129  0x00004822 0x00405422 4   5    .text   ascii   \r9E\f
130  0x0000484e 0x0040544e 4   5    .text   ascii   9u\fs
131  0x000048f3 0x004054f3 4   6    .text   utf8    \b3ɉP blocks=Basic Latin,Latin Extended-B
132  0x00004923 0x00405523 4   6    .text   utf8    \b3ɉP blocks=Basic Latin,Latin Extended-B
133  0x00004a4e 0x0040564e 4   6    .text   utf8    ^ËF  blocks=Basic Latin,Latin-1 Supplement
134  0x00004ac6 0x004056c6 4   6    .text   utf8    ^ËF0 blocks=Basic Latin,Latin-1 Supplement
135  0x00004ae8 0x004056e8 4   5    .text   ascii   \fSV3
136  0x00004b06 0x00405706 4   5    .text   ascii   \t9E\f
137  0x00004b2d 0x0040572d 4   5    .text   ascii   9u\fs
138  0x00004b36 0x00405736 4   6    .text   utf8    ߋD$\f blocks=NKo,Basic Latin
139  0x00004b44 0x00405744 5   6    .text   ascii   <6WRP
140  0x00004be8 0x004057e8 4   5    .text   ascii   \fSV3
141  0x00004c06 0x00405806 4   5    .text   ascii   \t9E\f
142  0x00004c2d 0x0040582d 4   5    .text   ascii   9u\fs
143  0x00004c36 0x00405836 4   6    .text   utf8    ߋL$\f blocks=NKo,Basic Latin
144  0x00004c42 0x00405842 4   5    .text   ascii   <6WP
145  0x00004d5b 0x0040595b 5   6    .text   ascii   ;K\bu\a
146  0x00004d99 0x00405999 6   7    .text   ascii   3;K\bu\a
147  0x00004e10 0x00405a10 4   5    .text   ascii   8P\f}
148  0x00004e2a 0x00405a2a 5   6    .text   ascii   :G\f}+
149  0x00004eb3 0x00405ab3 4   5    .text   ascii   \fSVW
150  0x00004f88 0x00405b88 4   5    .text   ascii   Y_^[
151  0x00004f8e 0x00405b8e 4   6    .text   utf8    ]ËAT blocks=Basic Latin,Latin-1 Supplement
152  0x00004fce 0x00405bce 4   5    .text   ascii   SVWP
153  0x0000509b 0x00405c9b 5   8    .text   utf8    uԋƋOD blocks=Basic Latin,Cyrillic Supplement,Latin Extended-B
154  0x000050f2 0x00405cf2 7   9    .text   utf8    EԋOTQVj blocks=Basic Latin,Cyrillic Supplement
155  0x00005152 0x00405d52 4   5    .text   ascii   sFRV
156  0x000051e9 0x00405de9 4   5    .text   ascii   hH)B
157  0x0000520a 0x00405e0a 4   5    .text   ascii   Y_^[
158  0x0000532e 0x00405f2e 4   5    .text   ascii   SVWP
159  0x0000537d 0x00405f7d 5   6    .text   ascii   wH91u
160  0x00005399 0x00405f99 5   6    .text   ascii   9WDu$
161  0x00005412 0x00406012 4   5    .text   ascii   sHPV
162  0x0000545e 0x0040605e 5   8    .text   utf8    uȋEԉu blocks=Basic Latin,Latin Extended-B,Cyrillic Supplement
163  0x00005474 0x00406074 4   7    .text   utf8    uԉuȃ blocks=Basic Latin,Cyrillic Supplement,Latin Extended-B
164  0x0000547f 0x0040607f 4   6    .text   utf8    UԋOD blocks=Basic Latin,Cyrillic Supplement
165  0x00005537 0x00406137 5   6    .text   ascii   ]hH)B
166  0x00005559 0x00406159 4   6    .text   utf8    E̋WT blocks=Basic Latin,Combining Diacritical Marks
167  0x000055a4 0x004061a4 4   5    .text   ascii   Y_^[
168  0x000055d0 0x004061d0 5   6    .text   ascii   CHVW9
169  0x0000561f 0x0040621f 6   7    .text   ascii   KTPVWQ
170  0x00005774 0x00406374 4   6    .text   utf8    3ɋE\b blocks=Basic Latin,Latin Extended-B
171  0x000057ce 0x004063ce 4   5    .text   ascii   WPRQ
172  0x00005913 0x00406513 4   5    .text   ascii   \fSVW
173  0x00005958 0x00406558 4   6    .text   utf8    V0+\t
