[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x00000084 0x00000084 5   15           utf8    𣖰𣖰𣖰gg blocks=CJK Unified Ideographs Extension B,Basic Latin
2    0x000000d0 0x000000d0 5   9            utf8    Rich𣖰 blocks=Basic Latin,CJK Unified Ideographs Extension B
3    0x000001e0 0x000001e0 5   6            ascii   .text
4    0x00000207 0x00000207 7   8            ascii   `.rdata
5    0x0000022f 0x0000022f 6   7            ascii   @.data
6    0x00000258 0x00000258 6   7            ascii   .reloc
7    0x00000409 0x10001009 4   5    .text   ascii   D$\bf
8    0x00000441 0x10001041 4   5    .text   ascii   u\bWh
9    0x000006d1 0x100012d1 6   7    .text   ascii   YYtfh\b
10   0x00000788 0x10001388 6   7    .text   ascii   SSSShH
11   0x000007bc 0x100013bc 4   5    .text   ascii   SSSh
12   0x000007d8 0x100013d8 4   5    .text   ascii   SSh<
13   0x000007f3 0x100013f3 5   6    .text   ascii   SSSSP
14   0x00000903 0x10001503 6   7    .text   ascii   SSSShl
15   0x00000916 0x10001516 4   5    .text   ascii   SSjP
16   0x00000930 0x10001530 4   5    .text   ascii   Wh\b1
17   0x0000094d 0x1000154d 4   5    .text   ascii   SSh<
18   0x00000ab8 0x100016b8 4   5    .text   ascii   SSSS
19   0x00000b28 0x10001728 4   5    .text   ascii   SVWh
20   0x00000b5f 0x1000175f 4   5    .text   ascii   ExPh
21   0x00000bc3 0x100017c3 4   5    .text   ascii   ExPj
22   0x00000c4a 0x1000184a 4   5    .text   ascii   \fSVW
23   0x00000c97 0x10001897 4   5    .text   ascii   HYt"
24   0x00000cb6 0x100018b6 4   5    .text   ascii   \fFH;
25   0x00000cd0 0x100018d0 4   5    .text   ascii   Whpf
26   0x00000cfc 0x100018fc 5   6    .text   ascii   E\fSVW
27   0x00000d8a 0x1000198a 4   5    .text   ascii   \fF;u
28   0x00000da1 0x100019a1 5   6    .text   ascii   _^[t\t
29   0x00000e02 0x10001a02 4   5    .text   ascii   \n2\5
30   0x00000ec8 0x10001ac8 6   7    .text   ascii   SSSShl
31   0x00000edb 0x10001adb 5   6    .text   ascii   SSjPh
32   0x00000ef4 0x10001af4 4   5    .text   ascii   Wh\b1
33   0x00001004 0x10001c04 4   5    .text   ascii   SSh<
34   0x00001296 0x10001e96 4   5    .text   ascii   SVW3
35   0x000012c7 0x10001ec7 4   5    .text   ascii   Pj&S
36   0x0000136f 0x10001f6f 5   6    .text   ascii   u\b_^[
37   0x00001498 0x10002098 5   6    .text   ascii   VPhxg
38   0x00001624 0x10002224 4   6    .text   utf8    (;ÉE blocks=Basic Latin,Latin-1 Supplement
39   0x0000165b 0x1000225b 4   5    .text   ascii   YYt\r
40   0x0000166c 0x1000226c 5   6    .text   ascii   SSSSj
41   0x00001714 0x10002314 4   6    .text   utf8    0;ÉE blocks=Basic Latin,Latin-1 Supplement
42   0x0000171a 0x1000231a 4   5    .text   ascii   tO+E
43   0x0000183d 0x1000243d 4   5    .text   ascii   YYSh
44   0x000019a4 0x100025a4 4   6    .text   utf8    <;ÉE blocks=Basic Latin,Latin-1 Supplement
45   0x000019fb 0x100025fb 5   6    .text   ascii   PSSh 
46   0x00001a02 0x10002602 4   5    .text   ascii   \bSSS
47   0x00001afe 0x100026fe 4   6    .text   utf8    (;ÉE blocks=Basic Latin,Latin-1 Supplement
48   0x00001bb0 0x100027b0 5   6    .text   ascii   PPPhI
49   0x00001c0f 0x1000280f 7   9    .text   utf8    ̋L$\bWSV blocks=Combining Diacritical Marks,Basic Latin
50   0x00001c48 0x10002848 4   5    .text   ascii   ^[_3
51   0x00001c8c 0x1000288c 4   6    .text   utf8    ^[_Ë blocks=Basic Latin,Latin-1 Supplement
52   0x00001c99 0x10002899 5   6    .text   ascii   t$\fW3
53   0x00001cab 0x100028ab 5   6    .text   ascii   WWWWW
54   0x00001d09 0x10002909 4   5    .text   ascii   j\fhp
55   0x00001d19 0x10002919 5   7    .text   utf8    3\vu\b3
56   0x00001d34 0x10002934 5   6    .text   ascii   WWWWW
57   0x00001d47 0x10002947 5   6    .text   ascii   F\f@t\f
58   0x00001d79 0x10002979 4   6    .text   utf8    Ջu\bV blocks=Armenian,Basic Latin
59   0x00001d8c 0x1000298c 5   6    .text   ascii   E\bSVW
60   0x00001ec2 0x10002ac2 4   5    .text   ascii   VVVV
61   0x00001eff 0x10002aff 5   6    .text   ascii   PPPPP
62   0x00001f05 0x10002b05 4   6    .text   utf8    ǃN\f  blocks=Latin Extended-B,Basic Latin
63   0x00001f51 0x10002b51 5   6    .text   ascii   VVVVV
64   0x000020d6 0x10002cd6 5   7    .text   utf8    3\v}\b;
65   0x000020ef 0x10002cef 5   6    .text   ascii   SSSSS
66   0x000020ff 0x10002cff 6   8    .text   utf8    y3\vu\f;
67   0x00002149 0x10002d49 4   5    .text   ascii   PhP3
68   0x000021a5 0x10002da5 4   5    .text   ascii   9]\fu
69   0x000021af 0x10002daf 5   6    .text   ascii   SSSSS
70   0x0000225b 0x10002e5b 7   8    .text   ascii   ^_u\b^_]
71   0x000023a5 0x10002fa5 4   5    .text   ascii   E\b^_
72   0x000023b1 0x10002fb1 4   5    .text   ascii   E\b^_
73   0x000023c3 0x10002fc3 4   5    .text   ascii   E\b^_
74   0x000023dd 0x10002fdd 4   5    .text   ascii   E\b^_
75   0x00002541 0x10003141 4   5    .text   ascii   E\b^_
76   0x0000254f 0x1000314f 4   5    .text   ascii   E\b^_
77   0x00002565 0x10003165 4   5    .text   ascii   E\b^_
78   0x0000257f 0x1000317f 4   5    .text   ascii   E\b^_
79   0x00002585 0x10003185 4   5    .text   ascii   ;\rP3
80   0x0000259f 0x1000319f 4   6    .text   utf8    ̋T$\f blocks=Combining Diacritical Marks,Basic Latin
81   0x000025aa 0x100031aa 7   9    .text   utf8    ti3\nD$\b
82   0x000025d9 0x100031d9 5   7    .text   utf8    t\f+ш\a blocks=Basic Latin,Cyrillic
83   0x00002610 0x10003210 7   9    .text   utf8    D$\b_ËD$ blocks=Basic Latin,Latin-1 Supplement
84   0x0000264b 0x1000324b 4   5    .text   ascii   j\fh 
85   0x00002670 0x10003270 5   6    .text   ascii   VVVVV
86   0x000026aa 0x100032aa 4   5    .text   ascii   E\fPV
87   0x000026f7 0x100032f7 5   7    .text   utf8    YYáP3 blocks=Basic Latin,Latin-1 Supplement
88   0x000027e5 0x100033e5 4   5    .text   ascii   D$\b_
89   0x000027fb 0x100033fb 5   7    .text   utf8    D$\b_È blocks=Basic Latin,Latin-1 Supplement
90   0x00002803 0x10003403 4   5    .text   ascii   D$\b_
91   0x0000289b 0x1000349b 4   5    .text   ascii   j\fh@
92   0x000028ac 0x100034ac 5   7    .text   utf8    3\vu\f;
93   0x000028c5 0x100034c5 5   6    .text   ascii   SSSSS
94   0x00002983 0x10003583 5   6    .text   ascii   SSSSS
95   0x000029ce 0x100035ce 4   6    .text   utf8    Ëu\fV blocks=Latin-1 Supplement,Basic Latin
96   0x000029da 0x100035da 4   5    .text   ascii   j\fh`
97   0x000029eb 0x100035eb 5   7    .text   utf8    3\vu\b;
98   0x00002a04 0x10003604 5   6    .text   ascii   SSSSS
99   0x00002ac2 0x100036c2 5   6    .text   ascii   SSSSS
100  0x00002b05 0x10003705 4   6    .text   utf8    Ëu\bV blocks=Latin-1 Supplement,Basic Latin
101  0x00002b1d 0x1000371d 5   7    .text   utf8    3\vu\b3
102  0x00002b38 0x10003738 5   6    .text   ascii   SSSSS
103  0x00002b4a 0x1000374a 4   6    .text   utf8    Éu\bV blocks=Latin-1 Supplement,Basic Latin
