[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
387  0x0000a006 0x0040c006 4   5    .data   ascii   0-s5
388  0x0000a013 0x0040c013 6   8    .data   utf8    ¤LF*m4 blocks=Latin-1 Supplement,Basic Latin
389  0x0000a1ba 0x0040c1ba 5   6    .data   ascii   .*+'b
390  0x0000a1e6 0x0040c1e6 6   7    .data   ascii   K\v6\r>9
391  0x0000a211 0x0040c211 4   5    .data   ascii   ZXv+
392  0x0000a21e 0x0040c21e 4   5    .data   ascii   ##MQ
393  0x0000a22a 0x0040c22a 44  45   .data   ascii   SOFTWARE\Microsoft\Windows NT\CurrentVersion
394  0x0000a258 0x0040c258 49  100  .data   utf16le Software\Microsoft\Windows\CurrentVersion\RunOnce
395  0x0000a2bc 0x0040c2bc 10  11   .data   ascii   CSDVersion
396  0x0000a2c7 0x0040c2c7 11  12   .data   ascii   ProductName
397  0x0000a530 0x0040c530 8   36   .data   utf32le \/[]*-_:
398  0x0000a666 0x0040c666 4   5    .data   ascii   o+\a\n
399  0x0000a67e 0x0040c67e 8   9    .data   ascii   f)o@S\f"-
400  0x0000a6f3 0x0040c6f3 6   7    .data   ascii   pf0HG2
401  0x0000a6fd 0x0040c6fd 4   6    .data   utf8    ~>;\f
402  0x0000a711 0x0040c711 4   5    .data   ascii   Mg&t
403  0x0000a738 0x0040c738 5   6    .data   ascii   H>EvZ
404  0x0000a754 0x0040c754 7   9    .data   utf8    q/KҰb0\e blocks=Basic Latin,Cyrillic
405  0x0000a808 0x0040c808 5   6    .data   ascii   "}!`^
406  0x0000a80e 0x0040c80e 6   7    .data   ascii   {/sgGA
407  0x0000a853 0x0040c853 5   6    .data   ascii   !qw2|
408  0x0000a909 0x0040c909 4   5    .data   ascii   <].Z
409  0x0000a939 0x0040c939 4   5    .data   ascii   G*GV
410  0x0000a972 0x0040c972 4   10   .data   utf16le Set 
411  0x0000a97c 0x0040c97c 20  42   .data   utf16le On Error Resume Next
412  0x0000a9a6 0x0040c9a6 15  32   .data   utf16le  = CreateObject
413  0x0000a9c6 0x0040c9c6 26  54   .data   utf16le Scripting.FileSystemObject
414  0x0000a9fc 0x0040c9fc 6   14   .data   utf16le while 
415  0x0000aa0a 0x0040ca0a 11  24   .data   utf16le .FileExists
416  0x0000aa22 0x0040ca22 12  26   .data   utf16le .DeleteFile 
417  0x0000aa3c 0x0040ca3c 4   10   .data   utf16le wend
418  0x0000aa46 0x0040ca46 14  30   .data   utf16le .DeleteFolder 
419  0x0000aa64 0x0040ca64 35  72   .data   utf16le .DeleteFile(Wscript.ScriptFullName)
420  0x0000aad8 0x0040cad8 4   10   .data   utf16le .exe
421  0x0000aaf4 0x0040caf4 8   18   .data   utf16le [Ctrl + 
422  0x0000ab08 0x0040cb08 6   14   .data   utf16le [Ctrl]
423  0x0000ab18 0x0040cb18 4   10   .data   utf16le     
424  0x0000ab24 0x0040cb24 7   16   .data   utf16le [Alt + 
425  0x0000ab34 0x0040cb34 5   12   .data   utf16le [Alt]
426  0x0000ab40 0x0040cb40 16  34   .data   utf16le  Clipboard Start
427  0x0000ab64 0x0040cb64 13  28   .data   utf16le Clipboard End
428  0x0000ab80 0x0040cb80 10  22   .data   utf16le image/jpeg
429  0x0000ab98 0x0040cb98 6   14   .data   utf16le UN.vbs
430  0x0000aba8 0x0040cba8 7   8    .data   ascii   Message
431  0x0000aca8 0x004130a8 7   10   .data_1 utf8    T$\f놇t$\b blocks=Basic Latin,Hangul Syllables
432  0x0000ad35 0x00413135 4   6    .data_1 utf8    PӉD$ blocks=Basic Latin,Cyrillic
433  0x0000ae5d 0x0041325d 4   5    .data_1 ascii   $m|O
434  0x0000ae91 0x00413291 4   6    .data_1 utf8    Učd$ blocks=Basic Latin,Latin Extended-A
435  0x0000aee3 0x004132e3 4   5    .data_1 ascii   SyX`
436  0x0000aee8 0x004132e8 4   5    .data_1 ascii   d$\ff
437  0x0000af51 0x00413351 6   9    .data_1 utf8    QËǍO@+ blocks=Basic Latin,Latin-1 Supplement,Latin Extended-B
438  0x0000afa4 0x004133a4 4   6    .data_1 utf8    0mfU
439  0x0000b029 0x00413429 4   5    .data_1 ascii   QVWQ
440  0x0000bb6f 0x00413f6f 4   5    .data_1 ascii   S}:@
441  0x0000bbd9 0x00413fd9 5   8    .data_1 utf8    ザS\<@ blocks=Katakana,Basic Latin
442  0x0000bbe9 0x00413fe9 4   5    .data_1 ascii   Sp9@
443  0x0000bc5a 0x0041405a 4   7    .data_1 utf8    服d$\b blocks=CJK Unified Ideographs,Basic Latin
444  0x0000bcd0 0x004140d0 4   5    .data_1 ascii   ,,fW
445  0x0000bcea 0x004140ea 4   5    .data_1 ascii   SQV@
446  0x0000be1b 0x0041421b 4   6    .data_1 utf8    \vL$\a
447  0x0000bf86 0x00414386 6   7    .data_1 ascii   d$\ffSf
448  0x0000bff5 0x004143f5 5   6    .data_1 ascii   1/6!`
449  0x0000c0f1 0x004144f1 4   5    .data_1 ascii   T$\bf
450  0x0000c139 0x00414539 5   6    .data_1 ascii   l]f_f
451  0x0000c251 0x00414651 4   5    .data_1 ascii   D$\ef
452  0x0000c2fb 0x004146fb 4   5    .data_1 ascii   S|GA
453  0x0000c3ae 0x004147ae 4   5    .data_1 ascii   SgHA
454  0x0000c488 0x00414888 5   6    .data_1 ascii   d$\bfV
455  0x0000c4ef 0x004148ef 4   5    .data_1 ascii   SPIA
456  0x0000c559 0x00414959 4   5    .data_1 ascii   qpsj
457  0x0000c598 0x00414998 4   5    .data_1 ascii   '"M/
458  0x0000c5cc 0x004149cc 4   6    .data_1 utf8    rm|O
459  0x0000c61c 0x00414a1c 4   5    .data_1 ascii   S-JA
460  0x0000c636 0x00414a36 4   5    .data_1 ascii   SFJA
461  0x0000c64f 0x00414a4f 4   5    .data_1 ascii   SfJA
462  0x0000c659 0x00414a59 4   6    .data_1 utf8    ύG@+ blocks=Greek and Coptic,Basic Latin
463  0x0000c669 0x00414a69 7   9    .data_1 utf8    /\b۶S~JA blocks=Basic Latin,Arabic
464  0x0000c69c 0x00414a9c 4   5    .data_1 ascii   S\aNA
465  0x0000c6c4 0x00414ac4 6   8    .data_1 utf8    %TǍWP; blocks=Basic Latin,Latin Extended-B
466  0x0000c6cf 0x00414acf 4   6    .data_1 utf8    ύG@+ blocks=Greek and Coptic,Basic Latin
467  0x0000c6e3 0x00414ae3 4   5    .data_1 ascii   S\tKA
468  0x0000c712 0x00414b12 4   5    .data_1 ascii   S+KA
469  0x0000c72e 0x00414b2e 5   7    .data_1 utf8    ۶SAKA blocks=Arabic,Basic Latin
470  0x0000c738 0x00414b38 5   6    .data_1 ascii    cVWQ
471  0x0000c74b 0x00414b4b 4   5    .data_1 ascii   SiKA
472  0x0000c8c0 0x00414cc0 4   5    .data_1 ascii   /6!`
473  0x0000c971 0x00414d71 5   7    .data_1 utf8    W@+ЍM blocks=Basic Latin,Cyrillic
474  0x0000ca07 0x00414e07 4   5    .data_1 ascii   hEKA
475  0x0000ca16 0x00414e16 4   5    .data_1 ascii   Wova
476  0x0000cb4b 0x00414f4b 4   6    .data_1 utf8    <סWQ blocks=Basic Latin,Hebrew
477  0x0000cc1f 0x0041501f 4   5    .data_1 ascii   SgPA
478  0x0000cc7e 0x0041507e 4   5    .data_1 ascii   SFPA
479  0x0000cce1 0x004150e1 6   7    .data_1 ascii   'HF6S,
480  0x0000ccfb 0x004150fb 4   5    .data_1 ascii   SRPA
481  0x0000cd08 0x00415108 4   5    .data_1 ascii   Sp@A
482  0x0000cd1a 0x0041511a 4   5    .data_1 ascii   S1QA
483  0x0000cd36 0x00415136 5   7    .data_1 utf8    ֶSIQA blocks=Hebrew,Basic Latin
484  0x0000cd51 0x00415151 4   5    .data_1 ascii   S{QA
485  0x0000cd8f 0x0041518f 5   6    .data_1 ascii   S""""
486  0x0000cdeb 0x004151eb 5   6    .data_1 ascii   f@fHf
487  0x0000cdfe 0x004151fe 4   5    .data_1 ascii   StRA
488  0x0000ce5f 0x0041525f 4   5    .data_1 ascii   qpfH
489  0x0000ce80 0x00415280 4   5    .data_1 ascii   S7SA
490  0x0000ceb4 0x004152b4 4   5    .data_1 ascii   8\erh
491  0x0000cf1f 0x0041531f 4   5    .data_1 ascii   S5SA
492  0x0000cf43 0x00415343 4   5    .data_1 ascii   SQSA
493  0x0000cf5a 0x0041535a 4   5    .data_1 ascii   SlSA
494  0x0000cff9 0x004153f9 4   5    .data_1 ascii   SbTA
495  0x0000d009 0x00415409 5   7    .data_1 utf8    AHѪZ/ blocks=Basic Latin,Cyrillic
496  0x0000d06c 0x0041546c 4   5    .data_1 ascii   SxTA
497  0x0000d0db 0x004154db 4   5    .data_1 ascii   SZUA
498  0x0000d0fe 0x004154fe 5   6    .data_1 ascii   'HF}/
499  0x0000d11e 0x0041551e 4   5    .data_1 ascii   Sp@A
500  0x0000d13a 0x0041553a 4   5    .data_1 ascii   h-TA
501  0x0000d160 0x00415560 5   6    .data_1 ascii   0f0S<
502  0x0000d16e 0x0041556e 4   6    .data_1 utf8    'H֢/ blocks=Basic Latin,Hebrew
503  0x0000d17a 0x0041557a 4   5    .data_1 ascii   SDUA
504  0x0000d191 0x00415591 4   5    .data_1 ascii   AHMF
505  0x0000d1a3 0x004155a3 4   5    .data_1 ascii   S:UA
506  0x0000d1ca 0x004155ca 4   5    .data_1 ascii   SZVA
507  0x0000d1f3 0x004155f3 4   5    .data_1 ascii   Sp@A
508  0x0000d21b 0x0041561b 4   5    .data_1 ascii   S1VA
509  0x0000d232 0x00415632 5   6    .data_1 ascii   >/\b'H
510  0x0000d239 0x00415639 4   5    .data_1 ascii   SEVA
511  0x0000d250 0x00415650 4   5    .data_1 ascii   SpVA
512  0x0000d29e 0x0041569e 6   8    .data_1 utf8    '̶S[WA blocks=Basic Latin,Combining Diacritical Marks
513  0x0000d313 0x00415713 4   5    .data_1 ascii   SAWA
514  0x0000d337 0x00415737 4   5    .data_1 ascii   SuWA
515  0x0000d34f 0x0041574f 5   7    .data_1 utf8    ֶS+WA blocks=Hebrew,Basic Latin
516  0x0000d382 0x00415782 4   5    .data_1 ascii   S_WA
517  0x0000d3ac 0x004157ac 4   5    .data_1 ascii   S@XA
518  0x0000d3db 0x004157db 4   5    .data_1 ascii   S]XA
519  0x0000d440 0x00415840 4   5    .data_1 ascii   hjXA
520  0x0000d464 0x00415864 4   5    .data_1 ascii   Sp@A
521  0x0000d4bd 0x004158bd 4   5    .data_1 ascii   HF^/
522  0x0000d4eb 0x004158eb 4   5    .data_1 ascii   S<YA
523  0x0000d514 0x00415914 7   8    .data_1 ascii   103hwYA
524  0x0000d52b 0x0041592b 4   5    .data_1 ascii   '"Z/
525  0x0000d532 0x00415932 4   5    .data_1 ascii   SgYA
526  0x0000d596 0x00415996 4   5    .data_1 ascii   'r8k
527  0x0000d5d3 0x004159d3 4   5    .data_1 ascii   hb[A
528  0x0000d613 0x00415a13 4   5    .data_1 ascii   S=ZA
529  0x0000d625 0x00415a25 7   10   .data_1 utf8    d$\bV뻋}\f blocks=Basic Latin,Hangul Syllables
530  0x0000d648 0x00415a48 4   5    .data_1 ascii   SXZA
531  0x0000d700 0x00415b00 4   5    .data_1 ascii   SU[A
532  0x0000d7e2 0x00415be2 5   8    .data_1 utf8    ᗶS\a\A blocks=Unified Canadian Aboriginal Syllabics,Basic Latin
533  0x0000d7eb 0x00415beb 5   7    .data_1 utf8    4'NًE blocks=Basic Latin,Arabic
534  0x0000d80a 0x00415c0a 4   6    .data_1 utf8    8'ۭA blocks=Basic Latin,Arabic
535  0x0000d811 0x00415c11 4   5    .data_1 ascii   S0\A
536  0x0000d817 0x00415c17 4   5    .data_1 ascii   8\erm
537  0x0000d838 0x00415c38 4   5    .data_1 ascii   SV\A
538  0x0000d865 0x00415c65 4   6    .data_1 utf8    zUċu blocks=Basic Latin,Latin Extended-A
539  0x0000d8ea 0x00415cea 4   5    .data_1 ascii   S9]A
540  0x0000d902 0x00415d02 5   6    .data_1 ascii   rSPZA
541  0x0000d93d 0x00415d3d 4   5    .data_1 ascii   SX]A
542  0x0000da27 0x00415e27 4   5    .data_1 ascii   SQ^A
543  0x0000da54 0x00415e54 4   5    .data_1 ascii   Sw^A
544  0x0000db01 0x00415f01 4   5    .data_1 ascii   S%_A
545  0x0000db4a 0x00415f4a 4   5    .data_1 ascii   S9fA
546  0x0000db65 0x00415f65 4   5    .data_1 ascii   SmfA
547  0x0000dbc2 0x00415fc2 4   6    .data_1 utf8    }L߃} blocks=Basic Latin,NKo
548  0x0000dc0f 0x0041600f 4   5    .data_1 ascii   S;`A
549  0x0000dc47 0x00416047 4   5    .data_1 ascii   Sh`A
550  0x0000dcce 0x004160ce 4   5    .data_1 ascii   M\bfS
551  0x0000dcd9 0x004160d9 4   5    .data_1 ascii   SwcA
552  0x0000dce0 0x004160e0 4   5    .data_1 ascii   S/aA
553  0x0000dd38 0x00416138 4   5    .data_1 ascii   SOaA
554  0x0000dd54 0x00416154 4   5    .data_1 ascii   SpaA
555  0x0000de2d 0x0041622d 4   5    .data_1 ascii   SUbA
556  0x0000de69 0x00416269 4   5    .data_1 ascii   u\bfS
557  0x0000deb7 0x004162b7 4   5    .data_1 ascii   Sp@A
558  0x0000def0 0x004162f0 4   5    .data_1 ascii   S&cA
559  0x0000def6 0x004162f6 4   5    .data_1 ascii   ShcA
560  0x0000df05 0x00416305 4   5    .data_1 ascii   h2\A
561  0x0000df36 0x00416336 4   5    .data_1 ascii   103*
562  0x0000df69 0x00416369 4   5    .data_1 ascii   S'_A
563  0x0000df77 0x00416377 4   5    .data_1 ascii   h&bA
564  0x0000dffc 0x004163fc 4   5    .data_1 ascii   S\dA
565  0x0000e068 0x00416468 4   5    .data_1 ascii   SFdA
566  0x0000e06d 0x0041646d 4   5    .data_1 ascii   S'_A
567  0x0000e07d 0x0041647d 5   6    .data_1 ascii   Ph#dA
568  0x0000e0c1 0x004164c1 4   5    .data_1 ascii   S/eA
569  0x0000e132 0x00416532 4   5    .data_1 ascii   SreA
570  0x0000e14a 0x0041654a 4   5    .data_1 ascii   S^eA
571  0x0000e153 0x00416553 5   6    .data_1 ascii   >h>eA
572  0x0000e190 0x00416590 4   5    .data_1 ascii   STeA
573  0x0000e1c8 0x004165c8 4   5    .data_1 ascii   SF_A
574  0x0000e1d7 0x004165d7 4   5    .data_1 ascii   S^fA
575  0x0000e1dd 0x004165dd 4   5    .data_1 ascii   qpsj
576  0x0000e1f3 0x004165f3 4   5    .data_1 ascii   S\afA
577  0x0000e1fa 0x004165fa 4   5    .data_1 ascii   4'Nh
578  0x0000e20b 0x0041660b 4   5    .data_1 ascii   SMfA
579  0x0000e24e 0x0041664e 4   5    .data_1 ascii   S^_A
580  0x0000e254 0x00416654 4   5    .data_1 ascii   S7fA
581  0x0000e290 0x00416690 4   5    .data_1 ascii   S^_A
582  0x0000e298 0x00416698 4   5    .data_1 ascii   h=gA
583  0x0000e2ff 0x004166ff 4   5    .data_1 ascii   S(gA
584  0x0000e309 0x00416709 4   5    .data_1 ascii   SPgA
585  0x0000e333 0x00416733 4   5    .data_1 ascii   SlgA
586  0x0000e34a 0x0041674a 4   5    .data_1 ascii   S'_A
587  0x0000e362 0x00416762 4   5    .data_1 ascii   SygA
588  0x0000e37e 0x0041677e 7   8    .data_1 ascii   HF6rF/\b
589  0x0000e3e5 0x004167e5 4   5    .data_1 ascii   S6hA
590  0x0000e415 0x00416815 4   5    .data_1 ascii   S"hA
591  0x0000e44b 0x0041684b 4   5    .data_1 ascii   HZ/\b
592  0x0000e48d 0x0041688d 4   5    .data_1 ascii   S&&@
593  0x0000e510 0x00416910 4   5    .data_1 ascii   S iA
594  0x0000e524 0x00416924 4   5    .data_1 ascii   S jA
595  0x0000e54d 0x0041694d 5   6    .data_1 ascii   \ahF?A
596  0x0000e565 0x00416965 4   5    .data_1 ascii   SwiA
597  0x0000e579 0x00416979 4   6    .data_1 utf8    Hэ/\f blocks=Basic Latin,Cyrillic
598  0x0000e59e 0x0041699e 6   8    .data_1 utf8    /6!`тM blocks=Basic Latin,Cyrillic
599  0x0000e5db 0x004169db 5   6    .data_1 ascii   }SalA
600  0x0000e616 0x00416a16 4   5    .data_1 ascii   SvjA
601  0x0000e61e 0x00416a1e 4   6    .data_1 utf8    (KтS blocks=Basic Latin,Cyrillic
602  0x0000e6f4 0x00416af4 4   5    .data_1 ascii   S\rkA
603  0x0000e714 0x00416b14 4   5    .data_1 ascii   SZkA
604  0x0000e740 0x00416b40 4   5    .data_1 ascii   )H^]
605  0x0000e817 0x00416c17 4   5    .data_1 ascii   SklA
606  0x0000e81d 0x00416c1d 4   5    .data_1 ascii   S@lA
607  0x0000e848 0x00416c48 4   5    .data_1 ascii   S-mA
608  0x0000e89c 0x00416c9c 4   5    .data_1 ascii   SwlA
609  0x0000e8d1 0x00416cd1 4   5    .data_1 ascii   SmlA
610  0x0000e8ee 0x00416cee 4   5    .data_1 ascii   S=mA
611  0x0000e925 0x00416d25 4   5    .data_1 ascii   SSmA
612  0x0000e949 0x00416d49 4   5    .data_1 ascii   SwmA
613  0x0000e9a0 0x00416da0 4   5    .data_1 ascii   hamA
614  0x0000e9bb 0x00416dbb 4   5    .data_1 ascii   S8nA
615  0x0000e9cf 0x00416dcf 4   5    .data_1 ascii   S0?A
616  0x0000e9e4 0x00416de4 4   5    .data_1 ascii   S"nA
617  0x0000e9ef 0x00416def 4   5    .data_1 ascii   SS?A
618  0x0000ea2e 0x00416e2e 4   5    .data_1 ascii   SXnA
619  0x0000ea60 0x00416e60 4   5    .data_1 ascii   SBnA
620  0x0000ea88 0x00416e88 4   5    .data_1 ascii   Sy?A
621  0x0000eada 0x00416eda 4   5    .data_1 ascii   S(oA
622  0x0000eb00 0x00416f00 4   5    .data_1 ascii   SF?A
623  0x0000eb69 0x00416f69 4   5    .data_1 ascii   S*oA
624  0x0000eb6e 0x00416f6e 4   5    .data_1 ascii   SO;@
625  0x0000ebc1 0x00416fc1 5   6    .data_1 ascii   /4'HZ
626  0x0000ebcb 0x00416fcb 4   5    .data_1 ascii   SO;@
627  0x0000ebd1 0x00416fd1 4   8    .data_1 utf8    r㻔ѥ_ blocks=Basic Latin,CJK Unified Ideographs Extension A,Cyrillic
628  0x0000ed4b 0x0041714b 5   6    .data_1 ascii   d$\b^]
629  0x0000ed8b 0x0041718b 5   6    .data_1 ascii   u?fRf
630  0x0000eee0 0x004172e0 4   6    .data_1 utf8    &QЉU blocks=Basic Latin,Cyrillic
631  0x0000ef0f 0x0041730f 5   6    .data_1 ascii   /hf?A
632  0x0000f088 0x00417488 4   5    .data_1 ascii   R03*
633  0x0000f162 0x00417562 4   5    .data_1 ascii   /6!!
634  0x0000f27b 0x0041767b 6   7    .data_1 ascii   qpsjfQ
635  0x0000f594 0x00417994 4   6    .data_1 utf8    ōd$$ blocks=Latin Extended-A,Basic Latin
636  0x0000f666 0x00417a66 4   7    .data_1 utf8    d$ 蔾 blocks=Basic Latin,CJK Unified Ideographs
637  0x0000f672 0x00417a72 4   5    .data_1 ascii   $fHf
638  0x0000f6cc 0x00417acc 4   6    .data_1 utf8    ܍G8` blocks=Syriac,Basic Latin
639  0x0000f6ee 0x00417aee 5   7    .data_1 utf8    ލd$$P blocks=Thaana,Basic Latin
640  0x0000f7bc 0x00417bbc 4   7    .data_1 utf8    `둈4$ blocks=Basic Latin,Hangul Syllables
641  0x0000f7c3 0x00417bc3 4   5    .data_1 ascii   d$$P
642  0x0000f7e3 0x00417be3 4   5    .data_1 ascii   v8W`
643  0x0000f855 0x00417c55 4   5    .data_1 ascii   V4fP
644  0x0000f89e 0x00417c9e 4   6    .data_1 utf8    \vʍd$ blocks=Basic Latin,IPA Extensions
645  0x0000fc9e 0x0041809e 4   6    .data_1 utf8    ɍd$( blocks=Latin Extended-B,Basic Latin
646  0x0000fdef 0x004181ef 4   6    .data_1 utf8    L߉F4 blocks=Basic Latin,NKo
647  0x0000fea2 0x004182a2 4   5    .data_1 ascii   d$\bP
648  0x000100a2 0x004184a2 4   5    .data_1 ascii   Y,fR
649  0x000101eb 0x004185eb 4   5    .data_1 ascii   Vpsj
650  0x0001023d 0x0041863d 4   5    .data_1 ascii   rm|O
651  0x000102d0 0x004186d0 4   5    .data_1 ascii   d$\bQ
652  0x00010470 0x00418870 5   6    .data_1 ascii   /48HZ
653  0x0001050f 0x0041890f 4   6    .data_1 utf8    *ɋ\f$ blocks=Basic Latin,Latin Extended-B
654  0x00010540 0x00418940 4   5    .data_1 ascii   lGs;
655  0x00010565 0x00418965 4   5    .data_1 ascii   Z>Sj
656  0x0001056c 0x0041896c 4   5    .data_1 ascii   SO;@
657  0x00010642 0x00418a42 4   7    .data_1 utf8    먇\f$f blocks=Hangul Syllables,Basic Latin
658  0x00010690 0x00418a90 5   8    .data_1 utf8    v4렍d$ blocks=Basic Latin,Hangul Syllables
659  0x00010749 0x00418b49 5   6    .data_1 ascii   103*f
660  0x000107f5 0x00418bf5 4   6    .data_1 utf8    эd$\b blocks=Cyrillic,Basic Latin
661  0x00010849 0x00418c49 4   6    .data_1 utf8    {R͉G blocks=Basic Latin,Combining Diacritical Marks
662  0x0001091c 0x00418d1c 4   5    .data_1 ascii   8\erm
663  0x0001092d 0x00418d2d 4   6    .data_1 utf8    tۉJ\f blocks=Basic Latin,Arabic
664  0x00010a07 0x00418e07 4   6    .data_1 utf8    ܋u f blocks=Syriac,Basic Latin
665  0x00010a8c 0x00418e8c 4   6    .data_1 utf8    ݍd$  blocks=Syriac,Basic Latin
666  0x00010ab1 0x00418eb1 4   7    .data_1 utf8    뱍d$\b blocks=Hangul Syllables,Basic Latin
667  0x00010c66 0x00419066 4   5    .data_1 ascii   qpsj
668  0x00010d40 0x00419140 4   5    .data_1 ascii   S<C@
669  0x00010e5b 0x0041925b 4   7    .data_1 utf8    H颶Sx blocks=Basic Latin,CJK Unified Ideographs
670  0x00010f86 0x00419386 4   6    .data_1 utf8    uȃ~\f blocks=Basic Latin,Latin Extended-B
671  0x00010fd6 0x004193d6 4   6    .data_1 utf8    Ǎd$\b blocks=Latin Extended-B,Basic Latin
672  0x000110b5 0x004194b5 4   6    .data_1 utf8    >AHւ blocks=Basic Latin,Armenian
673  0x000110d6 0x004194d6 5   6    .data_1 ascii   fUfU`
674  0x00011141 0x00419541 4   5    .data_1 ascii   S<C@
675  0x00011186 0x00419586 4   5    .data_1 ascii    ZSj
676  0x000112d3 0x004196d3 4   5    .data_1 ascii   d$\fj
677  0x000112e6 0x004196e6 6   7    .data_1 ascii   103*EY
678  0x0001131f 0x0041971f 4   6    .data_1 utf8    Ћ,$f blocks=Cyrillic,Basic Latin
679  0x000113d1 0x004197d1 4   5    .data_1 ascii   S<C@
680  0x00011408 0x00419808 4   5    .data_1 ascii   d$\bj
681  0x0001142b 0x0041982b 5   6    .data_1 ascii   ZSTS@
682  0x000114f2 0x004198f2 5   6    .data_1 ascii   8\ermh
683  0x00011505 0x00419905 4   6    .data_1 utf8    ؉4$` blocks=Arabic,Basic Latin
684  0x0001158b 0x0041998b 4   5    .data_1 ascii   D$\nf
685  0x000115e5 0x004199e5 5   8    .data_1 utf8    HѢSəA blocks=Basic Latin,Cyrillic,IPA Extensions
686  0x000116b6 0x00419ab6 4   7    .data_1 utf8    AH邲S blocks=Basic Latin,CJK Unified Ideographs
687  0x000116ed 0x00419aed 6   8    .data_1 utf8    >AHт>S blocks=Basic Latin,Cyrillic
688  0x00011851 0x00419c51 4   6    .data_1 utf8    rѶS~ blocks=Basic Latin,Cyrillic
689  0x0001185c 0x00419c5c 6   7    .data_1 ascii   }Lhp@A
690  0x0001188c 0x00419c8c 4   5    .data_1 ascii   S2V@
691  0x0001193e 0x00419d3e 5   7    .data_1 utf8    $WZ̭A blocks=Basic Latin,Combining Diacritical Marks
692  0x00011a5a 0x00419e5a 4   5    .data_1 ascii   \vMS%
693  0x00011a64 0x00419e64 4   5    .data_1 ascii   S\fHA
694  0x00011a8c 0x00419e8c 5   6    .data_1 ascii   ZStV@
695  0x00011aba 0x00419eba 4   6    .data_1 utf8    V@Z8
696  0x00011b0d 0x00419f0d 6   7    .data_1 ascii   >8>8ST
697  0x00011b40 0x00419f40 4   5    .data_1 ascii   oSdP
698  0x00011b9b 0x00419f9b 4   5    .data_1 ascii   ovZk
699  0x00011c05 0x0041a005 4   5    .data_1 ascii   103Z
700  0x00011c60 0x0041a060 4   5    .data_1 ascii   2-<Z
701  0x00011de5 0x0041a1e5 4   6    .data_1 utf8    oSܸs blocks=Basic Latin,Syriac
702  0x00011e37 0x0041a237 4   6    .data_1 utf8    Zї/8 blocks=Basic Latin,Cyrillic
703  0x00011e6a 0x0041a26a 5   6    .data_1 ascii   qpsjZ
704  0x00011e80 0x0041a280 4   5    .data_1 ascii   oSmB
705  0x00011ee1 0x0041a2e1 5   6    .data_1 ascii   \erm|Z
706  0x000121a9 0x0041a5a9 4   5    .data_1 ascii   oSc~
707  0x00012252 0x0041a652 5   6    .data_1 ascii   \$\f`f
708  0x0001226e 0x0041a66e 4   6    .data_1 utf8    /hޥA blocks=Basic Latin,Thaana
709  0x000122db 0x0041a6db 4   6    .data_1 utf8    lhϦA blocks=Basic Latin,Greek and Coptic
710  0x00012357 0x0041a757 4   6    .data_1 utf8    Mї/| blocks=Basic Latin,Cyrillic
711  0x00012371 0x0041a771 6   7    .data_1 ascii   HMoSpe
712  0x000123e6 0x0041a7e6 4   6    .data_1 utf8    V@ZH
713  0x000124d6 0x0041a8d6 4   5    .data_1 ascii   ovaZ
714  0x000124f1 0x0041a8f1 6   7    .data_1 ascii   HMoSeA
715  0x000125eb 0x0041a9eb 5   6    .data_1 ascii   03*EZ
716  0x0001262e 0x0041aa2e 5   7    .data_1 utf8    2-h٩A blocks=Basic Latin,Arabic
717  0x000126c1 0x0041aac1 5   6    .data_1 ascii   HMoSt
718  0x00012829 0x0041ac29 5   6    .data_1 ascii   qpsjh
719  0x00012882 0x0041ac82 5   6    .data_1 ascii   \erm|Z
720  0x00012899 0x0041ac99 4   5    .data_1 ascii   HMoS
721  0x000128c0 0x0041acc0 4   6    .data_1 utf8    HѪSb blocks=Basic Latin,Cyrillic
722  0x000128db 0x0041acdb 4   5    .data_1 ascii   A~ZS
723  0x00012ab6 0x0041aeb6 4   5    .data_1 ascii   A~ZM
724  0x00012b1c 0x0041af1c 4   5    .data_1 ascii   qWN/
725  0x00012b9c 0x0041af9c 4   5    .data_1 ascii   /6!`
726  0x00012bc6 0x0041afc6 4   5    .data_1 ascii   5$WZ
727  0x00012caf 0x0041b0af 4   5    .data_1 ascii   ZoS5
728  0x00012d4d 0x0041b14d 4   5    .data_1 ascii   /6!`
729  0x00012dab 0x0041b1ab 4   6    .data_1 utf8    HѥSR blocks=Basic Latin,Cyrillic
730  0x00012e15 0x0041b215 4   6    .data_1 utf8    HѪSC blocks=Basic Latin,Cyrillic
731  0x00012ea8 0x0041b2a8 5   7    .data_1 utf8    A~h2A
732  0x00013022 0x0041b422 5   6    .data_1 ascii   103Z/
733  0x000131f4 0x0041b5f4 5   7    .data_1 utf8    S[Dʩ/ blocks=Basic Latin,IPA Extensions
734  0x0001323c 0x0041b63c 4   5    .data_1 ascii   A~hT
735  0x00013304 0x0041b704 4   6    .data_1 utf8    4hµA blocks=Basic Latin,Latin-1 Supplement
736  0x0001334a 0x0041b74a 6   7    .data_1 ascii   \erm|ZS
737  0x00013358 0x0041b758 4   5    .data_1 ascii   S9}$
738  0x0001338f 0x0041b78f 4   5    .data_1 ascii   zUh8
739  0x0001344f 0x0041b84f 4   5    .data_1 ascii   ZoS]
740  0x000134fe 0x0041b8fe 4   5    .data_1 ascii   ~6Y/
