Metadata Signature: 0x6c4 0x10001424a5342 12
.NET Version: v4.0.30319
Number of Metadata Streams: 5
DirectoryAddress: 6c Size: 440
Stream name: #~ 4
DirectoryAddress: 4ac Size: 548
Stream name: #Strings 12
DirectoryAddress: 9f4 Size: 1b4
Stream name: #US 4
DirectoryAddress: ba8 Size: 10
Stream name: #GUID 8
DirectoryAddress: bb8 Size: 260
Stream name: #Blob 8
[Strings]
nth paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1   0x00000178 0x00000178 5   6            ascii   .text
2   0x0000019f 0x0000019f 6   7            ascii   `.rsrc
3   0x000001a8 0x000001a8 4   20           utf32le ꯐ䀀가ᘀ blocks=Meetei Mayek,CJK Unified Ideographs Extension A,Hangul Syllables,Unified Canadian Aboriginal Syllabics
4   0x000001c7 0x000001c7 7   8            ascii   @.reloc
5   0x0000052a 0x0040232a 6   7    .text   ascii   \r+?\b\to
6   0x0000056a 0x0040236a 5   6    .text   ascii   X\r\t\bo
7   0x000005b4 0x004023b4 6   7    .text   ascii   \n\r+-\to
8   0x000005e4 0x004023e4 4   5    .text   ascii   \n\to"
9   0x000005fe 0x004023fe 5   6    .text   ascii   \n\v\ao%
10  0x0000060f 0x0040240f 4   5    .text   ascii   \n\ao'
11  0x0000063a 0x0040243a 4   5    .text   ascii   $@(+
12  0x00000689 0x00402489 4   5    .text   ascii   p\ao3
13  0x000006c2 0x004024c2 6   7    .text   ascii   \n*BSJB
14  0x000006d4 0x004024d4 10  11   .text   ascii   v4.0.30319
15  0x000006f8 0x004024f8 8   9    .text   ascii   #Strings
16  0x00000718 0x00402518 5   6    .text   ascii   #GUID
17  0x00000728 0x00402528 5   6    .text   ascii   #Blob
18  0x00000b71 0x00402971 13  14   .text   ascii   IEnumerable`1
19  0x00000b7f 0x0040297f 13  14   .text   ascii   IEnumerator`1
20  0x00000b8d 0x0040298d 12  13   .text   ascii   Dictionary`2
21  0x00000b9a 0x0040299a 8   9    .text   ascii   <Module>
22  0x00000ba3 0x004029a3 9   10   .text   ascii   System.IO
23  0x00000bad 0x004029ad 8   9    .text   ascii   mscorlib
24  0x00000bb6 0x004029b6 26  27   .text   ascii   System.Collections.Generic
25  0x00000bd5 0x004029d5 11  12   .text   ascii   TaskService
26  0x00000be1 0x004029e1 11  12   .text   ascii   IDisposable
27  0x00000bed 0x004029ed 10  11   .text   ascii   deScramble
28  0x00000bf8 0x004029f8 4   5    .text   ascii   File
29  0x00000bfd 0x004029fd 8   9    .text   ascii   DateTime
30  0x00000c06 0x00402a06 4   5    .text   ascii   type
31  0x00000c0b 0x00402a0b 7   8    .text   ascii   Dispose
32  0x00000c13 0x00402a13 17  18   .text   ascii   EmbeddedAttribute
33  0x00000c25 0x00402a25 26  27   .text   ascii   CompilerGeneratedAttribute
34  0x00000c40 0x00402a40 23  24   .text   ascii   AttributeUsageAttribute
35  0x00000c58 0x00402a58 19  20   .text   ascii   DebuggableAttribute
36  0x00000c6c 0x00402a6c 17  18   .text   ascii   NullableAttribute
37  0x00000c7e 0x00402a7e 22  23   .text   ascii   AssemblyTitleAttribute
38  0x00000c95 0x00402a95 24  25   .text   ascii   TargetFrameworkAttribute
39  0x00000cae 0x00402aae 28  29   .text   ascii   AssemblyFileVersionAttribute
40  0x00000ccb 0x00402acb 37  38   .text   ascii   AssemblyInformationalVersionAttribute
41  0x00000cf1 0x00402af1 30  31   .text   ascii   AssemblyConfigurationAttribute
42  0x00000d10 0x00402b10 31  32   .text   ascii   CompilationRelaxationsAttribute
43  0x00000d30 0x00402b30 24  25   .text   ascii   AssemblyProductAttribute
44  0x00000d49 0x00402b49 24  25   .text   ascii   NullableContextAttribute
45  0x00000d62 0x00402b62 24  25   .text   ascii   AssemblyCompanyAttribute
46  0x00000d7b 0x00402b7b 29  30   .text   ascii   RuntimeCompatibilityAttribute
47  0x00000d99 0x00402b99 4   5    .text   ascii   Byte
48  0x00000d9e 0x00402b9e 16  17   .text   ascii   CS_installer.exe
49  0x00000daf 0x00402baf 4   5    .text   ascii   Flag
50  0x00000db4 0x00402bb4 25  26   .text   ascii   System.Runtime.Versioning
51  0x00000dce 0x00402bce 8   9    .text   ascii   ToString
52  0x00000dd7 0x00402bd7 10  11   .text   ascii   get_Length
53  0x00000de2 0x00402be2 7   8    .text   ascii   NewTask
54  0x00000dea 0x00402bea 10  11   .text   ascii   User32.dll
55  0x00000df5 0x00402bf5 7   8    .text   ascii   Program
56  0x00000dfd 0x00402bfd 8   9    .text   ascii   get_Item
57  0x00000e06 0x00402c06 6   7    .text   ascii   System
58  0x00000e0d 0x00402c0d 8   9    .text   ascii   TimeSpan
59  0x00000e16 0x00402c16 4   5    .text   ascii   Main
60  0x00000e1b 0x00402c1b 11  12   .text   ascii   Application
61  0x00000e27 0x00402c27 10  11   .text   ascii   ExecAction
62  0x00000e32 0x00402c32 17  18   .text   ascii   System.Reflection
63  0x00000e44 0x00402c44 16  17   .text   ascii   ActionCollection
64  0x00000e55 0x00402c55 17  18   .text   ascii   TriggerCollection
65  0x00000e67 0x00402c67 14  15   .text   ascii   get_Definition
66  0x00000e76 0x00402c76 22  23   .text   ascii   RegisterTaskDefinition
67  0x00000e8d 0x00402c8d 14  15   .text   ascii   set_Repetition
68  0x00000e9c 0x00402c9c 15  16   .text   ascii   set_Description
69  0x00000eac 0x00402cac 17  18   .text   ascii   RepetitionPattern
70  0x00000ebe 0x00402cbe 20  21   .text   ascii   get_RegistrationInfo
71  0x00000ed3 0x00402cd3 20  21   .text   ascii   TaskRegistrationInfo
72  0x00000ee8 0x00402ce8 4   5    .text   ascii   Zero
73  0x00000eed 0x00402ced 4   5    .text   ascii   Char
74  0x00000ef2 0x00402cf2 10  11   .text   ascii   TaskFolder
75  0x00000efd 0x00402cfd 14  15   .text   ascii   get_RootFolder
76  0x00000f0c 0x00402d0c 11  12   .text   ascii   TimeTrigger
