[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
119  0x00001e30 0x00402a30 4   5    CODE    ascii   w)f%
120  0x00001ea4 0x00402aa4 4   6    CODE    utf8    3Ɋ\nA blocks=Basic Latin,Latin Extended-B
121  0x00001ecd 0x00402acd 5   7    CODE    utf8    _ÐSVW blocks=Basic Latin,Latin-1 Supplement
122  0x00001f27 0x00402b27 4   5    CODE    ascii   \tw%9
123  0x00001f4b 0x00402b4b 6   7    CODE    ascii   ~KxI[)
124  0x00001f9c 0x00402b9c 6   8    CODE    utf8    2_^[Í@ blocks=Basic Latin,Latin-1 Supplement
125  0x00001fb2 0x00402bb2 4   6    CODE    utf8    _^Í@ blocks=Basic Latin,Latin-1 Supplement
126  0x00001fe0 0x00402be0 5   7    CODE    utf8    ۬Ss,@ blocks=Arabic,Basic Latin
127  0x00002009 0x00402c09 5   7    CODE    utf8    ۬C?.@ blocks=Arabic,Basic Latin
128  0x00002025 0x00402c25 5   7    CODE    utf8    ۬Ss,@ blocks=Arabic,Basic Latin
129  0x0000204e 0x00402c4e 5   7    CODE    utf8    ۬C?.@ blocks=Arabic,Basic Latin
130  0x0000205b 0x00402c5b 4   6    CODE    utf8    ۫i,@ blocks=Arabic,Basic Latin
131  0x000020f9 0x00402cf9 4   7    CODE    utf8    *焑*@ blocks=Basic Latin,CJK Unified Ideographs
132  0x00002129 0x00402d29 5   6    CODE    ascii   @v:k\v
133  0x00002136 0x00402d36 4   6    CODE    utf8    #Ǌ>@ blocks=Basic Latin,Latin Extended-B
134  0x00002170 0x00402d70 4   5    CODE    ascii   @aQY
135  0x000021ac 0x00402dac 4   5    CODE    ascii   E@|o
136  0x000021b9 0x00402db9 4   7    CODE    utf8    ŝi@զ blocks=Latin Extended-A,Basic Latin,Armenian
137  0x000021e4 0x00402de4 5   6    CODE    ascii   BkU'9
138  0x00002209 0x00402e09 4   6    CODE    utf8    &һCv blocks=Basic Latin,Cyrillic
139  0x0000225b 0x00402e5b 6   9    CODE    utf8    HM䧓9;5 blocks=Basic Latin,CJK Unified Ideographs Extension A
140  0x000022f4 0x00402ef4 4   5    CODE    ascii   ht/@
141  0x00002309 0x00402f09 5   6    CODE    ascii   UhM/@
142  0x00002338 0x00402f38 4   5    CODE    ascii   ZYYd
143  0x0000233e 0x00402f3e 4   5    CODE    ascii   hT/@
144  0x00002374 0x00402f74 27  28   CODE    ascii   SOFTWARE\Borland\Delphi\RTL
145  0x00002390 0x00402f90 12  13   CODE    ascii   FPUMaskValue
146  0x000023ca 0x00402fca 4   6    CODE    utf8    _^Í@ blocks=Basic Latin,Latin-1 Supplement
147  0x000024a2 0x004030a2 4   6    CODE    utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
148  0x000024b1 0x004030b1 4   7    CODE    utf8    V\vv܅ blocks=Basic Latin,Syriac
149  0x000024c5 0x004030c5 4   7    CODE    utf8    ^[Çс blocks=Basic Latin,Latin-1 Supplement,Cyrillic
150  0x000024fe 0x004030fe 6   8    CODE    utf8    SVW3ۉ] blocks=Basic Latin,Arabic
151  0x0000250f 0x0040310f 5   6    CODE    ascii   Uh|1@
152  0x00002568 0x00403168 4   5    CODE    ascii   ZYYd
153  0x00002585 0x00403185 6   7    CODE    ascii   _^[YY]
154  0x0000259d 0x0040319d 4   5    CODE    ascii   2;0u
155  0x000025ab 0x004031ab 7   8    CODE    ascii   r\b;p\bu\b
156  0x000025b3 0x004031b3 6   7    CODE    ascii   r\f;p\ft
157  0x000025bd 0x004031bd 5   8    CODE    utf8    Iu܋[܅ blocks=Basic Latin,Syriac
158  0x000025ee 0x004031ee 4   6    CODE    utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
