[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
1697 0x00021f09 0x00422b09 4   5    CODE    ascii   ZYYd
1698 0x00021f23 0x00422b23 5   6    CODE    ascii   _^[Y]
1699 0x00021f75 0x00422b75 4   5    CODE    ascii   ZYYd
1700 0x00021f8f 0x00422b8f 5   6    CODE    ascii   _^[Y]
1701 0x00021fd7 0x00422bd7 4   5    CODE    ascii   ZYYd
1702 0x00021fe9 0x00422be9 4   5    CODE    ascii   _^[]
1703 0x00022007 0x00422c07 5   6    CODE    ascii   Uh:,B
1704 0x0002202f 0x00422c2f 4   5    CODE    ascii   ZYYd
1705 0x00022041 0x00422c41 4   5    CODE    ascii   _^[]
1706 0x00022091 0x00422c91 4   5    CODE    ascii   ZYYd
1707 0x000220ab 0x00422cab 5   6    CODE    ascii   _^[Y]
1708 0x000220f0 0x00422cf0 4   5    CODE    ascii   ZYYd
1709 0x00022102 0x00422d02 4   5    CODE    ascii   _^[]
1710 0x0002210f 0x00422d0f 4   5    CODE    ascii   QSVW
1711 0x00022114 0x00422d14 4   5    CODE    ascii   ]\bS3
1712 0x00022119 0x00422d19 5   6    CODE    ascii   UhM-B
1713 0x00022142 0x00422d42 4   5    CODE    ascii   ZYYd
1714 0x00022154 0x00422d54 5   6    CODE    ascii   _^[Y]
1715 0x00022161 0x00422d61 7   8    CODE    ascii   QQQQSVW
1716 0x000221bf 0x00422dbf 4   5    CODE    ascii   ZYYd
1717 0x000221fd 0x00422dfd 5   6    CODE    ascii   Uh^.B
1718 0x00022253 0x00422e53 4   5    CODE    ascii   ZYYd
1719 0x0002226d 0x00422e6d 5   6    CODE    ascii   _^[Y]
1720 0x000222c1 0x00422ec1 4   5    CODE    ascii   ZYYd
1721 0x000222db 0x00422edb 5   6    CODE    ascii   _^[Y]
1722 0x000222fb 0x00422efb 5   6    CODE    ascii   Uh./B
1723 0x00022323 0x00422f23 4   5    CODE    ascii   ZYYd
1724 0x00022335 0x00422f35 4   5    CODE    ascii   _^[]
1725 0x00022385 0x00422f85 4   5    CODE    ascii   ZYYd
1726 0x0002239f 0x00422f9f 5   6    CODE    ascii   _^[Y]
1727 0x000223ab 0x00422fab 4   5    CODE    ascii   QSVW
1728 0x000223b0 0x00422fb0 4   5    CODE    ascii   ]\bS3
1729 0x000223df 0x00422fdf 4   5    CODE    ascii   ZYYd
1730 0x000223f1 0x00422ff1 5   6    CODE    ascii   _^[Y]
1731 0x00022401 0x00423001 10  11   CODE    ascii   QQQQQQQSVW
1732 0x0002247d 0x0042307d 4   5    CODE    ascii   ZYYd
1733 0x000224e4 0x004230e4 4   5    CODE    ascii   ZYYd
1734 0x000224f6 0x004230f6 4   5    CODE    ascii   _^[]
1735 0x00022508 0x00423108 5   6    CODE    ascii   MSXML
1736 0x00022518 0x00423118 9   10   CODE    ascii   normalize
1737 0x0002257e 0x0042317e 4   5    CODE    ascii   ZYYd
1738 0x000225a3 0x004231a3 6   7    CODE    ascii   _^[YY]
1739 0x000225c9 0x004231c9 5   6    CODE    ascii   Uh"2B
1740 0x00022617 0x00423217 4   5    CODE    ascii   ZYYd
1741 0x0002264d 0x0042324d 7   8    CODE    ascii   QQQQSVW
1742 0x00022695 0x00423295 4   5    CODE    ascii   ZYYd
1743 0x000226dc 0x004232dc 5   6    CODE    ascii   MSXML
1744 0x000226ec 0x004232ec 8   9    CODE    ascii   supports
1745 0x000226fd 0x004232fd 4   7    CODE    utf8    ؋ƋS\f blocks=Arabic,Latin Extended-B,Basic Latin
1746 0x00022708 0x00423308 4   6    CODE    utf8    ^[ÐU blocks=Basic Latin,Latin-1 Supplement
1747 0x00022725 0x00423325 5   6    CODE    ascii   Uhw3B
1748 0x0002276c 0x0042336c 4   5    CODE    ascii   ZYYd
1749 0x00022786 0x00423386 5   6    CODE    ascii   _^[Y]
1750 0x000227f0 0x004233f0 4   5    CODE    ascii   ZYYd
1751 0x0002280a 0x0042340a 5   6    CODE    ascii   _^[Y]
1752 0x0002282b 0x0042342b 5   6    CODE    ascii   Uh[4B
1753 0x00022850 0x00423450 4   5    CODE    ascii   ZYYd
1754 0x00022862 0x00423462 4   5    CODE    ascii   _^[]
1755 0x00022873 0x00423473 4   5    CODE    ascii   E\bP3
1756 0x00022898 0x00423498 4   5    CODE    ascii   ZYYd
1757 0x000228aa 0x004234aa 4   5    CODE    ascii   _^[]
1758 0x000228f3 0x004234f3 4   5    CODE    ascii   ZYYd
1759 0x00022905 0x00423505 4   5    CODE    ascii   _^[]
1760 0x00022917 0x00423517 4   5    CODE    ascii   ]\bS3
1761 0x0002291c 0x0042351c 5   6    CODE    ascii   Uhi5B
1762 0x0002295e 0x0042355e 4   5    CODE    ascii   ZYYd
1763 0x00022980 0x00423580 6   7    CODE    ascii   _^[YY]
1764 0x00022991 0x00423591 9   10   CODE    ascii   QQQQQQSVW
1765 0x0002299b 0x0042359b 4   5    CODE    ascii   ]\bS3
1766 0x000229f0 0x004235f0 4   5    CODE    ascii   ZYYd
1767 0x00022a6d 0x0042366d 4   5    CODE    ascii   ZYYd
1768 0x00022a9f 0x0042369f 4   5    CODE    ascii   ^[Y]
1769 0x00022af1 0x004236f1 4   5    CODE    ascii   ZYYd
1770 0x00022b0b 0x0042370b 5   6    CODE    ascii   _^[Y]
1771 0x00022b17 0x00423717 4   5    CODE    ascii   QSVW
1772 0x00022b1c 0x0042371c 4   5    CODE    ascii   ]\bS3
1773 0x00022b21 0x00423721 5   6    CODE    ascii   UhT7B
1774 0x00022b49 0x00423749 4   5    CODE    ascii   ZYYd
1775 0x00022b5b 0x0042375b 5   6    CODE    ascii   _^[Y]
1776 0x00022ba9 0x004237a9 4   5    CODE    ascii   ZYYd
1777 0x00022bdb 0x004237db 4   5    CODE    ascii   ^[Y]
1778 0x00022bf9 0x004237f9 5   6    CODE    ascii   Uh88B
1779 0x00022c2d 0x0042382d 4   5    CODE    ascii   ZYYd
1780 0x00022c47 0x00423847 5   6    CODE    ascii   _^[Y]
1781 0x00022c53 0x00423853 4   5    CODE    ascii   QSVW
1782 0x00022c58 0x00423858 4   5    CODE    ascii   ]\bS3
1783 0x00022c85 0x00423885 4   5    CODE    ascii   ZYYd
1784 0x00022c97 0x00423897 5   6    CODE    ascii   _^[Y]
1785 0x00022ced 0x004238ed 4   5    CODE    ascii   ZYYd
1786 0x00022d07 0x00423907 5   6    CODE    ascii   _^[Y]
1787 0x00022d29 0x00423929 5   6    CODE    ascii   Uhl9B
1788 0x00022d61 0x00423961 4   5    CODE    ascii   ZYYd
1789 0x00022d7b 0x0042397b 5   6    CODE    ascii   _^[Y]
1790 0x00022dd1 0x004239d1 4   5    CODE    ascii   ZYYd
1791 0x00022deb 0x004239eb 5   6    CODE    ascii   _^[Y]
1792 0x00022e0d 0x00423a0d 5   6    CODE    ascii   UhP:B
1793 0x00022e45 0x00423a45 4   5    CODE    ascii   ZYYd
1794 0x00022e5f 0x00423a5f 5   6    CODE    ascii   _^[Y]
1795 0x00022ec2 0x00423ac2 4   5    CODE    ascii   ZYYd
1796 0x00022ee7 0x00423ae7 6   7    CODE    ascii   _^[YY]
1797 0x00022f0b 0x00423b0b 5   6    CODE    ascii   UhU;B
1798 0x00022f4a 0x00423b4a 4   5    CODE    ascii   ZYYd
1799 0x00022f6f 0x00423b6f 6   7    CODE    ascii   _^[YY]
1800 0x00022f7d 0x00423b7d 4   7    CODE    utf8    ؋ƋS\f blocks=Arabic,Latin Extended-B,Basic Latin
1801 0x00022f92 0x00423b92 4   5    CODE    ascii   3)6{
1802 0x00022fa9 0x00423ba9 4   5    CODE    ascii   ]\bS3
1803 0x00022fdb 0x00423bdb 4   5    CODE    ascii   ZYYd
1804 0x00022ff5 0x00423bf5 5   6    CODE    ascii   _^[Y]
1805 0x00023009 0x00423c09 4   5    CODE    ascii   ]\bS3
1806 0x0002300e 0x00423c0e 5   6    CODE    ascii   UhJ<B
1807 0x0002303f 0x00423c3f 4   5    CODE    ascii   ZYYd
1808 0x00023059 0x00423c59 5   6    CODE    ascii   _^[Y]
1809 0x000230af 0x00423caf 4   5    CODE    ascii   ZYYd
1810 0x000230c9 0x00423cc9 5   6    CODE    ascii   _^[Y]
1811 0x000230da 0x00423cda 6   8    CODE    utf8    SVW3\tE
1812 0x000230e3 0x00423ce3 4   5    CODE    ascii   ]\bS3
1813 0x000230e8 0x00423ce8 5   6    CODE    ascii   Uh(=B
1814 0x0002311d 0x00423d1d 4   5    CODE    ascii   ZYYd
1815 0x00023137 0x00423d37 6   7    CODE    ascii   _^[YY]
1816 0x00023149 0x00423d49 4   5    CODE    ascii   ]\bS3
1817 0x0002317f 0x00423d7f 4   5    CODE    ascii   ZYYd
1818 0x00023199 0x00423d99 5   6    CODE    ascii   _^[Y]
1819 0x000231ad 0x00423dad 4   5    CODE    ascii   ]\bS3
1820 0x000231e7 0x00423de7 4   5    CODE    ascii   ZYYd
1821 0x00023201 0x00423e01 5   6    CODE    ascii   _^[Y]
1822 0x00023215 0x00423e15 4   5    CODE    ascii   ]\bS3
1823 0x0002321a 0x00423e1a 5   6    CODE    ascii   UhR>B
1824 0x00023247 0x00423e47 4   5    CODE    ascii   ZYYd
1825 0x00023261 0x00423e61 5   6    CODE    ascii   _^[Y]
1826 0x000232bf 0x00423ebf 4   5    CODE    ascii   ZYYd
1827 0x000232d9 0x00423ed9 5   6    CODE    ascii   _^[Y]
1828 0x000232e9 0x00423ee9 4   7    CODE    utf8    ؋ƋS\f blocks=Arabic,Latin Extended-B,Basic Latin
1829 0x000232fe 0x00423efe 4   5    CODE    ascii   3)6{
1830 0x00023325 0x00423f25 5   6    CODE    ascii   Uhb?B
1831 0x00023357 0x00423f57 4   5    CODE    ascii   ZYYd
1832 0x00023371 0x00423f71 5   6    CODE    ascii   _^[Y]
1833 0x000233b7 0x00423fb7 4   5    CODE    ascii   ZYYd
1834 0x000233c9 0x00423fc9 4   5    CODE    ascii   _^[]
1835 0x000233d8 0x00423fd8 5   6    CODE    ascii   MSXML
1836 0x000233e8 0x00423fe8 16  17   CODE    ascii   get_ownerElement
1837 0x00023402 0x00424002 6   8    CODE    utf8    SVW3\tE
1838 0x0002340b 0x0042400b 4   5    CODE    ascii   ]\bS3
1839 0x00023410 0x00424010 5   6    CODE    ascii   UhO@B
1840 0x00023444 0x00424044 4   5    CODE    ascii   ZYYd
1841 0x0002345e 0x0042405e 6   7    CODE    ascii   _^[YY]
1842 0x0002346d 0x0042406d 8   9    CODE    ascii   QQQQQSVW
1843 0x000234c3 0x004240c3 4   5    CODE    ascii   ZYYd
1844 0x000234f5 0x004240f5 8   9    CODE    ascii   QQQQQSVW
1845 0x000234fe 0x004240fe 4   5    CODE    ascii   ]\bS3
1846 0x00023503 0x00424103 5   6    CODE    ascii   UhNAB
1847 0x00023543 0x00424143 4   5    CODE    ascii   ZYYd
1848 0x00023575 0x00424175 4   7    CODE    utf8    ؋ƋS\f blocks=Arabic,Latin Extended-B,Basic Latin
1849 0x0002358a 0x0042418a 4   5    CODE    ascii   3)6{
1850 0x000235e3 0x004241e3 4   5    CODE    ascii   ZYYd
1851 0x000235fd 0x004241fd 5   6    CODE    ascii   _^[Y]
1852 0x0002360d 0x0042420d 8   9    CODE    ascii   QQQQQSVW
1853 0x00023626 0x00424226 5   6    CODE    ascii   UhrBB
1854 0x00023667 0x00424267 4   5    CODE    ascii   ZYYd
1855 0x00023699 0x00424299 9   10   CODE    ascii   QQQQQQSVW
1856 0x000236b3 0x004242b3 5   6    CODE    ascii   Uh%CB
1857 0x000236cd 0x004242cd 4   5    CODE    ascii   E\fPS
1858 0x0002371a 0x0042431a 4   5    CODE    ascii   ZYYd
1859 0x000237be 0x004243be 4   5    CODE    ascii   ZYYd
1860 0x00023809 0x00424409 7   8    CODE    ascii   QQQQSVW
1861 0x0002388a 0x0042448a 4   5    CODE    ascii   ZYYd
1862 0x000238f3 0x004244f3 5   6    CODE    ascii   Uh?EB
1863 0x00023934 0x00424534 4   5    CODE    ascii   ZYYd
1864 0x00023956 0x00424556 6   7    CODE    ascii   _^[YY]
1865 0x00023993 0x00424593 4   5    CODE    ascii   ZYYd
1866 0x000239a5 0x004245a5 4   5    CODE    ascii   _^[]
1867 0x000239b4 0x004245b4 5   6    CODE    ascii   MSXML
1868 0x000239c4 0x004245c4 22  23   CODE    ascii   getElementsByTagNameNS
1869 0x000239e7 0x004245e7 4   5    CODE    ascii   ]\bS3
1870 0x000239ec 0x004245ec 5   6    CODE    ascii   UhhFB
1871 0x000239fa 0x004245fa 5   6    CODE    ascii   UhIFB
1872 0x00023a41 0x00424641 4   5    CODE    ascii   ZYYd
1873 0x00023a5d 0x0042465d 4   5    CODE    ascii   ZYYd
1874 0x00023a7f 0x0042467f 6   7    CODE    ascii   _^[YY]
1875 0x00023a91 0x00424691 4   5    CODE    ascii   ]\bS3
1876 0x00023abe 0x004246be 4   5    CODE    ascii   E\fPS
1877 0x00023adf 0x004246df 4   5    CODE    ascii   ZYYd
1878 0x00023afb 0x004246fb 4   5    CODE    ascii   ZYYd
1879 0x00023b15 0x00424715 5   6    CODE    ascii   _^[Y]
1880 0x00023b29 0x00424729 4   5    CODE    ascii   ]\bS3
1881 0x00023b2e 0x0042472e 5   6    CODE    ascii   UhfGB
1882 0x00023b5b 0x0042475b 4   5    CODE    ascii   ZYYd
1883 0x00023b75 0x00424775 5   6    CODE    ascii   _^[Y]
1884 0x00023b85 0x00424785 8   9    CODE    ascii   QQQQQSVW
1885 0x00023c0a 0x0042480a 4   5    CODE    ascii   ZYYd
1886 0x00023c52 0x00424852 4   5    CODE    ascii   3)6{
1887 0x00023c7d 0x0042487d 4   5    CODE    ascii   ]\bS3
1888 0x00023cd0 0x004248d0 4   5    CODE    ascii   ZYYd
1889 0x00023d09 0x00424909 8   9    CODE    ascii   QQQQQSVW
1890 0x00023d12 0x00424912 4   5    CODE    ascii   ]\bS3
1891 0x00023d17 0x00424917 5   6    CODE    ascii   UhfIB
1892 0x00023d5b 0x0042495b 4   5    CODE    ascii   ZYYd
1893 0x00023d8d 0x0042498d 8   9    CODE    ascii   QQQQQSVW
1894 0x00023e12 0x00424a12 4   5    CODE    ascii   ZYYd
1895 0x00023e5a 0x00424a5a 4   5    CODE    ascii   3)6{
1896 0x00023ea5 0x00424aa5 4   5    CODE    ascii   E\fPS
1897 0x00023eb5 0x00424ab5 4   5    CODE    ascii   ZYYd
1898 0x00023ec7 0x00424ac7 4   5    CODE    ascii   _^[]
1899 0x00023edf 0x00424adf 4   5    CODE    ascii   QSVW
1900 0x00023ee4 0x00424ae4 4   5    CODE    ascii   ]\bS3
1901 0x00023fa8 0x00424ba8 4   5    CODE    ascii   ZYYd
1902 0x00023ffe 0x00424bfe 4   5    CODE    ascii   3)6{
1903 0x00024015 0x00424c15 4   5    CODE    ascii   ]\bS3
1904 0x0002401a 0x00424c1a 5   6    CODE    ascii   UhNLB
1905 0x00024043 0x00424c43 4   5    CODE    ascii   ZYYd
1906 0x0002405d 0x00424c5d 5   6    CODE    ascii   _^[Y]
1907 0x000240dc 0x00424cdc 4   5    CODE    ascii   ZYYd
1908 0x00024116 0x00424d16 4   5    CODE    ascii   3)6{
1909 0x00024139 0x00424d39 4   7    CODE    utf8    ؋ƋS\f blocks=Arabic,Latin Extended-B,Basic Latin
1910 0x0002414e 0x00424d4e 4   5    CODE    ascii   3)6{
1911 0x000241d2 0x00424dd2 4   5    CODE    ascii   ZYYd
1912 0x0002421e 0x00424e1e 5   6    CODE    ascii   UhFNB
1913 0x0002423b 0x00424e3b 4   5    CODE    ascii   ZYYd
1914 0x0002424d 0x00424e4d 4   5    CODE    ascii   _^[]
1915 0x0002425c 0x00424e5c 5   6    CODE    ascii   MSXML
1916 0x0002426c 0x00424e6c 18  19   CODE    ascii   get_internalSubset
1917 0x000242cb 0x00424ecb 4   5    CODE    ascii   ZYYd
1918 0x000242e5 0x00424ee5 5   6    CODE    ascii   _^[Y]
1919 0x0002430d 0x00424f0d 5   6    CODE    ascii   UhqOB
1920 0x00024366 0x00424f66 4   5    CODE    ascii   ZYYd
1921 0x000243cf 0x00424fcf 4   5    CODE    ascii   ZYYd
1922 0x000243e1 0x00424fe1 4   5    CODE    ascii   _^[]
1923 0x000243f0 0x00424ff0 5   6    CODE    ascii   MSXML
1924 0x00024400 0x00425000 12  13   CODE    ascii   get_publicId
1925 0x00024426 0x00425026 5   6    CODE    ascii   UhNPB
1926 0x00024443 0x00425043 4   5    CODE    ascii   ZYYd
1927 0x00024455 0x00425055 4   5    CODE    ascii   _^[]
1928 0x00024464 0x00425064 5   6    CODE    ascii   MSXML
1929 0x00024474 0x00425074 12  13   CODE    ascii   get_systemId
1930 0x00024489 0x00425089 4   7    CODE    utf8    ؋ƋS\f blocks=Arabic,Latin Extended-B,Basic Latin
1931 0x0002449e 0x0042509e 4   5    CODE    ascii   3)6{
1932 0x000244b1 0x004250b1 8   9    CODE    ascii   QQQQQSVW
1933 0x00024507 0x00425107 4   5    CODE    ascii   ZYYd
1934 0x00024539 0x00425139 8   9    CODE    ascii   QQQQQSVW
1935 0x0002458f 0x0042518f 4   5    CODE    ascii   ZYYd
1936 0x000245c1 0x004251c1 4   7    CODE    utf8    ؋ƋS\f blocks=Arabic,Latin Extended-B,Basic Latin
1937 0x000245d6 0x004251d6 4   5    CODE    ascii   3)6{
1938 0x000245fd 0x004251fd 5   6    CODE    ascii   Uh:RB
1939 0x0002462f 0x0042522f 4   5    CODE    ascii   ZYYd
1940 0x00024649 0x00425249 5   6    CODE    ascii   _^[Y]
1941 0x00024659 0x00425259 8   9    CODE    ascii   QQQQQSVW
1942 0x000246af 0x004252af 4   5    CODE    ascii   ZYYd
1943 0x000246e1 0x004252e1 8   9    CODE    ascii   QQQQQSVW
1944 0x000246fa 0x004252fa 5   6    CODE    ascii   UhBSB
1945 0x00024737 0x00425337 4   5    CODE    ascii   ZYYd
1946 0x00024769 0x00425369 4   7    CODE    utf8    ؋ƋS\f blocks=Arabic,Latin Extended-B,Basic Latin
1947 0x0002477e 0x0042537e 4   5    CODE    ascii   3)6{
1948 0x000247d7 0x004253d7 4   5    CODE    ascii   ZYYd
1949 0x000247f1 0x004253f1 5   6    CODE    ascii   _^[Y]
1950 0x00024815 0x00425415 5   6    CODE    ascii   UhRTB
1951 0x00024847 0x00425447 4   5    CODE    ascii   ZYYd
1952 0x00024861 0x00425461 5   6    CODE    ascii   _^[Y]
1953 0x00024875 0x00425475 4   5    CODE    ascii   ]\bS3
1954 0x000248a7 0x004254a7 4   5    CODE    ascii   ZYYd
1955 0x000248c1 0x004254c1 5   6    CODE    ascii   _^[Y]
1956 0x0002492f 0x0042552f 4   5    CODE    ascii   QSVW
1957 0x00024938 0x00425538 5   6    CODE    ascii   UhlUB
1958 0x00024964 0x00425564 4   5    CODE    ascii   ZYYd
1959 0x00024978 0x00425578 5   6    CODE    ascii   _^[Y]
1960 0x00024985 0x00425585 4   7    CODE    utf8    ؋ƋS\f blocks=Arabic,Latin Extended-B,Basic Latin
1961 0x0002499a 0x0042559a 4   5    CODE    ascii   3)6{
1962 0x000249c5 0x004255c5 5   6    CODE    ascii   Uh!VB
1963 0x00024a16 0x00425616 4   5    CODE    ascii   ZYYd
1964 0x00024a61 0x00425661 10  11   CODE    ascii   QQQQQQQSVW
1965 0x00024aec 0x004256ec 4   5    CODE    ascii   ZYYd
1966 0x00024bae 0x004257ae 4   5    CODE    ascii   ZYYd
1967 0x00024bd0 0x004257d0 6   7    CODE    ascii   _^[YY]
1968 0x00024c07 0x00425807 5   6    CODE    ascii   UhmXB
1969 0x00024c62 0x00425862 4   5    CODE    ascii   ZYYd
1970 0x00024c84 0x00425884 6   7    CODE    ascii   _^[YY]
1971 0x00024d12 0x00425912 4   5    CODE    ascii   ZYYd
1972 0x00024d34 0x00425934 6   7    CODE    ascii   _^[YY]
1973 0x00024dbe 0x004259be 4   5    CODE    ascii   ZYYd
1974 0x00024e09 0x00425a09 10  11   CODE    ascii   QQQQQQQSVW
1975 0x00024e94 0x00425a94 4   5    CODE    ascii   ZYYd
1976 0x00024efb 0x00425afb 5   6    CODE    ascii   Uh\[B
1977 0x00024f51 0x00425b51 4   5    CODE    ascii   ZYYd
1978 0x00024f73 0x00425b73 6   7    CODE    ascii   _^[YY]
1979 0x00024ff1 0x00425bf1 4   5    CODE    ascii   ZYYd
1980 0x00025013 0x00425c13 6   7    CODE    ascii   _^[YY]
1981 0x0002508a 0x00425c8a 4   5    CODE    ascii   ZYYd
1982 0x000250eb 0x00425ceb 5   6    CODE    ascii   UhH]B
1983 0x0002513d 0x00425d3d 4   5    CODE    ascii   ZYYd
1984 0x0002515f 0x00425d5f 6   7    CODE    ascii   _^[YY]
1985 0x000251d2 0x00425dd2 4   5    CODE    ascii   ZYYd
1986 0x00025285 0x00425e85 4   5    CODE    ascii   ZYYd
1987 0x000252a7 0x00425ea7 6   7    CODE    ascii   _^[YY]
1988 0x000252e3 0x00425ee3 4   5    CODE    ascii   ZYYd
1989 0x000252f5 0x00425ef5 4   5    CODE    ascii   _^[]
1990 0x00025304 0x00425f04 5   6    CODE    ascii   MSXML
1991 0x00025314 0x00425f14 14  15   CODE    ascii   getElementById
1992 0x00025380 0x00425f80 4   5    CODE    ascii   ZYYd
1993 0x000253a2 0x00425fa2 6   7    CODE    ascii   _^[YY]
1994 0x000253df 0x00425fdf 4   5    CODE    ascii   ZYYd
1995 0x000253f1 0x00425ff1 4   5    CODE    ascii   _^[]
1996 0x00025400 0x00426000 5   6    CODE    ascii   MSXML
1997 0x00025410 0x00426010 22  23   CODE    ascii   getElementsByTagNameNS
1998 0x00025446 0x00426046 5   6    CODE    ascii   Uhn`B
1999 0x00025463 0x00426063 4   5    CODE    ascii   ZYYd
2000 0x0002547d 0x0042607d 4   5    CODE    ascii   _^[]
2001 0x0002548c 0x0042608c 5   6    CODE    ascii   MSXML
2002 0x0002549c 0x0042609c 10  11   CODE    ascii   importNode
2003 0x000254b7 0x004260b7 4   5    CODE    ascii   QSVW
2004 0x000254bf 0x004260bf 4   5    CODE    ascii   ]\bS3
2005 0x00025584 0x00426184 4   5    CODE    ascii   ZYYd
2006 0x000255ee 0x004261ee 4   5    CODE    ascii   3)6{
2007 0x00025602 0x00426202 6   8    CODE    utf8    SVW3\tE
2008 0x0002560b 0x0042620b 4   5    CODE    ascii   ]\bS3
2009 0x00025610 0x00426210 5   6    CODE    ascii   UhUbB
2010 0x0002564a 0x0042624a 4   5    CODE    ascii   ZYYd
2011 0x00025664 0x00426264 6   7    CODE    ascii   _^[YY]
2012 0x00025679 0x00426279 4   5    CODE    ascii   ]\bS3
2013 0x000256af 0x004262af 4   5    CODE    ascii   ZYYd
2014 0x000256c9 0x004262c9 5   6    CODE    ascii   _^[Y]
2015 0x000256da 0x004262da 6   8    CODE    utf8    SVW3\tE
2016 0x000256e3 0x004262e3 4   5    CODE    ascii   ]\bS3
2017 0x000256e8 0x004262e8 5   6    CODE    ascii   Uh-cB
2018 0x00025722 0x00426322 4   5    CODE    ascii   ZYYd
2019 0x0002573c 0x0042633c 6   7    CODE    ascii   _^[YY]
2020 0x0002574e 0x0042634e 6   8    CODE    utf8    SVW3\tE
2021 0x00025757 0x00426357 4   5    CODE    ascii   ]\bS3
2022 0x00025796 0x00426396 4   5    CODE    ascii   ZYYd
2023 0x000257b0 0x004263b0 6   7    CODE    ascii   _^[YY]
2024 0x000257c2 0x004263c2 6   8    CODE    utf8    SVW3\tE
2025 0x000257cb 0x004263cb 4   5    CODE    ascii   ]\bS3
2026 0x0002580a 0x0042640a 4   5    CODE    ascii   ZYYd
2027 0x00025824 0x00426424 6   7    CODE    ascii   _^[YY]
2028 0x00025839 0x00426439 4   5    CODE    ascii   ]\bS3
2029 0x0002583e 0x0042643e 5   6    CODE    ascii   UhzdB
2030 0x0002586f 0x0042646f 4   5    CODE    ascii   ZYYd
2031 0x00025889 0x00426489 5   6    CODE    ascii   _^[Y]
2032 0x0002589d 0x0042649d 4   5    CODE    ascii   ]\bS3
2033 0x000258d3 0x004264d3 4   5    CODE    ascii   ZYYd
2034 0x000258ed 0x004264ed 5   6    CODE    ascii   _^[Y]
2035 0x00025901 0x00426501 4   5    CODE    ascii   ]\bS3
2036 0x00025906 0x00426506 5   6    CODE    ascii   UhBeB
2037 0x00025937 0x00426537 4   5    CODE    ascii   ZYYd
2038 0x00025951 0x00426551 5   6    CODE    ascii   _^[Y]
2039 0x00025962 0x00426562 6   8    CODE    utf8    SVW3\tE
2040 0x0002596b 0x0042656b 4   5    CODE    ascii   ]\bS3
2041 0x000259a5 0x004265a5 4   5    CODE    ascii   ZYYd
2042 0x000259bf 0x004265bf 6   7    CODE    ascii   _^[YY]
2043 0x00025a13 0x00426613 4   5    CODE    ascii   ZYYd
2044 0x00025a2d 0x0042662d 5   6    CODE    ascii   _^[Y]
2045 0x00025a3e 0x0042663e 6   8    CODE    utf8    SVW3\tE
2046 0x00025a97 0x00426697 4   5    CODE    ascii   ZYYd
2047 0x00025ab9 0x004266b9 6   7    CODE    ascii   _^[YY]
2048 0x00025ac9 0x004266c9 10  11   CODE    ascii   QQQQQQQSVW
2049 0x00025ad4 0x004266d4 4   5    CODE    ascii   ]\bS3
2050 0x00025ad9 0x004266d9 5   6    CODE    ascii   UhTgB
2051 0x00025b49 0x00426749 4   5    CODE    ascii   ZYYd
2052 0x00025bc7 0x004267c7 4   5    CODE    ascii   ZYYd
2053 0x00025be9 0x004267e9 5   6    CODE    ascii   _^[Y]
2054 0x00025bf9 0x004267f9 9   10   CODE    ascii   QQQQQQSVW
2055 0x00025c03 0x00426803 4   5    CODE    ascii   ]\bS3
2056 0x00025c08 0x00426808 5   6    CODE    ascii   UhuhB
2057 0x00025c6a 0x0042686a 4   5    CODE    ascii   ZYYd
2058 0x00025ca6 0x004268a6 6   8    CODE    utf8    SVW3\tE
2059 0x00025caf 0x004268af 4   5    CODE    ascii   ]\bS3
2060 0x00025cef 0x004268ef 4   5    CODE    ascii   ZYYd
2061 0x00025d09 0x00426909 6   7    CODE    ascii   _^[YY]
2062 0x00025d23 0x00426923 4   5    CODE    ascii   QSVW
2063 0x00025d28 0x00426928 4   5    CODE    ascii   ]\bS3
2064 0x00025dbb 0x004269bb 4   7    CODE    utf8    u؍Uԋ blocks=Basic Latin,Arabic,Cyrillic Supplement
2065 0x00025dda 0x004269da 4   5    CODE    ascii   ZYYd
2066 0x00025e35 0x00426a35 9   10   CODE    ascii   QQQQQQSVW
2067 0x00025e3f 0x00426a3f 4   5    CODE    ascii   ]\bS3
2068 0x00025e92 0x00426a92 4   5    CODE    ascii   ZYYd
2069 0x00025ec5 0x00426ac5 8   9    CODE    ascii   QQQQQSVW
2070 0x00025ece 0x00426ace 4   5    CODE    ascii   ]\bS3
2071 0x00025f13 0x00426b13 4   5    CODE    ascii   ZYYd
2072 0x00025f4d 0x00426b4d 4   5    CODE    ascii   ]\bS3
2073 0x00025f9e 0x00426b9e 4   5    CODE    ascii   ZYYd
2074 0x00025fd9 0x00426bd9 4   5    CODE    ascii   ]\bS3
2075 0x00025fde 0x00426bde 5   6    CODE    ascii   Uh5lB
2076 0x0002602a 0x00426c2a 4   5    CODE    ascii   ZYYd
2077 0x00026065 0x00426c65 4   5    CODE    ascii   ]\bS3
2078 0x000260b6 0x00426cb6 4   5    CODE    ascii   ZYYd
2079 0x000260f1 0x00426cf1 4   5    CODE    ascii   ]\bS3
2080 0x000260f6 0x00426cf6 5   6    CODE    ascii   UhMmB
2081 0x00026142 0x00426d42 4   5    CODE    ascii   ZYYd
2082 0x000261d4 0x00426dd4 4   5    CODE    ascii   ZYYd
2083 0x000261f6 0x00426df6 6   7    CODE    ascii   _^[YY]
