[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
2604  0x0002cc17 0x0042d817 4   7    .text   utf8    9жÉ_ blocks=Basic Latin,Cyrillic,Latin-1 Supplement
2605  0x0002cc3f 0x0042d83f 5   6    .text   ascii   DDDDD
2606  0x0002cc5b 0x0042d85b 6   9    .text   utf8    UUUUU膈 blocks=Basic Latin,CJK Unified Ideographs
2607  0x0002cc8a 0x0042d88a 4   6    .text   utf8    ̖g7Z blocks=Combining Diacritical Marks,Basic Latin
2608  0x0002cdb4 0x0042d9b4 4   5    .text   ascii   o3av
2609  0x0002cee5 0x0042dae5 4   5    .text   ascii   0fP,
2610  0x0002cf45 0x0042db45 4   8    .text   utf8    ዋ́gx blocks=Ethiopic,Combining Diacritical Marks,Basic Latin
2611  0x0002cf5a 0x0042db5a 5   6    .text   ascii   #UE9)
2612  0x0002cfa0 0x0042dba0 5   7    .text   utf8    Uߗ=Uz blocks=Basic Latin,NKo
2613  0x0002d002 0x0042dc02 4   5    .text   ascii   XPM`
2614  0x0002d069 0x0042dc69 4   5    .text   ascii   nh{&
2615  0x0002d082 0x0042dc82 5   6    .text   ascii   UUUUU
2616  0x0002d098 0x0042dc98 5   6    .text   ascii   UUUUU
2617  0x0002d0bf 0x0042dcbf 4   6    .text   utf8    Xfgآ blocks=Basic Latin,Arabic
2618  0x0002d0d9 0x0042dcd9 5   8    .text   utf8    uT탠Dp blocks=Basic Latin,Hangul Syllables
2619  0x0002d0e1 0x0042dce1 8   9    .text   ascii   |DDDDDDD
2620  0x0002d135 0x0042dd35 5   8    .text   utf8    +iċ؎d blocks=Basic Latin,Latin Extended-A,Arabic
2621  0x0002d179 0x0042dd79 4   5    .text   ascii   T$w{
2622  0x0002d1a7 0x0042dda7 4   5    .text   ascii   !5g:
2623  0x0002d1ba 0x0042ddba 5   6    .text   ascii   UUUUU
2624  0x0002d27b 0x0042de7b 4   6    .text   utf8    eOVѼ blocks=Basic Latin,Cyrillic
2625  0x0002d2b2 0x0042deb2 4   5    .text   ascii   @U~K
2626  0x0002d2c6 0x0042dec6 4   5    .text   ascii   hnu[
2627  0x0002d35f 0x0042df5f 4   5    .text   ascii   D&\aP
2628  0x0002d365 0x0042df65 5   6    .text   ascii   Q1D$I
2629  0x0002d37c 0x0042df7c 4   5    .text   ascii   GEN+
2630  0x0002d3c9 0x0042dfc9 4   5    .text   ascii   zPPP
2631  0x0002d479 0x0042e079 5   6    .text   ascii   $$$$$
2632  0x0002d4a3 0x0042e0a3 5   6    .text   ascii   DDDDD
2633  0x0002d4b5 0x0042e0b5 4   7    .text   utf8    ťyÓ< blocks=Latin Extended-A,Basic Latin,Latin-1 Supplement
2634  0x0002d4f6 0x0042e0f6 4   5    .text   ascii   $gs}
2635  0x0002d51c 0x0042e11c 8   9    .text   ascii   $$$$$$'}
2636  0x0002d52f 0x0042e12f 4   5    .text   ascii   C$$$
2637  0x0002d53a 0x0042e13a 4   7    .text   utf8    Нg;Ͷ blocks=Cyrillic,Basic Latin,Greek and Coptic
2638  0x0002d593 0x0042e193 5   6    .text   ascii   DDDDD
2639  0x0002d5a4 0x0042e1a4 4   5    .text   ascii   ;OJE
2640  0x0002d5c3 0x0042e1c3 5   6    .text   ascii   $$$$$
2641  0x0002d5cd 0x0042e1cd 4   5    .text   ascii   \nj^!
2642  0x0002d5f2 0x0042e1f2 7   9    .text   utf8    $$$$$DN
2643  0x0002d605 0x0042e205 4   5    .text   ascii   dDDD
2644  0x0002d6b9 0x0042e2b9 4   5    .text   ascii   D3L)
2645  0x0002d708 0x0042e308 4   6    .text   utf8    qSrЎ blocks=Basic Latin,Cyrillic
2646  0x0002d725 0x0042e325 9   11   .text   utf8    UUUUU$N`Ț blocks=Basic Latin,Latin Extended-B
2647  0x0002d792 0x0042e392 4   5    .text   ascii   /:wc
2648  0x0002d7a4 0x0042e3a4 5   6    .text   ascii   DDDDD
2649  0x0002d7eb 0x0042e3eb 4   6    .text   utf8    ӣ_"^ blocks=Cyrillic,Basic Latin
2650  0x0002d7f6 0x0042e3f6 4   6    .text   utf8    կ$$$ blocks=Armenian,Basic Latin
2651  0x0002d807 0x0042e407 4   5    .text   ascii   Fy$B
2652  0x0002d813 0x0042e413 4   5    .text   ascii   ?U$$
2653  0x0002d841 0x0042e441 6   7    .text   ascii   PPPPPD
2654  0x0002d848 0x0042e448 4   5    .text   ascii   |bfD
2655  0x0002d88b 0x0042e48b 5   6    .text   ascii   DDDDD
2656  0x0002d8c0 0x0042e4c0 5   8    .text   utf8    ݼӖ2RA blocks=Arabic Supplement,Cyrillic,Basic Latin
2657  0x0002d8ca 0x0042e4ca 4   5    .text   ascii   =Eo$
2658  0x0002d936 0x0042e536 4   5    .text   ascii   U!{h
2659  0x0002d93d 0x0042e53d 4   5    .text   ascii   UV}U
2660  0x0002d943 0x0042e543 5   6    .text   ascii   aBoUU
2661  0x0002d9a7 0x0042e5a7 5   6    .text   ascii   PPPPP
2662  0x0002d9cf 0x0042e5cf 5   6    .text   ascii   2/$$Y
2663  0x0002da0d 0x0042e60d 4   5    .text   ascii   dA`A
2664  0x0002da49 0x0042e649 8   10   .text   utf8    ˹DD$$$$$ blocks=Spacing Modifier Letters,Basic Latin
2665  0x0002da66 0x0042e666 5   6    .text   ascii   UUUUU
2666  0x0002da8c 0x0042e68c 6   8    .text   utf8    |S3ݶ\fH blocks=Basic Latin,Arabic Supplement
2667  0x0002daae 0x0042e6ae 5   6    .text   ascii   $$$$$
2668  0x0002db24 0x0042e724 6   7    .text   ascii   MDohK-
2669  0x0002dbad 0x0042e7ad 4   5    .text   ascii   w}RQ
2670  0x0002dbeb 0x0042e7eb 5   6    .text   ascii   UUUUU
2671  0x0002dc52 0x0042e852 5   6    .text   ascii   'X0\t$
2672  0x0002dc7b 0x0042e87b 5   6    .text   ascii   $$$$$
2673  0x0002dc8d 0x0042e88d 4   6    .text   utf8    m\fnK
2674  0x0002dcdb 0x0042e8db 5   6    .text   ascii   DDDDD
2675  0x0002dd60 0x0042e960 4   7    .text   utf8    \tꅘU\ blocks=Basic Latin,Yi Syllables
2676  0x0002dd6d 0x0042e96d 5   6    .text   ascii   DDDDD
2677  0x0002de53 0x0042ea53 4   5    .text   ascii   \v<\rb
2678  0x0002de9c 0x0042ea9c 4   5    .text   ascii   \b\bYi
2679  0x0002deef 0x0042eaef 4   5    .text   ascii   `Y#U
2680  0x0002df2e 0x0042eb2e 6   7    .text   ascii   UUUUU$
2681  0x0002dff2 0x0042ebf2 4   5    .text   ascii   Ehv3
2682  0x0002e04d 0x0042ec4d 4   7    .text   utf8    썺-$V blocks=Hangul Syllables,Basic Latin
2683  0x0002e056 0x0042ec56 5   6    .text   ascii   -D$$$
2684  0x0002e12c 0x0042ed2c 10  11   .text   ascii   ;|\b\b\bUUUUU
2685  0x0002e162 0x0042ed62 5   6    .text   ascii   DDDDD
2686  0x0002e177 0x0042ed77 5   6    .text   ascii   $$$$$
2687  0x0002e182 0x0042ed82 5   6    .text   ascii   (P=;y
2688  0x0002e1a2 0x0042eda2 4   5    .text   ascii   nPkL
2689  0x0002e1f7 0x0042edf7 5   6    .text   ascii   2{G0_
2690  0x0002e26f 0x0042ee6f 5   7    .text   utf8    ;aw׃] blocks=Basic Latin,Hebrew
2691  0x0002e377 0x0042ef77 4   5    .text   ascii   \eHmH
2692  0x0002e3a2 0x0042efa2 4   5    .text   ascii   7t("
2693  0x0002e3ac 0x0042efac 4   5    .text   ascii   nPsu
2694  0x0002e3e9 0x0042efe9 5   6    .text   ascii   U5 Q1
2695  0x0002e419 0x0042f019 5   7    .text   utf8    R1WЗ? blocks=Basic Latin,Cyrillic
2696  0x0002e459 0x0042f059 5   6    .text   ascii   DDDDD
2697  0x0002e46c 0x0042f06c 4   5    .text   ascii   w6WK
2698  0x0002e4a5 0x0042f0a5 6   7    .text   ascii   PPPPPP
2699  0x0002e4af 0x0042f0af 5   8    .text   utf8    P곲PPu blocks=Basic Latin,Hangul Syllables
2700  0x0002e508 0x0042f108 5   6    .text   ascii   $$$$$
2701  0x0002e519 0x0042f119 5   6    .text   ascii   DDDDD
2702  0x0002e55f 0x0042f15f 5   6    .text   ascii   $$$$$
2703  0x0002e590 0x0042f190 5   6    .text   ascii   UUUUU
2704  0x0002e611 0x0042f211 7   8    .text   ascii   DTEadDD
2705  0x0002e666 0x0042f266 5   6    .text   ascii   UUUUU
2706  0x0002e681 0x0042f281 4   5    .text   ascii   LCU#
2707  0x0002e6b4 0x0042f2b4 5   6    .text   ascii   DDDDD
2708  0x0002e6cf 0x0042f2cf 4   5    .text   ascii   K'!k
2709  0x0002e6db 0x0042f2db 5   6    .text   ascii   $$$$$
2710  0x0002e6f4 0x0042f2f4 7   8    .text   ascii   DDDDD$\v
2711  0x0002e786 0x0042f386 5   6    .text   ascii   \e0HTE
2712  0x0002e886 0x0042f486 5   6    .text   ascii   gwDk<
2713  0x0002e8bb 0x0042f4bb 4   5    .text   ascii   Z$$$
2714  0x0002e929 0x0042f529 10  11   .text   ascii   p]P9J<PP#-
2715  0x0002e935 0x0042f535 6   7    .text   ascii   P$$$$$
2716  0x0002e93c 0x0042f53c 4   6    .text   utf8    ŏ\t$b blocks=Latin Extended-A,Basic Latin
2717  0x0002e94b 0x0042f54b 8   10   .text   utf8    $$$$$ĽbA blocks=Basic Latin,Latin Extended-A
2718  0x0002ea2d 0x0042f62d 6   7    .text   ascii   0Dx#D/
2719  0x0002ea99 0x0042f699 6   7    .text   ascii   $$$$$$
2720  0x0002eac2 0x0042f6c2 5   6    .text   ascii   F;\eAM
2721  0x0002eaf3 0x0042f6f3 4   5    .text   ascii   q$$$
2722  0x0002eafd 0x0042f6fd 5   7    .text   utf8    ]p@͋- blocks=Basic Latin,Combining Diacritical Marks
2723  0x0002eb09 0x0042f709 6   9    .text   utf8    =E2&@닋 blocks=Basic Latin,Hangul Syllables
2724  0x0002eb70 0x0042f770 5   6    .text   ascii   UUUUU
2725  0x0002eb8b 0x0042f78b 4   6    .text   utf8    ċ,"0 blocks=Latin Extended-A,Basic Latin
2726  0x0002ec48 0x0042f848 5   6    .text   ascii   DDDDD
2727  0x0002ec6f 0x0042f86f 5   6    .text   ascii   DDDDD
2728  0x0002eced 0x0042f8ed 4   5    .text   ascii   rbD=
2729  0x0002edf9 0x0042f9f9 7   9    .text   utf8    UkݾU. } blocks=Basic Latin,Arabic Supplement
2730  0x0002eea7 0x0042faa7 4   5    .text   ascii   M{UU
2731  0x0002f014 0x0042fc14 5   6    .text   ascii   DDDDD
2732  0x0002f09c 0x0042fc9c 5   6    .text   ascii   UUUUU
2733  0x0002f0cb 0x0042fccb 5   6    .text   ascii   UUUUU
2734  0x0002f108 0x0042fd08 4   6    .text   utf8    wǫxu blocks=Basic Latin,Latin Extended-B
2735  0x0002f111 0x0042fd11 5   6    .text   ascii   $$$$$
2736  0x0002f117 0x0042fd17 6   7    .text   ascii   \aoJ"N6
2737  0x0002f172 0x0042fd72 5   6    .text   ascii   UUUUU
2738  0x0002f187 0x0042fd87 5   6    .text   ascii   PPPPP
2739  0x0002f1a1 0x0042fda1 5   6    .text   ascii   $$$$$
2740  0x0002f217 0x0042fe17 5   6    .text   ascii   DDDDD
2741  0x0002f2bd 0x0042febd 5   6    .text   ascii   PPPPP
2742  0x0002f2e3 0x0042fee3 4   6    .text   utf8    P\r٩* blocks=Basic Latin,Arabic
2743  0x0002f311 0x0042ff11 7   9    .text   utf8    Bk$ӟ|$$ blocks=Basic Latin,Cyrillic
2744  0x0002f34d 0x0042ff4d 5   6    .text   ascii   $$$$$
2745  0x0002f35a 0x0042ff5a 5   6    .text   ascii   ~qWC2
2746  0x0002f3a6 0x0042ffa6 4   5    .text   ascii   FrRh
2747  0x0002f409 0x00430009 5   6    .text   ascii   UUUUU
2748  0x0002f416 0x00430016 4   9    .text   utf8    j籋U葒 blocks=Basic Latin,CJK Unified Ideographs
2749  0x0002f45d 0x0043005d 4   5    .text   ascii   Xa_H
2750  0x0002f4b5 0x004300b5 5   6    .text   ascii   UUUUU
2751  0x0002f4e5 0x004300e5 4   5    .text   ascii   JgGv
2752  0x0002f516 0x00430116 9   12   .text   utf8    ԋ$$$$$̨\rE blocks=Cyrillic Supplement,Basic Latin,Combining Diacritical Marks
2753  0x0002f5ee 0x004301ee 8   9    .text   ascii   $$$$$\bwt
2754  0x0002f62e 0x0043022e 5   6    .text   ascii   $$$$$
2755  0x0002f69f 0x0043029f 4   5    .text   ascii   Y0=F
2756  0x0002f6d8 0x004302d8 4   5    .text   ascii   PP5#
2757  0x0002f780 0x00430380 4   5    .text   ascii   _\b\b\b
2758  0x0002f7c1 0x004303c1 4   6    .text   utf8    j`0̰ blocks=Basic Latin,Combining Diacritical Marks
2759  0x0002f803 0x00430403 7   8    .text   ascii   PPPPP$S
2760  0x0002f843 0x00430443 14  17   .text   utf8    $$$$$$ d{E뱲$F> blocks=Basic Latin,Hangul Syllables
2761  0x0002f854 0x00430454 5   7    .text   utf8    f͋$$$ blocks=Basic Latin,Combining Diacritical Marks
2762  0x0002f876 0x00430476 5   6    .text   ascii   UUUUU
2763  0x0002f88b 0x0043048b 5   6    .text   ascii   DDDDD
2764  0x0002f8d9 0x004304d9 5   6    .text   ascii   UUUUU
2765  0x0002f8f9 0x004304f9 4   5    .text   ascii   0mR/
2766  0x0002f900 0x00430500 5   6    .text   ascii   \b\b\b\b\b
2767  0x0002f971 0x00430571 5   6    .text   ascii   :(DDD
2768  0x0002f9af 0x004305af 5   6    .text   ascii   DDDDD
2769  0x0002fa1f 0x0043061f 8   9    .text   ascii   t\b\bUUUUU
2770  0x0002fa74 0x00430674 4   5    .text   ascii   %dL\b
2771  0x0002fac5 0x004306c5 5   6    .text   ascii   DDDDD
2772  0x0002fb34 0x00430734 6   7    .text   ascii   !}pL\eQ
2773  0x0002fb5b 0x0043075b 5   6    .text   ascii   $$$$$
2774  0x0002fbdc 0x004307dc 5   6    .text   ascii   DD6&C
2775  0x0002fc2a 0x0043082a 5   6    .text   ascii   ']jN%
2776  0x0002fc86 0x00430886 4   5    .text   ascii   j(Q@
2777  0x0002fc9f 0x0043089f 4   5    .text   ascii   R;$6
2778  0x0002fccd 0x004308cd 5   6    .text   ascii   UUUUU
2779  0x0002fd6d 0x0043096d 4   6    .text   utf8    JOҊ2 blocks=Basic Latin,Cyrillic
2780  0x0002fd75 0x00430975 5   6    .text   ascii   +wv'U
2781  0x0002fd81 0x00430981 4   6    .text   utf8    \bXų\b blocks=Basic Latin,Latin Extended-A
2782  0x0002fd87 0x00430987 5   7    .text   utf8    V܆\b\b\b blocks=Basic Latin,Syriac
2783  0x0002fda3 0x004309a3 5   6    .text   ascii   UUUUU
2784  0x0002fdd8 0x004309d8 5   6    .text   ascii   U4v'+
2785  0x0002fe59 0x00430a59 10  11   .text   ascii   ,-D?<\nWDDD
2786  0x0002fee7 0x00430ae7 4   5    .text   ascii   'Ygm
2787  0x0002ff39 0x00430b39 5   6    .text   ascii   $$$$$
2788  0x0002ffb0 0x00430bb0 5   6    .text   ascii   \b\b\b\b\b
2789  0x0002ffc5 0x00430bc5 5   6    .text   ascii   PPPPP
2790  0x0002fff8 0x00430bf8 5   6    .text   ascii   ~\n<b8
2791  0x00030044 0x00430c44 7   8    .text   ascii   ^i8l(ie
2792  0x000300f3 0x00430cf3 4   5    .text   ascii   Dx1\r
2793  0x00030102 0x00430d02 4   5    .text   ascii   .(RT
2794  0x0003012b 0x00430d2b 5   6    .text   ascii   PPPPP
2795  0x00030171 0x00430d71 5   6    .text   ascii   $$$$$
2796  0x00030192 0x00430d92 4   6    .text   utf8    oۨn, blocks=Basic Latin,Arabic
2797  0x000301bb 0x00430dbb 6   8    .text   utf8    $$$$$̭ blocks=Basic Latin,Combining Diacritical Marks
2798  0x0003021d 0x00430e1d 5   6    .text   ascii   $$$$$
2799  0x00030242 0x00430e42 5   6    .text   ascii   pqUUU
2800  0x00030258 0x00430e58 4   5    .text   ascii   IlO>
2801  0x00030261 0x00430e61 5   6    .text   ascii   $$$$$
2802  0x000302a0 0x00430ea0 4   5    .text   ascii   0a3q
2803  0x000302bb 0x00430ebb 4   5    .text   ascii   QKM\v
2804  0x000302d7 0x00430ed7 6   8    .text   utf8    UUUUU̅ blocks=Basic Latin,Combining Diacritical Marks
2805  0x000302f3 0x00430ef3 5   6    .text   ascii   $$$$$
2806  0x00030308 0x00430f08 6   7    .text   ascii   $$$$$$
2807  0x0003032b 0x00430f2b 5   6    .text   ascii   ;$\nQ$
2808  0x00030365 0x00430f65 4   5    .text   ascii   \f$$$
2809  0x0003038c 0x00430f8c 8   9    .text   ascii   -+#$\vU\c
2810  0x00030396 0x00430f96 4   5    .text   ascii   9m$$
2811  0x000303b3 0x00430fb3 5   6    .text   ascii   $$$$$
2812  0x0003042a 0x0043102a 6   7    .text   ascii   $$$$$\b
2813  0x00030431 0x00431031 6   7    .text   ascii   wslt\bm
2814  0x00030439 0x00431039 6   7    .text   ascii   ZTR\b\b\b
2815  0x000304f1 0x004310f1 4   5    .text   ascii   mDC9
2816  0x00030511 0x00431111 4   5    .text   ascii   \PPP
2817  0x00030588 0x00431188 4   5    .text   ascii   UN=u
2818  0x00030612 0x00431212 4   7    .text   utf8    q\b#´ blocks=Basic Latin,Latin-1 Supplement
2819  0x00030624 0x00431224 5   6    .text   ascii   DDDDD
2820  0x0003065f 0x0043125f 4   5    .text   ascii   po@Z
2821  0x000306ca 0x004312ca 5   6    .text   ascii   OD-I`
2822  0x000306d0 0x004312d0 6   8    .text   utf8    !DȫOs` blocks=Basic Latin,Latin Extended-B
2823  0x0003072d 0x0043132d 4   5    .text   ascii   D\fjS
2824  0x00030740 0x00431340 4   5    .text   ascii   To^"
2825  0x000307e7 0x004313e7 5   6    .text   ascii   PPPPP
2826  0x00030801 0x00431401 5   6    .text   ascii   DDDDD
2827  0x0003085a 0x0043145a 4   5    .text   ascii   ?A-\e
2828  0x00030893 0x00431493 5   6    .text   ascii   PPPPP
2829  0x00030907 0x00431507 5   6    .text   ascii   \b\b\b\b\b
2830  0x00030936 0x00431536 5   6    .text   ascii   PPPPP
2831  0x000309da 0x004315da 8   9    .text   ascii   $$$UUUUU
2832  0x00030a1c 0x0043161c 4   5    .text   ascii   =F}W
2833  0x00030a3f 0x0043163f 5   6    .text   ascii   $$$$$
2834  0x00030a52 0x00431652 6   8    .text   utf8    ȋDDDDD blocks=Latin Extended-B,Basic Latin
2835  0x00030a60 0x00431660 4   6    .text   utf8    ;ӑ-\b blocks=Basic Latin,Cyrillic
2836  0x00030a69 0x00431669 5   6    .text   ascii   PPPPP
2837  0x00030a7b 0x0043167b 4   5    .text   ascii   ~=Nl
2838  0x00030aa0 0x004316a0 7   8    .text   ascii   e$DDDDD
2839  0x00030b5f 0x0043175f 4   5    .text   ascii   TV.\f
2840  0x00030b82 0x00431782 4   5    .text   ascii   ;T[(
2841  0x00030cb0 0x004318b0 9   10   .text   ascii   KUUU$$$$$
2842  0x00030cca 0x004318ca 5   6    .text   ascii   UUUUU
2843  0x00030cd1 0x004318d1 4   5    .text   ascii   T6q<
2844  0x00030ce3 0x004318e3 5   6    .text   ascii   DDDDD
2845  0x00030d0c 0x0043190c 10  11   .text   ascii   \eqdi$?m\a$$
2846  0x00030d26 0x00431926 4   5    .text   ascii   OTna
2847  0x00030d2b 0x0043192b 5   6    .text   ascii   $$$$$
2848  0x00030d6a 0x0043196a 5   6    .text   ascii   ZEB\f?
2849  0x00030da0 0x004319a0 5   6    .text   ascii   \b\b\b\b\b
2850  0x00030e30 0x00431a30 10  11   .text   ascii   DDDDDUZxmV
2851  0x00030e76 0x00431a76 6   8    .text   utf8    $$$$$̋ blocks=Basic Latin,Combining Diacritical Marks
2852  0x00030e94 0x00431a94 5   6    .text   ascii   DT0wk
2853  0x00030f65 0x00431b65 5   6    .text   ascii   DDDDD
2854  0x00030f98 0x00431b98 5   6    .text   ascii   $$$$$
2855  0x00030fad 0x00431bad 5   6    .text   ascii   DDDDD
2856  0x00031059 0x00431c59 6   8    .text   utf8    cli2="
2857  0x000310c9 0x00431cc9 5   6    .text   ascii   ,-5mi
2858  0x000310e2 0x00431ce2 5   7    .text   utf8    T\rP3̑ blocks=Basic Latin,Combining Diacritical Marks
2859  0x00031129 0x00431d29 5   7    .text   utf8    ċ`UUU blocks=Latin Extended-A,Basic Latin
2860  0x00031164 0x00431d64 4   5    .text   ascii   \vb`h
2861  0x000311a6 0x00431da6 5   6    .text   ascii   UUUUU
2862  0x000311cd 0x00431dcd 5   6    .text   ascii   dyiy\e
2863  0x000311f4 0x00431df4 5   6    .text   ascii   UUUUU
2864  0x00031213 0x00431e13 4   5    .text   ascii   Drl\a
2865  0x0003122a 0x00431e2a 5   6    .text   ascii   \eYUU$
2866  0x00031230 0x00431e30 4   5    .text   ascii   Mn7U
2867  0x0003125f 0x00431e5f 4   5    .text   ascii   lU$Y
2868  0x000312a6 0x00431ea6 5   6    .text   ascii   l;LDD
2869  0x000312c8 0x00431ec8 7   8    .text   ascii   )$$$$$$
2870  0x00031321 0x00431f21 5   6    .text   ascii   $$$$$
2871  0x0003133d 0x00431f3d 5   6    .text   ascii   $$$$$
2872  0x00031357 0x00431f57 4   5    .text   ascii   DD<f
2873  0x00031364 0x00431f64 8   9    .text   ascii   DDDDDDDD
2874  0x000313cd 0x00431fcd 4   5    .text   ascii   =E8J
2875  0x00031455 0x00432055 7   8    .text   ascii   UU$$$$$
2876  0x000314a2 0x004320a2 4   5    .text   ascii   Ua|}
2877  0x000314ab 0x004320ab 5   6    .text   ascii   (\byUU
2878  0x000314f2 0x004320f2 4   5    .text   ascii   ;U)N
2879  0x000315b4 0x004321b4 5   6    .text   ascii   UUUUU
2880  0x00031692 0x00432292 5   6    .text   ascii   COgW$
2881  0x00031699 0x00432299 5   6    .text   ascii   -\t$$\f
2882  0x000316a2 0x004322a2 6   7    .text   ascii   $UUUUU
2883  0x000316b1 0x004322b1 5   6    .text   ascii   \fs+TN
2884  0x000316ba 0x004322ba 5   6    .text   ascii   $$$$$
2885  0x000316c1 0x004322c1 4   5    .text   ascii   YAY^
2886  0x000316dc 0x004322dc 4   5    .text   ascii   BK>Q
2887  0x00031875 0x00432475 4   5    .text   ascii   (_#.
2888  0x00031a0e 0x0043260e 5   6    .text   ascii   DDDDD
2889  0x00031a3c 0x0043263c 6   8    .text   utf8    Ogs<7̉ blocks=Basic Latin,Combining Diacritical Marks
2890  0x00031a47 0x00432647 4   6    .text   utf8    ̹yBG blocks=Combining Diacritical Marks,Basic Latin
2891  0x00031af5 0x004326f5 5   6    .text   ascii   UUUUU
2892  0x00031b75 0x00432775 4   5    .text   ascii   \~U\t
2893  0x00031b9b 0x0043279b 5   6    .text   ascii   UUUUU
2894  0x00031bc7 0x004327c7 4   5    .text   ascii   /$$$
2895  0x00031bee 0x004327ee 4   5    .text   ascii   MGfK
2896  0x00031c42 0x00432842 5   6    .text   ascii   DDDDD
2897  0x00031ce3 0x004328e3 4   5    .text   ascii   ?UUU
2898  0x00031d18 0x00432918 5   6    .text   ascii   $$$$$
2899  0x00031d1e 0x0043291e 4   5    .text   ascii   dpNU
2900  0x00031db6 0x004329b6 4   5    .text   ascii   z\be6
2901  0x00031ef5 0x00432af5 4   6    .text   utf8     kU˯ blocks=Basic Latin,Spacing Modifier Letters
2902  0x00031efd 0x00432afd 4   5    .text   ascii   MUUU
2903  0x00031f6b 0x00432b6b 4   5    .text   ascii   V?$p
2904  0x00031f76 0x00432b76 4   6    .text   utf8    $$ר8 blocks=Basic Latin,Hebrew
2905  0x00031f9e 0x00432b9e 5   6    .text   ascii   n$dP/
2906  0x00031fe0 0x00432be0 4   5    .text   ascii   \$l 
2907  0x00032014 0x00432c14 4   7    .text   utf8    ަRΧ% blocks=Thaana,Basic Latin,Greek and Coptic
2908  0x0003201d 0x00432c1d 5   6    .text   ascii   $$$$$
2909  0x000320c9 0x00432cc9 5   6    .text   ascii   \b\b\b\b\b
2910  0x00032123 0x00432d23 5   8    .text   utf8    ̡\bM#ȃ blocks=Combining Diacritical Marks,Basic Latin,Latin Extended-B
2911  0x00032133 0x00432d33 4   5    .text   ascii   >AU\
2912  0x0003213a 0x00432d3a 8   9    .text   ascii   UUUUUUUU
2913  0x00032147 0x00432d47 4   5    .text   ascii   &,Dv
2914  0x00032189 0x00432d89 6   7    .text   ascii   E$eO)t
2915  0x0003219f 0x00432d9f 5   6    .text   ascii   PPPPP
2916  0x000321d7 0x00432dd7 4   6    .text   utf8    OՋ{/ blocks=Basic Latin,Armenian
2917  0x00032229 0x00432e29 5   6    .text   ascii   $$$$$
2918  0x00032259 0x00432e59 5   6    .text   ascii   DDDDD
2919  0x000322d8 0x00432ed8 5   6    .text   ascii   PPPPP
2920  0x000322e9 0x00432ee9 5   6    .text   ascii   UUUUU
2921  0x00032306 0x00432f06 5   6    .text   ascii   )qB\t}
2922  0x000323b6 0x00432fb6 4   5    .text   ascii   9D;F
2923  0x000323d5 0x00432fd5 5   6    .text   ascii   PPPPP
2924  0x000323f4 0x00432ff4 8   10   .text   utf8    , &73-`̈ blocks=Basic Latin,Combining Diacritical Marks
2925  0x00032452 0x00433052 4   5    .text   ascii   VwN3
2926  0x0003245f 0x0043305f 4   5    .text   ascii   lR\n$
2927  0x000324b9 0x004330b9 5   6    .text   ascii   DDDDD
2928  0x000324fb 0x004330fb 4   5    .text   ascii   \aSDD
2929  0x0003252f 0x0043312f 5   6    .text   ascii   UUUUU
2930  0x00032586 0x00433186 5   6    .text   ascii   \er&kA
2931  0x0003258f 0x0043318f 5   6    .text   ascii   PPPPP
2932  0x00032597 0x00433197 4   5    .text   ascii   y\ca
2933  0x000325ce 0x004331ce 4   6    .text   utf8    b)خ| blocks=Basic Latin,Arabic
2934  0x000325e2 0x004331e2 4   5    .text   ascii   6XjJ
2935  0x000325ee 0x004331ee 5   6    .text   ascii   \b\b\b\b\b
2936  0x000326e2 0x004332e2 5   6    .text   ascii   w0aHC
2937  0x00032750 0x00433350 4   5    .text   ascii   UU=D
2938  0x00032763 0x00433363 13  14   .text   ascii   Dx/r=DDDUUUUU
2939  0x000327f7 0x004333f7 5   6    .text   ascii   UUUUU
2940  0x00032826 0x00433426 6   7    .text   ascii   $$|{q\n
2941  0x00032923 0x00433523 7   8    .text   ascii   tQDj$r2
2942  0x00032969 0x00433569 6   7    .text   ascii   bI]n"J
2943  0x000329cb 0x004335cb 5   6    .text   ascii   ]\e^z2
2944  0x00032a29 0x00433629 4   6    .text   utf8    ߓ$$$ blocks=NKo,Basic Latin
2945  0x00032a50 0x00433650 4   5    .text   ascii   \np)f
2946  0x00032a67 0x00433667 5   6    .text   ascii   DDDDD
2947  0x00032a8e 0x0043368e 8   9    .text   ascii   $$$$$PUW
2948  0x00032a9d 0x0043369d 4   5    .text   ascii   #,PP
2949  0x00032aa6 0x004336a6 7   8    .text   ascii   PDDDDD$
2950  0x00032b04 0x00433704 6   7    .text   ascii   UUUUU$
2951  0x00032b1c 0x0043371c 7   8    .text   ascii   $$$$$$$
2952  0x00032b7d 0x0043377d 5   6    .text   ascii   DDDDD
2953  0x00032c13 0x00433813 6   7    .text   ascii   $$$$$\b
2954  0x00032c49 0x00433849 4   5    .text   ascii   aGDD
2955  0x00032c9b 0x0043389b 5   6    .text   ascii   $$$$$
2956  0x00032cfa 0x004338fa 5   6    .text   ascii   UUUUU
2957  0x00032d15 0x00433915 4   5    .text   ascii   \b\v^;
2958  0x00032d30 0x00433930 4   5    .text   ascii   @9wj
2959  0x00032d5c 0x0043395c 5   6    .text   ascii   DDDDD
2960  0x00032dba 0x004339ba 4   5    .text   ascii   \a2fQ
