[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
82    0x000012d8 0x00401ed8 6   7    .text   ascii   L$\bt/h
83    0x000012f0 0x00401ef0 4   5    .text   ascii   T$\bR
84    0x00001303 0x00401f03 4   5    .text   ascii   D$(P
85    0x0000131f 0x00401f1f 4   5    .text   ascii   L$\bQ
86    0x00001332 0x00401f32 4   5    .text   ascii   T$(R
87    0x0000133c 0x00401f3c 4   5    .text   ascii   L$Pd
88    0x00001369 0x00401f69 4   5    .text   ascii   D$\fd
89    0x0000139b 0x00401f9b 5   7    .text   utf8    ƋL$\fd blocks=Latin Extended-B,Basic Latin
90    0x000013c0 0x00401fc0 4   6    .text   utf8    SV3ۋ blocks=Basic Latin,Arabic
91    0x0000140f 0x0040200f 5   6    .text   ascii   ~$_^[
92    0x00001417 0x00402017 4   5    .text   ascii   ^$^[
93    0x00001439 0x00402039 4   5    .text   ascii   D$\fd
94    0x0000146c 0x0040206c 5   7    .text   utf8    ƋL$\fd blocks=Latin Extended-B,Basic Latin
95    0x00001499 0x00402099 4   5    .text   ascii   D$\fd
96    0x000014c9 0x004020c9 5   7    .text   utf8    ƋL$\fd blocks=Latin Extended-B,Basic Latin
97    0x00001574 0x00402174 4   5    .text   ascii   -\b:G
98    0x000015ff 0x004021ff 4   5    .text   ascii   5\f:G
99    0x0000165e 0x0040225e 4   5    .text   ascii   \r\b:G
100   0x00001682 0x00402282 4   5    .text   ascii   \r\b:G
101   0x00001688 0x00402288 4   5    .text   ascii   =\f:G
102   0x00001693 0x00402293 4   5    .text   ascii   ,+t$
103   0x000016a6 0x004022a6 4   5    .text   ascii   5\b:G
104   0x000016ae 0x004022ae 4   5    .text   ascii   \r\b:G
105   0x000016cf 0x004022cf 7   9    .text   utf8    +ȋD$ j@ blocks=Basic Latin,Latin Extended-B
106   0x000016de 0x004022de 5   6    .text   ascii   L$ PQ
107   0x00001710 0x00402310 5   6    .text   ascii   QSUVW
108   0x00001734 0x00402334 5   7    .text   utf8    ؉-\2L blocks=Arabic,Basic Latin
109   0x00001759 0x00402359 4   5    .text   ascii   \r\b:G
110   0x00001789 0x00402389 4   5    .text   ascii   \r\b:G
111   0x0000178f 0x0040238f 4   5    .text   ascii   =\f:G
112   0x000017c3 0x004023c3 5   7    .text   utf8    ;c\b:G
113   0x000017e7 0x004023e7 4   5    .text   ascii   5\f:G
114   0x000017f6 0x004023f6 5   6    .text   ascii   _^][Y
115   0x00001829 0x00402429 4   5    .text   ascii   D$\fd
116   0x0000183f 0x0040243f 4   6    .text   utf8    ƉD$\b blocks=Latin Extended-B,Basic Latin
117   0x00001862 0x00402462 4   5    .text   ascii   L$\fd
118   0x00001913 0x00402513 4   5    .text   ascii   $SVW
119   0x0000192c 0x0040252c 5   7    .text   utf8    u\b3ۉ] blocks=Basic Latin,Arabic
120   0x0000199e 0x0040259e 4   7    .text   utf8    ]Ј]ԋ blocks=Basic Latin,Cyrillic,Cyrillic Supplement
121   0x00001a0d 0x0040260d 4   6    .text   utf8    3ۋu\b blocks=Basic Latin,Arabic
122   0x00001a25 0x00402625 4   5    .text   ascii   9Y(u
123   0x00001a50 0x00402650 4   5    .text   ascii   Y_^[
124   0x00001a73 0x00402673 4   5    .text   ascii   (SVW
125   0x00001a8c 0x0040268c 5   7    .text   utf8    u\b3ۉ] blocks=Basic Latin,Arabic
126   0x00001afe 0x004026fe 4   7    .text   utf8    ]̈]Ћ blocks=Basic Latin,Combining Diacritical Marks,Cyrillic
127   0x00001b6e 0x0040276e 4   6    .text   utf8    3ۋu\b blocks=Basic Latin,Arabic
128   0x00001b86 0x00402786 4   5    .text   ascii   9Y(u
129   0x00001bb1 0x004027b1 4   5    .text   ascii   Y_^[
130   0x00001c74 0x00402874 6   8    .text   utf8    A\b\vǃy( blocks=Basic Latin,Latin Extended-B
131   0x00001ca5 0x004028a5 4   5    .text   ascii   Y_^[
132   0x00001ce7 0x004028e7 6   8    .text   utf8    A\b\vǃy( blocks=Basic Latin,Latin Extended-B
133   0x00001d28 0x00402928 4   5    .text   ascii   D$\bd
134   0x00001d53 0x00402953 4   5    .text   ascii   L$\bd
135   0x00001d88 0x00402988 5   6    .text   ascii   T$\fRP
136   0x00001dc3 0x004029c3 4   5    .text   ascii   4SVW
137   0x00001ddc 0x004029dc 5   7    .text   utf8    u\b3ۉ] blocks=Basic Latin,Arabic
138   0x00001e74 0x00402a74 4   6    .text   utf8    U؉P\b blocks=Basic Latin,Arabic
139   0x00001e87 0x00402a87 4   6    .text   utf8    M̉H\b blocks=Basic Latin,Combining Diacritical Marks
140   0x00001ecc 0x00402acc 4   6    .text   utf8    3ۋu\b blocks=Basic Latin,Arabic
141   0x00001f09 0x00402b09 4   5    .text   ascii   9Y(u
142   0x00001f43 0x00402b43 4   5    .text   ascii   Y_^[
143   0x00001f68 0x00402b68 4   5    .text   ascii   D$\bd
144   0x00001fac 0x00402bac 5   7    .text   utf8    ƋL$\bd blocks=Latin Extended-B,Basic Latin
145   0x00001fed 0x00402bed 4   5    .text   ascii   PQVW
