[Strings]
nth paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1   0x000000c0 0x000000c0 6   7            ascii   Rich3e
2   0x000001d0 0x000001d0 5   6            ascii   .text
3   0x000001f7 0x000001f7 7   8            ascii   `.rdata
4   0x0000021f 0x0000021f 6   7            ascii   @.data
5   0x00000248 0x00000248 6   7            ascii   .reloc
6   0x00001031 0x10001031 4   6    .text   utf8    uj3Ɋ blocks=Basic Latin,Latin Extended-B
7   0x00001039 0x10001039 7   8    .text   ascii   ubSUVWj
8   0x00001092 0x10001092 4   5    .text   ascii   _^][
9   0x000010b6 0x100010b6 5   7    .text   utf8    SW3۹? blocks=Basic Latin,Arabic
10  0x000010bf 0x100010bf 5   7    .text   utf8    3\r|$a
11  0x00001137 0x10001137 4   5    .text   ascii   D$(D
12  0x00001154 0x10001154 4   5    .text   ascii   L$dP
13  0x00001183 0x10001183 5   6    .text   ascii   QRh 0
14  0x000011a3 0x100011a3 10  11   .text   ascii   QRSSSSSSSP
15  0x000011c8 0x100011c8 4   5    .text   ascii   T$\fR
16  0x00001318 0x10001318 5   6    .text   ascii   t\tWVS
17  0x00001321 0x10001321 5   6    .text   ascii   t\fWVS
18  0x00001332 0x10001332 4   5    .text   ascii   NWVS
19  0x0000133f 0x1000133f 4   5    .text   ascii   E\fu\f
20  0x00001345 0x10001345 5   6    .text   ascii   u7WPS
21  0x00001356 0x10001356 5   6    .text   ascii   u&WVS
22  0x00001374 0x10001374 5   6    .text   ascii   t\bWVS
23  0x0000137f 0x1000137f 6   7    .text   ascii   E\f_^[]
24  0x00002116 0x10002116 5   6    .rdata  ascii   Sleep
25  0x0000211e 0x1000211e 11  12   .rdata  ascii   CloseHandle
26  0x0000212c 0x1000212c 14  15   .rdata  ascii   CreateProcessA
27  0x0000213e 0x1000213e 18  19   .rdata  ascii   GetModuleFileNameA
28  0x00002154 0x10002154 11  12   .rdata  ascii   ExitProcess
29  0x00002160 0x10002160 12  13   .rdata  ascii   KERNEL32.dll
30  0x00002170 0x10002170 11  12   .rdata  ascii   MessageBoxA
31  0x0000217c 0x1000217c 10  11   .rdata  ascii   USER32.dll
32  0x00002188 0x10002188 10  11   .rdata  ascii   WS2_32.dll
33  0x00002196 0x10002196 7   8    .rdata  ascii   sprintf
34  0x000021a0 0x100021a0 10  11   .rdata  ascii   _splitpath
35  0x000021ac 0x100021ac 10  11   .rdata  ascii   MSVCRT.dll
36  0x000021ba 0x100021ba 4   5    .rdata  ascii   free
