[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1     0x000000c8 0x000000c8 4   5            ascii   Rich
2     0x000001e0 0x000001e0 5   6            ascii   .text
3     0x00000207 0x00000207 7   8            ascii   `.rdata
4     0x0000022f 0x0000022f 6   7            ascii   @.data
5     0x00000258 0x00000258 5   6            ascii   .rsrc
6     0x0000027f 0x0000027f 7   8            ascii   @.reloc
7     0x000004e1 0x004010e1 4   5    .text   ascii   SVWP
8     0x0000064d 0x0040124d 4   5    .text   ascii   SQVS
9     0x000006ff 0x004012ff 4   5    .text   ascii   Y_^[
10    0x00000875 0x00401475 5   7    .text   utf8    v\nhذ@ blocks=Basic Latin,Arabic
11    0x000008ff 0x004014ff 5   7    .text   utf8    s\nh0@
12    0x00000936 0x00401536 5   7    .text   utf8    v\nhذ@ blocks=Basic Latin,Arabic
13    0x000009d3 0x004015d3 5   7    .text   utf8    v\nhذ@ blocks=Basic Latin,Arabic
14    0x00000a28 0x00401628 5   7    .text   utf8    s\nh0@
15    0x00000a6f 0x0040166f 4   6    .text   utf8    \f+ǃ~ blocks=Basic Latin,Latin Extended-B
16    0x00000bba 0x004017ba 4   5    .text   ascii   Y_^[
17    0x00000c54 0x00401854 4   5    .text   ascii   E\bVP
18    0x00000c80 0x00401880 4   5    .text   ascii   PSVW
19    0x00000ebd 0x00401abd 4   5    .text   ascii   Y_^[
20    0x00000ef1 0x00401af1 4   5    .text   ascii   SVWP
21    0x00001034 0x00401c34 4   5    .text   ascii   Y_^[
22    0x00001071 0x00401c71 4   5    .text   ascii   SVWP
23    0x00001187 0x00401d87 4   5    .text   ascii   Y_^[
24    0x000012cc 0x00401ecc 8   10   .text   utf8    3ĉD$@SVW blocks=Basic Latin,Latin Extended-A
25    0x000012de 0x00401ede 4   5    .text   ascii   D$Xd
26    0x000012e8 0x00401ee8 4   5    .text   ascii   D$0P
27    0x0000131b 0x00401f1b 4   5    .text   ascii   L$LQ
28    0x00001368 0x00401f68 4   5    .text   ascii   @PVh
29    0x000013da 0x00401fda 4   5    .text   ascii   L$LQ
30    0x000013f4 0x00401ff4 5   6    .text   ascii   tf9=(
31    0x00001429 0x00402029 4   5    .text   ascii   @PVh
32    0x00001461 0x00402061 6   7    .text   ascii   9|$(r\r
33    0x0000158c 0x0040218c 4   5    .text   ascii   t<j&
34    0x00001620 0x00402220 4   6    .text   utf8    3ۍt$ blocks=Basic Latin,Arabic
35    0x0000162c 0x0040222c 4   5    .text   ascii   D$`\a
36    0x00001670 0x00402270 4   5    .text   ascii   D$`\b
37    0x00001698 0x00402298 4   5    .text   ascii   D$`\t
38    0x000016c0 0x004022c0 4   5    .text   ascii   D$`\n
39    0x000016cf 0x004022cf 4   6    .text   utf8    ̉d$, blocks=Combining Diacritical Marks,Basic Latin
40    0x000016da 0x004022da 4   5    .text   ascii   T$LR
