[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
82   0x00001a9c 0x1000269c 5   8    .text   utf8    W\vM؋E blocks=Basic Latin,Arabic
83   0x00001e9b 0x10002a9b 4   5    .text   ascii   QQQh
84   0x00001f18 0x10002b18 4   5    .text   ascii   t$4W
85   0x00001f4c 0x10002b4c 4   5    .text   ascii   FdQQ
86   0x00001f73 0x10002b73 4   5    .text   ascii   D$<Y
87   0x00001fa4 0x10002ba4 5   7    .text   utf8    ؍D$ P blocks=Arabic,Basic Latin
88   0x00001fb6 0x10002bb6 4   5    .text   ascii   L$,Q
89   0x00001fbc 0x10002bbc 4   5    .text   ascii   L$.Q
90   0x00001fc2 0x10002bc2 6   7    .text   ascii   L$0QhP
91   0x00001fd8 0x10002bd8 4   5    .text   ascii   D$$3
92   0x00002018 0x10002c18 4   6    .text   utf8    ߋ|$< blocks=NKo,Basic Latin
93   0x00002026 0x10002c26 4   6    .text   utf8    ً|$< blocks=Arabic,Basic Latin
94   0x000020b4 0x10002cb4 4   5    .text   ascii   L$0;
95   0x00002167 0x10002d67 4   5    .text   ascii   FdQQ
96   0x0000218e 0x10002d8e 4   5    .text   ascii   D$4Y
97   0x000021b2 0x10002db2 6   7    .text   ascii   NH+L$D
98   0x000021c2 0x10002dc2 4   5    .text   ascii   +L$@
99   0x0000229b 0x10002e9b 4   5    .text   ascii   |$0t
100  0x000022e1 0x10002ee1 6   7    .text   ascii   FL9~`|
101  0x000022ea 0x10002eea 4   5    .text   ascii   9~\v
102  0x0000234c 0x10002f4c 4   5    .text   ascii   L$ J
103  0x00002366 0x10002f66 5   6    .text   ascii   L$0tE
104  0x00002404 0x10003004 7   8    .text   ascii   r.9~P|)
105  0x00002411 0x10003011 6   7    .text   ascii   r!9~`|
106  0x00002420 0x10003020 4   5    .text   ascii   9~X|
107  0x000024e2 0x100030e2 5   6    .text   ascii   @\fSVW
108  0x00002566 0x10003166 4   7    .text   utf8    낋E03 blocks=Hangul Syllables,Basic Latin
109  0x000025b9 0x100031b9 5   6    .text   ascii   M\bQhP
110  0x000025f7 0x100031f7 5   8    .text   utf8    M\tMĉM blocks=Basic Latin,Latin Extended-A
111  0x0000263b 0x1000323b 4   6    .text   utf8    3ɋ5P blocks=Basic Latin,Latin Extended-B
112  0x00002750 0x10003350 4   5    .text   ascii   _^[d
113  0x0000278f 0x1000338f 4   5    .text   ascii   L$$;
114  0x0000281f 0x1000341f 5   6    .text   ascii   0QQQh
115  0x000028ba 0x100034ba 6   8    .text   utf8    &ًt$$t blocks=Basic Latin,Arabic
116  0x000028ee 0x100034ee 4   5    .text   ascii   _^][
117  0x00002993 0x10003593 4   5    .text   ascii   u\bSj
118  0x0000299c 0x1000359c 4   6    .text   utf8    ̉e\bP blocks=Combining Diacritical Marks,Basic Latin
119  0x00002adc 0x100036dc 5   6    .text   ascii   A\b;\at
120  0x00002b04 0x10003704 4   5    .text   ascii   E\bVP
121  0x00002b1d 0x1000371d 4   5    .text   ascii   u\bPQ
122  0x00002c9f 0x1000389f 4   5    .text   ascii   }\b;~
123  0x00002ceb 0x100038eb 4   5    .text   ascii   r\v@P
124  0x00002d10 0x10003910 4   5    .text   ascii   }\f;~
125  0x00002d51 0x10003951 4   5    .text   ascii   QSUV
126  0x00002dfa 0x100039fa 4   5    .text   ascii   ?w,V
127  0x00002e36 0x10003a36 4   5    .text   ascii   L$\b9
128  0x00002e8c 0x10003a8c 4   6    .text   utf8    +ы|$ blocks=Basic Latin,Cyrillic
129  0x00002ed2 0x10003ad2 4   6    .text   utf8    YY3҉ blocks=Basic Latin,Cyrillic
130  0x00002f53 0x10003b53 4   5    .text   ascii   _^][
131  0x0000302c 0x10003c2c 4   5    .text   ascii   \fSVW
132  0x00003039 0x10003c39 5   6    .text   ascii   }\f+}\b
133  0x00003076 0x10003c76 4   5    .text   ascii   ;E\ft
134  0x000030bc 0x10003cbc 4   5    .text   ascii   \$\bW
135  0x00003130 0x10003d30 4   5    .text   ascii   \$\bW
136  0x00003179 0x10003d79 4   5    .text   ascii   r\v@P
137  0x000031d4 0x10003dd4 5   6    .text   ascii   E\fYYP
138  0x000032d4 0x10003ed4 4   5    .text   ascii   I\bVW
