Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
196  0x00002e86 0x00014c86 4   5    .data   ascii   KFeG
197  0x00002f73 0x00014d73 7   8    .data   ascii   Uo:\r/\b\
198  0x00002fa1 0x00014da1 4   7    .data   utf8    Rʺfҷ blocks=Basic Latin,Spacing Modifier Letters,Cyrillic
199  0x00002fa9 0x00014da9 4   5    .data   ascii   =D&A
200  0x00002fb1 0x00014db1 5   6    .data   ascii   b-`Rt
201  0x00002fc0 0x00014dc0 4   6    .data   utf8    T\۰9 blocks=Basic Latin,Arabic
202  0x00003058 0x00014e58 5   6    .data   ascii   eq\zI
203  0x0000308b 0x00014e8b 4   5    .data   ascii   ~l\n{
204  0x000030ae 0x00014eae 5   6    .data   ascii   8@Kv\t
205  0x0000314f 0x00014f4f 4   5    .data   ascii   \b\bZN
206  0x00003176 0x00014f76 4   6    .data   utf8    ˜Aw1 blocks=Spacing Modifier Letters,Basic Latin
207  0x000031cb 0x00014fcb 4   5    .data   ascii   W1\v\f
208  0x000031e1 0x00014fe1 4   7    .data   utf8    QhH싳 blocks=Basic Latin,Hangul Syllables
209  0x000031e8 0x00014fe8 4   6    .data   utf8    њ<\fS blocks=Cyrillic,Basic Latin
210  0x00003289 0x00015089 4   5    .data   ascii   ]!FS
211  0x000032c1 0x000150c1 5   7    .data   utf8    TǞ[h| blocks=Basic Latin,Latin Extended-B
212  0x00003345 0x00015145 5   6    .data   ascii   ;\vyVF
213  0x0000337a 0x0001517a 4   6    .data   utf8    LKE=
214  0x000033c4 0x000151c4 5   8    .data   utf8    '_)\r blocks=Basic Latin,Private Use Area
215  0x000033f1 0x000151f1 4   5    .data   ascii   =>t\n
216  0x0000340d 0x0001520d 4   5    .data   ascii   \a_aT
217  0x0000341f 0x0001521f 4   5    .data   ascii   9 ck
218  0x0000342a 0x0001522a 4   5    .data   ascii   %lY6
219  0x00003438 0x00015238 5   6    .data   ascii   x\f\tK\
220  0x000034b7 0x000152b7 6   8    .data   utf8    H)g`w٠ blocks=Basic Latin,Arabic
221  0x000034d3 0x000152d3 4   5    .data   ascii   voGX
222  0x000034e7 0x000152e7 5   7    .data   utf8    ܗF_8^ blocks=Syriac,Basic Latin
223  0x00003520 0x00015320 4   5    .data   ascii   z^@H
224  0x0000355a 0x0001535a 5   6    .data   ascii   3C\bx\t
