[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
833  0x0000e787 0x0040e787 9   12   .rdata  utf8    оow@\vIЂRF blocks=Cyrillic,Basic Latin
834  0x0000e7cf 0x0040e7cf 5   6    .rdata  ascii   wAY4\t
835  0x0000e7dc 0x0040e7dc 6   8    .rdata  utf8    \v`@قz blocks=Basic Latin,Arabic
836  0x0000e842 0x0040e842 5   6    .rdata  ascii   :?Mo\r
837  0x0000e886 0x0040e886 4   5    .rdata  ascii   H\v:'
838  0x0000e8e8 0x0040e8e8 6   7    .rdata  ascii   oMk9o\n
839  0x0000e916 0x0040e916 4   5    .rdata  ascii   5Z?l
840  0x0000e937 0x0040e937 4   5    .rdata  ascii   LndF
841  0x0000e967 0x0040e967 4   5    .rdata  ascii   +An\n
842  0x0000e9a4 0x0040e9a4 4   7    .rdata  utf8    K˒ڨ^ blocks=Basic Latin,Spacing Modifier Letters,Arabic
843  0x0000e9af 0x0040e9af 4   5    .rdata  ascii   =[\Y
844  0x0000e9f2 0x0040e9f2 4   5    .rdata  ascii   :\aOk
845  0x0000ea38 0x0040ea38 5   6    .rdata  ascii   liEH,
846  0x0000eab4 0x0040eab4 5   6    .rdata  ascii   A\t6&z
847  0x0000eae8 0x0040eae8 6   9    .rdata  utf8    1eسעzq blocks=Basic Latin,Arabic,Hebrew
848  0x0000eb2a 0x0040eb2a 4   5    .rdata  ascii   \bdQb
849  0x0000eb39 0x0040eb39 4   5    .rdata  ascii   S@Y&
850  0x0000eb53 0x0040eb53 4   5    .rdata  ascii   \nI\\e
851  0x0000eb7c 0x0040eb7c 4   5    .rdata  ascii    i\b{
852  0x0000eb97 0x0040eb97 5   7    .rdata  utf8    %\b8d 
853  0x0000ebb0 0x0040ebb0 7   10   .rdata  utf8    e8ˬ͡^T^ blocks=Basic Latin,Spacing Modifier Letters,Combining Diacritical Marks
854  0x0000ebba 0x0040ebba 5   8    .rdata  utf8    lᵂnz` blocks=Basic Latin,Phonetic Extensions
855  0x0000ec70 0x0040ec70 4   5    .rdata  ascii   R~[K
856  0x0000eca5 0x0040eca5 4   5    .rdata  ascii   MbTe
857  0x0000ecc1 0x0040ecc1 4   5    .rdata  ascii   F:Z#
858  0x0000eced 0x0040eced 6   7    .rdata  ascii   Pg{c{9
859  0x0000ed49 0x0040ed49 4   6    .rdata  utf8    yR۸5 blocks=Basic Latin,Arabic
860  0x0000ed5d 0x0040ed5d 4   6    .rdata  utf8    \vß4[ blocks=Basic Latin,Latin-1 Supplement
861  0x0000eda4 0x0040eda4 4   8    .rdata  utf8    ҺĄeĝ blocks=Cyrillic,Latin Extended-A,Basic Latin
862  0x0000edc2 0x0040edc2 5   7    .rdata  utf8    mU\b2Ҥ blocks=Basic Latin,Cyrillic
863  0x0000edc9 0x0040edc9 9   10   .rdata  ascii   K\b\f)C^!Nq
864  0x0000ee10 0x0040ee10 4   5    .rdata  ascii   oAEP
865  0x0000ee27 0x0040ee27 7   8    .rdata  ascii   \a\b\t\n\v\f\r
866  0x0000ee40 0x0040ee40 22  23   .rdata  ascii   tBehjcanissupported.91
867  0x0000ee57 0x0040ee57 27  28   .rdata  ascii   qorangetasks4Rdoptionsk9the
868  0x0000ee73 0x0040ee73 28  29   .rdata  ascii   bySPDYcriticizeddanielusing8
869  0x0000ee90 0x0040ee90 23  24   .rdata  ascii   the3chromeDestandardfor
870  0x0000eea8 0x0040eea8 8   9    .rdata  ascii   XGxxxxxx
871  0x0000eeb1 0x0040eeb1 19  20   .rdata  ascii   protection9twoCisco
872  0x0000eec5 0x0040eec5 22  23   .rdata  ascii   components,tSAfeatureW
873  0x0000eedc 0x0040eedc 20  21   .rdata  ascii   releaseserversfirstE
874  0x0000eef1 0x0040eef1 28  29   .rdata  ascii   Hmwindows:HTML,hX9wasjfiles)
875  0x0000ef0e 0x0040ef0e 5   6    .rdata  ascii   tYYes
876  0x0000ef14 0x0040ef14 37  38   .rdata  ascii   QscoresPeriodicallyrmemoryNetscapeq1v
877  0x0000ef3a 0x0040ef3a 32  33   .rdata  ascii   ZBranchinQthisNoavailableGoogle6
878  0x0000ef5b 0x0040ef5b 36  37   .rdata  ascii   Edwillcmines,Ndevices.55Mapplication
879  0x0000ef80 0x0040ef80 4   5    .rdata  ascii   s7HU
880  0x0000ef85 0x0040ef85 38  39   .rdata  ascii   stating4.0,JBnewxHvulnerabilitiesintoH
881  0x0000efac 0x0040efac 35  36   .rdata  ascii   whetherdownloadingt3toDRbackground.
882  0x0000efd0 0x0040efd0 25  26   .rdata  ascii   bblowmewithisotheronornU9
883  0x0000efea 0x0040efea 13  14   .rdata  ascii   visitQed23.aN
884  0x0000eff8 0x0040eff8 28  29   .rdata  ascii   plug-insitsBtheisaaExample:X
885  0x0000f015 0x0040f015 6   7    .rdata  ascii   IcontH
886  0x0000f01c 0x0040f01c 31  32   .rdata  ascii   securitybrandy6gowasC4installed
887  0x0000f03c 0x0040f03c 22  23   .rdata  ascii   theoMpassageextensions
888  0x0000f053 0x0040f053 10  11   .rdata  ascii   wFlash5as4
889  0x0000f05e 0x0040f05e 44  45   .rdata  ascii   Qwerebonnieplatforms.45HGChromeprovided2015,
890  0x0000f08b 0x0040f08b 18  19   .rdata  ascii   VL7StableVVbitemee
891  0x0000f09e 0x0040f09e 25  26   .rdata  ascii   casperAoF0.Qhmigratedandc
892  0x0000f0b8 0x0040f0b8 4   5    .rdata  ascii   XcSL
893  0x0000f0bd 0x0040f0bd 31  32   .rdata  ascii   fromwhatsolving.123ofbostonofux
894  0x0000f0dd 0x0040f0dd 34  35   .rdata  ascii   cdefaultsites.0londonJunemorev3the
895  0x0000f100 0x0040f100 10  11   .rdata  ascii   8hFChromeD
896  0x0000f10b 0x0040f10b 24  25   .rdata  ascii   42.0.2311.4instead8Ez5on
897  0x0000f124 0x0040f124 45  46   .rdata  ascii   privateFacebookM17.88completelyrush2112RtobyS
898  0x0000f152 0x0040f152 16  17   .rdata  ascii   gsmokeyinterface
899  0x0000f163 0x0040f163 9   10   .rdata  ascii   asCourt.H
900  0x0000f16d 0x0040f16d 14  15   .rdata  ascii   11,apppasseda,
901  0x0000f17c 0x0040f17c 9   10   .rdata  ascii   isifront,
902  0x0000f22c 0x0040f22c 5   7    .rdata  utf8    BKb͙4 blocks=Basic Latin,Combining Diacritical Marks
903  0x0000f239 0x0040f239 5   6    .rdata  ascii   b\b|$Z
904  0x0000f294 0x0040f294 20  42   .rdata  utf16le f8qR<NTK/s2=lAph#*Wb
905  0x0000f2be 0x0040f2be 20  42   .rdata  utf16le EJ%owz>7NRS^Ciuf#tv1
906  0x0000f2e8 0x0040f2e8 9   10   .rdata  ascii   myapp.exe
907  0x0000f348 0x0040f348 4   5    .rdata  ascii   RSDS
908  0x0000f360 0x0040f360 29  30   .rdata  ascii   O:\MSDEV\Necro-SOFT\DEBUG.pdb
909  0x0000f4d6 0x0040f4d6 13  14   .rdata  ascii   GetDeviceCaps
910  0x0000f4e6 0x0040f4e6 20  21   .rdata  ascii   GetFontUnicodeRanges
911  0x0000f4fc 0x0040f4fc 9   10   .rdata  ascii   GDI32.dll
912  0x0000f508 0x0040f508 7   8    .rdata  ascii   SleepEx
913  0x0000f512 0x0040f512 20  21   .rdata  ascii   GetSystemPowerStatus
914  0x0000f52a 0x0040f52a 16  17   .rdata  ascii   GetModuleHandleA
915  0x0000f53e 0x0040f53e 12  13   .rdata  ascii   GetUserGeoID
916  0x0000f54e 0x0040f54e 11  12   .rdata  ascii   VirtualFree
917  0x0000f55c 0x0040f55c 16  17   .rdata  ascii   GetModuleHandleW
918  0x0000f570 0x0040f570 11  12   .rdata  ascii   GlobalAlloc
919  0x0000f57e 0x0040f57e 9   10   .rdata  ascii   RtlUnwind
920  0x0000f58a 0x0040f58a 16  17   .rdata  ascii   TerminateProcess
921  0x0000f59e 0x0040f59e 17  18   .rdata  ascii   GetCurrentProcess
922  0x0000f5b2 0x0040f5b2 24  25   .rdata  ascii   UnhandledExceptionFilter
923  0x0000f5ce 0x0040f5ce 27  28   .rdata  ascii   SetUnhandledExceptionFilter
924  0x0000f5ea 0x0040f5ea 12  13   .rdata  ascii   KERNEL32.dll
925  0x0000f5fa 0x0040f5fa 14  15   .rdata  ascii   WritePwrScheme
926  0x0000f60a 0x0040f60a 12  13   .rdata  ascii   POWRPROF.dll
927  0x0000f61a 0x0040f61a 15  16   .rdata  ascii   TrackMouseEvent
928  0x0000f62c 0x0040f62c 13  14   .rdata  ascii   SetDlgItemInt
929  0x0000f63a 0x0040f63a 10  11   .rdata  ascii   USER32.dll
930  0x00011a38 0x00411a38 4   6    .data   utf8    sa[ٓ blocks=Basic Latin,Arabic
931  0x00011a59 0x00411a59 4   5    .data   ascii   \n'C@
932  0x00011b3e 0x00411b3e 6   7    .data   ascii   Qm%8r/
933  0x00011b6f 0x00411b6f 4   5    .data   ascii   YxaG
934  0x00011b99 0x00411b99 4   6    .data   utf8    fڞ\tu blocks=Basic Latin,Arabic
935  0x00011c79 0x00411c79 4   5    .data   ascii   5m\r)
936  0x00011cc8 0x00411cc8 4   5    .data   ascii   JP^|
937  0x00011ef0 0x00411ef0 4   5    .data   ascii   JPY|
938  0x00011f44 0x00411f44 4   5    .data   ascii   Ec=4
939  0x00011f58 0x00411f58 5   6    .data   ascii   \ei=4)
940  0x00011fad 0x00411fad 4   5    .data   ascii   M\b\n\r
941  0x00012060 0x00412060 4   5    .data   ascii   JP.|
942  0x00012118 0x00412118 4   5    .data   ascii   JP&|
943  0x0001211d 0x0041211d 4   5    .data   ascii   M\b~!
944  0x000121d0 0x004121d0 4   5    .data   ascii   JP=|
945  0x00012345 0x00412345 6   7    .data   ascii   M\bc%1@
946  0x00012620 0x00412620 4   5    .data   ascii   JPk|
947  0x00012625 0x00412625 5   7    .data   utf8    M\b!\tA
948  0x000126d8 0x004126d8 4   5    .data   ascii   JPj|
949  0x00012790 0x00412790 4   5    .data   ascii   JPt|
950  0x00012795 0x00412795 4   5    .data   ascii   M\b~j
951  0x00012848 0x00412848 4   5    .data   ascii   JP\e|
952  0x00012900 0x00412900 4   5    .data   ascii   JPX|
953  0x00012a70 0x00412a70 4   5    .data   ascii   JPN|
954  0x00012ac4 0x00412ac4 4   5    .data   ascii   _P{c
955  0x00012ad8 0x00412ad8 5   6    .data   ascii   rV{c)
956  0x00012b28 0x00412b28 4   5    .data   ascii   JP{|
957  0x00012be0 0x00412be0 4   5    .data   ascii   JPF|
958  0x00012c98 0x00412c98 4   5    .data   ascii   JPR|
959  0x00012d50 0x00412d50 4   5    .data   ascii   JP^|
960  0x00012ec0 0x00412ec0 4   5    .data   ascii   JP\|
961  0x00012f78 0x00412f78 4   5    .data   ascii   JPu|
962  0x00013030 0x00413030 4   5    .data   ascii   JP`|
963  0x00013035 0x00413035 6   7    .data   ascii   M\bPE\vB
964  0x000131a5 0x004131a5 4   5    .data   ascii   M\b^X
965  0x00013258 0x00413258 4   5    .data   ascii   JP?|
966  0x000133cd 0x004133cd 6   7    .data   ascii   M\b)^6B
967  0x00013485 0x00413485 5   7    .data   utf8    M\bי:B blocks=Basic Latin,Hebrew
968  0x000134e9 0x004134e9 4   5    .data   ascii   j(g)
969  0x00013538 0x00413538 4   5    .data   ascii   JPb|
970  0x0001353d 0x0041353d 6   7    .data   ascii   M\bX<CB
971  0x000135f0 0x004135f0 4   5    .data   ascii   JP2|
972  0x000138d0 0x004138d0 4   5    .data   ascii   JPA|
973  0x000138d5 0x004138d5 4   5    .data   ascii   M\b'"
974  0x00013938 0x00413938 5   6    .data   ascii   \e;\fK)
975  0x00013988 0x00413988 4   5    .data   ascii   JP1|
976  0x0001398d 0x0041398d 5   7    .data   utf8    M\bPЌB blocks=Basic Latin,Cyrillic
977  0x00013bb0 0x00413bb0 4   5    .data   ascii   JP9|
978  0x00013bf3 0x00413bf3 9   10   .data   ascii   M@:*\r\fpAy
979  0x00013c53 0x00413c53 6   7    .data   ascii   4MQ::Y
980  0x00013c93 0x00413c93 4   7    .data   utf8    \fM؆Χ blocks=Basic Latin,Arabic,Greek and Coptic
981  0x00016317 0x00417317 4   5    DATA    ascii   SO&Y
982  0x000163d0 0x004173d0 5   6    DATA    ascii   em>OM
983  0x00016415 0x00417415 4   5    DATA    ascii   \aHb;
984  0x0001641e 0x0041741e 5   7    DATA    utf8    ~S߆\\t blocks=Basic Latin,NKo
985  0x00016425 0x00417425 4   5    DATA    ascii   Fy\n/
986  0x00016437 0x00417437 4   5    DATA    ascii   6>$!
987  0x00016465 0x00417465 6   8    DATA    utf8    qhuތ0s blocks=Basic Latin,Thaana
988  0x0001648b 0x0041748b 4   6    DATA    utf8    '˳ZM blocks=Basic Latin,Spacing Modifier Letters
989  0x000164b7 0x004174b7 4   5    DATA    ascii   _g,g
990  0x000164c9 0x004174c9 5   6    DATA    ascii   udnj\
991  0x000164d9 0x004174d9 6   7    DATA    ascii   I.f-[s
992  0x000164f2 0x004174f2 6   8    DATA    utf8    [DsĭV@ blocks=Basic Latin,Latin Extended-A
993  0x00016518 0x00417518 5   6    DATA    ascii   0&5\n3
994  0x0001652c 0x0041752c 4   6    DATA    utf8    @Ƙsn blocks=Basic Latin,Latin Extended-B
995  0x00016583 0x00417583 5   6    DATA    ascii   _v:\aK
996  0x000165bd 0x004175bd 4   6    DATA    utf8    aӌd( blocks=Basic Latin,Cyrillic
997  0x0001660f 0x0041760f 4   7    DATA    utf8    آݪm\f blocks=Arabic,Arabic Supplement,Basic Latin
998  0x0001661a 0x0041761a 4   5    DATA    ascii   ,?1j
999  0x0001668d 0x0041768d 6   7    DATA    ascii   59-f!T
1000 0x000166e2 0x004176e2 7   8    DATA    ascii   lt99<o5
1001 0x000166f6 0x004176f6 4   6    DATA    utf8    8(T=
1002 0x0001672f 0x0041772f 5   8    DATA    utf8    ٍ̧Ro\b blocks=Combining Diacritical Marks,Arabic,Basic Latin
1003 0x00016739 0x00417739 4   6    DATA    utf8    +O|҈ blocks=Basic Latin,Cyrillic
1004 0x00016779 0x00417779 4   6    DATA    utf8    ԷTJ\v blocks=Armenian,Basic Latin
1005 0x00016795 0x00417795 4   5    DATA    ascii   \rlb;
1006 0x000167a6 0x004177a6 6   9    DATA    utf8    \nqűչQ+ blocks=Basic Latin,Latin Extended-A,Armenian
1007 0x000167d6 0x004177d6 7   8    DATA    ascii   ?r\[-\e^
1008 0x000167f9 0x004177f9 4   5    DATA    ascii   -KDy
1009 0x00016844 0x00417844 4   5    DATA    ascii   \akSy
1010 0x000168b9 0x004178b9 4   6    DATA    utf8    {ņ`> blocks=Basic Latin,Latin Extended-A
1011 0x000168d4 0x004178d4 4   5    DATA    ascii   NU9J
1012 0x00016915 0x00417915 4   5    DATA    ascii   p\nsI
1013 0x0001692d 0x0041792d 7   8    DATA    ascii   ,.hHz\v-
1014 0x00016937 0x00417937 4   5    DATA    ascii   \e3#\e
1015 0x00016940 0x00417940 7   9    DATA    utf8    ,_(_pܮR blocks=Basic Latin,Syriac
1016 0x0001694a 0x0041794a 4   6    DATA    utf8    ǍMV@ blocks=Latin Extended-B,Basic Latin
1017 0x000169cd 0x004179cd 6   7    DATA    ascii   8wMgr=
1018 0x000169e5 0x004179e5 4   5    DATA    ascii   "u#'
1019 0x00016a54 0x00417a54 4   5    DATA    ascii   I}Mv
1020 0x00016a6a 0x00417a6a 5   7    DATA    utf8    YKַvA blocks=Basic Latin,Hebrew
1021 0x00016a8f 0x00417a8f 4   5    DATA    ascii   \f}=F
1022 0x00016a9b 0x00417a9b 5   6    DATA    ascii   g %;u
1023 0x00016b24 0x00417b24 6   8    DATA    utf8    7nǕe\fw blocks=Basic Latin,Latin Extended-B
1024 0x00016b45 0x00417b45 5   7    DATA    utf8     ڵ} 3 blocks=Basic Latin,Arabic
1025 0x00016b7c 0x00417b7c 5   6    DATA    ascii   ![Ig.
1026 0x00016b83 0x00417b83 4   5    DATA    ascii   g5z3
1027 0x00016bbe 0x00417bbe 4   5    DATA    ascii   _=vq
1028 0x00016bc9 0x00417bc9 7   10   DATA    utf8    o0i\r\ ﲧ blocks=Basic Latin,Arabic Presentation Forms-A
1029 0x00016be3 0x00417be3 4   6    DATA    utf8    ^ԛ$" blocks=Basic Latin,Cyrillic Supplement
1030 0x00016c13 0x00417c13 4   7    DATA    utf8    1 <삯 blocks=Basic Latin,Hangul Syllables
1031 0x00016c34 0x00417c34 10  12   DATA    utf8    .h(\n\aђ1$Ha blocks=Basic Latin,Cyrillic
1032 0x00016cdc 0x00417cdc 6   7    DATA    ascii   }J<cy\v
1033 0x00016cf4 0x00417cf4 4   5    DATA    ascii   $?(L
1034 0x00016d0a 0x00417d0a 5   6    DATA    ascii   K=A,&
1035 0x00016d12 0x00417d12 4   5    DATA    ascii   3hg]
1036 0x00016d77 0x00417d77 4   5    DATA    ascii   QgJU
1037 0x00016dc3 0x00417dc3 5   6    DATA    ascii   Tx5L 
1038 0x00016dff 0x00417dff 4   5    DATA    ascii   ~vz_
1039 0x00016e68 0x00417e68 7   9    DATA    utf8    A$CتG^r blocks=Basic Latin,Arabic
1040 0x00016e7e 0x00417e7e 10  12   DATA    utf8    {Kݱ)3]\e>5? blocks=Basic Latin,Arabic Supplement
1041 0x00016ea7 0x00417ea7 6   7    DATA    ascii   ZU%S R
1042 0x00016ed2 0x00417ed2 6   7    DATA    ascii   36'?Bt
1043 0x00016ee5 0x00417ee5 5   6    DATA    ascii   tvzEx
1044 0x00016f14 0x00417f14 5   6    DATA    ascii   H0U9U
1045 0x00016f22 0x00417f22 5   6    DATA    ascii   Vl2H4
1046 0x00016f56 0x00417f56 4   6    DATA    utf8    Ś':\a blocks=Latin Extended-A,Basic Latin
1047 0x00016f6f 0x00417f6f 4   5    DATA    ascii   S@l!
1048 0x00016f83 0x00417f83 4   5    DATA    ascii   l3o`
1049 0x00016f96 0x00417f96 4   5    DATA    ascii   |t~N
1050 0x00016f9e 0x00417f9e 4   5    DATA    ascii   h:Ih
1051 0x00016fcc 0x00417fcc 4   5    DATA    ascii   Lr\b5
1052 0x00016fd8 0x00417fd8 10  12   DATA    utf8    "Wh,{+ȭ|t8 blocks=Basic Latin,Latin Extended-B
1053 0x00017058 0x00418058 7   9    DATA    utf8    JɇGO*4z blocks=Basic Latin,Latin Extended-B
1054 0x00017121 0x00418121 8   9    DATA    ascii   5rF^_U^"
1055 0x0001712a 0x0041812a 4   5    DATA    ascii   $-5&
1056 0x000171ae 0x004181ae 4   5    DATA    ascii   TQ\tZ
1057 0x000171bd 0x004181bd 5   7    DATA    utf8    ӯ`S.{ blocks=Cyrillic,Basic Latin
1058 0x00017212 0x00418212 4   5    DATA    ascii   )\v*F
1059 0x00017239 0x00418239 4   6    DATA    utf8    EЉ\eo blocks=Basic Latin,Cyrillic
1060 0x0001723f 0x0041823f 4   5    DATA    ascii   =!6q
1061 0x00017248 0x00418248 4   6    DATA    utf8    ب1\t6 blocks=Arabic,Basic Latin
1062 0x00017254 0x00418254 7   8    DATA    ascii   yC<\bv;f
1063 0x0001727a 0x0041827a 5   7    DATA    utf8    (f̝;| blocks=Basic Latin,Combining Diacritical Marks
1064 0x00017292 0x00418292 7   9    DATA    utf8    cwezʂVb blocks=Basic Latin,IPA Extensions
1065 0x000172d1 0x004182d1 6   8    DATA    utf8    j\bTڡ|; blocks=Basic Latin,Arabic
1066 0x000172d9 0x004182d9 4   6    DATA    utf8    ˆ\f\w blocks=Spacing Modifier Letters,Basic Latin
1067 0x00017301 0x00418301 5   6    DATA    ascii   \ay9O=
1068 0x0001734c 0x0041834c 9   13   DATA    utf8    qFypM3ڌ\e blocks=Basic Latin,Private Use Area,Arabic
1069 0x000173ea 0x004183ea 4   5    DATA    ascii   6<L}
1070 0x000173fd 0x004183fd 4   5    DATA    ascii   =\n37
1071 0x00017418 0x00418418 4   5    DATA    ascii   aT_/
1072 0x00017466 0x00418466 4   5    DATA    ascii   3Pf{
1073 0x000174a0 0x004184a0 8   11   DATA    utf8    wT&Tྐ\vqd blocks=Basic Latin,Tibetan
1074 0x0001750d 0x0041850d 4   5    DATA    ascii   6<tb
1075 0x0001751f 0x0041851f 4   5    DATA    ascii   "nN4
1076 0x0001755d 0x0041855d 9   10   DATA    ascii   \6}%nll2\f
1077 0x00017576 0x00418576 4   5    DATA    ascii   ^\rO\b
1078 0x000175ae 0x004185ae 4   5    DATA    ascii   j_Bk
1079 0x00017673 0x00418673 4   7    DATA    utf8    G\v\f洡 blocks=Basic Latin,CJK Unified Ideographs
1080 0x000176ef 0x004186ef 5   7    DATA    utf8    lfҠWc blocks=Basic Latin,Cyrillic
1081 0x00017727 0x00418727 5   6    DATA    ascii   \etkX.
1082 0x0001776e 0x0041876e 4   5    DATA    ascii   9~=\
1083 0x0001778b 0x0041878b 5   7    DATA    utf8    Η|#rO blocks=Greek and Coptic,Basic Latin
1084 0x0001779e 0x0041879e 5   7    DATA    utf8    Xl*K=
1085 0x000177fd 0x004187fd 5   6    DATA    ascii   \b}|J7
1086 0x00017838 0x00418838 4   5    DATA    ascii   @0}k
1087 0x0001783f 0x0041883f 5   6    DATA    ascii   ~f6lI
1088 0x0001784f 0x0041884f 5   7    DATA    utf8    w¤`<m blocks=Basic Latin,Latin-1 Supplement
1089 0x00017859 0x00418859 6   8    DATA    utf8    -7)6ɍt blocks=Basic Latin,Latin Extended-B
1090 0x000178ae 0x004188ae 4   5    DATA    ascii   +B?d
1091 0x000178dd 0x004188dd 5   7    DATA    utf8    ِI\e#\e blocks=Arabic,Basic Latin
1092 0x00017992 0x00418992 4   5    DATA    ascii   I0ce
1093 0x000179b6 0x004189b6 4   7    DATA    utf8    䂚#WH blocks=CJK Unified Ideographs Extension A,Basic Latin
1094 0x000179cb 0x004189cb 7   10   DATA    utf8    ͽYŨP}\b~ blocks=Greek and Coptic,Basic Latin,Latin Extended-A
1095 0x000179df 0x004189df 4   5    DATA    ascii   U6lq
1096 0x00017a0e 0x00418a0e 4   5    DATA    ascii   #RQ!
1097 0x00017a24 0x00418a24 5   6    DATA    ascii   tS\r^W
1098 0x00017a7e 0x00418a7e 4   5    DATA    ascii   Lx'o
1099 0x00017a94 0x00418a94 6   8    DATA    utf8    cL͙$>d blocks=Basic Latin,Combining Diacritical Marks
1100 0x00017aa1 0x00418aa1 6   8    DATA    utf8    !a{oџz blocks=Basic Latin,Cyrillic
1101 0x00017ac4 0x00418ac4 5   6    DATA    ascii   "@o&Q
1102 0x00017b47 0x00418b47 4   5    DATA    ascii   kuvX
1103 0x00017b57 0x00418b57 4   5    DATA    ascii   ?\r"w
1104 0x00017b7d 0x00418b7d 4   5    DATA    ascii   JClD
1105 0x00017bbb 0x00418bbb 4   5    DATA    ascii   v\n*\f
1106 0x00017be5 0x00418be5 6   7    DATA    ascii   \bL(Lux
1107 0x00017c7f 0x00418c7f 7   8    DATA    ascii   C\vXo3}G
1108 0x00017c9c 0x00418c9c 5   6    DATA    ascii   viSa6
1109 0x00017cd8 0x00418cd8 5   6    DATA    ascii   W!q{'
1110 0x00017cfe 0x00418cfe 4   5    DATA    ascii   \vZ;=
1111 0x00017d44 0x00418d44 6   7    DATA    ascii   A\eY9Pk
1112 0x00017d5c 0x00418d5c 4   5    DATA    ascii   [i5o
1113 0x00017d66 0x00418d66 4   5    DATA    ascii   6?3H
1114 0x00017d7a 0x00418d7a 4   6    DATA    utf8    ==Ͷ0 blocks=Basic Latin,Greek and Coptic
1115 0x00017da9 0x00418da9 5   7    DATA    utf8    Q֣\r^W blocks=Basic Latin,Hebrew
1116 0x00017db3 0x00418db3 5   7    DATA    utf8    ҩrQM| blocks=Cyrillic,Basic Latin
1117 0x00017dd5 0x00418dd5 6   8    DATA    utf8    USȊ\r2# blocks=Basic Latin,Latin Extended-B
1118 0x00017ddd 0x00418ddd 5   8    DATA    utf8    Ό\f~ߧ> blocks=Greek and Coptic,Basic Latin,NKo
1119 0x00017e11 0x00418e11 4   5    DATA    ascii   !sLU
1120 0x00017e1b 0x00418e1b 4   5    DATA    ascii   )7S:
1121 0x00017e27 0x00418e27 5   6    DATA    ascii   rN CL
1122 0x00017e3f 0x00418e3f 4   5    DATA    ascii   vz6>
1123 0x00017e60 0x00418e60 4   5    DATA    ascii   ;,7[
1124 0x00017e6c 0x00418e6c 7   9    DATA    utf8    Rw'#+ƌG blocks=Basic Latin,Latin Extended-B
1125 0x00017ea4 0x00418ea4 4   5    DATA    ascii   J-/C
1126 0x00017ef3 0x00418ef3 6   7    DATA    ascii   57/G#V
1127 0x00017f2e 0x00418f2e 6   8    DATA    utf8    0δXsO, blocks=Basic Latin,Greek and Coptic
1128 0x00017f47 0x00418f47 8   11   DATA    utf8    NB!Ռ <|ǥ blocks=Basic Latin,Armenian,Latin Extended-B
1129 0x00017f62 0x00418f62 4   6    DATA    utf8    lpŝ[ blocks=Basic Latin,Latin Extended-A
1130 0x00017f8d 0x00418f8d 5   7    DATA    utf8    ģC;y4 blocks=Latin Extended-A,Basic Latin
1131 0x00017f97 0x00418f97 7   8    DATA    ascii   n\fk\v#\r.
1132 0x00017fb7 0x00418fb7 5   6    DATA    ascii   q#[W^
1133 0x00017fd1 0x00418fd1 4   5    DATA    ascii   g?%s
1134 0x00018017 0x00419017 4   7    DATA    utf8    ĭݒL- blocks=Latin Extended-A,Arabic Supplement,Basic Latin
1135 0x00018031 0x00419031 11  13   DATA    utf8    o\cqgJO˗;6r blocks=Basic Latin,Spacing Modifier Letters
1136 0x0001805b 0x0041905b 4   5    DATA    ascii   i\t$#
1137 0x00018060 0x00419060 6   10   DATA    utf8    v3#̥{ blocks=Basic Latin,Private Use Area,Combining Diacritical Marks
1138 0x0001806a 0x0041906a 7   10   DATA    utf8    ӎlӸow$P blocks=Cyrillic,Basic Latin
1139 0x000180e6 0x004190e6 4   5    DATA    ascii   S#8Y
1140 0x00018181 0x00419181 4   5    DATA    ascii   RO+J
1141 0x000181bb 0x004191bb 6   7    DATA    ascii   Yy7vs0
1142 0x000181f5 0x004191f5 4   5    DATA    ascii   Fnf\t
1143 0x00018205 0x00419205 6   9    DATA    utf8    dKۖѾ<{ blocks=Basic Latin,Arabic,Cyrillic
1144 0x00018216 0x00419216 6   7    DATA    ascii   5p\v"(K
1145 0x0001823c 0x0041923c 5   6    DATA    ascii   ]#:`G
1146 0x00018252 0x00419252 5   6    DATA    ascii   r }+M
1147 0x00018264 0x00419264 7   9    DATA    utf8    xr)!5Yۍ blocks=Basic Latin,Arabic
1148 0x000182ab 0x004192ab 4   5    DATA    ascii   B-zl
1149 0x000182e5 0x004192e5 4   5    DATA    ascii   I%g\t
1150 0x000182f0 0x004192f0 4   5    DATA    ascii   T'P;
1151 0x0001831e 0x0041931e 4   5    DATA    ascii   y lA
1152 0x00018373 0x00419373 4   5    DATA    ascii   62LG
1153 0x00018392 0x00419392 4   7    DATA    utf8    `9Z blocks=Basic Latin,Private Use Area
1154 0x000183d5 0x004193d5 4   6    DATA    utf8    xtRŵ blocks=Basic Latin,Latin Extended-A
1155 0x000183e6 0x004193e6 4   5    DATA    ascii   =%z/
1156 0x00018435 0x00419435 6   7    DATA    ascii   SOo\e}Y
1157 0x00018441 0x00419441 5   6    DATA    ascii   <N>^;
1158 0x0001845f 0x0041945f 4   6    DATA    utf8    ךD{. blocks=Hebrew,Basic Latin
1159 0x00018476 0x00419476 5   6    DATA    ascii   }KLXu
1160 0x000184ed 0x004194ed 4   5    DATA    ascii   )n.r
1161 0x00018603 0x00419603 9   10   DATA    ascii   \rm\ns5Sq(?
1162 0x00018619 0x00419619 4   6    DATA    utf8    -a˦$ blocks=Basic Latin,Spacing Modifier Letters
1163 0x00018681 0x00419681 4   6    DATA    utf8    ٕS'p blocks=Arabic,Basic Latin
