[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
92   0x00003a03 0x00403a03 4   5    .text   ascii   5XkA
93   0x00003a09 0x00403a09 4   5    .text   ascii   =TkA
94   0x00003a17 0x00403a17 4   5    .text   ascii   \rtkA
95   0x00003a2c 0x00403a2c 4   5    .text   ascii   %HkA
96   0x00003a33 0x00403a33 4   5    .text   ascii   -DkA
97   0x00003ac7 0x00403ac7 5   6    .text   ascii   SVWUj
98   0x00003adc 0x00403adc 4   5    .text   ascii   ]_^[
99   0x00003ae2 0x00403ae2 4   6    .text   utf8    ]ËL$ blocks=Basic Latin,Latin-1 Supplement
100  0x00003b68 0x00403b68 6   7    .text   ascii   ;t$,v-
101  0x00003bc3 0x00403bc3 6   7    .text   ascii   R\f9Q\bu
102  0x00003beb 0x00403beb 6   7    .text   ascii   k\fUQPX
103  0x00003c0f 0x00403c0f 7   9    .text   utf8    D$_؋T$` blocks=Basic Latin,Arabic
104  0x00003c49 0x00403c49 4   5    .text   ascii   D$Uf
105  0x00003c4e 0x00403c4e 4   5    .text   ascii   D$Vf
106  0x00003c53 0x00403c53 5   6    .text   ascii   D$"f%
107  0x00003c63 0x00403c63 4   5    .text   ascii   D$(A
108  0x00003cd8 0x00403cd8 4   5    .text   ascii   @APE
109  0x00003ce7 0x00403ce7 4   5    .text   ascii   D$U*
110  0x00003cf0 0x00403cf0 5   7    .text   utf8    D$Xƹ5 blocks=Basic Latin,Latin Extended-B
111  0x00003d79 0x00403d79 9   12   .text   utf8    ÊL$!(ȈD$U blocks=Latin-1 Supplement,Basic Latin,Latin Extended-B
112  0x00003d89 0x00403d89 4   5    .text   ascii   D$U\v
113  0x00003ddf 0x00403ddf 4   6    .text   utf8    ҉D$` blocks=Cyrillic,Basic Latin
114  0x00003df0 0x00403df0 5   7    .text   utf8    )҉T$X blocks=Basic Latin,Cyrillic
115  0x00003e0b 0x00403e0b 4   5    .text   ascii   l$U8
116  0x00003e68 0x00403e68 7   9    .text   utf8    ^_[]ËD$ blocks=Basic Latin,Latin-1 Supplement
117  0x00003e8f 0x00403e8f 4   5    .text   ascii   D$@f
118  0x00003e94 0x00403e94 5   6    .text   ascii   t$"f)
119  0x00003ed8 0x00403ed8 8   9    .text   ascii   D$(\rw 6F
120  0x00003ee1 0x00403ee1 4   5    .text   ascii   D$(f
121  0x00003ef0 0x00403ef0 5   7    .text   utf8    L$$1Ҿ blocks=Basic Latin,Cyrillic
122  0x00003eff 0x00403eff 4   6    .text   utf8    ȉD$$ blocks=Latin Extended-B,Basic Latin
123  0x00003f76 0x00403f76 4   5    .text   ascii   D$ n
124  0x00003f89 0x00403f89 5   6    .text   ascii   L$\ff9
125  0x00003fbb 0x00403fbb 5   7    .text   utf8    1\rL$$
126  0x00003fc2 0x00403fc2 5   7    .text   utf8    T$dǄ$ blocks=Basic Latin,Latin Extended-B
127  0x00003ffc 0x00403ffc 6   9    .text   utf8    \nT$#(ш blocks=Basic Latin,Cyrillic
128  0x00004033 0x00404033 4   5    .text   ascii   LD$f
129  0x00004054 0x00404054 4   5    .text   ascii   D$\fu
130  0x00004088 0x00404088 7   9    .text   utf8    ^_[]ËD$ blocks=Basic Latin,Latin-1 Supplement
131  0x00004092 0x00404092 5   7    .text   utf8    L$#\bɊ blocks=Basic Latin,Latin Extended-B
132  0x000040d6 0x004040d6 5   7    .text   utf8    1\tD$\f
133  0x000040f3 0x004040f3 5   6    .text   ascii   D$ ,|
134  0x0000410d 0x0040410d 4   5    .text   ascii   D$&1
135  0x00004119 0x00404119 8   10   .text   utf8    ^[]ËD$ f blocks=Basic Latin,Latin-1 Supplement
136  0x00004168 0x00404168 9   10   .text   ascii   D$&f3D$&f
137  0x00004176 0x00404176 4   5    .text   ascii   D$\e\f
138  0x00004182 0x00404182 4   5    .text   ascii   D$\e>
139  0x00004193 0x00404193 5   8    .text   utf8    눋D$\bf blocks=Hangul Syllables,Basic Latin
140  0x000041db 0x004041db 5   7    .text   utf8    L$81ɉ blocks=Basic Latin,Latin Extended-B
141  0x0000421d 0x0040421d 4   5    .text   ascii   \$8f
142  0x00004238 0x00404238 5   7    .text   utf8    D$0)\t
143  0x0000424d 0x0040424d 4   5    .text   ascii   L$.f
144  0x00004263 0x00404263 4   5    .text   ascii   D$<f
145  0x00004268 0x00404268 4   5    .text   ascii   L$6f
146  0x0000426d 0x0040426d 5   6    .text   ascii   D$.f)
147  0x000042f7 0x004042f7 8   10   .text   utf8    ^_[]ËD$L blocks=Basic Latin,Latin-1 Supplement
148  0x00004318 0x00404318 5   7    .text   utf8    T$5\b҃ blocks=Basic Latin,Cyrillic
149  0x0000432c 0x0040432c 4   5    .text   ascii   D$0%
150  0x00004344 0x00404344 4   7    .text   utf8    붋D$< blocks=Hangul Syllables,Basic Latin
151  0x00004371 0x00404371 5   7    .text   utf8    \$s1Ҿ blocks=Basic Latin,Cyrillic
152  0x00004380 0x00404380 4   5    .text   ascii   D$LP
153  0x00004399 0x00404399 4   5    .text   ascii   D$.f
154  0x000043b3 0x004043b3 4   5    .text   ascii   *T$s
155  0x000043c9 0x004043c9 4   5    .text   ascii   T4Sf
156  0x000043ce 0x004043ce 4   5    .text   ascii   D$.f
157  0x000043de 0x004043de 4   5    .text   ascii   t$0)
158  0x0000448f 0x0040448f 4   5    .text   ascii   4$u\a
159  0x00004496 0x00404496 5   7    .text   utf8    ^_]øt blocks=Basic Latin,Latin-1 Supplement
160  0x000044a6 0x004044a6 5   7    .text   utf8    $)щL$ blocks=Basic Latin,Cyrillic
161  0x000044c5 0x004044c5 4   5    .text   ascii   AAPE
162  0x000044e0 0x004044e0 4   5    .text   ascii   Z+D$
163  0x00004525 0x00404525 4   6    .text   utf8    fǄ$2 blocks=Basic Latin,Latin Extended-B
164  0x00004554 0x00404554 4   6    .text   utf8    fǄ$h blocks=Basic Latin,Latin Extended-B
165  0x0000457c 0x0040457c 5   6    .text   ascii   t$pw$
166  0x000045af 0x004045af 4   5    .text   ascii   ^_[]
167  0x000045b6 0x004045b6 4   5    .text   ascii   L$|f
168  0x00004602 0x00404602 4   6    .text   utf8    fǄ$h blocks=Basic Latin,Latin Extended-B
169  0x000046b3 0x004046b3 4   5    .text   ascii   |$pi
170  0x0000474b 0x0040474b 4   6    .text   utf8    ʋt$t blocks=IPA Extensions,Basic Latin
171  0x00004784 0x00404784 4   5    .text   ascii   T$|f
172  0x000047eb 0x004047eb 4   6    .text   utf8    T$t)
173  0x0000482a 0x0040482a 4   5    .text   ascii   t$pi
174  0x0000487a 0x0040487a 4   5    .text   ascii   L$pi
175  0x000048be 0x004048be 4   6    .text   utf8    fǄ$h blocks=Basic Latin,Latin Extended-B
176  0x000048f8 0x004048f8 4   5    .text   ascii   =4\A
177  0x00004935 0x00404935 4   5    .text   ascii   T$<)
178  0x000049ac 0x004049ac 4   6    .text   utf8    eǄ$\ blocks=Basic Latin,Latin Extended-B
179  0x000049b9 0x004049b9 4   5    .text   ascii   =>\A
180  0x000049db 0x004049db 4   5    .text   ascii   t$|f
181  0x00004a8b 0x00404a8b 4   5    .text   ascii   |$|f
182  0x00004ab2 0x00404ab2 4   5    .text   ascii   t$ )
183  0x00004b2f 0x00404b2f 4   5    .text   ascii   T$`f
184  0x00004b34 0x00404b34 7   10   .text   utf8    D$dŋt$h blocks=Basic Latin,Latin Extended-A
185  0x00004b44 0x00404b44 4   6    .text   utf8    ӉD$  blocks=Cyrillic,Basic Latin
186  0x00004b4c 0x00404b4c 4   6    .text   utf8    ЉD$l blocks=Cyrillic,Basic Latin
187  0x00004b63 0x00404b63 4   5    .text   ascii   D$Ff
188  0x00004b9e 0x00404b9e 4   5    .text   ascii   ^_[]
189  0x00004ba9 0x00404ba9 5   8    .text   utf8    ŋT$$f blocks=Latin Extended-A,Basic Latin
190  0x00004bbd 0x00404bbd 6   7    .text   ascii   f+D$df
191  0x00004be1 0x00404be1 5   7    .text   utf8    ։T$Xf blocks=Armenian,Basic Latin
192  0x00004bf1 0x00404bf1 4   5    .text   ascii   D$^f
193  0x00004c21 0x00404c21 4   6    .text   utf8    ҉T$` blocks=Cyrillic,Basic Latin
194  0x00004c33 0x00404c33 4   6    .text   utf8    ҋt$\f blocks=Cyrillic,Basic Latin
195  0x00004c39 0x00404c39 4   6    .text   utf8    ։t$h blocks=Armenian,Basic Latin
196  0x00004c3f 0x00404c3f 4   5    .text   ascii   T$l9
197  0x00004c67 0x00404c67 4   5    .text   ascii   D$Lf
198  0x00004c78 0x00404c78 4   5    .text   ascii   D$\f%
199  0x00004ca6 0x00404ca6 7   8    .text   ascii   D$ 9D$@
200  0x00004cb0 0x00404cb0 4   5    .text   ascii   "\$;
201  0x00004cce 0x00404cce 4   6    .text   utf8    \tD$`
202  0x00004d24 0x00404d24 4   5    .text   ascii   L$(f
203  0x00004d37 0x00404d37 4   5    .text   ascii   |$gf
204  0x00004d52 0x00404d52 4   5    .text   ascii   f94G
205  0x00004d5d 0x00404d5d 4   5    .text   ascii   \$3f
206  0x00004d71 0x00404d71 4   5    .text   ascii   "\$3
207  0x00004d79 0x00404d79 4   5    .text   ascii   t$Xf
208  0x00004d7e 0x00404d7e 4   5    .text   ascii   T$^9
209  0x00004dc0 0x00404dc0 4   5    .text   ascii   L$Sf
210  0x00004dd5 0x00404dd5 5   6    .text   ascii   D$Lfi
211  0x00004e7e 0x00404e7e 4   5    .text   ascii   |$\fu
212  0x00004ea0 0x00404ea0 8   10   .text   utf8    D$\e0\bD$3
213  0x00004ec4 0x00404ec4 4   5    .text   ascii   t$&f
214  0x00004ec9 0x00404ec9 4   5    .text   ascii   t$&f
215  0x00004eec 0x00404eec 4   5    .text   ascii   ^_[]
216  0x00004f0a 0x00404f0a 7   8    .text   ascii   D$,k0b"
217  0x00004f41 0x00404f41 4   5    .text   ascii   \$$=
218  0x00004f62 0x00404f62 4   5    .text   ascii   ^_[]
219  0x00004f81 0x00404f81 7   10   .text   utf8    6{v1ɺ&Z blocks=Basic Latin,IPA Extensions
220  0x00004f8c 0x00404f8c 4   5    .text   ascii   t$\b)
221  0x00004fd6 0x00404fd6 5   6    .text   ascii   D$KLf
222  0x00004fdc 0x00404fdc 4   6    .text   utf8    D$HЫ blocks=Basic Latin,Cyrillic
223  0x00005022 0x00405022 4   5    .text   ascii   D$Y*
224  0x0000503f 0x0040503f 4   6    .text   utf8    ыT$, blocks=Cyrillic,Basic Latin
225  0x00005067 0x00405067 4   5    .text   ascii   |$Zf
226  0x00005075 0x00405075 5   6    .text   ascii   L$<Af
227  0x0000507b 0x0040507b 4   5    .text   ascii   |$Zf
228  0x0000508e 0x0040508e 4   6    .text   utf8    ҋt$  blocks=Cyrillic,Basic Latin
229  0x000050dd 0x004050dd 4   5    .text   ascii   ^_[]
230  0x000050ed 0x004050ed 4   5    .text   ascii   L$+f
231  0x00005112 0x00405112 4   5    .text   ascii   D$&8
232  0x00005128 0x00405128 4   5    .text   ascii   L$ f
233  0x0000514a 0x0040514a 4   5    .text   ascii   L$ f
234  0x0000514f 0x0040514f 4   5    .text   ascii   |$Zf
235  0x00005154 0x00405154 4   5    .text   ascii   |$Zf
236  0x00005159 0x00405159 4   5    .text   ascii   |$Zf
237  0x0000515e 0x0040515e 4   5    .text   ascii   |$Zf
238  0x0000517d 0x0040517d 7   8    .text   ascii   L$,iL$L
239  0x000051ba 0x004051ba 5   6    .text   ascii   L$Yf9
240  0x00005212 0x00405212 5   6    .text   ascii   D$L-F
241  0x00005362 0x00405362 4   5    .text   ascii   D$X 
242  0x000053c1 0x004053c1 5   7    .text   utf8    1Ҿ/(_ blocks=Basic Latin,Cyrillic
243  0x000053cb 0x004053cb 4   6    .text   utf8    ʉt$4 blocks=IPA Extensions,Basic Latin
244  0x0000541e 0x0040541e 8   10   .text   utf8    D$4)ЋL$0 blocks=Basic Latin,Cyrillic
245  0x0000545f 0x0040545f 4   5    .text   ascii   L$T+
246  0x0000546a 0x0040546a 5   7    .text   utf8    L$PǄ$ blocks=Basic Latin,Latin Extended-B
247  0x00005479 0x00405479 5   7    .text   utf8    T$TǄ$ blocks=Basic Latin,Latin Extended-B
248  0x000054a9 0x004054a9 4   5    .text   ascii   |$Tf
249  0x000054b5 0x004054b5 4   5    .text   ascii   \$Ti
250  0x000054fa 0x004054fa 4   5    .text   ascii   T$<i
251  0x0000550b 0x0040550b 4   6    .text   utf8    ˊT$; blocks=Spacing Modifier Letters,Basic Latin
252  0x0000555e 0x0040555e 8   9    .text   ascii   D$$;D$\v
253  0x0000557b 0x0040557b 5   7    .text   utf8    L$T1҉ blocks=Basic Latin,Cyrillic
254  0x000055d2 0x004055d2 5   7    .text   utf8    T$<)ы blocks=Basic Latin,Cyrillic
255  0x00005683 0x00405683 5   7    .text   utf8    L$<)ȉ blocks=Basic Latin,Latin Extended-B
256  0x0000569e 0x0040569e 4   5    .text   ascii   D$;4
257  0x00005773 0x00405773 4   5    .text   ascii   D$@%
258  0x000057f3 0x004057f3 5   7    .text   utf8    |$PǄ$ blocks=Basic Latin,Latin Extended-B
259  0x0000583f 0x0040583f 4   6    .text   utf8    ҋ|$H blocks=Cyrillic,Basic Latin
260  0x00005859 0x00405859 4   5    .text   ascii   ^_[]
261  0x000058d3 0x004058d3 8   10   .text   utf8    L$@)ȋL$< blocks=Basic Latin,Latin Extended-B
262  0x00005970 0x00405970 4   5    .text   ascii   ^_[]
263  0x00005991 0x00405991 4   6    .text   utf8    Ӌt$H blocks=Cyrillic,Basic Latin
264  0x0000599a 0x0040599a 4   5    .text   ascii   |$6f
265  0x000059df 0x004059df 4   6    .text   utf8    ЋT$  blocks=Cyrillic,Basic Latin
266  0x000059ed 0x004059ed 4   6    .text   utf8    T$$)
267  0x00005a5f 0x00405a5f 4   5    .text   ascii   L$L9
268  0x00005a79 0x00405a79 4   5    .text   ascii   L$6f
269  0x00005ae4 0x00405ae4 4   5    .text   ascii   |$\f
270  0x00005b22 0x00405b22 4   6    .text   utf8    ʋD$P blocks=IPA Extensions,Basic Latin
271  0x00005bc0 0x00405bc0 5   6    .text   ascii   )D$`f
272  0x00005bd5 0x00405bd5 4   5    .text   ascii   T$(f
273  0x00005bed 0x00405bed 4   5    .text   ascii   ^_[]
274  0x00005c67 0x00405c67 5   7    .text   utf8    T$|Ǆ$ blocks=Basic Latin,Latin Extended-B
275  0x00005c96 0x00405c96 4   6    .text   utf8    1\tD$
276  0x00005cad 0x00405cad 4   6    .text   utf8    ʋL$4 blocks=IPA Extensions,Basic Latin
277  0x00005cd6 0x00405cd6 4   5    .text   ascii   0##(
278  0x00005d3f 0x00405d3f 4   5    .text   ascii   |$tf
279  0x00005d44 0x00405d44 4   5    .text   ascii   D$&f
280  0x00005d6e 0x00405d6e 4   5    .text   ascii   (D$`
281  0x00005d94 0x00405d94 4   5    .text   ascii   L$<f
282  0x00005d99 0x00405d99 4   5    .text   ascii   t$&f
283  0x00005dd8 0x00405dd8 4   5    .text   ascii   D$@8
284  0x00005de9 0x00405de9 6   8    .text   utf8    D$<fǄ$ blocks=Basic Latin,Latin Extended-B
285  0x00005dfb 0x00405dfb 4   5    .text   ascii   L$xf
286  0x00005e00 0x00405e00 4   5    .text   ascii   T$&f
287  0x00005e12 0x00405e12 7   9    .text   utf8    oD$@fǄ$ blocks=Basic Latin,Latin Extended-B
288  0x00005e23 0x00405e23 4   5    .text   ascii   D$`=
289  0x00005e4c 0x00405e4c 4   5    .text   ascii   D$4\b
290  0x00005e88 0x00405e88 4   6    .text   utf8    ̋L$\f blocks=Combining Diacritical Marks,Basic Latin
291  0x00005e93 0x00405e93 5   7    .text   utf8    1ҋt$\b blocks=Basic Latin,Cyrillic
