Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
77   0x00002a6e 0x00402a6e 4   5    .text   ascii   =t n
78   0x00002ad7 0x00402ad7 4   5    .text   ascii   PgN,
79   0x00002bee 0x00402bee 5   6    .text   ascii   ^I*\e\f
80   0x00002c1b 0x00402c1b 4   6    .text   utf8    ƝFmf blocks=Latin Extended-B,Basic Latin
81   0x00002c79 0x00402c79 4   6    .text   utf8    fkځS blocks=Basic Latin,Arabic
82   0x00002caa 0x00402caa 4   5    .text   ascii   O\t[$
83   0x00002d19 0x00402d19 4   6    .text   utf8    dؖ!3 blocks=Basic Latin,Arabic
84   0x00002d21 0x00402d21 4   6    .text   utf8    rKބ\r blocks=Basic Latin,Thaana
85   0x00002d7a 0x00402d7a 5   7    .text   utf8    &Ӑj2l blocks=Basic Latin,Cyrillic
86   0x00002db1 0x00402db1 4   5    .text   ascii   Z\bxY
87   0x00002dd6 0x00402dd6 5   6    .text   ascii   5k no
88   0x00002dfb 0x00402dfb 4   5    .text   ascii   Slq\
89   0x00002ec2 0x00402ec2 4   5    .text   ascii   2qb^
90   0x00002f0e 0x00402f0e 4   5    .text   ascii   CoZM
91   0x00002f4b 0x00402f4b 4   5    .text   ascii   -\b1z
92   0x00002f73 0x00402f73 4   5    .text   ascii   n\n\rE
93   0x00002f80 0x00402f80 4   6    .text   utf8    Kp8֤ blocks=Basic Latin,Hebrew
94   0x00002f9f 0x00402f9f 5   6    .text   ascii   \nLR-p
95   0x00002fca 0x00402fca 4   5    .text   ascii   EPjM
96   0x00002fd9 0x00402fd9 4   5    .text   ascii   QPpE
97   0x000030b1 0x004030b1 5   6    .text   ascii   p7X-\
98   0x000030c2 0x004030c2 5   7    .text   utf8    !I^Mӄ blocks=Basic Latin,Cyrillic
99   0x000030e8 0x004030e8 5   8    .text   utf8    5\rޓvӺ blocks=Basic Latin,Thaana,Cyrillic
100  0x00003198 0x00403198 4   5    .text   ascii   Y8=Z
101  0x000032f0 0x004032f0 4   6    .text   utf8    'N}Ջ blocks=Basic Latin,Armenian
102  0x000033f8 0x004033f8 4   5    .text   ascii   \&sZ
103  0x0000343b 0x0040343b 4   7    .text   utf8    IۦgO blocks=Basic Latin,Arabic
104  0x00003467 0x00403467 4   6    .text   utf8    K!:\v
105  0x0000348d 0x0040348d 4   6    .text   utf8    ̐lNo blocks=Combining Diacritical Marks,Basic Latin
106  0x00003520 0x00403520 4   5    .text   ascii   \e\tE\a
107  0x00003595 0x00403595 5   6    .text   ascii   \b{v\fz
108  0x000035f3 0x004035f3 4   5    .text   ascii   2T?P
109  0x00003614 0x00403614 4   6    .text   utf8    o~Vܐ blocks=Basic Latin,Syriac
110  0x0000363e 0x0040363e 4   5    .text   ascii   &L\t_
111  0x000036d7 0x004036d7 5   6    .text   ascii    wy8\v
112  0x000036eb 0x004036eb 4   6    .text   utf8    +&8ܐ blocks=Basic Latin,Syriac
113  0x000036fa 0x004036fa 4   5    .text   ascii   :&)x
114  0x00003730 0x00403730 4   8    .text   utf8    ⧹Sت\f blocks=Miscellaneous Mathematical Symbols-B,Basic Latin,Arabic
115  0x0000381b 0x0040381b 4   7    .text   utf8    ´ڨ|\n blocks=Latin-1 Supplement,Arabic,Basic Latin
116  0x0000387c 0x0040387c 5   8    .text   utf8    <㐴`5C blocks=Basic Latin,CJK Unified Ideographs Extension A
117  0x000038ec 0x004038ec 4   5    .text   ascii   CZTp
118  0x00003986 0x00403986 4   5    .text   ascii   Y6ZJ
119  0x000039b2 0x004039b2 4   6    .text   utf8    ̦O9: blocks=Combining Diacritical Marks,Basic Latin
120  0x00003a07 0x00403a07 6   8    .text   utf8    l̐tYK^ blocks=Basic Latin,Combining Diacritical Marks
121  0x00003a45 0x00403a45 4   5    .text   ascii   t{8Z
122  0x00003a7a 0x00403a7a 5   7    .text   utf8    H*l~P
123  0x00003a81 0x00403a81 4   5    .text   ascii   O}\\b
124  0x00003af5 0x00403af5 4   5    .text   ascii   AW+%
125  0x00003b94 0x00403b94 4   5    .text   ascii   \bWL)
126  0x00003bec 0x00403bec 4   5    .text   ascii   V,9@
127  0x00003d18 0x00403d18 5   6    .text   ascii   uQe\a.
128  0x00003d76 0x00403d76 4   5    .text   ascii   ,d}R
129  0x00003dd5 0x00403dd5 4   5    .text   ascii   %r'\a
130  0x00003e54 0x00403e54 4   5    .text   ascii   =JYn
131  0x00003eb0 0x00403eb0 6   8    .text   utf8    F̴YK90 blocks=Basic Latin,Combining Diacritical Marks
132  0x00003ef8 0x00403ef8 5   8    .text   utf8    荐ub@\n blocks=CJK Unified Ideographs,Basic Latin
133  0x00003f9f 0x00403f9f 6   7    .text   ascii   lxZQk\r
134  0x00004032 0x00404032 4   5    .text   ascii   xW&k
135  0x0000408f 0x0040408f 5   6    .text   ascii   S0>|_
136  0x00004126 0x00404126 4   5    .text   ascii   /BQO
137  0x00004142 0x00404142 5   6    .text   ascii   \n}odK
138  0x0000414e 0x0040414e 4   6    .text   utf8    ϰ,lc blocks=Greek and Coptic,Basic Latin
139  0x00004163 0x00404163 5   7    .text   utf8    \aU˟kC blocks=Basic Latin,Spacing Modifier Letters
140  0x000041c4 0x004041c4 4   5    .text   ascii   ]s8 
141  0x000041fb 0x004041fb 4   8    .text   utf8    L-5Z
142  0x00004207 0x00404207 4   5    .text   ascii   :d<q
143  0x00004275 0x00404275 4   6    .text   utf8    ~НrV blocks=Basic Latin,Cyrillic
144  0x00004320 0x00404320 4   5    .text   ascii   }\bVl
145  0x0000437f 0x0040437f 4   5    .text   ascii   uWY8
146  0x000043d0 0x004043d0 4   6    .text   utf8    I\n\rĊ blocks=Basic Latin,Latin Extended-A
147  0x000043f6 0x004043f6 4   7    .text   utf8    vךkކ blocks=Basic Latin,Hebrew,Thaana
148  0x00004434 0x00404434 5   7    .text   utf8    iЯ4_. blocks=Basic Latin,Cyrillic
149  0x00004445 0x00404445 4   5    .text   ascii   TcV\t
150  0x0000444b 0x0040444b 4   5    .text   ascii   t1\r 
151  0x000044be 0x004044be 4   7    .text   utf8    ?c;萆 blocks=Basic Latin,CJK Unified Ideographs
152  0x00004591 0x00404591 4   6    .text   utf8    ȞPI& blocks=Latin Extended-B,Basic Latin
153  0x000045ce 0x004045ce 7   9    .text   utf8    i<\e|]uӋ blocks=Basic Latin,Cyrillic
154  0x000045e1 0x004045e1 5   6    .text   ascii   -h\t\n~
155  0x00004608 0x00404608 5   7    .text   utf8    -EGd̋ blocks=Basic Latin,Combining Diacritical Marks
156  0x0000462b 0x0040462b 6   8    .text   utf8    Q]^\nެ[ blocks=Basic Latin,Thaana
157  0x0000465c 0x0040465c 5   6    .text   ascii   =WBWY
158  0x0000469a 0x0040469a 6   9    .text   utf8    s]j˒X̣ blocks=Basic Latin,Spacing Modifier Letters,Combining Diacritical Marks
159  0x000046b0 0x004046b0 4   6    .text   utf8    ŏ3Mp blocks=Latin Extended-A,Basic Latin
160  0x000046be 0x004046be 4   5    .text   ascii   s[+_
161  0x00004700 0x00404700 4   5    .text   ascii   qPuD
162  0x00004709 0x00404709 5   6    .text   ascii   Y:d$^
163  0x00004781 0x00404781 4   6    .text   utf8    f@̍- blocks=Basic Latin,Combining Diacritical Marks
164  0x00004819 0x00404819 4   5    .text   ascii   xLlM
165  0x00004883 0x00404883 4   5    .text   ascii   +fA\
166  0x000048b4 0x004048b4 4   5    .text   ascii   N2\n/
167  0x000048dc 0x004048dc 4   5    .text   ascii   OBE.
168  0x000048f9 0x004048f9 4   6    .text   utf8    G\fֵI blocks=Basic Latin,Hebrew
169  0x000049e3 0x004049e3 4   6    .text   utf8    ̴>t\r blocks=Combining Diacritical Marks,Basic Latin
170  0x000049f8 0x004049f8 4   7    .text   utf8    ̍̐M] blocks=Combining Diacritical Marks,Basic Latin
171  0x00004a83 0x00404a83 5   8    .text   utf8    h괣@"  blocks=Basic Latin,Hangul Syllables
172  0x00004af8 0x00404af8 6   7    .text   ascii   HYF\PM
173  0x00004b22 0x00404b22 4   5    .text   ascii   6rji
174  0x00004ba9 0x00404ba9 4   6    .text   utf8    ulϳ\v blocks=Basic Latin,Greek and Coptic
175  0x00004c00 0x00404c00 4   5    .text   ascii   ;j]T
176  0x00004ca8 0x00404ca8 4   5    .text   ascii   4\f03
177  0x00004ccb 0x00404ccb 5   7    .text   utf8    +<Ӕ}x blocks=Basic Latin,Cyrillic
178  0x00004d30 0x00404d30 4   5    .text   ascii   O%r5
179  0x00004d35 0x00404d35 4   5    .text   ascii   b\vy*
180  0x00004e19 0x00404e19 4   5    .text   ascii   P7CE
