[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1     0x000000e0 0x000000e0 6   7            ascii   RichW\v
2     0x000001f0 0x000001f0 5   6            ascii   .text
3     0x00000217 0x00000217 7   8            ascii   `.rdata
4     0x0000023f 0x0000023f 6   7            ascii   @.data
5     0x00000268 0x00000268 5   6            ascii   .rsrc
6     0x0000028f 0x0000028f 7   8            ascii   @.reloc
7     0x000004a3 0x004010a3 4   5    .text   ascii   UVWj
8     0x000004db 0x004010db 4   6    .text   utf8    3\tl$
9     0x000004e9 0x004010e9 4   5    .text   ascii   jdPS
10    0x00000516 0x00401116 4   5    .text   ascii   D$\f=
11    0x00000526 0x00401126 4   5    .text   ascii   D$\fP
12    0x000005a9 0x004011a9 4   5    .text   ascii   @PWj
13    0x000005c2 0x004011c2 5   6    .text   ascii   f9(t\b
14    0x0000060a 0x0040120a 4   5    .text   ascii   PQVR
15    0x00000676 0x00401276 9   11   .text   utf8    3ĉD$0SUVW blocks=Basic Latin,Latin Extended-A
16    0x00000689 0x00401289 4   5    .text   ascii   D$Hd
17    0x00000693 0x00401293 4   5    .text   ascii   l$Xj
18    0x000006e0 0x004012e0 4   5    .text   ascii   D$<\a
19    0x00000703 0x00401303 4   6    .text   utf8    Ǎt$, blocks=Latin Extended-B,Basic Latin
20    0x00000714 0x00401314 4   5    .text   ascii   |$<\b
21    0x00000719 0x00401319 4   5    .text   ascii   D$(s
22    0x0000071f 0x0040131f 6   7    .text   ascii   D$(VVj
23    0x00000746 0x00401346 5   6    .text   ascii   L$ QS
24    0x00000788 0x00401388 4   5    .text   ascii   RPWS
25    0x000007a8 0x004013a8 4   5    .text   ascii   QPWR
26    0x000007c8 0x004013c8 4   5    .text   ascii   PQWS
27    0x000007fc 0x004013fc 6   7    .text   ascii   |$<\br\r
28    0x00000803 0x00401403 4   5    .text   ascii   T$(R
29    0x00000810 0x00401410 4   5    .text   ascii   D$$P
30    0x0000081c 0x0040141c 4   5    .text   ascii   9D$ 
31    0x00000822 0x00401422 5   7    .text   utf8    \vL$Hd
32    0x0000082e 0x0040142e 5   6    .text   ascii   Y_^][
33    0x00000834 0x00401434 4   5    .text   ascii   L$03
34    0x000008c3 0x004014c3 4   5    .text   ascii   l$\fV
35    0x000008d1 0x004014d1 6   7    .text   ascii   s\nh<3F
36    0x0000090c 0x0040150c 6   7    .text   ascii   v\nhT3F
37    0x000009c2 0x004015c2 4   5    .text   ascii   l$\bW
38    0x00000a19 0x00401619 6   7    .text   ascii   v\nhT3F
39    0x00000ab8 0x004016b8 6   7    .text   ascii   s\nh<3F
40    0x00000b04 0x00401704 4   6    .text   utf8    \f+ǃ~ blocks=Basic Latin,Latin Extended-B
41    0x00000b32 0x00401732 4   5    .text   ascii   l$\bV
42    0x00000b3e 0x0040173e 6   7    .text   ascii   v\nhT3F
43    0x00000b72 0x00401772 4   5    .text   ascii   \bsLW
44    0x00000b8c 0x0040178c 5   6    .text   ascii   \f?QSV
45    0x00000ba2 0x004017a2 4   6    .text   utf8    [3҉~ blocks=Basic Latin,Cyrillic
46    0x00000d25 0x00401925 4   5    .text   ascii   Y_^[
47    0x00000d9c 0x0040199c 4   5    .text   ascii   T$\bR
48    0x00000da1 0x004019a1 4   5    .text   ascii   D$\fT
49    0x00000ebb 0x00401abb 7   8    .text   ascii   Vt9nlr\f
50    0x00000ece 0x00401ace 4   6    .text   utf8    3ɉ^l blocks=Basic Latin,Latin Extended-B
51    0x00000ed8 0x00401ad8 7   8    .text   ascii   NX9nPr\f
52    0x00000eeb 0x00401aeb 4   6    .text   utf8    3\t^P
53    0x00000ef5 0x00401af5 7   8    .text   ascii   F<9n4r\f
54    0x00000f08 0x00401b08 4   6    .text   utf8    3҉^4 blocks=Basic Latin,Cyrillic
55    0x00000f12 0x00401b12 4   5    .text   ascii   V 9n
