Metadata Signature: 0x5248 0x10001424a5342 12
.NET Version: v4.0.30319
Number of Metadata Streams: 5
DirectoryAddress: 6c Size: 1580
Stream name: #~ 4
DirectoryAddress: 15ec Size: 1920
Stream name: #Strings 12
DirectoryAddress: 2f0c Size: c10
Stream name: #US 4
DirectoryAddress: 3b1c Size: 10
Stream name: #GUID 8
DirectoryAddress: 3b2c Size: 93c
Stream name: #Blob 8
[Strings]
nth paddr      vaddr      len size section type    string
88  0x00004310 0x00406110 5   6    .text   ascii   \r\ar#\n
89  0x00004321 0x00406121 4   5    .text   ascii   \nr5\n
90  0x00004381 0x00406181 4   5    .text   ascii   \r\a\to
91  0x000043ce 0x004061ce 4   5    .text   ascii   \b*\e0
92  0x00004401 0x00406201 4   5    .text   ascii   \n\f\bo
93  0x0000442d 0x0040622d 4   5    .text   ascii   \nr5\n
94  0x00004437 0x00406237 4   5    .text   ascii   \n\n+I
95  0x00004446 0x00406246 4   5    .text   ascii   \nr5\n
96  0x00004450 0x00406250 4   5    .text   ascii   \n\n+0
97  0x0000445f 0x0040625f 4   5    .text   ascii   \nr5\n
98  0x00004478 0x00406278 4   5    .text   ascii   \nr5\n
99  0x00004482 0x00406282 4   5    .text   ascii   \n\n\to
100 0x0000453d 0x0040633d 4   5    .text   ascii   \n\v(,
101 0x00004634 0x00406434 4   5    .text   ascii   , \b\t
102 0x000047c8 0x004065c8 4   5    .text   ascii   \nr'\v
103 0x000047cd 0x004065cd 4   5    .text   ascii   p\n(,
104 0x00004862 0x00406662 4   5    .text   ascii   \a*\e0
105 0x00004880 0x00406680 4   5    .text   ascii   \n\v(,
106 0x000048b2 0x004066b2 4   5    .text   ascii   \er?\v
107 0x00004906 0x00406706 4   5    .text   ascii   \nrM\v
108 0x0000494a 0x0040674a 4   5    .text   ascii   \a*\e0
109 0x00004a51 0x00406851 4   5    .text   ascii   \n\v\ao
110 0x00004a6a 0x0040686a 4   5    .text   ascii   \e%(+
111 0x00004a76 0x00406876 4   5    .text   ascii   p\n(,
112 0x00004aba 0x004068ba 4   5    .text   ascii   3\nr;
113 0x00004ac3 0x004068c3 5   6    .text   ascii   '+\br#
114 0x00004acf 0x004068cf 4   5    .text   ascii   \e%(+
115 0x00004adb 0x004068db 4   5    .text   ascii   p\n(,
116 0x00004b10 0x00406910 5   6    .text   ascii   \n\v\at{
117 0x00004b49 0x00406949 7   8    .text   ascii   \n\f\b,\nr;
118 0x00004b55 0x00406955 5   6    .text   ascii   (+\br#
119 0x00004b6e 0x0040696e 4   5    .text   ascii   p\n(,
120 0x00004ba5 0x004069a5 4   5    .text   ascii   \nr}\v
121 0x00004bbf 0x004069bf 4   5    .text   ascii   \n\f\ao
122 0x00004bd6 0x004069d6 5   6    .text   ascii   \n\r\b\tr
123 0x00004bed 0x004069ed 4   5    .text   ascii   \n&\br
124 0x00004c59 0x00406a59 4   5    .text   ascii   p\n(,
125 0x00004cb6 0x00406ab6 5   6    .text   ascii   \a*b~\r
126 0x00004cfb 0x00406afb 4   5    .text   ascii   \n\ns\a
127 0x00004d0f 0x00406b0f 4   5    .text   ascii   \f\a\b\t
128 0x00004d61 0x00406b61 4   5    .text   ascii   $%(+
129 0x00004e52 0x00406c52 5   6    .text   ascii   \n*\e0\b
130 0x00004ef4 0x00406cf4 4   5    .text   ascii   \n\a%-
131 0x00004efb 0x00406cfb 5   6    .text   ascii   \e+\nyK
132 0x00004f23 0x00406d23 4   5    .text   ascii   +\nyA
133 0x0000522a 0x0040702a 4   5    .text   ascii   \n\r(,
134 0x00005248 0x00407048 4   5    .text   ascii   BSJB
135 0x00005258 0x00407058 10  11   .text   ascii   v4.0.30319
136 0x0000527c 0x0040707c 8   9    .text   ascii   #Strings
137 0x0000529c 0x0040709c 5   6    .text   ascii   #GUID
138 0x000052ac 0x004070ac 5   6    .text   ascii   #Blob
139 0x000052d8 0x004070d8 5   24   .text   utf32le $SGĢ5 blocks=Basic Latin,Latin Extended-A
140 0x000053b0 0x004071b0 5   6    .text   ascii   T\b-\b\n
141 0x000053da 0x004071da 4   5    .text   ascii   k\tL\t
142 0x00005750 0x00407550 4   9    .text   utf16le \r$O1
143 0x000063f8 0x004081f8 4   5    .text   ascii   "\tb\a
144 0x000064b3 0x004082b3 4   5    .text   ascii   \f(\b\t
145 0x000066be 0x004084be 10  11   .text   ascii   \r\a'\a7\a>\ag\a
146 0x000066d3 0x004084d3 5   6    .text   ascii   \a\a\b/\b
147 0x00006835 0x00408635 8   9    .text   ascii   <Module>
148 0x0000683e 0x0040863e 8   9    .text   ascii   mscorlib
149 0x00006847 0x00408647 21  22   .text   ascii   Microsoft.VisualBasic
150 0x0000685d 0x0040865d 13  14   .text   ascii   MyApplication
151 0x0000686e 0x0040866e 10  11   .text   ascii   MyComputer
152 0x00006879 0x00408679 9   10   .text   ascii   MyProject
153 0x00006883 0x00408683 13  14   .text   ascii   MyWebServices
154 0x00006891 0x00408691 26  27   .text   ascii   ThreadSafeObjectProvider`1
155 0x000068ac 0x004086ac 8   9    .text   ascii   Settings
156 0x000068b5 0x004086b5 4   5    .text   ascii   Stub
157 0x000068ba 0x004086ba 4   5    .text   ascii   Main
158 0x000068bf 0x004086bf 12  13   .text   ascii   ClientSocket
159 0x000068cc 0x004086cc 8   9    .text   ascii   Messages
160 0x000068d5 0x004086d5 6   7    .text   ascii   Helper
161 0x000068dc 0x004086dc 13  14   .text   ascii   RemoteDesktop
162 0x000068ea 0x004086ea 24  25   .text   ascii   AppendOutputTextDelegate
163 0x00006903 0x00408703 41  42   .text   ascii   Microsoft.VisualBasic.ApplicationServices
164 0x0000692d 0x0040872d 15  16   .text   ascii   ApplicationBase
165 0x0000693d 0x0040873d 5   6    .text   ascii   .ctor
166 0x00006943 0x00408743 29  30   .text   ascii   Microsoft.VisualBasic.Devices
167 0x00006961 0x00408761 8   9    .text   ascii   Computer
168 0x0000696a 0x0040876a 6   7    .text   ascii   System
169 0x00006971 0x00408771 6   7    .text   ascii   Object
170 0x00006978 0x00408778 6   7    .text   ascii   .cctor
171 0x0000697f 0x0040877f 12  13   .text   ascii   get_Computer
172 0x0000698c 0x0040878c 24  25   .text   ascii   m_ComputerObjectProvider
173 0x000069a5 0x004087a5 15  16   .text   ascii   get_Application
174 0x000069b5 0x004087b5 19  20   .text   ascii   m_AppObjectProvider
175 0x000069c9 0x004087c9 4   5    .text   ascii   User
176 0x000069ce 0x004087ce 8   9    .text   ascii   get_User
177 0x000069d7 0x004087d7 20  21   .text   ascii   m_UserObjectProvider
178 0x000069ec 0x004087ec 15  16   .text   ascii   get_WebServices
179 0x000069fc 0x004087fc 29  30   .text   ascii   m_MyWebServicesObjectProvider
180 0x00006a1a 0x0040881a 11  12   .text   ascii   Application
181 0x00006a26 0x00408826 11  12   .text   ascii   WebServices
182 0x00006a32 0x00408832 6   7    .text   ascii   Equals
183 0x00006a3b 0x0040883b 11  12   .text   ascii   GetHashCode
184 0x00006a47 0x00408847 4   5    .text   ascii   Type
185 0x00006a4c 0x0040884c 7   8    .text   ascii   GetType
186 0x00006a54 0x00408854 8   9    .text   ascii   ToString
187 0x00006a5d 0x0040885d 18  19   .text   ascii   Create__Instance__
188 0x00006a72 0x00408872 8   9    .text   ascii   instance
189 0x00006a7b 0x0040887b 19  20   .text   ascii   Dispose__Instance__
190 0x00006a8f 0x0040888f 15  16   .text   ascii   get_GetInstance
191 0x00006a9f 0x0040889f 19  20   .text   ascii   m_ThreadStaticValue
192 0x00006ab3 0x004088b3 11  12   .text   ascii   GetInstance
193 0x00006abf 0x004088bf 4   5    .text   ascii   Host
194 0x00006ac4 0x004088c4 4   5    .text   ascii   Port
195 0x00006ac9 0x004088c9 8   9    .text   ascii   uploader
196 0x00006ad2 0x004088d2 6   7    .text   ascii   nameee
197 0x00006ae1 0x004088e1 6   7    .text   ascii   Mutexx
198 0x00006ae8 0x004088e8 16  17   .text   ascii   System.Threading
199 0x00006af9 0x004088f9 5   6    .text   ascii   Mutex
200 0x00006aff 0x004088ff 9   10   .text   ascii   _appMutex
201 0x00006b09 0x00408909 4   5    .text   ascii   usbC
202 0x00006b0e 0x0040890e 5   6    .text   ascii   path2
203 0x00006b14 0x00408914 13  14   .text   ascii   System.Timers
204 0x00006b22 0x00408922 5   6    .text   ascii   Timer
205 0x00006b28 0x00408928 7   8    .text   ascii   dTimer2
206 0x00006b30 0x00408930 7   8    .text   ascii   doshost
207 0x00006b38 0x00408938 7   8    .text   ascii   dosport
208 0x00006b40 0x00408940 7   8    .text   ascii   dostype
209 0x00006b48 0x00408948 6   7    .text   ascii   dosstu
210 0x00006b4f 0x0040894f 11  12   .text   ascii   isConnected
211 0x00006b5b 0x0040895b 18  19   .text   ascii   System.Net.Sockets
212 0x00006b6e 0x0040896e 6   7    .text   ascii   Socket
213 0x00006b77 0x00408977 12  13   .text   ascii   BufferLength
214 0x00006b84 0x00408984 6   7    .text   ascii   Buffer
215 0x00006b8b 0x0040898b 9   10   .text   ascii   System.IO
216 0x00006b95 0x00408995 12  13   .text   ascii   MemoryStream
217 0x00006ba5 0x004089a5 12  13   .text   ascii   BeginConnect
218 0x00006bb2 0x004089b2 4   5    .text   ascii   Info
219 0x00006bb7 0x004089b7 12  13   .text   ascii   IAsyncResult
220 0x00006bc4 0x004089c4 12  13   .text   ascii   BeginReceive
221 0x00006bd4 0x004089d4 9   10   .text   ascii   BeginRead
222 0x00006be0 0x004089e0 4   5    .text   ascii   Send
223 0x00006be9 0x004089e9 7   8    .text   ascii   EndSend
224 0x00006bf1 0x004089f1 14  15   .text   ascii   isDisconnected
225 0x00006c00 0x00408a00 4   5    .text   ascii   Ping
226 0x00006c05 0x00408a05 18  19   .text   ascii   System.Diagnostics
227 0x00006c18 0x00408a18 7   8    .text   ascii   Process
228 0x00006c20 0x00408a20 10  11   .text   ascii   _MyProcess
229 0x00006c2b 0x00408a2b 13  14   .text   ascii   get_MyProcess
230 0x00006c39 0x00408a39 13  14   .text   ascii   set_MyProcess
231 0x00006c47 0x00408a47 15  16   .text   ascii   WithEventsValue
232 0x00006c57 0x00408a57 9   10   .text   ascii   processid
233 0x00006c61 0x00408a61 16  17   .text   ascii   AppendOutputText
234 0x00006c72 0x00408a72 4   5    .text   ascii   text
235 0x00006c77 0x00408a77 21  22   .text   ascii   DataReceivedEventArgs
236 0x00006c8d 0x00408a8d 27  28   .text   ascii   MyProcess_ErrorDataReceived
237 0x00006ca9 0x00408aa9 6   7    .text   ascii   sender
238 0x00006cb2 0x00408ab2 28  29   .text   ascii   MyProcess_OutputDataReceived
239 0x00006ccf 0x00408acf 4   5    .text   ascii   Read
240 0x00006cd4 0x00408ad4 11  12   .text   ascii   mouse_event
241 0x00006ce0 0x00408ae0 7   8    .text   ascii   dwFlags
242 0x00006cee 0x00408aee 8   9    .text   ascii   cButtons
243 0x00006cf7 0x00408af7 11  12   .text   ascii   dwExtraInfo
244 0x00006d03 0x00408b03 6   7    .text   ascii   user32
245 0x00006d0a 0x00408b0a 11  12   .text   ascii   keybd_event
246 0x00006d1a 0x00408b1a 5   6    .text   ascii   bScan
247 0x00006d20 0x00408b20 14  15   .text   ascii   System.Drawing
248 0x00006d2f 0x00408b2f 6   7    .text   ascii   Bitmap
249 0x00006d36 0x00408b36 8   9    .text   ascii   compress
250 0x00006d3f 0x00408b3f 4   5    .text   ascii   imgg
251 0x00006d46 0x00408b46 5   6    .text   ascii   ngrok
252 0x00006d56 0x00408b56 7   8    .text   ascii   STOBS64
253 0x00006d60 0x00408b60 23  24   .text   ascii   capCreateCaptureWindowA
254 0x00006d78 0x00408b78 14  15   .text   ascii   lpszWindowName
255 0x00006d87 0x00408b87 7   8    .text   ascii   dwStyle
256 0x00006d93 0x00408b93 6   7    .text   ascii   nWidth
257 0x00006d9a 0x00408b9a 7   8    .text   ascii   nHeight
258 0x00006da2 0x00408ba2 10  11   .text   ascii   hwndParent
259 0x00006db1 0x00408bb1 6   7    .text   ascii   Handle
260 0x00006db8 0x00408bb8 24  25   .text   ascii   capGetDriverDescriptionA
261 0x00006dd1 0x00408bd1 7   8    .text   ascii   wDriver
262 0x00006dd9 0x00408bd9 8   9    .text   ascii   lpszName
263 0x00006de2 0x00408be2 6   7    .text   ascii   cbName
264 0x00006de9 0x00408be9 7   8    .text   ascii   lpszVer
265 0x00006df1 0x00408bf1 5   6    .text   ascii   cbVer
266 0x00006dfb 0x00408bfb 4   5    .text   ascii   Net3
267 0x00006e00 0x00408c00 10  11   .text   ascii   getFolders
268 0x00006e0b 0x00408c0b 8   9    .text   ascii   location
269 0x00006e14 0x00408c14 8   9    .text   ascii   getFiles
270 0x00006e1d 0x00408c1d 9   10   .text   ascii   getDrives
271 0x00006e27 0x00408c27 8   9    .text   ascii   Download
272 0x00006e30 0x00408c30 4   5    .text   ascii   Name
273 0x00006e35 0x00408c35 4   5    .text   ascii   Data
274 0x00006e3a 0x00408c3a 9   10   .text   ascii   MyProcess
275 0x00006e4d 0x00408c4d 8   9    .text   ascii   GetHashT
276 0x00006e56 0x00408c56 9   10   .text   ascii   strToHash
277 0x00006e60 0x00408c60 10  11   .text   ascii   frombase64
278 0x00006e6b 0x00408c6b 4   5    .text   ascii   bs64
279 0x00006e70 0x00408c70 4   5    .text   ascii   objj
280 0x00006e79 0x00408c79 6   7    .text   ascii   Plugin
281 0x00006e82 0x00408c82 13  14   .text   ascii   AES_Encryptor
282 0x00006e90 0x00408c90 5   6    .text   ascii   input
283 0x00006e96 0x00408c96 13  14   .text   ascii   AES_Decryptor
284 0x00006ea4 0x00408ca4 6   7    .text   ascii   INDATE
285 0x00006eab 0x00408cab 4   5    .text   ascii   usbp
286 0x00006eb0 0x00408cb0 5   6    .text   ascii   admin
287 0x00006eb6 0x00408cb6 9   10   .text   ascii   Antivirus
288 0x00006ec0 0x00408cc0 11  12   .text   ascii   CreateMutex
289 0x00006ecc 0x00408ccc 10  11   .text   ascii   CloseMutex
290 0x00006ed7 0x00408cd7 16  17   .text   ascii   ElapsedEventArgs
291 0x00006ee8 0x00408ce8 7   8    .text   ascii   tickees
292 0x00006ef0 0x00408cf0 7   8    .text   ascii   Capture
293 0x00006eff 0x00408cff 22  23   .text   ascii   System.Drawing.Imaging
294 0x00006f16 0x00408d16 14  15   .text   ascii   ImageCodecInfo
295 0x00006f25 0x00408d25 11  12   .text   ascii   ImageFormat
296 0x00006f31 0x00408d31 14  15   .text   ascii   GetEncoderInfo
297 0x00006f40 0x00408d40 6   7    .text   ascii   format
298 0x00006f47 0x00408d47 17  18   .text   ascii   MulticastDelegate
299 0x00006f59 0x00408d59 12  13   .text   ascii   TargetObject
300 0x00006f66 0x00408d66 12  13   .text   ascii   TargetMethod
301 0x00006f73 0x00408d73 13  14   .text   ascii   AsyncCallback
302 0x00006f81 0x00408d81 11  12   .text   ascii   BeginInvoke
303 0x00006f8d 0x00408d8d 16  17   .text   ascii   DelegateCallback
304 0x00006f9e 0x00408d9e 18  19   .text   ascii   DelegateAsyncState
305 0x00006fb1 0x00408db1 9   10   .text   ascii   EndInvoke
