[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
82   0x000060ee 0x10006cee 4   5    .text   ascii   t>>7
83   0x00006131 0x10006d31 5   6    .text   ascii   ?\fTt\n
84   0x000061a1 0x10006da1 4   6    .text   utf8    <tқD blocks=Basic Latin,Cyrillic
85   0x000061d5 0x10006dd5 4   6    .text   utf8    2t҃D blocks=Basic Latin,Cyrillic
86   0x00006210 0x10006e10 5   6    .text   ascii   \b/t\av
87   0x00006249 0x10006e49 4   6    .text   utf8    1vʃD blocks=Basic Latin,IPA Extensions
88   0x00006259 0x10006e59 4   6    .text   utf8    2\b)v
89   0x00006298 0x10006e98 4   5    .text   ascii   t(t2
90   0x000062cd 0x10006ecd 4   5    .text   ascii   t=t,
91   0x00006305 0x10006f05 4   5    .text   ascii   !\b-t
92   0x0000630f 0x10006f0f 4   5    .text   ascii   .\b/v
93   0x00006320 0x10006f20 5   6    .text   ascii   t1\oD
94   0x000063a1 0x10006fa1 5   6    .text   ascii   2\b*t&
95   0x000063df 0x10006fdf 4   5    .text   ascii   4t8v
96   0x00006419 0x10007019 6   7    .text   ascii   <t\a\?D
97   0x0000642a 0x1000702a 4   5    .text   ascii   4t/t
98   0x0000644e 0x1000704e 4   5    .text   ascii   0\7D
99   0x0000647c 0x1000707c 4   5    .text   ascii   \b*t*
100  0x0000657f 0x1000717f 4   5    .text   ascii   2\b)v
101  0x000065be 0x100071be 5   6    .text   ascii   t(t2v
102  0x0000660b 0x1000720b 5   6    .text   ascii   &t\rt4
103  0x00006649 0x10007249 4   5    .text   ascii   .t1v
104  0x000066c7 0x100072c7 5   6    .text   ascii   2\b*t&
105  0x0000671a 0x1000731a 5   7    .text   utf8    t'tʳC blocks=Basic Latin,Spacing Modifier Letters
106  0x00006732 0x10007332 4   5    .text   ascii   t9\b,
107  0x0000673f 0x1000733f 4   5    .text   ascii   <t\a\
108  0x00006750 0x10007350 4   5    .text   ascii   4t/t
109  0x00006764 0x10007364 4   6    .text   utf8    >tҫC blocks=Basic Latin,Cyrillic
110  0x000067a2 0x100073a2 4   5    .text   ascii   \b*t*
111  0x000067eb 0x100073eb 4   6    .text   utf8    <vҫC blocks=Basic Latin,Cyrillic
112  0x0000681b 0x1000741b 4   6    .text   utf8    8t҃C blocks=Basic Latin,Cyrillic
113  0x00006895 0x10007495 4   6    .text   utf8    1vʃC blocks=Basic Latin,IPA Extensions
114  0x000068a5 0x100074a5 4   6    .text   utf8    2\b)v
115  0x0000690d 0x1000750d 4   5    .text   ascii   <t"\
116  0x00006916 0x10007516 5   6    .text   ascii   &t=t,
117  0x0000693b 0x1000753b 4   5    .text   ascii   &t4v
118  0x00006951 0x10007551 4   5    .text   ascii   !\b/t
119  0x0000695b 0x1000755b 6   7    .text   ascii   >\b-\oC
120  0x00006969 0x10007569 4   5    .text   ascii   .t1v
121  0x000069f7 0x100075f7 5   6    .text   ascii   2\b*t&
122  0x00006a3c 0x1000763c 5   6    .text   ascii   \b*\OC
123  0x00006a65 0x10007665 6   7    .text   ascii   <t\a\?C
124  0x00006a73 0x10007673 4   5    .text   ascii   t7t/
125  0x00006a92 0x10007692 4   5    .text   ascii   5\7C
126  0x00006ac8 0x100076c8 4   5    .text   ascii   \b*t*
127  0x00006b52 0x10007752 4   5    .text   ascii   =\\eC
128  0x00006bcb 0x100077cb 4   5    .text   ascii   2\b)v
129  0x00006c3c 0x1000783c 5   6    .text   ascii   &t=t,
130  0x00006c69 0x10007869 5   6    .text   ascii   2\b/\b-
