[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
3482  0x0002a969 0x0042a969 4   5    .text   ascii   aZ(3
3483  0x0002a970 0x0042a970 5   8    .text   utf8    vl֥Μc blocks=Basic Latin,Hebrew,Greek and Coptic
3484  0x0002a97e 0x0042a97e 5   6    .text   ascii   "g\b=}
3485  0x0002a9cf 0x0042a9cf 6   8    .text   utf8    \evTey4
3486  0x0002aa1e 0x0042aa1e 5   7    .text   utf8    9Oފ\n1 blocks=Basic Latin,Thaana
3487  0x0002aa25 0x0042aa25 4   5    .text   ascii   08WT
3488  0x0002aa41 0x0042aa41 8   9    .text   ascii   ^I*w)\eiz
3489  0x0002aa5d 0x0042aa5d 4   5    .text   ascii   d\f_,
3490  0x0002aa88 0x0042aa88 5   6    .text   ascii   ~{zy/
3491  0x0002aaee 0x0042aaee 4   5    .text   ascii   W<e6
3492  0x0002ab20 0x0042ab20 5   6    .text   ascii   }XH*%
3493  0x0002ab33 0x0042ab33 4   5    .text   ascii   jNu]
3494  0x0002ab5f 0x0042ab5f 4   5    .text   ascii   @\eYr
3495  0x0002ab73 0x0042ab73 4   5    .text   ascii   u4l#
3496  0x0002ab7a 0x0042ab7a 4   5    .text   ascii   i7df
3497  0x0002abe1 0x0042abe1 4   5    .text   ascii   }^Vv
3498  0x0002acdc 0x0042acdc 4   5    .text   ascii   ^r\tc
3499  0x0002ad42 0x0042ad42 7   8    .text   ascii   t<It8\e\f
3500  0x0002ad66 0x0042ad66 5   6    .text   ascii   <_%@T
3501  0x0002ad89 0x0042ad89 5   6    .text   ascii   f\vxH;
3502  0x0002adea 0x0042adea 5   6    .text   ascii   .\n:c
3503  0x0002ae20 0x0042ae20 4   6    .text   utf8    Z{ԥb blocks=Basic Latin,Cyrillic Supplement
3504  0x0002ae42 0x0042ae42 6   9    .text   utf8    ۳)(4ɴ5 blocks=Arabic,Basic Latin,IPA Extensions
3505  0x0002ae7c 0x0042ae7c 4   5    .text   ascii   !P, 
3506  0x0002ae90 0x0042ae90 4   7    .text   utf8    !헨vv blocks=Basic Latin,Hangul Syllables
3507  0x0002aed5 0x0042aed5 5   6    .text   ascii   wQ&o8
3508  0x0002af27 0x0042af27 5   7    .text   utf8    O_-0ړ blocks=Basic Latin,Arabic
3509  0x0002afbd 0x0042afbd 4   5    .text   ascii   ahx,
3510  0x0002afc2 0x0042afc2 4   5    .text   ascii   k\t7`
3511  0x0002b051 0x0042b051 6   7    .text   ascii   RAsc\nu
3512  0x0002b05c 0x0042b05c 4   6    .text   utf8    ޥ?[6 blocks=Thaana,Basic Latin
3513  0x0002b080 0x0042b080 7   9    .text   utf8    &r^oȣWU blocks=Basic Latin,Latin Extended-B
3514  0x0002b099 0x0042b099 4   7    .text   utf8    ֨¶k( blocks=Hebrew,Latin-1 Supplement,Basic Latin
3515  0x0002b0ab 0x0042b0ab 8   9    .text   ascii   Ip:3"gS^
3516  0x0002b0bb 0x0042b0bb 4   5    .text   ascii   24{#
3517  0x0002b160 0x0042b160 5   6    .text   ascii   rB P\v
3518  0x0002b167 0x0042b167 7   8    .text   ascii   VpR\4}5
3519  0x0002b173 0x0042b173 6   7    .text   ascii   f*J_g`
3520  0x0002b17e 0x0042b17e 4   5    .text   ascii   Lw||
3521  0x0002b1bf 0x0042b1bf 6   7    .text   ascii   gu\e<rM
3522  0x0002b1dc 0x0042b1dc 4   5    .text   ascii   \fm@V
3523  0x0002b1e6 0x0042b1e6 4   5    .text   ascii   \ert!
3524  0x0002b1f1 0x0042b1f1 6   7    .text   ascii   [i\b)\b*
3525  0x0002b24f 0x0042b24f 4   7    .text   utf8     䰷~6 blocks=Basic Latin,CJK Unified Ideographs Extension A
3526  0x0002b282 0x0042b282 4   6    .text   utf8    Dƈ\nz blocks=Basic Latin,Latin Extended-B
3527  0x0002b2db 0x0042b2db 4   5    .text   ascii   /I,@
3528  0x0002b2e1 0x0042b2e1 4   7    .text   utf8    :uK blocks=Basic Latin,Private Use Area
3529  0x0002b2f4 0x0042b2f4 5   6    .text   ascii   7;hW\t
3530  0x0002b317 0x0042b317 4   5    .text   ascii   u{2J
3531  0x0002b361 0x0042b361 5   7    .text   utf8    9Oq\tz
3532  0x0002b36c 0x0042b36c 4   5    .text   ascii   \a*xQ
3533  0x0002b378 0x0042b378 4   6    .text   utf8    (Qޫ\e blocks=Basic Latin,Thaana
3534  0x0002b39d 0x0042b39d 4   5    .text   ascii   A$$Z
3535  0x0002b3b8 0x0042b3b8 4   5    .text   ascii   KClG
3536  0x0002b3c2 0x0042b3c2 4   5    .text   ascii   `7p-
3537  0x0002b418 0x0042b418 4   5    .text   ascii   Y\f\W
3538  0x0002b450 0x0042b450 4   5    .text   ascii   Z8`;
3539  0x0002b477 0x0042b477 8   9    .text   ascii   \n^t+zO$n
3540  0x0002b49e 0x0042b49e 5   6    .text   ascii   }M\e]L
3541  0x0002b4a7 0x0042b4a7 4   5    .text   ascii   CG=D
3542  0x0002b4ac 0x0042b4ac 4   5    .text   ascii   ooI\t
3543  0x0002b4b9 0x0042b4b9 5   6    .text   ascii   Cre3!
3544  0x0002b4c4 0x0042b4c4 8   9    .text   ascii   f@u\bnq3"
3545  0x0002b529 0x0042b529 4   7    .text   utf8    Qc\vq
3546  0x0002b563 0x0042b563 6   7    .text   ascii   \vj!*N\
3547  0x0002b5d8 0x0042b5d8 5   6    .text   ascii   ?@~N>
3548  0x0002b633 0x0042b633 5   6    .text   ascii   HSUHM
3549  0x0002b659 0x0042b659 4   6    .text   utf8    O#Ҡ+ blocks=Basic Latin,Cyrillic
3550  0x0002b675 0x0042b675 5   7    .text   utf8    {`NݛG blocks=Basic Latin,Arabic Supplement
3551  0x0002b691 0x0042b691 5   6    .text   ascii   )iA'F
3552  0x0002b6dc 0x0042b6dc 4   5    .text   ascii   \iXq
3553  0x0002b6e5 0x0042b6e5 4   5    .text   ascii   \vC'(
3554  0x0002b6ea 0x0042b6ea 6   8    .text   utf8    $]&Y{ц blocks=Basic Latin,Cyrillic
3555  0x0002b705 0x0042b705 5   6    .text   ascii   i\n\bs\n
3556  0x0002b763 0x0042b763 4   7    .text   utf8    *ӘߣH blocks=Basic Latin,Cyrillic,NKo
3557  0x0002b78d 0x0042b78d 4   7    .text   utf8    3Hn眸 blocks=Basic Latin,CJK Unified Ideographs
3558  0x0002b7f1 0x0042b7f1 4   5    .text   ascii   %\fy2
3559  0x0002b819 0x0042b819 4   6    .text   utf8    \byFσ blocks=Basic Latin,Greek and Coptic
3560  0x0002b838 0x0042b838 4   6    .text   utf8    )4}ҍ blocks=Basic Latin,Cyrillic
3561  0x0002b840 0x0042b840 4   5    .text   ascii   08\b:
3562  0x0002b84f 0x0042b84f 4   5    .text   ascii   <:i6
3563  0x0002b862 0x0042b862 4   6    .text   utf8    W\fE\e
3564  0x0002b8d4 0x0042b8d4 5   6    .text   ascii   PISfS
3565  0x0002b8f0 0x0042b8f0 8   10   .text   utf8    ^<@}CIqԏ blocks=Basic Latin,Cyrillic Supplement
3566  0x0002b90c 0x0042b90c 6   8    .text   utf8    r&ۋOIC blocks=Basic Latin,Arabic
3567  0x0002b955 0x0042b955 4   5    .text   ascii   Gfh.
3568  0x0002b967 0x0042b967 4   6    .text   utf8    ٫!gU blocks=Arabic,Basic Latin
3569  0x0002b981 0x0042b981 5   6    .text   ascii   mttjE
3570  0x0002b9ae 0x0042b9ae 4   5    .text   ascii   #1G6
3571  0x0002b9ed 0x0042b9ed 4   5    .text   ascii   Cs\t 
3572  0x0002ba54 0x0042ba54 4   6    .text   utf8    4pɎ1 blocks=Basic Latin,Latin Extended-B
3573  0x0002ba7a 0x0042ba7a 6   7    .text   ascii   *MY,r_
3574  0x0002ba85 0x0042ba85 4   5    .text   ascii   /)w-
3575  0x0002bb34 0x0042bb34 4   5    .text   ascii   0;kL
3576  0x0002bb8f 0x0042bb8f 5   7    .text   utf8    \r:O!ʽ blocks=Basic Latin,Spacing Modifier Letters
3577  0x0002bbd8 0x0042bbd8 4   5    .text   ascii    +#z
3578  0x0002bc13 0x0042bc13 4   6    .text   utf8    \nfIݿ blocks=Basic Latin,Arabic Supplement
3579  0x0002bc67 0x0042bc67 4   5    .text   ascii   sq:P
3580  0x0002bc72 0x0042bc72 4   6    .text   utf8    d:٩q blocks=Basic Latin,Arabic
3581  0x0002bc9b 0x0042bc9b 4   5    .text   ascii   fBTU
3582  0x0002bcbc 0x0042bcbc 5   6    .text   ascii   0\nO`V
3583  0x0002bcd4 0x0042bcd4 5   6    .text   ascii   2#R<_
3584  0x0002bcff 0x0042bcff 4   6    .text   utf8    ߱i\th blocks=NKo,Basic Latin
3585  0x0002bd1e 0x0042bd1e 4   5    .text   ascii   \fDsX
3586  0x0002bd59 0x0042bd59 4   5    .text   ascii   iy\r]
3587  0x0002bd99 0x0042bd99 5   6    .text   ascii   Wk&_q
3588  0x0002bdad 0x0042bdad 5   7    .text   utf8    29>ay
3589  0x0002bdd8 0x0042bdd8 5   6    .text   ascii   e"p\fE
3590  0x0002be58 0x0042be58 4   5    .text   ascii   Vdd*
3591  0x0002be7c 0x0042be7c 4   5    .text   ascii   kmEa
3592  0x0002beab 0x0042beab 5   7    .text   utf8    ʸWvU9 blocks=Spacing Modifier Letters,Basic Latin
3593  0x0002bf34 0x0042bf34 4   5    .text   ascii   5e"*
3594  0x0002bfbe 0x0042bfbe 5   8    .text   utf8    Κ ќ!G blocks=Greek and Coptic,Basic Latin,Cyrillic
3595  0x0002bfd2 0x0042bfd2 4   6    .text   utf8    r0ɿ| blocks=Basic Latin,IPA Extensions
3596  0x0002c044 0x0042c044 4   6    .text   utf8    wͰl\b blocks=Basic Latin,Greek and Coptic
3597  0x0002c068 0x0042c068 7   8    .text   ascii   tI9\aR+t
3598  0x0002c0b2 0x0042c0b2 5   8    .text   utf8    -՛"/ݣ blocks=Basic Latin,Armenian,Arabic Supplement
3599  0x0002c114 0x0042c114 6   7    .text   ascii   Xbaou\
3600  0x0002c127 0x0042c127 4   5    .text   ascii   M/eK
3601  0x0002c150 0x0042c150 4   6    .text   utf8    pɐJ5 blocks=Basic Latin,IPA Extensions
3602  0x0002c174 0x0042c174 4   7    .text   utf8    P4뒄. blocks=Basic Latin,Hangul Syllables
3603  0x0002c195 0x0042c195 4   6    .text   utf8    cPބ\ blocks=Basic Latin,Thaana
3604  0x0002c1c0 0x0042c1c0 4   6    .text   utf8    f3?3
3605  0x0002c1f4 0x0042c1f4 7   8    .text   ascii   5j:\bL[7
3606  0x0002c28a 0x0042c28a 4   5    .text   ascii   `I|s
3607  0x0002c320 0x0042c320 5   6    .text   ascii   &\e=Tt
3608  0x0002c375 0x0042c375 4   6    .text   utf8    77ѥZ blocks=Basic Latin,Cyrillic
3609  0x0002c399 0x0042c399 4   5    .text   ascii   FF<\v
3610  0x0002c3a6 0x0042c3a6 7   8    .text   ascii   e>~iR+\e
3611  0x0002c3b1 0x0042c3b1 6   7    .text   ascii   4^Ibo'
3612  0x0002c3d5 0x0042c3d5 5   6    .text   ascii   W-FQE
3613  0x0002c400 0x0042c400 4   5    .text   ascii   P+++
3614  0x0002c444 0x0042c444 8   11   .text   utf8    z@X4︰O,\v blocks=Basic Latin,CJK Compatibility Forms
3615  0x0002c453 0x0042c453 5   7    .text   utf8    >eʳ1Z blocks=Basic Latin,Spacing Modifier Letters
3616  0x0002c474 0x0042c474 4   6    .text   utf8    ֛X6P blocks=Hebrew,Basic Latin
3617  0x0002c47f 0x0042c47f 4   5    .text   ascii   K~P{
3618  0x0002c4b2 0x0042c4b2 5   6    .text   ascii   Jc1A9
3619  0x0002c4f3 0x0042c4f3 4   6    .text   utf8    31ȓ\ blocks=Basic Latin,Latin Extended-B
3620  0x0002c531 0x0042c531 8   10   .text   utf8    82%0:\e?Ǟ blocks=Basic Latin,Latin Extended-B
3621  0x0002c577 0x0042c577 4   5    .text   ascii   8:;r
3622  0x0002c582 0x0042c582 4   6    .text   utf8    \erdĮ blocks=Basic Latin,Latin Extended-A
3623  0x0002c58b 0x0042c58b 5   6    .text   ascii   a|tAM
3624  0x0002c59c 0x0042c59c 4   6    .text   utf8    !*ٹ" blocks=Basic Latin,Arabic
3625  0x0002c5cc 0x0042c5cc 5   6    .text   ascii   Kny\a<
3626  0x0002c637 0x0042c637 5   6    .text   ascii   )B\nF`
3627  0x0002c66a 0x0042c66a 4   5    .text   ascii   9":8
3628  0x0002c681 0x0042c681 4   6    .text   utf8    @KÖA blocks=Basic Latin,Latin-1 Supplement
3629  0x0002c6dc 0x0042c6dc 6   8    .text   utf8    ҹx_\n\aJ blocks=Cyrillic,Basic Latin
3630  0x0002c75f 0x0042c75f 4   5    .text   ascii   KNSD
3631  0x0002c792 0x0042c792 5   6    .text   ascii   Pkh|y
3632  0x0002c7b7 0x0042c7b7 4   5    .text   ascii   !IxJ
3633  0x0002c7d9 0x0042c7d9 4   5    .text   ascii   *=vT
3634  0x0002c7e5 0x0042c7e5 4   5    .text   ascii   aiHI
3635  0x0002c7fc 0x0042c7fc 6   7    .text   ascii   \r!r}dD
3636  0x0002c805 0x0042c805 4   5    .text   ascii   fMzF
3637  0x0002c83a 0x0042c83a 4   5    .text   ascii   n|9W
3638  0x0002c846 0x0042c846 6   8    .text   utf8    CV1&ǘ> blocks=Basic Latin,Latin Extended-B
3639  0x0002c857 0x0042c857 5   7    .text   utf8    wTZ˶l blocks=Basic Latin,Spacing Modifier Letters
3640  0x0002c86f 0x0042c86f 6   8    .text   utf8    0nŞD6J blocks=Basic Latin,Latin Extended-A
3641  0x0002c8bb 0x0042c8bb 11  13   .text   utf8    p)$LPL7dӺ`F blocks=Basic Latin,Cyrillic
3642  0x0002c8dd 0x0042c8dd 5   6    .text   ascii   w[&ix
3643  0x0002c904 0x0042c904 4   6    .text   utf8    x̘W# blocks=Basic Latin,Combining Diacritical Marks
3644  0x0002c941 0x0042c941 4   5    .text   ascii   /::c
3645  0x0002c948 0x0042c948 4   8    .text   utf8    G骏ȇZ blocks=Basic Latin,CJK Unified Ideographs,Latin Extended-B
3646  0x0002c969 0x0042c969 5   6    .text   ascii   r\t\e]u
3647  0x0002c990 0x0042c990 4   5    .text   ascii   ud?^
3648  0x0002c9e2 0x0042c9e2 4   5    .text   ascii   `U~?
3649  0x0002ca07 0x0042ca07 4   5    .text   ascii   %^1a
3650  0x0002ca15 0x0042ca15 5   6    .text   ascii   `%_I?
3651  0x0002ca1c 0x0042ca1c 4   5    .text   ascii   4 a\b
3652  0x0002ca29 0x0042ca29 6   7    .text   ascii   ,rw,$g
3653  0x0002ca72 0x0042ca72 4   5    .text   ascii   E0p)
3654  0x0002ca91 0x0042ca91 4   5    .text   ascii   K{[1
3655  0x0002caad 0x0042caad 4   7    .text   utf8    &=㡞Q blocks=Basic Latin,CJK Unified Ideographs Extension A
3656  0x0002cac6 0x0042cac6 5   6    .text   ascii   q,A?w
3657  0x0002cadd 0x0042cadd 4   5    .text   ascii   \e+pw
3658  0x0002caff 0x0042caff 4   5    .text   ascii   UE4V
3659  0x0002cb39 0x0042cb39 4   5    .text   ascii   [*fG
3660  0x0002cb50 0x0042cb50 4   5    .text   ascii   Fq\\n
3661  0x0002cb70 0x0042cb70 5   6    .text   ascii   J;S1q
3662  0x0002cb78 0x0042cb78 4   5    .text   ascii   +2WP
3663  0x0002cb91 0x0042cb91 4   5    .text   ascii   b9{.
3664  0x0002cbc0 0x0042cbc0 7   8    .text   ascii   -0HkA]W
3665  0x0002cbc9 0x0042cbc9 4   5    .text   ascii   d\2O
3666  0x0002cbec 0x0042cbec 4   5    .text   ascii   N70Q
3667  0x0002cbf9 0x0042cbf9 4   5    .text   ascii   z\e!1
3668  0x0002cc37 0x0042cc37 6   7    .text   ascii   i*rC0/
3669  0x0002cc77 0x0042cc77 5   6    .text   ascii   I`A\nt
3670  0x0002cca1 0x0042cca1 5   6    .text   ascii   \iC{$
3671  0x0002ccbb 0x0042ccbb 4   5    .text   ascii   ih}r
3672  0x0002ccc0 0x0042ccc0 4   7    .text   utf8    Wrv blocks=Private Use Area,Basic Latin
3673  0x0002cce4 0x0042cce4 5   6    .text   ascii   /8[!#
3674  0x0002cceb 0x0042cceb 4   6    .text   utf8    ȩBC[ blocks=Latin Extended-B,Basic Latin
3675  0x0002cd01 0x0042cd01 8   11   .text   utf8    SbRɝRK+Ԧ blocks=Basic Latin,IPA Extensions,Cyrillic Supplement
3676  0x0002cd45 0x0042cd45 4   5    .text   ascii   C'\r&
3677  0x0002cd4a 0x0042cd4a 6   8    .text   utf8    nB(˱)/ blocks=Basic Latin,Spacing Modifier Letters
3678  0x0002cd65 0x0042cd65 4   5    .text   ascii   UZ#g
3679  0x0002cdb6 0x0042cdb6 5   7    .text   utf8    ŝhp{/ blocks=Latin Extended-A,Basic Latin
3680  0x0002ce1f 0x0042ce1f 4   6    .text   utf8    Ձ<.F blocks=Armenian,Basic Latin
3681  0x0002ce2b 0x0042ce2b 4   5    .text   ascii    1"3
3682  0x0002ceb4 0x0042ceb4 4   6    .text   utf8    ^ɭ|L blocks=Basic Latin,IPA Extensions
3683  0x0002cee6 0x0042cee6 4   6    .text   utf8    =3̠p blocks=Basic Latin,Combining Diacritical Marks
3684  0x0002cf04 0x0042cf04 4   5    .text   ascii   \rsI\b
3685  0x0002cf38 0x0042cf38 5   6    .text   ascii   P\v\erY
3686  0x0002cf3f 0x0042cf3f 5   6    .text   ascii   o}o==
3687  0x0002cfae 0x0042cfae 5   6    .text   ascii   T70fr
3688  0x0002cfc7 0x0042cfc7 5   6    .text   ascii   Zpj5\t
3689  0x0002cfcd 0x0042cfcd 4   5    .text   ascii   *B=K
3690  0x0002cfd4 0x0042cfd4 5   6    .text   ascii   |x%@V
3691  0x0002d001 0x0042d001 8   10   .text   utf8    >:aܳV3,g blocks=Basic Latin,Syriac
3692  0x0002d011 0x0042d011 4   5    .text   ascii   t\n')
3693  0x0002d034 0x0042d034 4   5    .text   ascii   &xaq
3694  0x0002d03b 0x0042d03b 4   5    .text   ascii   @<i+
3695  0x0002d06f 0x0042d06f 4   7    .text   utf8    `lj鼒 blocks=Basic Latin,CJK Unified Ideographs
3696  0x0002d086 0x0042d086 4   5    .text   ascii   Jg((
3697  0x0002d092 0x0042d092 4   5    .text   ascii   \eFh`
3698  0x0002d0c1 0x0042d0c1 4   5    .text   ascii   R{L)
3699  0x0002d0ce 0x0042d0ce 4   5    .text   ascii   tnL{
3700  0x0002d0df 0x0042d0df 4   5    .text   ascii   \fav!
3701  0x0002d127 0x0042d127 5   6    .text   ascii   mJ5=t
3702  0x0002d12f 0x0042d12f 5   8    .text   utf8    UϳdΑq blocks=Basic Latin,Greek and Coptic
3703  0x0002d18b 0x0042d18b 4   5    .text   ascii   V4dO
3704  0x0002d201 0x0042d201 4   7    .text   utf8    䪾SQi blocks=CJK Unified Ideographs Extension A,Basic Latin
3705  0x0002d248 0x0042d248 4   5    .text   ascii   HH{7
3706  0x0002d263 0x0042d263 4   5    .text   ascii   [8c}
3707  0x0002d269 0x0042d269 5   6    .text   ascii   4DAv$
3708  0x0002d2b8 0x0042d2b8 5   6    .text   ascii   @{w7k
3709  0x0002d2c3 0x0042d2c3 5   6    .text   ascii   >(w-+
3710  0x0002d2eb 0x0042d2eb 5   6    .text   ascii   @yMEs
3711  0x0002d30b 0x0042d30b 4   5    .text   ascii   \e6%Q
3712  0x0002d36b 0x0042d36b 4   5    .text   ascii   "X~=
3713  0x0002d387 0x0042d387 5   6    .text   ascii   UnApS
3714  0x0002d408 0x0042d408 4   5    .text   ascii   \n\v(J
3715  0x0002d40d 0x0042d40d 5   6    .text   ascii   3'*\vD
3716  0x0002d451 0x0042d451 4   5    .text   ascii   '\a(_
3717  0x0002d471 0x0042d471 4   5    .text   ascii   \e8U{
3718  0x0002d493 0x0042d493 5   6    .text   ascii   t;y{ 
3719  0x0002d4b4 0x0042d4b4 7   9    .text   utf8    ζ/z1sNa blocks=Greek and Coptic,Basic Latin
3720  0x0002d5a0 0x0042d5a0 4   8    .text   utf8    &σz blocks=Basic Latin,Greek and Coptic,Private Use Area
3721  0x0002d5b8 0x0042d5b8 4   5    .text   ascii   /S%c
3722  0x0002d5d8 0x0042d5d8 4   5    .text   ascii   d8'm
3723  0x0002d5fe 0x0042d5fe 4   5    .text   ascii   Npxn
3724  0x0002d674 0x0042d674 4   6    .text   utf8    ׂ\b[W blocks=Hebrew,Basic Latin
3725  0x0002d748 0x0042d748 4   6    .text   utf8    eه_z blocks=Basic Latin,Arabic
3726  0x0002d7ab 0x0042d7ab 5   6    .text   ascii   {]E<(
3727  0x0002d7be 0x0042d7be 4   6    .text   utf8    {րEG blocks=Basic Latin,Armenian
3728  0x0002d7c9 0x0042d7c9 4   7    .text   utf8    pwɡڲ blocks=Basic Latin,IPA Extensions,Arabic
3729  0x0002d827 0x0042d827 4   7    .text   utf8    åqɽv blocks=Latin-1 Supplement,Basic Latin,IPA Extensions
3730  0x0002d8a9 0x0042d8a9 4   5    .text   ascii   wz:M
3731  0x0002d8c2 0x0042d8c2 4   5    .text   ascii   V%)+
3732  0x0002d8cd 0x0042d8cd 4   5    .text   ascii   %KO*
3733  0x0002d930 0x0042d930 5   6    .text   ascii   D'<@:
3734  0x0002d952 0x0042d952 4   5    .text   ascii   LPj9
3735  0x0002d97a 0x0042d97a 5   6    .text   ascii   c2$G.
3736  0x0002d9a3 0x0042d9a3 5   6    .text   ascii   "#!ok
3737  0x0002d9b3 0x0042d9b3 4   5    .text   ascii   tWuK
3738  0x0002d9fd 0x0042d9fd 4   5    .text   ascii   ulce
3739  0x0002da0e 0x0042da0e 6   8    .text   utf8    zn1f2Τ blocks=Basic Latin,Greek and Coptic
3740  0x0002da2e 0x0042da2e 4   5    .text   ascii   sZ\b5
3741  0x0002dac3 0x0042dac3 4   5    .text   ascii    ci'
3742  0x0002dad3 0x0042dad3 5   6    .text   ascii   jf| R
3743  0x0002daef 0x0042daef 4   5    .text   ascii   ]fgr
3744  0x0002db33 0x0042db33 4   5    .text   ascii   J4x$
3745  0x0002db3b 0x0042db3b 5   6    .text   ascii   D\v;W,
3746  0x0002dbb9 0x0042dbb9 4   5    .text   ascii   y_}y
3747  0x0002dbef 0x0042dbef 4   5    .text   ascii   4{x1
3748  0x0002dc63 0x0042dc63 4   6    .text   utf8    \bɏwA blocks=Basic Latin,Latin Extended-B
3749  0x0002dc81 0x0042dc81 4   6    .text   utf8    {՞NJ blocks=Basic Latin,Armenian
3750  0x0002dcc3 0x0042dcc3 4   5    .text   ascii   (4@q
3751  0x0002dd0a 0x0042dd0a 5   6    .text   ascii   gA9}h
3752  0x0002dd36 0x0042dd36 5   6    .text   ascii   qQ\b#f
3753  0x0002dd72 0x0042dd72 4   5    .text   ascii   F\r^i
3754  0x0002ddc1 0x0042ddc1 4   7    .text   utf8    k푘6U blocks=Basic Latin,Hangul Syllables
3755  0x0002ddca 0x0042ddca 4   6    .text   utf8    I-WP
3756  0x0002ddd7 0x0042ddd7 4   5    .text   ascii   z;DV
3757  0x0002de04 0x0042de04 4   6    .text   utf8    F/6ۏ blocks=Basic Latin,Arabic
3758  0x0002de16 0x0042de16 4   5    .text   ascii   C(@V
3759  0x0002de1c 0x0042de1c 4   5    .text   ascii   L;EH
3760  0x0002de2b 0x0042de2b 4   5    .text   ascii   t \n<
3761  0x0002de46 0x0042de46 4   5    .text   ascii   K~|"
3762  0x0002de70 0x0042de70 4   5    .text   ascii   W~Nm
3763  0x0002dec1 0x0042dec1 4   6    .text   utf8    YUQǀ blocks=Basic Latin,Latin Extended-B
3764  0x0002deec 0x0042deec 4   5    .text   ascii   |OaV
3765  0x0002df3f 0x0042df3f 4   5    .text   ascii   vxA>
3766  0x0002df7a 0x0042df7a 5   6    .text   ascii   d\v'#8
3767  0x0002dfdf 0x0042dfdf 4   5    .text   ascii   (#1i
3768  0x0002e01d 0x0042e01d 4   5    .text   ascii   #0;U
3769  0x0002e028 0x0042e028 6   7    .text   ascii   Sc9eg\v
3770  0x0002e04e 0x0042e04e 4   5    .text   ascii   Kp;"
3771  0x0002e07f 0x0042e07f 4   5    .text   ascii   TD!~
3772  0x0002e0b7 0x0042e0b7 4   5    .text   ascii   \fi{n
3773  0x0002e0ce 0x0042e0ce 6   9    .text   utf8    :[@7ā\ blocks=Basic Latin,Latin Extended-A
3774  0x0002e0ec 0x0042e0ec 4   5    .text   ascii   A`yV
3775  0x0002e0fa 0x0042e0fa 7   10   .text   utf8    Mjܨվa'# blocks=Basic Latin,Syriac,Armenian
3776  0x0002e1af 0x0042e1af 5   8    .text   utf8    ltf5 blocks=Basic Latin,Private Use Area
3777  0x0002e204 0x0042e204 6   7    .text   ascii   Jl~,kc
3778  0x0002e217 0x0042e217 4   5    .text   ascii   \eu?,
3779  0x0002e2ac 0x0042e2ac 5   6    .text   ascii   `V\n)3
3780  0x0002e2bd 0x0042e2bd 4   7    .text   utf8    Tm'䆇 blocks=Basic Latin,CJK Unified Ideographs Extension A
3781  0x0002e2ee 0x0042e2ee 4   9    .text   utf8    'M$ɾ blocks=Basic Latin,IPA Extensions
3782  0x0002e356 0x0042e356 9   12   .text   utf8    \v?e\eR`܂Œ6 blocks=Basic Latin,Syriac,Latin Extended-A
3783  0x0002e42c 0x0042e42c 4   5    .text   ascii   q^Cg
3784  0x0002e497 0x0042e497 4   5    .text   ascii   +D@p
3785  0x0002e4b9 0x0042e4b9 4   5    .text   ascii   ](\eP
3786  0x0002e4ed 0x0042e4ed 6   7    .text   ascii   12>H+>
3787  0x0002e549 0x0042e549 4   6    .text   utf8    Ҕ,P# blocks=Cyrillic,Basic Latin
3788  0x0002e55a 0x0042e55a 5   7    .text   utf8    'R߁6J blocks=Basic Latin,NKo
3789  0x0002e56a 0x0042e56a 4   5    .text   ascii   /II|
3790  0x0002e5c5 0x0042e5c5 6   7    .text   ascii   m!'|21
3791  0x0002e605 0x0042e605 4   5    .text   ascii   QB.`
3792  0x0002e629 0x0042e629 5   6    .text   ascii   8D0=*
3793  0x0002e67f 0x0042e67f 4   5    .text   ascii   X'#\t
3794  0x0002e6b4 0x0042e6b4 5   6    .text   ascii   Ft;fq
3795  0x0002e706 0x0042e706 4   5    .text   ascii   %J-F
3796  0x0002e716 0x0042e716 4   5    .text   ascii   :=Ir
3797  0x0002e728 0x0042e728 6   7    .text   ascii   HJp%hi
3798  0x0002e754 0x0042e754 5   7    .text   utf8    ۟\tI}. blocks=Arabic,Basic Latin
3799  0x0002e762 0x0042e762 4   5    .text   ascii   biYR
3800  0x0002e767 0x0042e767 4   6    .text   utf8    Ҭg:: blocks=Cyrillic,Basic Latin
3801  0x0002e7ca 0x0042e7ca 4   6    .text   utf8    pىSc blocks=Basic Latin,Arabic
3802  0x0002e828 0x0042e828 4   5    .text   ascii   S2\ba
3803  0x0002e838 0x0042e838 4   6    .text   utf8    my\vn
3804  0x0002e8a1 0x0042e8a1 4   6    .text   utf8    -sߦJ blocks=Basic Latin,NKo
3805  0x0002e8b4 0x0042e8b4 4   5    .text   ascii   /2J;
3806  0x0002e8c0 0x0042e8c0 4   5    .text   ascii   c<KA
3807  0x0002e902 0x0042e902 4   5    .text   ascii   ;B0N
3808  0x0002e955 0x0042e955 4   5    .text   ascii   H6=s
3809  0x0002e960 0x0042e960 5   6    .text   ascii   I$Y_t
3810  0x0002e9ad 0x0042e9ad 6   8    .text   utf8    ÿ}>^.= blocks=Latin-1 Supplement,Basic Latin
3811  0x0002e9c3 0x0042e9c3 7   8    .text   ascii   Oamr&%6
3812  0x0002e9cd 0x0042e9cd 6   8    .text   utf8    8κ[lxR blocks=Basic Latin,Greek and Coptic
