[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
111   0x00004df0 0x00404df0 4   6    .text   utf8    JhղR blocks=Basic Latin,Armenian
112   0x00004e3a 0x00404e3a 4   6    .text   utf8    sHڀ) blocks=Basic Latin,Arabic
113   0x00004f18 0x00404f18 4   6    .text   utf8    R٨gR blocks=Basic Latin,Arabic
114   0x00004f3b 0x00404f3b 4   7    .text   utf8    ըȪYR blocks=Armenian,Latin Extended-B,Basic Latin
115   0x00004f87 0x00404f87 5   6    .text   ascii   fb\b/#
116   0x0000500b 0x0040500b 4   5    .text   ascii   )e\ng
117   0x0000505a 0x0040505a 4   5    .text   ascii   sH:~
118   0x000050e2 0x004050e2 4   5    .text   ascii   q+R\b
119   0x00005114 0x00405114 4   5    .text   ascii   R\n&#
120   0x0000512e 0x0040512e 4   6    .text   utf8    &%Շ) blocks=Basic Latin,Armenian
121   0x00005194 0x00405194 5   6    .text   ascii   R\n&_#
122   0x000051a2 0x004051a2 5   6    .text   ascii   !_`~~
123   0x00005204 0x00405204 4   5    .text   ascii   Z~\e_
124   0x000052a0 0x004052a0 4   5    .text   ascii   \bi\v]
125   0x0000531c 0x0040531c 4   5    .text   ascii   Z~\e_
126   0x000053ca 0x004053ca 5   6    .text   ascii   !_`~~
127   0x00005452 0x00405452 4   6    .text   utf8    -Iҋ) blocks=Basic Latin,Cyrillic
128   0x00005458 0x00405458 4   5    .text   ascii   \biC[
129   0x00005465 0x00405465 5   6    .text   ascii   B!_a~
130   0x00005492 0x00405492 4   5    .text   ascii   !_a~
131   0x0000549a 0x0040549a 4   6    .text   utf8    )gՁ! blocks=Basic Latin,Armenian
132   0x00005552 0x00405552 4   5    .text   ascii   sH"{
133   0x000055bc 0x004055bc 4   5    .text   ascii   RA&$
134   0x000055e8 0x004055e8 6   8    .text   utf8    PA&$ف) blocks=Basic Latin,Arabic
135   0x000055fc 0x004055fc 4   6    .text   utf8    ā)`& blocks=Latin Extended-A,Basic Latin
136   0x00005628 0x00405628 4   5    .text   ascii   RA&$
137   0x00005672 0x00405672 4   6    .text   utf8    )ʭ~| blocks=Basic Latin,IPA Extensions
138   0x000057f7 0x004057f7 6   11   .text   utf8    `P碼Z碴\ blocks=Basic Latin,CJK Unified Ideographs
139   0x00005803 0x00405803 5   6    .text   ascii   s'j`@
140   0x0000580f 0x0040580f 4   7    .text   utf8    aP窜Z blocks=Basic Latin,CJK Unified Ideographs
141   0x00005836 0x00405836 5   7    .text   utf8    "S@x\
142   0x0000586d 0x0040586d 4   9    .text   utf8    碼]碴Z blocks=CJK Unified Ideographs,Basic Latin
143   0x000058ba 0x004058ba 4   5    .text   ascii   sHZv
144   0x000058c2 0x004058c2 4   5    .text   ascii   =Hyv
145   0x00005a52 0x00405a52 4   6    .text   utf8    )ʭ~| blocks=Basic Latin,IPA Extensions
146   0x00005ad7 0x00405ad7 4   5    .text   ascii   aV;)
147   0x00005b28 0x00405b28 4   6    .text   utf8    Sr&Β blocks=Basic Latin,Greek and Coptic
148   0x00005ba6 0x00405ba6 5   6    .text   ascii   !_`~~
149   0x00005bc2 0x00405bc2 4   5    .text   ascii   !_a~
150   0x00005bca 0x00405bca 4   5    .text   ascii   )I%y
151   0x00005c1f 0x00405c1f 5   6    .text   ascii   pSF(g
152   0x00005cdc 0x00405cdc 4   5    .text   ascii   Z\b'+
153   0x00005d0a 0x00405d0a 4   5    .text   ascii   )Hx~
154   0x00005dc6 0x00405dc6 4   5    .text   ascii   )HZr
155   0x00005fc0 0x00405fc0 4   5    .text   ascii   RihN
156   0x00005fe0 0x00405fe0 4   5    .text   ascii   RiPY
157   0x00006092 0x00406092 4   5    .text   ascii   )HYx
158   0x00006104 0x00406104 4   5    .text   ascii   Ri6M
159   0x00006640 0x00406640 4   6    .text   utf8    ދ@\ff blocks=Thaana,Basic Latin
160   0x000066c1 0x004066c1 4   6    .text   utf8    Ȋ<\bf blocks=Latin Extended-B,Basic Latin
161   0x00006a28 0x00406a28 5   6    .text   ascii   ppppu
162   0x00006a62 0x00406a62 12  13   .text   ascii   kernel32.dll
163   0x00006a6f 0x00406a6f 12  13   .text   ascii   VirtualAlloc
164   0x00006a81 0x00406a81 5   12   .text   utf16le c~hx{
165   0x00006a8d 0x00406a8d 4   5    .text   ascii   &XZQ
166   0x00006a94 0x00406a94 4   5    .text   ascii   7N*@
167   0x00006aad 0x00406aad 12  13   .text   ascii      M\r\rGGGVVV
168   0x00006ac2 0x00406ac2 9   10   .text   ascii   ???oooUUU
169   0x00006b0b 0x00406b0b 10  12   .text   utf8    ɂ**-VrrMMM blocks=Latin Extended-B,Basic Latin
170   0x00006b3d 0x00406b3d 6   7    .text   ascii   LLLH;A
171   0x00006b46 0x00406b46 4   5    .text   ascii   uuuK
172   0x00006b69 0x00406b69 7   8    .text   ascii   \eSTT=--
173   0x00006b8b 0x00406b8b 6   7    .text   ascii   7'7AAA
174   0x00006b94 0x00406b94 4   5    .text   ascii   DDD_
175   0x00006be5 0x00406be5 9   10   .text   ascii   \v\v\vOOO>>>
176   0x00006bfa 0x00406bfa 6   7    .text   ascii   ///YYY
177   0x00006c1d 0x00406c1d 22  23   .text   ascii   %___m\n\r}m},,,aaa~~~kkk
