[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
32   0x000009ea 0x004015ea 8   10   CODE    utf8    ]_^[ÐSVW blocks=Basic Latin,Latin-1 Supplement
33   0x00000a4f 0x0040164f 8   10   CODE    utf8    _^[ÐSVWU blocks=Basic Latin,Latin-1 Supplement
34   0x00000ac6 0x004016c6 9   11   CODE    utf8    ]_^[ÐSVWU blocks=Basic Latin,Latin-1 Supplement
35   0x00000adf 0x004016df 5   7    CODE    utf8    3ɉL$\f blocks=Basic Latin,Latin Extended-B
36   0x00000b05 0x00401705 5   6    CODE    ascii   X\b;\$
37   0x00000b12 0x00401712 5   6    CODE    ascii   B\f;D$
38   0x00000b18 0x00401718 7   8    CODE    ascii   wE;\$\bs
39   0x00000b2c 0x0040172c 7   8    CODE    ascii   h\f;l$\fv
40   0x00000b35 0x00401735 4   5    CODE    ascii   l$\fh
41   0x00000b80 0x00401780 7   8    CODE    ascii   D$\f+D$\b
42   0x00000b8d 0x0040178d 5   7    CODE    utf8    ]_^[Ë blocks=Basic Latin,Latin-1 Supplement
43   0x00000b94 0x00401794 4   5    CODE    ascii   SVWU
44   0x00000c4e 0x0040184e 9   11   CODE    utf8    ]_^[ÐSVWU blocks=Basic Latin,Latin-1 Supplement
45   0x00000d09 0x00401909 5   7    CODE    utf8    ]_^[Ë blocks=Basic Latin,Latin-1 Supplement
46   0x00000d10 0x00401910 4   5    CODE    ascii   SVWU
47   0x00000d36 0x00401936 4   5    CODE    ascii   \a;p\f
48   0x00000d75 0x00401975 4   5    CODE    ascii   \a;/u
49   0x00000db0 0x004019b0 6   8    CODE    utf8    \f]_^[Ë blocks=Basic Latin,Latin-1 Supplement
50   0x00000db8 0x004019b8 4   5    CODE    ascii   SVWU
51   0x00000de8 0x004019e8 4   5    CODE    ascii   ;.t\a
52   0x00000dee 0x004019ee 4   5    CODE    ascii   ;X\bu
53   0x00000df5 0x004019f5 5   6    CODE    ascii   ;X\bu_
54   0x00000ef6 0x00401af6 6   8    CODE    utf8    ]_^[ÐS blocks=Basic Latin,Latin-1 Supplement
55   0x00000fad 0x00401bad 4   5    CODE    ascii   =MpC
56   0x00000fef 0x00401bef 4   5    CODE    ascii   =$vC
57   0x00001039 0x00401c39 4   5    CODE    ascii   ZYYd
58   0x00001045 0x00401c45 4   5    CODE    ascii   =MpC
59   0x00001064 0x00401c64 4   6    CODE    utf8    Y]ÐU blocks=Basic Latin,Latin-1 Supplement
60   0x0000108a 0x00401c8a 4   5    CODE    ascii   =MpC
