Missing bin header dwarf
[Sections]

nth paddr         size vaddr        vsize perm name
―――――――――――――――――――――――――――――――――――――――――――――――――――
55  0x00401b20 GLOBAL FUNC       sigaddset
56  0x00401b30 GLOBAL FUNC       strcmp
57  0x00401b40 GLOBAL FUNC       send
58  0x00401b50 GLOBAL FUNC       strcpy
59  0x00401b60 GLOBAL FUNC       srand
60  0x00401b70 GLOBAL FUNC       feof
61  0x00401b80 GLOBAL FUNC       fclose
62  0x00401b90 GLOBAL FUNC       dlopen
63  0x00401ba0 GLOBAL FUNC       remove
64  0x00401bb0 GLOBAL FUNC       strncpy
65  0x00401bc0 GLOBAL FUNC       pthread_attr_init
66  0x00401bd0 GLOBAL FUNC       fseeko
67  0x00401be0 GLOBAL FUNC       dlsym
68  0x00401bf0 GLOBAL FUNC       closedir
69  0x00401c00 GLOBAL FUNC       access
70  0x00401c10 GLOBAL FUNC       fork
71  0x00401c20 GLOBAL FUNC       sigemptyset
72  0x00401c30 GLOBAL FUNC       pthread_sigmask
73  0x00401c40 GLOBAL FUNC       bind
74  0x00401c50 GLOBAL FUNC       fwrite
75  0x00401c60 GLOBAL FUNC       pthread_mutex_lock
76  0x00401c70 GLOBAL FUNC       rand
77  0x00401c80 GLOBAL FUNC       localtime
78  0x00401c90 GLOBAL FUNC       pthread_mutex_destroy
79  0x00401ca0 GLOBAL FUNC       write
80  0x00401cb0 GLOBAL FUNC       openpty
81  0x00401cc0 GLOBAL FUNC       accept
82  0x00401cd0 GLOBAL FUNC       pthread_mutex_unlock
83  0x00401ce0 GLOBAL FUNC       fcntl
84  0x00401cf0 GLOBAL FUNC       rename
85  0x00401d00 GLOBAL FUNC       mkdir
86  0x00401d10 GLOBAL FUNC       time
87  0x00401d20 GLOBAL FUNC       inet_addr
88  0x00401d30 GLOBAL FUNC       pthread_attr_setdetachstate

[Symbols]

nth paddr      vaddr      bind   type   size lib name
―――――――――――――――――――――――――――――――――――――――――――――――――――――
1   0x000017e0 0x004017e0 GLOBAL FUNC   16       imp.daemon
2   0x000017f0 0x004017f0 GLOBAL FUNC   16       imp.chmod
3   0x00001800 0x00401800 GLOBAL FUNC   16       imp.dup2
4   0x00001810 0x00401810 GLOBAL FUNC   16       imp.execv
5   0x00001820 0x00401820 GLOBAL FUNC   16       imp.fseeko64
6   0x00001830 0x00401830 GLOBAL FUNC   16       imp.memset
7   0x00001840 0x00401840 GLOBAL FUNC   16       imp.setsid
8   0x00001850 0x00401850 GLOBAL FUNC   16       imp.shutdown
9   0x00001860 0x00401860 GLOBAL FUNC   16       imp.close
10  0x00001870 0x00401870 GLOBAL FUNC   16       imp.ioctl
11  0x00001880 0x00401880 GLOBAL FUNC   16       imp.ttyname
12  0x00001890 0x00401890 GLOBAL FUNC   16       imp.gethostbyname
13  ---------- 0x00000000 WEAK   NOTYPE 16       imp.__gmon_start__
14  ---------- 0x00000000 WEAK   NOTYPE 16       imp._Jv_RegisterClasses
15  0x000018a0 0x004018a0 GLOBAL FUNC   16       imp.fseek
16  0x000018b0 0x004018b0 GLOBAL FUNC   16       imp.pthread_cond_signal
17  0x000018c0 0x004018c0 GLOBAL FUNC   16       imp.select
18  0x000018d0 0x004018d0 GLOBAL FUNC   16       imp.exit
19  0x000018e0 0x004018e0 GLOBAL FUNC   16       imp.gettimeofday
20  0x000018f0 0x004018f0 GLOBAL FUNC   16       imp.execl
21  0x00001900 0x00401900 GLOBAL FUNC   16       imp.read
22  0x00001910 0x00401910 GLOBAL FUNC   16       imp.malloc
23  0x00001920 0x00401920 GLOBAL FUNC   16       imp.fopen
24  0x00001930 0x00401930 GLOBAL FUNC   16       imp.__libc_start_main
25  0x00001940 0x00401940 GLOBAL FUNC   16       imp.recv
26  0x00001950 0x00401950 GLOBAL FUNC   16       imp.pthread_cond_timedwait
27  0x00001960 0x00401960 GLOBAL FUNC   16       imp.setsockopt
28  0x00001970 0x00401970 GLOBAL FUNC   16       imp.pthread_mutex_init
29  0x00001980 0x00401980 GLOBAL FUNC   16       imp.fgets
30  0x00001990 0x00401990 GLOBAL FUNC   16       imp.free
31  0x000019a0 0x004019a0 GLOBAL FUNC   16       imp.pthread_create
32  0x000019b0 0x004019b0 GLOBAL FUNC   16       imp.opendir
33  0x000019c0 0x004019c0 GLOBAL FUNC   16       imp.pthread_cond_init
34  0x000019d0 0x004019d0 GLOBAL FUNC   16       imp.listen
35  0x000019e0 0x004019e0 GLOBAL FUNC   16       imp.readdir
36  0x000019f0 0x004019f0 GLOBAL FUNC   16       imp.sprintf
37  0x00001a00 0x00401a00 GLOBAL FUNC   16       imp.strrchr
38  0x00001a10 0x00401a10 GLOBAL FUNC   16       imp.usleep
39  0x00001a20 0x00401a20 GLOBAL FUNC   16       imp.strstr
40  0x00001a30 0x00401a30 GLOBAL FUNC   16       imp.pthread_attr_setstacksize
41  0x00001a40 0x00401a40 GLOBAL FUNC   16       imp.strcat
42  0x00001a50 0x00401a50 GLOBAL FUNC   16       imp.strtol
43  0x00001a60 0x00401a60 GLOBAL FUNC   16       imp.readlink
44  0x00001a70 0x00401a70 GLOBAL FUNC   16       imp.connect
45  0x00001a80 0x00401a80 GLOBAL FUNC   16       imp.gethostname
46  0x00001a90 0x00401a90 GLOBAL FUNC   16       imp.memcpy
47  0x00001aa0 0x00401aa0 GLOBAL FUNC   16       imp.putenv
48  0x00001ab0 0x00401ab0 GLOBAL FUNC   16       imp.signal
49  0x00001ac0 0x00401ac0 GLOBAL FUNC   16       imp.__lxstat64
50  0x00001ad0 0x00401ad0 GLOBAL FUNC   16       imp.waitpid
51  0x00001ae0 0x00401ae0 GLOBAL FUNC   16       imp.socket
52  0x00001af0 0x00401af0 GLOBAL FUNC   16       imp.fread
53  0x00001b00 0x00401b00 GLOBAL FUNC   16       imp.inet_ntoa
54  0x00001b10 0x00401b10 GLOBAL FUNC   16       imp.__errno_location
55  0x00001b20 0x00401b20 GLOBAL FUNC   16       imp.sigaddset
56  0x00001b30 0x00401b30 GLOBAL FUNC   16       imp.strcmp
57  0x00001b40 0x00401b40 GLOBAL FUNC   16       imp.send
58  0x00001b50 0x00401b50 GLOBAL FUNC   16       imp.strcpy
59  0x00001b60 0x00401b60 GLOBAL FUNC   16       imp.srand
60  0x00001b70 0x00401b70 GLOBAL FUNC   16       imp.feof
61  0x00001b80 0x00401b80 GLOBAL FUNC   16       imp.fclose
62  0x00001b90 0x00401b90 GLOBAL FUNC   16       imp.dlopen
63  0x00001ba0 0x00401ba0 GLOBAL FUNC   16       imp.remove
64  0x00001bb0 0x00401bb0 GLOBAL FUNC   16       imp.strncpy
65  0x00001bc0 0x00401bc0 GLOBAL FUNC   16       imp.pthread_attr_init
66  0x00001bd0 0x00401bd0 GLOBAL FUNC   16       imp.fseeko
67  0x00001be0 0x00401be0 GLOBAL FUNC   16       imp.dlsym
68  0x00001bf0 0x00401bf0 GLOBAL FUNC   16       imp.closedir
69  0x00001c00 0x00401c00 GLOBAL FUNC   16       imp.access
70  0x00001c10 0x00401c10 GLOBAL FUNC   16       imp.fork
71  0x00001c20 0x00401c20 GLOBAL FUNC   16       imp.sigemptyset
72  0x00001c30 0x00401c30 GLOBAL FUNC   16       imp.pthread_sigmask
73  0x00001c40 0x00401c40 GLOBAL FUNC   16       imp.bind
74  0x00001c50 0x00401c50 GLOBAL FUNC   16       imp.fwrite
75  0x00001c60 0x00401c60 GLOBAL FUNC   16       imp.pthread_mutex_lock
76  0x00001c70 0x00401c70 GLOBAL FUNC   16       imp.rand
77  0x00001c80 0x00401c80 GLOBAL FUNC   16       imp.localtime
78  0x00001c90 0x00401c90 GLOBAL FUNC   16       imp.pthread_mutex_destroy
79  0x00001ca0 0x00401ca0 GLOBAL FUNC   16       imp.write
80  0x00001cb0 0x00401cb0 GLOBAL FUNC   16       imp.openpty
81  0x00001cc0 0x00401cc0 GLOBAL FUNC   16       imp.accept
82  0x00001cd0 0x00401cd0 GLOBAL FUNC   16       imp.pthread_mutex_unlock
83  0x00001ce0 0x00401ce0 GLOBAL FUNC   16       imp.fcntl
84  0x00001cf0 0x00401cf0 GLOBAL FUNC   16       imp.rename
85  0x00001d00 0x00401d00 GLOBAL FUNC   16       imp.mkdir
86  0x00001d10 0x00401d10 GLOBAL FUNC   16       imp.time
87  0x00001d20 0x00401d20 GLOBAL FUNC   16       imp.inet_addr
88  0x00001d30 0x00401d30 GLOBAL FUNC   16       imp.pthread_attr_setdetachstate
[Strings]
nth paddr      vaddr      len size section type  string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x0000d910 0x0040d910 16  17   .rodata ascii /lib64/libc.so.6
1   0x0000d921 0x0040d921 6   7    .rodata ascii fseeko
2   0x0000d928 0x0040d928 8   9    .rodata ascii fseeko64
3   0x0000d988 0x0040d988 4   5    .rodata ascii SeA~
4   0x0000db00 0x0040db00 4   5    .rodata ascii XhHp
5   0x0000dcb8 0x0040dcb8 4   5    .rodata ascii NrZl
6   0x0000dcd8 0x0040dcd8 4   5    .rodata ascii '9-6
7   0x0000dcf8 0x0040dcf8 4   5    .rodata ascii :.6$
8   0x0000dd30 0x0040dd30 4   5    .rodata ascii iKwZ
9   0x0000ded8 0x0040ded8 4   5    .rodata ascii bF~T
10  0x0000dfa8 0x0040dfa8 4   5    .rodata ascii 1#?*
11  0x0000e110 0x0040e110 4   5    .rodata ascii ,4$8
12  0x0000e170 0x0040e170 4   5    .rodata ascii t\lH
13  0x0000e188 0x0040e188 4   5    .rodata ascii eA~S
14  0x0000e300 0x0040e300 4   5    .rodata ascii hHpX
15  0x0000e4b8 0x0040e4b8 4   5    .rodata ascii rZlN
16  0x0000e4d8 0x0040e4d8 4   5    .rodata ascii 9-6'
17  0x0000e4f8 0x0040e4f8 4   5    .rodata ascii .6$:
18  0x0000e530 0x0040e530 4   5    .rodata ascii KwZi
19  0x0000e6d8 0x0040e6d8 4   5    .rodata ascii F~Tb
20  0x0000e7a8 0x0040e7a8 4   5    .rodata ascii #?*1
21  0x0000e910 0x0040e910 4   5    .rodata ascii 4$8,
22  0x0000e970 0x0040e970 4   5    .rodata ascii \lHt
23  0x0000e988 0x0040e988 4   5    .rodata ascii A~Se
24  0x0000eb00 0x0040eb00 4   5    .rodata ascii HpXh
25  0x0000ecb8 0x0040ecb8 4   5    .rodata ascii ZlNr
26  0x0000ecd8 0x0040ecd8 4   5    .rodata ascii -6'9
27  0x0000ecf8 0x0040ecf8 4   5    .rodata ascii 6$:.
28  0x0000ed30 0x0040ed30 4   5    .rodata ascii wZiK
29  0x0000eed8 0x0040eed8 4   5    .rodata ascii ~TbF
30  0x0000efa8 0x0040efa8 4   5    .rodata ascii ?*1#
31  0x0000f110 0x0040f110 4   5    .rodata ascii $8,4
32  0x0000f170 0x0040f170 4   5    .rodata ascii lHt\
33  0x0000f188 0x0040f188 4   5    .rodata ascii ~SeA
34  0x0000f300 0x0040f300 4   5    .rodata ascii pXhH
35  0x0000f4b8 0x0040f4b8 4   5    .rodata ascii lNrZ
36  0x0000f4d8 0x0040f4d8 4   5    .rodata ascii 6'9-
37  0x0000f4f8 0x0040f4f8 4   5    .rodata ascii $:.6
38  0x0000f530 0x0040f530 4   5    .rodata ascii ZiKw
39  0x0000f6d8 0x0040f6d8 4   5    .rodata ascii TbF~
40  0x0000f7a8 0x0040f7a8 4   5    .rodata ascii *1#?
41  0x0000f910 0x0040f910 4   5    .rodata ascii 8,4$
42  0x0000f970 0x0040f970 4   5    .rodata ascii Ht\l
43  0x000101c0 0x004101c0 4   5    .rodata ascii P00`
44  0x000101d8 0x004101d8 4   5    .rodata ascii }++V
45  0x00010298 0x00410298 4   5    .rodata ascii j&&L
46  0x000102a0 0x004102a0 4   5    .rodata ascii Z66l
