[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
111  0x00002645 0x00403245 4   6    CODE    utf8    \nÐSV blocks=Basic Latin,Latin-1 Supplement
112  0x000026d2 0x004032d2 4   5    CODE    ascii   <\nt\n
113  0x000027e5 0x004033e5 5   7    CODE    utf8    _^[Í@ blocks=Basic Latin,Latin-1 Supplement
114  0x0000285f 0x0040345f 4   5    CODE    ascii   \tw%9
115  0x00002883 0x00403483 6   7    CODE    ascii   ~KxI[)
116  0x000028d4 0x004034d4 6   8    CODE    utf8    2_^[Í@ blocks=Basic Latin,Latin-1 Supplement
117  0x00002936 0x00403536 5   6    CODE    ascii   YZXt5
118  0x00002942 0x00403542 6   7    CODE    ascii   P\b+P\f9
119  0x00002966 0x00403566 4   5    CODE    ascii   YX_^
120  0x000029a4 0x004035a4 64  65   CODE    ascii                                                                   
121  0x000029fe 0x004035fe 4   6    CODE    utf8    _^Í@ blocks=Basic Latin,Latin-1 Supplement
122  0x00002b45 0x00403745 4   7    CODE    utf8    *焑*@ blocks=Basic Latin,CJK Unified Ideographs
123  0x00002b75 0x00403775 5   6    CODE    ascii   @v:k\v
124  0x00002b82 0x00403782 4   6    CODE    utf8    #Ǌ>@ blocks=Basic Latin,Latin Extended-B
125  0x00002bbc 0x004037bc 4   5    CODE    ascii   @aQY
126  0x00002bf8 0x004037f8 4   5    CODE    ascii   E@|o
127  0x00002c05 0x00403805 4   7    CODE    utf8    ŝi@զ blocks=Latin Extended-A,Basic Latin,Armenian
128  0x00002c30 0x00403830 5   6    CODE    ascii   BkU'9
129  0x00002c55 0x00403855 4   6    CODE    utf8    &һCv blocks=Basic Latin,Cyrillic
130  0x00002ca7 0x004038a7 6   9    CODE    utf8    HM䧓9;5 blocks=Basic Latin,CJK Unified Ideographs Extension A
131  0x00002d84 0x00403984 4   5    CODE    ascii   ZYYd
132  0x00002dc0 0x004039c0 27  28   CODE    ascii   SOFTWARE\Borland\Delphi\RTL
133  0x00002ddc 0x004039dc 12  13   CODE    ascii   FPUMaskValue
134  0x00002e00 0x00403a00 5   7    CODE    utf8    $ZÐVW blocks=Basic Latin,Latin-1 Supplement
135  0x00002e12 0x00403a12 4   6    CODE    utf8    _^Í@ blocks=Basic Latin,Latin-1 Supplement
136  0x00002eea 0x00403aea 4   6    CODE    utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
137  0x00002ef9 0x00403af9 4   7    CODE    utf8    V\vv܅ blocks=Basic Latin,Syriac
138  0x00002f0d 0x00403b0d 4   7    CODE    utf8    ^[Çс blocks=Basic Latin,Latin-1 Supplement,Cyrillic
139  0x00002f46 0x00403b46 6   8    CODE    utf8    SVW3ۉ] blocks=Basic Latin,Arabic
140  0x00002fba 0x00403bba 4   5    CODE    ascii   ZYYd
141  0x00002fd7 0x00403bd7 7   9    CODE    utf8    _^[YY]Ë blocks=Basic Latin,Latin-1 Supplement
142  0x00002ff1 0x00403bf1 4   5    CODE    ascii   2;0u
143  0x00002fff 0x00403bff 7   8    CODE    ascii   r\b;p\bu\b
144  0x00003007 0x00403c07 6   7    CODE    ascii   r\f;p\ft
145  0x00003011 0x00403c11 5   8    CODE    utf8    Iu܋[܅ blocks=Basic Latin,Syriac
146  0x00003042 0x00403c42 4   6    CODE    utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
147  0x0000306e 0x00403c6e 4   6    CODE    utf8    )ȋtG blocks=Basic Latin,Latin Extended-B
148  0x000030de 0x00403cde 4   6    CODE    utf8    ÐRQS blocks=Latin-1 Supplement,Basic Latin
149  0x000030ea 0x00403cea 4   6    CODE    utf8    1ҍL$ blocks=Basic Latin,Cyrillic
150  0x00003104 0x00403d04 4   5    CODE    ascii   \n[YZ
151  0x0000317d 0x00403d7d 5   6    CODE    ascii   PPRTj
152  0x00003192 0x00403d92 4   6    CODE    utf8    \bXÍ@ blocks=Basic Latin,Latin-1 Supplement
153  0x000031b7 0x00403db7 4   5    CODE    ascii   v\aPS
154  0x00003206 0x00403e06 5   7    CODE    utf8    YYZXÐ blocks=Basic Latin,Latin-1 Supplement
155  0x00003243 0x00403e43 6   9    CODE    utf8    ZXË\vD$ blocks=Basic Latin,Latin-1 Supplement
156  0x000032e9 0x00403ee9 6   7    CODE    ascii   D$\bRQP
157  0x000032f7 0x00403ef7 5   6    CODE    ascii   YZXtp
158  0x00003303 0x00403f03 4   5    CODE    ascii   VWUd
