[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
321  0x00006210 0x00406e10 13  14   CODE    ascii   \fEIntOverflow
322  0x0000626c 0x00406e6c 11  12   CODE    ascii   \nEMathError
323  0x000062c4 0x00406ec4 11  12   CODE    ascii   \nEInvalidOp
324  0x0000631c 0x00406f1c 15  16   CODE    ascii   \vEZeroDivideto@
325  0x00006374 0x00406f74 10  11   CODE    ascii   \tEOverflow
326  0x000063cc 0x00406fcc 11  12   CODE    ascii   \nEUnderflow
327  0x00006425 0x00407025 15  16   CODE    ascii   EInvalidPointer
328  0x00006480 0x00407080 13  14   CODE    ascii   \fEInvalidCast
329  0x000064dc 0x004070dc 14  15   CODE    ascii   \rEConvertError
330  0x00006539 0x00407139 16  17   CODE    ascii   EAccessViolation
331  0x00006598 0x00407198 11  12   CODE    ascii   \nEPrivilege
332  0x000065f1 0x004071f1 14  15   CODE    ascii   EStackOverflow
333  0x0000664c 0x0040724c 10  11   CODE    ascii   \tEControlC
334  0x000066a4 0x004072a4 14  15   CODE    ascii   \rEVariantError
335  0x00006701 0x00407301 16  17   CODE    ascii   EAssertionFailed
336  0x00006761 0x00407361 14  15   CODE    ascii   EAbstractError
337  0x000067bd 0x004073bd 14  15   CODE    ascii   EIntfCastError
338  0x00006818 0x00407418 9   10   CODE    ascii   \bEOSError
339  0x00006871 0x00407471 18  19   CODE    ascii   ESafecallException
340  0x0000689d 0x0040749d 9   10   CODE    ascii   \bSysUtils
341  0x000068c1 0x004074c1 9   10   CODE    ascii   \bSysUtils
342  0x00006925 0x00407525 20  22   CODE    utf8    TThreadLocalCounter̃ blocks=Basic Latin,Combining Diacritical Marks
343  0x000069a6 0x004075a6 5   6    CODE    ascii   =?xu@
344  0x00006a00 0x00407600 37  38   CODE    ascii   $TMultiReadExclusiveWriteSynchronizer
345  0x00006a62 0x00407662 4   6    CODE    utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
346  0x00006a82 0x00407682 4   6    CODE    utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
347  0x00006ad2 0x004076d2 5   6    CODE    ascii   YZ_^[
348  0x00006b22 0x00407722 5   6    CODE    ascii   YZ_^[
349  0x00006b77 0x00407777 5   7    CODE    utf8    [_^Ð9 blocks=Basic Latin,Latin-1 Supplement
350  0x00006b9e 0x0040779e 4   6    CODE    utf8    ÐSVW blocks=Latin-1 Supplement,Basic Latin
351  0x00006bcf 0x004077cf 6   8    CODE    utf8    _^[ÐSV blocks=Basic Latin,Latin-1 Supplement
352  0x00006c58 0x00407858 7   9    CODE    utf8    ^[ÐSVWU blocks=Basic Latin,Latin-1 Supplement
353  0x00006ca4 0x004078a4 6   8    CODE    utf8    ]_^[Í@ blocks=Basic Latin,Latin-1 Supplement
354  0x00006da9 0x004079a9 4   5    CODE    ascii   0<:r
355  0x00006def 0x004079ef 5   7    CODE    utf8    P1ҍE\b blocks=Basic Latin,Cyrillic
356  0x00006e2e 0x00407a2e 4   6    CODE    utf8     ^Í@ blocks=Basic Latin,Latin-1 Supplement
357  0x00006e65 0x00407a65 5   7    CODE    utf8    Z^[Í@ blocks=Basic Latin,Latin-1 Supplement
358  0x00006ee4 0x00407ae4 4   5    CODE    ascii   True
359  0x00006ef4 0x00407af4 5   6    CODE    ascii   False
360  0x00006eff 0x00407aff 4   5    CODE    ascii   QSVW
361  0x00006f30 0x00407b30 6   8    CODE    utf8    _^[Y]Ë blocks=Basic Latin,Latin-1 Supplement
362  0x0000701c 0x00407c1c 6   8    CODE    utf8    ^[ÐSVW blocks=Basic Latin,Latin-1 Supplement
363  0x0000703e 0x00407c3e 4   5    CODE    ascii   @w2j
364  0x00007073 0x00407c73 5   7    CODE    utf8    _^[ÐS blocks=Basic Latin,Latin-1 Supplement
365  0x000070a4 0x00407ca4 4   5    CODE    ascii   SVWQ
366  0x000070b4 0x00407cb4 4   5    CODE    ascii   PWVS
367  0x000070ca 0x00407cca 5   6    CODE    ascii   $Z_^[
368  0x000070d0 0x00407cd0 4   5    CODE    ascii   SVWQ
369  0x000070e0 0x00407ce0 4   5    CODE    ascii   PWVS
370  0x000070f6 0x00407cf6 5   6    CODE    ascii   $Z_^[
371  0x0000712c 0x00407d2c 5   6    CODE    ascii   ^[YY]
372  0x000071b4 0x00407db4 4   5    CODE    ascii   SVWQ
373  0x000071fe 0x00407dfe 8   10   CODE    utf8    Z_^[ÐSVW blocks=Basic Latin,Latin-1 Supplement
374  0x0000720c 0x00407e0c 4   6    CODE    utf8    ָT~@ blocks=Hebrew,Basic Latin
375  0x00007229 0x00407e29 4   6    CODE    utf8    ָT~@ blocks=Hebrew,Basic Latin
376  0x0000729e 0x00407e9e 5   6    CODE    ascii   D$\bPh
377  0x00007370 0x00407f70 6   8    CODE    utf8    $ZÐWVS blocks=Basic Latin,Latin-1 Supplement
378  0x000073a1 0x00407fa1 5   7    CODE    utf8    [^_Í@ blocks=Basic Latin,Latin-1 Supplement
379  0x000073e6 0x00407fe6 4   6    CODE    utf8    [^_Ë blocks=Basic Latin,Latin-1 Supplement
380  0x00007409 0x00408009 6   8    CODE    utf8    ZÐWVS\t blocks=Basic Latin,Latin-1 Supplement
381  0x00007459 0x00408059 5   7    CODE    utf8    [^_Í@ blocks=Basic Latin,Latin-1 Supplement
382  0x0000747b 0x0040807b 4   6    CODE    utf8    u\a3\t
383  0x000074a3 0x004080a3 5   7    CODE    utf8    $Z^[Å blocks=Basic Latin,Latin-1 Supplement
384  0x000074b6 0x004080b6 4   6    CODE    utf8    ÐSVW blocks=Latin-1 Supplement,Basic Latin
385  0x000074ed 0x004080ed 4   6    CODE    utf8    ĉD$  blocks=Latin Extended-A,Basic Latin
386  0x0000750b 0x0040810b 4   5    CODE    ascii   (_^[
387  0x00007544 0x00408144 5   8    CODE    utf8    ĔS3ۉ] blocks=Latin Extended-A,Basic Latin,Arabic
388  0x000075a4 0x004081a4 4   5    CODE    ascii   <:u\n
389  0x000075ba 0x004081ba 5   6    CODE    ascii   <.u\n9
390  0x000075e2 0x004081e2 4   5    CODE    ascii   -u\n)
391  0x00007624 0x00408224 13  14   CODE    ascii   <*t"<0r=<9w9i
392  0x000078ac 0x004084ac 4   5    CODE    ascii   _^[[
393  0x000078bb 0x004084bb 4   5    CODE    ascii   QSVW
394  0x000078f9 0x004084f9 5   6    CODE    ascii   _^[Y]
395  0x00007907 0x00408507 4   5    CODE    ascii   QSVW
396  0x00007945 0x00408545 5   6    CODE    ascii   _^[Y]
397  0x00007a6c 0x0040866c 4   6    CODE    utf8    X^ÐU blocks=Basic Latin,Latin-1 Supplement
398  0x00007b27 0x00408727 4   5    CODE    ascii   ;E\f~
399  0x00007b60 0x00408760 6   7    CODE    ascii   INFNAN
400  0x00007b6c 0x0040876c 4   6    CODE    utf8    0NÀ} blocks=Basic Latin,Latin-1 Supplement
401  0x00007c2a 0x0040882a 4   6    CODE    utf8    *1ۀ} blocks=Basic Latin,Arabic
402  0x00007c66 0x00408866 5   6    CODE    ascii   Jt\fAu
403  0x00007cab 0x004088ab 10  11   CODE    ascii   QS<$t\a<*t\n
404  0x00007cd9 0x004088d9 100 101  CODE    ascii   $*@@@*$@@@$ *@@* $@@($*)@-$*@@$-*@@$*-@@(*$)@-*$@@*-$@@*$-@@-* $@-$ *@* $-@$ *-@$ -*@*- $@($ *)(* $)
405  0x00007de6 0x004089e6 4   6    CODE    utf8    At\tڷ blocks=Basic Latin,Arabic
406  0x00007e1a 0x00408a1a 5   6    CODE    ascii   }\by\a1
407  0x00007e25 0x00408a25 4   5    CODE    ascii   ;}\fr
408  0x00007ead 0x00408aad 5   7    CODE    utf8    1ɋ}\b\t blocks=Basic Latin,Latin Extended-B
409  0x00007fcf 0x00408bcf 6   7    CODE    ascii   <Eu\nFR
410  0x00008034 0x00408c34 4   6    CODE    utf8    1Ҭ,: blocks=Basic Latin,Cyrillic
411  0x000080fa 0x00408cfa 4   6    CODE    utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
412  0x00008125 0x00408d25 5   7    CODE    utf8    \f^[Í@ blocks=Basic Latin,Latin-1 Supplement
413  0x00008151 0x00408d51 5   7    CODE    utf8    \f^[Í@ blocks=Basic Latin,Latin-1 Supplement
414  0x0000816e 0x00408d6e 4   6    CODE    utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
415  0x000081cf 0x00408dcf 4   5    CODE    ascii   <sGf
416  0x000081d5 0x00408dd5 4   5    CODE    ascii   <sAf
417  0x0000821c 0x00408e1c 4   5    CODE    ascii   ^YY]
418  0x000082ba 0x00408eba 4   6    CODE    utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
419  0x00008308 0x00408f08 4   5    CODE    ascii   \fwwf
420  0x00008317 0x00408f17 4   5    CODE    ascii   f;\B
421  0x00008521 0x00409121 4   5    CODE    ascii   @YY]
422  0x00008585 0x00409185 4   6    CODE    utf8    ؋E\bP blocks=Arabic,Basic Latin
423  0x0000859a 0x0040919a 4   6    CODE    utf8    Y[]Ë blocks=Basic Latin,Latin-1 Supplement
424  0x000085ab 0x004091ab 5   7    CODE    utf8    ؋E\bPj blocks=Arabic,Basic Latin
425  0x00008604 0x00409204 4   5    CODE    ascii   M\b:Q
426  0x0000869d 0x0040929d 4   6    CODE    utf8    SV3ɉ blocks=Basic Latin,Latin Extended-B
427  0x00008744 0x00409344 4   5    CODE    ascii   \ru}S
428  0x000087c6 0x004093c6 4   5    CODE    ascii   ZYYd
429  0x00008809 0x00409409 5   7    CODE    utf8    SV3ɉM blocks=Basic Latin,Latin Extended-B
430  0x00008816 0x00409416 4   6    CODE    utf8    Uhޔ@ blocks=Basic Latin,Thaana
431  0x000088ca 0x004094ca 4   5    CODE    ascii   ZYYd
432  0x00008900 0x00409500 4   5    CODE    ascii   yyyy
433  0x0000890e 0x0040950e 10  14   CODE    utf8    SVW3҉UԉU؉E blocks=Basic Latin,Cyrillic,Cyrillic Supplement,Arabic
434  0x00008ac6 0x004096c6 4   5    CODE    ascii   E\bPU
435  0x00008af3 0x004096f3 4   5    CODE    ascii   E\bPU
436  0x00008b84 0x00409784 10  11   CODE    ascii   r\nt%HtIHtm
437  0x00008ce7 0x004098e7 5   8    CODE    utf8    E܋E܀8 blocks=Basic Latin,Syriac
438  0x0000904e 0x00409c4e 5   7    CODE    utf8    uыE\bP blocks=Basic Latin,Cyrillic
439  0x00009056 0x00409c56 4   6    CODE    utf8    +U܋E blocks=Basic Latin,Syriac
440  0x00009095 0x00409c95 4   5    CODE    ascii   ZYYd
441  0x000090bc 0x00409cbc 5   6    CODE    ascii   AM/PM
442  0x000090c8 0x00409cc8 4   5    CODE    ascii   AMPM
443  0x000090d0 0x00409cd0 4   5    CODE    ascii   AAAA
444  0x000091ca 0x00409dca 5   6    CODE    ascii   ,\ns\af
445  0x0000920e 0x00409e0e 6   8    CODE    utf8    SVW3ۉ] blocks=Basic Latin,Arabic
446  0x0000926d 0x00409e6d 4   5    CODE    ascii   ZYYd
447  0x0000928a 0x00409e8a 8   10   CODE    utf8    _^[YY]Í@ blocks=Basic Latin,Latin-1 Supplement
448  0x00009294 0x00409e94 4   5    CODE    ascii   SVWQ
449  0x000092c6 0x00409ec6 8   10   CODE    utf8    Z_^[ÐSVW blocks=Basic Latin,Latin-1 Supplement
450  0x000092e6 0x00409ee6 5   6    CODE    ascii   t\n,\bt
451  0x00009312 0x00409f12 4   6    CODE    utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
452  0x0000935a 0x00409f5a 4   6    CODE    utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
453  0x00009360 0x00409f60 5   6    CODE    ascii   SVWUQ
454  0x000093ab 0x00409fab 7   9    CODE    utf8    $Z]_^[Ë blocks=Basic Latin,Latin-1 Supplement
455  0x00009416 0x0040a016 10  14   CODE    utf8    SVW3ۉ]؉]܉] blocks=Basic Latin,Arabic,Syriac
456  0x00009473 0x0040a073 4   5    CODE    ascii   8gu4
457  0x00009542 0x0040a142 4   5    CODE    ascii   r\bt"
458  0x00009712 0x0040a312 4   5    CODE    ascii   ZYYd
459  0x00009754 0x0040a354 4   5    CODE    ascii   SVWU
460  0x000097c8 0x0040a3c8 4   5    CODE    ascii   D$\fP
461  0x0000980a 0x0040a40a 4   5    CODE    ascii   D$\fP
462  0x00009837 0x0040a437 4   5    CODE    ascii   D$\fP
463  0x00009864 0x0040a464 4   5    CODE    ascii   D$\fP
464  0x000098e5 0x0040a4e5 4   5    CODE    ascii   \fw>f
465  0x000098ed 0x0040a4ed 4   5    CODE    ascii   \fu\af
466  0x00009907 0x0040a507 4   5    CODE    ascii   D$\nP
467  0x0000992b 0x0040a52b 4   5    CODE    ascii   ]_^[
468  0x00009977 0x0040a577 7   9    CODE    utf8    Z^[ÐSVW blocks=Basic Latin,Latin-1 Supplement
469  0x0000998f 0x0040a58f 4   6    CODE    utf8    3\tD$
470  0x00009a19 0x0040a619 5   6    CODE    ascii   T$\bRj
471  0x00009a6f 0x0040a66f 4   7    CODE    utf8    QRP豿 blocks=Basic Latin,CJK Unified Ideographs
472  0x00009aa0 0x0040a6a0 4   5    CODE    ascii   SVWQ
473  0x00009ac3 0x0040a6c3 4   5    CODE    ascii   Z_^[
474  0x00009acb 0x0040a6cb 4   5    CODE    ascii   QSVW
475  0x00009afb 0x0040a6fb 5   6    CODE    ascii   _^[Y]
476  0x00009b09 0x0040a709 10  11   CODE    ascii   QQQQQQSVW3
477  0x00009bfe 0x0040a7fe 4   5    CODE    ascii   ZYYd
478  0x00009c6d 0x0040a86d 4   6    CODE    utf8    Uhɨ@ blocks=Basic Latin,IPA Extensions
479  0x00009c84 0x0040a884 4   5    CODE    ascii   \at,C
480  0x00009cb5 0x0040a8b5 4   5    CODE    ascii   ZYYd
481  0x00009cd2 0x0040a8d2 4   5    CODE    ascii   ^[Y]
482  0x00009d5f 0x0040a95f 4   5    CODE    ascii   ZYYd
483  0x00009d91 0x0040a991 8   9    CODE    ascii   QQQQQSVW
484  0x00009f3d 0x0040ab3d 4   5    CODE    ascii   ZYYd
485  0x00009f80 0x0040ab80 4   5    CODE    ascii   yyyy
486  0x00009f90 0x0040ab90 4   5    CODE    ascii   eeee
487  0x0000a186 0x0040ad86 4   5    CODE    ascii   D$DP
488  0x0000a18b 0x0040ad8b 4   5    CODE    ascii   D$HP
489  0x0000a1a6 0x0040ada6 5   6    CODE    ascii   D$PPj
490  0x0000a1d7 0x0040add7 4   5    CODE    ascii   D$\bP
491  0x0000a1fa 0x0040adfa 4   5    CODE    ascii   D$\bP
492  0x0000a1ff 0x0040adff 5   6    CODE    ascii   D$LPj
493  0x0000a256 0x0040ae56 4   6    CODE    utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
494  0x0000a2a2 0x0040aea2 4   5    CODE    ascii   ZYYd
495  0x0000a2d4 0x0040aed4 5   6    CODE    ascii   _^[Y]
496  0x0000a312 0x0040af12 4   6    CODE    utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
497  0x0000a36b 0x0040af6b 4   5    CODE    ascii   ZYYd
498  0x0000a3a2 0x0040afa2 6   7    CODE    ascii   _^[YY]
499  0x0000a3bd 0x0040afbd 11  12   CODE    ascii   \tTErrorRec\b
500  0x0000a42f 0x0040b02f 7   9    CODE    utf8    p\fYZ^[Ë blocks=Basic Latin,Latin-1 Supplement
501  0x0000a43d 0x0040b03d 12  13   CODE    ascii   \nTExceptRec\b
502  0x0000a4b2 0x0040b0b2 6   8    CODE    utf8    SVW3ۉ] blocks=Basic Latin,Arabic
503  0x0000a52c 0x0040b12c 4   5    CODE    ascii   ZYYd
504  0x0000a5a4 0x0040b1a4 4   5    CODE    ascii   ,tY=
505  0x0000a5bc 0x0040b1bc 5   6    CODE    ascii   t<HtH
506  0x0000a5cb 0x0040b1cb 4   5    CODE    ascii   r3t7
507  0x0000a5df 0x0040b1df 4   5    CODE    ascii   t(Ht
508  0x0000a602 0x0040b202 13  21   CODE    utf8    ð\að\bð\tð\vð\fð\rð blocks=Latin-1 Supplement,Basic Latin
509  0x0000a7c8 0x0040b3c8 4   5    CODE    ascii   ZYYd
510  0x0000a80e 0x0040b40e 4   6    CODE    utf8    S3҉U blocks=Basic Latin,Cyrillic
511  0x0000a819 0x0040b419 4   6    CODE    utf8    Uhô@ blocks=Basic Latin,Latin-1 Supplement
512  0x0000a839 0x0040b439 4   5    CODE    ascii   \br\bt
513  0x0000a8af 0x0040b4af 4   5    CODE    ascii   ZYYd
514  0x0000aa24 0x0040b624 4   5    CODE    ascii   D$\f%
515  0x0000aaca 0x0040b6ca 4   6    CODE    utf8    _^Í@ blocks=Basic Latin,Latin-1 Supplement
516  0x0000aaf0 0x0040b6f0 7   10   CODE    utf8    ^[Ð3ɀ=H blocks=Basic Latin,Latin-1 Supplement,Latin Extended-B
517  0x0000ab34 0x0040b734 4   5    CODE    ascii   SVWU
518  0x0000ab8a 0x0040b78a 6   8    CODE    utf8    ]_^[ÐU blocks=Basic Latin,Latin-1 Supplement
519  0x0000abe5 0x0040b7e5 4   5    CODE    ascii   u#;]
520  0x0000ac5a 0x0040b85a 4   5    CODE    ascii   K;\$
521  0x0000ac7e 0x0040b87e 5   6    CODE    ascii   $YZ^[
522  0x0000acde 0x0040b8de 5   6    CODE    ascii   $YZ^[
523  0x0000ad13 0x0040b913 6   8    CODE    utf8    $Z[ÐSV blocks=Basic Latin,Latin-1 Supplement
524  0x0000ad4e 0x0040b94e 4   6    CODE    utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
525  0x0000ad8a 0x0040b98a 4   6    CODE    utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
526  0x0000ad90 0x0040b990 4   5    CODE    ascii   SVWU
527  0x0000adcf 0x0040b9cf 4   5    CODE    ascii   ]_^[
528  0x0000add4 0x0040b9d4 5   6    CODE    ascii   SVWUQ
529  0x0000ae09 0x0040ba09 10  12   CODE    utf8    Z]_^[ÐSVWU blocks=Basic Latin,Latin-1 Supplement
530  0x0000ae7c 0x0040ba7c 5   6    CODE    ascii   D$\fPj
531  0x0000aeb1 0x0040bab1 5   7    CODE    utf8    $+ŋT$ blocks=Basic Latin,Latin Extended-A
532  0x0000aec5 0x0040bac5 9   11   CODE    utf8    $YZ]_^[Í@ blocks=Basic Latin,Latin-1 Supplement
533  0x0000af12 0x0040bb12 9   11   CODE    utf8    YZ^[ÐSVWQ blocks=Basic Latin,Latin-1 Supplement
534  0x0000af57 0x0040bb57 7   9    CODE    utf8    uً\aZ_^[ blocks=Basic Latin,Arabic
535  0x0000af66 0x0040bb66 4   6    CODE    utf8    S3҉U blocks=Basic Latin,Cyrillic
536  0x0000af6e 0x0040bb6e 4   6    CODE    utf8    UhĻ@ blocks=Basic Latin,Latin Extended-A
537  0x0000afb0 0x0040bbb0 4   5    CODE    ascii   ZYYd
538  0x0000afd7 0x0040bbd7 4   5    CODE    ascii   QSVW
539  0x0000affb 0x0040bbfb 4   5    CODE    ascii   \7\a*
540  0x0000b028 0x0040bc28 5   6    CODE    ascii   \nD7\au
541  0x0000b02e 0x0040bc2e 7   9    CODE    utf8    _^[Y]á@ blocks=Basic Latin,Latin-1 Supplement
542  0x0000b16e 0x0040bd6e 4   7    CODE    utf8    .jJ蚩 blocks=Basic Latin,CJK Unified Ideographs
543  0x0000b19c 0x0040bd9c 4   5    CODE    ascii   Y_^[
544  0x0000b476 0x0040c076 4   5    CODE    ascii   ZYYd
545  0x0000b4b0 0x0040c0b0 6   7    CODE    ascii   m/d/yy
546  0x0000b4c0 0x0040c0c0 12  13   CODE    ascii   mmmm d, yyyy
547  0x0000b508 0x0040c108 5   6    CODE    ascii    AMPM
548  0x0000b518 0x0040c118 5   6    CODE    ascii   AMPM 
549  0x0000b534 0x0040c134 6   7    CODE    ascii   :mm:ss
550  0x0000b53f 0x0040c13f 5   11   CODE    utf16le jjjjj
551  0x0000b552 0x0040c152 4   6    CODE    utf8    ؋u\b3 blocks=Arabic,Basic Latin
552  0x0000b646 0x0040c246 4   5    CODE    ascii   ZYYd
553  0x0000b67e 0x0040c27e 4   6    CODE    utf8    S3\tE
554  0x0000b6f4 0x0040c2f4 4   5    CODE    ascii   ZYYd
555  0x0000b74b 0x0040c34b 6   8    CODE    utf8    Z^[ÐSh blocks=Basic Latin,Latin-1 Supplement
556  0x0000b788 0x0040c388 12  13   CODE    ascii   kernel32.dll
557  0x0000b798 0x0040c398 19  20   CODE    ascii   GetDiskFreeSpaceExA
558  0x0000b7d4 0x0040c3d4 4   5    CODE    ascii   SVWU
559  0x0000b7ea 0x0040c3ea 6   8    CODE    utf8    l$\b3ۋD blocks=Basic Latin,Arabic
560  0x0000b83a 0x0040c43a 5   6    CODE    ascii   \f]_^[
561  0x0000b858 0x0040c458 4   5    CODE    ascii   SVWU
562  0x0000b878 0x0040c478 4   7    CODE    utf8    3\nËD blocks=Basic Latin,Latin-1 Supplement
563  0x0000b8c9 0x0040c4c9 4   7    CODE    utf8    3\nÍD blocks=Basic Latin,Latin-1 Supplement
564  0x0000b8e3 0x0040c4e3 8   11   CODE    utf8    YZ]_^[Ë\v blocks=Basic Latin,Latin-1 Supplement
565  0x0000b8f5 0x0040c4f5 8   11   CODE    utf8    3҉P\bÐSVQ blocks=Basic Latin,Cyrillic,Latin-1 Supplement
566  0x0000b982 0x0040c582 4   9    CODE    utf16le jjjj
567  0x0000ba07 0x0040c607 5   8    CODE    utf8    ^[Ë\v@ blocks=Basic Latin,Latin-1 Supplement
568  0x0000ba50 0x0040c650 4   5    CODE    ascii   SVWU
569  0x0000bae7 0x0040c6e7 4   5    CODE    ascii   H;D$
570  0x0000baf4 0x0040c6f4 9   11   CODE    utf8    YZ]_^[ÐSQ blocks=Basic Latin,Latin-1 Supplement
571  0x0000baff 0x0040c6ff 4   7    CODE    utf8    ؋ԋC  blocks=Arabic,Cyrillic Supplement,Basic Latin
572  0x0000bb11 0x0040c711 6   8    CODE    utf8    u 3\tC$
573  0x0000bb46 0x0040c746 4   6    CODE    utf8    Z[Í@ blocks=Basic Latin,Latin-1 Supplement
574  0x0000bb4c 0x0040c74c 4   5    CODE    ascii   SVWQ
575  0x0000bb71 0x0040c771 5   6    CODE    ascii   ;G$t@
576  0x0000bbb6 0x0040c7b6 7   9    CODE    utf8    Z_^[ÐSQ blocks=Basic Latin,Latin-1 Supplement
577  0x0000bbbf 0x0040c7bf 4   7    CODE    utf8    ؋ԋC  blocks=Arabic,Cyrillic Supplement,Basic Latin
578  0x0000bbe8 0x0040c7e8 5   6    CODE    ascii   ;C$t4
579  0x0000c06d 0x0040cc6d 4   5    CODE    ascii   ZYYd
580  0x0000c0e0 0x0040cce0 4   5    CODE    ascii   ZYYd
581  0x0000c175 0x0040cd75 4   5    CODE    ascii   ZYYd
582  0x0000c1b0 0x0040cdb0 4   5    CODE    ascii   SVWU
583  0x0000c438 0x0040d038 4   5    CODE    ascii   QZ^&
584  0x0000c51f 0x0040d11f 4   6    CODE    utf8    \a7ò\t blocks=Basic Latin,Latin-1 Supplement
585  0x0000ca06 0x0040d606 10  12   CODE    utf8    h\fYZ]_^[ÐU blocks=Basic Latin,Latin-1 Supplement
586  0x0000ca5a 0x0040d65a 4   5    CODE    ascii   ZYYd
587  0x0000ca75 0x0040d675 7   9    CODE    utf8    _^[Y]ÐU blocks=Basic Latin,Latin-1 Supplement
588  0x0000ca82 0x0040d682 6   8    CODE    utf8    SVW3ɉM blocks=Basic Latin,Latin Extended-B
589  0x0000cb21 0x0040d721 5   6    CODE    ascii   @\fvT2
590  0x0000cbd9 0x0040d7d9 4   5    CODE    ascii   ZYYd
591  0x0000cc02 0x0040d802 4   5    CODE    ascii   ZYYd
592  0x0000cc51 0x0040d851 4   5    CODE    ascii   ZYYd
593  0x0000cc78 0x0040d878 32  33   CODE    ascii   5ce0d3ad6b4a07a7a35b6e35a7d02f04
594  0x0000cca4 0x0040d8a4 17  18   CODE    ascii   6b30a;ec2d7_h7`6f
595  0x0000ccc0 0x0040d8c0 7   8    CODE    ascii   f92924f
596  0x0000cd39 0x0040d939 4   5    CODE    ascii   ZYYd
597  0x0000cd5d 0x0040d95d 10  11   CODE    ascii   QQQQQQQSVW
598  0x0000ce86 0x0040da86 4   5    CODE    ascii   ZYYd
599  0x0000ceed 0x0040daed 4   5    CODE    ascii   ZYYd
600  0x0000cf0c 0x0040db0c 4   5    CODE    ascii   SVWU
601  0x0000cfb8 0x0040dbb8 4   6    CODE    utf8    ËT$\f blocks=Latin-1 Supplement,Basic Latin
602  0x0000d038 0x0040dc38 4   6    CODE    utf8    ËT$\f blocks=Latin-1 Supplement,Basic Latin
603  0x0000d04d 0x0040dc4d 4   6    CODE    utf8    ыL$\f blocks=Cyrillic,Basic Latin
604  0x0000d05a 0x0040dc5a 4   6    CODE    utf8    ыL$\f blocks=Cyrillic,Basic Latin
605  0x0000d08b 0x0040dc8b 4   5    CODE    ascii   r9G3
606  0x0000d094 0x0040dc94 4   5    CODE    ascii   D$\bP
607  0x0000d0c2 0x0040dcc2 4   6    CODE    utf8    EOuʃ blocks=Basic Latin,IPA Extensions
608  0x0000d0cd 0x0040dccd 5   6    CODE    ascii   H]_^[
609  0x0000d0d4 0x0040dcd4 5   6    CODE    ascii   S-%u-
610  0x0000d0dc 0x0040dcdc 26  27   CODE    ascii   0x%.2x%.2x%.2x%.2x%.2x%.2x
611  0x0000d100 0x0040dd00 4   5    CODE    ascii   SVWU
612  0x0000d112 0x0040dd12 7   10   CODE    utf8    3\tD$\b3۾ blocks=Basic Latin,Arabic
613  0x0000d11f 0x0040dd1f 5   7    CODE    utf8    3\tD$\f
614  0x0000d126 0x0040dd26 5   6    CODE    ascii   D$\bPS
615  0x0000d12f 0x0040dd2f 4   7    CODE    utf8    PVU詇 blocks=Basic Latin,CJK Unified Ideographs
616  0x0000d146 0x0040dd46 6   7    CODE    ascii   D$\bPj\b
617  0x0000d163 0x0040dd63 8   10   CODE    utf8    \$\b3\tD$\b
618  0x0000d16d 0x0040dd6d 5   6    CODE    ascii   D$\bPS
619  0x0000d199 0x0040dd99 5   6    CODE    ascii   D$\fPj
620  0x0000d1b6 0x0040ddb6 7   9    CODE    utf8    ]_^[ÐSV blocks=Basic Latin,Latin-1 Supplement
621  0x0000d22e 0x0040de2e 4   6    CODE    utf8    ƍT$\b blocks=Latin Extended-B,Basic Latin
622  0x0000d24c 0x0040de4c 4   6    CODE    utf8    ^[ÐU blocks=Basic Latin,Latin-1 Supplement
623  0x0000d269 0x0040de69 4   5    CODE    ascii   ZYYd
624  0x0000d311 0x0040df11 4   5    CODE    ascii   ZYYd
625  0x0000d370 0x0040df70 4   5    CODE    ascii   ZYYd
626  0x0000d38d 0x0040df8d 5   7    CODE    utf8    ^[Y]Ë blocks=Basic Latin,Latin-1 Supplement
627  0x0000d39a 0x0040df9a 6   8    CODE    utf8    SVW3ۉ] blocks=Basic Latin,Arabic
628  0x0000d3bf 0x0040dfbf 4   6    CODE    utf8     3ۋU blocks=Basic Latin,Arabic
629  0x0000d4a2 0x0040e0a2 4   5    CODE    ascii   ZYYd
630  0x0000d4f5 0x0040e0f5 4   6    CODE    utf8     3ۍE blocks=Basic Latin,Arabic
631  0x0000d544 0x0040e144 4   5    CODE    ascii   ZYYd
632  0x0000d58d 0x0040e18d 4   6    CODE    utf8     3ۍE blocks=Basic Latin,Arabic
633  0x0000d5c4 0x0040e1c4 4   5    CODE    ascii   ZYYd
634  0x0000d60d 0x0040e20d 4   6    CODE    utf8     3ۍE blocks=Basic Latin,Arabic
635  0x0000d653 0x0040e253 4   5    CODE    ascii   ZYYd
