[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
1026 0x00012566 0x00413366 7   8    .data   ascii   LFG}itE
1027 0x0001256e 0x0041336e 7   8    .data   ascii   fST^k9(
1028 0x00012585 0x00413385 5   7    .data   utf8    le5٥\b blocks=Basic Latin,Arabic
1029 0x000125b5 0x004133b5 8   9    .data   ascii   x;xszRkw
1030 0x000125ce 0x004133ce 6   7    .data   ascii   ]wIj?O
1031 0x000125da 0x004133da 5   6    .data   ascii   746_m
1032 0x000125e4 0x004133e4 9   10   .data   ascii   Ww;J;zDG6
1033 0x00012632 0x00413432 5   6    .data   ascii   EZTiG
1034 0x00012638 0x00413438 4   5    .data   ascii   y]mz
1035 0x0001264a 0x0041344a 5   6    .data   ascii   <t_{7
1036 0x00012660 0x00413460 12  13   .data   ascii   m^A9>~G9BlW1
1037 0x00012672 0x00413472 6   7    .data   ascii   E2N_(H
1038 0x00012695 0x00413495 4   5    .data   ascii   mRTm
1039 0x000126b2 0x004134b2 11  12   .data   ascii   9q\v\.St8le
1040 0x000126c9 0x004134c9 4   5    .data   ascii   aBNX
1041 0x000126d1 0x004134d1 4   5    .data   ascii   adE\
1042 0x000126d8 0x004134d8 5   6    .data   ascii   }s(Im
1043 0x000126e0 0x004134e0 8   9    .data   ascii   TuWCt~[ 
1044 0x000126e9 0x004134e9 6   7    .data   ascii   gAQmw\b
1045 0x00012725 0x00413525 4   5    .data   ascii   jMTb
1046 0x00012730 0x00413530 8   10   .data   utf8    ȕLH[j[0~ blocks=Latin Extended-B,Basic Latin
1047 0x00012741 0x00413541 4   5    .data   ascii   |97i
1048 0x00012746 0x00413546 6   7    .data   ascii   yarxP7
1049 0x00012752 0x00413552 5   6    .data   ascii   _TntI
1050 0x0001275a 0x0041355a 7   8    .data   ascii   /d^yilR
1051 0x0001276c 0x0041356c 9   10   .data   ascii   Uf(00gC0=
1052 0x0001278a 0x0041358a 5   7    .data   utf8    ~n؇(k blocks=Basic Latin,Arabic
1053 0x00012798 0x00413598 4   5    .data   ascii   mtAW
1054 0x000127ad 0x004135ad 6   8    .data   utf8    ]pFſAJ blocks=Basic Latin,Latin Extended-A
1055 0x000127c0 0x004135c0 5   6    .data   ascii   sdNpB
1056 0x000127ca 0x004135ca 5   6    .data   ascii   8HDx\b
1057 0x000127d5 0x004135d5 4   5    .data   ascii   ]0,3
1058 0x000127e8 0x004135e8 9   10   .data   ascii   Uz[GYgKzQ
1059 0x000127f4 0x004135f4 4   5    .data   ascii   >]PL
1060 0x0001281d 0x0041361d 5   7    .data   utf8    mPaϥ\b blocks=Basic Latin,Greek and Coptic
1061 0x00012825 0x00413625 4   5    .data   ascii   s\g\
1062 0x00012844 0x00413644 5   6    .data   ascii   @}`s<
1063 0x00012858 0x00413658 5   6    .data   ascii   LyN 4
1064 0x0001285e 0x0041365e 11  12   .data   ascii   Ar+{?BUwW6O
1065 0x000128a1 0x004136a1 5   7    .data   utf8    yRAۍc blocks=Basic Latin,Arabic
1066 0x000128a9 0x004136a9 5   7    .data   utf8    rizΈ< blocks=Basic Latin,Greek and Coptic
1067 0x000128b2 0x004136b2 5   6    .data   ascii   I Zx\b
1068 0x000128be 0x004136be 7   8    .data   ascii   YuNY$Bh
1069 0x000128c6 0x004136c6 5   6    .data   ascii   Gyat0
1070 0x000128cd 0x004136cd 4   5    .data   ascii   y[7G
1071 0x000128e2 0x004136e2 9   10   .data   ascii   cOcoo 5{\b
1072 0x0001290e 0x0041370e 5   7    .data   utf8    AjЖlh blocks=Basic Latin,Cyrillic
1073 0x00012940 0x00413740 5   6    .data   ascii   rf]Di
1074 0x0001294e 0x0041374e 5   6    .data   ascii   7LD[\b
1075 0x0001295c 0x0041375c 9   10   .data   ascii   ZdN0L|[H$
1076 0x00012981 0x00413781 6   8    .data   utf8    {f9߂ep blocks=Basic Latin,NKo
1077 0x000129ad 0x004137ad 8   11   .data   utf8    ~CfʓXY»\b blocks=Basic Latin,IPA Extensions,Latin-1 Supplement
1078 0x000129bd 0x004137bd 12  13   .data   ascii   d>XQ{M Gr~Qu
1079 0x000129cc 0x004137cc 7   8    .data   ascii   I^xz>p[
1080 0x000129f0 0x004137f0 8   9    .data   ascii   .vio\bbK
1081 0x00012a29 0x00413829 6   8    .data   utf8    cjvԑ&Q blocks=Basic Latin,Cyrillic Supplement
1082 0x00012a36 0x00413836 5   6    .data   ascii   iXSv7
1083 0x00012a4d 0x0041384d 8   9    .data   ascii   yLzNw=1>
1084 0x00012a56 0x00413856 7   8    .data   ascii   OABp<W^
1085 0x00012a64 0x00413864 5   6    .data   ascii   }]9r#
1086 0x00012a72 0x00413872 6   7    .data   ascii   Gk ]gK
1087 0x00012a79 0x00413879 5   7    .data   utf8    t{Rԥ\b blocks=Basic Latin,Cyrillic Supplement
1088 0x00012a82 0x00413882 4   6    .data   utf8    @nϥ\b blocks=Basic Latin,Greek and Coptic
1089 0x00012a9c 0x0041389c 4   5    .data   ascii   |qNu
1090 0x00012aba 0x004138ba 5   6    .data   ascii   }JT_\b
1091 0x00012ac0 0x004138c0 5   6    .data   ascii   f_[cW
1092 0x00012acc 0x004138cc 8   9    .data   ascii   ufMIG]r 
1093 0x00012ade 0x004138de 10  11   .data   ascii   [N?aJmJ}]P
1094 0x00012aec 0x004138ec 5   6    .data   ascii   m\{JS
1095 0x00012b06 0x00413906 5   7    .data   utf8    gW܋;S blocks=Basic Latin,Syriac
1096 0x00012b0e 0x0041390e 4   6    .data   utf8    =aĥ\b blocks=Basic Latin,Latin Extended-A
1097 0x00012b54 0x00413954 9   10   .data   ascii   \`dcNd(kI
1098 0x00012b6a 0x0041396a 9   10   .data   ascii   ?eVWW5Ab\b
1099 0x00012ba4 0x004139a4 4   5    .data   ascii   yw8e
1100 0x00012bb5 0x004139b5 4   5    .data   ascii   yJcw
1101 0x00012bc0 0x004139c0 9   10   .data   ascii   txIag^8hV
1102 0x00012bda 0x004139da 7   8    .data   ascii   \ ;l[KA
1103 0x00012bf0 0x004139f0 8   9    .data   ascii   7~yVL_N5
1104 0x00012c01 0x00413a01 5   7    .data   utf8    [&Dץ\b blocks=Basic Latin,Hebrew
1105 0x00012c29 0x00413a29 10  11   .data   ascii   rw4\x}D\q(
1106 0x00012c3c 0x00413a3c 5   6    .data   ascii   nndX`
1107 0x00012c4c 0x00413a4c 9   10   .data   ascii   kV[i\cM7e
1108 0x00012c69 0x00413a69 6   7    .data   ascii   uJi)z\b
1109 0x00012c70 0x00413a70 5   6    .data   ascii   ^Y;iY
1110 0x00012c76 0x00413a76 4   6    .data   utf8    F5إ\b blocks=Basic Latin,Arabic
1111 0x00012c94 0x00413a94 10  13   .data   utf8    \vcg̈Wrq_;g blocks=Basic Latin,Combining Diacritical Marks
1112 0x00012cc2 0x00413ac2 9   10   .data   ascii   \kL_FNt_r
1113 0x00012ccd 0x00413acd 4   5    .data   ascii   s0PJ
1114 0x00012ce0 0x00413ae0 5   6    .data   ascii   $kJK=
1115 0x00012ce6 0x00413ae6 5   6    .data   ascii   Acm}\b
1116 0x00012ced 0x00413aed 4   5    .data   ascii   |f17
1117 0x00012cf2 0x00413af2 6   7    .data   ascii   8T W|d
1118 0x00012d3e 0x00413b3e 5   6    .data   ascii   ^D^z\b
1119 0x00012d4c 0x00413b4c 5   6    .data   ascii   ^pX4h
1120 0x00012d52 0x00413b52 6   7    .data   ascii   kq<}(0
1121 0x00012d62 0x00413b62 7   8    .data   ascii   ~D5{\3Q
1122 0x00012d6e 0x00413b6e 6   7    .data   ascii   `8bjzk
1123 0x00012d81 0x00413b81 6   8    .data   utf8    k}Tƹ_9 blocks=Basic Latin,Latin Extended-B
1124 0x00012db5 0x00413bb5 4   5    .data   ascii   VE N
1125 0x00012dca 0x00413bca 6   7    .data   ascii   $hXhFs
1126 0x00012dd8 0x00413bd8 5   6    .data   ascii   c_?Y4
1127 0x00012de2 0x00413be2 7   8    .data   ascii   /VymzQ.
1128 0x00012ded 0x00413bed 8   9    .data   ascii   iy,'n< U
1129 0x00012e11 0x00413c11 6   8    .data   utf8    hW ďcj blocks=Basic Latin,Latin Extended-A
1130 0x00012e38 0x00413c38 5   6    .data   ascii   yX>M_
1131 0x00012e3e 0x00413c3e 5   6    .data   ascii   ^cN_\b
1132 0x00012e49 0x00413c49 8   9    .data   ascii   jJU<[aSj
1133 0x00012e58 0x00413c58 9   10   .data   ascii   6mNUsniWt
1134 0x00012e62 0x00413c62 7   8    .data   ascii   za:o$J?
1135 0x00012e6e 0x00413c6e 7   8    .data   ascii   }xCzLhO
1136 0x00012ed0 0x00413cd0 5   6    .data   ascii   7lY0W
1137 0x00012ee2 0x00413ce2 7   8    .data   ascii   }6yi_s,
1138 0x00012eee 0x00413cee 7   8    .data   ascii   }6agyR(
1139 0x00012f40 0x00413d40 4   5    .data   ascii   UV?e
1140 0x00012f4a 0x00413d4a 7   8    .data   ascii   y W~<b]
1141 0x00012f64 0x00413d64 5   6    .data   ascii   Ds\a6
1142 0x00012f74 0x00413d74 7   9    .data   utf8    Lq<tּlG blocks=Basic Latin,Hebrew
1143 0x00012f8d 0x00413d8d 6   8    .data   utf8    s^E\trA
1144 0x00012fa0 0x00413da0 4   5    .data   ascii   kvRg
1145 0x00012fa6 0x00413da6 6   8    .data   utf8    GRL[cm
1146 0x00012fb5 0x00413db5 4   5    .data   ascii   i&QZ
1147 0x00012fba 0x00413dba 7   8    .data   ascii   ;9}yK7_
1148 0x00012fd6 0x00413dd6 7   8    .data   ascii   AH?k(lm
1149 0x00012ff0 0x00413df0 4   5    .data   ascii   Dr]o
1150 0x00013035 0x00413e35 12  13   .data   ascii   w7.qX]rlhBRb
1151 0x00013044 0x00413e44 9   10   .data   ascii   kj}0EWK5_
1152 0x00013052 0x00413e52 5   6    .data   ascii   9kDW\b
1153 0x0001305c 0x00413e5c 9   10   .data   ascii   (nD6Sy<P"
1154 0x00013066 0x00413e66 7   8    .data   ascii   \Q#pKcU
1155 0x00013072 0x00413e72 6   7    .data   ascii   GX8T79
1156 0x00013085 0x00413e85 5   7    .data   utf8    locå\b blocks=Basic Latin,Latin-1 Supplement
1157 0x000130c8 0x00413ec8 4   5    .data   ascii   AbCP
1158 0x000130dc 0x00413edc 8   9    .data   ascii   Pkwe@vK4
1159 0x000130e8 0x00413ee8 9   10   .data   ascii   ?hrgEUAi)
1160 0x00013130 0x00413f30 5   6    .data   ascii   `]9Gm
1161 0x00013140 0x00413f40 17  18   .data   ascii   amZOkW9H`x(Kh_/wP
1162 0x00013154 0x00413f54 5   6    .data   ascii   ^pxT1
1163 0x0001315c 0x00413f5c 5   6    .data   ascii   3~ba5
1164 0x00013166 0x00413f66 6   7    .data   ascii   >m#_Ne
1165 0x00013172 0x00413f72 6   7    .data   ascii   CUCkls
1166 0x00013195 0x00413f95 6   8    .data   utf8    Rziގil blocks=Basic Latin,Thaana
1167 0x000131a1 0x00413fa1 11  12   .data   ascii   s^vyiGM^gkg
1168 0x000131c0 0x00413fc0 5   6    .data   ascii   Jb/8d
1169 0x000131e4 0x00413fe4 8   9    .data   ascii   ;d~M<SYl
1170 0x000131f2 0x00413ff2 9   11   .data   utf8    nzYT;TЃf3 blocks=Basic Latin,Cyrillic
1171 0x0001320e 0x0041400e 4   6    .data   utf8    (1ʎ& blocks=Basic Latin,IPA Extensions
1172 0x00013219 0x00414019 7   8    .data   ascii   }AI|o<F
1173 0x00013234 0x00414034 8   10   .data   utf8    ʷ@fldFg] blocks=Spacing Modifier Letters,Basic Latin
1174 0x00013244 0x00414044 5   6    .data   ascii   @TJCo
1175 0x00013250 0x00414050 8   9    .data   ascii   IoPB8qbN
1176 0x00013266 0x00414066 6   7    .data   ascii   pNWTMy
1177 0x00013271 0x00414071 7   8    .data   ascii   t}L@rcm
1178 0x00013289 0x00414089 6   8    .data   utf8    q]HՉ[T blocks=Basic Latin,Armenian
1179 0x000132b4 0x004140b4 5   6    .data   ascii   TTADp
1180 0x000132d1 0x004140d1 4   5    .data   ascii   $n`m
1181 0x000132e4 0x004140e4 4   5    .data   ascii   \v[E2
1182 0x00013310 0x00414110 5   7    .data   utf8    "Gqlܴ blocks=Basic Latin,Syriac
1183 0x00013329 0x00414129 10  13   .data   utf8    ʓOLW=~'`tҠ blocks=IPA Extensions,Basic Latin,Cyrillic
1184 0x00013336 0x00414136 4   5    .data   ascii   !Ge$
1185 0x0001333d 0x0041413d 4   5    .data   ascii   nq\bJ
1186 0x0001337c 0x0041417c 4   5    .data   ascii   Zfc\e
1187 0x00013390 0x00414190 4   5    .data   ascii   \b0~v
1188 0x000133a5 0x004141a5 4   5    .data   ascii   a)\n}
1189 0x000133b0 0x004141b0 4   6    .data   utf8    ;VWվ blocks=Basic Latin,Armenian
1190 0x000133d1 0x004141d1 4   5    .data   ascii   @rkZ
1191 0x000133fc 0x004141fc 5   7    .data   utf8    ZZw\eە blocks=Basic Latin,Arabic
1192 0x00013425 0x00414225 4   5    .data   ascii   n%'j
1193 0x00013451 0x00414251 4   5    .data   ascii   "~k5
1194 0x0001346e 0x0041426e 4   6    .data   utf8    :\e˃j blocks=Basic Latin,Spacing Modifier Letters
1195 0x000134af 0x004142af 5   7    .data   utf8    \fQirϼ blocks=Basic Latin,Greek and Coptic
1196 0x000134b6 0x004142b6 4   5    .data   ascii   UVe\e
1197 0x000134bd 0x004142bd 4   5    .data   ascii   ob*b
1198 0x000134e4 0x004142e4 5   6    .data   ascii   \nh\r\b)
1199 0x000134fc 0x004142fc 5   7    .data   utf8    \u~\aە blocks=Basic Latin,Arabic
1200 0x00013525 0x00414325 4   5    .data   ascii   q;'{
1201 0x0001352b 0x0041432b 5   6    .data   ascii   qPa^J
1202 0x00013551 0x00414351 4   5    .data   ascii   BHug
1203 0x00013590 0x00414390 4   5    .data   ascii   gGn`
1204 0x0001359c 0x0041439c 4   5    .data   ascii   ]Kh!
1205 0x000135b0 0x004143b0 4   6    .data   utf8    P_|à blocks=Basic Latin,Latin-1 Supplement
1206 0x000135f1 0x004143f1 6   8    .data   utf8    TaԀPw` blocks=Basic Latin,Cyrillic Supplement
1207 0x000135fc 0x004143fc 5   7    .data   utf8    ^~o6ט blocks=Basic Latin,Hebrew
1208 0x00013610 0x00414410 6   10   .data   utf8    i$lmѬ愵 blocks=Basic Latin,Cyrillic,CJK Unified Ideographs
1209 0x0001362b 0x0041442b 9   11   .data   utf8    I=gh:RTUӶ blocks=Basic Latin,Cyrillic
1210 0x0001363c 0x0041443c 5   6    .data   ascii   ?Td.[
1211 0x0001366d 0x0041446d 4   6    .data   utf8    R\a\nɦ blocks=Basic Latin,IPA Extensions
1212 0x00013690 0x00414490 4   5    .data   ascii   WF~v
1213 0x000136af 0x004144af 4   5    .data   ascii   \eEhM
1214 0x000136fc 0x004144fc 4   5    .data   ascii   IkbI
1215 0x00013724 0x00414524 4   5    .data   ascii   \vbj5
1216 0x00013729 0x00414529 5   7    .data   utf8    ǫC;~\v blocks=Latin Extended-B,Basic Latin
1217 0x00013730 0x00414530 4   6    .data   utf8    SUrϽ blocks=Basic Latin,Greek and Coptic
1218 0x00013751 0x00414551 4   5    .data   ascii   (zq[
1219 0x00013790 0x00414590 4   5    .data   ascii   Z&~k
1220 0x000137b5 0x004145b5 4   5    .data   ascii   Y4id
1221 0x000137bd 0x004145bd 4   5    .data   ascii   z>\fN
1222 0x000137f4 0x004145f4 4   5    .data   ascii   ?~4l
1223 0x00013816 0x00414616 4   6    .data   utf8    ΉzrI blocks=Greek and Coptic,Basic Latin
1224 0x0001382b 0x0041462b 9   11   .data   utf8    GLR\v;RWtߚ blocks=Basic Latin,NKo
1225 0x000138b0 0x004146b0 4   6    .data   utf8    ITUӶ blocks=Basic Latin,Cyrillic
1226 0x000138b6 0x004146b6 4   5    .data   ascii   .@i"
1227 0x000138d1 0x004146d1 4   5    .data   ascii   #HqQ
1228 0x000138fc 0x004146fc 5   7    .data   utf8    Zzd(ڔ blocks=Basic Latin,Arabic
1229 0x0001392b 0x0041472b 5   6    .data   ascii   C=R\v\n
1230 0x00013936 0x00414736 4   5    .data   ascii   #aZ:
1231 0x0001397c 0x0041477c 4   5    .data   ascii   M}w\n
1232 0x000139b6 0x004147b6 4   5    .data   ascii   UVT\b
1233 0x000139ca 0x004147ca 4   6    .data   utf8    ߲;me blocks=NKo,Basic Latin
1234 0x000139d0 0x004147d0 7   9    .data   utf8    ($~vjsɤ blocks=Basic Latin,IPA Extensions
1235 0x000139f4 0x004147f4 4   5    .data   ascii   Sd1e
1236 0x00013a12 0x00414812 4   7    .data   utf8    ~Vֶ߉ blocks=Basic Latin,Hebrew,NKo
1237 0x00013a34 0x00414834 5   7    .data   utf8    ˟UWe\n blocks=Spacing Modifier Letters,Basic Latin
1238 0x00013a3d 0x0041483d 4   5    .data   ascii   xa\bY
1239 0x00013aa4 0x004148a4 4   5    .data   ascii   \tJ\r'
1240 0x00013ab6 0x004148b6 4   5    .data   ascii    eX\r
1241 0x00013ad2 0x004148d2 4   5    .data   ascii   hnmm
1242 0x00013afc 0x004148fc 5   7    .data   utf8    xkd9ĉ blocks=Basic Latin,Latin Extended-A
1243 0x00013b30 0x00414930 8   10   .data   utf8    EX_Ӻf2|e blocks=Basic Latin,Cyrillic
1244 0x00013b3d 0x0041493d 4   5    .data   ascii   fd\ff
1245 0x00013b74 0x00414974 4   5    .data   ascii   6Q m
1246 0x00013b7c 0x0041497c 5   7    .data   utf8    ^yyGۚ blocks=Basic Latin,Arabic
1247 0x00013b90 0x00414990 6   10   .data   utf8    #&mvЦ郵 blocks=Basic Latin,Cyrillic,CJK Unified Ideographs
1248 0x00013bab 0x004149ab 4   5    .data   ascii   CGHQ
1249 0x00013bb4 0x004149b4 4   6    .data   utf8    [7aT
1250 0x00013bd0 0x004149d0 4   5    .data   ascii   (&~v
1251 0x00013bfc 0x004149fc 4   5    .data   ascii   \zs\r
1252 0x00013c1c 0x00414a1c 4   5    .data   ascii   `">\t
1253 0x00013c2b 0x00414a2b 4   5    .data   ascii   &0Z\v
1254 0x00013c3d 0x00414a3d 4   5    .data   ascii   wg/K
1255 0x00013c56 0x00414a56 4   6    .data   utf8    ڶrxK blocks=Arabic,Basic Latin
1256 0x00013c65 0x00414a65 5   6    .data   ascii   `J.eF
1257 0x00013c90 0x00414a90 4   5    .data   ascii   Z'mp
1258 0x00013cad 0x00414aad 4   5    .data   ascii   FK\r!
1259 0x00013cd1 0x00414ad1 4   5    .data   ascii   %vdj
1260 0x00013cf4 0x00414af4 4   5    .data   ascii   Go\tW
1261 0x00013d1c 0x00414b1c 4   5    .data   ascii   d(\f\t
1262 0x00013d30 0x00414b30 4   6    .data   utf8    Pl)Ҽ blocks=Basic Latin,Cyrillic
1263 0x00013d3d 0x00414b3d 4   5    .data   ascii   Ss\r_
1264 0x00013d51 0x00414b51 4   5    .data   ascii   %m`S
1265 0x00013d7c 0x00414b7c 5   7    .data   utf8    Otc\fį blocks=Basic Latin,Latin Extended-A
1266 0x00013d90 0x00414b90 4   5    .data   ascii   m(u`
1267 0x00013db4 0x00414bb4 5   7    .data   utf8    ų$p{* blocks=Latin Extended-A,Basic Latin
1268 0x00013dbd 0x00414bbd 4   5    .data   ascii   Jsiw
1269 0x00013de5 0x00414be5 5   6    .data   ascii   H-2db
1270 0x00013dfc 0x00414bfc 4   5    .data   ascii   ^Vc\f
1271 0x00013e10 0x00414c10 4   5    .data   ascii   o@pp
1272 0x00013e36 0x00414c36 4   5    .data   ascii   w[T7
1273 0x00013e3d 0x00414c3d 4   5    .data   ascii   `>6c
1274 0x00013e51 0x00414c51 9   11   .data   utf8    5|`?{ΗnG[ blocks=Basic Latin,Greek and Coptic
1275 0x00013eab 0x00414cab 9   11   .data   utf8    QPo\fRPir˶ blocks=Basic Latin,Spacing Modifier Letters
1276 0x00013ede 0x00414cde 10  13   .data   utf8    [U^@ƲɽXUUK blocks=Basic Latin,Latin Extended-B,IPA Extensions
1277 0x00013f10 0x00414d10 5   7    .data   utf8    [&b)Ә blocks=Basic Latin,Cyrillic
1278 0x00013f5e 0x00414d5e 10  13   .data   utf8    OXX5ƳݩR^QH blocks=Basic Latin,Latin Extended-B,Arabic Supplement
1279 0x00013fde 0x00414dde 5   7    .data   utf8    ZU])ɾ blocks=Basic Latin,IPA Extensions
1280 0x00013fe6 0x00414de6 4   5    .data   ascii   ]STR
1281 0x0001405e 0x00414e5e 10  13   .data   utf8    YRb;̹קXT[P blocks=Basic Latin,Combining Diacritical Marks,Hebrew
1282 0x000140de 0x00414ede 10  13   .data   utf8    [Sb>Ҳݻ\SUI blocks=Basic Latin,Cyrillic,Arabic Supplement
1283 0x00014130 0x00414f30 4   6    .data   utf8    QwqҶ blocks=Basic Latin,Cyrillic
1284 0x00014136 0x00414f36 4   5    .data   ascii   ykW<
1285 0x0001413c 0x00414f3c 5   6    .data   ascii   #Zo\n]
1286 0x00014151 0x00414f51 4   5    .data   ascii   %5jl
1287 0x00014190 0x00414f90 5   7    .data   utf8    o&})М blocks=Basic Latin,Cyrillic
1288 0x000141b6 0x00414fb6 4   5    .data   ascii   6iX8
1289 0x000141c4 0x00414fc4 4   7    .data   utf8    G뽊T" blocks=Basic Latin,Hangul Syllables
1290 0x00014210 0x00415010 4   5    .data   ascii   ,'zv
1291 0x00014230 0x00415030 9   11   .data   utf8    HjmȂf%e[' blocks=Basic Latin,Latin Extended-B
1292 0x00014252 0x00415052 4   5    .data   ascii   twZB
1293 0x00014274 0x00415074 4   5    .data   ascii   Cf!a
1294 0x000142b5 0x004150b5 4   5    .data   ascii   d-|P
1295 0x000142bd 0x004150bd 4   5    .data   ascii   G_EG
1296 0x000142d1 0x004150d1 4   5    .data   ascii   4z)_
1297 0x000142fc 0x004150fc 5   7    .data   utf8    a[dEչ blocks=Basic Latin,Armenian
1298 0x0001431c 0x0041511c 4   5    .data   ascii   U3\vL
1299 0x00014336 0x00415136 4   5    .data   ascii   8ve 
1300 0x0001433c 0x0041513c 5   6    .data   ascii   #^b\f[
1301 0x00014390 0x00415190 7   11   .data   utf8    i;s)ߐU blocks=Basic Latin,NKo,Private Use Area
1302 0x000143ab 0x004151ab 5   6    .data   ascii   JPm\v\f
1303 0x00014410 0x00415210 4   6    .data   utf8    e65v
1304 0x0001442f 0x0041522f 4   5    .data   ascii   \e6ns
1305 0x00014435 0x00415235 5   6    .data   ascii   b$li"
1306 0x00014461 0x00415261 4   7    .data   utf8    䏧\t_\v blocks=CJK Unified Ideographs Extension A,Basic Latin
1307 0x00014490 0x00415290 4   5    .data   ascii   `=}f
1308 0x000144b6 0x004152b6 4   5    .data   ascii   1~P7
1309 0x000144d1 0x004152d1 5   6    .data   ascii   <~roO
1310 0x000144f4 0x004152f4 4   5    .data   ascii   =h6`
1311 0x00014510 0x00415310 4   5    .data   ascii   e%54
1312 0x00014551 0x00415351 4   5    .data   ascii   1w`l
1313 0x00014590 0x00415390 5   7    .data   utf8    T1imۉ blocks=Basic Latin,Arabic
1314 0x000145ab 0x004153ab 10  12   .data   utf8    GSsD9Iatvf
1315 0x000145d6 0x004153d6 4   6    .data   utf8    ߁7gE blocks=NKo,Basic Latin
1316 0x000145e4 0x004153e4 4   5    .data   ascii   \fkF+
1317 0x000145fc 0x004153fc 5   7    .data   utf8    ^@r\bķ blocks=Basic Latin,Latin Extended-A
1318 0x00014610 0x00415410 4   5    .data   ascii   n.{`
1319 0x0001462f 0x0041542f 9   12   .data   utf8    \nLn*꺱6(~5 blocks=Basic Latin,Hangul Syllables
1320 0x0001463c 0x0041543c 4   6    .data   utf8    ֕Y\bD blocks=Hebrew,Basic Latin
1321 0x00014651 0x00415451 4   5    .data   ascii   5sal
1322 0x00014690 0x00415490 5   7    .data   utf8    Z85f֘ blocks=Basic Latin,Hebrew
1323 0x000146b6 0x004154b6 4   5    .data   ascii   6ja9
1324 0x000146d1 0x004154d1 4   5    .data   ascii   :~)U
1325 0x00014710 0x00415510 4   6    .data   utf8    q45i
1326 0x0001473d 0x0041553d 4   5    .data   ascii   N~Ec
1327 0x00014750 0x00415550 6   7    .data   ascii   ,/rv_K
1328 0x00014790 0x00415590 4   5    .data   ascii   ,:tj
1329 0x000147d1 0x004155d1 4   5    .data   ascii   6mDZ
1330 0x000147d6 0x004155d6 4   6    .data   utf8    Ίu@L blocks=Greek and Coptic,Basic Latin
1331 0x000147f4 0x004155f4 4   5    .data   ascii   +[e6
1332 0x0001481e 0x0041561e 5   7    .data   utf8    WRx ι blocks=Basic Latin,Greek and Coptic
1333 0x00014826 0x00415626 4   5    .data   ascii   ZTqK
1334 0x0001487c 0x0041567c 5   7    .data   utf8    lUo\eۓ blocks=Basic Latin,Arabic
1335 0x00014890 0x00415690 5   8    .data   utf8    g5Idꋋ blocks=Basic Latin,Yi Syllables
1336 0x000148b1 0x004156b1 8   10   .data   utf8    O!ծ\=k[" blocks=Basic Latin,Armenian
1337 0x000148e5 0x004156e5 5   6    .data   ascii   o5F~y
1338 0x000148eb 0x004156eb 5   6    .data   ascii   }\n^3^
1339 0x00014910 0x00415710 4   5    .data   ascii   %&F%
1340 0x0001492b 0x0041572b 8   9    .data   ascii   t I\v\n)ut
1341 0x00014935 0x00415735 5   6    .data   ascii   <=pT&
1342 0x0001493e 0x0041573e 4   5    .data   ascii   q\r`j
1343 0x0001495c 0x0041575c 5   6    .data   ascii   \e1SPF
1344 0x00014974 0x00415774 6   7    .data   ascii   6\j$\a2
1345 0x0001497c 0x0041577c 4   5    .data   ascii   ]Qs\n
1346 0x000149b6 0x004157b6 4   5    .data   ascii   rg_+
1347 0x00014a10 0x00415810 4   5    .data   ascii   o5oU
1348 0x00014a3d 0x0041583d 4   5    .data   ascii   =s?_
1349 0x00014a7a 0x0041587a 5   7    .data   utf8    LJ:s\e
1350 0x00014a90 0x00415890 8   12   .data   utf8    P mu͔ၡ?X blocks=Basic Latin,Combining Diacritical Marks,Myanmar
1351 0x00014aae 0x004158ae 5   6    .data   ascii   )\e6p?
1352 0x00014ab5 0x004158b5 5   6    .data   ascii   y2vT-
1353 0x00014abd 0x004158bd 4   5    .data   ascii   Gd\fu
1354 0x00014ad1 0x004158d1 4   5    .data   ascii   0gsW
1355 0x00014ade 0x004158de 4   6    .data   utf8    '2mѰ blocks=Basic Latin,Cyrillic
1356 0x00014af4 0x004158f4 4   5    .data   ascii   s{-t
1357 0x00014b10 0x00415910 5   7    .data   utf8    V66vہ blocks=Basic Latin,Arabic
1358 0x00014b36 0x00415936 4   5    .data   ascii   4`e1
1359 0x00014bab 0x004159ab 4   5    .data   ascii   &1W=
1360 0x00014bd1 0x004159d1 4   5    .data   ascii   '^}[
1361 0x00014bfc 0x004159fc 4   5    .data   ascii   `8gi
1362 0x00014c11 0x00415a11 4   7    .data   utf8    .3`撶 blocks=Basic Latin,CJK Unified Ideographs
1363 0x00014c24 0x00415a24 4   5    .data   ascii   \vk\t\v
1364 0x00014c2b 0x00415a2b 8   9    .data   ascii   \bJb\vEPXt
1365 0x00014c34 0x00415a34 5   7    .data   utf8    ÛwaP1 blocks=Latin-1 Supplement,Basic Latin
1366 0x00014c5d 0x00415a5d 5   7    .data   utf8    !Q6rޅ blocks=Basic Latin,Thaana
1367 0x00014c7c 0x00415a7c 5   7    .data   utf8    oS}\nۥ blocks=Basic Latin,Arabic
1368 0x00014cab 0x00415aab 9   11   .data   utf8    KP[F\e<m;о blocks=Basic Latin,Cyrillic
1369 0x00014cb6 0x00415ab6 4   5    .data   ascii   8k\'
1370 0x00014cbd 0x00415abd 4   5    .data   ascii   LsRH
1371 0x00014ceb 0x00415aeb 4   6    .data   utf8    ^ʥ8\f blocks=Basic Latin,IPA Extensions
1372 0x00014cfc 0x00415afc 4   5    .data   ascii   ZLsR
