[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
88   0x000012ff 0x004042ff 4   5    .bin    ascii   <^O\e
89   0x0000133f 0x0040433f 7   8    .bin    ascii   }N_ 'JJ
90   0x0000134b 0x0040434b 4   7    .bin    utf8    ҆&nϸ blocks=Cyrillic,Basic Latin,Greek and Coptic
91   0x000013ce 0x004043ce 4   5    .bin    ascii   AF$g
92   0x000013e1 0x004043e1 6   7    .bin    ascii   e.NA>\e
93   0x00001420 0x00404420 4   6    .bin    utf8    "rhʘ blocks=Basic Latin,IPA Extensions
94   0x00001442 0x00404442 4   5    .bin    ascii   :"\bO
95   0x0000144e 0x0040444e 4   5    .bin    ascii   =Zc0
96   0x00001488 0x00404488 5   6    .bin    ascii   fI`"J
97   0x000014ca 0x004044ca 4   5    .bin    ascii   XD6h
98   0x00001514 0x00404514 4   5    .bin    ascii   jO\a6
99   0x000015d7 0x004045d7 4   6    .bin    utf8    *R@ϑ blocks=Basic Latin,Greek and Coptic
100  0x0000160f 0x0040460f 4   6    .bin    utf8    h0ǘv blocks=Basic Latin,Latin Extended-B
101  0x0000164d 0x0040464d 4   5    .bin    ascii   }5/B
102  0x0000169f 0x0040469f 4   7    .bin    utf8    qޗc( blocks=Basic Latin,Thaana
103  0x000016c4 0x004046c4 5   6    .bin    ascii   d#281
104  0x00001728 0x00404728 4   5    .bin    ascii   ~.uv
105  0x0000173d 0x0040473d 4   5    .bin    ascii   DA&K
106  0x00001751 0x00404751 5   6    .bin    ascii   _qyrn
107  0x00001766 0x00404766 5   6    .bin    ascii   ?lrZ3
108  0x000017d7 0x004047d7 5   7    .bin    utf8    |MӁ=e blocks=Basic Latin,Cyrillic
109  0x00001816 0x00404816 8   10   .bin    utf8    6ڸ[n,jz\b blocks=Basic Latin,Arabic
110  0x0000182b 0x0040482b 4   6    .bin    utf8    \n\ȁ. blocks=Basic Latin,Combining Diacritical Marks
111  0x0000185b 0x0040485b 5   6    .bin    ascii   +>tT!
112  0x0000189f 0x0040489f 4   6    .bin    utf8    ވS(6 blocks=Thaana,Basic Latin
113  0x000018df 0x004048df 5   6    .bin    ascii   0r6(2
114  0x0000191e 0x0040491e 5   6    .bin    ascii   \vb#\t{
115  0x00001954 0x00404954 4   5    .bin    ascii   Zchb
116  0x0000198b 0x0040498b 4   5    .bin    ascii   &)b+
117  0x000019ac 0x004049ac 4   5    .bin    ascii   o?>K
118  0x00001a0b 0x00404a0b 4   6    .bin    utf8    }Ylk
119  0x00001a12 0x00404a12 5   6    .bin    ascii   ==(ox
120  0x00001a40 0x00404a40 4   5    .bin    ascii   G<0b
121  0x00001a4a 0x00404a4a 5   6    .bin    ascii   '\tbrw
122  0x00001a50 0x00404a50 8   10   .bin    utf8    YrN%"}͡\f blocks=Basic Latin,Combining Diacritical Marks
123  0x00001a85 0x00404a85 5   7    .bin    utf8    ,bd\h
124  0x00001ada 0x00404ada 4   5    .bin    ascii   4\fAc
125  0x00001b0f 0x00404b0f 4   5    .bin    ascii   aty]
126  0x00001c05 0x00404c05 4   7    .bin    utf8    ͜Szթ blocks=Combining Diacritical Marks,Basic Latin,Armenian
127  0x00001c2e 0x00404c2e 4   5    .bin    ascii   2\ez\a
128  0x00001c6f 0x00404c6f 5   6    .bin    ascii   F+Ao1
129  0x00001c92 0x00404c92 5   6    .bin    ascii    Tb>w
130  0x00001ca9 0x00404ca9 4   7    .bin    utf8    ŔЎ\@ blocks=Latin Extended-A,Cyrillic,Basic Latin
131  0x00001d20 0x00404d20 4   5    .bin    ascii   q!At
132  0x00001d4a 0x00404d4a 4   5    .bin    ascii   G$8@
133  0x00001d65 0x00404d65 4   5    .bin    ascii   {?Y\r
134  0x00001d75 0x00404d75 4   5    .bin    ascii   \aOaV
135  0x00001d95 0x00404d95 4   5    .bin    ascii   M(Y=
136  0x00001da2 0x00404da2 5   8    .bin    utf8    aݠ%@ڞ blocks=Basic Latin,Arabic Supplement,Arabic
137  0x00001df9 0x00404df9 4   5    .bin    ascii   2d,4
138  0x00001e0e 0x00404e0e 5   7    .bin    utf8    `r!ێL blocks=Basic Latin,Arabic
139  0x00001e36 0x00404e36 4   6    .bin    utf8    AtLӒ blocks=Basic Latin,Cyrillic
140  0x00001e56 0x00404e56 4   6    .bin    utf8    +obΕ blocks=Basic Latin,Greek and Coptic
141  0x00001e66 0x00404e66 4   6    .bin    utf8    :ȩE+ blocks=Basic Latin,Latin Extended-B
142  0x00001eb3 0x00404eb3 4   6    .bin    utf8    _Oaۢ blocks=Basic Latin,Arabic
143  0x00001ee2 0x00404ee2 4   7    .bin    utf8    ˹4ͫN blocks=Spacing Modifier Letters,Basic Latin,Combining Diacritical Marks
144  0x00001f41 0x00404f41 4   5    .bin    ascii   :dnb
145  0x00001f6d 0x00404f6d 4   5    .bin    ascii   {k\nf
146  0x00001f8e 0x00404f8e 4   5    .bin    ascii   [pCR
147  0x00001fbb 0x00404fbb 4   5    .bin    ascii   z"\aW
148  0x00001fd8 0x00404fd8 4   5    .bin    ascii   2%!*
149  0x00001ff1 0x00404ff1 4   5    .bin    ascii   | yQ
150  0x0000201d 0x0040501d 6   8    .bin    utf8    _HRs;Ϥ blocks=Basic Latin,Greek and Coptic
151  0x00002051 0x00405051 4   6    .bin    utf8    6.ٌK blocks=Basic Latin,Arabic
152  0x0000207b 0x0040507b 4   5    .bin    ascii   ;+ZJ
153  0x00002092 0x00405092 4   6    .bin    utf8    *\bcԜ blocks=Basic Latin,Cyrillic Supplement
154  0x000020a5 0x004050a5 4   6    .bin    utf8    "7Tډ blocks=Basic Latin,Arabic
155  0x000020b8 0x004050b8 4   5    .bin    ascii   4E/W
156  0x000020cd 0x004050cd 4   5    .bin    ascii   of8F
157  0x000020dd 0x004050dd 7   10   .bin    utf8    xξhڭ!4= blocks=Basic Latin,Greek and Coptic,Arabic
158  0x00002130 0x00405130 4   5    .bin    ascii   MuF?
159  0x0000216f 0x0040516f 4   5    .bin    ascii   vY%l
160  0x00002186 0x00405186 4   5    .bin    ascii   n^K0
161  0x000021bb 0x004051bb 4   5    .bin    ascii   []*P
162  0x000021c0 0x004051c0 4   5    .bin    ascii   \bO\er
163  0x000021d1 0x004051d1 5   6    .bin    ascii   4$f\fO
164  0x00002232 0x00405232 11  12   .bin    ascii   \t}e#/\b\a\bO\eB
165  0x00002243 0x00405243 5   6    .bin    ascii   eDCuK
166  0x00002254 0x00405254 4   5    .bin    ascii   (G-g
167  0x00002262 0x00405262 5   6    .bin    ascii   Q*SKO
168  0x00002276 0x00405276 5   6    .bin    ascii   s5#^)
169  0x0000228d 0x0040528d 4   5    .bin    ascii   q>*a
170  0x00002299 0x00405299 4   5    .bin    ascii   #UAp
171  0x000022f1 0x004052f1 4   7    .bin    utf8    k;噐* blocks=Basic Latin,CJK Unified Ideographs
172  0x000022fe 0x004052fe 4   5    .bin    ascii   bZZ5
173  0x00002344 0x00405344 10  12   .bin    utf8    mJuE*#WVXл blocks=Basic Latin,Cyrillic
174  0x00002450 0x00405450 4   5    .bin    ascii   3N3:
175  0x0000248e 0x0040548e 4   5    .bin    ascii   @C\fp
176  0x000024ad 0x004054ad 4   8    .bin    utf8    Ɨ䖗^0 blocks=Latin Extended-B,CJK Unified Ideographs Extension A,Basic Latin
177  0x000024d5 0x004054d5 6   8    .bin    utf8    ťmtj\\t blocks=Latin Extended-A,Basic Latin
178  0x00002569 0x00405569 4   7    .bin    utf8    XȮcĳ blocks=Basic Latin,Latin Extended-B,Latin Extended-A
179  0x00002573 0x00405573 4   6    .bin    utf8    ϩMQ\ blocks=Greek and Coptic,Basic Latin
180  0x00002588 0x00405588 5   6    .bin    ascii   Np[ ;
181  0x0000258e 0x0040558e 6   7    .bin    ascii   &Z}uEg
182  0x0000259e 0x0040559e 7   11   .bin    utf8    <ͱ$\1ك˃ blocks=Basic Latin,Greek and Coptic,Arabic,Spacing Modifier Letters
183  0x000025f2 0x004055f2 4   6    .bin    utf8    ݱ,;u blocks=Arabic Supplement,Basic Latin
184  0x00002627 0x00405627 4   5    .bin    ascii   fk!z
185  0x00002635 0x00405635 4   6    .bin    utf8    nƝcX blocks=Basic Latin,Latin Extended-B
186  0x00002664 0x00405664 4   5    .bin    ascii   e\nQa
187  0x000026fa 0x004056fa 4   5    .bin    ascii   zw 1
188  0x00002794 0x00405794 4   5    .bin    ascii   J_eO
