[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
314  0x000053fe 0x00405ffe 4   5    .text   ascii   key=
315  0x0000546f 0x0040606f 4   5    .text   ascii   swit
316  0x00005539 0x00406139 4   5    .text   ascii   D$\bA
317  0x000055c7 0x004061c7 4   5    .text   ascii   D$\bM
318  0x000056b5 0x004062b5 4   5    .text   ascii   \r\n\r\n
319  0x0000580b 0x0040640b 4   5    .text   ascii   D$\bU
320  0x000058e3 0x004064e3 6   7    .text   ascii   D$\b\n,@
321  0x00005928 0x00406528 6   7    .text   ascii   D$\b+1@
322  0x00005a10 0x00406610 4   5    .text   ascii   D$\f:
323  0x00005a18 0x00406618 4   5    .text   ascii   D$\b+
324  0x00005a9a 0x0040669a 4   5    .text   ascii   XXX\n
325  0x00005aa1 0x004066a1 4   5    .text   ascii   ANNI
326  0x00005aa6 0x004066a6 6   7    .text   ascii   @\bE-DA
327  0x00005aad 0x004066ad 7   8    .text   ascii   @\fEMONf
328  0x00005b60 0x00406760 4   5    .text   ascii   Y[_]
329  0x00005ba0 0x004067a0 4   5    .text   ascii   D$\b7
330  0x00005c06 0x00406806 4   5    .text   ascii   D$\b7
331  0x00005d01 0x00406901 4   6    .text   utf8    \tD$\b
332  0x00005d2e 0x0040692e 4   6    .text   utf8    \tD$\b
333  0x00005d80 0x00406980 4   5    .text   ascii   D$\b\a
334  0x00005de6 0x004069e6 4   5    .text   ascii   D$\b\t
335  0x00005e0e 0x00406a0e 4   5    .text   ascii   D$\b\v
336  0x00005e83 0x00406a83 4   5    .text   ascii   D$\b\t
337  0x000061fd 0x00406dfd 4   6    .text   utf8    \tD$\b
338  0x00006269 0x00406e69 4   6    .text   utf8    \tD$\b
339  0x00006379 0x00406f79 4   6    .text   utf8    E܉D$ blocks=Basic Latin,Syriac
340  0x000063ac 0x00406fac 5   7    .text   utf8    E܉D$\b blocks=Basic Latin,Syriac
341  0x000064a5 0x004070a5 4   6    .text   utf8    Љ\$\b blocks=Cyrillic,Basic Latin
342  0x00006646 0x00407246 4   6    .text   utf8    \tD$\f
343  0x00006699 0x00407299 4   5    .text   ascii   D$\b\a
344  0x000066c1 0x004072c1 4   5    .text   ascii   D$\b\a
345  0x000066e9 0x004072e9 4   5    .text   ascii   D$\b\t
346  0x00006711 0x00407311 4   5    .text   ascii   D$\b\r
347  0x00006739 0x00407339 4   5    .text   ascii   D$\b\f
348  0x00006761 0x00407361 4   5    .text   ascii   D$\b\v
349  0x00006789 0x00407389 4   5    .text   ascii   D$\b\f
350  0x000067b1 0x004073b1 4   5    .text   ascii   D$\b\v
351  0x000067d9 0x004073d9 4   5    .text   ascii   D$\b\b
352  0x00006801 0x00407401 4   5    .text   ascii   D$\b\t
353  0x00006826 0x00407426 4   5    .text   ascii   D$\b\n
354  0x0000684b 0x0040744b 4   5    .text   ascii   D$\b\v
355  0x0000693e 0x0040753e 4   5    .text   ascii   D$\b\f
356  0x000069e9 0x004075e9 4   6    .text   utf8    Љ\$\b blocks=Cyrillic,Basic Latin
357  0x00006d33 0x00407933 4   5    .text   ascii   not 
358  0x00006d3a 0x0040793a 5   6    .text   ascii   founf
359  0x00006e8b 0x00407a8b 4   5    .text   ascii   not 
360  0x00006e92 0x00407a92 5   6    .text   ascii   founf
361  0x00006e9f 0x00407a9f 4   5    .text   ascii   [^_]
362  0x00006f85 0x00407b85 5   6    .text   ascii   l[^_]
363  0x00007294 0x00407e94 5   8    .text   utf8    )IȉT$ blocks=Basic Latin,Latin Extended-B
364  0x000072ee 0x00407eee 4   5    .text   ascii   E\b)E
365  0x000073e5 0x00407fe5 7   10   .text   utf8    E\vUĉD$\b blocks=Basic Latin,Latin Extended-A
366  0x00007406 0x00408006 7   10   .text   utf8    EȋỦD$\b blocks=Basic Latin,Latin Extended-B,Combining Diacritical Marks
367  0x000074cf 0x004080cf 4   5    .text   ascii   D$\bg
368  0x00007671 0x00408271 5   7    .text   utf8    E؉D$\f blocks=Basic Latin,Arabic
369  0x00007a21 0x00408621 4   5    .text   ascii   D$\b\t
370  0x00007aa8 0x004086a8 4   5    .text   ascii   D$\b\t
371  0x00007ad5 0x004086d5 4   6    .text   utf8    EԉD$ blocks=Basic Latin,Cyrillic Supplement
372  0x00007b15 0x00408715 4   5    .text   ascii   D$\b\t
373  0x00007b5d 0x0040875d 7   10   .text   utf8    EԍU؉T$  blocks=Basic Latin,Cyrillic Supplement,Arabic
374  0x00007bb6 0x004087b6 4   5    .text   ascii   D$\b\t
375  0x00007c21 0x00408821 6   9    .text   utf8    E؍UЉT$ blocks=Basic Latin,Arabic,Cyrillic
376  0x00007c61 0x00408861 4   5    .text   ascii   D$\b\t
377  0x00007ca2 0x004088a2 6   9    .text   utf8    EЍUĉT$ blocks=Basic Latin,Cyrillic,Latin Extended-A
378  0x00007cac 0x004088ac 5   7    .text   utf8    UȉT$\f blocks=Basic Latin,Latin Extended-B
379  0x00007ccb 0x004088cb 4   7    .text   utf8    E܋Eą blocks=Basic Latin,Syriac,Latin Extended-A
380  0x00007d09 0x00408909 4   6    .text   utf8    M̉L$ blocks=Basic Latin,Combining Diacritical Marks
381  0x00007d2b 0x0040892b 4   7    .text   utf8    E܋Ẽ blocks=Basic Latin,Syriac,Combining Diacritical Marks
382  0x000080e1 0x00408ce1 4   5    .text   ascii   <-u\e
383  0x00008126 0x00408d26 4   5    .text   ascii   ;E\fv
384  0x00008142 0x00408d42 4   6    .text   utf8    ʉD$\b blocks=IPA Extensions,Basic Latin
385  0x00008164 0x00408d64 5   6    .text   ascii   ;E\fs\v
386  0x00008183 0x00408d83 4   5    .text   ascii   ;E\fs
387  0x000081af 0x00408daf 4   5    .text   ascii   < t"
388  0x00008a41 0x00409641 4   6    .text   utf8    U܉T$ blocks=Basic Latin,Syriac
389  0x00008a4f 0x0040964f 4   5    .text   ascii   D$\b\n
390  0x00008e2c 0x00409a2c 5   6    .text   ascii   D$$t\n
391  0x00009139 0x00409d39 4   6    .text   utf8    ʋT$@ blocks=IPA Extensions,Basic Latin
392  0x000091ea 0x00409dea 4   5    .text   ascii   D$\b\e
393  0x0000924c 0x00409e4c 4   6    .text   utf8    M\v\rX
394  0x0000932f 0x00409f2f 4   6    .text   utf8    E\t4$
395  0x00009339 0x00409f39 4   6    .text   utf8    EĉD$ blocks=Basic Latin,Latin Extended-A
396  0x00009347 0x00409f47 7   9    .text   utf8    [^_]Ít& blocks=Basic Latin,Latin-1 Supplement
397  0x00009362 0x00409f62 7   11   .text   utf8    @tɋE؍}ȋ blocks=Basic Latin,Latin Extended-B,Arabic
398  0x00009376 0x00409f76 4   5    .text   ascii   D$\b@
399  0x00009394 0x00409f94 4   6    .text   utf8    Eĉ4$ blocks=Basic Latin,Latin Extended-A
400  0x000093b0 0x00409fb0 5   7    .text   utf8    Eȉ|$\f blocks=Basic Latin,Latin Extended-B
401  0x000093bb 0x00409fbb 4   6    .text   utf8    E؉D$ blocks=Basic Latin,Arabic
402  0x000093cf 0x00409fcf 5   7    .text   utf8    [^_]Ã blocks=Basic Latin,Latin-1 Supplement
403  0x000093ea 0x00409fea 4   5    .text   ascii   D$\b@
404  0x000093f6 0x00409ff6 5   7    .text   utf8    ẺL$\f blocks=Basic Latin,Combining Diacritical Marks
405  0x000094c4 0x0040a0c4 4   6    .text   utf8    )čD$ blocks=Basic Latin,Latin Extended-A
406  0x00009584 0x0040a184 5   7    .text   utf8    [^_]û blocks=Basic Latin,Latin-1 Supplement
407  0x00009597 0x0040a197 6   9    .text   utf8    ẺEčt& blocks=Basic Latin,Combining Diacritical Marks,Latin Extended-A
408  0x00009629 0x0040a229 5   7    .text   utf8    EȉD$\f blocks=Basic Latin,Latin Extended-B
409  0x0000963c 0x0040a23c 4   6    .text   utf8    E؉D$ blocks=Basic Latin,Arabic
410  0x00009699 0x0040a299 4   7    .text   utf8    MčU̹ blocks=Basic Latin,Latin Extended-A,Combining Diacritical Marks
411  0x000096e5 0x0040a2e5 4   7    .text   utf8    MčU̹ blocks=Basic Latin,Latin Extended-A,Combining Diacritical Marks
412  0x00009703 0x0040a303 4   7    .text   utf8    M̉MĹ blocks=Basic Latin,Combining Diacritical Marks,Latin Extended-A
413  0x0000983d 0x0040a43d 7   10   .text   utf8    [^_]ÍE؉ blocks=Basic Latin,Latin-1 Supplement,Arabic
414  0x000098aa 0x0040a4aa 5   7    .text   utf8    [^_]Ð blocks=Basic Latin,Latin-1 Supplement
415  0x000099bc 0x0040a5bc 4   5    .text   ascii   [^_]
416  0x000099e8 0x0040a5e8 6   8    .text   utf8    [^]Ít& blocks=Basic Latin,Latin-1 Supplement
417  0x00009a48 0x0040a648 4   6    .text   utf8    [^]þ blocks=Basic Latin,Latin-1 Supplement
418  0x00009a71 0x0040a671 5   7    .text   utf8    u\r1\v]
419  0x00009bc6 0x0040a7c6 4   5    .text   ascii   8MZt
420  0x00009bfb 0x0040a7fb 4   6    .text   utf8    t\e1Ґ blocks=Basic Latin,Cyrillic
421  0x00009c1a 0x0040a81a 4   6    .text   utf8    [^Ív blocks=Basic Latin,Latin-1 Supplement
422  0x00009c20 0x0040a820 4   5    .text   ascii   UWV1
423  0x00009c37 0x0040a837 4   5    .text   ascii   \bw\vf
424  0x00009c41 0x0040a841 4   5    .text   ascii   MZt\v
425  0x00009c4a 0x0040a84a 5   7    .text   utf8    [^_]Ð blocks=Basic Latin,Latin-1 Supplement
426  0x00009c8b 0x0040a88b 4   5    .text   ascii   D$\b\b
427  0x00009ca9 0x0040a8a9 4   5    .text   ascii   [^_]
428  0x00009cb8 0x0040a8b8 6   8    .text   utf8    ^_]Ít& blocks=Basic Latin,Latin-1 Supplement
429  0x00009ccd 0x0040a8cd 4   5    .text   ascii   MZt\a
430  0x00009d4e 0x0040a94e 4   5    .text   ascii   \$\ft
431  0x00009d87 0x0040a987 5   6    .text   ascii   B' t\a
432  0x00009da1 0x0040a9a1 4   7    .text   utf8    [^É։ blocks=Basic Latin,Latin-1 Supplement,Armenian
433  0x00009e5c 0x0040aa5c 4   6    .text   utf8    [^_ø blocks=Basic Latin,Latin-1 Supplement
434  0x00009e7b 0x0040aa7b 4   6    .text   utf8    tډt$ blocks=Basic Latin,Arabic
435  0x00009e99 0x0040aa99 4   7    .text   utf8    u\v뺍v blocks=Basic Latin,Hangul Syllables
436  0x00009ed7 0x0040aad7 4   6    .text   utf8    [^_Ð blocks=Basic Latin,Latin-1 Supplement
437  0x00009ee8 0x0040aae8 4   5    .text   ascii   L$\fr
438  0x00009f10 0x0040ab10 4   5    .text   ascii   UWVS
439  0x00009f58 0x0040ab58 6   8    .text   utf8    [^_]Ív blocks=Basic Latin,Latin-1 Supplement
440  0x00009f6a 0x0040ab6a 5   6    .text   ascii   u6;\f$
441  0x00009f8e 0x0040ab8e 4   6    .text   utf8    ^_]Ã blocks=Basic Latin,Latin-1 Supplement
442  0x0000a019 0x0040ac19 4   6    .text   utf8    ^_]Ð blocks=Basic Latin,Latin-1 Supplement
443  0x0000a030 0x0040ac30 4   5    .text   ascii   UWVS
444  0x0000a0a7 0x0040aca7 7   9    .text   utf8    L[^_]Ív blocks=Basic Latin,Latin-1 Supplement
445  0x0000a0e1 0x0040ace1 8   9    .text   ascii   </t^<\tZ
446  0x0000a0ee 0x0040acee 6   7    .text   ascii   <\t\b</
447  0x0000a186 0x0040ad86 4   5    .text   ascii   <\t6
448  0x0000a18c 0x0040ad8c 5   6    .text   ascii   t2</u
449  0x0000a312 0x0040af12 8   9    .text   ascii   </t\r<\t\t
450  0x0000a3a3 0x0040afa3 4   5    .text   ascii   [^_]
451  0x0000a3b8 0x0040afb8 6   8    .text   utf8    [^_]Ív blocks=Basic Latin,Latin-1 Supplement
452  0x0000a497 0x0040b097 4   6    .text   utf8    t/ǃ( blocks=Basic Latin,Latin Extended-B
453  0x0000a60f 0x0040b20f 4   5    .text   ascii   |_t-
454  0x0000a639 0x0040b239 5   7    .text   utf8    [^Ít& blocks=Basic Latin,Latin-1 Supplement
455  0x0000a66a 0x0040b26a 4   6    .text   utf8    [^Ív blocks=Basic Latin,Latin-1 Supplement
456  0x0000a6c1 0x0040b2c1 4   5    .text   ascii   %D%A
457  0x0000a6c9 0x0040b2c9 4   5    .text   ascii   %p%A
458  0x0000a6d1 0x0040b2d1 4   5    .text   ascii   %P%A
459  0x0000a701 0x0040b301 4   5    .text   ascii   %`%A
460  0x0000a709 0x0040b309 4   5    .text   ascii   % %A
461  0x0000a711 0x0040b311 4   5    .text   ascii   %4%A
462  0x0000a719 0x0040b319 4   5    .text   ascii   %8%A
463  0x0000a729 0x0040b329 4   5    .text   ascii   %d%A
464  0x0000a731 0x0040b331 4   5    .text   ascii   %T%A
465  0x0000a739 0x0040b339 4   5    .text   ascii   %0%A
466  0x0000a749 0x0040b349 4   5    .text   ascii   %<%A
467  0x0000a751 0x0040b351 4   5    .text   ascii   %l%A
468  0x0000a759 0x0040b359 4   5    .text   ascii   %$%A
469  0x0000a761 0x0040b361 4   5    .text   ascii   %,%A
470  0x0000a769 0x0040b369 4   5    .text   ascii   %(%A
471  0x0000a779 0x0040b379 4   5    .text   ascii   %X%A
472  0x0000a781 0x0040b381 4   5    .text   ascii   %L%A
473  0x0000a789 0x0040b389 4   5    .text   ascii   %|%A
474  0x0000a799 0x0040b399 4   5    .text   ascii   %h%A
475  0x0000a7a1 0x0040b3a1 4   5    .text   ascii   %@%A
476  0x0000a7a9 0x0040b3a9 4   5    .text   ascii   %x%A
477  0x0000a7b1 0x0040b3b1 4   5    .text   ascii   %H%A
478  0x0000a7d1 0x0040b3d1 4   5    .text   ascii   %\%A
479  0x0000a7e9 0x0040b3e9 4   5    .text   ascii   %\b%A
480  0x0000a7f1 0x0040b3f1 4   5    .text   ascii   %\f%A
481  0x0000a7f9 0x0040b3f9 4   5    .text   ascii   %t%A
482  0x0000a841 0x0040b441 4   5    .text   ascii   %X$A
483  0x0000a849 0x0040b449 4   5    .text   ascii   %\$A
484  0x0000ac00 0x0040d000 13  14   .rdata  ascii   libgcj-13.dll
485  0x0000ac0e 0x0040d00e 19  20   .rdata  ascii   _Jv_RegisterClasses
486  0x0000ac24 0x0040d024 6   7    .rdata  ascii   230019
487  0x0000ac2b 0x0040d02b 14  15   .rdata  ascii   /sbin/info.cgi
488  0x0000ac3a 0x0040d03a 21  22   .rdata  ascii   snowy-nature.ddns.net
489  0x0000ac50 0x0040d050 151 152  .rdata  ascii   POST %s HTTP/1.1\r\nHost: %s\r\nUser-Agent: Mozilla/4.0 (compatible; MSIE 6.0; Windows XP)\r\nReferer: http://%s%s\r\nCokkie: xtl_s=%s\r\nContent-Length: 207\r\n\r\n
490  0x0000acea 0x0040d0ea 17  18   .rdata  ascii   XXX\nANNIE-DAEMON\n
491  0x0000acfe 0x0040d0fe 17  18   .rdata  ascii   .\Sagittarius.txt
492  0x0000ad18 0x0040d118 55  56   .rdata  ascii   <System up time>\nContinuous operation time: %lu msec.\n\n
493  0x0000ad50 0x0040d150 25  26   .rdata  ascii   <Sample path & meta data>
494  0x0000ad6b 0x0040d16b 16  17   .rdata  ascii   <Start up list>\n
495  0x0000ad7c 0x0040d17c 24  25   .rdata  ascii   <Desktop customization>\n
496  0x0000ad95 0x0040d195 22  23   .rdata  ascii   <File access history>\n
497  0x0000adac 0x0040d1ac 8   18   .rdata  utf16le DeviceId
498  0x0000adc0 0x0040d1c0 21  44   .rdata  utf16le PCI\VEN_80EE&DEV_CAFE
499  0x0000adec 0x0040d1ec 14  15   .rdata  ascii   .\Scorpius.txt
500  0x0000adfc 0x0040d1fc 9   20   .rdata  utf16le \nDeviceID
501  0x0000ae10 0x0040d210 4   10   .rdata  utf16le name
502  0x0000ae1c 0x0040d21c 20  42   .rdata  utf16le NumberOfFunctionKeys
503  0x0000ae46 0x0040d246 6   14   .rdata  utf16le Layout
504  0x0000ae54 0x0040d254 12  26   .rdata  utf16le Manufacturer
505  0x0000ae6e 0x0040d26e 12  26   .rdata  utf16le HardwareType
506  0x0000ae88 0x0040d288 25  52   .rdata  utf16le CurrentVerticalResolution
507  0x0000aebc 0x0040d2bc 27  56   .rdata  utf16le CurrentHorizontalResolution
508  0x0000aef4 0x0040d2f4 11  24   .rdata  utf16le MonitorType
509  0x0000af0c 0x0040d30c 12  26   .rdata  utf16le ScreenHeight
510  0x0000af26 0x0040d326 11  24   .rdata  utf16le ScreenWidth
511  0x0000af40 0x0040d340 19  40   .rdata  utf16le MonitorManufacturer
512  0x0000af68 0x0040d368 4   10   .rdata  utf16le Name
513  0x0000af72 0x0040d372 7   16   .rdata  utf16le Product
514  0x0000af82 0x0040d382 7   16   .rdata  utf16le Version
515  0x0000af92 0x0040d392 12  26   .rdata  utf16le SerialNumber
516  0x0000afac 0x0040d3ac 11  24   .rdata  utf16le ReleaseDate
517  0x0000afc4 0x0040d3c4 17  36   .rdata  utf16le SMBIOSBIOSVersion
518  0x0000afe8 0x0040d3e8 11  24   .rdata  utf16le InstallDate
519  0x0000b000 0x0040d400 14  30   .rdata  utf16le RegisteredUser
520  0x0000b01e 0x0040d41e 6   14   .rdata  utf16le Locale
521  0x0000b02c 0x0040d42c 13  28   .rdata  utf16le TimeGenerated
522  0x0000b048 0x0040d448 11  12   .rdata  ascii   <keyboard>\n
523  0x0000b054 0x0040d454 28  58   .rdata  utf16le SELECT * FROM Win32_keyboard
524  0x0000b096 0x0040d496 10  22   .rdata  utf16le ROOT\CIMV2
525  0x0000b0ac 0x0040d4ac 8   9    .rdata  ascii   <mouse>\n
526  0x0000b0b8 0x0040d4b8 34  70   .rdata  utf16le SELECT * FROM Win32_PointingDevice
527  0x0000b0fe 0x0040d4fe 13  14   .rdata  ascii   <video card>\n
528  0x0000b10c 0x0040d50c 35  72   .rdata  utf16le SELECT * FROM Win32_VideoController
529  0x0000b154 0x0040d554 18  19   .rdata  ascii   <desktop monitor>\n
530  0x0000b168 0x0040d568 34  70   .rdata  utf16le SELECT * FROM Win32_DesktopMonitor
531  0x0000b1ae 0x0040d5ae 6   7    .rdata  ascii   <usb>\n
532  0x0000b1b8 0x0040d5b8 56  114  .rdata  utf16le SELECT * FROM Win32_PnPEntity WHERE DeviceID like 'USB' 
533  0x0000b22a 0x0040d62a 15  16   .rdata  ascii   <mother board>\n
534  0x0000b23c 0x0040d63c 29  60   .rdata  utf16le SELECT * FROM Win32_BaseBoard
535  0x0000b278 0x0040d678 7   8    .rdata  ascii   <bios>\n
536  0x0000b280 0x0040d680 24  50   .rdata  utf16le SELECT * FROM Win32_BIOS
537  0x0000b2b2 0x0040d6b2 5   6    .rdata  ascii   <os>\n
538  0x0000b2b8 0x0040d6b8 35  72   .rdata  utf16le SELECT * FROM Win32_OperatingSystem
539  0x0000b300 0x0040d700 16  17   .rdata  ascii   <login history>\n
540  0x0000b314 0x0040d714 74  150  .rdata  utf16le SELECT * FROM Win32_NTLogEvent WHERE logfile='system' And EventCode='6005'
541  0x0000b3aa 0x0040d7aa 21  22   .rdata  ascii   <emulator detection>\n
542  0x0000b3c0 0x0040d7c0 47  48   .rdata  ascii     [*] Detect by checking for VBox devices  ... 
543  0x0000b3f0 0x0040d7f0 10  22   .rdata  utf16le root\cimv2
544  0x0000b406 0x0040d806 6   7    .rdata  ascii   FALSE\n
545  0x0000b410 0x0040d810 36  74   .rdata  utf16le SELECT DeviceId FROM Win32_PnPEntity
546  0x0000b45a 0x0040d85a 5   6    .rdata  ascii   TRUE\n
547  0x0000b460 0x0040d860 53  54   .rdata  ascii     [*] Detect by looking for VMware serial number ... 
548  0x0000b498 0x0040d898 35  72   .rdata  utf16le SELECT SerialNumber FROM Win32_Bios
549  0x0000b4e0 0x0040d8e0 6   14   .rdata  utf16le VMware
550  0x0000b4ee 0x0040d8ee 14  15   .rdata  ascii   .\Circinus.txt
551  0x0000b500 0x0040d900 32  33   .rdata  ascii   <IP, MAC, Default Gateway, DNS>\n
552  0x0000b521 0x0040d921 13  14   .rdata  ascii   \n<Port List>\n
553  0x0000b52f 0x0040d92f 12  13   .rdata  ascii   \n<ARP List>\n
554  0x0000b53c 0x0040d93c 14  15   .rdata  ascii   .\Aquarius.txt
555  0x0000b54e 0x0040d94e 19  20   .rdata  ascii   <Application list>\n
556  0x0000b562 0x0040d962 4   5    .rdata  ascii   .exe
557  0x0000b567 0x0040d967 16  17   .rdata  ascii   C:\Program Files
558  0x0000b578 0x0040d978 11  12   .rdata  ascii   .\Orion.txt
559  0x0000b587 0x0040d987 17  18   .rdata  ascii   \n<OS product ID>\n
560  0x0000b599 0x0040d999 22  23   .rdata  ascii   <System manufacturer>\n
561  0x0000b5b0 0x0040d9b0 13  14   .rdata  ascii   <OS Version>\n
562  0x0000b5be 0x0040d9be 15  16   .rdata  ascii   <# Processors>\n
563  0x0000b5ce 0x0040d9ce 9   10   .rdata  ascii   <Memory>\n
564  0x0000b5d8 0x0040d9d8 7   8    .rdata  ascii   <Disk>\n
565  0x0000b5e0 0x0040d9e0 21  22   .rdata  ascii   <# Icons of Desktop>\n
566  0x0000b5f6 0x0040d9f6 16  17   .rdata  ascii   <System locale>\n
567  0x0000b607 0x0040da07 13  14   .rdata  ascii   <Resolution>\n
568  0x0000b615 0x0040da15 12  13   .rdata  ascii   .\Pisces.txt
569  0x0000b628 0x0040da28 45  46   .rdata  ascii   Sandbox detected 'TRUE', undetected 'FALSE'\n\n
570  0x0000b656 0x0040da56 21  22   .rdata  ascii   [-] Cuckoo detection\n
571  0x0000b66c 0x0040da6c 93  94   .rdata  ascii     [*] Detect by cuckoo return address is stored in the TLS (hooks information structure) ... 
572  0x0000b6cc 0x0040dacc 142 143  .rdata  ascii        Cuckoo stores the return address in an extra space, allocated in the hook information structure FS: TLS_HOOK_INFO (Thread Local Storage)\n
573  0x0000b75c 0x0040db5c 206 207  .rdata  ascii        Therefor read the address of hook information and calculate the min and max value for the return address value location. Also FireEye use cuckoo https://github.com/David-Reguera-Garcia-Dreg/anticuckoo\n
574  0x0000b82b 0x0040dc2b 19  20   .rdata  ascii   [-] Qemu detection\n
575  0x0000b840 0x0040dc40 42  43   .rdata  ascii     [*] Reg key Scsi identifier is QEMU ... 
576  0x0000b86b 0x0040dc6b 4   5    .rdata  ascii   QEMU
577  0x0000b870 0x0040dc70 10  11   .rdata  ascii   Identifier
578  0x0000b87c 0x0040dc7c 76  77   .rdata  ascii   HARDWARE\DEVICEMAP\Scsi\Scsi Port 0\Scsi Bus 0\Target Id 0\Logical Unit Id 0
579  0x0000b8c9 0x0040dcc9 4   5    .rdata  ascii   TRUE
580  0x0000b8d0 0x0040dcd0 81  82   .rdata  ascii     [*] Reg key (HKLM\HARDWARE\Description\System "SystemBiosVersion") is QEMU ... 
581  0x0000b922 0x0040dd22 17  18   .rdata  ascii   SystemBiosVersion
582  0x0000b934 0x0040dd34 27  28   .rdata  ascii   HARDWARE\Description\System
583  0x0000b950 0x0040dd50 24  25   .rdata  ascii   [-] Sandboxie detection\n
584  0x0000b96c 0x0040dd6c 56  57   .rdata  ascii     [*] Using GetModuleHandle() to search sbiedll.dll ... 
585  0x0000b9a5 0x0040dda5 11  12   .rdata  ascii   sbiedll.dll
586  0x0000b9b1 0x0040ddb1 19  20   .rdata  ascii   [-] VBox detection\n
587  0x0000b9c8 0x0040ddc8 42  43   .rdata  ascii     [*] Reg key Scsi identifier is VBOX ... 
588  0x0000b9f3 0x0040ddf3 4   5    .rdata  ascii   VBOX
589  0x0000b9f8 0x0040ddf8 80  81   .rdata  ascii     [*] Reg key (HKLM\HARDWARE\Description\System "SystemBiosVersion") is VBOX... 
590  0x0000ba4c 0x0040de4c 68  69   .rdata  ascii     [*] Reg key (HKLM\SOFTWARE\Oracle\VirtualBox Guest Additions) ... 
591  0x0000ba94 0x0040de94 42  43   .rdata  ascii   SOFTWARE\Oracle\VirtualBox Guest Additions
592  0x0000bac0 0x0040dec0 85  86   .rdata  ascii     [*] Reg key (HKLM\HARDWARE\Description\System "VideoBiosVersion") is VIRTUALBOX... 
593  0x0000bb16 0x0040df16 10  11   .rdata  ascii   VIRTUALBOX
594  0x0000bb21 0x0040df21 16  17   .rdata  ascii   VideoBiosVersion
595  0x0000bb34 0x0040df34 51  52   .rdata  ascii     [*] Reg key (HKLM\HARDWARE\ACPI\DSDT\VBOX__) ... 
596  0x0000bb68 0x0040df68 25  26   .rdata  ascii   HARDWARE\ACPI\DSDT\VBOX__
597  0x0000bb84 0x0040df84 51  52   .rdata  ascii     [*] Reg key (HKLM\HARDWARE\ACPI\FADT\VBOX__) ... 
598  0x0000bbb8 0x0040dfb8 25  26   .rdata  ascii   HARDWARE\ACPI\FADT\VBOX__
599  0x0000bbd4 0x0040dfd4 51  52   .rdata  ascii     [*] Reg key (HKLM\HARDWARE\ACPI\RSDT\VBOX__) ... 
600  0x0000bc08 0x0040e008 25  26   .rdata  ascii   HARDWARE\ACPI\RSDT\VBOX__
601  0x0000bc24 0x0040e024 63  64   .rdata  ascii     [*] Reg key (HKLM\SYSTEM\ControlSet001\Services\VBox* x5 ... 
602  0x0000bc64 0x0040e064 39  40   .rdata  ascii   SYSTEM\ControlSet001\Services\VBoxGuest
603  0x0000bc8c 0x0040e08c 39  40   .rdata  ascii   SYSTEM\ControlSet001\Services\VBoxMouse
604  0x0000bcb4 0x0040e0b4 41  42   .rdata  ascii   SYSTEM\ControlSet001\Services\VBoxService
605  0x0000bce0 0x0040e0e0 36  37   .rdata  ascii   SYSTEM\ControlSet001\Services\VBoxSF
606  0x0000bd08 0x0040e108 39  40   .rdata  ascii   SYSTEM\ControlSet001\Services\VBoxVideo
607  0x0000bd30 0x0040e130 39  40   .rdata  ascii   VirtualBox traced using Reg key HKLM\%s
608  0x0000bd58 0x0040e158 82  83   .rdata  ascii     [*] Reg key (HKLM\HARDWARE\DESCRIPTION\System "SystemBiosDate") is 06/23/99 ... 
609  0x0000bdab 0x0040e1ab 8   9    .rdata  ascii   06/23/99
610  0x0000bdb4 0x0040e1b4 14  15   .rdata  ascii   SystemBiosDate
611  0x0000bdc3 0x0040e1c3 27  28   .rdata  ascii   HARDWARE\DESCRIPTION\System
612  0x0000bde0 0x0040e1e0 73  74   .rdata  ascii     [*] Detect by driver files in C:\WINDOWS\system32\drivers\VBox* x4 ... 
613  0x0000be2c 0x0040e22c 41  42   .rdata  ascii   C:\WINDOWS\system32\drivers\VBoxMouse.sys
614  0x0000be58 0x0040e258 41  42   .rdata  ascii   C:\WINDOWS\system32\drivers\VBoxGuest.sys
615  0x0000be84 0x0040e284 38  39   .rdata  ascii   C:\WINDOWS\system32\drivers\VBoxSF.sys
616  0x0000beac 0x0040e2ac 41  42   .rdata  ascii   C:\WINDOWS\system32\drivers\VBoxVideo.sys
617  0x0000bed8 0x0040e2d8 38  39   .rdata  ascii   VirtualBox traced using driver file %s
618  0x0000bf00 0x0040e300 55  56   .rdata  ascii     [*] Detect by additional system files vbox* x 14 ... 
619  0x0000bf38 0x0040e338 32  33   .rdata  ascii   C:\WINDOWS\system32\vboxdisp.dll
620  0x0000bf5c 0x0040e35c 32  33   .rdata  ascii   C:\WINDOWS\system32\vboxhook.dll
621  0x0000bf80 0x0040e380 33  34   .rdata  ascii   C:\WINDOWS\system32\vboxmrxnp.dll
622  0x0000bfa4 0x0040e3a4 31  32   .rdata  ascii   C:\WINDOWS\system32\vboxogl.dll
623  0x0000bfc4 0x0040e3c4 39  40   .rdata  ascii   C:\WINDOWS\system32\vboxoglarrayspu.dll
624  0x0000bfec 0x0040e3ec 37  38   .rdata  ascii   C:\WINDOWS\system32\vboxoglcrutil.dll
625  0x0000c014 0x0040e414 39  40   .rdata  ascii   C:\WINDOWS\system32\vboxoglerrorspu.dll
