[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
78   0x000029cf 0x004035cf 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
79   0x000029f4 0x004035f4 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
80   0x00002a17 0x00403617 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
81   0x00002a1e 0x0040361e 4   5    .text   ascii   D$\bD
82   0x00002a52 0x00403652 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
83   0x00002a77 0x00403677 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
84   0x00002a9a 0x0040369a 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
85   0x00002aa1 0x004036a1 4   5    .text   ascii   D$\bU
86   0x00002ac5 0x004036c5 4   5    .text   ascii   D$\b!
87   0x00002ae5 0x004036e5 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
88   0x00002b0a 0x0040370a 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
89   0x00002b2d 0x0040372d 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
90   0x00002b34 0x00403734 4   5    .text   ascii   D$\b3
91   0x00002b68 0x00403768 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
92   0x00002b8d 0x0040378d 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
93   0x00002bb0 0x004037b0 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
94   0x00002bb7 0x004037b7 4   5    .text   ascii   D$\b3
95   0x00002beb 0x004037eb 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
96   0x00002c10 0x00403810 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
97   0x00002c33 0x00403833 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
98   0x00002c3a 0x0040383a 4   5    .text   ascii   D$\b3
99   0x00002c6e 0x0040386e 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
100  0x00002c93 0x00403893 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
101  0x00002cb6 0x004038b6 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
102  0x00002cbd 0x004038bd 4   5    .text   ascii   D$\b?
103  0x00002d16 0x00403916 4   6    .text   utf8    )čD$ blocks=Basic Latin,Latin Extended-A
