[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x00000087 0x00000087 7   10           utf8    8W͍8W͍8 blocks=Basic Latin,Combining Diacritical Marks
2    0x00000093 0x00000093 4   6            utf8    8_͍8 blocks=Basic Latin,Combining Diacritical Marks
3    0x0000009f 0x0000009f 14  19           utf8    88҇8\͍88҉8U͍8a blocks=Basic Latin,Cyrillic,Combining Diacritical Marks
4    0x000000b3 0x000000b3 5   7            utf8    8T͍8a blocks=Basic Latin,Combining Diacritical Marks
5    0x000000bb 0x000000bb 7   10           utf8    8T͍8W͌8 blocks=Basic Latin,Combining Diacritical Marks
6    0x000000c9 0x000000c9 5   8            utf8    ҆8R͍8 blocks=Cyrillic,Basic Latin,Combining Diacritical Marks
7    0x000000d1 0x000000d1 12  16           utf8    ˋ8V͍8RichW͍8 blocks=Spacing Modifier Letters,Basic Latin,Combining Diacritical Marks
8    0x00000217 0x00000217 7   8            ascii   `Prdata
9    0x0000023f 0x0000023f 6   7            ascii   @.data
10   0x00000268 0x00000268 5   6            ascii   .rsrc
11   0x00001132 0x00401132 4   5    1t      ascii   hR)@
12   0x00001195 0x00401195 4   5    1t      ascii   h 6@
13   0x000011d8 0x004011d8 4   5    1t      ascii   L$\bQ
14   0x000011fc 0x004011fc 4   5    1t      ascii   L$(d
15   0x00001208 0x00401208 5   7    1t      utf8    4ËN j blocks=Basic Latin,Latin-1 Supplement
16   0x000012c2 0x004012c2 4   5    1t      ascii   hh)@
17   0x00001304 0x00401304 4   5    1t      ascii   L$`d
18   0x000015b8 0x004015b8 5   6    1t      ascii   L$\b^d
19   0x000015e8 0x004015e8 4   5    1t      ascii   h@*@
20   0x000015f7 0x004015f7 4   5    1t      ascii   TSUV
21   0x00001618 0x00401618 5   6    1t      ascii   T$ RP
22   0x00001642 0x00401642 4   5    1t      ascii   -<0@
23   0x00001649 0x00401649 4   5    1t      ascii   D$$P
24   0x0000168c 0x0040168c 5   6    1t      ascii   L$tQP
25   0x000016ec 0x004016ec 6   8    1t      utf8    ;؉D$lt blocks=Basic Latin,Arabic
26   0x00001744 0x00401744 5   6    1t      ascii   L$8PQ
27   0x00001763 0x00401763 4   5    1t      ascii   L$TQ
28   0x000017e6 0x004017e6 5   6    1t      ascii   D$$@9
29   0x0000183b 0x0040183b 6   7    1t      ascii   D$$h9@
30   0x0000186e 0x0040186e 5   6    1t      ascii   T$8PR
31   0x00001885 0x00401885 8   10   1t      utf8    T$x\e\vL$<
32   0x000018a1 0x004018a1 6   8    1t      utf8    W#KNXj
33   0x000018d7 0x004018d7 5   6    1t      ascii   \f?PQj
34   0x000018e9 0x004018e9 6   7    1t      ascii   D$$T9@
35   0x00001909 0x00401909 6   7    1t      ascii   D$$@9@
36   0x0000195e 0x0040195e 6   7    1t      ascii   D$$h9@
37   0x0000196c 0x0040196c 4   5    1t      ascii   D$x\a
38   0x00001991 0x00401991 5   6    1t      ascii   T$8PR
39   0x000019a8 0x004019a8 8   10   1t      utf8    T$x\e\vL$<
