[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000f0 0x000000f0 5   8            utf8    Rich慥 blocks=Basic Latin,CJK Unified Ideographs
2    0x00000118 0x00000118 4   5            ascii   \nsS`
3    0x00000208 0x00000208 8   9            ascii   .textbss
4    0x00000230 0x00000230 5   6            ascii   .text
5    0x00000257 0x00000257 7   8            ascii   `.rdata
6    0x0000027f 0x0000027f 6   7            ascii   @.data
7    0x000002a8 0x000002a8 6   7            ascii   .idata
8    0x000002cf 0x000002cf 10  11           ascii   @.msvcjmci
9    0x000002f8 0x000002f8 6   7            ascii   .00cfg
10   0x0000031f 0x0000031f 6   7            ascii   @.rsrc
11   0x00000347 0x00000347 7   8            ascii   @.reloc
12   0x0000f609 0x10093209 4   5    .text   ascii   SVWQ
13   0x0000f679 0x10093279 4   5    .text   ascii   SVWQ
14   0x0000f6e9 0x100932e9 4   5    .text   ascii   SVWQ
15   0x0000f767 0x10093367 4   5    .text   ascii   SVWQ
16   0x0000f7a9 0x100933a9 4   5    .text   ascii   Y_^[
17   0x0000f7f7 0x100933f7 4   5    .text   ascii   SVWQ
18   0x0000f839 0x10093439 4   5    .text   ascii   Y_^[
19   0x0000f887 0x10093487 4   5    .text   ascii   SVWQ
20   0x0000f8c9 0x100934c9 4   5    .text   ascii   Y_^[
21   0x0000f909 0x10093509 4   5    .text   ascii   SVWQ
22   0x0000f987 0x10093587 4   5    .text   ascii   SVWQ
23   0x0000f9fc 0x100935fc 4   5    .text   ascii   Y_^[
24   0x0000fa49 0x10093649 4   5    .text   ascii   SVWQ
25   0x0000fab9 0x100936b9 4   5    .text   ascii   SVWQ
26   0x0000fb49 0x10093749 4   5    .text   ascii   SVWQ
27   0x0000fbc7 0x100937c7 4   5    .text   ascii   SVWQ
28   0x0000fc3c 0x1009383c 4   5    .text   ascii   Y_^[
29   0x0000fc97 0x10093897 4   5    .text   ascii   SVWQ
30   0x0000fcd9 0x100938d9 4   5    .text   ascii   Y_^[
31   0x0000fd71 0x10093971 8   12   .text   utf8    3ɉEԉM؋E\b blocks=Basic Latin,Latin Extended-B,Cyrillic Supplement,Arabic
32   0x0000fe20 0x10093a20 5   7    .text   utf8    UȋE\bP blocks=Basic Latin,Latin Extended-B
33   0x0000fe91 0x10093a91 5   8    .text   utf8    EĉMȃ} blocks=Basic Latin,Latin Extended-A,Latin Extended-B
34   0x0000ffb2 0x10093bb2 5   8    .text   utf8    EĉMȃ} blocks=Basic Latin,Latin Extended-A,Latin Extended-B
35   0x000100ed 0x10093ced 4   5    .text   ascii   Y_^[
36   0x00010283 0x10093e83 4   5    .text   ascii   Y_^[
37   0x00010384 0x10093f84 5   6    .text   ascii   ;E\bw\a
38   0x000103cc 0x10093fcc 4   5    .text   ascii   jeh0
39   0x00010499 0x10094099 5   6    .text   ascii   E\b_^[
40   0x00010510 0x10094110 4   5    .text   ascii   \b_^[
41   0x00010579 0x10094179 4   5    .text   ascii   \f_^[
42   0x000105e4 0x100941e4 7   8    .text   ascii   E\b;E\ft\e
43   0x000106c9 0x100942c9 4   5    .text   ascii   SVWQ
44   0x00010769 0x10094369 4   5    .text   ascii   SVWQ
45   0x0001080a 0x1009440a 4   5    .text   ascii   \n_^[
46   0x00010878 0x10094478 4   5    .text   ascii   SVWQ
47   0x000108b9 0x100944b9 4   5    .text   ascii   M\b+\b
48   0x0001097c 0x1009457c 6   7    .text   ascii   M\b;\bu$
49   0x00010a5d 0x1009465d 4   5    .text   ascii   Y_^[
50   0x00010b29 0x10094729 5   6    .text   ascii   E\b_^[
51   0x00010cf9 0x100948f9 5   6    .text   ascii   E\b_^[
52   0x00010d49 0x10094949 5   6    .text   ascii   E\b_^[
53   0x00010e0f 0x10094a0f 4   5    .text   ascii   \f_^[
54   0x00010f08 0x10094b08 5   6    .text   ascii   E\fPj\b
55   0x00010f35 0x10094b35 4   5    .text   ascii   Y_^[
56   0x00010ff3 0x10094bf3 4   5    .text   ascii   Y_^[
