[Strings]
nth  paddr      vaddr      len  size section  type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
101  0x00003a38 0x10003a38 4    5    UPX0     ascii   E\b;F
102  0x00003b01 0x10003b01 4    5    UPX0     ascii   DK\ff
103  0x00003b83 0x10003b83 4    5    UPX0     ascii   }\bj\r
104  0x00003ca7 0x10003ca7 5    6    UPX0     ascii   \b\b@Iu
105  0x00003cd0 0x10003cd0 4    6    UPX0     utf8    \vM~\f
106  0x00003e22 0x10003e22 4    5    UPX0     ascii   u\bWV
107  0x00003eac 0x10003eac 4    5    UPX0     ascii   u\ehp
108  0x00003ed7 0x10003ed7 4    5    UPX0     ascii   <v5h
109  0x00003ee5 0x10003ee5 4    5    UPX0     ascii   \fET4
110  0x00003f68 0x10003f68 5    8    UPX0     utf8    tD3ۋˊ blocks=Basic Latin,Arabic,Spacing Modifier Letters
111  0x00003f7b 0x10003f7b 4    5    UPX0     ascii   Ot\tA
112  0x00003fbd 0x10003fbd 5    6    UPX0     ascii   SSSSS
113  0x0000400e 0x1000400e 4    5    UPX0     ascii   _^[]
114  0x00004038 0x10004038 4    5    UPX0     ascii   \bSVW
115  0x000040a1 0x100040a1 4    5    UPX0     ascii   Y_^[
116  0x000040d2 0x100040d2 4    5    UPX0     ascii   Y_^[
117  0x000040eb 0x100040eb 4    5    UPX0     ascii   f9\bt
118  0x000040f2 0x100040f2 4    6    UPX0     utf8    ]ËH< blocks=Basic Latin,Latin-1 Supplement
119  0x00004136 0x10004136 4    6    UPX0     utf8    X^Ã& blocks=Basic Latin,Latin-1 Supplement
120  0x000041db 0x100041db 4    5    UPX0     ascii   r\rPS
121  0x000041ef 0x100041ef 4    5    UPX0     ascii   r>PS
122  0x0000426a 0x1000426a 4    6    UPX0     utf8    j\bh?
123  0x00004339 0x10004339 4    6    UPX0     utf8    }؋u\b blocks=Basic Latin,Arabic
124  0x0000439d 0x1000439d 4    5    UPX0     ascii   t#Ht
125  0x00004423 0x10004423 4    6    UPX0     utf8    EЃg` blocks=Basic Latin,Cyrillic
126  0x00004447 0x10004447 4    7    UPX0     utf8    щUԡT blocks=Cyrillic,Basic Latin,Cyrillic Supplement
127  0x00004465 0x10004465 4    6    UPX0     utf8    Uԋ\rP blocks=Basic Latin,Cyrillic Supplement
128  0x000044c2 0x100044c2 4    6    UPX0     utf8    EЉG` blocks=Basic Latin,Cyrillic
129  0x000044cd 0x100044cd 5    7    UPX0     utf8    ẺGd3 blocks=Basic Latin,Combining Diacritical Marks
130  0x000044e8 0x100044e8 4    5    UPX0     ascii   u\b9q
131  0x00004506 0x10004506 4    5    UPX0     ascii   s\t9q
132  0x0000452f 0x1000452f 6    7    UPX0     ascii   URPQQh
133  0x00004545 0x10004545 6    8    UPX0     utf8    3ĉD$\bd blocks=Basic Latin,Latin Extended-A
134  0x0000455a 0x1000455a 4    5    UPX0     ascii   L$,3
135  0x000045ac 0x100045ac 6    8    UPX0     utf8    _^[ËL$ blocks=Basic Latin,Latin-1 Supplement
136  0x00004612 0x10004612 4    5    UPX0     ascii   UVWS
137  0x00004624 0x10004624 5    7    UPX0     utf8    [_^]Ë blocks=Basic Latin,Latin-1 Supplement
138  0x00004645 0x10004645 4    5    UPX0     ascii   SVWj
139  0x0000464a 0x1000464a 4    5    UPX0     ascii   RhVF
140  0x00004656 0x10004656 4    5    UPX0     ascii   _^[]
141  0x0000465d 0x1000465d 5    6    UPX0     ascii   l$\bRQ
142  0x0000476a 0x1000476a 4    6    UPX0     utf8    ]ËE\f blocks=Basic Latin,Latin-1 Supplement
143  0x00004945 0x10004945 4    5    UPX0     ascii   woSW
144  0x00004988 0x10004988 6    7    UPX0     ascii   u&j\f[9
145  0x00004a8a 0x10004a8a 4    5    UPX0     ascii   ;E\fs
146  0x00004b1f 0x10004b1f 4    5    UPX0     ascii   \at0f
147  0x00004c87 0x10004c87 6    7    UPX0     ascii   Genuu_
148  0x00004c90 0x10004c90 6    7    UPX0     ascii   ineIuV
149  0x00004c99 0x10004c99 7    8    UPX0     ascii   nteluM3
150  0x00004cbe 0x10004cbe 4    5    UPX0     ascii   t#=`
151  0x00004cda 0x10004cda 4    5    UPX0     ascii   t\a=p
152  0x00005206 0x10005206 4    6    UPX0     utf8    H;ƍp blocks=Basic Latin,Latin Extended-B
153  0x00005228 0x10005228 4    5    UPX0     ascii   9E(j
154  0x00005362 0x10005362 4    5    UPX0     ascii   t@WV
155  0x0000537e 0x1000537e 6    7    UPX0     ascii   PP9E u
156  0x00005432 0x10005432 4    5    UPX0     ascii   SVW3
157  0x0000544a 0x1000544a 5    6    UPX0     ascii   9E WW
158  0x000054bf 0x100054bf 4    5    UPX0     ascii   \ePWV
159  0x00005574 0x10005574 8    9    UPX0     ascii   u\r9M\fu&3
160  0x000055cf 0x100055cf 4    5    UPX0     ascii   t%Ou
161  0x0000579a 0x1000579a 4    5    UPX0     ascii   tO95
162  0x000058c4 0x100058c4 4    5    UPX0     ascii   SVW3
163  0x0000590a 0x1000590a 4    5    UPX0     ascii   _^[]
164  0x00005993 0x10005993 4    5    UPX0     ascii   M\fSW
165  0x00005998 0x10005998 9    10   UPX0     ascii   }\bjA[jZZ+
166  0x000059b1 0x100059b1 4    5    UPX0     ascii   r\rf;
167  0x000059c8 0x100059c8 5    6    UPX0     ascii   r\ff;E
168  0x000059d9 0x100059d9 4    5    UPX0     ascii   Nt\nf
169  0x00005aca 0x10005aca 4    5    UPX0     ascii   oF f
170  0x00005b26 0x10005b26 4    5    UPX0     ascii   oF f
171  0x00005b7e 0x10005b7e 4    5    UPX0     ascii   oF f
172  0x00005d49 0x10005d49 6    8    UPX0     utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
173  0x00005d55 0x10005d55 6    8    UPX0     utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
174  0x00005d67 0x10005d67 7    9    UPX0     utf8    D$\f^_ÍI blocks=Basic Latin,Latin-1 Supplement
175  0x00005d81 0x10005d81 6    8    UPX0     utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
176  0x00005ee5 0x10005ee5 6    8    UPX0     utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
177  0x00005ef3 0x10005ef3 7    9    UPX0     utf8    D$\f^_ÍI blocks=Basic Latin,Latin-1 Supplement
178  0x00005f09 0x10005f09 6    8    UPX0     utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
179  0x00005f23 0x10005f23 6    8    UPX0     utf8    D$\f^_Í blocks=Basic Latin,Latin-1 Supplement
180  0x00005f5b 0x10005f5b 4    5    UPX0     ascii   oV f
181  0x00005f60 0x10005f60 4    5    UPX0     ascii   o^0f
182  0x00005f78 0x10005f78 4    5    UPX0     ascii   of@f
183  0x00005f7d 0x10005f7d 4    5    UPX0     ascii   onPf
184  0x00005f82 0x10005f82 4    5    UPX0     ascii   ov`f
185  0x00005f87 0x10005f87 4    5    UPX0     ascii   o~pf
186  0x00005ff4 0x10005ff4 5    6    UPX0     ascii   \aFGIu
187  0x00006000 0x10006000 4    6    UPX0     utf8    X^_Í blocks=Basic Latin,Latin-1 Supplement
188  0x00006027 0x10006027 4    5    UPX0     ascii   FGIu
189  0x00006082 0x10006082 4    5    UPX0     ascii   x$;\r
190  0x00006108 0x10006108 7    9    UPX0     utf8    u\b3ۋF\f$ blocks=Basic Latin,Arabic
191  0x00006120 0x10006120 4    5    UPX0     ascii   >+~\b
192  0x00006196 0x10006196 4    5    UPX0     ascii   ;5(;
193  0x000061b2 0x100061b2 4    5    UPX0     ascii   tWPV
194  0x000061ff 0x100061ff 4    6    UPX0     utf8    \tE܃e blocks=Basic Latin,Syriac
195  0x0000620b 0x1000620b 4    7    UPX0     utf8    F녋]\b blocks=Basic Latin,Hangul Syllables
196  0x00006263 0x10006263 5    6    UPX0     ascii   SVWUj
197  0x00006278 0x10006278 4    5    UPX0     ascii   ]_^[
198  0x0000627e 0x1000627e 4    6    UPX0     utf8    ]ËL$ blocks=Basic Latin,Latin-1 Supplement
199  0x00006304 0x10006304 6    7    UPX0     ascii   ;t$,v-
200  0x0000635f 0x1000635f 6    7    UPX0     ascii   R\f9Q\bu
201  0x00006387 0x10006387 10   11   UPX0     ascii   k\fUQPXY]Y[
202  0x000063b9 0x100063b9 4    5    UPX0     ascii   ;5(;
203  0x00006434 0x10006434 4    5    UPX0     ascii   j\bhH
204  0x0000644b 0x1000644b 4    5    UPX0     ascii   t*j\f
205  0x00006492 0x10006492 5    7    UPX0     utf8    L$\b+ȃ blocks=Basic Latin,Latin Extended-B
206  0x000064a8 0x100064a8 5    7    UPX0     utf8    L$\b+ȃ blocks=Basic Latin,Latin Extended-B
207  0x00006750 0x10006750 4    5    UPX0     ascii    t\rj
208  0x00006a16 0x10006a16 6    7    UPX0     ascii   t$j\rXP
209  0x00006bf9 0x10006bf9 4    5    UPX0     ascii   j\rYf
210  0x00006cf6 0x10006cf6 4    5    UPX0     ascii   j\r^f
211  0x00006d1b 0x10006d1b 5    6    UPX0     ascii   VVhU\r
212  0x00006f2c 0x10006f2c 4    6    UPX0     utf8    3\vu\b
213  0x00006f53 0x10006f53 4    5    UPX0     ascii   F\f@t
214  0x00006ff2 0x10006ff2 4    5    UPX0     ascii   u0j\n
215  0x0000704a 0x1000704a 5    7    UPX0     utf8    Ë}\bj\n blocks=Latin-1 Supplement,Basic Latin
216  0x0000705b 0x1000705b 4    5    UPX0     ascii   E\bVW
217  0x0000709b 0x1000709b 5    6    UPX0     ascii   Ht\bHu
218  0x000070ff 0x100070ff 4    5    UPX0     ascii   x&;\r
219  0x000071b8 0x100071b8 4    5    UPX0     ascii   u\bWV
220  0x00007296 0x10007296 8    9    UPX0     ascii   ~';_t|%3
221  0x000072aa 0x100072aa 5    6    UPX0     ascii   wtVj\t
222  0x000072bd 0x100072bd 7    8    UPX0     ascii   u\v;_tr.
223  0x000072e1 0x100072e1 4    5    UPX0     ascii   WVj\t
224  0x0000735a 0x1000735a 4    5    UPX0     ascii   M\bQP
225  0x0000739c 0x1000739c 4    5    UPX0     ascii   xy;5
226  0x000074e0 0x100074e0 4    5    UPX0     ascii   F\f\bt
227  0x0000754e 0x1000754e 4    5    UPX0     ascii   D$\f3
228  0x00007556 0x10007556 4    6    UPX0     utf8    ؋D$\b blocks=Arabic,Basic Latin
229  0x0000759f 0x1000759f 7    8    UPX0     ascii   ;T$\fw\br
230  0x000075a7 0x100075a7 10   11   UPX0     ascii   ;D$\bv\tN+D$
231  0x000075b8 0x100075b8 8    9    UPX0     ascii   +D$\b\eT$\f
232  0x000075c8 0x100075c8 4    9    UPX0     utf8    ʋӋًȋ blocks=IPA Extensions,Cyrillic,Arabic,Latin Extended-B
233  0x000075df 0x100075df 4    6    UPX0     utf8    ̋D$\b blocks=Combining Diacritical Marks,Basic Latin
234  0x000075e8 0x100075e8 7    9    UPX0     utf8    \vȋL$\fu\t blocks=Basic Latin,Latin Extended-B
235  0x000075fd 0x100075fd 4    6    UPX0     utf8    ؋D$\b blocks=Arabic,Basic Latin
236  0x00007607 0x10007607 4    6    UPX0     utf8    ؋D$\b blocks=Arabic,Basic Latin
237  0x0000825c 0x1000825c 9    20   UPX0     utf16le coree.dll
238  0x00008270 0x10008270 14   15   UPX0     ascii   CorExitProcess
239  0x00008280 0x10008280 12   26   UPX0     utf16le kernel32.dll
240  0x0000829c 0x1000829c 8    9    UPX0     ascii   FlsAlloc
241  0x000082a8 0x100082a8 7    8    UPX0     ascii   FlsFree
242  0x000082b0 0x100082b0 11   12   UPX0     ascii   FlsGetValue
243  0x000082bc 0x100082bc 11   12   UPX0     ascii   FlsSetValue
244  0x000082c8 0x100082c8 27   28   UPX0     ascii   InitializeCriticalSectionEx
245  0x000082e4 0x100082e4 18   19   UPX0     ascii   CreateSemaphoreExW
246  0x000082f8 0x100082f8 23   24   UPX0     ascii   SetThreadStackGuarantee
247  0x00008310 0x10008310 21   22   UPX0     ascii   CreateThreadpoolTimer
248  0x00008328 0x10008328 18   19   UPX0     ascii   SetThreadpoolTimer
249  0x0000833c 0x1000833c 31   32   UPX0     ascii   WaitForThreadpoolTimerCallbacks
250  0x0000835c 0x1000835c 20   21   UPX0     ascii   CloseThreadpoolTimer
251  0x00008374 0x10008374 20   21   UPX0     ascii   CreateThreadpoolWait
252  0x0000838c 0x1000838c 17   18   UPX0     ascii   SetThreadpoolWait
253  0x000083a0 0x100083a0 19   20   UPX0     ascii   CloseThreadpoolWait
254  0x000083b4 0x100083b4 24   25   UPX0     ascii   FlushProcessWriteBuffers
255  0x000083d0 0x100083d0 30   31   UPX0     ascii   FreeLibraryWhenCallbackReturns
256  0x000083f0 0x100083f0 25   26   UPX0     ascii   GetCurrentProcessorNumber
257  0x0000840c 0x1000840c 30   31   UPX0     ascii   GetLogicalProcessorInformation
258  0x0000842c 0x1000842c 19   20   UPX0     ascii   CreateSymbolicLinkW
259  0x00008440 0x10008440 24   25   UPX0     ascii   SetDefaultDllDirectories
260  0x0000845c 0x1000845c 19   20   UPX0     ascii   EnumSystemLocalesEx
261  0x00008470 0x10008470 15   16   UPX0     ascii   CompareStringEx
262  0x00008480 0x10008480 15   16   UPX0     ascii   GetDateFormatEx
263  0x00008490 0x10008490 15   16   UPX0     ascii   GetLocaleInfoEx
264  0x000084a0 0x100084a0 15   16   UPX0     ascii   GetTimeFormatEx
265  0x000084b0 0x100084b0 24   25   UPX0     ascii   GetUserDefaultLocaleName
266  0x000084cc 0x100084cc 17   18   UPX0     ascii   IsValidLocaleName
267  0x000084e0 0x100084e0 13   14   UPX0     ascii   LCMapStringEx
268  0x000084f0 0x100084f0 19   20   UPX0     ascii   GetCurrentPackageId
269  0x00008520 0x10008520 6    7    UPX0     ascii   Sunday
270  0x00008528 0x10008528 6    7    UPX0     ascii   Monday
271  0x00008530 0x10008530 7    8    UPX0     ascii   Tuesday
272  0x00008538 0x10008538 9    10   UPX0     ascii   Wednesday
273  0x00008544 0x10008544 8    9    UPX0     ascii   Thursday
274  0x00008550 0x10008550 6    7    UPX0     ascii   Friday
275  0x00008558 0x10008558 8    9    UPX0     ascii   Saturday
276  0x00008594 0x10008594 7    8    UPX0     ascii   January
277  0x0000859c 0x1000859c 8    9    UPX0     ascii   February
278  0x000085a8 0x100085a8 5    6    UPX0     ascii   March
279  0x000085b0 0x100085b0 5    6    UPX0     ascii   April
280  0x000085b8 0x100085b8 4    5    UPX0     ascii   June
281  0x000085c0 0x100085c0 4    5    UPX0     ascii   July
282  0x000085c8 0x100085c8 6    7    UPX0     ascii   August
283  0x000085d0 0x100085d0 9    10   UPX0     ascii   September
284  0x000085dc 0x100085dc 7    8    UPX0     ascii   October
285  0x000085e4 0x100085e4 8    9    UPX0     ascii   November
286  0x000085f0 0x100085f0 8    9    UPX0     ascii   December
287  0x00008604 0x10008604 8    9    UPX0     ascii   MM/dd/yy
288  0x00008610 0x10008610 19   20   UPX0     ascii   dddd, MMMM dd, yyyy
289  0x00008624 0x10008624 8    9    UPX0     ascii   HH:mm:ss
290  0x00008668 0x10008668 6    14   UPX0     utf16le Sunday
291  0x00008678 0x10008678 6    14   UPX0     utf16le Monday
292  0x00008688 0x10008688 7    16   UPX0     utf16le Tuesday
293  0x00008698 0x10008698 9    20   UPX0     utf16le Wednesday
294  0x000086ac 0x100086ac 8    18   UPX0     utf16le Thursday
295  0x000086c0 0x100086c0 6    14   UPX0     utf16le Friday
296  0x000086d0 0x100086d0 8    18   UPX0     utf16le Saturday
297  0x00008744 0x10008744 7    16   UPX0     utf16le January
298  0x00008754 0x10008754 8    18   UPX0     utf16le February
299  0x00008768 0x10008768 5    12   UPX0     utf16le March
300  0x00008774 0x10008774 5    12   UPX0     utf16le April
301  0x00008780 0x10008780 4    10   UPX0     utf16le June
302  0x0000878c 0x1000878c 4    10   UPX0     utf16le July
303  0x00008798 0x10008798 6    14   UPX0     utf16le August
304  0x000087a8 0x100087a8 9    20   UPX0     utf16le September
305  0x000087bc 0x100087bc 7    16   UPX0     utf16le October
306  0x000087cc 0x100087cc 8    18   UPX0     utf16le November
307  0x000087e0 0x100087e0 8    18   UPX0     utf16le December
308  0x00008804 0x10008804 8    18   UPX0     utf16le MM/dd/yy
309  0x00008818 0x10008818 19   40   UPX0     utf16le dddd, MMMM dd, yyyy
310  0x00008840 0x10008840 8    18   UPX0     utf16le HH:mm:ss
