[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
392  0x00008225 0x10008e25 4   5    .text   ascii   t&9X
393  0x0000825e 0x10008e5e 4   5    .text   ascii   _^[u
394  0x00008295 0x10008e95 5   6    .text   ascii   w#h7[
395  0x000082db 0x10008edb 4   5    .text   ascii   Vj\fh
396  0x0000837a 0x10008f7a 5   6    .text   ascii   v>@PS
397  0x000083f1 0x10008ff1 5   6    .text   ascii   QQSVW
398  0x0000842e 0x1000902e 4   5    .text   ascii   PSj!
399  0x00008463 0x10009063 4   5    .text   ascii   QPj!
400  0x00008494 0x10009094 4   5    .text   ascii   tCPS
401  0x00008505 0x10009105 4   5    .text   ascii   SWw\a
402  0x000085c6 0x100091c6 4   5    .text   ascii   QQSV
403  0x00008689 0x10009289 4   5    .text   ascii   QQQ3
404  0x000086b7 0x100092b7 4   5    .text   ascii   @u\nW
405  0x000086f7 0x100092f7 4   5    .text   ascii   QQSV
406  0x00008723 0x10009323 5   6    .text   ascii   t+@PS
407  0x0000877d 0x1000937d 5   6    .text   ascii   t<@PS
408  0x000087ff 0x100093ff 4   5    .text   ascii   QQW3
409  0x0000887b 0x1000947b 4   6    .text   utf8    \tE\bt
410  0x00008884 0x10009484 4   5    .text   ascii   \bu+V
411  0x000088a5 0x100094a5 4   5    .text   ascii   t\vWj
412  0x000088e8 0x100094e8 4   5    .text   ascii   QUVW
413  0x00008989 0x10009589 6   7    .text   ascii   t$9u\ft
414  0x000089b6 0x100095b6 5   6    .text   ascii   }\bh]Q
415  0x000089d5 0x100095d5 5   7    .text   utf8    \tE\bt\f
416  0x000089e7 0x100095e7 7   8    .text   ascii   ;u\ft\vVj
417  0x000089f6 0x100095f6 7   9    .text   utf8    ӋE\b_^[] blocks=Cyrillic,Basic Latin
418  0x00008a1d 0x1000961d 5   7    .text   utf8    ;ÉD$\f blocks=Basic Latin,Latin-1 Supplement
419  0x00008a4a 0x1000964a 4   6    .text   utf8    ;Ë=< blocks=Basic Latin,Latin-1 Supplement
420  0x00008a64 0x10009664 4   6    .text   utf8    ;Ë5h blocks=Basic Latin,Latin-1 Supplement
421  0x00008a8c 0x1000968c 6   8    .text   utf8    ˍD\b9Pj blocks=Spacing Modifier Letters,Basic Latin
422  0x00008b16 0x10009716 4   5    .text   ascii   t$\fj
423  0x00008b9c 0x1000979c 5   6    .text   ascii   QQSVW
424  0x00008ba2 0x100097a2 5   7    .text   utf8    u\b3ۉ] blocks=Basic Latin,Arabic
425  0x00008c1c 0x1000981c 6   7    .text   ascii   \r\nu\nHH
426  0x00008c7f 0x1000987f 4   5    .text   ascii   \r\n\r\n
427  0x00008cf1 0x100098f1 4   5    .text   ascii   QQS3
428  0x00008cf6 0x100098f6 4   5    .text   ascii   9E\fV
429  0x00008d72 0x10009972 6   7    .text   ascii   t\rGWSP
430  0x00008d94 0x10009994 4   5    .text   ascii   _^[t
431  0x00008e0a 0x10009a0a 6   7    .text   ascii   u\fVSt\b
432  0x00008e5b 0x10009a5b 4   5    .text   ascii   9E\ft
433  0x00008f0f 0x10009b0f 4   5    .text   ascii   D$\fj
434  0x00008f40 0x10009b40 4   5    .text   ascii   D$\fj
435  0x00008f67 0x10009b67 4   5    .text   ascii   SVW3
436  0x00009052 0x10009c52 4   5    .text   ascii   SVW3
437  0x0000917e 0x10009d7e 7   8    .text   ascii   Ft7jdY;
438  0x000091a2 0x10009da2 4   5    .text   ascii   98u\a
439  0x00009282 0x10009e82 4   5    .text   ascii   _^[]
440  0x00009343 0x10009f43 6   7    .text   ascii   ]\bu<WS
441  0x00009358 0x10009f58 4   5    .text   ascii   @t\eV
442  0x00009391 0x10009f91 5   6    .text   ascii   u\fSt\b
443  0x00009429 0x1000a029 5   6    .text   ascii   E\fVW3
444  0x00009611 0x1000a211 4   5    .text   ascii   Ph+T
445  0x0000967b 0x1000a27b 4   5    .text   ascii   F\bPW
446  0x00009689 0x1000a289 4   5    .text   ascii   \fj;W
447  0x000096de 0x1000a2de 4   5    .text   ascii   Ph3T
448  0x0000974e 0x1000a34e 4   5    .text   ascii   \fj,W
449  0x000097ec 0x1000a3ec 4   5    .text   ascii   Ph>T
450  0x000098aa 0x1000a4aa 4   5    .text   ascii   PhHT
451  0x00009921 0x1000a521 4   5    .text   ascii   PWh0
452  0x00009956 0x1000a556 4   5    .text   ascii   PhRT
453  0x000099d6 0x1000a5d6 4   5    .text   ascii   PWh&
454  0x00009a06 0x1000a606 4   5    .text   ascii   Ph[T
455  0x00009ac7 0x1000a6c7 4   5    .text   ascii   8!u\t
456  0x00009b45 0x1000a745 6   7    .text   ascii   YYtp+E
457  0x00009b6a 0x1000a76a 5   6    .text   ascii   E\b)E\f
458  0x00009bb2 0x1000a7b2 4   5    .text   ascii   \f)u\f
459  0x00009cd1 0x1000a8d1 5   6    .text   ascii   )E\ft<
460  0x00009d69 0x1000a969 5   6    .text   ascii   E\bSVW
461  0x00009e59 0x1000aa59 4   5    .text   ascii   tX9]
462  0x00009e85 0x1000aa85 4   5    .text   ascii   ;E\bt
463  0x00009e9f 0x1000aa9f 4   6    .text   utf8    E؉E\f blocks=Basic Latin,Arabic
464  0x0000a02f 0x1000ac2f 4   5    .text   ascii   SVW3
465  0x0000a0b2 0x1000acb2 4   5    .text   ascii   t(9}
466  0x0000a105 0x1000ad05 4   5    .text   ascii   w\t9E
467  0x0000a150 0x1000ad50 4   5    .text   ascii   WWW3
468  0x0000a187 0x1000ad87 4   6    .text   utf8    >h̚; blocks=Basic Latin,Combining Diacritical Marks
469  0x0000a311 0x1000af11 4   6    .text   utf8    E؋\bW blocks=Basic Latin,Arabic
470  0x0000a325 0x1000af25 4   5    .text   ascii   WWW3
471  0x0000a330 0x1000af30 4   6    .text   utf8    uЋ5< blocks=Basic Latin,Cyrillic
472  0x0000a363 0x1000af63 4   6    .text   utf8    E؋\bP blocks=Basic Latin,Arabic
473  0x0000a3d7 0x1000afd7 4   5    .text   ascii   uV9}
474  0x0000a4cf 0x1000b0cf 5   6    .text   ascii   \vt=9}
475  0x0000a562 0x1000b162 4   5    .text   ascii   WWW3
476  0x0000a62b 0x1000b22b 4   5    .text   ascii   K\bPQ
477  0x0000a675 0x1000b275 4   5    .text   ascii   u\b9}
478  0x0000a67a 0x1000b27a 4   5    .text   ascii   t'9}
479  0x0000a6a5 0x1000b2a5 4   5    .text   ascii   WWW3
480  0x0000a6bc 0x1000b2bc 4   5    .text   ascii   QQVW
481  0x0000a754 0x1000b354 4   5    .text   ascii   Wj\b[
482  0x0000a7df 0x1000b3df 4   5    .text   ascii   QSVW
483  0x0000a85b 0x1000b45b 4   5    .text   ascii   <&t\v
484  0x0000a8e3 0x1000b4e3 4   5    .text   ascii   COSP
485  0x0000a9b9 0x1000b5b9 4   5    .text   ascii   t$S3
486  0x0000aa66 0x1000b666 5   6    .text   ascii   tch U
487  0x0000aa9e 0x1000b69e 4   5    .text   ascii   PPPS
488  0x0000aacd 0x1000b6cd 5   6    .text   ascii   E\b_[]
489  0x0000aafe 0x1000b6fe 4   5    .text   ascii   t\vPj
490  0x0000abab 0x1000b7ab 4   5    .text   ascii   v]9E
491  0x0000ac2a 0x1000b82a 4   5    .text   ascii   t\vPj
492  0x0000ac46 0x1000b846 7   8    .text   ascii   @SVWhgb
493  0x0000acd8 0x1000b8d8 4   6    .text   utf8    u؍G8 blocks=Basic Latin,Arabic
494  0x0000acfb 0x1000b8fb 4   5    .text   ascii   tU+u
495  0x0000ad72 0x1000b972 4   5    .text   ascii   Shgb
496  0x0000ada1 0x1000b9a1 7   8    .text   ascii   8SVWhgb
497  0x0000ae15 0x1000ba15 7   8    .text   ascii   v7H9E\fu
498  0x0000ae59 0x1000ba59 4   5    .text   ascii   Shgb
499  0x0000aec1 0x1000bac1 4   6    .text   utf8    t͋E\b blocks=Basic Latin,Combining Diacritical Marks
500  0x0000af52 0x1000bb52 5   6    .text   ascii   9]\ft\n
501  0x0000b07b 0x1000bc7b 5   6    .text   ascii   u\bhnS
502  0x0000b0aa 0x1000bcaa 4   5    .text   ascii   Ph4@
503  0x0000b117 0x1000bd17 5   6    .text   ascii   u0h@S
504  0x0000b123 0x1000bd23 5   6    .text   ascii   u$h;S
505  0x0000b13b 0x1000bd3b 5   6    .text   ascii   u\fhPS
506  0x0000b17a 0x1000bd7a 4   5    .text   ascii   Q\b9w
507  0x0000b188 0x1000bd88 7   8    .text   ascii   Q\b9w\bt\t
508  0x0000b1a3 0x1000bda3 4   5    .text   ascii   t\nPV
509  0x0000b1ae 0x1000bdae 4   6    .text   utf8    ӋG ; blocks=Cyrillic,Basic Latin
510  0x0000b1b4 0x1000bdb4 4   5    .text   ascii   t\nPV
511  0x0000b1bf 0x1000bdbf 4   6    .text   utf8    ӋG@; blocks=Cyrillic,Basic Latin
512  0x0000b1d7 0x1000bdd7 4   6    .text   utf8    ӋGH; blocks=Cyrillic,Basic Latin
513  0x0000b1fb 0x1000bdfb 4   5    .text   ascii   t\nWV
514  0x0000b231 0x1000be31 7   8    .text   ascii   NztC=*|
515  0x0000b24a 0x1000be4a 4   5    .text   ascii   F\bPj
516  0x0000b271 0x1000be71 4   5    .text   ascii   @_^[
517  0x0000b278 0x1000be78 4   5    .text   ascii   SSSS
518  0x0000b2e5 0x1000bee5 4   5    .text   ascii   u;V3
519  0x0000b34b 0x1000bf4b 4   5    .text   ascii   9]\bY
520  0x0000b371 0x1000bf71 7   8    .text   ascii   E\btkhu`
521  0x0000b40a 0x1000c00a 5   6    .text   ascii   \att=I
522  0x0000b412 0x1000c012 5   6    .text   ascii   tf=K3
523  0x0000b418 0x1000c018 4   5    .text   ascii   8t1=
524  0x0000b428 0x1000c028 4   5    .text   ascii   ^h>X
525  0x0000b454 0x1000c054 5   6    .text   ascii   ttj P
526  0x0000b461 0x1000c061 5   6    .text   ascii   tgh|k
527  0x0000b482 0x1000c082 7   8    .text   ascii   D$\bPWWh
528  0x0000b4b1 0x1000c0b1 5   6    .text   ascii   Nzt5=
529  0x0000b538 0x1000c138 4   5    .text   ascii   PjIj
530  0x0000b54b 0x1000c14b 4   5    .text   ascii   PjJj
531  0x0000b59a 0x1000c19a 5   6    .text   ascii   9l$\fV
532  0x0000b5a7 0x1000c1a7 5   6    .text   ascii   l$\ft\f
533  0x0000b5d8 0x1000c1d8 4   5    .text   ascii   Sj W
534  0x0000b659 0x1000c259 4   5    .text   ascii   \nt\a=
535  0x0000b673 0x1000c273 6   8    .text   utf8    ؍D\e@Pj blocks=Arabic,Basic Latin
536  0x0000b6cc 0x1000c2cc 7   8    .text   ascii   D$\f_^]Y
537  0x0000b700 0x1000c300 4   5    .text   ascii   tJW3
538  0x0000b727 0x1000c327 4   5    .text   ascii   9 G;
539  0x0000b739 0x1000c339 5   6    .text   ascii   jLh<@
540  0x0000b74c 0x1000c34c 4   5    .text   ascii   j\bX^
541  0x0000b759 0x1000c359 5   6    .text   ascii   ]\fVW3
542  0x0000b75f 0x1000c35f 4   5    .text   ascii   9=H@
543  0x0000b7d0 0x1000c3d0 4   5    .text   ascii   \bWj\t
544  0x0000b826 0x1000c426 4   5    .text   ascii   t]SV
545  0x0000b843 0x1000c443 4   5    .text   ascii   VVV3
546  0x0000b85a 0x1000c45a 4   5    .text   ascii   RSWP
547  0x0000b897 0x1000c497 5   6    .text   ascii   ]\fVW3
548  0x0000b8a0 0x1000c4a0 6   10   .text   utf8    3\r}諫VV blocks=Basic Latin,CJK Unified Ideographs
549  0x0000b8de 0x1000c4de 4   5    .text   ascii   u\bt\b
550  0x0000b96d 0x1000c56d 5   10   .text   utf8    SW3\r}
551  0x0000b98f 0x1000c58f 5   7    .text   utf8    u\b3ۉu blocks=Basic Latin,Arabic
552  0x0000b9c6 0x1000c5c6 4   5    .text   ascii   SVW3
553  0x0000b9ea 0x1000c5ea 5   7    .text   utf8    E\f;Ëu blocks=Basic Latin,Latin-1 Supplement
554  0x0000ba30 0x1000c630 4   5    .text   ascii   F\bW3
555  0x0000ba3e 0x1000c63e 4   5    .text   ascii   t&PW
556  0x0000babb 0x1000c6bb 7   9    .text   utf8    VW3ۉ\$, blocks=Basic Latin,Arabic
557  0x0000bacb 0x1000c6cb 4   6    .text   utf8    3\t\$
558  0x0000bae5 0x1000c6e5 5   6    .text   ascii   \bSSSS
559  0x0000baf0 0x1000c6f0 5   7    .text   utf8    ;ÉD$< blocks=Basic Latin,Latin-1 Supplement
560  0x0000bb15 0x1000c715 5   6    .text   ascii   D$,PV
561  0x0000bb55 0x1000c755 4   5    .text   ascii   u[Sj
562  0x0000bb5b 0x1000c75b 5   6    .text   ascii   D$$PV
563  0x0000bb65 0x1000c765 4   6    .text   utf8    ;ÉD$ blocks=Basic Latin,Latin-1 Supplement
564  0x0000bdc9 0x1000c9c9 4   5    .text   ascii   QVWh
565  0x0000bdfd 0x1000c9fd 4   5    .text   ascii   PWVh
566  0x0000be40 0x1000ca40 4   5    .text   ascii   ]\fVW
567  0x0000be67 0x1000ca67 6   8    .text   utf8    ;ƉE\ft\v blocks=Basic Latin,Latin Extended-B
568  0x0000bef1 0x1000caf1 6   8    .text   utf8    E\f;Ɖw8 blocks=Basic Latin,Latin Extended-B
569  0x0000bf5a 0x1000cb5a 4   5    .text   ascii   QSW3
570  0x0000bfa0 0x1000cba0 4   5    .text   ascii   }#jd
571  0x0000bfdb 0x1000cbdb 6   7    .text   ascii   ~ +~(3
572  0x0000bff6 0x1000cbf6 5   6    .text   ascii   9F(}[
573  0x0000c008 0x1000cc08 5   7    .text   utf8    +ȋF(; blocks=Basic Latin,Latin Extended-B
574  0x0000c021 0x1000cc21 8   9    .text   ascii   F()F,!^(
575  0x0000c0ad 0x1000ccad 4   5    .text   ascii   N,u%
576  0x0000c0da 0x1000ccda 4   5    .text   ascii   t\tVW
577  0x0000c0f9 0x1000ccf9 5   6    .text   ascii   F(;F$
578  0x0000c102 0x1000cd02 4   5    .text   ascii   t\rPW
579  0x0000c141 0x1000cd41 4   5    .text   ascii   F(VW
580  0x0000c16f 0x1000cd6f 4   5    .text   ascii   Whi\
581  0x0000c21c 0x1000ce1c 5   6    .text   ascii   t\n+~ 
582  0x0000c229 0x1000ce29 7   8    .text   ascii   D$\f_][Y
583  0x0000c23c 0x1000ce3c 4   5    .text   ascii   SVW3
584  0x0000c339 0x1000cf39 5   6    .text   ascii   {$\fVW
585  0x0000c373 0x1000cf73 6   8    .text   utf8    ;ƉE\fu} blocks=Basic Latin,Latin Extended-B
586  0x0000c382 0x1000cf82 4   5    .text   ascii   \aVj\f
587  0x0000c38f 0x1000cf8f 4   5    .text   ascii   VVV3
588  0x0000c3ca 0x1000cfca 5   6    .text   ascii   ^Vhn\
589  0x0000c42d 0x1000d02d 5   6    .text   ascii   K$+K(
590  0x0000c449 0x1000d049 5   7    .text   utf8    \v}\fu\f
591  0x0000c460 0x1000d060 4   5    .text   ascii   C$+G
592  0x0000c4b6 0x1000d0b6 4   5    .text   ascii   t\rh 
593  0x0000c525 0x1000d125 5   6    .text   ascii   t#hB\
594  0x0000c539 0x1000d139 4   5    .text   ascii   7h}[
595  0x0000c559 0x1000d159 4   5    .text   ascii   +E\bP
596  0x0000c560 0x1000d160 4   5    .text   ascii   E\bPV
597  0x0000c56b 0x1000d16b 4   5    .text   ascii   QQQ3
598  0x0000c5b7 0x1000d1b7 4   5    .text   ascii   9_(V
599  0x0000c5ee 0x1000d1ee 5   6    .text   ascii   9_(tz
600  0x0000c605 0x1000d205 5   6    .text   ascii   _ QSP
601  0x0000c623 0x1000d223 5   7    .text   utf8    ;ÉG$~ blocks=Basic Latin,Latin-1 Supplement
602  0x0000c64d 0x1000d24d 6   7    .text   ascii   _(9_(u
603  0x0000c6a3 0x1000d2a3 5   6    .text   ascii   G8\t_8
604  0x0000c6b4 0x1000d2b4 4   5    .text   ascii   9G,u
605  0x0000c76d 0x1000d36d 4   5    .text   ascii   Q\f;]
606  0x0000c7ed 0x1000d3ed 4   5    .text   ascii   9G(u
607  0x0000c80a 0x1000d40a 4   5    .text   ascii   9G,u
608  0x0000c84f 0x1000d44f 6   7    .text   ascii   G<$A<@
609  0x0000c85d 0x1000d45d 5   6    .text   ascii   [Shn\
610  0x0000c8b3 0x1000d4b3 6   8    .text   utf8    ]\f;ËM\b blocks=Basic Latin,Latin-1 Supplement
611  0x0000c8bb 0x1000d4bb 4   5    .text   ascii   M\b~m
612  0x0000c8c3 0x1000d4c3 7   8    .text   ascii   td9G4}N
613  0x0000c8f2 0x1000d4f2 4   6    .text   utf8    \tG0u
614  0x0000c9a9 0x1000d5a9 20  21   .text   ascii   =GET t'=PUT t =POSTt
615  0x0000c9be 0x1000d5be 6   7    .text   ascii   =OPTIt
616  0x0000c9fa 0x1000d5fa 6   8    .text   utf8    J\b:\ri\
617  0x0000ca49 0x1000d649 4   5    .text   ascii   9=HB
618  0x0000ca54 0x1000d654 4   5    .text   ascii   Phe[
619  0x0000cad0 0x1000d6d0 8   9    .text   ascii   tI9{\ftDj
620  0x0000cb01 0x1000d701 4   5    .text   ascii   Pj\bS
621  0x0000cb6e 0x1000d76e 6   7    .text   ascii   GET t\b
622  0x0000cb76 0x1000d776 9   10   .text   ascii   OPTIuXj P
623  0x0000cb87 0x1000d787 6   7    .text   ascii   tK@j P
624  0x0000cd45 0x1000d945 5   6    .text   ascii   QQQQP
625  0x0000cd8c 0x1000d98c 4   5    .text   ascii   \bt\fj
626  0x0000cdce 0x1000d9ce 5   6    .text   ascii   9M\fVW
627  0x0000ce3e 0x1000da3e 4   5    .text   ascii   A;M\f
628  0x0000ce49 0x1000da49 6   7    .text   ascii   D$\f_^[
629  0x0000cec9 0x1000dac9 4   6    .text   utf8    ЉL$\f blocks=Cyrillic,Basic Latin
630  0x0000cf03 0x1000db03 6   7    .text   ascii   ;rLoau
631  0x0000cf2e 0x1000db2e 7   8    .text   ascii   ;rGetu\f
632  0x0000cf47 0x1000db47 4   5    .text   ascii   L$\fu
633  0x0000cf8c 0x1000db8c 5   6    .text   ascii   L$\fu\n
634  0x0000cfab 0x1000dbab 4   5    .text   ascii   LT0B
635  0x0000cfbf 0x1000dbbf 4   5    .text   ascii   D$,P
636  0x0000cfc4 0x1000dbc4 4   5    .text   ascii   D$(P
637  0x0000cfd0 0x1000dbd0 4   5    .text   ascii   T$6f
638  0x0000cfef 0x1000dbef 4   5    .text   ascii   L$\f+
639  0x0000cff5 0x1000dbf5 5   7    .text   utf8    ΉL$ 3 blocks=Greek and Coptic,Basic Latin
640  0x0000d001 0x1000dc01 4   5    .text   ascii   L$\fr
641  0x0000d02c 0x1000dc2c 5   6    .text   ascii   8\bt\aA
642  0x0000d039 0x1000dc39 4   5    .text   ascii   L$&f
643  0x0000d0ab 0x1000dcab 4   7    .text   utf8    ΅\tL$ blocks=Greek and Coptic,Basic Latin
644  0x0000d0d1 0x1000dcd1 4   5    .text   ascii   w4ve
645  0x0000d117 0x1000dd17 5   6    .text   ascii   \$\fCC
646  0x0000d121 0x1000dd21 6   8    .text   utf8    \$\fuЋH blocks=Basic Latin,Cyrillic
647  0x0000d1ca 0x1000ddca 4   5    .text   ascii   _^][
648  0x0000d265 0x1000de65 6   8    .text   utf8    uXS3ۃ} blocks=Basic Latin,Arabic
649  0x0000d2a4 0x1000dea4 6   7    .text   ascii   _t\bSSS
650  0x0000d2cc 0x1000decc 4   6    .text   utf8    SV3۾ blocks=Basic Latin,Arabic
651  0x0000d398 0x1000df98 4   5    .text   ascii   SVWj
652  0x0000d546 0x1000e146 4   5    .text   ascii   tzWV
653  0x0000d55a 0x1000e15a 4   5    .text   ascii   tfWV
654  0x0000d56e 0x1000e16e 4   5    .text   ascii   tRWV
655  0x0000d582 0x1000e182 4   5    .text   ascii   t>WV
656  0x0000d6ac 0x1000e2ac 6   7    .text   ascii   t&jXVP
657  0x0000d6d4 0x1000e2d4 6   8    .text   utf8    j\bX;ƉE blocks=Basic Latin,Latin Extended-B
658  0x0000d6fe 0x1000e2fe 4   6    .text   utf8    Ӌ\rl@ blocks=Cyrillic,Basic Latin
659  0x0000d792 0x1000e392 5   6    .text   ascii   t\a=*|
660  0x0000d885 0x1000e485 4   5    .text   ascii   PVVh
661  0x0000d906 0x1000e506 4   5    .text   ascii   Wh,;
662  0x0000d90c 0x1000e50c 4   5    .text   ascii   Wh ;
663  0x0000d999 0x1000e599 5   6    .text   ascii   t)SVj
664  0x0000d9d3 0x1000e5d3 4   6    .text   utf8    ;ƣHB blocks=Basic Latin,Latin Extended-B
665  0x0000da07 0x1000e607 4   5    .text   ascii   PVVh
666  0x0000da45 0x1000e645 4   5    .text   ascii   SUVW
667  0x0000da4f 0x1000e64f 5   6    .text   ascii   jd]tQ
668  0x0000dba4 0x1000e7a4 4   5    .text   ascii   _^][
669  0x0000dbb6 0x1000e7b6 5   6    .text   ascii   w\ah)l
670  0x0000dbd6 0x1000e7d6 7   8    .text   ascii   Vt5j\SQ
671  0x0000dc16 0x1000e816 4   6    .text   utf8    Y3\b]
672  0x0000dc64 0x1000e864 4   5    .text   ascii   ^SSj
673  0x0000dd0b 0x1000e90b 5   6    .text   ascii   9]\ft\t
674  0x0000dd20 0x1000e920 5   6    .text   ascii   9}\bt\t
675  0x0000dd5d 0x1000e95d 4   5    .text   ascii   ;5L@
676  0x0000dd76 0x1000e976 7   8    .text   ascii   t\a0tLVS
677  0x0000de31 0x1000ea31 5   6    .text   ascii   ]\bVW3
678  0x0000de7d 0x1000ea7d 4   5    .text   ascii   _^[]
679  0x0000de8d 0x1000ea8d 4   6    .text   utf8    E\b3ۋ blocks=Basic Latin,Arabic
680  0x0000dec8 0x1000eac8 5   7    .text   utf8    JuӋE\b blocks=Basic Latin,Cyrillic
681  0x0000dee3 0x1000eae3 4   6    .text   utf8    ]\f2و blocks=Basic Latin,Arabic
682  0x0000df83 0x1000eb83 4   5    .text   ascii   ui9}
683  0x0000e0f0 0x1000ecf0 5   6    .text   ascii   @\fvT2
684  0x0000e111 0x1000ed11 4   6    .text   utf8    ?;ʉN blocks=Basic Latin,IPA Extensions
685  0x0000e191 0x1000ed91 4   5    .text   ascii   QQVW
686  0x0000e19a 0x1000ed9a 4   5    .text   ascii   Wj\bZ
687  0x0000e1b5 0x1000edb5 4   5    .text   ascii   jxX+
688  0x0000e1c7 0x1000edc7 4   5    .text   ascii   Pj\bX
689  0x0000e1d1 0x1000edd1 4   5    .text   ascii   M\bVj
690  0x0000e1f7 0x1000edf7 5   6    .text   ascii   HSVWj
691  0x0000e225 0x1000ee25 4   6    .text   utf8    Ou܋p blocks=Basic Latin,Syriac
692  0x0000e43f 0x1000f03f 4   5    .text   ascii   QZ^&
693  0x0000e641 0x1000f241 4   7    .text   utf8    M͌1p blocks=Basic Latin,Combining Diacritical Marks
694  0x0000e6fe 0x1000f2fe 4   5    .text   ascii   \aD")
695  0x0000e784 0x1000f384 4   7    .text   utf8    }ʹ7} blocks=Basic Latin,Greek and Coptic
696  0x0000e88d 0x1000f48d 4   5    .text   ascii   \f_^[
697  0x0000e8ce 0x1000f4ce 7   8    .text   ascii   |$\bj?Z3
698  0x0000e908 0x1000f508 4   5    .text   ascii   ^s\fj
699  0x0000e91e 0x1000f51e 4   5    .text   ascii   SVW3
700  0x0000e960 0x1000f560 4   5    .text   ascii   _^[]
701  0x0000e99d 0x1000f59d 6   8    .text   utf8    ɉM\ft=S blocks=Latin Extended-B,Basic Latin
702  0x0000e9f2 0x1000f5f2 4   5    .text   ascii   ]|VW
703  0x0000ea28 0x1000f628 4   5    .text   ascii   M|PV
704  0x0000ea65 0x1000f665 4   5    .text   ascii   \f_^[
705  0x0000ea76 0x1000f676 6   7    .text   ascii   ]\bVWj 
706  0x0000ea80 0x1000f680 4   5    .text   ascii   ^+u\f
707  0x0000ea8f 0x1000f68f 7   8    .text   ascii   H9M\ft*;
708  0x0000ead0 0x1000f6d0 4   5    .text   ascii   9M\bu
709  0x0000eae2 0x1000f6e2 4   5    .text   ascii   QSVW
710  0x0000eae7 0x1000f6e7 4   5    .text   ascii   }\bj 
711  0x0000eaef 0x1000f6ef 4   5    .text   ascii   [+]\f
712  0x0000eafe 0x1000f6fe 9   11   .text   utf8    P9M\ft2;Mt
713  0x0000eb47 0x1000f747 4   5    .text   ascii   9M\bu
714  0x0000eb82 0x1000f782 6   7    .text   ascii   j _t\t;
715  0x0000ec14 0x1000f814 5   6    .text   ascii   VAQRP
716  0x0000ecd0 0x1000f8d0 4   5    .text   ascii   \f_^[
717  0x0000edc7 0x1000f9c7 5   7    .text   utf8    |z;ߋE blocks=Basic Latin,NKo
718  0x0000edd4 0x1000f9d4 4   5    .text   ascii   E\fYu
719  0x0000ee76 0x1000fa76 4   5    .text   ascii   \f_^[
720  0x0000ee7e 0x1000fa7e 4   5    .text   ascii   IVWx
721  0x0000ef74 0x1000fb74 4   5    .text   ascii   \v+M\f
722  0x0000efcb 0x1000fbcb 5   6    .text   ascii   E\f_^[
723  0x0000f006 0x1000fc06 5   6    .text   ascii   VWh8\b
724  0x0000f112 0x1000fd12 4   5    .text   ascii   t?9K
725  0x0000f262 0x1000fe62 6   7    .text   ascii   E\b_^[]
726  0x0000f26e 0x1000fe6e 5   6    .text   ascii   l$\fVW
727  0x0000f2ba 0x1000feba 4   5    .text   ascii   _^]3
728  0x0000f327 0x1000ff27 4   5    .text   ascii   \vj2X
729  0x0000f338 0x1000ff38 5   6    .text   ascii   l$\bW3
730  0x0000f349 0x1000ff49 4   5    .text   ascii   VWWU
731  0x0000f381 0x1000ff81 5   7    .text   utf8    l$\f3ۅ blocks=Basic Latin,Arabic
732  0x0000f388 0x1000ff88 5   6    .text   ascii   t?VWU
733  0x0000f3a3 0x1000ffa3 6   7    .text   ascii   t"FVUW
734  0x0000f3d3 0x1000ffd3 5   6    .text   ascii   QSVW3
735  0x0000f3f8 0x1000fff8 6   7    .text   ascii   E\btSSP
736  0x0000f432 0x10010032 4   5    .text   ascii   t\e;u
737  0x0000f47d 0x1001007d 5   6    .text   ascii   VWj\b_
738  0x0000f5b1 0x100101b1 5   6    .text   ascii   VWj\b_
739  0x0000f606 0x10010206 4   6    .text   utf8    ۉ\$\f blocks=Arabic,Basic Latin
740  0x0000f623 0x10010223 4   5    .text   ascii   D$$V
741  0x0000f63f 0x1001023f 4   6    .text   utf8    փ|$< blocks=Armenian,Basic Latin
742  0x0000f699 0x10010299 4   5    .text   ascii   t$0U
743  0x0000f735 0x10010335 4   5    .text   ascii   t$0S
744  0x0000f754 0x10010354 4   5    .text   ascii   ,PQS
745  0x0000f76c 0x1001036c 5   6    .text   ascii   F\ft\aS
746  0x0000f778 0x10010378 4   6    .text   utf8    ۋL$4 blocks=Arabic,Basic Latin
747  0x0000f7d9 0x100103d9 4   5    .text   ascii   t$0U
748  0x0000f7f9 0x100103f9 4   5    .text   ascii   8.tw
749  0x0000f806 0x10010406 4   6    .text   utf8    ؋D$  blocks=Arabic,Basic Latin
750  0x0000f84c 0x1001044c 4   5    .text   ascii   t$0U
751  0x0000f863 0x10010463 4   5    .text   ascii   t$@U
752  0x0000f8bb 0x100104bb 4   5    .text   ascii   _^t\t
753  0x0000f901 0x10010501 5   6    .text   ascii   tYSGW
754  0x0000f92a 0x1001052a 6   7    .text   ascii   t'FVWS
755  0x0000f9a1 0x100105a1 4   5    .text   ascii   D6\nP
756  0x0000fa02 0x10010602 5   6    .text   ascii   8.tmP
757  0x0000faf3 0x100106f3 4   5    .text   ascii   t$\f3
758  0x0000fb26 0x10010726 4   5    .text   ascii   t$\f3
759  0x0000fb5f 0x1001075f 4   5    .text   ascii   QQSV
760  0x0000fb83 0x10010783 4   5    .text   ascii   tTSW
761  0x0000fbf3 0x100107f3 4   5    .text   ascii   tqSV
