[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
86   0x0000204d 0x10002c4d 4   6    .text   utf8    YÃ|$ blocks=Basic Latin,Latin-1 Supplement
87   0x00002061 0x10002c61 4   5    .text   ascii   @@AA
88   0x0000206f 0x10002c6f 5   6    .text   ascii   ;t$\b}
89   0x00002078 0x10002c78 4   5    .text   ascii   @@AA
90   0x000020ce 0x10002cce 4   5    .text   ascii   QVWj
91   0x000020fc 0x10002cfc 4   5    .text   ascii   FFSj
92   0x0000214b 0x10002d4b 4   5    .text   ascii   -t%f
93   0x00002212 0x10002e12 4   5    .text   ascii   4F;u
94   0x000022d9 0x10002ed9 4   5    .text   ascii   <G;}
95   0x00002335 0x10002f35 5   6    .text   ascii   \$\bVW
96   0x00002383 0x10002f83 6   7    .text   ascii   u\aG@@;
97   0x0000239e 0x10002f9e 4   6    .text   utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
98   0x000024bf 0x100030bf 5   6    .text   ascii   E\bYY[
99   0x00002525 0x10003125 4   5    .text   ascii   E\bY[
100  0x00002573 0x10003173 4   5    .text   ascii   ;}\b|
101  0x00002581 0x10003181 4   5    .text   ascii   ;U\b}
102  0x000025b7 0x100031b7 4   5    .text   ascii   f;L$
103  0x0000260b 0x1000320b 4   6    .text   utf8    3\tC\f
104  0x0000262c 0x1000322c 5   6    .text   ascii   M\bVWj
105  0x00002682 0x10003282 4   5    .text   ascii   0r\ef
106  0x00002693 0x10003293 5   8    .text   utf8    ɍL\nЉ\f blocks=Latin Extended-B,Basic Latin,Cyrillic
107  0x000026ea 0x100032ea 4   5    .text   ascii    SV3
108  0x000027be 0x100033be 6   7    .text   ascii   9]\bu\a2
109  0x0000280e 0x1000340e 4   5    .text   ascii   u\bPS
110  0x0000288b 0x1000348b 4   5    .text   ascii   j\Yf
111  0x00002a60 0x10003660 5   7    .text   utf8    _^[]þ blocks=Basic Latin,Latin-1 Supplement
112  0x00002ab3 0x100036b3 4   5    .text   ascii   u\fVW
113  0x00002b58 0x10003758 4   5    .text   ascii   u\fVW
114  0x00002ba1 0x100037a1 4   5    .text   ascii   QQVW
115  0x00002cbe 0x100038be 4   5    .text   ascii   u\fhx
116  0x00002cd1 0x100038d1 4   5    .text   ascii   PPjd
117  0x00002e29 0x10003a29 6   7    .text   ascii   QQSVWj
118  0x00002e47 0x10003a47 4   5    .text   ascii   u\fWS
119  0x00002ee9 0x10003ae9 4   5    .text   ascii   WvHj
120  0x00002efe 0x10003afe 4   5    .text   ascii   t$\fj
121  0x000030d6 0x10003cd6 4   5    .text   ascii   QQVW
122  0x000030f3 0x10003cf3 5   6    .text   ascii   tgSVP
123  0x000031f3 0x10003df3 4   5    .text   ascii   PVWj
124  0x0000327e 0x10003e7e 4   5    .text   ascii   Ph82
125  0x000032d2 0x10003ed2 4   5    .text   ascii   SVW3
126  0x000032d7 0x10003ed7 4   5    .text   ascii   SjD^
127  0x00003490 0x10004090 6   7    .text   ascii   9]\bt5j
128  0x00003537 0x10004137 4   5    .text   ascii   QVW3
129  0x0000353e 0x1000413e 4   5    .text   ascii   9}\bu
130  0x0000359d 0x1000419d 5   6    .text   ascii   QQSV3
