[Strings]
nth   paddr      vaddr       len  size section    type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d  44   45              ascii   !This program cannot be run in DOS mode.\r\r\n$
53    0x0000173e 0x14000233e 4    5    .text      ascii   L$8L
54    0x00001743 0x140002343 4    5    .text      ascii   D$(3
55    0x0000179e 0x14000239e 4    5    .text      ascii   L$8L
56    0x000017a3 0x1400023a3 4    5    .text      ascii   D$(3
57    0x000017fe 0x1400023fe 4    5    .text      ascii   L$8L
58    0x00001803 0x140002403 4    5    .text      ascii   D$(3
59    0x0000185e 0x14000245e 4    5    .text      ascii   L$8L
60    0x00001863 0x140002463 4    5    .text      ascii   D$(3
61    0x000018a1 0x1400024a1 4    5    .text      ascii   \$`3
62    0x000018be 0x1400024be 5    6    .text      ascii   D$8H9
63    0x000018ec 0x1400024ec 4    5    .text      ascii   D$(H
64    0x00001921 0x140002521 4    5    .text      ascii   \$`H
65    0x00001941 0x140002541 4    5    .text      ascii   \$`3
66    0x0000195e 0x14000255e 5    6    .text      ascii   D$8H9
67    0x0000198c 0x14000258c 4    5    .text      ascii   D$(H
68    0x000019c1 0x1400025c1 4    5    .text      ascii   \$`H
69    0x000019e1 0x1400025e1 4    5    .text      ascii   \$`3
70    0x000019fe 0x1400025fe 5    6    .text      ascii   D$8H9
71    0x00001a2c 0x14000262c 4    5    .text      ascii   D$(H
72    0x00001a61 0x140002661 4    5    .text      ascii   \$`H
73    0x00001c30 0x140002830 4    5    .text      ascii   D$ L
74    0x00001c81 0x140002881 4    5    .text      ascii   D$\bH
75    0x00001c94 0x140002894 5    6    .text      ascii   D$\bH#
76    0x00001c9f 0x14000289f 4    5    .text      ascii   D$\bH
77    0x00001cdf 0x1400028df 5    6    .text      ascii   L$ H3
78    0x00001d53 0x140002953 4    5    .text      ascii   w Hc
79    0x00001f30 0x140002b30 4    5    .text      ascii   D$ L
80    0x00001f50 0x140002b50 4    5    .text      ascii   9P\bt
81    0x00001f74 0x140002b74 4    5    .text      ascii   D$\bH
82    0x00001f87 0x140002b87 5    6    .text      ascii   D$\bH#
83    0x00001f92 0x140002b92 4    5    .text      ascii   D$\bH
84    0x00001fcf 0x140002bcf 5    6    .text      ascii   L$ H3
