[Strings]
nth  paddr      vaddr      len size section  type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45            ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000be 0x000000be 6   7             ascii   _*9m$*
2    0x000000ce 0x000000ce 6   7             ascii   _*Rich
3    0x000001e8 0x000001e8 5   6             ascii   .text
4    0x0000020f 0x0000020f 7   8             ascii   `.rdata
5    0x00000237 0x00000237 6   7             ascii   @.data
6    0x00000260 0x00000260 6   7             ascii   .reloc
7    0x00000287 0x00000287 7   8             ascii   B.reloc
8    0x000010c1 0x00401cc1 4   6    .text    utf8    S3ۉ] blocks=Basic Latin,Arabic
9    0x000011c5 0x00401dc5 4   5    .text    ascii   8\t-
10   0x00001208 0x00401e08 7   8    .text    ascii   tkSSSSS
11   0x0000125f 0x00401e5f 8   9    .text    ascii   t"j\n^Sh8
12   0x000012e3 0x00401ee3 4   5    .text    ascii   VVVh
13   0x000012fb 0x00401efb 4   5    .text    ascii   VVVh
14   0x00001317 0x00401f17 5   6    .text    ascii   E\b\vE\f
15   0x0000134a 0x00401f4a 4   5    .text    ascii   3}\fV
16   0x00001356 0x00401f56 4   5    .text    ascii   PVVj
17   0x00001389 0x00401f89 5   6    .text    ascii   PVVj\f
18   0x000013b1 0x00401fb1 4   5    .text    ascii   PVVh
19   0x000013f9 0x00401ff9 5   6    .text    ascii   ]\fVWS
20   0x0000141e 0x0040201e 4   6    .text    utf8    t\f3Ƀ blocks=Basic Latin,Latin Extended-B
21   0x0000143d 0x0040203d 4   5    .text    ascii   u'9}
22   0x00001442 0x00402042 4   5    .text    ascii   t\e9}
23   0x000014b0 0x004020b0 4   5    .text    ascii   u49E
24   0x0000152e 0x0040212e 6   7    .text    ascii   QPPPPh
25   0x00001550 0x00402150 4   5    .text    ascii   QPPj
26   0x00001556 0x00402156 5   6    .text    ascii   E\bPhL
27   0x00001576 0x00402176 4   5    .text    ascii   QPPj
28   0x0000157c 0x0040217c 5   6    .text    ascii   E\bPhP
29   0x0000159c 0x0040219c 4   5    .text    ascii   QPPj
30   0x000015a2 0x004021a2 5   6    .text    ascii   E\bPhD
31   0x000015c2 0x004021c2 4   5    .text    ascii   QPPj
32   0x000015c8 0x004021c8 5   6    .text    ascii   E\bPhH
33   0x000015e8 0x004021e8 4   5    .text    ascii   QPPj
34   0x000015ee 0x004021ee 5   6    .text    ascii   E\bPh(
35   0x00001611 0x00402211 4   5    .text    ascii   \b@@f
36   0x0000162f 0x0040222f 4   5    .text    ascii   u\bh,
37   0x0000168c 0x0040228c 7   8    .text    ascii   QPPPPh0
38   0x000016bb 0x004022bb 4   5    .text    ascii   \b@@f
39   0x000016c6 0x004022c6 4   5    .text    ascii   M\bQj
40   0x000016d5 0x004022d5 4   5    .text    ascii   PWh4
41   0x000016f6 0x004022f6 6   7    .text    ascii   9E\bt%h
42   0x0000170a 0x0040230a 4   5    .text    ascii   u\bPP
43   0x00001740 0x00402340 4   5    .text    ascii   \b@@f
44   0x0000174b 0x0040234b 4   5    .text    ascii   M\bQj
45   0x0000175a 0x0040235a 4   5    .text    ascii   PWh<
46   0x0000177b 0x0040237b 6   7    .text    ascii   9E\bt%h
47   0x0000178f 0x0040238f 4   5    .text    ascii   u\bPP
48   0x000017f1 0x004023f1 5   6    .text    ascii   t#VVj
49   0x00001807 0x00402407 4   5    .text    ascii   t\rVj
50   0x00001962 0x00402562 5   6    .text    ascii   LSVWh
51   0x00001995 0x00402595 7   8    .text    ascii   \nr$j\nY3
52   0x000019a8 0x004025a8 4   5    .text    ascii   05e_
53   0x000019d1 0x004025d1 4   5    .text    ascii   j\nY3
54   0x00001a83 0x00402683 4   5    .text    ascii   QSV3
55   0x00001aa9 0x004026a9 4   5    .text    ascii   \e|\b9
56   0x00001b02 0x00402702 5   6    .text    ascii   \fSVW3
57   0x00001b39 0x00402739 4   5    .text    ascii   G\f;E
58   0x00001b43 0x00402743 4   5    .text    ascii   G\b;E
59   0x00001b6e 0x0040276e 5   6    .text    ascii   u!j X
60   0x00001c0b 0x0040280b 5   6    .text    ascii   u19=H
61   0x00001c77 0x00402877 4   5    .text    ascii   _^[]
62   0x00001c7f 0x0040287f 5   6    .text    ascii   QQSV3
63   0x00001c88 0x00402888 4   5    .text    ascii   PVVh
64   0x00001caf 0x004028af 4   5    .text    ascii   Vj\bh
65   0x00001cbe 0x004028be 4   5    .text    ascii   tUVj
66   0x00001ccd 0x004028cd 4   5    .text    ascii   tFVj
67   0x00001d82 0x00402982 5   6    .text    ascii   x9SVW
68   0x00001dfb 0x004029fb 4   5    .text    ascii   Sj\bh
69   0x00001f6d 0x00402b6d 4   5    .text    ascii   Y_^[
70   0x00001f80 0x00402b80 4   5    .text    ascii   SVh\b
71   0x00001fb2 0x00402bb2 4   5    .text    ascii   WVVj
72   0x0000204a 0x00402c4a 9   10   .text    ascii   9G\bu\n9G\fu
73   0x0000205c 0x00402c5c 4   5    .text    ascii   QPPh
74   0x0000218c 0x00402d8c 4   5    .text    ascii   HCNu
75   0x000021ef 0x00402def 4   6    .text    utf8    U\f3Ʌ blocks=Basic Latin,Latin Extended-B
76   0x000022ad 0x00402ead 4   5    .text    ascii   \t,h
77   0x0000236d 0x00402f6d 4   5    .text    ascii   @_^[
78   0x00002380 0x00402f80 5   6    .text    ascii   SVWj@
79   0x00002481 0x00403081 5   6    .text    ascii   f9\au 
80   0x000024a8 0x004030a8 8   9    .text    ascii   t.f9\at)W
81   0x000024e4 0x004030e4 4   5    .text    ascii   QPPj
82   0x000026fb 0x004032fb 4   5    .text    ascii   )uM=
83   0x00002700 0x00403300 6   7    .text    ascii   R?>t*=
84   0x0000273d 0x0040333d 4   5    .text    ascii   =Ji2
85   0x00002742 0x00403342 4   5    .text    ascii   t\v=$
86   0x0000274d 0x0040334d 5   7    .text    utf8    ]ø"&@ blocks=Basic Latin,Latin-1 Supplement
87   0x00002754 0x00403354 5   7    .text    utf8    ]ø}&@ blocks=Basic Latin,Latin-1 Supplement
