[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x00000218 0x00000218 5   6            ascii   .text
1    0x0000023f 0x0000023f 6   7            ascii   `.data
2    0x00000268 0x00000268 6   7            ascii   .reloc
3    0x00001006 0x00401006 6   7    .text   ascii   pv?wqv
4    0x0000100d 0x0040100d 4   5    .text   ascii   Fpv1
5    0x0000101d 0x0040101d 7   8    .text   ascii   FpvDCpv
6    0x00001031 0x00401031 8   9    .text   ascii   Fpv\bFpvY
7    0x0000103a 0x0040103a 10  11   .text   ascii   pv^Apv Fpv
8    0x0000104d 0x0040104d 4   5    .text   ascii   wqvJ
9    0x00001052 0x00401052 11  12   .text   ascii   ov;Apv\vApv:
10   0x00001085 0x00401085 4   5    .text   ascii   Cpv\f
11   0x0000108a 0x0040108a 7   8    .text   ascii   pv,Cpv$
12   0x000010e4 0x004010e4 4   5    .text   ascii   Mjst
13   0x000010f3 0x004010f3 4   6    .text   utf8    umȬu blocks=Basic Latin,Latin Extended-B
14   0x0000117f 0x0040117f 7   10   .text   utf8    u.άu\aȬu blocks=Basic Latin,Greek and Coptic,Latin Extended-B
15   0x000011b7 0x004011b7 4   6    .text   utf8    ui˭u blocks=Basic Latin,Spacing Modifier Letters
16   0x000011c1 0x004011c1 4   6    .text   utf8    ˭ukA blocks=Spacing Modifier Letters,Basic Latin
17   0x00001215 0x00401215 4   6    .text   utf8    ֬uPI blocks=Hebrew,Basic Latin
18   0x00001229 0x00401229 5   8    .text   utf8    լu`Ȭu blocks=Armenian,Basic Latin,Latin Extended-B
19   0x00001309 0x00401309 5   8    .text   utf8    ٬uuЭu blocks=Arabic,Basic Latin,Cyrillic
20   0x00001319 0x00401319 4   6    .text   utf8    جu/w blocks=Arabic,Basic Latin
21   0x0000143e 0x0040143e 6   7    .text   ascii   qtQ\eqt
22   0x0000152e 0x0040152e 6   7    .text   ascii   )vuy)v
23   0x00001539 0x00401539 4   5    .text   ascii   n.v4
24   0x00001546 0x00401546 5   7    .text   utf8    )vλ(v blocks=Basic Latin,Greek and Coptic
25   0x000015d6 0x004015d6 4   5    .text   ascii   qswN
26   0x000015fa 0x004015fa 4   5    .text   ascii   3)6{
27   0x0000161a 0x0040161a 4   5    .text   ascii   3)6{
28   0x0000168a 0x0040168a 4   5    .text   ascii   L09n
29   0x00001697 0x00401697 6   8    .text   utf8    Ԛ<5IkQ blocks=Cyrillic Supplement,Basic Latin
30   0x000016f9 0x004016f9 5   6    .text   ascii   <5IkQ
31   0x000017ba 0x004017ba 4   5    .text   ascii   s1q4
32   0x00001849 0x00401849 5   6    .text   ascii   <5IkQ
33   0x00001881 0x00401881 5   7    .text   utf8    $%'%֗ blocks=Basic Latin,Hebrew
34   0x00002278 0x00402278 14  60   .text   utf32le \a\a\b\b\t\t\n\n\v\v\f\f\r\r
35   0x00002702 0x00402702 7   16   .text   utf16le \a@\a \a`\a
36   0x00002712 0x00402712 15  32   .text   utf16le \aP\a0\ap\a\b\aH\a(\ah\a
37   0x00002732 0x00402732 7   16   .text   utf16le \aX\a8\ax\a
38   0x00002742 0x00402742 7   16   .text   utf16le \aD\a$\ad\a
39   0x00002752 0x00402752 7   16   .text   utf16le \aT\a4\at\a
40   0x00002804 0x00402804 116 117  .text   ascii   \a\a\a\a\b\b\b\b\b\b\b\b\t\t\t\t\t\t\t\t\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\v\v\v\v\v\v\v\v\v\v\v\v\v\v\v\v\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r
41   0x00002958 0x00402958 32  33   .text   ascii   \e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e
42   0x000029ff 0x004029ff 17  18   .text   ascii   \a\b\b\t\t\n\n\v\v\f\f\f\f\r\r\r\r
43   0x00002ad8 0x00402ad8 31  32   .text   ascii   \e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e
44   0x00002b14 0x00402b14 4   20   .text   utf32le \a\b\n\f
45   0x00002b38 0x00402b38 8   36   .text   utf32le  (08@P`p
46   0x00002b98 0x00402b98 4   20   .text   utf32le  0@`
47   0x00002bed 0x00402bed 5   6    .text   ascii   0\aw,a
48   0x00002c4c 0x00402c4c 4   6    .text   utf8    (kdz
49   0x00002c69 0x00402c69 4   5    .text   ascii    n;^
50   0x00002cbb 0x00402cbb 4   6    .text   utf8    !#ĳV blocks=Basic Latin,Latin Extended-A
51   0x00002d1c 0x00402d1c 4   5    .text   ascii   -=m\b
52   0x00002d29 0x00402d29 6   7    .text   ascii   Qkkbal
53   0x00002d61 0x00402d61 4   6    .text   utf8    |ӌeL blocks=Basic Latin,Cyrillic
54   0x00002d9f 0x00402d9f 4   5    .text   ascii   3_L\n
55   0x00002df5 0x00402df5 4   6    .text   utf8    ұt9G blocks=Cyrillic,Basic Latin
56   0x00002e10 0x00402e10 4   5    .text   ascii   >jm\r
57   0x00002e15 0x00402e15 4   5    .text   ascii   Zjz\v
58   0x00002e37 0x00402e37 4   5    .text   ascii   i]Wb
59   0x00002e46 0x00402e46 4   5    .text   ascii   knv\e
60   0x00002e4d 0x00402e4d 4   6    .text   utf8    +ӉZz blocks=Basic Latin,Cyrillic
61   0x00002eee 0x00402eee 5   8    .text   utf8    c윣ju\n blocks=Basic Latin,Hangul Syllables
62   0x00002f77 0x00402f77 4   5    .text   ascii   9a&g
63   0x00002f80 0x00402f80 4   5    .text   ascii   MGiI
64   0x00002f85 0x00402f85 6   8    .text   utf8    wn>JjѮ blocks=Basic Latin,Cyrillic
65   0x00002fc7 0x00402fc7 4   5    .text   ascii   #.zf
66   0x00002fd5 0x00402fd5 4   5    .text   ascii   +o*7
67   0x00003002 0x00403002 6   8    .text   utf8    ZVǖAO\b blocks=Basic Latin,Latin Extended-B
68   0x0000309d 0x0040309d 9   10   .text   ascii   Z* ,\t\a\vm8
69   0x000030a9 0x004030a9 5   7    .text   utf8    6F߲\a] blocks=Basic Latin,NKo
70   0x000030d0 0x004030d0 4   6    .text   utf8    yީ%8 blocks=Basic Latin,Thaana
71   0x00003108 0x00403108 4   6    .text   utf8    \rŠ8L blocks=Basic Latin,Latin Extended-A
72   0x00003180 0x00403180 4   6    .text   utf8    !̧3` blocks=Basic Latin,Combining Diacritical Marks
73   0x000031ad 0x004031ad 6   7    .text   ascii   H$6t\e\t
74   0x00003211 0x00403211 5   7    .text   utf8    pl@Aw
75   0x0000323c 0x0040323c 4   5    .text   ascii   _~6\f
76   0x00003279 0x00403279 5   7    .text   utf8    ykʬHp blocks=Basic Latin,IPA Extensions
77   0x000032ce 0x004032ce 5   6    .text   ascii   \a52F*
78   0x000032d4 0x004032d4 4   5    .text   ascii   sw1\a
79   0x0000337d 0x0040337d 10  11   .text   ascii   \a\t#jT$\b+e?
80   0x00003423 0x00403423 6   7    .text   ascii   \n=G\\vp
81   0x0000348a 0x0040348a 4   5    .text   ascii   ^6o}
82   0x000034b5 0x004034b5 9   10   .text   ascii   [-&LMb#{'
83   0x000034d3 0x004034d3 5   6    .text   ascii   )q\n>(
84   0x000034fb 0x004034fb 6   7    .text   ascii   w+OQvr
85   0x00003507 0x00403507 5   7    .text   utf8    ux܉~O blocks=Basic Latin,Syriac
86   0x00003511 0x00403511 5   6    .text   ascii   \b\r}!b
87   0x00003541 0x00403541 5   6    .text   ascii   R1h58
88   0x00003572 0x00403572 4   5    .text   ascii   SKyu
