[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
82   0x000026a3 0x100032a3 7   8    .text   ascii   \vA\f\vE\bP
83   0x000026c7 0x100032c7 4   5    .text   ascii   E\bSV
84   0x00002810 0x10003410 5   6    .text   ascii   t\vj\bV
85   0x00002a5e 0x1000365e 4   5    .text   ascii   SVWP
86   0x00002a87 0x10003687 4   5    .text   ascii   <-u\a
87   0x00002aae 0x100036ae 4   5    .text   ascii   <30u
88   0x00002c2b 0x1000382b 4   6    .text   utf8    \bf\vȈ blocks=Basic Latin,Latin Extended-B
89   0x00002d79 0x10003979 4   5    .text   ascii   PQVS
90   0x00002dba 0x100039ba 4   5    .text   ascii   woRQ
91   0x00002dfc 0x100039fc 4   5    .text   ascii   w-RQ
92   0x00002e14 0x10003a14 4   5    .text   ascii   Y_^[
93   0x00002e5e 0x10003a5e 4   5    .text   ascii   SVWP
94   0x00002e85 0x10003a85 4   5    .text   ascii   \a<+t
95   0x00002e8a 0x10003a8a 4   5    .text   ascii   <-u\a
96   0x00002ebd 0x10003abd 4   5    .text   ascii   <70u
97   0x00003089 0x10003c89 4   6    .text   utf8    \bf\vȈ blocks=Basic Latin,Latin Extended-B
98   0x000031d7 0x10003dd7 4   5    .text   ascii   PQVS
99   0x00003218 0x10003e18 4   5    .text   ascii   woRQ
100  0x0000325a 0x10003e5a 4   5    .text   ascii   w-RQ
101  0x00003272 0x10003e72 4   5    .text   ascii   Y_^[
102  0x000032f6 0x10003ef6 4   6    .text   utf8    M\fME
103  0x0000333b 0x10003f3b 4   6    .text   utf8    M\fMe
104  0x00003470 0x10004070 5   6    .text   ascii   PQSVW
105  0x000034d3 0x100040d3 4   5    .text   ascii   Y_^[
106  0x000035c7 0x100041c7 4   5    .text   ascii   E\fSV
107  0x000037a9 0x100043a9 4   5    .text   ascii   ;y\fs
108  0x000037cb 0x100043cb 4   5    .text   ascii   ;x\fs
109  0x000038a3 0x100044a3 4   5    .text   ascii   ,SVW
110  0x000038be 0x100044be 5   9    .text   utf8    E܋ًȉ] blocks=Basic Latin,Syriac,Arabic,Latin Extended-B
111  0x00003ab3 0x100046b3 4   7    .text   utf8    Ëű] blocks=Latin-1 Supplement,Basic Latin,Combining Diacritical Marks
112  0x00003ace 0x100046ce 4   6    .text   utf8    ˋQ\f\v blocks=Spacing Modifier Letters,Basic Latin
113  0x00003b20 0x10004720 4   5    .text   ascii   Y_^[
114  0x00003bee 0x100047ee 4   5    .text   ascii   SVWP
115  0x00003c54 0x10004854 4   5    .text   ascii   ;y\fs
116  0x00003c76 0x10004876 5   6    .text   ascii   ;x\fs\n
117  0x00003d0a 0x1000490a 4   5    .text   ascii   Y_^[
118  0x00003d27 0x10004927 5   6    .text   ascii   E\bSVW
119  0x00003e1f 0x10004a1f 4   6    .text   utf8    O\b+ȃ blocks=Basic Latin,Latin Extended-B
120  0x00003e5c 0x10004a5c 5   6    .text   ascii   O\b_^[
121  0x00003f0f 0x10004b0f 4   5    .text   ascii   ;y\fs
122  0x00003f31 0x10004b31 4   5    .text   ascii   ;x\fs
123  0x0000404f 0x10004c4f 4   5    .text   ascii   F\f.,
124  0x00004202 0x10004e02 5   7    .text   utf8    É;_^[ blocks=Latin-1 Supplement,Basic Latin
125  0x00004573 0x10005173 5   7    .text   utf8    É;_^[ blocks=Latin-1 Supplement,Basic Latin
126  0x0000466a 0x1000526a 4   6    .text   utf8    3ɊE\b blocks=Basic Latin,Latin Extended-B
127  0x0000468b 0x1000528b 4   6    .text   utf8    R\f3ɺ blocks=Basic Latin,IPA Extensions
128  0x00004721 0x10005321 4   5    .text   ascii   Y_^[
129  0x00004b35 0x10005735 5   6    .text   ascii   E\bSVW
130  0x00004c94 0x10005894 4   5    .text   ascii   XD$ 
131  0x00004cb8 0x100058b8 4   5    .text   ascii   >w\t2
132  0x00004cdb 0x100058db 4   5    .text   ascii   lv8f
133  0x00004ea1 0x10005aa1 4   6    .text   utf8    3u̱\f blocks=Basic Latin,Combining Diacritical Marks
134  0x000050a8 0x10005ca8 4   5    .text   ascii   YD$\f
135  0x000051ca 0x10005dca 4   5    .text   ascii   <Y~6
136  0x00005292 0x10005e92 4   5    .text   ascii   ^D$ 
137  0x0000541d 0x1000601d 4   5    .text   ascii   VWVW
138  0x0000544c 0x1000604c 4   5    .text   ascii   YD$ 
139  0x00005485 0x10006085 4   5    .text   ascii   _^[f
140  0x000054fa 0x100060fa 4   5    .text   ascii   mw\rj
141  0x000055d6 0x100061d6 4   5    .text   ascii   T$0f
142  0x00005729 0x10006329 4   5    .text   ascii   XD$\f
143  0x0000576d 0x1000636d 4   5    .text   ascii   YD$\f
144  0x00005939 0x10006539 4   5    .text   ascii   D$\bf
145  0x0000595e 0x1000655e 4   5    .text   ascii   T$\bu
146  0x00005a15 0x10006615 4   5    .text   ascii   \fSVW
147  0x00005ab7 0x100066b7 4   5    .text   ascii   j~"j
