[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
1617 0x0002f508 0x10030108 7   9    .text   utf8    u\b3ɋE\f3 blocks=Basic Latin,Latin Extended-B
1618 0x0002f518 0x10030118 4   5    .text   ascii   9u\f\e
1619 0x0002f53f 0x1003013f 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
1620 0x0002f58d 0x1003018d 4   6    .text   utf8    ]ËE\f blocks=Basic Latin,Latin-1 Supplement
1621 0x0002f5c6 0x100301c6 4   6    .text   utf8    \vE\ft
1622 0x0002f6d3 0x100302d3 4   5    .text   ascii   @( t
1623 0x0002f6ff 0x100302ff 4   5    .text   ascii   E\bPR
1624 0x0002f712 0x10030312 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
1625 0x0002f72f 0x1003032f 5   7    .text   utf8    ËE\bSV blocks=Latin-1 Supplement,Basic Latin
1626 0x0002f73a 0x1003033a 5   7    .text   utf8    \vE\bt\a
1627 0x0002f757 0x10030357 5   7    .text   utf8    t<3ۍE blocks=Basic Latin,Arabic
1628 0x0002f75e 0x1003035e 4   5    .text   ascii   CSPj
1629 0x0002f7db 0x100303db 4   5    .text   ascii   ;\nu\a
1630 0x0002f80a 0x1003040a 4   5    .text   ascii   <\rt\n
1631 0x0002f86e 0x1003046e 6   7    .text   ascii   D8(Ht'
1632 0x0002f89e 0x1003049e 4   5    .text   ascii   \nu\t;
1633 0x0002f8e2 0x100304e2 4   5    .text   ascii   @u\b\f
1634 0x0002f932 0x10030532 4   5    .text   ascii   t\ff9
1635 0x0002f9a1 0x100305a1 4   5    .text   ascii   ]\fYf
1636 0x0002f9e6 0x100305e6 7   8    .text   ascii   D\a(HtMf
1637 0x0002f9fa 0x100305fa 6   7    .text   ascii   u\bj\nYf
1638 0x0002fa03 0x10030603 5   6    .text   ascii   1j\rXf
1639 0x0002fa38 0x10030638 7   8    .text   ascii   0j\nXf9E
1640 0x0002fa57 0x10030657 6   7    .text   ascii   j\nXf9E
1641 0x0002fa5e 0x1003065e 6   7    .text   ascii   t\tj\rXf
1642 0x0002fa89 0x10030689 4   5    .text   ascii   @u\b\f
1643 0x0002fb58 0x10030758 7   8    .text   ascii   D\a(Ht5F
1644 0x0002fbfa 0x100307fa 4   5    .text   ascii   -^_[
1645 0x0002fc2d 0x1003082d 5   6    .text   ascii   j\nXf9
1646 0x0002fc36 0x10030836 6   7    .text   ascii   u\aj\nXj
1647 0x0002fd89 0x10030989 4   5    .text   ascii   Y_^[
1648 0x0002fe31 0x10030a31 4   6    .text   utf8    tыT8 blocks=Basic Latin,Cyrillic
1649 0x0002ff3d 0x10030b3d 4   5    .text   ascii   ]\b<\n
1650 0x0002ff87 0x10030b87 6   7    .text   ascii   ]\b<\ntg
1651 0x0002ffb5 0x10030bb5 4   5    .text   ascii   ]\bu;
1652 0x0002ffcb 0x10030bcb 6   7    .text   ascii   ]\b<\nt#
1653 0x000301ab 0x10030dab 6   10   .text   utf8    u؋މ]܃e blocks=Basic Latin,Arabic,Thaana,Syriac
1654 0x000301f4 0x10030df4 4   7    .text   utf8    u؋ډ] blocks=Basic Latin,Arabic
1655 0x00030245 0x10030e45 4   5    .text   ascii   Y_^[
1656 0x00030254 0x10030e54 4   5    .text   ascii   u\bWV
1657 0x0003030a 0x10030f0a 4   5    .text   ascii   u\bWj
1658 0x0003032e 0x10030f2e 5   6    .text   ascii   t\bj@Y
1659 0x00030373 0x10030f73 4   5    .text   ascii   E\bQQ
1660 0x0003058c 0x1003118c 4   5    .text   ascii   L$\ff
1661 0x00030616 0x10031216 4   6    .text   utf8    WҺ`@ blocks=Basic Latin,Cyrillic
1662 0x00030650 0x10031250 4   5    .text   ascii   (\r Y
1663 0x000306fe 0x100312fe 4   5    .text   ascii   YT$\f
1664 0x0003077a 0x1003137a 4   5    .text   ascii   L$\ff
1665 0x00030818 0x10031418 4   5    .text   ascii   L$\ff
1666 0x000309f5 0x100315f5 4   5    .text   ascii   L$\ff
1667 0x00030a37 0x10031637 4   5    .text   ascii   L$\ff
1668 0x00030a5a 0x1003165a 4   5    .text   ascii   L$\ff
1669 0x00030a76 0x10031676 4   5    .text   ascii   L$\ff
1670 0x00030af1 0x100316f1 4   5    .text   ascii   T$\ff
1671 0x000312b2 0x10031eb2 5   7    .text   utf8    @t\bƅp blocks=Basic Latin,Latin Extended-B
1672 0x000312f2 0x10031ef2 5   7    .text   utf8    @t\tƅp blocks=Basic Latin,Latin Extended-B
1673 0x00031339 0x10031f39 5   7    .text   utf8    @t\tƅp blocks=Basic Latin,Latin Extended-B
1674 0x00031487 0x10032087 5   7    .text   utf8    ËD$\b% blocks=Latin-1 Supplement,Basic Latin
1675 0x00031498 0x10032098 4   6    .text   utf8    ËD$\b blocks=Latin-1 Supplement,Basic Latin
1676 0x000314d1 0x100320d1 4   6    .text   utf8    ,$ZÃ blocks=Basic Latin,Latin-1 Supplement
1677 0x00031594 0x10032194 4   5    .text   ascii   E\bQQ
1678 0x000315a7 0x100321a7 4   5    .text   ascii   E\bQQ
1679 0x0003168a 0x1003228a 5   6    .text   ascii   9M\fu.
1680 0x000316bc 0x100322bc 6   7    .text   ascii   \9E\fuY
1681 0x0003188d 0x1003248d 5   6    .text   ascii   ]\f+u\b
1682 0x00031914 0x10032514 5   7    .text   utf8    @]ËM\f blocks=Basic Latin,Latin-1 Supplement
1683 0x00031989 0x10032589 4   6    .text   utf8    \nˈ\n3 blocks=Basic Latin,Spacing Modifier Letters
1684 0x000319a2 0x100325a2 5   7    .text   utf8    Y^[]Ë blocks=Basic Latin,Latin-1 Supplement
1685 0x00031a4a 0x1003264a 4   6    .text   utf8    Y^]Ë blocks=Basic Latin,Latin-1 Supplement
1686 0x00031a62 0x10032662 4   5    .text   ascii   tl=P
1687 0x00031b90 0x10032790 4   5    .text   ascii   Y_^[
1688 0x00031beb 0x100327eb 5   7    .text   utf8    YY^]Ë blocks=Basic Latin,Latin-1 Supplement
1689 0x00031c9a 0x1003289a 4   6    .text   utf8    j\fhз blocks=Basic Latin,Cyrillic
1690 0x00031d01 0x10032901 4   7    .text   utf8    YËƋM blocks=Basic Latin,Latin-1 Supplement,Latin Extended-B
1691 0x00031d0f 0x1003290f 4   5    .text   ascii   Y_^[
1692 0x00031d67 0x10032967 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
1693 0x00031dc5 0x100329c5 4   5    .text   ascii   }\f-t
1694 0x00031ddc 0x100329dc 4   5    .text   ascii   }\f-t
1695 0x00031e20 0x10032a20 6   7    .text   ascii   @9E\fw\t
1696 0x00031ebc 0x10032abc 5   7    .text   utf8    [_^]Ë blocks=Basic Latin,Latin-1 Supplement
1697 0x00031f04 0x10032b04 4   6    .text   utf8    u\tƅx blocks=Basic Latin,Latin Extended-B
1698 0x00031f24 0x10032b24 6   7    .text   ascii   u\fWj _
1699 0x00032030 0x10032c30 4   6    .text   utf8    u\n3҉ blocks=Basic Latin,Cyrillic
1700 0x0003208f 0x10032c8f 4   5    .text   ascii   j _=
1701 0x0003209e 0x10032c9e 4   6    .text   utf8    u\b3\t
1702 0x00032198 0x10032d98 4   5    .text   ascii   sv+3
1703 0x00032290 0x10032e90 4   6    .text   utf8    t\n3\r
1704 0x00032358 0x10032f58 4   5    .text   ascii   sv+3
1705 0x00032450 0x10033050 4   6    .text   utf8    t\n3\r
1706 0x000324e2 0x100330e2 4   5    .text   ascii   sv*S
1707 0x000329af 0x100335af 4   5    .text   ascii   std;
1708 0x00032acd 0x100336cd 4   6    .text   utf8    ub3\t
1709 0x00032e78 0x10033a78 4   5    .text   ascii   std;
1710 0x0003311e 0x10033d1e 4   5    .text   ascii   j\nZ;
1711 0x00033308 0x10033f08 4   5    .text   ascii   s\v<0
1712 0x00033390 0x10033f90 4   6    .text   utf8    u)3ۀ blocks=Basic Latin,Arabic
1713 0x0003339b 0x10033f9b 4   5    .text   ascii   _^t\r
1714 0x000333bd 0x10033fbd 6   9    .text   utf8    PPPPP胟 blocks=Basic Latin,CJK Unified Ideographs
1715 0x000333e4 0x10033fe4 5   6    .text   ascii   x$;\r\b
1716 0x00033518 0x10034118 4   6    .text   utf8    Y^]Ë blocks=Basic Latin,Latin-1 Supplement
1717 0x000335df 0x100341df 4   5    .text   ascii   F\fPj
1718 0x00033659 0x10034259 5   6    .text   ascii    PjPW
1719 0x00033670 0x10034270 5   6    .text   ascii   $PjQW
1720 0x000336b8 0x100342b8 5   6    .text   ascii   *PjTW
1721 0x000336cf 0x100342cf 5   6    .text   ascii   +PjUW
1722 0x000336e6 0x100342e6 5   6    .text   ascii   ,PjVW
1723 0x00033700 0x10034300 5   6    .text   ascii   -PjWW
1724 0x00033717 0x10034317 5   6    .text   ascii   .PjRW
1725 0x0003372e 0x1003432e 5   6    .text   ascii   /PjSW
1726 0x000337a4 0x100343a4 5   6    .text   ascii   HPjPW
1727 0x000337be 0x100343be 5   6    .text   ascii   LPjQW
1728 0x00033817 0x10034417 4   5    .text   ascii   !<;u
1729 0x000338bd 0x100344bd 4   6    .text   utf8    C|3\t
1730 0x00033937 0x10034537 4   6    .text   utf8    Y^]Ë blocks=Basic Latin,Latin-1 Supplement
1731 0x00033972 0x10034572 4   5    .text   ascii   GjPW
1732 0x00033a27 0x10034627 4   5    .text   ascii   C\bPj
1733 0x00033a3b 0x1003463b 4   5    .text   ascii   C0Pj
1734 0x00033a52 0x10034652 4   5    .text   ascii   C4Pj
1735 0x00033af4 0x100346f4 4   6    .text   utf8    F|3\t
1736 0x00033b4f 0x1003474f 4   5    .text   ascii   M\fSV
1737 0x00033b54 0x10034754 4   5    .text   ascii   u\bW3
1738 0x00033b7c 0x1003477c 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
1739 0x00033bb3 0x100347b3 4   5    .text   ascii   Xj\aZ
1740 0x00033be6 0x100347e6 4   6    .text   utf8    \v؋E\b blocks=Basic Latin,Arabic
1741 0x00033c04 0x10034804 4   6    .text   utf8    \v؋E\b blocks=Basic Latin,Arabic
1742 0x00033c23 0x10034823 4   6    .text   utf8    \v؋E\b blocks=Basic Latin,Arabic
1743 0x00033c58 0x10034858 5   6    .text   ascii   E\bj8^
1744 0x00033c72 0x10034872 4   5    .text   ascii   \fPVW
1745 0x00033ce9 0x100348e9 4   5    .text   ascii   Pj(W
1746 0x00033d00 0x10034900 4   5    .text   ascii   Pj)W
1747 0x00033d17 0x10034917 4   5    .text   ascii   Pj(W
1748 0x00033d2e 0x1003492e 4   5    .text   ascii   Pj)W
1749 0x00033d5f 0x1003495f 4   5    .text   ascii   Pj W
1750 0x00033dc4 0x100349c4 4   5    .text   ascii   Pj W
1751 0x00033e22 0x10034a22 5   6    .text   ascii   F8j\fP
1752 0x00033e2d 0x10034a2d 5   6    .text   ascii   Fhj\fP
1753 0x00033edd 0x10034add 4   6    .text   utf8    (^]Ë blocks=Basic Latin,Latin-1 Supplement
1754 0x00033ee8 0x10034ae8 5   6    .text   ascii   ]\bVW3
1755 0x00033f56 0x10034b56 6   8    .text   utf8    Y_^[]Ë blocks=Basic Latin,Latin-1 Supplement
1756 0x00033f63 0x10034b63 4   5    .text   ascii   M\bSV
1757 0x00033f71 0x10034b71 6   7    .text   ascii   u\r9M\fu
1758 0x000340b1 0x10034cb1 5   6    .text   ascii   SVWf9
1759 0x000340ec 0x10034cec 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
1760 0x00034171 0x10034d71 5   6    .text   ascii   WWWWW
1761 0x000341dd 0x10034ddd 7   9    .text   utf8    3ۉ~\fSSj blocks=Basic Latin,Arabic
1762 0x0003420e 0x10034e0e 5   6    .text   ascii   ^\b_^[
1763 0x00034267 0x10034e67 7   9    .text   utf8    ^\b_^[]Ë blocks=Basic Latin,Latin-1 Supplement
1764 0x00034274 0x10034e74 4   6    .text   utf8    M\b3҅ blocks=Basic Latin,Cyrillic
1765 0x000342e8 0x10034ee8 6   7    .text   ascii   u\t!FX@
1766 0x00034338 0x10034f38 5   6    .text   ascii   u\b!^X
1767 0x00034378 0x10034f78 5   6    .text   ascii   uX9^\
1768 0x000343ef 0x10034fef 4   6    .text   utf8    j@\eɁ blocks=Basic Latin,Latin Extended-B
1769 0x00034463 0x10035063 7   8    .text   ascii   NX9^`t1
1770 0x00034477 0x10035077 4   5    .text   ascii   NXf9
1771 0x0003449b 0x1003509b 5   6    .text   ascii   9^\ty
1772 0x000344b9 0x100350b9 6   7    .text   ascii   ;V\uYW
1773 0x000344ca 0x100350ca 5   7    .text   utf8    ^P3ҍK blocks=Basic Latin,Cyrillic
1774 0x00034526 0x10035126 4   5    .text   ascii   NXf9
1775 0x00034548 0x10035148 5   6    .text   ascii   PWjUR
1776 0x00034577 0x10035177 5   6    .text   ascii   SSSSS
1777 0x000345ca 0x100351ca 4   5    .text   ascii   !FX@
1778 0x000345e7 0x100351e7 4   6    .text   utf8    S3ۍQ blocks=Basic Latin,Arabic
1779 0x00034636 0x10035236 5   6    .text   ascii   SSSSS
1780 0x00034750 0x10035350 6   7    .text   ascii   j\tPjYV
1781 0x000347fa 0x100353fa 4   5    .text   ascii   ]\bVW
1782 0x0003485f 0x1003545f 11  12   .text   ascii   Y9F\bu2Vj@hh
1783 0x0003487d 0x1003547d 6   7    .text   ascii   Vf9\bt\a
1784 0x000348a8 0x100354a8 10  11   .text   ascii   f9;u\rf98u\b
1785 0x0003493a 0x1003553a 4   5    .text   ascii   j@Wh
1786 0x0003496c 0x1003556c 5   6    .text   ascii   tjj_S
1787 0x0003498a 0x1003558a 5   6    .text   ascii   j@Sj\a
1788 0x000349e1 0x100355e1 5   6    .text   ascii   PPPPP
1789 0x00034a2d 0x1003562d 4   6    .text   utf8    jx\eɁ blocks=Basic Latin,Latin Extended-B
1790 0x00034ad9 0x100356d9 5   7    .text   utf8    8_^]Ë blocks=Basic Latin,Latin-1 Supplement
1791 0x00034b23 0x10035723 4   6    .text   utf8    3\v}\b
1792 0x00034b36 0x10035736 5   6    .text   ascii   9^`u\v
1793 0x00034b74 0x10035774 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
1794 0x00034ba8 0x100357a8 5   7    .text   utf8    \tF`t\v
1795 0x00034bd3 0x100357d3 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
1796 0x00034c45 0x10035845 4   6    .text   utf8    jx\eɁ blocks=Basic Latin,Latin Extended-B
1797 0x00034d17 0x10035917 4   5    .text   ascii   ;K\u
1798 0x00034d95 0x10035995 4   5    .text   ascii   9C`t
1799 0x00034daa 0x100359aa 4   5    .text   ascii   9C\t
1800 0x00034dd2 0x100359d2 4   5    .text   ascii   ;S\u
1801 0x00034df7 0x100359f7 10  11   .text   ascii   9C`u99C\t4
1802 0x00034e41 0x10035a41 4   6    .text   utf8    3\t\a@
1803 0x00034e98 0x10035a98 4   6    .text   utf8    jx\eɁ blocks=Basic Latin,Latin Extended-B
1804 0x00034ed4 0x10035ad4 4   5    .text   ascii   u2Wj
1805 0x00034edd 0x10035add 7   8    .text   ascii   u29K\t-
1806 0x00034f32 0x10035b32 4   5    .text   ascii   U\bV3
1807 0x00034f3d 0x10035b3d 4   5    .text   ascii   t9Wj
1808 0x00034f84 0x10035b84 4   5    .text   ascii   M\bVW
1809 0x00034fa4 0x10035ba4 5   6    .text   ascii   :f;>u
1810 0x00034fda 0x10035bda 5   6    .text   ascii   :f;>u
1811 0x0003500c 0x10035c0c 4   5    .text   ascii   E\fh\v
1812 0x000350b7 0x10035cb7 4   5    .text   ascii   t2;u
1813 0x000350fa 0x10035cfa 4   5    .text   ascii   u\fW3
1814 0x000351b4 0x10035db4 5   6    .text   ascii   WHPhx
1815 0x000351c6 0x10035dc6 4   6    .text   utf8    \f3҉U blocks=Basic Latin,Cyrillic
1816 0x000351d0 0x10035dd0 4   5    .text   ascii   tnf9
1817 0x00035209 0x10035e09 4   5    .text   ascii   HPhh
1818 0x00035224 0x10035e24 5   6    .text   ascii   f98t\v
1819 0x000352df 0x10035edf 5   6    .text   ascii   t^WjU
1820 0x000352f3 0x10035ef3 4   5    .text   ascii   j@Sh
1821 0x0003534c 0x10035f4c 8   9    .text   ascii   QQSVj8j@
1822 0x000353f1 0x10035ff1 5   6    .text   ascii   Y_[^]
1823 0x00035427 0x10036027 4   5    .text   ascii   Y_^[
1824 0x00035447 0x10036047 4   5    .text   ascii   9E\b|
1825 0x000354e8 0x100360e8 5   6    .text   ascii   xg;5\b
1826 0x00035567 0x10036167 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
1827 0x00035590 0x10036190 5   6    .text   ascii   x';\r\b
1828 0x000357a8 0x100363a8 4   5    .text   ascii   \nj@[
1829 0x0003582c 0x1003642c 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
1830 0x00035908 0x10036508 4   6    .text   utf8    ^[]Ë blocks=Basic Latin,Latin-1 Supplement
1831 0x00035935 0x10036535 9   11   .text   utf8     VWj\aY3\r}
1832 0x000359b3 0x100365b3 4   5    .text   ascii   QQV3
1833 0x00035ad5 0x100366d5 4   5    .text   ascii    SVW
1834 0x00035b48 0x10036748 4   6    .text   utf8    ?3ȉM blocks=Basic Latin,Latin Extended-B
1835 0x00035cc1 0x100368c1 4   5    .text   ascii   w/PV
1836 0x00035cfc 0x100368fc 5   8    .text   utf8    t;+K߉ blocks=Basic Latin,NKo
1837 0x00035d68 0x10036968 4   5    .text   ascii   <0WV
1838 0x00035fda 0x10036bda 4   5    .text   ascii   v!WQ
1839 0x00036116 0x10036d16 5   6    .text   ascii   9u\ft'
1840 0x0003612c 0x10036d2c 4   6    .text   utf8    ^[]Å blocks=Basic Latin,Latin-1 Supplement
1841 0x00036182 0x10036d82 4   6    .text   utf8    ɋM\bu blocks=Latin Extended-B,Basic Latin
1842 0x00036196 0x10036d96 4   5    .text   ascii   E\fjP
1843 0x000361c6 0x10036dc6 8   9    .text   ascii   PPPPPPPP
1844 0x00036253 0x10036e53 4   5    .text   ascii   9u\br
1845 0x00036273 0x10036e73 6   7    .text   ascii   J9U\bw\n
1846 0x000362b8 0x10036eb8 4   5    .text   ascii   SVW3
1847 0x000362fe 0x10036efe 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
1848 0x00036309 0x10036f09 5   6    .text   ascii   M\bSVW
1849 0x0003639b 0x10036f9b 4   5    .text   ascii   _^[]
1850 0x000363a2 0x10036fa2 5   6    .text   ascii   PPPPP
1851 0x00036426 0x10037026 4   5    .text   ascii   \aSPQ
1852 0x00036443 0x10037043 5   6    .text   ascii   r1SPV
1853 0x00036547 0x10037147 4   5    .text   ascii   etPj
1854 0x00036765 0x10037365 4   5    .text   ascii   j\b_Q
1855 0x000367a9 0x100373a9 5   6    .text   ascii   F\bPQW
1856 0x000367d2 0x100373d2 5   6    .text   ascii   >\bYYt
1857 0x00036b11 0x10037711 4   5    .text   ascii   d$\bu
1858 0x00036b2d 0x1003772d 4   6    .text   utf8    \fÍT$ blocks=Basic Latin,Latin-1 Supplement
1859 0x00036b3b 0x1003773b 4   5    .text   ascii   <$tL
1860 0x00036b40 0x10037740 4   5    .text   ascii   D$\ff
1861 0x00036bbb 0x100377bb 5   7    .text   utf8    uŃ|$\b blocks=Basic Latin,Latin Extended-A
1862 0x00036cca 0x100378ca 4   5    .text   ascii   |%=2
1863 0x00036d1b 0x1003791b 4   5    .text   ascii   ]\fVW
1864 0x00036d2a 0x1003792a 4   5    .text   ascii   j-Xf
1865 0x00036d7a 0x1003797a 5   7    .text   utf8    rˋ]\f; blocks=Basic Latin,Spacing Modifier Letters
1866 0x00036e1f 0x10037a1f 4   5    .text   ascii   SVRQ
1867 0x00036e2e 0x10037a2e 4   6    .text   utf8    [^]Ë blocks=Basic Latin,Latin-1 Supplement
1868 0x00036e77 0x10037a77 4   5    .text   ascii   ]\fVW
1869 0x00036eaf 0x10037aaf 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
1870 0x00036edd 0x10037add 4   6    .text   utf8    ]Ã}\f blocks=Basic Latin,Latin-1 Supplement
1871 0x0003700a 0x10037c0a 4   7    .text   utf8    w\tV蕩 blocks=Basic Latin,CJK Unified Ideographs
1872 0x000371d4 0x10037dd4 4   5    .text   ascii   F95h
1873 0x0003772f 0x1003832f 4   5    .text   ascii   (\r`b
1874 0x000377ce 0x100383ce 4   5    .text   ascii   (\r b
1875 0x000378e5 0x100384e5 4   5    .text   ascii   QQSV
1876 0x000378ee 0x100384ee 4   5    .text   ascii   Vh?\e
1877 0x00037920 0x10038520 4   5    .text   ascii   w\fVS
1878 0x00037943 0x10038543 5   6    .text   ascii   $j\fj\b
1879 0x0003797a 0x1003857a 4   5    .text   ascii   $j\fj
1880 0x0003798f 0x1003858f 4   5    .text   ascii   YY^[
1881 0x000379c1 0x100385c1 4   5    .text   ascii   \at'\n
1882 0x00037a0b 0x1003860b 5   6    .text   ascii   Y__^[
1883 0x00037a12 0x10038612 4   6    .text   utf8    ]QËM blocks=Basic Latin,Latin-1 Supplement
1884 0x00037a2d 0x1003862d 10  11   .text   ascii   D$\f+d$\fSVW
1885 0x00037a60 0x10038660 10  11   .text   ascii   D$\f+d$\fSVW
1886 0x00037a96 0x10038696 10  11   .text   ascii   D$\f+d$\fSVW
1887 0x00037ad2 0x100386d2 5   7    .text   utf8    L$\b+ȃ blocks=Basic Latin,Latin Extended-B
1888 0x00037ae8 0x100386e8 5   7    .text   utf8    L$\b+ȃ blocks=Basic Latin,Latin Extended-B
1889 0x00037aff 0x100386ff 4   6    .text   utf8    ̋D$\b blocks=Combining Diacritical Marks,Basic Latin
1890 0x00037b08 0x10038708 7   9    .text   utf8    \vȋL$\fu\t blocks=Basic Latin,Latin Extended-B
1891 0x00037b1d 0x1003871d 4   6    .text   utf8    ؋D$\b blocks=Arabic,Basic Latin
1892 0x00037b27 0x10038727 4   6    .text   utf8    ؋D$\b blocks=Arabic,Basic Latin
1893 0x00037b57 0x10038757 4   6    .text   utf8    ؋D$\f blocks=Arabic,Basic Latin
1894 0x00037b94 0x10038794 9   10   .text   ascii   w\br\a;D$\fv
1895 0x00037bee 0x100387ee 4   5    .text   ascii   _^[]
1896 0x00037c18 0x10038818 4   5    .text   ascii   \bSVW
1897 0x00037c81 0x10038881 4   5    .text   ascii   Y_^[
1898 0x00037cb2 0x100388b2 4   5    .text   ascii   Y_^[
1899 0x00037cd4 0x100388d4 4   6    .text   utf8    A8PE
1900 0x00037d0e 0x1003890e 4   5    .text   ascii   D$\f3
1901 0x00037d16 0x10038916 4   6    .text   utf8    ؋D$\b blocks=Arabic,Basic Latin
1902 0x00037d5f 0x1003895f 7   8    .text   ascii   ;T$\fw\br
1903 0x00037d67 0x10038967 10  11   .text   ascii   ;D$\bv\tN+D$
1904 0x00037d78 0x10038978 8   9    .text   ascii   +D$\b\eT$\f
1905 0x00037d88 0x10038988 4   9    .text   utf8    ʋӋًȋ blocks=IPA Extensions,Cyrillic,Arabic,Latin Extended-B
1906 0x00037de0 0x100389e0 4   5    .text   ascii   WVU3
1907 0x00037e86 0x10038a86 6   7    .text   ascii   v\tN+D$
1908 0x00037ea6 0x10038aa6 4   9    .text   utf8    ʋӋًȋ blocks=IPA Extensions,Cyrillic,Arabic,Latin Extended-B
1909 0x00037ef0 0x10038af0 4   5    .text   ascii   WVS3
1910 0x00037f7b 0x10038b7b 7   8    .text   ascii   w\br\a;D$
1911 0x00038042 0x10038c42 4   5    .text   ascii   }\bww
1912 0x0003813c 0x10038d3c 4   8    .text   utf8    뽋}\b3 blocks=Hangul Syllables,Basic Latin
1913 0x000381a4 0x10038da4 5   6    .text   ascii   f;s\ft
1914 0x000381bb 0x10038dbb 4   5    .text   ascii   f;S\f
1915 0x000382be 0x10038ebe 4   5    .text   ascii   D$\f3
1916 0x000382fc 0x10038efc 7   8    .text   ascii   ;T$\fw\br
1917 0x00038304 0x10038f04 9   10   .text   ascii   ;D$\bv\b+D$
1918 0x00038312 0x10038f12 8   9    .text   ascii   +D$\b\eT$\f
1919 0x00039db2 0x1003b3b2 4   5    .rdata  ascii   3)6{
1920 0x00039e00 0x1003b400 14  15   .rdata  ascii   bad allocation
1921 0x00039e70 0x1003b470 5   24   .rdata  utf32le m o&ª blocks=Basic Latin,Latin-1 Supplement
1922 0x00039f28 0x1003b528 4   20   .rdata  utf32le !'Ô' blocks=Basic Latin,Latin-1 Supplement
1923 0x0003a338 0x1003b938 28  29   .rdata  ascii   address family not supported
1924 0x0003a358 0x1003b958 14  15   .rdata  ascii   address in use
1925 0x0003a368 0x1003b968 21  22   .rdata  ascii   address not available
1926 0x0003a380 0x1003b980 17  18   .rdata  ascii   already connected
1927 0x0003a394 0x1003b994 22  23   .rdata  ascii   argument list too long
1928 0x0003a3ac 0x1003b9ac 22  23   .rdata  ascii   argument out of domain
1929 0x0003a3c4 0x1003b9c4 11  12   .rdata  ascii   bad address
1930 0x0003a3d0 0x1003b9d0 19  20   .rdata  ascii   bad file descriptor
1931 0x0003a3e4 0x1003b9e4 11  12   .rdata  ascii   bad message
1932 0x0003a3f0 0x1003b9f0 11  12   .rdata  ascii   broken pipe
1933 0x0003a3fc 0x1003b9fc 18  19   .rdata  ascii   connection aborted
1934 0x0003a410 0x1003ba10 30  31   .rdata  ascii   connection already in progress
1935 0x0003a430 0x1003ba30 18  19   .rdata  ascii   connection refused
1936 0x0003a444 0x1003ba44 16  17   .rdata  ascii   connection reset
1937 0x0003a458 0x1003ba58 17  18   .rdata  ascii   cross device link
1938 0x0003a46c 0x1003ba6c 28  29   .rdata  ascii   destination address required
1939 0x0003a48c 0x1003ba8c 23  24   .rdata  ascii   device or resource busy
1940 0x0003a4a4 0x1003baa4 19  20   .rdata  ascii   directory not empty
1941 0x0003a4b8 0x1003bab8 23  24   .rdata  ascii   executable format error
1942 0x0003a4d0 0x1003bad0 11  12   .rdata  ascii   file exists
1943 0x0003a4dc 0x1003badc 14  15   .rdata  ascii   file too large
1944 0x0003a4ec 0x1003baec 17  18   .rdata  ascii   filename too long
1945 0x0003a500 0x1003bb00 22  23   .rdata  ascii   function not supported
1946 0x0003a518 0x1003bb18 16  17   .rdata  ascii   host unreachable
1947 0x0003a52c 0x1003bb2c 18  19   .rdata  ascii   identifier removed
1948 0x0003a540 0x1003bb40 21  22   .rdata  ascii   illegal byte sequence
1949 0x0003a558 0x1003bb58 34  35   .rdata  ascii   inappropriate io control operation
1950 0x0003a57c 0x1003bb7c 11  12   .rdata  ascii   interrupted
1951 0x0003a588 0x1003bb88 16  17   .rdata  ascii   invalid argument
1952 0x0003a59c 0x1003bb9c 12  13   .rdata  ascii   invalid seek
1953 0x0003a5ac 0x1003bbac 8   9    .rdata  ascii   io error
1954 0x0003a5b8 0x1003bbb8 14  15   .rdata  ascii   is a directory
1955 0x0003a5c8 0x1003bbc8 12  13   .rdata  ascii   message size
1956 0x0003a5d8 0x1003bbd8 12  13   .rdata  ascii   network down
1957 0x0003a5e8 0x1003bbe8 13  14   .rdata  ascii   network reset
1958 0x0003a5f8 0x1003bbf8 19  20   .rdata  ascii   network unreachable
1959 0x0003a60c 0x1003bc0c 15  16   .rdata  ascii   no buffer space
1960 0x0003a61c 0x1003bc1c 16  17   .rdata  ascii   no child process
1961 0x0003a630 0x1003bc30 7   8    .rdata  ascii   no link
1962 0x0003a638 0x1003bc38 17  18   .rdata  ascii   no lock available
1963 0x0003a64c 0x1003bc4c 20  21   .rdata  ascii   no message available
1964 0x0003a664 0x1003bc64 10  11   .rdata  ascii   no message
1965 0x0003a670 0x1003bc70 18  19   .rdata  ascii   no protocol option
