Missing bin header dwarf
[Sections]

nth paddr         size vaddr        vsize perm name
―――――――――――――――――――――――――――――――――――――――――――――――――――
55  0x00401ad0 GLOBAL FUNC       sigaddset
56  0x00401ae0 GLOBAL FUNC       strcmp
57  0x00401af0 GLOBAL FUNC       send
58  0x00401b00 GLOBAL FUNC       strcpy
59  0x00401b10 GLOBAL FUNC       srand
60  0x00401b20 GLOBAL FUNC       feof
61  0x00401b30 GLOBAL FUNC       fclose
62  0x00401b40 GLOBAL FUNC       remove
63  0x00401b50 GLOBAL FUNC       strncpy
64  0x00401b60 GLOBAL FUNC       pthread_attr_init
65  0x00401b70 GLOBAL FUNC       fseeko
66  0x00401b80 GLOBAL FUNC       closedir
67  0x00401b90 GLOBAL FUNC       fork
68  0x00401ba0 GLOBAL FUNC       sigemptyset
69  0x00401bb0 GLOBAL FUNC       pthread_sigmask
70  0x00401bc0 GLOBAL FUNC       bind
71  0x00401bd0 GLOBAL FUNC       fwrite
72  0x00401be0 GLOBAL FUNC       pthread_mutex_lock
73  0x00401bf0 GLOBAL FUNC       rand
74  0x00401c00 GLOBAL FUNC       localtime
75  0x00401c10 GLOBAL FUNC       pthread_mutex_destroy
76  0x00401c20 GLOBAL FUNC       write
77  0x00401c30 GLOBAL FUNC       openpty
78  0x00401c40 GLOBAL FUNC       accept
79  0x00401c50 GLOBAL FUNC       clock_gettime
80  0x00401c60 GLOBAL FUNC       pthread_mutex_unlock
81  0x00401c70 GLOBAL FUNC       fcntl
82  0x00401c80 GLOBAL FUNC       rename
83  0x00401c90 GLOBAL FUNC       mkdir
84  0x00401ca0 GLOBAL FUNC       time
85  0x00401cb0 GLOBAL FUNC       inet_addr
86  0x00401cc0 GLOBAL FUNC       pthread_attr_setdetachstate

[Symbols]

nth paddr      vaddr      bind   type   size lib name
―――――――――――――――――――――――――――――――――――――――――――――――――――――
1   0x00001790 0x00401790 GLOBAL FUNC   16       imp.daemon
2   0x000017a0 0x004017a0 GLOBAL FUNC   16       imp.chmod
3   0x000017b0 0x004017b0 GLOBAL FUNC   16       imp.dup2
4   0x000017c0 0x004017c0 GLOBAL FUNC   16       imp.execv
5   0x000017d0 0x004017d0 GLOBAL FUNC   16       imp.memset
6   0x000017e0 0x004017e0 GLOBAL FUNC   16       imp.setsid
7   0x000017f0 0x004017f0 GLOBAL FUNC   16       imp.shutdown
8   0x00001800 0x00401800 GLOBAL FUNC   16       imp.close
9   0x00001810 0x00401810 GLOBAL FUNC   16       imp.ioctl
10  0x00001820 0x00401820 GLOBAL FUNC   16       imp.ttyname
11  0x00001830 0x00401830 GLOBAL FUNC   16       imp.gethostbyname
12  ---------- 0x00000000 WEAK   NOTYPE 16       imp.__gmon_start__
13  ---------- 0x00000000 WEAK   NOTYPE 16       imp._Jv_RegisterClasses
14  0x00001840 0x00401840 GLOBAL FUNC   16       imp.pthread_cond_signal
15  0x00001850 0x00401850 GLOBAL FUNC   16       imp.select
16  0x00001860 0x00401860 GLOBAL FUNC   16       imp.exit
17  0x00001870 0x00401870 GLOBAL FUNC   16       imp.gettimeofday
18  0x00001880 0x00401880 GLOBAL FUNC   16       imp.execl
19  0x00001890 0x00401890 GLOBAL FUNC   16       imp.read
20  0x000018a0 0x004018a0 GLOBAL FUNC   16       imp.malloc
21  0x000018b0 0x004018b0 GLOBAL FUNC   16       imp.fopen
22  0x000018c0 0x004018c0 GLOBAL FUNC   16       imp.__libc_start_main
23  0x000018d0 0x004018d0 GLOBAL FUNC   16       imp.recv
24  0x000018e0 0x004018e0 GLOBAL FUNC   16       imp.pthread_cond_timedwait
25  0x000018f0 0x004018f0 GLOBAL FUNC   16       imp.setsockopt
26  0x00001900 0x00401900 GLOBAL FUNC   16       imp.getpid
27  0x00001910 0x00401910 GLOBAL FUNC   16       imp.pthread_mutex_init
28  0x00001920 0x00401920 GLOBAL FUNC   16       imp.fgets
29  0x00001930 0x00401930 GLOBAL FUNC   16       imp.free
30  0x00001940 0x00401940 GLOBAL FUNC   16       imp.pthread_create
31  0x00001950 0x00401950 GLOBAL FUNC   16       imp.opendir
32  0x00001960 0x00401960 GLOBAL FUNC   16       imp.pthread_cond_init
33  0x00001970 0x00401970 GLOBAL FUNC   16       imp.listen
34  0x00001980 0x00401980 GLOBAL FUNC   16       imp.readdir
35  0x00001990 0x00401990 GLOBAL FUNC   16       imp.sprintf
36  0x000019a0 0x004019a0 GLOBAL FUNC   16       imp.usleep
37  0x000019b0 0x004019b0 GLOBAL FUNC   16       imp.strstr
38  0x000019c0 0x004019c0 GLOBAL FUNC   16       imp.getifaddrs
39  0x000019d0 0x004019d0 GLOBAL FUNC   16       imp.pthread_attr_setstacksize
40  0x000019e0 0x004019e0 GLOBAL FUNC   16       imp.strcat
41  0x000019f0 0x004019f0 GLOBAL FUNC   16       imp.strtol
42  0x00001a00 0x00401a00 GLOBAL FUNC   16       imp.readlink
43  0x00001a10 0x00401a10 GLOBAL FUNC   16       imp.connect
44  0x00001a20 0x00401a20 GLOBAL FUNC   16       imp.gethostname
45  0x00001a30 0x00401a30 GLOBAL FUNC   16       imp.memcpy
46  0x00001a40 0x00401a40 GLOBAL FUNC   16       imp.putenv
47  0x00001a50 0x00401a50 GLOBAL FUNC   16       imp.signal
48  0x00001a60 0x00401a60 GLOBAL FUNC   16       imp.__lxstat64
49  0x00001a70 0x00401a70 GLOBAL FUNC   16       imp.waitpid
50  0x00001a80 0x00401a80 GLOBAL FUNC   16       imp.socket
51  0x00001a90 0x00401a90 GLOBAL FUNC   16       imp.fread
52  0x00001aa0 0x00401aa0 GLOBAL FUNC   16       imp.inet_ntoa
53  0x00001ab0 0x00401ab0 GLOBAL FUNC   16       imp.alarm
54  0x00001ac0 0x00401ac0 GLOBAL FUNC   16       imp.__errno_location
55  0x00001ad0 0x00401ad0 GLOBAL FUNC   16       imp.sigaddset
56  0x00001ae0 0x00401ae0 GLOBAL FUNC   16       imp.strcmp
57  0x00001af0 0x00401af0 GLOBAL FUNC   16       imp.send
58  0x00001b00 0x00401b00 GLOBAL FUNC   16       imp.strcpy
59  0x00001b10 0x00401b10 GLOBAL FUNC   16       imp.srand
60  0x00001b20 0x00401b20 GLOBAL FUNC   16       imp.feof
