[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
57   0x00002beb 0x004037eb 19  20   .text   ascii   R2=LNgnpssspjgML71F
58   0x00002c19 0x00403819 7   8    .text   ascii   P07Lbis
59   0x00002c28 0x00403828 6   7    .text   ascii   tpiNL5
60   0x00002c48 0x00403848 7   8    .text   ascii   \f0=Mgns
61   0x00002c5a 0x0040385a 7   8    .text   ascii   pieM70\r
62   0x00002c79 0x00403879 6   7    .text   ascii   7Ngipt
63   0x00002c89 0x00403889 10  11   .text   ascii   tsigNM70\vW
64   0x00002ca8 0x004038a8 7   8    .text   ascii   2LNenpt
65   0x00002cb9 0x004038b9 9   10   .text   ascii   tpngeMM=0
66   0x00002cd7 0x004038d7 8   9    .text   ascii   25LNeips
67   0x00002ce9 0x004038e9 9   10   .text   ascii   tsigeMMK7
68   0x00002d05 0x00403905 11  12   .text   ascii   \r2757Neipst
69   0x00002d12 0x00403912 18  19   .text   ascii   o\BB\osspigNNML72\r
70   0x00002d34 0x00403934 13  14   .text   ascii   \n07757Oeiipsn
71   0x00002d47 0x00403947 12  13   .text   ascii   &@njggbOML77
72   0x00002d65 0x00403965 11  12   .text   ascii   27725Legipd
73   0x00002d7a 0x0040397a 11  12   .text   ascii   nggNMMLK70\r
74   0x00002d95 0x00403995 10  11   .text   ascii   &K=51Kbgii
75   0x00002daa 0x004039aa 10  11   .text   ascii   @ibbMMK=61
76   0x00002dc6 0x004039c6 10  11   .text   ascii   =7516Ngi8X
77   0x00002dda 0x004039da 8   9    .text   ascii   "eddOA=4
78   0x00002df6 0x004039f6 8   9    .text   ascii   SK611Lbh
79   0x00002e0b 0x00403a0b 12  13   .text   ascii   WWVVVVV/////
80   0x00002e25 0x00403a25 4   6    .text   utf8    "=71
81   0x00002e5b 0x00403a5b 4   5    .text   ascii   1M<$
82   0x00002e86 0x00403a86 4   6    .text   utf8    ,D61
83   0x00002e8f 0x00403a8f 21  22   .text   ascii   CGHHHHHHHHHHHHGGCC#""
84   0x00002ebd 0x00403abd 23  24   .text   ascii   <NNbhhhhhihihgbba??8411
85   0x00002eee 0x00403aee 22  23   .text   ascii   <bbbbhhhhhhhhhbNM?<<31
86   0x00002f1e 0x00403b1e 22  23   .text   ascii   1<Nbbbbbhhhhhbcaa?<433
87   0x00002f4f 0x00403b4f 20  21   .text   ascii   1<MMNabbbbcccaa??<84
88   0x00002f7f 0x00403b7f 21  22   .text   ascii   !"#CFHHHHHH:faa[?9843
89   0x00002fba 0x00403bba 11  12   .text   ascii   ~>a[>?>8833
90   0x00002fea 0x00403bea 12  13   .text   ascii   Tfa[[>>>>93\f
91   0x0000301a 0x00403c1a 10  11   .text   ascii   :a>a>[[[>9
92   0x0000304a 0x00403c4a 10  11   .text   ascii   >ff[fa[>B9
