[Strings]
nth  paddr      vaddr      len  size section  type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
975  0x00018d3d 0x0041a73d 5    6    .data    ascii   q-d{z
976  0x00018d4f 0x0041a74f 4    5    .data    ascii   2![g
977  0x00018d68 0x0041a768 5    6    .data    ascii   ^\agEE
978  0x00018d6e 0x0041a76e 4    5    .data    ascii   v'WB
979  0x00018d7e 0x0041a77e 4    5    .data    ascii   %-{$
980  0x00018da7 0x0041a7a7 9    10   .data    ascii   SD6>jdMhH
981  0x00018dd9 0x0041a7d9 5    6    .data    ascii   G\fg;j
982  0x00018e48 0x0041a848 4    6    .data    utf8    "ٛK. blocks=Basic Latin,Arabic
983  0x00018e70 0x0041a870 4    5    .data    ascii   EX^1
984  0x00018e8c 0x0041a88c 7    9    .data    utf8    4[hץ?TJ blocks=Basic Latin,Hebrew
985  0x00018eea 0x0041a8ea 4    5    .data    ascii   bA*`
986  0x00018f59 0x0041a959 7    8    .data    ascii   Rf\tI:Ng
987  0x00018f85 0x0041a985 4    5    .data    ascii   gWON
988  0x00018f8f 0x0041a98f 6    7    .data    ascii   \ngD!(-
989  0x00018f9e 0x0041a99e 4    5    .data    ascii   4#Y"
990  0x00018fd6 0x0041a9d6 4    5    .data    ascii   Yof$
991  0x00019022 0x0041aa22 4    5    .data    ascii   (FIT
992  0x00019055 0x0041aa55 5    11   .data    utf8    ƣ 뻔\t❚ blocks=Latin Extended-B,Basic Latin,Hangul Syllables,Dingbats
993  0x00019086 0x0041aa86 4    5    .data    ascii   wcXq
994  0x0001909c 0x0041aa9c 4    5    .data    ascii   _b>#
995  0x000190ad 0x0041aaad 7    8    .data    ascii   `N#]oD%
996  0x000190ba 0x0041aaba 6    7    .data    ascii   8\nNd&F
997  0x000190fa 0x0041aafa 4    5    .data    ascii   <.p 
998  0x0001914e 0x0041ab4e 4    5    .data    ascii   ZPR0
999  0x0001915d 0x0041ab5d 5    7    .data    utf8    dh`ÿK blocks=Basic Latin,Latin-1 Supplement
1000 0x0001916e 0x0041ab6e 4    5    .data    ascii   H9<Z
1001 0x0001919a 0x0041ab9a 4    5    .data    ascii   XU;\
1002 0x000191a8 0x0041aba8 4    6    .data    utf8    RƗ\r- blocks=Basic Latin,Latin Extended-B
1003 0x000191c6 0x0041abc6 7    8    .data    ascii   m&2vpPx
1004 0x00019201 0x0041ac01 6    7    .data    ascii   +-|!$w
1005 0x0001923b 0x0041ac3b 4    5    .data    ascii   Xs\f6
1006 0x00019242 0x0041ac42 5    7    .data    utf8    ӲWz\e\a blocks=Cyrillic,Basic Latin
1007 0x0001924a 0x0041ac4a 4    5    .data    ascii   \f+BL
1008 0x0001926a 0x0041ac6a 4    5    .data    ascii   Kys<
1009 0x0001928e 0x0041ac8e 5    6    .data    ascii   qYOC7
1010 0x00019337 0x0041ad37 6    7    .data    ascii   F\rD'e7
1011 0x00019360 0x0041ad60 4    6    .data    utf8    ѷCnH blocks=Cyrillic,Basic Latin
1012 0x00019392 0x0041ad92 5    6    .data    ascii   IZt,|
1013 0x00019408 0x0041ae08 5    6    .data    ascii   b'.r3
1014 0x0001944c 0x0041ae4c 6    7    .data    ascii   s"Sw9x
1015 0x0001948d 0x0041ae8d 5    6    .data    ascii   \t,/3k
1016 0x0001949b 0x0041ae9b 4    5    .data    ascii   8>y\r
1017 0x000194d2 0x0041aed2 4    5    .data    ascii   "ka<
1018 0x000194e1 0x0041aee1 8    9    .data    ascii   '\fves+7I
1019 0x000194f8 0x0041aef8 4    5    .data    ascii   GSrv
1020 0x00019513 0x0041af13 5    8    .data    utf8    ,w·eǶ blocks=Basic Latin,Latin-1 Supplement,Latin Extended-B
1021 0x0001954a 0x0041af4a 5    7    .data    utf8    !Qߊ!e blocks=Basic Latin,NKo
1022 0x00019553 0x0041af53 5    6    .data    ascii   4Oo"@
1023 0x0001958a 0x0041af8a 4    6    .data    utf8    XQ̳? blocks=Basic Latin,Combining Diacritical Marks
1024 0x00019591 0x0041af91 4    6    .data    utf8    7Ɠe- blocks=Basic Latin,Latin Extended-B
1025 0x000195da 0x0041afda 4    5    .data    ascii   I8H{
1026 0x000195f7 0x0041aff7 4    5    .data    ascii   '8\aT
1027 0x0001962b 0x0041b02b 10   11   .data    ascii   \re\tq-im:Y#
1028 0x00019660 0x0041b060 4    6    .data    utf8    ʗom` blocks=IPA Extensions,Basic Latin
1029 0x0001968d 0x0041b08d 4    5    .data    ascii    ]R:
1030 0x000196fe 0x0041b0fe 4    5    .data    ascii   ,dfr
1031 0x00019773 0x0041b173 5    6    .data    ascii   \vq&OO
1032 0x0001979a 0x0041b19a 8    9    .data    ascii   b\n\e\f`5[B
1033 0x000197d1 0x0041b1d1 5    7    .data    utf8    żLcm\e blocks=Latin Extended-A,Basic Latin
1034 0x000197ff 0x0041b1ff 4    5    .data    ascii   \a8KO
1035 0x0001984c 0x0041b24c 6    7    .data    ascii   vX?G(y
1036 0x000198d2 0x0041b2d2 5    7    .data    utf8    ۾~lJM blocks=Arabic,Basic Latin
1037 0x00019903 0x0041b303 4    5    .data    ascii   +\fx\
1038 0x0001996b 0x0041b36b 4    5    .data    ascii   x\tsX
1039 0x0001997a 0x0041b37a 4    5    .data    ascii   qS(7
1040 0x00019988 0x0041b388 4    5    .data    ascii   y\e^E
1041 0x000199cb 0x0041b3cb 5    6    .data    ascii   O%(1\t
1042 0x000199de 0x0041b3de 5    7    .data    utf8    \r/ƕr( blocks=Basic Latin,Latin Extended-B
1043 0x00019a29 0x0041b429 4    5    .data    ascii   c(&|
1044 0x00019a84 0x0041b484 4    5    .data    ascii   UsR\v
1045 0x00019ab4 0x0041b4b4 5    6    .data    ascii   u1l&1
1046 0x00019af2 0x0041b4f2 4    5    .data    ascii   [7\vZ
1047 0x00019b28 0x0041b528 4    5    .data    ascii   P&kO
1048 0x00019b2d 0x0041b52d 4    5    .data    ascii   \rj\by
1049 0x00019b3c 0x0041b53c 4    5    .data    ascii   \raeL
1050 0x00019b5c 0x0041b55c 6    7    .data    ascii   MFp[p?
1051 0x00019b94 0x0041b594 4    5    .data    ascii   |Um@
1052 0x00019c0d 0x0041b60d 4    6    .data    utf8    Iړ/e blocks=Basic Latin,Arabic
1053 0x00019c18 0x0041b618 4    5    .data    ascii   X\f"<
1054 0x00019c23 0x0041b623 8    10   .data    utf8    ۲\f*+q\eK} blocks=Arabic,Basic Latin
1055 0x00019c41 0x0041b641 5    8    .data    utf8    ЭyBVM blocks=Cyrillic,Basic Latin
1056 0x00019cab 0x0041b6ab 5    7    .data    utf8    ñ!3HC blocks=Latin-1 Supplement,Basic Latin
1057 0x00019ce0 0x0041b6e0 5    6    .data    ascii   byZDX
1058 0x00019d18 0x0041b718 5    7    .data    utf8    hKЁ\fY blocks=Basic Latin,Cyrillic
1059 0x00019d30 0x0041b730 4    5    .data    ascii   -U<A
1060 0x00019d97 0x0041b797 5    7    .data    utf8    WB\t\rΌ blocks=Basic Latin,Greek and Coptic
1061 0x00019dbf 0x0041b7bf 4    7    .data    utf8    ȧM`֒ blocks=Latin Extended-B,Basic Latin,Hebrew
1062 0x00019e36 0x0041b836 4    5    .data    ascii   E+si
1063 0x00019e63 0x0041b863 4    5    .data    ascii   N .2
1064 0x00019e6a 0x0041b86a 4    5    .data    ascii   IAIr
1065 0x00019f77 0x0041b977 5    6    .data    ascii   \ro\r\n!
1066 0x00019feb 0x0041b9eb 7    8    .data    ascii   $(_!CFr
1067 0x0001a019 0x0041ba19 4    6    .data    utf8    ץ[X1 blocks=Hebrew,Basic Latin
1068 0x0001a068 0x0041ba68 4    5    .data    ascii   je^3
1069 0x0001a071 0x0041ba71 7    10   .data    utf8    mk1ؔv9ׂ blocks=Basic Latin,Arabic,Hebrew
1070 0x0001a09a 0x0041ba9a 4    7    .data    utf8    ,ק֒' blocks=Basic Latin,Hebrew
1071 0x0001a0ae 0x0041baae 6    7    .data    ascii   '^9b)'
1072 0x0001a0e9 0x0041bae9 4    7    .data    utf8    Ư1iٳ blocks=Latin Extended-B,Basic Latin,Arabic
1073 0x0001a129 0x0041bb29 4    5    .data    ascii   dPT|
1074 0x0001a13b 0x0041bb3b 5    6    .data    ascii   twtQ(
1075 0x0001a153 0x0041bb53 4    7    .data    utf8    ŴÕ.t blocks=Latin Extended-A,Latin-1 Supplement,Basic Latin
1076 0x0001a167 0x0041bb67 7    8    .data    ascii   q)pD|\at
1077 0x0001a179 0x0041bb79 5    6    .data    ascii   5\t^5D
1078 0x0001a1b8 0x0041bbb8 10   12   .data    utf8    ?y<̹in!2Wv blocks=Basic Latin,Combining Diacritical Marks
1079 0x0001a207 0x0041bc07 4    6    .data    utf8    83\aИ blocks=Basic Latin,Cyrillic
1080 0x0001a229 0x0041bc29 4    5    .data    ascii   !{)1
1081 0x0001a257 0x0041bc57 5    6    .data    ascii   }?An"
1082 0x0001a280 0x0041bc80 4    8    .data    utf8    Mۃ㞮: blocks=Basic Latin,Arabic,CJK Unified Ideographs Extension A
1083 0x0001a289 0x0041bc89 5    6    .data    ascii   :1RKH
1084 0x0001a2e0 0x0041bce0 7    8    .data    ascii   {teBBh@
1085 0x0001a2f0 0x0041bcf0 5    6    .data    ascii   N4>-\t
1086 0x0001a41e 0x0041be1e 4    5    .data    ascii   `O\T
1087 0x0001a438 0x0041be38 5    6    .data    ascii   w]2$&
1088 0x0001a45f 0x0041be5f 4    5    .data    ascii   E8]+
1089 0x0001a473 0x0041be73 5    6    .data    ascii   8:qOP
1090 0x0001a48c 0x0041be8c 6    7    .data    ascii   #}76[&
1091 0x0001a4fa 0x0041befa 4    5    .data    ascii   AsG%
1092 0x0001a4ff 0x0041beff 6    7    .data    ascii   c]zahj
1093 0x0001a555 0x0041bf55 4    5    .data    ascii   -NiD
1094 0x0001a564 0x0041bf64 4    5    .data    ascii   `Y8t
1095 0x0001a5d6 0x0041bfd6 4    5    .data    ascii   $bB`
1096 0x0001a602 0x0041c002 4    6    .data    utf8    ޏm|F blocks=Thaana,Basic Latin
1097 0x0001a623 0x0041c023 6    8    .data    utf8    ٛb3,Ko blocks=Arabic,Basic Latin
1098 0x0001a62c 0x0041c02c 5    6    .data    ascii   V./a&
1099 0x0001a637 0x0041c037 7    8    .data    ascii   ^eGi=OM
1100 0x0001a681 0x0041c081 4    5    .data    ascii   \8M{
1101 0x0001a693 0x0041c093 4    5    .data    ascii   `9`L
1102 0x0001a6b2 0x0041c0b2 4    5    .data    ascii   gx0\v
1103 0x0001a709 0x0041c109 4    5    .data    ascii   }|=Z
1104 0x0001a793 0x0041c193 4    6    .data    utf8    Q ߗD blocks=Basic Latin,NKo
1105 0x0001a79a 0x0041c19a 4    5    .data    ascii   h=TJ
1106 0x0001a7a8 0x0041c1a8 4    6    .data    utf8    ʠ0CM blocks=IPA Extensions,Basic Latin
1107 0x0001a7ba 0x0041c1ba 4    5    .data    ascii   sU[_
1108 0x0001a881 0x0041c281 4    5    .data    ascii   \f-<A
1109 0x0001a88e 0x0041c28e 4    6    .data    utf8    څ9<; blocks=Arabic,Basic Latin
1110 0x0001a8c0 0x0041c2c0 5    6    .data    ascii   !Eu1\e
1111 0x0001a8d4 0x0041c2d4 4    5    .data    ascii   6_!V
1112 0x0001a8de 0x0041c2de 6    7    .data    ascii   FWncfz
1113 0x0001a924 0x0041c324 8    10   .data    utf8    T8GKg0(Ɏ blocks=Basic Latin,Latin Extended-B
1114 0x0001a936 0x0041c336 4    5    .data    ascii   5CLz
1115 0x0001a93e 0x0041c33e 5    7    .data    utf8    y?Ɨ7| blocks=Basic Latin,Latin Extended-B
1116 0x0001a9a5 0x0041c3a5 4    5    .data    ascii   \a#A.
1117 0x0001a9aa 0x0041c3aa 5    7    .data    utf8    Y\aG|[
1118 0x0001a9e1 0x0041c3e1 4    7    .data    utf8    G䟸yn blocks=Basic Latin,CJK Unified Ideographs Extension A
1119 0x0001a9ef 0x0041c3ef 6    7    .data    ascii   Y\fRJwU
1120 0x0001aa23 0x0041c423 8    12   .data    utf8    +LʧJ˝pxȽ blocks=Basic Latin,IPA Extensions,Spacing Modifier Letters,Latin Extended-B
1121 0x0001aa4f 0x0041c44f 5    6    .data    ascii   ?U.<C
1122 0x0001aa66 0x0041c466 4    7    .data    utf8    'ٱ1ɠ blocks=Basic Latin,Arabic,IPA Extensions
1123 0x0001aaa0 0x0041c4a0 5    6    .data    ascii   l_VZu
1124 0x0001aabb 0x0041c4bb 4    5    .data    ascii   9JHv
1125 0x0001aacd 0x0041c4cd 5    6    .data    ascii   [un^k
1126 0x0001aaf8 0x0041c4f8 9    10   .data    ascii    5/~\aib7*
1127 0x0001ab43 0x0041c543 6    7    .data    ascii   P\v\eO8%
1128 0x0001abf7 0x0041c5f7 4    5    .data    ascii   E:&+
1129 0x0001ac16 0x0041c616 5    7    .data    utf8    Mjdǩ^ blocks=Basic Latin,Latin Extended-B
1130 0x0001acac 0x0041c6ac 6    7    .data    ascii   p<\a0M$
1131 0x0001acf2 0x0041c6f2 6    7    .data    ascii   gRy&}j
1132 0x0001ad12 0x0041c712 4    5    .data    ascii   /?\a'
1133 0x0001ad2d 0x0041c72d 4    5    .data    ascii   -,"x
1134 0x0001ad65 0x0041c765 4    5    .data    ascii   L7mm
1135 0x0001ada5 0x0041c7a5 4    7    .data    utf8    K쮈^( blocks=Basic Latin,Hangul Syllables
1136 0x0001adba 0x0041c7ba 6    9    .data    utf8    !|Fߙɸ< blocks=Basic Latin,NKo,IPA Extensions
1137 0x0001adf6 0x0041c7f6 5    6    .data    ascii   xmU$*
1138 0x0001ae11 0x0041c811 4    5    .data    ascii   8k*@
1139 0x0001ae58 0x0041c858 7    8    .data    ascii   \asShh{F
1140 0x0001aed1 0x0041c8d1 4    5    .data    ascii   AhG'
1141 0x0001aedd 0x0041c8dd 4    5    .data    ascii   ~\tF\a
1142 0x0001af1b 0x0041c91b 8    9    .data    ascii   #Nxaf-]6
1143 0x0001af34 0x0041c934 4    5    .data    ascii   vd>M
1144 0x0001af8d 0x0041c98d 4    5    .data    ascii   /W~v
1145 0x0001b001 0x0041ca01 4    5    .data    ascii   (Y^l
1146 0x0001b023 0x0041ca23 4    5    .data    ascii   *yd2
1147 0x0001b02c 0x0041ca2c 4    5    .data    ascii   VZk[
1148 0x0001b057 0x0041ca57 5    6    .data    ascii   \tr"{L
1149 0x0001b0da 0x0041cada 4    5    .data    ascii   ~,:g
1150 0x0001b191 0x0041cb91 7    10   .data    utf8    PySg̊v` blocks=Basic Latin,Combining Diacritical Marks
1151 0x0001b1f8 0x0041cbf8 5    6    .data    ascii   23m\e9
1152 0x0001b22f 0x0041cc2f 5    6    .data    ascii   U!\tV\t
1153 0x0001b2b7 0x0041ccb7 10   12   .data    utf8    ]BmX*6)x2¥ blocks=Basic Latin,Latin-1 Supplement
1154 0x0001b2c4 0x0041ccc4 6    7    .data    ascii   9^\tb-3
1155 0x0001b2eb 0x0041cceb 4    5    .data    ascii   L(LS
1156 0x0001b311 0x0041cd11 4    5    .data    ascii   59\a0
1157 0x0001b318 0x0041cd18 9    11   .data    utf8    {/nȋ3k8?0 blocks=Basic Latin,Latin Extended-B
1158 0x0001b371 0x0041cd71 5    6    .data    ascii   p\a8\f\t
1159 0x0001b407 0x0041ce07 5    6    .data    ascii   )lA<+
1160 0x0001b43d 0x0041ce3d 6    7    .data    ascii   GI(}HS
1161 0x0001b468 0x0041ce68 4    5    .data    ascii   \nFEe
1162 0x0001b477 0x0041ce77 4    6    .data    utf8    h<ՇD blocks=Basic Latin,Armenian
1163 0x0001b485 0x0041ce85 5    7    .data    utf8    ޣG\n*\f blocks=Thaana,Basic Latin
1164 0x0001b4a8 0x0041cea8 4    5    .data    ascii   stv\v
1165 0x0001b4b7 0x0041ceb7 4    5    .data    ascii   F,U;
1166 0x0001b4d8 0x0041ced8 6    7    .data    ascii   iEFnAI
1167 0x0001b549 0x0041cf49 4    5    .data    ascii   G64S
1168 0x0001b5a2 0x0041cfa2 5    7    .data    utf8    "2oքW blocks=Basic Latin,Armenian
1169 0x0001b5b7 0x0041cfb7 4    6    .data    utf8    Pޟ#i blocks=Basic Latin,Thaana
1170 0x0001b5f7 0x0041cff7 7    8    .data    ascii   $\Q|&LI
1171 0x0001b643 0x0041d043 4    5    .data    ascii   rdBv
1172 0x0001b687 0x0041d087 4    5    .data    ascii   gvh\t
1173 0x0001b6ca 0x0041d0ca 4    7    .data    utf8     ȧƋb blocks=Basic Latin,Latin Extended-B
1174 0x0001b730 0x0041d130 4    5    .data    ascii   Y*)^
1175 0x0001b7b2 0x0041d1b2 8    9    .data    ascii   ^CaM\vHQO
1176 0x0001b7d6 0x0041d1d6 4    5    .data    ascii   pN3L
1177 0x0001b815 0x0041d215 5    6    .data    ascii   3n5cz
1178 0x0001b851 0x0041d251 4    5    .data    ascii   I<'}
1179 0x0001b85c 0x0041d25c 5    8    .data    utf8    V3q㈮b blocks=Basic Latin,Enclosed CJK Letters and Months
1180 0x0001b86c 0x0041d26c 7    8    .data    ascii   IxvB}5#
1181 0x0001b874 0x0041d274 4    5    .data    ascii   dD5[
1182 0x0001b88b 0x0041d28b 12   17   .data    utf8    0̭A?hⷉk6cXۡ\r blocks=Basic Latin,Combining Diacritical Marks,Ethiopic Extended,Arabic
1183 0x0001b8a9 0x0041d2a9 4    5    .data    ascii   `AtI
1184 0x0001b8b7 0x0041d2b7 5    7    .data    utf8    *8_]ˏ blocks=Basic Latin,Spacing Modifier Letters
1185 0x0001b8f1 0x0041d2f1 4    5    .data    ascii   8QD 
1186 0x0001b903 0x0041d303 4    5    .data    ascii   nLo\v
1187 0x0001b91f 0x0041d31f 5    7    .data    utf8    ݈)=\t. blocks=Syriac,Basic Latin
1188 0x0001b94d 0x0041d34d 5    7    .data    utf8    nZh8_
1189 0x0001b97c 0x0041d37c 4    5    .data    ascii   I@;Z
1190 0x0001b98d 0x0041d38d 5    6    .data    ascii   {IL9d
1191 0x0001b9a8 0x0041d3a8 4    5    .data    ascii   bg~*
1192 0x0001b9cb 0x0041d3cb 4    5    .data    ascii   dYZV
1193 0x0001ba4d 0x0041d44d 4    5    .data    ascii   ::C@
1194 0x0001ba79 0x0041d479 5    6    .data    ascii   y\r9Q!
1195 0x0001baca 0x0041d4ca 4    5    .data    ascii   &CIt
1196 0x0001bae1 0x0041d4e1 6    8    .data    utf8    #@HWNޑ blocks=Basic Latin,Thaana
1197 0x0001bb33 0x0041d533 7    8    .data    ascii   +m:g<LN
1198 0x0001bb4d 0x0041d54d 5    7    .data    utf8    3Ił5- blocks=Basic Latin,Latin Extended-A
1199 0x0001bb95 0x0041d595 5    6    .data    ascii   'z^+k
1200 0x0001bbd4 0x0041d5d4 5    7    .data    utf8    ^1#CƳ blocks=Basic Latin,Latin Extended-B
1201 0x0001bc3f 0x0041d63f 4    5    .data    ascii   Nkx1
1202 0x0001bc6a 0x0041d66a 4    6    .data    utf8    xǵ3x blocks=Basic Latin,Latin Extended-B
1203 0x0001bc73 0x0041d673 6    7    .data    ascii    ?\N>8
1204 0x0001bcf2 0x0041d6f2 5    6    .data    ascii   H\hc/
1205 0x0001bd36 0x0041d736 5    6    .data    ascii   ;FHRH
1206 0x0001bd42 0x0041d742 4    5    .data    ascii   xz9&
1207 0x0001bd4c 0x0041d74c 6    7    .data    ascii   yACRKR
1208 0x0001bdd5 0x0041d7d5 7    8    .data    ascii   P hANrY
1209 0x0001bde5 0x0041d7e5 4    6    .data    utf8    àe\b( blocks=Latin-1 Supplement,Basic Latin
1210 0x0001be2e 0x0041d82e 4    5    .data    ascii   X,,R
1211 0x0001be8d 0x0041d88d 4    5    .data    ascii   0AmH
1212 0x0001bebe 0x0041d8be 4    5    .data    ascii   I3BZ
1213 0x0001beed 0x0041d8ed 4    5    .data    ascii   `H*O
1214 0x0001bf10 0x0041d910 5    6    .data    ascii   3<3Fh
1215 0x0001bf40 0x0041d940 5    6    .data    ascii   &(%p 
1216 0x0001bf54 0x0041d954 4    5    .data    ascii   \fDW}
1217 0x0001bf99 0x0041d999 5    6    .data    ascii   {$]d(
1218 0x0001bfa2 0x0041d9a2 5    6    .data    ascii   \e=X,.
1219 0x0001bfce 0x0041d9ce 4    5    .data    ascii   j{R$
1220 0x0001c009 0x0041da09 4    5    .data    ascii   'mUY
1221 0x0001c043 0x0041da43 4    6    .data    utf8    ΩbP] blocks=Greek and Coptic,Basic Latin
1222 0x0001c051 0x0041da51 4    6    .data    utf8    (͌`T blocks=Basic Latin,Combining Diacritical Marks
1223 0x0001c081 0x0041da81 5    6    .data    ascii   Vt7\e*
1224 0x0001c094 0x0041da94 5    8    .data    utf8    롁kD\f\e blocks=Hangul Syllables,Basic Latin
1225 0x0001c09c 0x0041da9c 6    7    .data    ascii   Zd`!H\n
1226 0x0001c0aa 0x0041daaa 6    7    .data    ascii   \f`F567
1227 0x0001c10a 0x0041db0a 4    6    .data    utf8    pt<̋ blocks=Basic Latin,Combining Diacritical Marks
1228 0x0001c11d 0x0041db1d 4    5    .data    ascii   ?;ut
1229 0x0001c173 0x0041db73 5    7    .data    utf8    FǰG_  blocks=Basic Latin,Latin Extended-B
1230 0x0001c17f 0x0041db7f 4    5    .data    ascii   k5U)
1231 0x0001c20e 0x0041dc0e 4    5    .data    ascii   \n>!2
1232 0x0001c227 0x0041dc27 4    5    .data    ascii   e/$S
1233 0x0001c22e 0x0041dc2e 5    8    .data    utf8    x6߮q8 blocks=Basic Latin,NKo
1234 0x0001c24d 0x0041dc4d 6    7    .data    ascii   \gzSK6
1235 0x0001c28e 0x0041dc8e 4    5    .data    ascii   3{Z0
1236 0x0001c2a6 0x0041dca6 4    5    .data    ascii   Zz\vc
1237 0x0001c2b0 0x0041dcb0 6    7    .data    ascii   IE\\vhL
1238 0x0001c2db 0x0041dcdb 4    6    .data    utf8    l+tص blocks=Basic Latin,Arabic
1239 0x0001c335 0x0041dd35 4    5    .data    ascii   7:jm
1240 0x0001c381 0x0041dd81 5    6    .data    ascii   TpD9=
1241 0x0001c3de 0x0041ddde 4    5    .data    ascii   k`Aa
1242 0x0001c40e 0x0041de0e 5    7    .data    utf8    H2T)ȥ blocks=Basic Latin,Latin Extended-B
1243 0x0001c436 0x0041de36 4    6    .data    utf8    1&ȶ` blocks=Basic Latin,Latin Extended-B
1244 0x0001c448 0x0041de48 4    5    .data    ascii   \ak\V
1245 0x0001c455 0x0041de55 4    5    .data    ascii   3\bgX
1246 0x0001c4ce 0x0041dece 5    6    .data    ascii   CN,+h
1247 0x0001c4dc 0x0041dedc 4    5    .data    ascii   c&Cq
1248 0x0001c4e1 0x0041dee1 7    8    .data    ascii   `caID1!
1249 0x0001c526 0x0041df26 4    5    .data    ascii   ]GQ8
1250 0x0001c55c 0x0041df5c 4    6    .data    utf8    IƠ\fm blocks=Basic Latin,Latin Extended-B
1251 0x0001c5ad 0x0041dfad 4    5    .data    ascii   PiAt
1252 0x0001c5c0 0x0041dfc0 4    5    .data    ascii   \efJ*
1253 0x0001c622 0x0041e022 4    5    .data    ascii   q=#u
1254 0x0001c62b 0x0041e02b 4    5    .data    ascii   nNFd
1255 0x0001c66d 0x0041e06d 4    6    .data    utf8    .*ڌI blocks=Basic Latin,Arabic
1256 0x0001c688 0x0041e088 5    6    .data    ascii   60*7W
1257 0x0001c6b5 0x0041e0b5 4    5    .data    ascii   ,"Bk
1258 0x0001c6d7 0x0041e0d7 4    5    .data    ascii   l\vC<
1259 0x0001c71e 0x0041e11e 5    6    .data    ascii   IPt)[
1260 0x0001c738 0x0041e138 5    6    .data    ascii   PP@#N
1261 0x0001c754 0x0041e154 6    7    .data    ascii   hD:WnB
1262 0x0001c781 0x0041e181 5    7    .data    utf8    T)bWא blocks=Basic Latin,Hebrew
1263 0x0001c792 0x0041e192 6    7    .data    ascii   y^JK*W
1264 0x0001c7e1 0x0041e1e1 4    5    .data    ascii   :%10
1265 0x0001c8ec 0x0041e2ec 5    6    .data    ascii   u4A]O
1266 0x0001c901 0x0041e301 4    5    .data    ascii   q-$p
1267 0x0001c906 0x0041e306 4    5    .data    ascii   A;r~
1268 0x0001c90e 0x0041e30e 7    9    .data    utf8    Չ8i;Z5E blocks=Armenian,Basic Latin
1269 0x0001c96f 0x0041e36f 4    6    .data    utf8    YE!і blocks=Basic Latin,Cyrillic
1270 0x0001c9c1 0x0041e3c1 5    7    .data    utf8    !=͌Vt blocks=Basic Latin,Combining Diacritical Marks
1271 0x0001c9c8 0x0041e3c8 5    7    .data    utf8    ǵp\aF" blocks=Latin Extended-B,Basic Latin
1272 0x0001c9dc 0x0041e3dc 4    6    .data    utf8    \tՀbE blocks=Basic Latin,Armenian
1273 0x0001c9e9 0x0041e3e9 4    5    .data    ascii   X1F'
1274 0x0001ca27 0x0041e427 4    6    .data    utf8    ilQɴ blocks=Basic Latin,IPA Extensions
1275 0x0001ca46 0x0041e446 5    6    .data    ascii   W\vs),
1276 0x0001ca6d 0x0041e46d 7    9    .data    utf8    CƯkCa8O blocks=Basic Latin,Latin Extended-B
1277 0x0001ca8d 0x0041e48d 4    5    .data    ascii   HzL;
1278 0x0001cade 0x0041e4de 6    7    .data    ascii   :z4/KD
1279 0x0001cb31 0x0041e531 4    7    .data    utf8    ≓]Q  blocks=Mathematical Operators,Basic Latin
1280 0x0001cb3b 0x0041e53b 4    6    .data    utf8    lSҪ_ blocks=Basic Latin,Cyrillic
1281 0x0001cb5b 0x0041e55b 4    5    .data    ascii   Km\nl
1282 0x0001cb84 0x0041e584 4    5    .data    ascii   $b\rD
1283 0x0001cb89 0x0041e589 6    8    .data    utf8    i[D,ƚ9 blocks=Basic Latin,Latin Extended-B
1284 0x0001cb9e 0x0041e59e 4    5    .data    ascii   B\e*\f
1285 0x0001cc19 0x0041e619 4    6    .data    utf8    Pƺ*b blocks=Basic Latin,Latin Extended-B
1286 0x0001cc27 0x0041e627 4    5    .data    ascii   C\fmr
1287 0x0001cc71 0x0041e671 5    7    .data    utf8    =ڌ\vt] blocks=Basic Latin,Arabic
1288 0x0001cca7 0x0041e6a7 4    5    .data    ascii   o[7K
1289 0x0001ccbc 0x0041e6bc 4    5    .data    ascii   IT 9
1290 0x0001cce0 0x0041e6e0 4    5    .data    ascii   I\tsR
1291 0x0001cce9 0x0041e6e9 4    5    .data    ascii   Ja\bJ
1292 0x0001cd29 0x0041e729 5    6    .data    ascii   5^{\v@
1293 0x0001cd30 0x0041e730 5    7    .data    utf8    ح%NkH blocks=Arabic,Basic Latin
1294 0x0001cd60 0x0041e760 4    6    .data    utf8    J`\rN
1295 0x0001cdfd 0x0041e7fd 4    7    .data    utf8    bC䳉^ blocks=Basic Latin,CJK Unified Ideographs Extension A
1296 0x0001ce12 0x0041e812 4    5    .data    ascii   ' ^n
1297 0x0001ce1d 0x0041e81d 4    6    .data    utf8    Tz֝O blocks=Basic Latin,Hebrew
1298 0x0001cef3 0x0041e8f3 4    5    .data    ascii   ZULW
1299 0x0001cf9e 0x0041e99e 4    5    .data    ascii   '1bO
1300 0x0001cfe8 0x0041e9e8 4    5    .data    ascii   b;FL
1301 0x0001cfef 0x0041e9ef 4    6    .data    utf8    =RǤ\r blocks=Basic Latin,Latin Extended-B
1302 0x0001d00b 0x0041ea0b 4    5    .data    ascii   (|t*
1303 0x0001d02c 0x0041ea2c 4    5    .data    ascii   Yg\nc
1304 0x0001d044 0x0041ea44 4    5    .data    ascii   uu\eM
1305 0x0001d096 0x0041ea96 4    5    .data    ascii   ?*>m
1306 0x0001d09c 0x0041ea9c 4    5    .data    ascii   gQ_6
1307 0x0001d169 0x0041eb69 6    7    .data    ascii   mcVYH(
1308 0x0001d1b4 0x0041ebb4 4    6    .data    utf8    ]̉\eJ blocks=Basic Latin,Combining Diacritical Marks
