[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
48    0x00000821 0x00728621 4   5    UPX1    ascii   ; /`
49    0x000008e2 0x007286e2 7   9    UPX1    utf8    9p\bt<1Ʉ blocks=Basic Latin,Latin Extended-B
50    0x000008f4 0x007286f4 4   5    UPX1    ascii   hJ#2
51    0x00000988 0x00728788 5   7    UPX1    utf8    CG7Zߍ blocks=Basic Latin,NKo
52    0x00000a19 0x00728819 4   5    UPX1    ascii   huk!
53    0x00000a48 0x00728848 4   7    UPX1    utf8    ےހ=\ blocks=Arabic,Thaana,Basic Latin
54    0x00000a4f 0x0072884f 4   5    UPX1    ascii   Jt\fr
55    0x00000aa6 0x007288a6 4   6    UPX1    utf8    \b(]B
56    0x00000ad8 0x007288d8 4   5    UPX1    ascii   `u*\b
57    0x00000b11 0x00728911 5   7    UPX1    utf8    \vv\v^ۂ blocks=Basic Latin,Arabic
58    0x00000b23 0x00728923 4   5    UPX1    ascii   \bL\am
59    0x00000b60 0x00728960 5   6    UPX1    ascii   b+?|\a
60    0x00000b90 0x00728990 4   5    UPX1    ascii   DA/!
61    0x00000bca 0x007289ca 4   5    UPX1    ascii   f \bo
62    0x00000c19 0x00728a19 4   6    UPX1    utf8    `\ap<
63    0x00000c9b 0x00728a9b 5   6    UPX1    ascii   &^oFx
64    0x00000cc1 0x00728ac1 4   6    UPX1    utf8    ؿWD9 blocks=Arabic,Basic Latin
65    0x00000cc9 0x00728ac9 4   5    UPX1    ascii   \bt:L
66    0x00000cdc 0x00728adc 4   5    UPX1    ascii   Dpp-
67    0x00000d1e 0x00728b1e 5   6    UPX1    ascii   zGh%U
68    0x00000d24 0x00728b24 4   5    UPX1    ascii   VYyv
69    0x00000d29 0x00728b29 9   10   UPX1    ascii   -_\tf ov0y
70    0x00000d7d 0x00728b7d 4   6    UPX1    utf8    @TvN
71    0x00000d88 0x00728b88 4   5    UPX1    ascii   R\b\bl
72    0x00000ddd 0x00728bdd 4   5    UPX1    ascii    _(U
73    0x00000df5 0x00728bf5 5   6    UPX1    ascii   w#f@x
74    0x00000e16 0x00728c16 4   6    UPX1    utf8    w>Î\f blocks=Basic Latin,Latin-1 Supplement
75    0x00000e28 0x00728c28 6   8    UPX1    utf8    -*wD9އ blocks=Basic Latin,Thaana
76    0x00000e40 0x00728c40 7   8    UPX1    ascii   K\aw=E()
77    0x00000e88 0x00728c88 4   5    UPX1    ascii   w1pM
78    0x00000eaa 0x00728caa 4   5    UPX1    ascii   o\nV{
79    0x00000eb5 0x00728cb5 5   6    UPX1    ascii   z}D\8
80    0x00000ed9 0x00728cd9 5   6    UPX1    ascii   Wp!\eL
81    0x00000f48 0x00728d48 4   5    UPX1    ascii   H.L)
82    0x00000f55 0x00728d55 5   6    UPX1    ascii   " a4b
83    0x00000f76 0x00728d76 4   5    UPX1    ascii   u%Mr
84    0x00000ff1 0x00728df1 4   5    UPX1    ascii   "-\nw
