[Strings]
nth  paddr      vaddr      len size section  type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45            ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000d0 0x000000d0 4   5             ascii   Rich
2    0x000001e0 0x000001e0 5   6             ascii   .text
3    0x00000207 0x00000207 7   8             ascii   `.rdata
4    0x0000022f 0x0000022f 6   7             ascii   @.data
5    0x00000258 0x00000258 6   7             ascii   .reloc
6    0x0000027f 0x0000027f 7   8             ascii   B.reloc
7    0x000004c1 0x004010c1 4   6    .text    utf8    S3ۉ] blocks=Basic Latin,Arabic
8    0x000005c5 0x004011c5 4   5    .text    ascii   8\t-
9    0x00000608 0x00401208 7   8    .text    ascii   tkSSSSS
10   0x0000065f 0x0040125f 7   8    .text    ascii   t"j\n^Sh
11   0x000006e3 0x004012e3 4   5    .text    ascii   VVVh
12   0x000006fb 0x004012fb 5   6    .text    ascii   VVVh`
13   0x00000717 0x00401317 5   6    .text    ascii   E\b\vE\f
14   0x0000074a 0x0040134a 4   5    .text    ascii   3}\fV
15   0x00000756 0x00401356 4   5    .text    ascii   PVVj
16   0x00000789 0x00401389 5   6    .text    ascii   PVVj\f
17   0x000007b1 0x004013b1 4   5    .text    ascii   PVVh
18   0x000007f9 0x004013f9 5   6    .text    ascii   ]\fVWS
19   0x0000081e 0x0040141e 4   6    .text    utf8    t\f3Ƀ blocks=Basic Latin,Latin Extended-B
20   0x0000083d 0x0040143d 4   5    .text    ascii   u'9}
21   0x00000842 0x00401442 4   5    .text    ascii   t\e9}
22   0x000008b0 0x004014b0 4   5    .text    ascii   u49E
23   0x0000092e 0x0040152e 6   7    .text    ascii   QPPPPh
24   0x00000950 0x00401550 4   5    .text    ascii   QPPj
25   0x00000956 0x00401556 5   6    .text    ascii   E\bPhL
26   0x00000976 0x00401576 4   5    .text    ascii   QPPj
27   0x0000097c 0x0040157c 5   6    .text    ascii   E\bPhP
28   0x0000099c 0x0040159c 4   5    .text    ascii   QPPj
29   0x000009a2 0x004015a2 5   6    .text    ascii   E\bPhD
30   0x000009c2 0x004015c2 4   5    .text    ascii   QPPj
31   0x000009c8 0x004015c8 5   6    .text    ascii   E\bPhH
32   0x000009e8 0x004015e8 4   5    .text    ascii   QPPj
33   0x000009ee 0x004015ee 5   6    .text    ascii   E\bPh(
34   0x00000a11 0x00401611 4   5    .text    ascii   \b@@f
35   0x00000a2f 0x0040162f 4   5    .text    ascii   u\bh,
36   0x00000a8c 0x0040168c 7   8    .text    ascii   QPPPPh0
37   0x00000abb 0x004016bb 4   5    .text    ascii   \b@@f
38   0x00000ac6 0x004016c6 4   5    .text    ascii   M\bQj
39   0x00000ad5 0x004016d5 4   5    .text    ascii   PWh4
40   0x00000af6 0x004016f6 6   7    .text    ascii   9E\bt%h
41   0x00000b0a 0x0040170a 4   5    .text    ascii   u\bPP
42   0x00000b40 0x00401740 4   5    .text    ascii   \b@@f
43   0x00000b4b 0x0040174b 4   5    .text    ascii   M\bQj
44   0x00000b5a 0x0040175a 4   5    .text    ascii   PWh<
45   0x00000b7b 0x0040177b 6   7    .text    ascii   9E\bt%h
46   0x00000b8f 0x0040178f 4   5    .text    ascii   u\bPP
47   0x00000bf1 0x004017f1 5   6    .text    ascii   t#VVj
48   0x00000c07 0x00401807 4   5    .text    ascii   t\rVj
49   0x00000d01 0x00401901 4   5    .text    ascii   PWWW
50   0x00000d6d 0x0040196d 19  20   .text    ascii   SRUVWAQARASATAUAVAW
51   0x00000dab 0x004019ab 4   6    .text    utf8    XH1\v
52   0x00000dbf 0x004019bf 19  20   .text    ascii   A_A^A]A\A[AZAY_^]Z[
53   0x00000de0 0x004019e0 5   6    .text    ascii   GtmpH
54   0x00000e34 0x00401a34 4   5    .text    ascii   \tHcH
55   0x00000ea2 0x00401aa2 5   6    .text    ascii   D$PH9
56   0x00000eb3 0x00401ab3 4   5    .text    ascii   L$XA
57   0x00000ec1 0x00401ac1 4   5    .text    ascii   L$0H
58   0x00000ecd 0x00401acd 4   5    .text    ascii   \$(H
59   0x00000ee2 0x00401ae2 4   5    .text    ascii   L$XH
60   0x00000ee7 0x00401ae7 5   6    .text    ascii   D$`E1
61   0x00000eef 0x00401aef 6   8    .text    utf8    D$(E1:
62   0x00000f0f 0x00401b0f 4   5    .text    ascii   L$`H
63   0x00000f14 0x00401b14 5   6    .text    ascii   D$PE1
64   0x00000f21 0x00401b21 4   5    .text    ascii   \$(H
65   0x00000f32 0x00401b32 4   5    .text    ascii   L$P9
66   0x00000f90 0x00401b90 5   6    .text    ascii   LSVWh
67   0x00000fc3 0x00401bc3 7   8    .text    ascii   \nr$j\nY3
68   0x00000fd6 0x00401bd6 4   5    .text    ascii   05e_
69   0x00000fff 0x00401bff 4   5    .text    ascii   j\nY3
70   0x000010b1 0x00401cb1 4   5    .text    ascii   QSV3
71   0x000010d7 0x00401cd7 4   5    .text    ascii   \e|\b9
72   0x00001130 0x00401d30 5   6    .text    ascii   \fSVW3
73   0x00001167 0x00401d67 4   5    .text    ascii   G\f;E
74   0x00001171 0x00401d71 4   5    .text    ascii   G\b;E
75   0x0000119c 0x00401d9c 5   6    .text    ascii   u!j X
76   0x00001239 0x00401e39 4   5    .text    ascii   u19=
77   0x000012a5 0x00401ea5 4   5    .text    ascii   _^[]
78   0x000012ad 0x00401ead 5   6    .text    ascii   QQSV3
79   0x000012b6 0x00401eb6 4   5    .text    ascii   PVVh
80   0x000012dd 0x00401edd 5   6    .text    ascii   Vj\bh(
81   0x000012ec 0x00401eec 4   5    .text    ascii   tUVj
82   0x000012fb 0x00401efb 4   5    .text    ascii   tFVj
83   0x000013b0 0x00401fb0 5   6    .text    ascii   x9SVW
84   0x00001429 0x00402029 5   6    .text    ascii   Sj\bh(
85   0x0000159b 0x0040219b 4   5    .text    ascii   Y_^[
86   0x000015ae 0x004021ae 4   5    .text    ascii   SVh\b
87   0x000015e0 0x004021e0 4   5    .text    ascii   WVVj
88   0x00001678 0x00402278 9   10   .text    ascii   9G\bu\n9G\fu
