[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1     0x000000d0 0x000000d0 4   5            ascii   Rich
2     0x000001e8 0x000001e8 5   6            ascii   .text
3     0x0000020f 0x0000020f 7   8            ascii   `.rdata
4     0x00000237 0x00000237 6   7            ascii   @.data
5     0x00000260 0x00000260 5   6            ascii   .rsrc
6     0x000002a4 0x000002a4 21  22           ascii   eeeeeeeeeeeeeeeeeeeee
7     0x00001037 0x00401037 4   9    .text   utf16le jjjj
8     0x00001043 0x00401043 5   11   .text   utf16le Hjjjj
9     0x00001051 0x00401051 5   11   .text   utf16le Hjjjj
10    0x0000105f 0x0040105f 5   11   .text   utf16le Hjjjj
11    0x0000106d 0x0040106d 5   11   .text   utf16le Hjjjj
12    0x0000107b 0x0040107b 5   11   .text   utf16le Hjjjj
13    0x00001089 0x00401089 5   11   .text   utf16le Hjjjj
14    0x00001097 0x00401097 5   11   .text   utf16le Hjjjj
15    0x000010a5 0x004010a5 5   11   .text   utf16le Hjjjj
16    0x000010b3 0x004010b3 5   11   .text   utf16le Hjjjj
17    0x000010c1 0x004010c1 5   11   .text   utf16le Hjjjj
18    0x000010cf 0x004010cf 5   11   .text   utf16le Hjjjj
19    0x000010dd 0x004010dd 5   11   .text   utf16le Hjjjj
20    0x000010eb 0x004010eb 5   11   .text   utf16le Hjjjj
21    0x000010f9 0x004010f9 5   11   .text   utf16le Hjjjj
22    0x00001107 0x00401107 5   11   .text   utf16le Hjjjj
23    0x00001115 0x00401115 5   11   .text   utf16le Hjjjj
24    0x00001123 0x00401123 5   11   .text   utf16le Hjjjj
25    0x00001131 0x00401131 5   11   .text   utf16le Hjjjj
26    0x0000113f 0x0040113f 5   11   .text   utf16le Hjjjj
27    0x0000114d 0x0040114d 5   11   .text   utf16le Hjjjj
28    0x0000115b 0x0040115b 5   11   .text   utf16le Hjjjj
29    0x00001169 0x00401169 5   11   .text   utf16le Hjjjj
30    0x00001177 0x00401177 5   11   .text   utf16le Hjjjj
31    0x00001185 0x00401185 5   11   .text   utf16le Hjjjj
32    0x00001193 0x00401193 5   11   .text   utf16le Hjjjj
33    0x000011a1 0x004011a1 5   11   .text   utf16le Hjjjj
34    0x000011af 0x004011af 5   11   .text   utf16le Hjjjj
35    0x000011bd 0x004011bd 5   11   .text   utf16le Hjjjj
36    0x000011cb 0x004011cb 5   11   .text   utf16le Hjjjj
37    0x000011d9 0x004011d9 5   11   .text   utf16le Hjjjj
38    0x000011e7 0x004011e7 5   11   .text   utf16le Hjjjj
39    0x000011f5 0x004011f5 5   11   .text   utf16le Hjjjj
40    0x00001203 0x00401203 5   11   .text   utf16le Hjjjj
41    0x00001211 0x00401211 5   11   .text   utf16le Hjjjj
42    0x0000121f 0x0040121f 5   11   .text   utf16le Hjjjj
43    0x0000122d 0x0040122d 5   11   .text   utf16le Hjjjj
44    0x0000123b 0x0040123b 5   11   .text   utf16le Hjjjj
45    0x00001249 0x00401249 5   11   .text   utf16le Hjjjj
46    0x00001257 0x00401257 5   11   .text   utf16le Hjjjj
47    0x00001265 0x00401265 5   11   .text   utf16le Hjjjj
48    0x00001273 0x00401273 5   11   .text   utf16le Hjjjj
49    0x00001281 0x00401281 5   11   .text   utf16le Hjjjj
50    0x0000128f 0x0040128f 5   11   .text   utf16le Hjjjj
51    0x0000129d 0x0040129d 5   11   .text   utf16le Hjjjj
52    0x000012ab 0x004012ab 5   11   .text   utf16le Hjjjj
53    0x000012b9 0x004012b9 5   11   .text   utf16le Hjjjj
54    0x000012c7 0x004012c7 5   11   .text   utf16le Hjjjj
55    0x000012d5 0x004012d5 5   11   .text   utf16le Hjjjj
56    0x000012e3 0x004012e3 5   11   .text   utf16le Hjjjj
57    0x000012f1 0x004012f1 5   11   .text   utf16le Hjjjj
58    0x000012ff 0x004012ff 5   11   .text   utf16le Hjjjj
59    0x0000130d 0x0040130d 5   11   .text   utf16le Hjjjj
60    0x0000131b 0x0040131b 5   11   .text   utf16le Hjjjj
61    0x00001329 0x00401329 5   11   .text   utf16le Hjjjj
62    0x00001337 0x00401337 5   11   .text   utf16le Hjjjj
63    0x00001345 0x00401345 5   11   .text   utf16le Hjjjj
64    0x00001353 0x00401353 5   11   .text   utf16le Hjjjj
65    0x00001361 0x00401361 5   11   .text   utf16le Hjjjj
66    0x0000136f 0x0040136f 5   11   .text   utf16le Hjjjj
67    0x0000137d 0x0040137d 5   11   .text   utf16le Hjjjj
68    0x0000138b 0x0040138b 5   11   .text   utf16le Hjjjj
69    0x00001399 0x00401399 5   11   .text   utf16le Hjjjj
70    0x000013a7 0x004013a7 5   11   .text   utf16le Hjjjj
71    0x000013b5 0x004013b5 5   11   .text   utf16le Hjjjj
72    0x000013c3 0x004013c3 5   11   .text   utf16le Hjjjj
73    0x000013d1 0x004013d1 5   11   .text   utf16le Hjjjj
74    0x000013df 0x004013df 5   11   .text   utf16le Hjjjj
75    0x000013ed 0x004013ed 5   11   .text   utf16le Hjjjj
76    0x000013fb 0x004013fb 5   11   .text   utf16le Hjjjj
77    0x00001409 0x00401409 5   11   .text   utf16le Hjjjj
78    0x00001417 0x00401417 5   11   .text   utf16le Hjjjj
79    0x00001425 0x00401425 5   11   .text   utf16le Hjjjj
80    0x00001433 0x00401433 5   11   .text   utf16le Hjjjj
81    0x00001441 0x00401441 5   11   .text   utf16le Hjjjj
82    0x0000144f 0x0040144f 5   11   .text   utf16le Hjjjj
83    0x0000145d 0x0040145d 5   11   .text   utf16le Hjjjj
84    0x0000146b 0x0040146b 5   11   .text   utf16le Hjjjj
85    0x00001479 0x00401479 5   11   .text   utf16le Hjjjj
86    0x00001487 0x00401487 5   11   .text   utf16le Hjjjj
87    0x00001495 0x00401495 5   11   .text   utf16le Hjjjj
88    0x000014a3 0x004014a3 5   11   .text   utf16le Hjjjj
89    0x000014b1 0x004014b1 5   11   .text   utf16le Hjjjj
