Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
27   0x000008b0 0x004014b0 4   5    UPX1    ascii   __7&
28   0x00000912 0x00401512 6   7    UPX1    ascii   ;&N*JI
29   0x00000969 0x00401569 4   5    UPX1    ascii   -,(G
30   0x00000978 0x00401578 4   5    UPX1    ascii   r>o>
31   0x00000983 0x00401583 4   5    UPX1    ascii   -clj
32   0x000009bb 0x004015bb 4   5    UPX1    ascii   U\\vi
33   0x000009c4 0x004015c4 5   6    UPX1    ascii   't+o'
34   0x000009ea 0x004015ea 4   5    UPX1    ascii   ^k=R
35   0x00000aaa 0x004016aa 4   5    UPX1    ascii   O7ZU
36   0x00000af4 0x004016f4 4   5    UPX1    ascii   ?(XK
37   0x00000b33 0x00401733 5   6    UPX1    ascii   C40_6
38   0x00000b40 0x00401740 5   6    UPX1    ascii   ?%AJ2
39   0x00000c80 0x00401880 4   5    UPX1    ascii   Hp?p
40   0x00000c96 0x00401896 4   5    UPX1    ascii   cmdp
41   0x00000cbd 0x004018bd 4   5    UPX1    ascii   ~}tV
42   0x00000ce6 0x004018e6 4   7    UPX1    utf8    ߱f֞5 blocks=NKo,Basic Latin,Hebrew
43   0x00000ced 0x004018ed 4   5    UPX1    ascii   C\n0#
44   0x00000d4c 0x0040194c 4   5    UPX1    ascii   aK<>
45   0x00000d62 0x00401962 4   5    UPX1    ascii   ApH}
46   0x00000db1 0x004019b1 4   5    UPX1    ascii   _[E8
47   0x00000e2d 0x00401a2d 4   6    UPX1    utf8    \bتn> blocks=Basic Latin,Arabic
48   0x00000e4c 0x00401a4c 5   9    UPX1    utf8    /Dف4\a blocks=Basic Latin,Arabic
49   0x00000e78 0x00401a78 6   7    UPX1    ascii   d4>^@\a
50   0x00000e9c 0x00401a9c 4   5    UPX1    ascii   >\n\{
51   0x00000ea2 0x00401aa2 4   5    UPX1    ascii   \vU?+
52   0x00000ed8 0x00401ad8 4   5    UPX1    ascii   7^u8
53   0x00000edd 0x00401add 4   6    UPX1    utf8    hE\b:
54   0x00000efe 0x00401afe 4   5    UPX1    ascii   ;c*\
55   0x00000f57 0x00401b57 6   8    UPX1    utf8    E^3\f\bÐ blocks=Basic Latin,Latin-1 Supplement
56   0x00000f8c 0x00401b8c 4   6    UPX1    utf8    ZBpȀ blocks=Basic Latin,Latin Extended-B
57   0x00000f9b 0x00401b9b 4   5    UPX1    ascii   m\d`
58   0x00000fcf 0x00401bcf 7   10   UPX1    utf8    xHdeэޘ\a blocks=Basic Latin,Cyrillic,Thaana
59   0x00000fea 0x00401bea 9   10   UPX1    ascii   ~8\b^*q\np&
60   0x000010a3 0x00401ca3 4   5    UPX1    ascii   8DD0
61   0x000010ae 0x00401cae 7   9    UPX1    utf8    >80$ިc| blocks=Basic Latin,Thaana
62   0x00001101 0x00401d01 4   5    UPX1    ascii   QN e
63   0x00001106 0x00401d06 4   5    UPX1    ascii   [j]E
64   0x0000111c 0x00401d1c 5   7    UPX1    utf8    j01oՐ blocks=Basic Latin,Armenian
65   0x00001127 0x00401d27 4   6    UPX1    utf8    ۀ5^S blocks=Arabic,Basic Latin
66   0x00001134 0x00401d34 4   5    UPX1    ascii   +_7p
67   0x0000113b 0x00401d3b 5   6    UPX1    ascii   P xw 
68   0x0000120e 0x00401e0e 5   6    UPX1    ascii   5P[CT
69   0x00001214 0x00401e14 5   6    UPX1    ascii   c{Ox8
70   0x0000122d 0x00401e2d 7   9    UPX1    utf8    s;#рw+\e blocks=Basic Latin,Cyrillic
71   0x000012a3 0x00401ea3 5   6    UPX1    ascii   dKS^;
72   0x000012b3 0x00401eb3 4   5    UPX1    ascii   >,ye
73   0x000012ca 0x00401eca 5   6    UPX1    ascii   \e>OkU
74   0x000012d0 0x00401ed0 4   5    UPX1    ascii   sgY]
75   0x000012d9 0x00401ed9 4   6    UPX1    utf8    ~Q˞S blocks=Basic Latin,Spacing Modifier Letters
76   0x000012f5 0x00401ef5 4   6    UPX1    utf8    aӤ{e blocks=Basic Latin,Cyrillic
77   0x000013c5 0x00401fc5 4   5    UPX1    ascii   X~hK
78   0x000013cd 0x00401fcd 4   5    UPX1    ascii   XkS 
79   0x00001458 0x00402058 4   5    UPX1    ascii   -H]<
80   0x00001498 0x00402098 5   7    UPX1    utf8    Dɦi*L blocks=Basic Latin,IPA Extensions
81   0x000014fd 0x004020fd 9   10   UPX1    ascii   cb0#(8C2)
82   0x0000152c 0x0040212c 8   9    UPX1    ascii   I`Pm,p[h
83   0x0000154c 0x0040214c 4   8    UPX1    utf8    x\v߯ꈊ blocks=Basic Latin,NKo,Yi Syllables
84   0x00001569 0x00402169 4   5    UPX1    ascii   L0o&
85   0x0000158f 0x0040218f 5   8    UPX1    utf8    ߌx̑p\v blocks=NKo,Basic Latin,Combining Diacritical Marks
86   0x0000159d 0x0040219d 4   6    UPX1    utf8    Lz\nߦ blocks=Basic Latin,NKo
87   0x000015ec 0x004021ec 5   7    UPX1    utf8    HȈwh\e blocks=Basic Latin,Latin Extended-B
88   0x0000160b 0x0040220b 4   6    UPX1    utf8    p˷_! blocks=Basic Latin,Spacing Modifier Letters
89   0x0000162b 0x0040222b 4   5    UPX1    ascii   \[@\
90   0x00001632 0x00402232 10  12   UPX1    utf8    ]7daL\v^Ѩ`( blocks=Basic Latin,Cyrillic
91   0x0000165e 0x0040225e 4   5    UPX1    ascii   hQU,
92   0x0000168d 0x0040228d 5   6    UPX1    ascii   \e1xf^
93   0x000016b5 0x004022b5 4   6    UPX1    utf8    ǪkV, blocks=Latin Extended-B,Basic Latin
94   0x00001729 0x00402329 4   5    UPX1    ascii   =D4l
95   0x00001812 0x00402412 5   6    UPX1    ascii   (%Z3)
96   0x0000187e 0x0040247e 5   6    UPX1    ascii   SC\v0"
97   0x000018c0 0x004024c0 7   12   UPX1    utf8    kЂ$ێ[➽\ blocks=Basic Latin,Cyrillic,Arabic,Dingbats
98   0x00001983 0x00402583 4   5    UPX1    ascii   7~7e
99   0x0000199e 0x0040259e 5   6    UPX1    ascii   =@S~$
100  0x000019c7 0x004025c7 4   5    UPX1    ascii   +>P\b
101  0x00001a31 0x00402631 4   5    UPX1    ascii   7> -
102  0x00001af1 0x004026f1 4   6    UPX1    utf8    5P{ٳ blocks=Basic Latin,Arabic
103  0x00001b0a 0x0040270a 4   6    UPX1    utf8    WN߯\r blocks=Basic Latin,NKo
104  0x00001b46 0x00402746 5   6    UPX1    ascii   6#. L
105  0x00001b58 0x00402758 4   6    UPX1    utf8    6TŰr blocks=Basic Latin,Latin Extended-A
106  0x00001b87 0x00402787 6   7    UPX1    ascii   p+"j0_
107  0x00001bc7 0x004027c7 4   5    UPX1    ascii   \vg\b!
108  0x00001c17 0x00402817 4   5    UPX1    ascii   ygDG
109  0x00001c97 0x00402897 4   5    UPX1    ascii   'Tdh
110  0x00001caf 0x004028af 4   5    UPX1    ascii   "5h"
111  0x00001ce0 0x004028e0 4   5    UPX1    ascii   >ulW
112  0x00001d0d 0x0040290d 4   6    UPX1    utf8    й=lM blocks=Cyrillic,Basic Latin
113  0x00001d24 0x00402924 4   5    UPX1    ascii   AI%a
114  0x00001daa 0x004029aa 4   5    UPX1    ascii   *>kU
115  0x00001e4f 0x00402a4f 5   6    UPX1    ascii   W-^H*
116  0x00001e95 0x00402a95 4   5    UPX1    ascii   }qQ\n
117  0x00001f3e 0x00402b3e 5   6    UPX1    ascii   o{P7(
118  0x00001f6e 0x00402b6e 5   6    UPX1    ascii   1G8N[
119  0x00001fa8 0x00402ba8 4   5    UPX1    ascii   \f47~
120  0x0000201e 0x00402c1e 5   6    UPX1    ascii   \v>{w)
121  0x00002049 0x00402c49 4   5    UPX1    ascii   IB{;
122  0x000020e9 0x00402ce9 4   7    UPX1    utf8    {Wⱝ\r blocks=Basic Latin,Glagolitic
123  0x0000210c 0x00402d0c 4   5    UPX1    ascii   v\b\bB
124  0x00002145 0x00402d45 5   6    UPX1    ascii   h?%L_
125  0x00002176 0x00402d76 4   5    UPX1    ascii   !gcc
126  0x0000219a 0x00402d9a 4   5    UPX1    ascii   2Sf^
127  0x000021a9 0x00402da9 4   6    UPX1    utf8    ?Τy- blocks=Basic Latin,Greek and Coptic
128  0x000021fe 0x00402dfe 5   6    UPX1    ascii   O_=\t%
129  0x00002213 0x00402e13 4   5    UPX1    ascii   \vyc@
130  0x0000229c 0x00402e9c 5   8    UPX1    utf8    偿f]w1 blocks=CJK Unified Ideographs,Basic Latin
131  0x000022ad 0x00402ead 4   6    UPX1    utf8    өW\rX blocks=Cyrillic,Basic Latin
132  0x000022cc 0x00402ecc 5   6    UPX1    ascii   5pX\f\b
133  0x000022fe 0x00402efe 4   5    UPX1    ascii   6#P\v
134  0x0000231f 0x00402f1f 4   5    UPX1    ascii   tC4,
135  0x00002339 0x00402f39 5   6    UPX1    ascii   ~Kth|
136  0x0000235a 0x00402f5a 5   6    UPX1    ascii   S},pV
137  0x0000236b 0x00402f6b 6   9    UPX1    utf8    \b5qxʁ7 blocks=Basic Latin,IPA Extensions
138  0x000023a7 0x00402fa7 4   5    UPX1    ascii   bn&+
139  0x000023bf 0x00402fbf 4   5    UPX1    ascii   -o(W
140  0x0000247d 0x0040307d 4   6    UPX1    utf8    =IZͰ blocks=Basic Latin,Greek and Coptic
141  0x0000254a 0x0040314a 5   7    UPX1    utf8    ΟoE"/ blocks=Greek and Coptic,Basic Latin
142  0x000025b4 0x004031b4 4   7    UPX1    utf8    @X搤O blocks=Basic Latin,CJK Unified Ideographs
143  0x000025cf 0x004031cf 4   5    UPX1    ascii   ;~5~
144  0x000025f5 0x004031f5 5   6    UPX1    ascii   ]*/}_
145  0x00002621 0x00403221 4   5    UPX1    ascii   OYs 
146  0x0000263f 0x0040323f 5   6    UPX1    ascii   ckT`)
147  0x0000266e 0x0040326e 4   5    UPX1    ascii   b{A9
148  0x00002677 0x00403277 7   9    UPX1    utf8    ߆4^?}QQ blocks=NKo,Basic Latin
149  0x00002688 0x00403288 4   5    UPX1    ascii   _A~#
150  0x000026c0 0x004032c0 4   5    UPX1    ascii   p\vs&
151  0x000026d5 0x004032d5 4   5    UPX1    ascii   >2t+
152  0x00002791 0x00403391 4   5    UPX1    ascii   a>cv
153  0x00002796 0x00403396 4   5    UPX1    ascii   ;~f?
154  0x000027b1 0x004033b1 4   5    UPX1    ascii   p!P\b
155  0x000027d1 0x004033d1 5   6    UPX1    ascii   3bAJ4
156  0x000027f1 0x004033f1 4   5    UPX1    ascii   rhXM
157  0x0000281c 0x0040341c 4   5    UPX1    ascii   WA>K
158  0x0000282c 0x0040342c 4   6    UPX1    utf8    k8̮a blocks=Basic Latin,Combining Diacritical Marks
