Error parsing resource directory
[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
5469  0x00039d14 0x00766b14 7   8    UPX1    ascii   5\t94<\b?
5470  0x00039d3b 0x00766b3b 6   7    UPX1    ascii   C|Fy9L
5471  0x00039d4b 0x00766b4b 4   5    UPX1    ascii   !k1l
5472  0x00039dbc 0x00766bbc 4   5    UPX1    ascii   $tI.
5473  0x00039dfb 0x00766bfb 4   6    UPX1    utf8    ċ=Wr blocks=Latin Extended-A,Basic Latin
5474  0x00039eaf 0x00766caf 6   9    UPX1    utf8    |ŭ\eԎ7A blocks=Basic Latin,Latin Extended-A,Cyrillic Supplement
5475  0x00039f39 0x00766d39 4   5    UPX1    ascii   2\e\fd
5476  0x00039f43 0x00766d43 5   7    UPX1    utf8    Ό}yN. blocks=Greek and Coptic,Basic Latin
5477  0x00039f6e 0x00766d6e 4   5    UPX1    ascii   X6)j
5478  0x00039fb2 0x00766db2 4   5    UPX1    ascii   @6$G
5479  0x00039fea 0x00766dea 4   6    UPX1    utf8    FВI& blocks=Basic Latin,Cyrillic
5480  0x0003a028 0x00766e28 5   6    UPX1    ascii   L2r2Z
5481  0x0003a06f 0x00766e6f 4   5    UPX1    ascii   vSAr
5482  0x0003a07c 0x00766e7c 5   6    UPX1    ascii   QUYm\v
5483  0x0003a09d 0x00766e9d 5   8    UPX1    utf8    \f\nJ}އ blocks=Basic Latin,Thaana
5484  0x0003a0ee 0x00766eee 4   6    UPX1    utf8    !GFج blocks=Basic Latin,Arabic
5485  0x0003a119 0x00766f19 4   5    UPX1    ascii   jM\f?
5486  0x0003a145 0x00766f45 4   5    UPX1    ascii   \f;O\f
5487  0x0003a1ef 0x00766fef 4   6    UPX1    utf8    $Ϭw$ blocks=Basic Latin,Greek and Coptic
5488  0x0003a220 0x00767020 5   7    UPX1    utf8    \nՂx|B blocks=Basic Latin,Armenian
5489  0x0003a237 0x00767037 5   6    UPX1    ascii   ?9KC@
5490  0x0003a23d 0x0076703d 5   6    UPX1    ascii   u1A'x
5491  0x0003a268 0x00767068 5   6    UPX1    ascii   ?ecy>
5492  0x0003a29e 0x0076709e 8   9    UPX1    ascii   g\eo"/)MQ
5493  0x0003a2b3 0x007670b3 4   5    UPX1    ascii   CD\a|
5494  0x0003a31a 0x0076711a 5   6    UPX1    ascii   \fU8A\v
5495  0x0003a3af 0x007671af 6   10   UPX1    utf8    వǾ''*\f blocks=Telugu,Latin Extended-B,Basic Latin
5496  0x0003a3c5 0x007671c5 4   5    UPX1    ascii   tho&
5497  0x0003a42d 0x0076722d 4   5    UPX1    ascii   ztC*
5498  0x0003a487 0x00767287 5   6    UPX1    ascii   VV\npJ
5499  0x0003a491 0x00767291 4   5    UPX1    ascii   Bx@M
5500  0x0003a4eb 0x007672eb 9   10   UPX1    ascii   $-_'uwnPU
5501  0x0003a4f9 0x007672f9 4   5    UPX1    ascii   hO P
5502  0x0003a59e 0x0076739e 6   7    UPX1    ascii   Pz~"/\a
5503  0x0003a5f4 0x007673f4 4   5    UPX1    ascii   *h >
5504  0x0003a615 0x00767415 4   6    UPX1    utf8    88ȔB blocks=Basic Latin,Latin Extended-B
5505  0x0003a620 0x00767420 6   8    UPX1    utf8    ((0ZŇv blocks=Basic Latin,Latin Extended-A
5506  0x0003a667 0x00767467 5   6    UPX1    ascii   ~Y%#?
5507  0x0003a70f 0x0076750f 5   6    UPX1    ascii   {\kt\r
5508  0x0003a715 0x00767515 5   6    UPX1    ascii   _CtS\t
5509  0x0003a72a 0x0076752a 4   5    UPX1    ascii   u6E"
5510  0x0003a736 0x00767536 5   6    UPX1    ascii   Rxpob
5511  0x0003a769 0x00767569 4   5    UPX1    ascii   >IA)
5512  0x0003a78d 0x0076758d 4   6    UPX1    utf8    Xǋp[ blocks=Basic Latin,Latin Extended-B
5513  0x0003a795 0x00767595 4   5    UPX1    ascii   59\r!
5514  0x0003a835 0x00767635 6   7    UPX1    ascii   \a#\rtV<
5515  0x0003a872 0x00767672 4   6    UPX1    utf8    0?\eą blocks=Basic Latin,Latin Extended-A
5516  0x0003a89d 0x0076769d 7   8    UPX1    ascii   ?fileu'
5517  0x0003a8c5 0x007676c5 6   8    UPX1    utf8    |tcp4#
5518  0x0003a8d8 0x007676d8 4   5    UPX1    ascii    jb^
5519  0x0003a8ed 0x007676ed 5   6    UPX1    ascii   udupI
5520  0x0003a8fc 0x007676fc 5   6    UPX1    ascii   nixIW
5521  0x0003a917 0x00767717 5   6    UPX1    ascii   ?diu1
5522  0x0003a936 0x00767736 4   6    UPX1    utf8    vۢ ? blocks=Basic Latin,Arabic
5523  0x0003a94f 0x0076774f 4   5    UPX1    ascii   u%Sf
5524  0x0003a962 0x00767762 5   6    UPX1    ascii   cons}
5525  0x0003a988 0x00767788 4   5    UPX1    ascii   u&gr
5526  0x0003a98d 0x0076778d 4   5    UPX1    ascii   9#tl
5527  0x0003a99d 0x0076779d 5   6    UPX1    ascii   Gpack
5528  0x0003a9a9 0x007677a9 4   5    UPX1    ascii   hjf\r
5529  0x0003a9b9 0x007677b9 4   5    UPX1    ascii   \t?5v
5530  0x0003a9d7 0x007677d7 4   5    UPX1    ascii   tJr=
5531  0x0003aa09 0x00767809 5   6    UPX1    ascii   l\,_W
5532  0x0003aa1b 0x0076781b 5   7    UPX1    utf8    \aҧ\fuI blocks=Basic Latin,Cyrillic
5533  0x0003aa94 0x00767894 6   8    UPX1    utf8    \fM?ьwR blocks=Basic Latin,Cyrillic
5534  0x0003aa9f 0x0076789f 6   7    UPX1    ascii   \b[HE2\e
5535  0x0003aab5 0x007678b5 8   10   UPX1    utf8    nI@=POaf
5536  0x0003aac5 0x007678c5 7   9    UPX1    utf8    M!۸##R\ blocks=Basic Latin,Arabic
5537  0x0003ab26 0x00767926 4   5    UPX1    ascii   hP8@
5538  0x0003ab2f 0x0076792f 5   8    UPX1    utf8    cR:ʼՄ blocks=Basic Latin,Spacing Modifier Letters,Armenian
5539  0x0003ab4d 0x0076794d 4   5    UPX1    ascii   I;>%
5540  0x0003ab6f 0x0076796f 4   5    UPX1    ascii   SE\b(
5541  0x0003abda 0x007679da 6   7    UPX1    ascii   }\r3tRx
5542  0x0003accc 0x00767acc 5   6    UPX1    ascii   +u%Ks
5543  0x0003acee 0x00767aee 5   6    UPX1    ascii   +@&o!
5544  0x0003acf4 0x00767af4 4   5    UPX1    ascii   @\fTp
5545  0x0003ad2d 0x00767b2d 4   5    UPX1    ascii   t%<o
5546  0x0003ad4d 0x00767b4d 4   5    UPX1    ascii   :p\nV
5547  0x0003ad88 0x00767b88 4   6    UPX1    utf8    9xĀ% blocks=Basic Latin,Latin Extended-A
5548  0x0003ad97 0x00767b97 4   5    UPX1    ascii   B[Qx
5549  0x0003add3 0x00767bd3 7   8    UPX1    ascii   sDY\n8+\r
5550  0x0003addf 0x00767bdf 5   6    UPX1    ascii   eeo%j
5551  0x0003ae0e 0x00767c0e 4   6    UPX1    utf8    Cޝ\b> blocks=Basic Latin,Thaana
5552  0x0003ae31 0x00767c31 4   5    UPX1    ascii   IX\a^
5553  0x0003ae6f 0x00767c6f 4   6    UPX1    utf8    Ñ$<m blocks=Latin-1 Supplement,Basic Latin
5554  0x0003ae81 0x00767c81 5   6    UPX1    ascii   #\ruQJ
5555  0x0003aec8 0x00767cc8 4   5    UPX1    ascii   m)u~
5556  0x0003aecd 0x00767ccd 4   5    UPX1    ascii   ,i8y
5557  0x0003aee9 0x00767ce9 4   5    UPX1    ascii   &|fE
5558  0x0003af18 0x00767d18 5   7    UPX1    utf8    M&ܻw? blocks=Basic Latin,Syriac
5559  0x0003af35 0x00767d35 5   6    UPX1    ascii   rJx G
5560  0x0003af50 0x00767d50 4   5    UPX1    ascii   Jz`F
5561  0x0003af55 0x00767d55 4   6    UPX1    utf8    >~Ϭ\r blocks=Basic Latin,Greek and Coptic
5562  0x0003af6a 0x00767d6a 4   5    UPX1    ascii   ?k#\b
5563  0x0003af9b 0x00767d9b 4   7    UPX1    utf8    H㿁E? blocks=Basic Latin,CJK Unified Ideographs Extension A
5564  0x0003afbe 0x00767dbe 5   6    UPX1    ascii   |@S:0
5565  0x0003afdf 0x00767ddf 6   7    UPX1    ascii   ,t'ebw
5566  0x0003afe8 0x00767de8 4   5    UPX1    ascii   {>\ru
5567  0x0003b020 0x00767e20 5   6    UPX1    ascii   g\vQNW
5568  0x0003b034 0x00767e34 6   8    UPX1    utf8    -#!ܢ"C blocks=Basic Latin,Syriac
5569  0x0003b097 0x00767e97 8   10   UPX1    utf8    0iѱ{d@G8 blocks=Basic Latin,Cyrillic
5570  0x0003b0a9 0x00767ea9 4   5    UPX1    ascii   NHX%
5571  0x0003b0b9 0x00767eb9 4   5    UPX1    ascii   I{+c
5572  0x0003b0db 0x00767edb 6   7    UPX1    ascii   @uX`AZ
5573  0x0003b146 0x00767f46 4   5    UPX1    ascii   8D>\b
5574  0x0003b19a 0x00767f9a 4   6    UPX1    utf8    Ԟ\t\a\n blocks=Cyrillic Supplement,Basic Latin
5575  0x0003b1ab 0x00767fab 6   7    UPX1    ascii   X#`T^=
5576  0x0003b1c3 0x00767fc3 7   9    UPX1    utf8    "6"lzɼ  blocks=Basic Latin,IPA Extensions
5577  0x0003b28c 0x0076808c 5   6    UPX1    ascii   p7om\v
5578  0x0003b302 0x00768102 4   7    UPX1    utf8    O١L! blocks=Basic Latin,Arabic
5579  0x0003b362 0x00768162 4   5    UPX1    ascii   {ln]
5580  0x0003b3a5 0x007681a5 5   6    UPX1    ascii   +StX`
5581  0x0003b3ea 0x007681ea 6   7    UPX1    ascii   @E+hm(
5582  0x0003b3fa 0x007681fa 5   7    UPX1    utf8    XƎ{Lx blocks=Basic Latin,Latin Extended-B
5583  0x0003b401 0x00768201 5   6    UPX1    ascii   ]Xa/\r
5584  0x0003b407 0x00768207 4   5    UPX1    ascii   1\f=c
5585  0x0003b440 0x00768240 5   6    UPX1    ascii   Lp|Un
5586  0x0003b448 0x00768248 4   5    UPX1    ascii   wx`D
5587  0x0003b464 0x00768264 4   5    UPX1    ascii   }X9+
5588  0x0003b49a 0x0076829a 4   6    UPX1    utf8    \aȣE+ blocks=Basic Latin,Latin Extended-B
5589  0x0003b4d4 0x007682d4 8   10   UPX1    utf8    @(8НeIl_ blocks=Basic Latin,Cyrillic
5590  0x0003b4f2 0x007682f2 5   6    UPX1    ascii   RB\by\t
5591  0x0003b502 0x00768302 4   5    UPX1    ascii   [ \b/
5592  0x0003b51a 0x0076831a 4   5    UPX1    ascii   fbAB
5593  0x0003b530 0x00768330 7   8    UPX1    ascii   Tl2s*Au
5594  0x0003b543 0x00768343 4   5    UPX1    ascii   vF[F
5595  0x0003b550 0x00768350 7   8    UPX1    ascii   (+\t;%|e
5596  0x0003b563 0x00768363 4   5    UPX1    ascii   `je(
5597  0x0003b569 0x00768369 4   5    UPX1    ascii   f\n8:
5598  0x0003b5be 0x007683be 4   5    UPX1    ascii   |\aZB
5599  0x0003b5e5 0x007683e5 6   8    UPX1    utf8    \awwʘN\e blocks=Basic Latin,IPA Extensions
5600  0x0003b5fa 0x007683fa 4   5    UPX1    ascii   A+ a
5601  0x0003b60e 0x0076840e 8   9    UPX1    ascii   84B1EA\ei
5602  0x0003b62b 0x0076842b 5   6    UPX1    ascii   W B"|
5603  0x0003b66b 0x0076846b 4   5    UPX1    ascii   4D}6
5604  0x0003b673 0x00768473 4   5    UPX1    ascii    EX<
5605  0x0003b688 0x00768488 5   6    UPX1    ascii   \bJ|r4
5606  0x0003b6b9 0x007684b9 4   6    UPX1    utf8    bъ0M blocks=Basic Latin,Cyrillic
5607  0x0003b6c1 0x007684c1 4   5    UPX1    ascii   \ap8c
5608  0x0003b6c6 0x007684c6 6   9    UPX1    utf8    0蛷at[  blocks=Basic Latin,CJK Unified Ideographs
5609  0x0003b6f7 0x007684f7 4   5    UPX1    ascii   (9Q`
5610  0x0003b718 0x00768518 5   6    UPX1    ascii   K;br\a
5611  0x0003b7df 0x007685df 4   5    UPX1    ascii   h}U\t
5612  0x0003b849 0x00768649 4   5    UPX1    ascii   \t\f0U
5613  0x0003b8a1 0x007686a1 7   8    UPX1    ascii   Ef|2s+7
5614  0x0003b98b 0x0076878b 4   5    UPX1    ascii   j\fKC
5615  0x0003b9ec 0x007687ec 4   5    UPX1    ascii   aN1(
5616  0x0003ba47 0x00768847 4   5    UPX1    ascii   '@-2
5617  0x0003ba9e 0x0076889e 5   6    UPX1    ascii   i\bKCJ
5618  0x0003baa5 0x007688a5 4   5    UPX1    ascii   naD>
5619  0x0003bac4 0x007688c4 4   5    UPX1    ascii   0T|A
5620  0x0003bad7 0x007688d7 4   5    UPX1    ascii   $!?\t
5621  0x0003bae2 0x007688e2 5   6    UPX1    ascii   '<\n7?
5622  0x0003bb91 0x00768991 4   6    UPX1    utf8    >ֵQ/ blocks=Basic Latin,Hebrew
5623  0x0003bba2 0x007689a2 5   6    UPX1    ascii   a-/92
5624  0x0003bba8 0x007689a8 6   9    UPX1    utf8    /\b#Hˉh blocks=Basic Latin,Spacing Modifier Letters
5625  0x0003bbcd 0x007689cd 4   5    UPX1    ascii   TW~E
5626  0x0003bbde 0x007689de 5   6    UPX1    ascii   cRdYP
5627  0x0003bc30 0x00768a30 4   5    UPX1    ascii   e\bOY
5628  0x0003bc37 0x00768a37 9   11   UPX1    utf8    S^:wfL2LU
5629  0x0003bcd6 0x00768ad6 5   6    UPX1    ascii   7,\\b\b
5630  0x0003bcdc 0x00768adc 4   5    UPX1    ascii   '"q\b
5631  0x0003bd2b 0x00768b2b 5   6    UPX1    ascii   \n, 0$
5632  0x0003bd31 0x00768b31 4   5    UPX1    ascii   &\nh4
5633  0x0003bdb2 0x00768bb2 4   6    UPX1    utf8    \fŌm\b blocks=Basic Latin,Latin Extended-A
5634  0x0003bdf1 0x00768bf1 4   5    UPX1    ascii   I!Vb
5635  0x0003bdfd 0x00768bfd 5   6    UPX1    ascii   bhtT>
5636  0x0003be39 0x00768c39 5   6    UPX1    ascii   \e @jQ
5637  0x0003be46 0x00768c46 4   5    UPX1    ascii   zG(#
5638  0x0003be7e 0x00768c7e 4   5    UPX1    ascii   }RB9
5639  0x0003bec0 0x00768cc0 5   6    UPX1    ascii   \nJv8%
5640  0x0003bedc 0x00768cdc 4   5    UPX1    ascii   ?@bu
5641  0x0003bef6 0x00768cf6 4   6    UPX1    utf8    1$\v5
5642  0x0003bf1f 0x00768d1f 4   5    UPX1    ascii   \vYUA
5643  0x0003bf2c 0x00768d2c 4   6    UPX1    utf8    H%\tʵ blocks=Basic Latin,Spacing Modifier Letters
5644  0x0003bf38 0x00768d38 8   9    UPX1    ascii   )?\n\vRZ@H
5645  0x0003bf71 0x00768d71 6   9    UPX1    utf8    5\eӿ\nЖQ blocks=Basic Latin,Cyrillic
5646  0x0003bfbd 0x00768dbd 4   5    UPX1    ascii   I*E4
5647  0x0003bff6 0x00768df6 4   5    UPX1    ascii   ,y"!
5648  0x0003c024 0x00768e24 5   6    UPX1    ascii   cz0WK
5649  0x0003c045 0x00768e45 4   5    UPX1    ascii   pEb`
5650  0x0003c06c 0x00768e6c 4   6    UPX1    utf8    'ْ@* blocks=Basic Latin,Arabic
5651  0x0003c07e 0x00768e7e 4   5    UPX1    ascii   yV!\e
5652  0x0003c0ab 0x00768eab 5   6    UPX1    ascii   f2=`K
5653  0x0003c0ba 0x00768eba 4   5    UPX1    ascii   k47u
5654  0x0003c0e2 0x00768ee2 4   5    UPX1    ascii   L"Qz
5655  0x0003c153 0x00768f53 4   5    UPX1    ascii   N\b\t\n
5656  0x0003c16f 0x00768f6f 5   6    UPX1    ascii   |I >7
5657  0x0003c19c 0x00768f9c 4   5    UPX1    ascii   D\f+x
5658  0x0003c1ae 0x00768fae 4   5    UPX1    ascii   r,]J
5659  0x0003c208 0x00769008 5   6    UPX1    ascii   W}P/I
5660  0x0003c227 0x00769027 4   5    UPX1    ascii   YB\n~
5661  0x0003c22c 0x0076902c 6   8    UPX1    utf8    E"ENS7
5662  0x0003c235 0x00769035 4   5    UPX1    ascii   L; 4
5663  0x0003c23a 0x0076903a 4   6    UPX1    utf8    ©-G& blocks=Latin-1 Supplement,Basic Latin
5664  0x0003c255 0x00769055 4   5    UPX1    ascii   GZl7
5665  0x0003c25d 0x0076905d 6   7    UPX1    ascii   (B#yU\f
5666  0x0003c27a 0x0076907a 6   7    UPX1    ascii   :0)X$G
5667  0x0003c290 0x00769090 9   10   UPX1    ascii   \bO}|\tXYFY
5668  0x0003c2d3 0x007690d3 5   6    UPX1    ascii   yH@KL
5669  0x0003c312 0x00769112 5   8    UPX1    utf8    e\nTƃ٨ blocks=Basic Latin,Latin Extended-B,Arabic
5670  0x0003c32a 0x0076912a 4   5    UPX1    ascii   mPQG
5671  0x0003c33f 0x0076913f 5   6    UPX1    ascii    ?e\tj
5672  0x0003c348 0x00769148 4   6    UPX1    utf8    \a?\n\n
5673  0x0003c35b 0x0076915b 5   6    UPX1    ascii   K\f[pR
5674  0x0003c39f 0x0076919f 5   6    UPX1    ascii   !I\tJ8
5675  0x0003c3ac 0x007691ac 4   5    UPX1    ascii   q&|?
5676  0x0003c3b1 0x007691b1 4   5    UPX1    ascii   VOpz
5677  0x0003c3c0 0x007691c0 4   5    UPX1    ascii   ,@r+
5678  0x0003c3d9 0x007691d9 6   7    UPX1    ascii   '\t|aj8
5679  0x0003c3f2 0x007691f2 8   10   UPX1    utf8    \bE\t]9rɃ} blocks=Basic Latin,Latin Extended-B
5680  0x0003c450 0x00769250 5   6    UPX1    ascii   xy:7y
5681  0x0003c462 0x00769262 4   5    UPX1    ascii   Pg.Y
5682  0x0003c475 0x00769275 7   8    UPX1    ascii   (\r#Q\rUE
5683  0x0003c495 0x00769295 4   5    UPX1    ascii   o:0t
5684  0x0003c4b2 0x007692b2 6   7    UPX1    ascii   ,R+\e_}
5685  0x0003c4ee 0x007692ee 8   9    UPX1    ascii   $:~(\f\rS9
5686  0x0003c503 0x00769303 4   5    UPX1    ascii   NLIP
5687  0x0003c508 0x00769308 5   6    UPX1    ascii   |.Y-T
5688  0x0003c543 0x00769343 5   6    UPX1    ascii   0-j w
5689  0x0003c55a 0x0076935a 5   6    UPX1    ascii   vz""u
5690  0x0003c59c 0x0076939c 10  13   UPX1    utf8    sXo؋]\f78"4 blocks=Basic Latin,Arabic
5691  0x0003c668 0x00769468 10  11   UPX1    ascii   \a2q4EkiQP&
5692  0x0003c68d 0x0076948d 5   6    UPX1    ascii   bU[D+
5693  0x0003c6b8 0x007694b8 5   7    UPX1    utf8    \n\tuiՔ blocks=Basic Latin,Armenian
5694  0x0003c704 0x00769504 4   5    UPX1    ascii   "7$1
5695  0x0003c717 0x00769517 4   5    UPX1    ascii   *M\rW
5696  0x0003c753 0x00769553 4   5    UPX1    ascii   #"?3
5697  0x0003c761 0x00769561 4   5    UPX1    ascii   fUPX
5698  0x0003c799 0x00769599 5   7    UPX1    utf8    OƒkJN blocks=Basic Latin,Latin Extended-B
5699  0x0003c7a7 0x007695a7 4   5    UPX1    ascii   eH+l
5700  0x0003c7e2 0x007695e2 4   5    UPX1    ascii   X O\
5701  0x0003c7f3 0x007695f3 5   7    UPX1    utf8    >nǇo\f blocks=Basic Latin,Latin Extended-B
5702  0x0003c806 0x00769606 5   6    UPX1    ascii   E]@8B
5703  0x0003c889 0x00769689 4   5    UPX1    ascii   p`+.
5704  0x0003c8c0 0x007696c0 5   6    UPX1    ascii   -8h`a
5705  0x0003c8f2 0x007696f2 4   5    UPX1    ascii   ~SCD
5706  0x0003c903 0x00769703 4   5    UPX1    ascii   rh?N
5707  0x0003c988 0x00769788 10  11   UPX1    ascii   u\bm#!^D(_\n
5708  0x0003ca09 0x00769809 9   12   UPX1    utf8    \tkǍW:)ǍS\t blocks=Basic Latin,Latin Extended-B
5709  0x0003ca41 0x00769841 4   5    UPX1    ascii   `eoM
5710  0x0003ca4e 0x0076984e 7   11   UPX1    utf8    邗OÀ]?X* blocks=CJK Unified Ideographs,Basic Latin,Latin-1 Supplement
5711  0x0003ca69 0x00769869 4   6    UPX1    utf8    WjO݂ blocks=Basic Latin,Syriac
5712  0x0003ca9f 0x0076989f 10  11   UPX1    ascii   C``zk(Kp8Q
5713  0x0003cae0 0x007698e0 4   5    UPX1    ascii    \f>?
5714  0x0003cb1b 0x0076991b 8   11   UPX1    utf8    qvFۺ;ɺA^ blocks=Basic Latin,Arabic,IPA Extensions
5715  0x0003cb53 0x00769953 7   8    UPX1    ascii   d(]i$fP
5716  0x0003cba4 0x007699a4 5   6    UPX1    ascii   *\n, Q
5717  0x0003cbd3 0x007699d3 4   5    UPX1    ascii   \rxrX
5718  0x0003cc38 0x00769a38 4   6    UPX1    utf8    ܆%Pk blocks=Syriac,Basic Latin
5719  0x0003cc52 0x00769a52 4   5    UPX1    ascii   vy`5
5720  0x0003cc63 0x00769a63 4   5    UPX1    ascii   )y0\n
5721  0x0003ccd6 0x00769ad6 7   8    UPX1    ascii   N}\b\fuK'
5722  0x0003cd3e 0x00769b3e 4   5    UPX1    ascii   g?\n.
5723  0x0003cd4d 0x00769b4d 4   5    UPX1    ascii   *+\f3
5724  0x0003cd5b 0x00769b5b 5   6    UPX1    ascii   \n'2IH
5725  0x0003cd73 0x00769b73 4   5    UPX1    ascii   $$1I
5726  0x0003cd7a 0x00769b7a 4   5    UPX1    ascii   \b.W3
5727  0x0003cda5 0x00769ba5 5   6    UPX1    ascii   {V'Ma
5728  0x0003cdbb 0x00769bbb 4   5    UPX1    ascii   O(\e,
5729  0x0003cde2 0x00769be2 6   7    UPX1    ascii   !\b\v\tbX
5730  0x0003ce0a 0x00769c0a 4   5    UPX1    ascii   #U7-
5731  0x0003ce20 0x00769c20 5   6    UPX1    ascii   NOq8|
5732  0x0003ce7a 0x00769c7a 4   5    UPX1    ascii   |\n,/
5733  0x0003ce9a 0x00769c9a 4   5    UPX1    ascii   }B"|
5734  0x0003cea3 0x00769ca3 6   8    UPX1    utf8    \v~^-4͒ blocks=Basic Latin,Combining Diacritical Marks
5735  0x0003ceb5 0x00769cb5 4   5    UPX1    ascii   oE\I
5736  0x0003cec4 0x00769cc4 4   5    UPX1    ascii   X2<\a
5737  0x0003cedf 0x00769cdf 4   5    UPX1    ascii   $Rm\
5738  0x0003ceeb 0x00769ceb 4   5    UPX1    ascii   O&{$
5739  0x0003cf3b 0x00769d3b 4   5    UPX1    ascii   6 !8
5740  0x0003cf5a 0x00769d5a 5   6    UPX1    ascii   /sh\vm
5741  0x0003cf84 0x00769d84 4   5    UPX1    ascii   \n6(U
5742  0x0003cfe1 0x00769de1 7   8    UPX1    ascii   dR+F%\bP
5743  0x0003cff1 0x00769df1 5   6    UPX1    ascii   \a.s?Y
5744  0x0003cff8 0x00769df8 4   5    UPX1    ascii   ,tuN
5745  0x0003d013 0x00769e13 4   5    UPX1    ascii   \ai^d
5746  0x0003d029 0x00769e29 4   5    UPX1    ascii   6w.e
5747  0x0003d034 0x00769e34 6   10   UPX1    utf8    Όf;-ۇH blocks=Greek and Coptic,Basic Latin,Arabic
5748  0x0003d04a 0x00769e4a 4   5    UPX1    ascii   MLXv
5749  0x0003d069 0x00769e69 4   5    UPX1    ascii   ]yL"
5750  0x0003d15d 0x00769f5d 5   6    UPX1    ascii   \tY~d\f
5751  0x0003d178 0x00769f78 4   5    UPX1    ascii   s Zk
5752  0x0003d18e 0x00769f8e 4   5    UPX1    ascii   n\b$2
5753  0x0003d1e1 0x00769fe1 4   5    UPX1    ascii   ?zAa
5754  0x0003d1eb 0x00769feb 4   5    UPX1    ascii   hX~\n
5755  0x0003d222 0x0076a022 4   5    UPX1    ascii   ?\n40
5756  0x0003d231 0x0076a031 4   5    UPX1    ascii   `S[c
5757  0x0003d248 0x0076a048 4   5    UPX1    ascii   4"rC
5758  0x0003d2b0 0x0076a0b0 4   5    UPX1    ascii   \e '_
5759  0x0003d2b9 0x0076a0b9 7   9    UPX1    utf8    6@ʣ0p@m blocks=Basic Latin,IPA Extensions
5760  0x0003d32e 0x0076a12e 4   5    UPX1    ascii   b~/t
5761  0x0003d333 0x0076a133 4   5    UPX1    ascii   \tCi
5762  0x0003d33f 0x0076a13f 5   7    UPX1    utf8    ʧtE;C blocks=IPA Extensions,Basic Latin
5763  0x0003d37c 0x0076a17c 4   5    UPX1    ascii   L]\\t
5764  0x0003d3a4 0x0076a1a4 4   5    UPX1    ascii   H+da
5765  0x0003d3dd 0x0076a1dd 4   5    UPX1    ascii   \/u;
5766  0x0003d3ea 0x0076a1ea 6   7    UPX1    ascii   p??!G$
5767  0x0003d469 0x0076a269 7   8    UPX1    ascii   l9Rd_ti
5768  0x0003d4f9 0x0076a2f9 5   6    UPX1    ascii   U~Fs@
5769  0x0003d50e 0x0076a30e 4   5    UPX1    ascii   /H;?
5770  0x0003d514 0x0076a314 7   9    UPX1    utf8    3IlЦ$\vt blocks=Basic Latin,Cyrillic
5771  0x0003d522 0x0076a322 4   6    UPX1    utf8    >֮$C blocks=Basic Latin,Hebrew
5772  0x0003d52a 0x0076a32a 4   5    UPX1    ascii   hp,0
5773  0x0003d53d 0x0076a33d 6   7    UPX1    ascii   u\fr\bx:
5774  0x0003d544 0x0076a344 4   5    UPX1    ascii   s/kn
5775  0x0003d559 0x0076a359 5   6    UPX1    ascii   SJ'S'
5776  0x0003d560 0x0076a360 4   5    UPX1    ascii   khI\
5777  0x0003d571 0x0076a371 8   9    UPX1    ascii   \f/\a:;E\eG
5778  0x0003d5f3 0x0076a3f3 4   5    UPX1    ascii   >?]G
5779  0x0003d61f 0x0076a41f 5   6    UPX1    ascii   ~nNu.
5780  0x0003d62c 0x0076a42c 5   6    UPX1    ascii   ut9Uu
5781  0x0003d655 0x0076a455 5   6    UPX1    ascii   |Ty_\t
5782  0x0003d680 0x0076a480 4   7    UPX1    utf8    MϭB߄ blocks=Basic Latin,Greek and Coptic,NKo
5783  0x0003d695 0x0076a495 4   5    UPX1    ascii   0(JK
5784  0x0003d6e2 0x0076a4e2 4   5    UPX1    ascii   \f+\ru
5785  0x0003d6e8 0x0076a4e8 4   6    UPX1    utf8    =v\fԤ blocks=Basic Latin,Cyrillic Supplement
5786  0x0003d6fc 0x0076a4fc 4   5    UPX1    ascii   T\f.\v
5787  0x0003d73f 0x0076a53f 5   6    UPX1    ascii   Qn\fX(
5788  0x0003d761 0x0076a561 4   5    UPX1    ascii   GAfI
5789  0x0003d7a3 0x0076a5a3 5   9    UPX1    utf8    \ni#a}
5790  0x0003d7d1 0x0076a5d1 7   8    UPX1    ascii   @X\l\tp\b
5791  0x0003d803 0x0076a603 5   6    UPX1    ascii   |+$XN
5792  0x0003d809 0x0076a609 4   5    UPX1    ascii   9U}\e
5793  0x0003d81d 0x0076a61d 4   5    UPX1    ascii   89rU
5794  0x0003d851 0x0076a651 4   5    UPX1    ascii   0]6}
5795  0x0003d85d 0x0076a65d 5   6    UPX1    ascii   $.OKm
5796  0x0003d866 0x0076a666 5   6    UPX1    ascii   0!Rty
5797  0x0003d873 0x0076a673 4   5    UPX1    ascii   ;~N'
5798  0x0003d88f 0x0076a68f 5   6    UPX1    ascii   \bzf/{
5799  0x0003d895 0x0076a695 5   8    UPX1    utf8    Ihؙy˛ blocks=Basic Latin,Arabic,Spacing Modifier Letters
5800  0x0003d91d 0x0076a71d 5   7    UPX1    utf8    \vjł?U blocks=Basic Latin,Latin Extended-A
5801  0x0003d944 0x0076a744 4   5    UPX1    ascii   tt\nI
5802  0x0003d949 0x0076a749 5   6    UPX1    ascii   I Z0L
5803  0x0003d950 0x0076a750 4   5    UPX1    ascii   "Y[w
5804  0x0003d989 0x0076a789 4   5    UPX1    ascii   /Af!
