Error parsing resource directory
[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
39    0x000008dd 0x0072d6dd 7   8    UPX1    ascii   @snH<D_
40    0x00000906 0x0072d706 4   5    UPX1    ascii   oS\\t
41    0x00000926 0x0072d726 4   5    UPX1    ascii   LP`j
42    0x000009c9 0x0072d7c9 4   5    UPX1    ascii   =&(A
43    0x000009d7 0x0072d7d7 4   5    UPX1    ascii   /AXH
44    0x000009f0 0x0072d7f0 4   5    UPX1    ascii   dddd
45    0x000009f6 0x0072d7f6 5   7    UPX1    utf8    Ф'@dd blocks=Cyrillic,Basic Latin
46    0x00000a45 0x0072d845 8   11   UPX1    utf8    /X2rнի.] blocks=Basic Latin,Cyrillic,Armenian
47    0x00000a67 0x0072d867 10  12   UPX1    utf8    P@0\eP9':9p
48    0x00000a7b 0x0072d87b 6   7    UPX1    ascii   j<;&o@
49    0x00000aa7 0x0072d8a7 7   8    UPX1    ascii   e\4%("M
50    0x00000ac2 0x0072d8c2 5   7    UPX1    utf8    le֧"_ blocks=Basic Latin,Hebrew
51    0x00000b3f 0x0072d93f 5   6    UPX1    ascii   V \as\n
52    0x00000b60 0x0072d960 4   5    UPX1    ascii   vY<\b
53    0x00000bba 0x0072d9ba 4   5    UPX1    ascii   9K\bu
54    0x00000bee 0x0072d9ee 4   5    UPX1    ascii   \b?o~
55    0x00000c14 0x0072da14 4   5    UPX1    ascii   u)0\a
56    0x00000c7a 0x0072da7a 6   7    UPX1    ascii   <FH@\tM
57    0x00000cdf 0x0072dadf 4   5    UPX1    ascii   7,0G
58    0x00000cfd 0x0072dafd 6   7    UPX1    ascii   #z81`7
59    0x00000d07 0x0072db07 5   6    UPX1    ascii   D$YA9
60    0x00000d2e 0x0072db2e 6   7    UPX1    ascii   L.8D \b
61    0x00000d4d 0x0072db4d 4   5    UPX1    ascii   ZS\bN
62    0x00000d63 0x0072db63 4   6    UPX1    utf8    2$܉" blocks=Basic Latin,Syriac
