,precision,recall,f1-score,support
Iris-setosa,1.0,0.75,0.8571428571428571,4.0
Iris-versicolor,0.5,1.0,0.6666666666666666,4.0
Iris-virginica,1.0,0.5714285714285714,0.7272727272727273,7.0
accuracy,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333
macro avg,0.8333333333333334,0.7738095238095237,0.7503607503607505,15.0
weighted avg,0.8666666666666667,0.7333333333333333,0.7457431457431457,15.0
