,precision,recall,f1-score,support
Iris-setosa,1.0,1.0,1.0,4.0
Iris-versicolor,0.6666666666666666,1.0,0.8,4.0
Iris-virginica,1.0,0.7142857142857143,0.8333333333333334,7.0
accuracy,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667
macro avg,0.8888888888888888,0.9047619047619048,0.8777777777777778,15.0
weighted avg,0.9111111111111111,0.8666666666666667,0.868888888888889,15.0
