,precision,recall,f1-score,support
Iris-setosa,1.0,1.0,1.0,4.0
Iris-versicolor,0.8,1.0,0.8888888888888888,4.0
Iris-virginica,1.0,0.8571428571428571,0.9230769230769231,7.0
accuracy,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
macro avg,0.9333333333333332,0.9523809523809524,0.9373219373219372,15.0
weighted avg,0.9466666666666667,0.9333333333333333,0.9344729344729344,15.0
