,precision,recall,f1-score,support
Iris-setosa,1.0,1.0,1.0,4.0
Iris-versicolor,0.5714285714285714,1.0,0.7272727272727273,4.0
Iris-virginica,1.0,0.5714285714285714,0.7272727272727273,7.0
accuracy,0.8,0.8,0.8,0.8
macro avg,0.8571428571428571,0.8571428571428571,0.8181818181818182,15.0
weighted avg,0.8857142857142857,0.8,0.8,15.0
