,precision,recall,f1-score,support
Iris-setosa,0.8,1.0,0.8888888888888888,4.0
Iris-versicolor,0.6,0.75,0.6666666666666666,4.0
Iris-virginica,1.0,0.7142857142857143,0.8333333333333334,7.0
accuracy,0.8,0.8,0.8,0.8
macro avg,0.7999999999999999,0.8214285714285715,0.7962962962962963,15.0
weighted avg,0.84,0.8,0.8037037037037037,15.0
